         0        28
         4        53   4.14143
         4        54   1.85159
         4        55
         4        56   4.26870
         4        57   3.89086
         4        58   1.70194
         4        59
         4        60   4.31162
         4        61   3.90260
         4        62   2.66359
         4        63
         4        64
         4        65   4.83565   4.38255
         4        66   4.06647
         4        67
         5        28
         5        29   3.65403
         5        30   4.66915   4.91334
         5        31
         5        32   4.06130
         5        33   4.11805
         5        34
         5        35   2.39339
         5        36
         5        37   1.72240
         5        38   3.97766
         5        39   4.28751
         5        40   4.83354
         5        41   4.05847
         5        42
         5        43   2.13196
         5        44   3.87348
         5        45
         5        46
         5        47   4.90194
         5        48   4.50057
         5        49
         5        50   3.91055
         5        51
         5        52   4.14143
         5        53   4.77365
         5        54
         5        55   1.85159
         5        56   3.89086
         5        57   4.26870
         5        58
         5        59   1.70194
         5        60   3.90260
         5        61   4.31162
         5        62
         5        63   2.66359
         5        64   4.38255   4.83565
         5        65
         5        66
         5        67   4.06647
         6        28   4.77438
         6        29   4.77438
         6        30   3.61948
         6        31   3.61948
         6        32   4.35692
         6        33   4.35692
         6        34   2.19598
         6        35   2.19598
         6        36   3.97816
         6        37   3.97816
         6        38   1.74519
         6        39   1.74519
         6        40   3.78104
         6        41   3.78104
         6        42   2.79117
         6        43   2.79117
         6        44
         6        45
         6        46   4.16524
         6        47   4.16524
         6        48
         6        49
         6        50   4.79643   4.62571
         6        51   4.62571   4.79643
         6        52   4.25372
         6        53   4.25372
         6        54
         6        55
         6        56
         6        57
         6        58   4.32485
         6        59   4.32485
         6        60   4.61178
         6        61   4.61178
         6        62
         6        63
         6        64   4.70751
         6        65   4.70751
         6        66
         6        67
         7        28
         7        29
         7        30
         7        31
         7        32   4.21646
         7        33   4.21646
         7        34
         7        35
         7        36   4.21887
         7        37   4.21887
         7        38
         7        39
         7        40   4.56006
         7        41   4.56006
         7        42
         7        43
         7        44   4.25948
         7        45   4.25948
         7        46
         7        47
         7        48   3.48280
         7        49   3.48280
         7        50
         7        51
         7        52   3.83672
         7        53   3.83672
         7        54   2.67377
         7        55   2.67377
         7        56   1.76711
         7        57   1.76711
         7        58   3.83158
         7        59   3.83158
         7        60   4.34191
         7        61   4.34191
         7        62   2.21952
         7        63   2.21952
         7        64   4.55030
         7        65   4.55030
         7        66   4.48017
         7        67   4.48017
         8        28   2.74969
         8        29   4.49050
         8        30   4.11603
         8        31   4.24419
         8        32   1.67879
         8        33   4.39612
         8        34   4.10936
         8        35
         8        36   2.27076
         8        37   3.91973
         8        38   4.35993
         8        39
         8        40   3.85613
         8        41   3.69544
         8        42   4.53695
         8        43
         8        44   4.42521
         8        45   4.44917
         8        46
         8        47
         8        48   3.68839
         8        49   2.23819
         8        50
         8        51   4.94559
         8        52   3.90060
         8        53
         8        54   1.76807
         8        55
         8        56   2.74433
         8        57   4.29274
         8        58   4.04566
         8        59
         8        60
         8        61
         8        62   3.54027
         8        63   4.12706
         8        64
         8        65   4.75964
         8        66   4.82886
         8        67
         9        28   4.49050
         9        29   2.74969
         9        30   4.24419
         9        31   4.11603
         9        32   4.39612
         9        33   1.67879
         9        34
         9        35   4.10936
         9        36   3.91973
         9        37   2.27076
         9        38
         9        39   4.35993
         9        40   3.69544
         9        41   3.85613
         9        42
         9        43   4.53695
         9        44   4.44917
         9        45   4.42521
         9        46
         9        47
         9        48   2.23819
         9        49   3.68839
         9        50   4.94559
         9        51
         9        52
         9        53   3.90060
         9        54
         9        55   1.76807
         9        56   4.29274
         9        57   2.74433
         9        58
         9        59   4.04566
         9        60
         9        61
         9        62   4.12706
         9        63   3.54027
         9        64   4.75964
         9        65
         9        66
         9        67   4.82886
        10        28   4.41997
        10        29   3.96700
        10        30   2.74522
        10        31   4.69675
        10        32   3.98303
        10        33
        10        34   1.76200
        10        35   4.79975
        10        36   4.55012
        10        37
        10        38   2.20216
        10        39   4.21182
        10        40
        10        41   4.35323
        10        42   3.78338
        10        43   4.21483
        10        44
        10        45
        10        46   4.82726
        10        47   4.10618
        10        48
        10        49   4.78560
        10        50   3.84904
        10        51   2.16779
        10        52   1.77876
        10        53
        10        54   4.13800
        10        55
        10        56   3.85072
        10        57
        10        58   2.89777
        10        59   3.95959
        10        60   3.33670
        10        61   3.74577
        10        62
        10        63
        10        64
        10        65   4.88879
        10        66
        10        67   4.59055
        11        28   3.96700
        11        29   4.41997
        11        30   4.69675
        11        31   2.74522
        11        32
        11        33   3.98303
        11        34   4.79975
        11        35   1.76200
        11        36
        11        37   4.55012
        11        38   4.21182
        11        39   2.20216
        11        40   4.35323
        11        41
        11        42   4.21483
        11        43   3.78338
        11        44
        11        45
        11        46   4.10618
        11        47   4.82726
        11        48   4.78560
        11        49
        11        50   2.16779
        11        51   3.84904
        11        52
        11        53   1.77876
        11        54
        11        55   4.13800
        11        56
        11        57   3.85072
        11        58   3.95959
        11        59   2.89777
        11        60   3.74577
        11        61   3.33670
        11        62
        11        63
        11        64   4.88879
        11        65
        11        66   4.59055
        11        67
        12        28   1.84492
        12        29   4.82445
        12        30   4.04082
        12        31   2.16178
        12        32   4.79515
        12        33   4.72936
        12        34   2.18106
        12        35   4.14985
        12        36   3.75552
        12        37
        12        38   4.70044
        12        39   4.92126   4.57297
        12        40   3.88572
        12        41
        12        42   4.68417   4.71232
        12        43
        12        44
        12        45   4.71707
        12        46   3.86302
        12        47   4.07996
        12        48   4.26718
        12        49   3.89730
        12        50   2.75073
        12        51   1.83133
        12        52   4.31685
        12        53   3.87449
        12        54   2.69059
        12        55
        12        56
        12        57
        12        58   3.58603
        12        59
        12        60
        12        61   3.95896
        12        62
        12        63
        12        64
        12        65   3.50689
        12        66   4.17820
        12        67
        13        28   4.82445
        13        29   1.84492
        13        30   2.16178
        13        31   4.04082
        13        32   4.72936
        13        33   4.79515
        13        34   4.14985
        13        35   2.18106
        13        36
        13        37   3.75552
        13        38   4.57297   4.92126
        13        39   4.70044
        13        40
        13        41   3.88572
        13        42
        13        43   4.71232   4.68417
        13        44   4.71707
        13        45
        13        46   4.07996
        13        47   3.86302
        13        48   3.89730
        13        49   4.26718
        13        50   1.83133
        13        51   2.75073
        13        52   3.87449
        13        53   4.31685
        13        54
        13        55   2.69059
        13        56
        13        57
        13        58
        13        59   3.58603
        13        60   3.95896
        13        61
        13        62
        13        63
        13        64   3.50689
        13        65
        13        66
        13        67   4.17820
        14        28   3.96076
        14        29   2.14801
        14        30   1.88749
        14        31   4.89576
        14        32   2.16404
        14        33   4.29760
        14        34   4.66093
        14        35   4.83555
        14        36   4.71788
        14        37   4.40180
        14        38   3.68690
        14        39
        14        40
        14        41   4.70719   4.59391
        14        42
        14        43   4.04124
        14        44   3.73007
        14        45   4.24739
        14        46
        14        47   4.81528
        14        48   2.71247
        14        49   1.95767
        14        50   4.23707
        14        51   4.01198
        14        52   2.66645
        14        53
        14        54   4.04055
        14        55   3.87781
        14        56   3.47577
        14        57
        14        58
        14        59
        14        60
        14        61
        14        62
        14        63   4.21777
        14        64   4.11155
        14        65
        14        66
        14        67   3.68477
        15        28   2.14801
        15        29   3.96076
        15        30   4.89576
        15        31   1.88749
        15        32   4.29760
        15        33   2.16404
        15        34   4.83555
        15        35   4.66093
        15        36   4.40180
        15        37   4.71788
        15        38
        15        39   3.68690
        15        40   4.59391   4.70719
        15        41
        15        42   4.04124
        15        43
        15        44   4.24739
        15        45   3.73007
        15        46   4.81528
        15        47
        15        48   1.95767
        15        49   2.71247
        15        50   4.01198
        15        51   4.23707
        15        52
        15        53   2.66645
        15        54   3.87781
        15        55   4.04055
        15        56
        15        57   3.47577
        15        58
        15        59
        15        60
        15        61
        15        62   4.21777
        15        63
        15        64
        15        65   4.11155
        15        66   3.68477
        15        67
        16        28   1.77136
        16        29
        16        30   4.90711
        16        31   4.27265
        16        32   4.36461
        16        33   4.52292
        16        34   3.34865
        16        35
        16        36   3.86304
        16        37   4.79165
        16        38
        16        39   3.47581
        16        40   1.69802
        16        41
        16        42   4.90523
        16        43   4.97913
        16        44   3.55863
        16        45   4.36104
        16        46   2.06187
        16        47
        16        48   3.51359
        16        49
        16        50   3.28342
        16        51   4.63392
        16        52
        16        53   3.52682
        16        54   4.53123
        16        55
        16        56
        16        57   4.56138
        16        58   4.68762
        16        59
        16        60   4.64050
        16        61   4.41940
        16        62   3.86220
        16        63   4.83164
        16        64   4.69821
        16        65   3.88992
        16        66   1.43853
        16        67
        17        28
        17        29   1.77136
        17        30   4.27265
        17        31   4.90711
        17        32   4.52292
        17        33   4.36461
        17        34
        17        35   3.34865
        17        36   4.79165
        17        37   3.86304
        17        38   3.47581
        17        39
        17        40
        17        41   1.69802
        17        42   4.97913
        17        43   4.90523
        17        44   4.36104
        17        45   3.55863
        17        46
        17        47   2.06187
        17        48
        17        49   3.51359
        17        50   4.63392
        17        51   3.28342
        17        52   3.52682
        17        53
        17        54
        17        55   4.53123
        17        56   4.56138
        17        57
        17        58
        17        59   4.68762
        17        60   4.41940
        17        61   4.64050
        17        62   4.83164
        17        63   3.86220
        17        64   3.88992
        17        65   4.69821
        17        66
        17        67   1.43853
        18        28
        18        29   4.26239
        18        30   1.76957
        18        31
        18        32   3.13342
        18        33
        18        34   4.40047
        18        35   4.48640
        18        36
        18        37   3.28710
        18        38   3.75925
        18        39   4.66975
        18        40
        18        41
        18        42
        18        43   1.62894
        18        44   1.97812
        18        45
        18        46   3.49306
        18        47   4.28126
        18        48   3.29592
        18        49   4.83172
        18        50   3.55547
        18        51
        18        52   4.76254
        18        53
        18        54
        18        55   3.90288
        18        56   4.89962
        18        57
        18        58
        18        59   4.34004
        18        60   3.88802
        18        61
        18        62   4.56041
        18        63   4.13273
        18        64   1.48876
        18        65
        18        66   4.67659
        18        67   3.81071
        19        28   4.26239
        19        29
        19        30
        19        31   1.76957
        19        32
        19        33   3.13342
        19        34   4.48640
        19        35   4.40047
        19        36   3.28710
        19        37
        19        38   4.66975
        19        39   3.75925
        19        40
        19        41
        19        42   1.62894
        19        43
        19        44
        19        45   1.97812
        19        46   4.28126
        19        47   3.49306
        19        48   4.83172
        19        49   3.29592
        19        50
        19        51   3.55547
        19        52
        19        53   4.76254
        19        54   3.90288
        19        55
        19        56
        19        57   4.89962
        19        58   4.34004
        19        59
        19        60
        19        61   3.88802
        19        62   4.13273
        19        63   4.56041
        19        64
        19        65   1.48876
        19        66   3.81071
        19        67   4.67659
        20        28   3.01314
        20        29
        20        30   4.30256
        20        31   4.82555
        20        32   4.19661
        20        33   4.45058
        20        34
        20        35
        20        36   4.84092
        20        37   4.74989
        20        38
        20        39
        20        40   3.66284
        20        41   4.87404
        20        42   4.73727
        20        43   4.62563
        20        44   1.69028
        20        45   3.62284
        20        46   4.20275
        20        47
        20        48   1.77431
        20        49   4.72319
        20        50
        20        51
        20        52
        20        53   3.35390
        20        54   4.65778
        20        55   3.66030
        20        56   3.92308
        20        57   3.41313
        20        58   4.16454
        20        59
        20        60
        20        61
        20        62   1.75230
        20        63   4.41477
        20        64   3.68983
        20        65   4.71780
        20        66   1.73840
        20        67   4.24899
        21        28
        21        29   3.01314
        21        30   4.82555
        21        31   4.30256
        21        32   4.45058
        21        33   4.19661
        21        34
        21        35
        21        36   4.74989
        21        37   4.84092
        21        38
        21        39
        21        40   4.87404
        21        41   3.66284
        21        42   4.62563
        21        43   4.73727
        21        44   3.62284
        21        45   1.69028
        21        46
        21        47   4.20275
        21        48   4.72319
        21        49   1.77431
        21        50
        21        51
        21        52   3.35390
        21        53
        21        54   3.66030
        21        55   4.65778
        21        56   3.41313
        21        57   3.92308
        21        58
        21        59   4.16454
        21        60
        21        61
        21        62   4.41477
        21        63   1.75230
        21        64   4.71780
        21        65   3.68983
        21        66   4.24899
        21        67   1.73840
        22        28   4.29991
        22        29   4.62322
        22        30   2.96138
        22        31
        22        32
        22        33
        22        34   4.34430
        22        35   4.03605
        22        36
        22        37
        22        38   4.93247
        22        39   4.89544
        22        40   4.66382
        22        41   4.91779
        22        42   4.67323
        22        43   3.59962
        22        44   4.17146
        22        45
        22        46   1.62793
        22        47   3.78026
        22        48   4.86142
        22        49
        22        50   1.75304
        22        51   4.58601
        22        52   4.67569
        22        53   3.57332
        22        54
        22        55   3.58802
        22        56   4.31346
        22        57
        22        58   3.95559
        22        59   3.43167
        22        60   1.76771
        22        61   4.88711
        22        62
        22        63
        22        64   1.72607
        22        65   4.49095
        22        66   3.85326
        22        67   4.74165
        23        28   4.62322
        23        29   4.29991
        23        30
        23        31   2.96138
        23        32
        23        33
        23        34   4.03605
        23        35   4.34430
        23        36
        23        37
        23        38   4.89544
        23        39   4.93247
        23        40   4.91779
        23        41   4.66382
        23        42   3.59962
        23        43   4.67323
        23        44
        23        45   4.17146
        23        46   3.78026
        23        47   1.62793
        23        48
        23        49   4.86142
        23        50   4.58601
        23        51   1.75304
        23        52   3.57332
        23        53   4.67569
        23        54   3.58802
        23        55
        23        56
        23        57   4.31346
        23        58   3.43167
        23        59   3.95559
        23        60   4.88711
        23        61   1.76771
        23        62
        23        63
        23        64   4.49095
        23        65   1.72607
        23        66   4.74165
        23        67   3.85326
        24        28
        24        29   3.54782
        24        30   3.32105
        24        31
        24        32   1.66238
        24        33   3.92616
        24        34   4.42881
        24        35   3.07344
        24        36   3.60207
        24        37   1.89202
        24        38   1.85919
        24        39   4.69579
        24        40   4.67242
        24        41   1.65183
        24        42
        24        43   2.82767
        24        44   4.18024
        24        45   4.90679
        24        46
        24        47   4.35082
        24        48   4.96528
        24        49   4.53936
        24        50
        24        51
        24        52   3.68077
        24        53
        24        54   4.70680
        24        55   4.16398
        24        56   3.41655
        24        57
        24        58
        24        59   4.68349
        24        60   4.50536
        24        61
        24        62   4.82841
        24        63
        24        64   4.84646
        24        65
        24        66
        24        67   4.18874
        25        28   3.54782
        25        29
        25        30
        25        31   3.32105
        25        32   3.92616
        25        33   1.66238
        25        34   3.07344
        25        35   4.42881
        25        36   1.89202
        25        37   3.60207
        25        38   4.69579
        25        39   1.85919
        25        40   1.65183
        25        41   4.67242
        25        42   2.82767
        25        43
        25        44   4.90679
        25        45   4.18024
        25        46   4.35082
        25        47
        25        48   4.53936
        25        49   4.96528
        25        50
        25        51
        25        52
        25        53   3.68077
        25        54   4.16398
        25        55   4.70680
        25        56
        25        57   3.41655
        25        58   4.68349
        25        59
        25        60
        25        61   4.50536
        25        62
        25        63   4.82841
        25        64
        25        65   4.84646
        25        66   4.18874
        25        67
        26        28
        26        29   4.76193
        26        30   4.63086
        26        31
        26        32   4.14145
        26        33
        26        34   4.45335
        26        35   4.54229
        26        36
        26        37   4.65602
        26        38   3.41742
        26        39
        26        40
        26        41   3.97935
        26        42
        26        43   4.54862
        26        44
        26        45
        26        46   4.69366
        26        47   4.51354
        26        48
        26        49   4.19509
        26        50   4.20925
        26        51   4.10420
        26        52   1.55624
        26        53   4.68876
        26        54   4.99806
        26        55   2.92760
        26        56   1.80023
        26        57   4.71782
        26        58   3.74415
        26        59   1.78325
        26        60   1.81386
        26        61   3.87265
        26        62   4.47547
        26        63   3.01264
        26        64   3.65091
        26        65
        26        66
        26        67   3.90653
        27        28   4.76193
        27        29
        27        30
        27        31   4.63086
        27        32
        27        33   4.14145
        27        34   4.54229
        27        35   4.45335
        27        36   4.65602
        27        37
        27        38
        27        39   3.41742
        27        40   3.97935
        27        41
        27        42   4.54862
        27        43
        27        44
        27        45
        27        46   4.51354
        27        47   4.69366
        27        48   4.19509
        27        49
        27        50   4.10420
        27        51   4.20925
        27        52   4.68876
        27        53   1.55624
        27        54   2.92760
        27        55   4.99806
        27        56   4.71782
        27        57   1.80023
        27        58   1.78325
        27        59   3.74415
        27        60   3.87265
        27        61   1.81386
        27        62   3.01264
        27        63   4.47547
        27        64
        27        65   3.65091
        27        66   3.90653
        27        67
        28         0
        28         1   3.99045
        28         2
        28         3
        28         4   3.65403
        28         5
        28         6   4.77438
        28         7
        28         8   2.74969
        28         9   4.49050
        28        10   4.41997
        28        11   3.96700
        28        12   1.84492
        28        13   4.82445
        28        14   3.96076
        28        15   2.14801
        28        16   1.77136
        28        17
        28        18
        28        19   4.26239
        28        20   3.01314
        28        21
        28        22   4.29991
        28        23   4.62322
        28        24
        28        25   3.54782
        28        26
        28        27   4.76193
        29         0   3.99045
        29         1
        29         2
        29         3
        29         4
        29         5   3.65403
        29         6   4.77438
        29         7
        29         8   4.49050
        29         9   2.74969
        29        10   3.96700
        29        11   4.41997
        29        12   4.82445
        29        13   1.84492
        29        14   2.14801
        29        15   3.96076
        29        16
        29        17   1.77136
        29        18   4.26239
        29        19
        29        20
        29        21   3.01314
        29        22   4.62322
        29        23   4.29991
        29        24   3.54782
        29        25
        29        26   4.76193
        29        27
        30         0
        30         1
        30         2
        30         3   4.12169
        30         4
        30         5   4.91334   4.66915
        30         6   3.61948
        30         7
        30         8   4.11603
        30         9   4.24419
        30        10   2.74522
        30        11   4.69675
        30        12   4.04082
        30        13   2.16178
        30        14   1.88749
        30        15   4.89576
        30        16   4.90711
        30        17   4.27265
        30        18   1.76957
        30        19
        30        20   4.30256
        30        21   4.82555
        30        22   2.96138
        30        23
        30        24   3.32105
        30        25
        30        26   4.63086
        30        27
        31         0
        31         1
        31         2   4.12169
        31         3
        31         4   4.66915   4.91334
        31         5
        31         6   3.61948
        31         7
        31         8   4.24419
        31         9   4.11603
        31        10   4.69675
        31        11   2.74522
        31        12   2.16178
        31        13   4.04082
        31        14   4.89576
        31        15   1.88749
        31        16   4.27265
        31        17   4.90711
        31        18
        31        19   1.76957
        31        20   4.82555
        31        21   4.30256
        31        22
        31        23   2.96138
        31        24
        31        25   3.32105
        31        26
        31        27   4.63086
        32         0   3.60852
        32         1   4.32067
        32         2
        32         3
        32         4   4.11805
        32         5   4.06130
        32         6   4.35692
        32         7   4.21646
        32         8   1.67879
        32         9   4.39612
        32        10   3.98303
        32        11
        32        12   4.79515
        32        13   4.72936
        32        14   2.16404
        32        15   4.29760
        32        16   4.36461
        32        17   4.52292
        32        18   3.13342
        32        19
        32        20   4.19661
        32        21   4.45058
        32        22
        32        23
        32        24   1.66238
        32        25   3.92616
        32        26   4.14145
        32        27
        33         0   4.32067
        33         1   3.60852
        33         2
        33         3
        33         4   4.06130
        33         5   4.11805
        33         6   4.35692
        33         7   4.21646
        33         8   4.39612
        33         9   1.67879
        33        10
        33        11   3.98303
        33        12   4.72936
        33        13   4.79515
        33        14   4.29760
        33        15   2.16404
        33        16   4.52292
        33        17   4.36461
        33        18
        33        19   3.13342
        33        20   4.45058
        33        21   4.19661
        33        22
        33        23
        33        24   3.92616
        33        25   1.66238
        33        26
        33        27   4.14145
        34         0
        34         1
        34         2   3.59125
        34         3   4.59442
        34         4   2.39339
        34         5
        34         6   2.19598
        34         7
        34         8   4.10936
        34         9
        34        10   1.76200
        34        11   4.79975
        34        12   2.18106
        34        13   4.14985
        34        14   4.66093
        34        15   4.83555
        34        16   3.34865
        34        17
        34        18   4.40047
        34        19   4.48640
        34        20
        34        21
        34        22   4.34430
        34        23   4.03605
        34        24   4.42881
        34        25   3.07344
        34        26   4.45335
        34        27   4.54229
        35         0
        35         1
        35         2   4.59442
        35         3   3.59125
        35         4
        35         5   2.39339
        35         6   2.19598
        35         7
        35         8
        35         9   4.10936
        35        10   4.79975
        35        11   1.76200
        35        12   4.14985
        35        13   2.18106
        35        14   4.83555
        35        15   4.66093
        35        16
        35        17   3.34865
        35        18   4.48640
        35        19   4.40047
        35        20
        35        21
        35        22   4.03605
        35        23   4.34430
        35        24   3.07344
        35        25   4.42881
        35        26   4.54229
        35        27   4.45335
        36         0   3.19468
        36         1   4.45646
        36         2   4.18897
        36         3
        36         4   1.72240
        36         5
        36         6   3.97816
        36         7   4.21887
        36         8   2.27076
        36         9   3.91973
        36        10   4.55012
        36        11
        36        12   3.75552
        36        13
        36        14   4.71788
        36        15   4.40180
        36        16   3.86304
        36        17   4.79165
        36        18
        36        19   3.28710
        36        20   4.84092
        36        21   4.74989
        36        22
        36        23
        36        24   3.60207
        36        25   1.89202
        36        26
        36        27   4.65602
        37         0   4.45646
        37         1   3.19468
        37         2
        37         3   4.18897
        37         4
        37         5   1.72240
        37         6   3.97816
        37         7   4.21887
        37         8   3.91973
        37         9   2.27076
        37        10
        37        11   4.55012
        37        12
        37        13   3.75552
        37        14   4.40180
        37        15   4.71788
        37        16   4.79165
        37        17   3.86304
        37        18   3.28710
        37        19
        37        20   4.74989
        37        21   4.84092
        37        22
        37        23
        37        24   1.89202
        37        25   3.60207
        37        26   4.65602
        37        27
        38         0   4.00958
        38         1
        38         2   3.08897
        38         3   4.57283
        38         4   4.28751
        38         5   3.97766
        38         6   1.74519
        38         7
        38         8   4.35993
        38         9
        38        10   2.20216
        38        11   4.21182
        38        12   4.70044
        38        13   4.92126   4.57297
        38        14   3.68690
        38        15
        38        16
        38        17   3.47581
        38        18   3.75925
        38        19   4.66975
        38        20
        38        21
        38        22   4.93247
        38        23   4.89544
        38        24   1.85919
        38        25   4.69579
        38        26   3.41742
        38        27
        39         0
        39         1   4.00958
        39         2   4.57283
        39         3   3.08897
        39         4   3.97766
        39         5   4.28751
        39         6   1.74519
        39         7
        39         8
        39         9   4.35993
        39        10   4.21182
        39        11   2.20216
        39        12   4.57297   4.92126
        39        13   4.70044
        39        14
        39        15   3.68690
        39        16   3.47581
        39        17
        39        18   4.66975
        39        19   3.75925
        39        20
        39        21
        39        22   4.89544
        39        23   4.93247
        39        24   4.69579
        39        25   1.85919
        39        26
        39        27   3.41742
        40         0
        40         1   2.00303
        40         2
        40         3   4.08095
        40         4   4.05847
        40         5   4.83354
        40         6   3.78104
        40         7   4.56006
        40         8   3.85613
        40         9   3.69544
        40        10
        40        11   4.35323
        40        12   3.88572
        40        13
        40        14
        40        15   4.70719   4.59391
        40        16   1.69802
        40        17
        40        18
        40        19
        40        20   3.66284
        40        21   4.87404
        40        22   4.66382
        40        23   4.91779
        40        24   4.67242
        40        25   1.65183
        40        26
        40        27   3.97935
        41         0   2.00303
        41         1
        41         2   4.08095
        41         3
        41         4   4.83354
        41         5   4.05847
        41         6   3.78104
        41         7   4.56006
        41         8   3.69544
        41         9   3.85613
        41        10   4.35323
        41        11
        41        12
        41        13   3.88572
        41        14   4.59391   4.70719
        41        15
        41        16
        41        17   1.69802
        41        18
        41        19
        41        20   4.87404
        41        21   3.66284
        41        22   4.91779
        41        23   4.66382
        41        24   1.65183
        41        25   4.67242
        41        26   3.97935
        41        27
        42         0   4.33734
        42         1   4.96318
        42         2   2.02817
        42         3
        42         4   2.13196
        42         5
        42         6   2.79117
        42         7
        42         8   4.53695
        42         9
        42        10   3.78338
        42        11   4.21483
        42        12   4.71232   4.68417
        42        13
        42        14
        42        15   4.04124
        42        16   4.90523
        42        17   4.97913
        42        18
        42        19   1.62894
        42        20   4.73727
        42        21   4.62563
        42        22   4.67323
        42        23   3.59962
        42        24
        42        25   2.82767
        42        26
        42        27   4.54862
        43         0   4.96318
        43         1   4.33734
        43         2
        43         3   2.02817
        43         4
        43         5   2.13196
        43         6   2.79117
        43         7
        43         8
        43         9   4.53695
        43        10   4.21483
        43        11   3.78338
        43        12
        43        13   4.68417   4.71232
        43        14   4.04124
        43        15
        43        16   4.97913
        43        17   4.90523
        43        18   1.62894
        43        19
        43        20   4.62563
        43        21   4.73727
        43        22   3.59962
        43        23   4.67323
        43        24   2.82767
        43        25
        43        26   4.54862
        43        27
        44         0   2.85575
        44         1   2.72657
        44         2
        44         3   4.20367
        44         4
        44         5   3.87348
        44         6
        44         7   4.25948
        44         8   4.42521
        44         9   4.44917
        44        10
        44        11
        44        12
        44        13   4.71707
        44        14   3.73007
        44        15   4.24739
        44        16   3.55863
        44        17   4.36104
        44        18   1.97812
        44        19
        44        20   1.69028
        44        21   3.62284
        44        22   4.17146
        44        23
        44        24   4.18024
        44        25   4.90679
        44        26
        44        27
        45         0   2.72657
        45         1   2.85575
        45         2   4.20367
        45         3
        45         4   3.87348
        45         5
        45         6
        45         7   4.25948
        45         8   4.44917
        45         9   4.42521
        45        10
        45        11
        45        12   4.71707
        45        13
        45        14   4.24739
        45        15   3.73007
        45        16   4.36104
        45        17   3.55863
        45        18
        45        19   1.97812
        45        20   3.62284
        45        21   1.69028
        45        22
        45        23   4.17146
        45        24   4.90679
        45        25   4.18024
        45        26
        45        27
        46         0
        46         1   4.03509
        46         2   2.58120
        46         3   2.71760
        46         4   4.90194
        46         5
        46         6   4.16524
        46         7
        46         8
        46         9
        46        10   4.82726
        46        11   4.10618
        46        12   3.86302
        46        13   4.07996
        46        14
        46        15   4.81528
        46        16   2.06187
        46        17
        46        18   3.49306
        46        19   4.28126
        46        20   4.20275
        46        21
        46        22   1.62793
        46        23   3.78026
        46        24
        46        25   4.35082
        46        26   4.69366
