         0        16   4.46338
         7        37   4.84013   3.49601
         7        38   4.41191   4.92163
         7        39   3.49601   4.84013
         8        16   1.73827
         8        17   3.39445   3.50687
         8        18   4.15760
         8        19   4.27250
         8        20   1.69608   4.70708
         8        21   4.47261   3.62510
         8        22   3.46184
         8        23   4.49615
         8        24   3.50247   1.75960
         8        25   1.74655   4.47460
         8        26   3.39050   4.97332
         8        27   3.67197
         8        28
         8        29   4.32313
         8        30   4.37182   4.54127
         8        31   4.30610   3.50260
         8        32
         8        33   4.26468
         8        34   3.38464
         8        35   3.21921   3.42458
         8        36
         8        37
         8        38   4.90314
         8        39   3.32432
         9        16   3.39445   3.50687
         9        17   1.73827
         9        18   4.27250
         9        19   4.15760
         9        20   4.47261   3.62510
         9        21   1.69608   4.70708
         9        22   4.49615
         9        23   3.46184
         9        24   1.74655   4.47460
         9        25   3.50247   1.75960
         9        26   3.67197
         9        27   3.39050   4.97332
         9        28   4.32313
         9        29
         9        30   4.30610   3.50260
         9        31   4.54127   4.37182
         9        32   4.26468
         9        33
         9        34   3.21921   3.42458
         9        35   3.38464
         9        36
         9        37
         9        38   3.32432
         9        39   4.90314
        10        16   4.15760
        10        17   4.27250
        10        18   1.73827
        10        19   3.50687   3.39445
        10        20   3.46184
        10        21   4.49615
        10        22   4.70708   1.69608
        10        23   3.62510   4.47261
        10        24   4.97332   3.39050
        10        25   3.67197
        10        26   1.75960   3.50247
        10        27   4.47460   1.74655
        10        28   4.37182   4.54127
        10        29   3.50260   4.30610
        10        30
        10        31   4.32313
        10        32   3.38464
        10        33   3.42458   3.21921
        10        34
        10        35   4.26468
        10        36   4.90314
        10        37   3.32432
        10        38
        10        39
        11        16   4.27250
        11        17   4.15760
        11        18   3.50687   3.39445
        11        19   1.73827
        11        20   4.49615
        11        21   3.46184
        11        22   3.62510   4.47261
        11        23   4.70708   1.69608
        11        24   3.67197
        11        25   4.97332   3.39050
        11        26   4.47460   1.74655
        11        27   1.75960   3.50247
        11        28   3.50260   4.30610
        11        29   4.54127   4.37182
        11        30   4.32313
        11        31
        11        32   3.42458   3.21921
        11        33   3.38464
        11        34   4.26468
        11        35
        11        36   3.32432
        11        37   4.90314
        11        38
        11        39
        12        16
        12        17   4.32313
        12        18   4.37182   4.54127
        12        19   4.30610   3.50260
        12        20
        12        21   4.26468
        12        22   3.38464
        12        23   3.21921   3.42458
        12        24
        12        25
        12        26   4.90314
        12        27   3.32432
        12        28   1.73827
        12        29   3.39445   3.50687
        12        30   4.15760
        12        31   4.27250
        12        32   1.69608   4.70708
        12        33   4.47261   3.62510
        12        34   3.46184
        12        35   4.49615
        12        36   3.50247   1.75960
        12        37   1.74655   4.47460
        12        38   3.39050   4.97332
        12        39   3.67197
        13        16   4.32313
        13        17
        13        18   4.30610   3.50260
        13        19   4.54127   4.37182
        13        20   4.26468
        13        21
        13        22   3.21921   3.42458
        13        23   3.38464
        13        24
        13        25
        13        26   3.32432
        13        27   4.90314
        13        28   3.39445   3.50687
        13        29   1.73827
        13        30   4.27250
        13        31   4.15760
        13        32   4.47261   3.62510
        13        33   1.69608   4.70708
        13        34   4.49615
        13        35   3.46184
        13        36   1.74655   4.47460
        13        37   3.50247   1.75960
        13        38   3.67197
        13        39   3.39050   4.97332
        14        16   4.37182   4.54127
        14        17   3.50260   4.30610
        14        18
        14        19   4.32313
        14        20   3.38464
        14        21   3.42458   3.21921
        14        22
        14        23   4.26468
        14        24   4.90314
        14        25   3.32432
        14        26
        14        27
        14        28   4.15760
        14        29   4.27250
        14        30   1.73827
        14        31   3.50687   3.39445
        14        32   3.46184
        14        33   4.49615
        14        34   4.70708   1.69608
        14        35   3.62510   4.47261
        14        36   4.97332   3.39050
        14        37   3.67197
        14        38   1.75960   3.50247
        14        39   4.47460   1.74655
        15        16   3.50260   4.30610
        15        17   4.54127   4.37182
        15        18   4.32313
        15        19
        15        20   3.42458   3.21921
        15        21   3.38464
        15        22   4.26468
        15        23
        15        24   3.32432
        15        25   4.90314
        15        26
        15        27
        15        28   4.27250
        15        29   4.15760
        15        30   3.50687   3.39445
        15        31   1.73827
        15        32   4.49615
        15        33   3.46184
        15        34   3.62510   4.47261
        15        35   4.70708   1.69608
        15        36   3.67197
        15        37   4.97332   3.39050
        15        38   4.47460   1.74655
        15        39   1.75960   3.50247
        16         0   4.46338
        16         1   4.49283   4.63069
        16         2   2.14194   4.73527
        16         3   4.71494   3.73131
        16         4   4.51699
        16         5
        16         6   2.07342   4.70467
        16         7   3.53479   2.04616
        16         8   1.73827
        16         9   3.50687   3.39445
        16        10   4.15760
        16        11   4.27250
        16        12
        16        13   4.32313
        16        14   4.54127   4.37182
        16        15   4.30610   3.50260
        17         0   4.49283   4.63069
        17         1   4.46338
        17         2   4.71494   3.73131
        17         3   2.14194   4.73527
        17         4
        17         5   4.51699
        17         6   3.53479   2.04616
        17         7   2.07342   4.70467
        17         8   3.50687   3.39445
        17         9   1.73827
        17        10   4.27250
        17        11   4.15760
        17        12   4.32313
        17        13
        17        14   4.30610   3.50260
        17        15   4.37182   4.54127
        18         0   4.46338
        18         1   4.63069   4.49283
        18         2   4.73527   2.14194
        18         3   3.73131   4.71494
        18         4   4.51699
        18         5
        18         6   4.70467   2.07342
        18         7   2.04616   3.53479
        18         8   4.15760
        18         9   4.27250
        18        10   1.73827
        18        11   3.39445   3.50687
        18        12   4.54127   4.37182
        18        13   3.50260   4.30610
        18        14
        18        15   4.32313
        19         0   4.63069   4.49283
        19         1   4.46338
        19         2   3.73131   4.71494
        19         3   4.73527   2.14194
        19         4
        19         5   4.51699
        19         6   2.04616   3.53479
        19         7   4.70467   2.07342
        19         8   4.27250
        19         9   4.15760
        19        10   3.39445   3.50687
        19        11   1.73827
        19        12   3.50260   4.30610
        19        13   4.37182   4.54127
        19        14   4.32313
        19        15
        20         0   4.76006   4.39377
        20         1   2.05425   3.62167
        20         2   3.49706
        20         3
        20         4   4.57690   1.92399
        20         5   3.62652   4.69554
        20         6   4.64667
        20         7   4.56860   4.49476
        20         8   4.70708   1.69608
        20         9   3.62510   4.47261
        20        10   3.46184
        20        11   4.49615
        20        12
        20        13   4.26468
        20        14   3.38464
        20        15   3.21921   3.42458
        21         0   2.05425   3.62167
        21         1   4.39377   4.76006
        21         2
        21         3   3.49706
        21         4   3.62652   4.69554
        21         5   4.57690   1.92399
        21         6   4.56860   4.49476
        21         7   4.64667
        21         8   3.62510   4.47261
        21         9   4.70708   1.69608
        21        10   4.49615
        21        11   3.46184
        21        12   4.26468
        21        13
        21        14   3.21921   3.42458
        21        15   3.38464
        22         0   4.76006   4.39377
        22         1   3.62167   2.05425
        22         2   3.49706
        22         3
        22         4   1.92399   4.57690
        22         5   4.69554   3.62652
        22         6   4.64667
        22         7   4.49476   4.56860
        22         8   3.46184
        22         9   4.49615
        22        10   1.69608   4.70708
        22        11   4.47261   3.62510
        22        12   3.38464
        22        13   3.42458   3.21921
        22        14
        22        15   4.26468
        23         0   3.62167   2.05425
        23         1   4.39377   4.76006
        23         2
        23         3   3.49706
        23         4   4.69554   3.62652
        23         5   1.92399   4.57690
        23         6   4.49476   4.56860
        23         7   4.64667
        23         8   4.49615
        23         9   3.46184
        23        10   4.47261   3.62510
        23        11   1.69608   4.70708
        23        12   3.42458   3.21921
        23        13   3.38464
        23        14   4.26468
        23        15
        24         0   3.19997   4.63083
        24         1   4.43591   2.17699
        24         2   4.48882   4.66782
        24         3   4.47893
        24         4   3.49601   4.84013
        24         5   4.92163   4.41191
        24         6   4.35432   4.53863
        24         7   3.35043
        24         8   1.75960   3.50247
        24         9   4.47460   1.74655
        24        10   3.39050   4.97332
        24        11   3.67197
        24        12
        24        13
        24        14   4.90314
        24        15   3.32432
        25         0   4.43591   2.17699
        25         1   3.19997   4.63083
        25         2   4.47893
        25         3   4.48882   4.66782
        25         4   4.41191   4.92163
        25         5   3.49601   4.84013
        25         6   3.35043
        25         7   4.35432   4.53863
        25         8   4.47460   1.74655
        25         9   1.75960   3.50247
        25        10   3.67197
        25        11   3.39050   4.97332
        25        12
        25        13
        25        14   3.32432
        25        15   4.90314
        26         0   4.63083   3.19997
        26         1   2.17699   4.43591
        26         2   4.66782   4.48882
        26         3   4.47893
        26         4   4.84013   3.49601
        26         5   4.92163   4.41191
        26         6   4.53863   4.35432
        26         7   3.35043
        26         8   4.97332   3.39050
        26         9   3.67197
        26        10   3.50247   1.75960
        26        11   1.74655   4.47460
        26        12   4.90314
        26        13   3.32432
        26        14
        26        15
        27         0   2.17699   4.43591
        27         1   4.63083   3.19997
        27         2   4.47893
        27         3   4.66782   4.48882
        27         4   4.41191   4.92163
        27         5   4.84013   3.49601
        27         6   3.35043
        27         7   4.53863   4.35432
        27         8   3.67197
        27         9   4.97332   3.39050
        27        10   1.74655   4.47460
        27        11   3.50247   1.75960
        27        12   3.32432
        27        13   4.90314
        27        14
        27        15
        28         0   2.14194   4.73527
        28         1   4.71494   3.73131
        28         2   4.46338
        28         3   4.49283   4.63069
        28         4   2.07342   4.70467
        28         5   3.53479   2.04616
        28         6   4.51699
        28         7
        28         8
        28         9   4.32313
        28        10   4.54127   4.37182
        28        11   4.30610   3.50260
        28        12   1.73827
        28        13   3.50687   3.39445
        28        14   4.15760
        28        15   4.27250
        29         0   4.71494   3.73131
        29         1   2.14194   4.73527
        29         2   4.49283   4.63069
        29         3   4.46338
        29         4   3.53479   2.04616
        29         5   2.07342   4.70467
        29         6
        29         7   4.51699
        29         8   4.32313
        29         9
        29        10   4.30610   3.50260
        29        11   4.37182   4.54127
        29        12   3.50687   3.39445
        29        13   1.73827
        29        14   4.27250
        29        15   4.15760
        30         0   4.73527   2.14194
        30         1   3.73131   4.71494
        30         2   4.46338
        30         3   4.63069   4.49283
        30         4   4.70467   2.07342
        30         5   2.04616   3.53479
        30         6   4.51699
        30         7
        30         8   4.54127   4.37182
        30         9   3.50260   4.30610
        30        10
        30        11   4.32313
        30        12   4.15760
        30        13   4.27250
        30        14   1.73827
        30        15   3.39445   3.50687
        31         0   3.73131   4.71494
        31         1   4.73527   2.14194
        31         2   4.63069   4.49283
        31         3   4.46338
        31         4   2.04616   3.53479
        31         5   4.70467   2.07342
        31         6
        31         7   4.51699
        31         8   3.50260   4.30610
        31         9   4.37182   4.54127
        31        10   4.32313
        31        11
        31        12   4.27250
        31        13   4.15760
        31        14   3.39445   3.50687
        31        15   1.73827
        32         0   3.49706
        32         1
        32         2   4.76006   4.39377
        32         3   2.05425   3.62167
        32         4   4.64667
        32         5   4.56860   4.49476
        32         6   4.57690   1.92399
        32         7   3.62652   4.69554
        32         8
        32         9   4.26468
        32        10   3.38464
        32        11   3.21921   3.42458
        32        12   4.70708   1.69608
        32        13   3.62510   4.47261
        32        14   3.46184
        32        15   4.49615
        33         0
        33         1   3.49706
        33         2   2.05425   3.62167
        33         3   4.39377   4.76006
        33         4   4.56860   4.49476
        33         5   4.64667
        33         6   3.62652   4.69554
        33         7   4.57690   1.92399
        33         8   4.26468
        33         9
        33        10   3.21921   3.42458
        33        11   3.38464
        33        12   3.62510   4.47261
        33        13   4.70708   1.69608
        33        14   4.49615
        33        15   3.46184
        34         0   3.49706
        34         1
        34         2   4.76006   4.39377
        34         3   3.62167   2.05425
        34         4   4.64667
        34         5   4.49476   4.56860
        34         6   1.92399   4.57690
        34         7   4.69554   3.62652
        34         8   3.38464
        34         9   3.42458   3.21921
        34        10
        34        11   4.26468
        34        12   3.46184
        34        13   4.49615
        34        14   1.69608   4.70708
        34        15   4.47261   3.62510
        35         0
        35         1   3.49706
        35         2   3.62167   2.05425
        35         3   4.39377   4.76006
        35         4   4.49476   4.56860
        35         5   4.64667
        35         6   4.69554   3.62652
        35         7   1.92399   4.57690
        35         8   3.42458   3.21921
        35         9   3.38464
        35        10   4.26468
        35        11
        35        12   4.49615
        35        13   3.46184
        35        14   4.47261   3.62510
        35        15   1.69608   4.70708
        36         0   4.48882   4.66782
        36         1   4.47893
        36         2   3.19997   4.63083
        36         3   4.43591   2.17699
        36         4   4.35432   4.53863
        36         5   3.35043
        36         6   3.49601   4.84013
        36         7   4.92163   4.41191
        36         8
        36         9
        36        10   4.90314
        36        11   3.32432
        36        12   1.75960   3.50247
        36        13   4.47460   1.74655
        36        14   3.39050   4.97332
        36        15   3.67197
        37         0   4.47893
        37         1   4.48882   4.66782
        37         2   4.43591   2.17699
        37         3   3.19997   4.63083
        37         4   3.35043
        37         5   4.35432   4.53863
        37         6   4.41191   4.92163
        37         7   3.49601   4.84013
        37         8
        37         9
        37        10   3.32432
        37        11   4.90314
        37        12   4.47460   1.74655
        37        13   1.75960   3.50247
        37        14   3.67197
        37        15   3.39050   4.97332
        38         0   4.66782   4.48882
        38         1   4.47893
        38         2   4.63083   3.19997
        38         3   2.17699   4.43591
        38         4   4.53863   4.35432
        38         5   3.35043
        38         6   4.84013   3.49601
        38         7   4.92163   4.41191
        38         8   4.90314
        38         9   3.32432
        38        10
        38        11
        38        12   4.97332   3.39050
        38        13   3.67197
        38        14   3.50247   1.75960
        38        15   1.74655   4.47460
        39         0   4.47893
        39         1   4.66782   4.48882
        39         2   2.17699   4.43591
        39         3   4.63083   3.19997
        39         4   3.35043
        39         5   4.53863   4.35432
        39         6   4.41191   4.92163
        39         7   4.84013   3.49601
        39         8   3.32432
        39         9   4.90314
        39        10
        39        11
        39        12   3.67197
        39        13   4.97332   3.39050
        39        14   1.74655   4.47460
        39        15   3.50247   1.75960
