cif name= ./1538614.cif
./1538614.cif
Full Formula (Li56 Ni8 N32)
 58  Ni    0.75   0.5    0
 59  Ni    0      0.75   0.5
 60  Ni    0.5    0      0.25
 61  Ni    0.5    0      0.75
 62  Ni    0      0      0
 63  Ni    0.5    0.5    0.5
 64  N     0.375  0.375  0.125
 65  N     0.875  0.125  0.375
 66  N     0.625  0.625  0.125
 67  N     0.125  0.875  0.375
 68  N     0.375  0.625  0.875
 69  N     0.125  0.125  0.625
 70  N     0.625  0.375  0.875
 71  N     0.875  0.875  0.625
 72  N     0.125  0.375  0.375
 73  N     0.875  0.375  0.125
 74  N     0.875  0.625  0.375
 75  N     0.125  0.625  0.125
 76  N     0.125  0.625  0.625
 77  N     0.125  0.375  0.875
 78  N     0.875  0.375  0.625
 79  N     0.875  0.625  0.875
 80  N     0.375  0.125  0.375
 81  N     0.375  0.875  0.625
 82  N     0.375  0.125  0.875
 83  N     0.625  0.125  0.625
 84  N     0.625  0.875  0.875
 85  N     0.625  0.875  0.375
 86  N     0.375  0.875  0.125
 87  N     0.625  0.125  0.125
 88  N     0.115  0.115  0.115
 89  N     0.615  0.385  0.385
 90  N     0.885  0.885  0.115
 91  N     0.385  0.615  0.385
 92  N     0.115  0.885  0.885
 93  N     0.385  0.385  0.615
 94  N     0.885  0.115  0.885
 95  N     0.615  0.615  0.615

space_group_IT_number 218

*** lse ***


**isite= 0
Li1 : [2.39275 2.39275 2.39275]

ce_symbol  = T:4
ce_fraction=  0.9198516791698467
species:coords:index
N1 : [3.589125 3.589125 1.196375] : 64
N1 : [1.196375 3.589125 3.589125] : 72
N1 : [1.100665 1.100665 1.100665] : 88
N1 : [3.589125 1.196375 3.589125] : 80

ce_symbol  = ET:7
ce_fraction=  0.0801483208301533
species:coords:index
N1 : [3.589125 3.589125 1.196375] : 64
N1 : [1.196375 3.589125 3.589125] : 72
Li1 : [2.39275 2.39275 0.     ] : 32
Li1 : [0.      2.39275 2.39275] : 40
N1 : [1.100665 1.100665 1.100665] : 88
Li1 : [2.39275 0.      2.39275] : 48
N1 : [3.589125 1.196375 3.589125] : 80


**isite= 1
Li1 : [7.17825 2.39275 2.39275]

ce_symbol  = T:4
ce_fraction=  0.9198516791698474
species:coords:index
N1 : [8.374625 3.589125 1.196375] : 73
N1 : [5.981875 1.196375 1.196375] : 87
N1 : [8.374625 1.196375 3.589125] : 65
N1 : [5.886165 3.684835 3.684835] : 89
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.0721822849052156, 2.0721822849052156, 2.237956867697633]
         [2.0721822849052156, 2.072182284905216, 2.0721822849052156, 2.237956867697633]

ce_symbol  = ET:7
ce_fraction=  0.08014832083015261
species:coords:index
N1 : [8.374625 3.589125 1.196375] : 73
N1 : [5.981875 1.196375 1.196375] : 87
Li1 : [7.17825 2.39275 4.7855 ] : 33
N1 : [8.374625 1.196375 3.589125] : 65
Li1 : [7.17825 4.7855  2.39275] : 41
N1 : [5.886165 3.684835 3.684835] : 89
Li1 : [4.7855  2.39275 2.39275] : 55
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.0721822849052156, 2.39275, 2.0721822849052156, 2.39275, 2.237956867697633, 2.3927500000000004]
         [2.0721822849052156, 2.072182284905216, 2.39275, 2.0721822849052156, 2.39275, 2.237956867697633, 2.3927500000000004]


**isite= 2
Li1 : [7.17825 7.17825 2.39275]

ce_symbol  = T:4
ce_fraction=  0.9198516791698466
species:coords:index
N1 : [5.981875 8.374625 3.589125] : 85
N1 : [5.981875 5.981875 1.196375] : 66
N1 : [8.374625 5.981875 3.589125] : 74
N1 : [8.470335 8.470335 1.100665] : 90
!!!atention to nb coordination!!!
         [2.072182284905216, 2.072182284905216, 2.072182284905216, 2.237956867697633]
         [2.0721822849052156, 2.072182284905216, 2.0721822849052156, 2.237956867697633]

ce_symbol  = ET:7
ce_fraction=  0.08014832083015343
species:coords:index
N1 : [5.981875 8.374625 3.589125] : 85
N1 : [5.981875 5.981875 1.196375] : 66
N1 : [8.374625 5.981875 3.589125] : 74
Li1 : [7.17825 9.571   2.39275] : 53
Li1 : [9.571   7.17825 2.39275] : 42
Li1 : [7.17825 7.17825 0.     ] : 34
N1 : [8.470335 8.470335 1.100665] : 90
!!!atention to nb coordination!!!
         [2.072182284905216, 2.072182284905216, 2.072182284905216, 2.3927499999999995, 2.3927499999999995, 2.39275, 2.237956867697633]
         [2.0721822849052156, 2.072182284905216, 2.0721822849052156, 2.3927499999999995, 2.3927499999999995, 2.39275, 2.237956867697633]


**isite= 3
Li1 : [2.39275 7.17825 2.39275]

ce_symbol  = T:4
ce_fraction=  0.9198516791698472
species:coords:index
N1 : [1.196375 5.981875 1.196375] : 75
N1 : [1.196375 8.374625 3.589125] : 67
N1 : [3.589125 8.374625 1.196375] : 86
N1 : [3.684835 5.886165 3.684835] : 91

ce_symbol  = ET:7
ce_fraction=  0.08014832083015275
species:coords:index
N1 : [1.196375 5.981875 1.196375] : 75
N1 : [1.196375 8.374625 3.589125] : 67
N1 : [3.589125 8.374625 1.196375] : 86
Li1 : [4.7855  7.17825 2.39275] : 54
Li1 : [2.39275 4.7855  2.39275] : 43
Li1 : [2.39275 7.17825 4.7855 ] : 35
N1 : [3.684835 5.886165 3.684835] : 91


**isite= 4
Li1 : [2.39275 7.17825 7.17825]

ce_symbol  = T:4
ce_fraction=  0.9198516791698463
species:coords:index
N1 : [3.589125 8.374625 5.981875] : 81
N1 : [1.196375 5.981875 5.981875] : 76
N1 : [3.589125 5.981875 8.374625] : 68
N1 : [1.100665 8.470335 8.470335] : 92
!!!atention to nb coordination!!!
         [2.072182284905216, 2.0721822849052165, 2.072182284905216, 2.237956867697633]
         [2.072182284905216, 2.0721822849052165, 2.0721822849052156, 2.237956867697633]

ce_symbol  = ET:7
ce_fraction=  0.08014832083015368
species:coords:index
N1 : [3.589125 8.374625 5.981875] : 81
N1 : [1.196375 5.981875 5.981875] : 76
N1 : [3.589125 5.981875 8.374625] : 68
Li1 : [2.39275 9.571   7.17825] : 49
Li1 : [2.39275 7.17825 9.571  ] : 36
N1 : [1.100665 8.470335 8.470335] : 92
Li1 : [0.      7.17825 7.17825] : 44
!!!atention to nb coordination!!!
         [2.072182284905216, 2.0721822849052165, 2.072182284905216, 2.3927499999999995, 2.3927499999999995, 2.237956867697633, 2.39275]
         [2.072182284905216, 2.0721822849052165, 2.0721822849052156, 2.3927499999999995, 2.3927499999999995, 2.237956867697633, 2.39275]


**isite= 5
Li1 : [2.39275 2.39275 7.17825]

ce_symbol  = T:4
ce_fraction=  0.9198516791698472
species:coords:index
N1 : [1.196375 1.196375 5.981875] : 69
N1 : [3.684835 3.684835 5.886165] : 93
N1 : [3.589125 1.196375 8.374625] : 82
N1 : [1.196375 3.589125 8.374625] : 77

ce_symbol  = ET:7
ce_fraction=  0.08014832083015275
species:coords:index
N1 : [1.196375 1.196375 5.981875] : 69
N1 : [3.684835 3.684835 5.886165] : 93
Li1 : [2.39275 2.39275 4.7855 ] : 37
N1 : [3.589125 1.196375 8.374625] : 82
Li1 : [4.7855  2.39275 7.17825] : 50
Li1 : [2.39275 4.7855  7.17825] : 45
N1 : [1.196375 3.589125 8.374625] : 77


**isite= 6
Li1 : [7.17825 2.39275 7.17825]

ce_symbol  = T:4
ce_fraction=  0.9198516791698463
species:coords:index
N1 : [5.981875 3.589125 8.374625] : 70
N1 : [5.981875 1.196375 5.981875] : 83
N1 : [8.470335 1.100665 8.470335] : 94
N1 : [8.374625 3.589125 5.981875] : 78
!!!atention to nb coordination!!!
         [2.072182284905216, 2.072182284905216, 2.237956867697633, 2.072182284905216]
         [2.0721822849052156, 2.0721822849052165, 2.237956867697633, 2.072182284905216]

ce_symbol  = ET:7
ce_fraction=  0.08014832083015368
species:coords:index
N1 : [5.981875 3.589125 8.374625] : 70
N1 : [5.981875 1.196375 5.981875] : 83
N1 : [8.470335 1.100665 8.470335] : 94
Li1 : [7.17825 0.      7.17825] : 51
Li1 : [9.571   2.39275 7.17825] : 46
N1 : [8.374625 3.589125 5.981875] : 78
Li1 : [7.17825 2.39275 9.571  ] : 38
!!!atention to nb coordination!!!
         [2.072182284905216, 2.072182284905216, 2.237956867697633, 2.39275, 2.3927499999999995, 2.072182284905216, 2.3927499999999995]
         [2.0721822849052156, 2.0721822849052165, 2.237956867697633, 2.39275, 2.3927499999999995, 2.072182284905216, 2.3927499999999995]


**isite= 7
Li1 : [7.17825 7.17825 7.17825]

ce_symbol  = T:4
ce_fraction=  0.9198516791698474
species:coords:index
N1 : [5.981875 8.374625 8.374625] : 84
N1 : [8.374625 5.981875 8.374625] : 79
N1 : [5.886165 5.886165 5.886165] : 95
N1 : [8.374625 8.374625 5.981875] : 71

ce_symbol  = ET:7
ce_fraction=  0.08014832083015251
species:coords:index
N1 : [5.981875 8.374625 8.374625] : 84
N1 : [8.374625 5.981875 8.374625] : 79
Li1 : [7.17825 4.7855  7.17825] : 47
N1 : [5.886165 5.886165 5.886165] : 95
N1 : [8.374625 8.374625 5.981875] : 71
Li1 : [4.7855  7.17825 7.17825] : 52
Li1 : [7.17825 7.17825 4.7855 ] : 39


**isite= 8
Li1 : [0.     4.7855 4.7855]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [-1.196375  3.589125  5.981875] : 78
N1 : [1.196375 5.981875 5.981875] : 76
N1 : [-1.196375  5.981875  3.589125] : 74
N1 : [1.196375 3.589125 3.589125] : 72


**isite= 9
Li1 : [0.     4.7855 0.    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [ 1.196375  3.589125 -1.196375] : 77
N1 : [-1.196375  5.981875 -1.196375] : 79
N1 : [-1.196375  3.589125  1.196375] : 73
N1 : [1.196375 5.981875 1.196375] : 75


**isite= 10
Li1 : [4.7855 0.     4.7855]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [5.981875 1.196375 5.981875] : 83
N1 : [3.589125 1.196375 3.589125] : 80
N1 : [ 3.589125 -1.196375  5.981875] : 81
N1 : [ 5.981875 -1.196375  3.589125] : 85


**isite= 11
Li1 : [4.7855 0.     0.    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [ 3.589125  1.196375 -1.196375] : 82
N1 : [ 3.589125 -1.196375  1.196375] : 86
N1 : [5.981875 1.196375 1.196375] : 87
N1 : [ 5.981875 -1.196375 -1.196375] : 84


**isite= 12
Li1 : [4.7855 4.7855 0.    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [ 3.589125  5.981875 -1.196375] : 68
N1 : [3.589125 3.589125 1.196375] : 64
N1 : [5.981875 5.981875 1.196375] : 66
N1 : [ 5.981875  3.589125 -1.196375] : 70


**isite= 13
Li1 : [0.     0.     4.7855]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.196375 1.196375 5.981875] : 69
N1 : [-1.196375 -1.196375  5.981875] : 71
N1 : [-1.196375  1.196375  3.589125] : 65
N1 : [ 1.196375 -1.196375  3.589125] : 67


**isite= 14
Li1 : [2.39275 0.      4.7855 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [ 3.589125 -1.196375  5.981875] : 81
N1 : [ 1.196375 -1.196375  3.589125] : 67
N1 : [1.196375 1.196375 5.981875] : 69
N1 : [3.589125 1.196375 3.589125] : 80


**isite= 15
Li1 : [4.7855  2.39275 0.     ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [3.589125 3.589125 1.196375] : 64
N1 : [ 5.981875  3.589125 -1.196375] : 70
N1 : [ 3.589125  1.196375 -1.196375] : 82
N1 : [5.981875 1.196375 1.196375] : 87


**isite= 16
Li1 : [7.17825 0.      4.7855 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [5.981875 1.196375 5.981875] : 83
N1 : [8.374625 1.196375 3.589125] : 65
N1 : [ 5.981875 -1.196375  3.589125] : 85
N1 : [ 8.374625 -1.196375  5.981875] : 71


**isite= 17
Li1 : [4.7855  7.17825 0.     ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [3.589125 8.374625 1.196375] : 86
N1 : [5.981875 5.981875 1.196375] : 66
N1 : [ 3.589125  5.981875 -1.196375] : 68
N1 : [ 5.981875  8.374625 -1.196375] : 84


**isite= 18
Li1 : [0.      4.7855  2.39275]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.196375 5.981875 1.196375] : 75
N1 : [-1.196375  5.981875  3.589125] : 74
N1 : [1.196375 3.589125 3.589125] : 72
N1 : [-1.196375  3.589125  1.196375] : 73


**isite= 19
Li1 : [0.      4.7855  7.17825]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [-1.196375  5.981875  8.374625] : 79
N1 : [1.196375 5.981875 5.981875] : 76
N1 : [1.196375 3.589125 8.374625] : 77
N1 : [-1.196375  3.589125  5.981875] : 78


**isite= 20
Li1 : [2.39275 0.      0.     ]

ce_symbol  = T:4
ce_fraction=  0.9478476734410001
species:coords:index
N1 : [ 3.589125  1.196375 -1.196375] : 82
N1 : [1.100665 1.100665 1.100665] : 88
N1 : [ 1.100665 -1.100665 -1.100665] : 92
N1 : [ 3.589125 -1.196375  1.196375] : 86
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.022970719430956, 2.0229707194309556, 2.0721822849052156]
         [2.0721822849052156, 2.022970719430956, 2.022970719430956, 2.0721822849052156]

ce_symbol  = TO_3:9
ce_fraction=  0.0497781205603125
species:coords:index
N1 : [ 3.589125  1.196375 -1.196375] : 82
N1 : [1.100665 1.100665 1.100665] : 88
Li1 : [2.39275 0.      2.39275] : 48
N1 : [ 1.100665 -1.100665 -1.100665] : 92
N1 : [ 3.589125 -1.196375  1.196375] : 86
Li1 : [ 2.39275 -2.39275  0.     ] : 36
Li1 : [ 2.39275  0.      -2.39275] : 49
Li1 : [2.39275 2.39275 0.     ] : 32
Li1 : [4.7855 0.     0.    ] : 11
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.022970719430956, 2.39275, 2.0229707194309556, 2.0721822849052156, 2.3927499999999995, 2.3927499999999995, 2.39275, 2.39275]
         [2.0721822849052156, 2.022970719430956, 2.39275, 2.022970719430956, 2.0721822849052156, 2.39275, 2.39275, 2.39275, 2.39275]

ce_symbol  = TI:9
ce_fraction=  0.0023742059986873983
species:coords:index
N1 : [ 3.589125  1.196375 -1.196375] : 82
N1 : [1.100665 1.100665 1.100665] : 88
Li1 : [2.39275 0.      2.39275] : 48
N1 : [ 1.100665 -1.100665 -1.100665] : 92
N1 : [ 3.589125 -1.196375  1.196375] : 86
Li1 : [ 2.39275 -2.39275  0.     ] : 36
Li1 : [ 2.39275  0.      -2.39275] : 49
Li1 : [2.39275 2.39275 0.     ] : 32
Li1 : [4.7855 0.     0.    ] : 11
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.022970719430956, 2.39275, 2.0229707194309556, 2.0721822849052156, 2.3927499999999995, 2.3927499999999995, 2.39275, 2.39275]
         [2.0721822849052156, 2.022970719430956, 2.39275, 2.022970719430956, 2.0721822849052156, 2.39275, 2.39275, 2.39275, 2.39275]


**isite= 21
Li1 : [4.7855  2.39275 4.7855 ]

ce_symbol  = T:4
ce_fraction=  0.9478476734410004
species:coords:index
N1 : [5.886165 3.684835 3.684835] : 89
N1 : [3.589125 1.196375 3.589125] : 80
N1 : [5.981875 1.196375 5.981875] : 83
N1 : [3.684835 3.684835 5.886165] : 93
!!!atention to nb coordination!!!
         [2.0229707194309565, 2.072182284905215, 2.072182284905215, 2.022970719430956]
         [2.022970719430956, 2.072182284905215, 2.072182284905215, 2.022970719430956]

ce_symbol  = TO_3:9
ce_fraction=  0.049778120560312236
species:coords:index
N1 : [5.886165 3.684835 3.684835] : 89
N1 : [3.589125 1.196375 3.589125] : 80
N1 : [5.981875 1.196375 5.981875] : 83
Li1 : [4.7855 0.     4.7855] : 10
Li1 : [2.39275 2.39275 4.7855 ] : 37
Li1 : [4.7855  2.39275 7.17825] : 50
Li1 : [7.17825 2.39275 4.7855 ] : 33
N1 : [3.684835 3.684835 5.886165] : 93
Li1 : [4.7855  2.39275 2.39275] : 55
!!!atention to nb coordination!!!
         [2.0229707194309565, 2.072182284905215, 2.072182284905215, 2.39275, 2.39275, 2.3927500000000004, 2.3927500000000004, 2.022970719430956, 2.39275]
         [2.022970719430956, 2.072182284905215, 2.072182284905215, 2.39275, 2.39275, 2.3927500000000004, 2.3927500000000004, 2.022970719430956, 2.39275]

ce_symbol  = TI:9
ce_fraction=  0.0023742059986873844
species:coords:index
N1 : [5.886165 3.684835 3.684835] : 89
N1 : [3.589125 1.196375 3.589125] : 80
N1 : [5.981875 1.196375 5.981875] : 83
Li1 : [4.7855 0.     4.7855] : 10
Li1 : [2.39275 2.39275 4.7855 ] : 37
Li1 : [4.7855  2.39275 7.17825] : 50
Li1 : [7.17825 2.39275 4.7855 ] : 33
N1 : [3.684835 3.684835 5.886165] : 93
Li1 : [4.7855  2.39275 2.39275] : 55
!!!atention to nb coordination!!!
         [2.0229707194309565, 2.072182284905215, 2.072182284905215, 2.39275, 2.39275, 2.3927500000000004, 2.3927500000000004, 2.022970719430956, 2.39275]
         [2.022970719430956, 2.072182284905215, 2.072182284905215, 2.39275, 2.39275, 2.3927500000000004, 2.3927500000000004, 2.022970719430956, 2.39275]


**isite= 22
Li1 : [7.17825 0.      0.     ]

ce_symbol  = T:4
ce_fraction=  0.9478476734410002
species:coords:index
N1 : [ 8.470335 -1.100665  1.100665] : 90
N1 : [ 8.470335  1.100665 -1.100665] : 94
N1 : [ 5.981875 -1.196375 -1.196375] : 84
N1 : [5.981875 1.196375 1.196375] : 87
!!!atention to nb coordination!!!
         [2.0229707194309556, 2.0229707194309556, 2.0721822849052156, 2.0721822849052156]
         [2.022970719430956, 2.022970719430956, 2.072182284905216, 2.072182284905216]

ce_symbol  = TO_3:9
ce_fraction=  0.04977812056031246
species:coords:index
N1 : [ 8.470335 -1.100665  1.100665] : 90
Li1 : [7.17825 0.      2.39275] : 53
N1 : [ 8.470335  1.100665 -1.100665] : 94
N1 : [ 5.981875 -1.196375 -1.196375] : 84
Li1 : [ 7.17825 -2.39275  0.     ] : 34
N1 : [5.981875 1.196375 1.196375] : 87
Li1 : [7.17825 2.39275 0.     ] : 38
Li1 : [4.7855 0.     0.    ] : 11
Li1 : [ 7.17825  0.      -2.39275] : 51
!!!atention to nb coordination!!!
         [2.0229707194309556, 2.39275, 2.0229707194309556, 2.0721822849052156, 2.3927499999999995, 2.0721822849052156, 2.39275, 2.3927500000000004, 2.3927499999999995]
         [2.022970719430956, 2.39275, 2.022970719430956, 2.072182284905216, 2.39275, 2.072182284905216, 2.39275, 2.3927500000000004, 2.39275]

ce_symbol  = TI:9
ce_fraction=  0.002374205998687385
species:coords:index
N1 : [ 8.470335 -1.100665  1.100665] : 90
Li1 : [7.17825 0.      2.39275] : 53
N1 : [ 8.470335  1.100665 -1.100665] : 94
N1 : [ 5.981875 -1.196375 -1.196375] : 84
Li1 : [ 7.17825 -2.39275  0.     ] : 34
N1 : [5.981875 1.196375 1.196375] : 87
Li1 : [7.17825 2.39275 0.     ] : 38
Li1 : [4.7855 0.     0.    ] : 11
Li1 : [ 7.17825  0.      -2.39275] : 51
!!!atention to nb coordination!!!
         [2.0229707194309556, 2.39275, 2.0229707194309556, 2.0721822849052156, 2.3927499999999995, 2.0721822849052156, 2.39275, 2.3927500000000004, 2.3927499999999995]
         [2.022970719430956, 2.39275, 2.022970719430956, 2.072182284905216, 2.39275, 2.072182284905216, 2.39275, 2.3927500000000004, 2.39275]


**isite= 23
Li1 : [4.7855  7.17825 4.7855 ]

ce_symbol  = T:4
ce_fraction=  0.9478476734410004
species:coords:index
N1 : [3.589125 8.374625 5.981875] : 81
N1 : [5.886165 5.886165 5.886165] : 95
N1 : [3.684835 5.886165 3.684835] : 91
N1 : [5.981875 8.374625 3.589125] : 85

ce_symbol  = TO_3:9
ce_fraction=  0.049778120560312285
species:coords:index
N1 : [3.589125 8.374625 5.981875] : 81
N1 : [5.886165 5.886165 5.886165] : 95
N1 : [3.684835 5.886165 3.684835] : 91
Li1 : [2.39275 7.17825 4.7855 ] : 35
N1 : [5.981875 8.374625 3.589125] : 85
Li1 : [4.7855  7.17825 7.17825] : 52
Li1 : [4.7855 9.571  4.7855] : 10
Li1 : [7.17825 7.17825 4.7855 ] : 39
Li1 : [4.7855  7.17825 2.39275] : 54

ce_symbol  = TI:9
ce_fraction=  0.0023742059986873944
species:coords:index
N1 : [3.589125 8.374625 5.981875] : 81
N1 : [5.886165 5.886165 5.886165] : 95
N1 : [3.684835 5.886165 3.684835] : 91
Li1 : [2.39275 7.17825 4.7855 ] : 35
N1 : [5.981875 8.374625 3.589125] : 85
Li1 : [4.7855  7.17825 7.17825] : 52
Li1 : [4.7855 9.571  4.7855] : 10
Li1 : [7.17825 7.17825 4.7855 ] : 39
Li1 : [4.7855  7.17825 2.39275] : 54


**isite= 24
Li1 : [0.      2.39275 0.     ]

ce_symbol  = T:4
ce_fraction=  0.9478476734410001
species:coords:index
N1 : [ 1.196375  3.589125 -1.196375] : 77
N1 : [-1.100665  1.100665 -1.100665] : 94
N1 : [-1.196375  3.589125  1.196375] : 73
N1 : [1.100665 1.100665 1.100665] : 88
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.0229707194309556, 2.0721822849052156, 2.022970719430956]
         [2.0721822849052156, 2.022970719430956, 2.0721822849052156, 2.022970719430956]

ce_symbol  = TO_3:9
ce_fraction=  0.049778120560312465
species:coords:index
N1 : [ 1.196375  3.589125 -1.196375] : 77
N1 : [-1.100665  1.100665 -1.100665] : 94
Li1 : [0.     4.7855 0.    ] : 9
N1 : [-1.196375  3.589125  1.196375] : 73
Li1 : [ 0.       2.39275 -2.39275] : 46
N1 : [1.100665 1.100665 1.100665] : 88
Li1 : [0.      2.39275 2.39275] : 40
Li1 : [2.39275 2.39275 0.     ] : 32
Li1 : [-2.39275  2.39275  0.     ] : 38
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.0229707194309556, 2.39275, 2.0721822849052156, 2.3927499999999995, 2.022970719430956, 2.39275, 2.39275, 2.3927499999999995]
         [2.0721822849052156, 2.022970719430956, 2.39275, 2.0721822849052156, 2.39275, 2.022970719430956, 2.39275, 2.39275, 2.39275]

ce_symbol  = TI:9
ce_fraction=  0.0023742059986873957
species:coords:index
N1 : [ 1.196375  3.589125 -1.196375] : 77
N1 : [-1.100665  1.100665 -1.100665] : 94
Li1 : [0.     4.7855 0.    ] : 9
N1 : [-1.196375  3.589125  1.196375] : 73
Li1 : [ 0.       2.39275 -2.39275] : 46
N1 : [1.100665 1.100665 1.100665] : 88
Li1 : [0.      2.39275 2.39275] : 40
Li1 : [2.39275 2.39275 0.     ] : 32
Li1 : [-2.39275  2.39275  0.     ] : 38
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.0229707194309556, 2.39275, 2.0721822849052156, 2.3927499999999995, 2.022970719430956, 2.39275, 2.39275, 2.3927499999999995]
         [2.0721822849052156, 2.022970719430956, 2.39275, 2.0721822849052156, 2.39275, 2.022970719430956, 2.39275, 2.39275, 2.39275]


**isite= 25
Li1 : [7.17825 4.7855  4.7855 ]

ce_symbol  = T:4
ce_fraction=  0.9478476734410002
species:coords:index
N1 : [8.374625 5.981875 3.589125] : 74
N1 : [5.886165 3.684835 3.684835] : 89
N1 : [8.374625 3.589125 5.981875] : 78
N1 : [5.886165 5.886165 5.886165] : 95

ce_symbol  = TO_3:9
ce_fraction=  0.04977812056031243
species:coords:index
N1 : [8.374625 5.981875 3.589125] : 74
N1 : [5.886165 3.684835 3.684835] : 89
N1 : [8.374625 3.589125 5.981875] : 78
Li1 : [9.571  4.7855 4.7855] : 8
Li1 : [7.17825 7.17825 4.7855 ] : 39
Li1 : [7.17825 4.7855  7.17825] : 47
N1 : [5.886165 5.886165 5.886165] : 95
Li1 : [7.17825 4.7855  2.39275] : 41
Li1 : [7.17825 2.39275 4.7855 ] : 33

ce_symbol  = TI:9
ce_fraction=  0.0023742059986873836
species:coords:index
N1 : [8.374625 5.981875 3.589125] : 74
N1 : [5.886165 3.684835 3.684835] : 89
N1 : [8.374625 3.589125 5.981875] : 78
Li1 : [9.571  4.7855 4.7855] : 8
Li1 : [7.17825 7.17825 4.7855 ] : 39
Li1 : [7.17825 4.7855  7.17825] : 47
N1 : [5.886165 5.886165 5.886165] : 95
Li1 : [7.17825 4.7855  2.39275] : 41
Li1 : [7.17825 2.39275 4.7855 ] : 33


**isite= 26
Li1 : [0.      7.17825 0.     ]

ce_symbol  = T:4
ce_fraction=  0.947847673441
species:coords:index
N1 : [-1.100665  8.470335  1.100665] : 90
N1 : [-1.196375  5.981875 -1.196375] : 79
N1 : [1.196375 5.981875 1.196375] : 75
N1 : [ 1.100665  8.470335 -1.100665] : 92
!!!atention to nb coordination!!!
         [2.0229707194309556, 2.0721822849052156, 2.072182284905216, 2.0229707194309556]
         [2.022970719430956, 2.072182284905216, 2.072182284905216, 2.022970719430956]

ce_symbol  = TO_3:9
ce_fraction=  0.04977812056031264
species:coords:index
N1 : [-1.100665  8.470335  1.100665] : 90
N1 : [-1.196375  5.981875 -1.196375] : 79
Li1 : [-2.39275  7.17825  0.     ] : 34
N1 : [1.196375 5.981875 1.196375] : 75
