cif name= ./1527984.cif
./1527984.cif
Full Formula (In16 Si16 O56)
 55  O     0.3022  0.5     0
 56  O     0.25    0.75    0.5522
 57  O     0.25    0.75    0.9478
 58  O     0.5     0.5     0.1978
 59  O     0.5     0.5     0.8022
 60  O     0.75    0.75    0.75
 61  O     0       0.5     0
 62  O     0.0522  0.25    0.25
 63  O     0       0.8022  0
 64  O     0.9478  0.25    0.75
 65  O     0       0.1978  0
 66  O     0.75    0.0522  0.75
 67  O     0.6978  0       0.5
 68  O     0.75    0.4478  0.75
 69  O     0.8022  0       0
 70  O     0.75    0.25    0.5522
 71  O     0.75    0.25    0.9478
 72  O     0       0       0.1978
 73  O     0       0       0.8022
 74  O     0.75    0.25    0.25
 75  O     0       0       0.5
 76  O     0.0522  0.75    0.75
 77  O     0       0.3022  0.5
 78  O     0.9478  0.75    0.25
 79  O     0       0.6978  0.5
 80  O     0.75    0.5522  0.25
 81  O     0.6978  0.5     0
 82  O     0.75    0.9478  0.25
 83  O     0.8022  0.5     0.5
 84  O     0.75    0.75    0.0522
 85  O     0.75    0.75    0.4478
 86  O     0       0.5     0.6978
 87  O     0       0.5     0.3022

space_group_IT_number 227

*** lse ***


**isite= 0
In1 : [1.176625 1.176625 5.883125]

ce_symbol  = HB:8
ce_fraction=  0.4279500543316385
species:coords:index
O1 : [0.     0.     4.7065] : 75
O1 : [2.35325 2.35325 7.05975] : 46
O1 : [0.        0.        7.5511086] : 73
O1 : [ 2.35325   -0.4913586  7.05975  ] : 54
O1 : [2.8446086 0.        4.7065   ] : 41
O1 : [2.35325   2.35325   4.2151414] : 43
O1 : [-0.4913586  2.35325    7.05975  ] : 64
O1 : [0.        2.8446086 4.7065   ] : 77
!!!atention to nb coordination!!!
         [2.0379742814557305, 2.0379742814557296, 2.3560691991363396, 2.3560691991363405, 2.3560691991363396, 2.3560691991363396, 2.3560691991363405, 2.3560691991363396]
         [2.03797428145573, 2.0379742814557305, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.3560691991363396]

ce_symbol  = C:8
ce_fraction=  0.3987065787726483
species:coords:index
O1 : [0.     0.     4.7065] : 75
O1 : [2.35325 2.35325 7.05975] : 46
O1 : [0.        0.        7.5511086] : 73
O1 : [ 2.35325   -0.4913586  7.05975  ] : 54
O1 : [2.8446086 0.        4.7065   ] : 41
O1 : [2.35325   2.35325   4.2151414] : 43
O1 : [-0.4913586  2.35325    7.05975  ] : 64
O1 : [0.        2.8446086 4.7065   ] : 77
!!!atention to nb coordination!!!
         [2.0379742814557305, 2.0379742814557296, 2.3560691991363396, 2.3560691991363405, 2.3560691991363396, 2.3560691991363396, 2.3560691991363405, 2.3560691991363396]
         [2.03797428145573, 2.0379742814557305, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.3560691991363396]

ce_symbol  = L:2
ce_fraction=  0.15761341445347452
species:coords:index
O1 : [0.     0.     4.7065] : 75
O1 : [2.35325 2.35325 7.05975] : 46
!!!atention to nb coordination!!!
         [2.0379742814557305, 2.0379742814557296]
         [2.03797428145573, 2.0379742814557305]

ce_symbol  = BO_1:8
ce_fraction=  0.01572995244223883
species:coords:index
O1 : [0.     0.     4.7065] : 75
O1 : [2.35325 2.35325 7.05975] : 46
O1 : [0.        0.        7.5511086] : 73
O1 : [ 2.35325   -0.4913586  7.05975  ] : 54
O1 : [2.8446086 0.        4.7065   ] : 41
O1 : [2.35325   2.35325   4.2151414] : 43
O1 : [-0.4913586  2.35325    7.05975  ] : 64
O1 : [0.        2.8446086 4.7065   ] : 77
!!!atention to nb coordination!!!
         [2.0379742814557305, 2.0379742814557296, 2.3560691991363396, 2.3560691991363405, 2.3560691991363396, 2.3560691991363396, 2.3560691991363405, 2.3560691991363396]
         [2.03797428145573, 2.0379742814557305, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.3560691991363396]


**isite= 1
In1 : [1.176625 8.236375 3.529875]

ce_symbol  = HB:8
ce_fraction=  0.42795005433163796
species:coords:index
O1 : [0.        9.413     1.8618914] : 72
O1 : [2.35325 7.05975 2.35325] : 32
O1 : [2.35325   9.9043586 2.35325  ] : 38
O1 : [2.8446086 9.413     4.7065   ] : 41
O1 : [2.35325   7.05975   5.1978586] : 56
O1 : [0.     9.413  4.7065] : 75
O1 : [0.        6.5683914 4.7065   ] : 79
O1 : [-0.4913586  7.05975    2.35325  ] : 78
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.037974281455731, 2.3560691991363396, 2.3560691991363387, 2.3560691991363405, 2.0379742814557296, 2.3560691991363396, 2.356069199136342]
         [2.3560691991363396, 2.0379742814557305, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.03797428145573, 2.35606919913634, 2.35606919913634]

ce_symbol  = C:8
ce_fraction=  0.3987065787726484
species:coords:index
O1 : [0.        9.413     1.8618914] : 72
O1 : [2.35325 7.05975 2.35325] : 32
O1 : [2.35325   9.9043586 2.35325  ] : 38
O1 : [2.8446086 9.413     4.7065   ] : 41
O1 : [2.35325   7.05975   5.1978586] : 56
O1 : [0.     9.413  4.7065] : 75
O1 : [0.        6.5683914 4.7065   ] : 79
O1 : [-0.4913586  7.05975    2.35325  ] : 78
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.037974281455731, 2.3560691991363396, 2.3560691991363387, 2.3560691991363405, 2.0379742814557296, 2.3560691991363396, 2.356069199136342]
         [2.3560691991363396, 2.0379742814557305, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.03797428145573, 2.35606919913634, 2.35606919913634]

ce_symbol  = L:2
ce_fraction=  0.15761341445347468
species:coords:index
O1 : [2.35325 7.05975 2.35325] : 32
O1 : [0.     9.413  4.7065] : 75
!!!atention to nb coordination!!!
         [2.037974281455731, 2.0379742814557296]
         [2.0379742814557305, 2.03797428145573]

ce_symbol  = BO_1:8
ce_fraction=  0.015729952442238942
species:coords:index
O1 : [0.        9.413     1.8618914] : 72
O1 : [2.35325 7.05975 2.35325] : 32
O1 : [2.35325   9.9043586 2.35325  ] : 38
O1 : [2.8446086 9.413     4.7065   ] : 41
O1 : [2.35325   7.05975   5.1978586] : 56
O1 : [0.     9.413  4.7065] : 75
O1 : [0.        6.5683914 4.7065   ] : 79
O1 : [-0.4913586  7.05975    2.35325  ] : 78
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.037974281455731, 2.3560691991363396, 2.3560691991363387, 2.3560691991363405, 2.0379742814557296, 2.3560691991363396, 2.356069199136342]
         [2.3560691991363396, 2.0379742814557305, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.03797428145573, 2.35606919913634, 2.35606919913634]


**isite= 2
In1 : [3.529875 3.529875 5.883125]

ce_symbol  = HB:8
ce_fraction=  0.4279500543316383
species:coords:index
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [4.7065    4.7065    7.5511086] : 59
O1 : [2.35325   5.1978586 7.05975  ] : 52
O1 : [5.1978586 2.35325   7.05975  ] : 34
O1 : [4.7065    1.8618914 4.7065   ] : 37
O1 : [2.35325   2.35325   4.2151414] : 43
O1 : [1.8618914 4.7065    4.7065   ] : 53
O1 : [2.35325 2.35325 7.05975] : 46
!!!atention to nb coordination!!!
         [2.0379742814557296, 2.3560691991363387, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.3560691991363405, 2.3560691991363396, 2.0379742814557305]
         [2.03797428145573, 2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.0379742814557305]

ce_symbol  = C:8
ce_fraction=  0.3987065787726487
species:coords:index
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [4.7065    4.7065    7.5511086] : 59
O1 : [2.35325   5.1978586 7.05975  ] : 52
O1 : [5.1978586 2.35325   7.05975  ] : 34
O1 : [4.7065    1.8618914 4.7065   ] : 37
O1 : [2.35325   2.35325   4.2151414] : 43
O1 : [1.8618914 4.7065    4.7065   ] : 53
O1 : [2.35325 2.35325 7.05975] : 46
!!!atention to nb coordination!!!
         [2.0379742814557296, 2.3560691991363387, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.3560691991363405, 2.3560691991363396, 2.0379742814557305]
         [2.03797428145573, 2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.0379742814557305]

ce_symbol  = L:2
ce_fraction=  0.15761341445347438
species:coords:index
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [2.35325 2.35325 7.05975] : 46
!!!atention to nb coordination!!!
         [2.0379742814557296, 2.0379742814557305]
         [2.03797428145573, 2.0379742814557305]

ce_symbol  = BO_1:8
ce_fraction=  0.015729952442238834
species:coords:index
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [4.7065    4.7065    7.5511086] : 59
O1 : [2.35325   5.1978586 7.05975  ] : 52
O1 : [5.1978586 2.35325   7.05975  ] : 34
O1 : [4.7065    1.8618914 4.7065   ] : 37
O1 : [2.35325   2.35325   4.2151414] : 43
O1 : [1.8618914 4.7065    4.7065   ] : 53
O1 : [2.35325 2.35325 7.05975] : 46
!!!atention to nb coordination!!!
         [2.0379742814557296, 2.3560691991363387, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.3560691991363405, 2.3560691991363396, 2.0379742814557305]
         [2.03797428145573, 2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.0379742814557305]


**isite= 3
In1 : [3.529875 1.176625 8.236375]

ce_symbol  = HB:8
ce_fraction=  0.4279500543316383
species:coords:index
O1 : [5.1978586 2.35325   7.05975  ] : 34
O1 : [4.7065    2.8446086 9.413    ] : 49
O1 : [4.7065    0.        6.5683914] : 44
O1 : [2.35325 2.35325 7.05975] : 46
O1 : [2.35325   2.35325   9.9043586] : 42
O1 : [4.7065 0.     9.413 ] : 47
O1 : [ 2.35325   -0.4913586  7.05975  ] : 54
O1 : [1.8618914 0.        9.413    ] : 39
!!!atention to nb coordination!!!
         [2.3560691991363405, 2.3560691991363387, 2.3560691991363396, 2.037974281455731, 2.3560691991363396, 2.0379742814557296, 2.356069199136342, 2.3560691991363396]
         [2.35606919913634, 2.3560691991363396, 2.35606919913634, 2.0379742814557305, 2.3560691991363396, 2.03797428145573, 2.35606919913634, 2.3560691991363396]

ce_symbol  = C:8
ce_fraction=  0.39870657877264737
species:coords:index
O1 : [5.1978586 2.35325   7.05975  ] : 34
O1 : [4.7065    2.8446086 9.413    ] : 49
O1 : [4.7065    0.        6.5683914] : 44
O1 : [2.35325 2.35325 7.05975] : 46
O1 : [2.35325   2.35325   9.9043586] : 42
O1 : [4.7065 0.     9.413 ] : 47
O1 : [ 2.35325   -0.4913586  7.05975  ] : 54
O1 : [1.8618914 0.        9.413    ] : 39
!!!atention to nb coordination!!!
         [2.3560691991363405, 2.3560691991363387, 2.3560691991363396, 2.037974281455731, 2.3560691991363396, 2.0379742814557296, 2.356069199136342, 2.3560691991363396]
         [2.35606919913634, 2.3560691991363396, 2.35606919913634, 2.0379742814557305, 2.3560691991363396, 2.03797428145573, 2.35606919913634, 2.3560691991363396]

ce_symbol  = L:2
ce_fraction=  0.1576134144534755
species:coords:index
O1 : [2.35325 2.35325 7.05975] : 46
O1 : [4.7065 0.     9.413 ] : 47
!!!atention to nb coordination!!!
         [2.037974281455731, 2.0379742814557296]
         [2.0379742814557305, 2.03797428145573]

ce_symbol  = BO_1:8
ce_fraction=  0.01572995244223894
species:coords:index
O1 : [5.1978586 2.35325   7.05975  ] : 34
O1 : [4.7065    2.8446086 9.413    ] : 49
O1 : [4.7065    0.        6.5683914] : 44
O1 : [2.35325 2.35325 7.05975] : 46
O1 : [2.35325   2.35325   9.9043586] : 42
O1 : [4.7065 0.     9.413 ] : 47
O1 : [ 2.35325   -0.4913586  7.05975  ] : 54
O1 : [1.8618914 0.        9.413    ] : 39
!!!atention to nb coordination!!!
         [2.3560691991363405, 2.3560691991363387, 2.3560691991363396, 2.037974281455731, 2.3560691991363396, 2.0379742814557296, 2.356069199136342, 2.3560691991363396]
         [2.35606919913634, 2.3560691991363396, 2.35606919913634, 2.0379742814557305, 2.3560691991363396, 2.03797428145573, 2.35606919913634, 2.3560691991363396]


**isite= 4
In1 : [1.176625 5.883125 1.176625]

ce_symbol  = HB:8
ce_fraction=  0.42795005433163813
species:coords:index
O1 : [0.        7.5511086 0.       ] : 63
O1 : [-0.4913586  7.05975    2.35325  ] : 78
O1 : [ 2.35325    7.05975   -0.4913586] : 57
O1 : [2.35325   4.2151414 2.35325  ] : 40
O1 : [0.        4.7065    2.8446086] : 87
O1 : [0.     4.7065 0.    ] : 61
O1 : [2.8446086 4.7065    0.       ] : 55
O1 : [2.35325 7.05975 2.35325] : 32
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.3560691991363405, 2.3560691991363405, 2.3560691991363396, 2.3560691991363396, 2.0379742814557305, 2.3560691991363396, 2.0379742814557296]
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.03797428145573, 2.3560691991363396, 2.0379742814557305]

ce_symbol  = C:8
ce_fraction=  0.39870657877264853
species:coords:index
O1 : [0.        7.5511086 0.       ] : 63
O1 : [-0.4913586  7.05975    2.35325  ] : 78
O1 : [ 2.35325    7.05975   -0.4913586] : 57
O1 : [2.35325   4.2151414 2.35325  ] : 40
O1 : [0.        4.7065    2.8446086] : 87
O1 : [0.     4.7065 0.    ] : 61
O1 : [2.8446086 4.7065    0.       ] : 55
O1 : [2.35325 7.05975 2.35325] : 32
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.3560691991363405, 2.3560691991363405, 2.3560691991363396, 2.3560691991363396, 2.0379742814557305, 2.3560691991363396, 2.0379742814557296]
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.03797428145573, 2.3560691991363396, 2.0379742814557305]

ce_symbol  = L:2
ce_fraction=  0.15761341445347452
species:coords:index
O1 : [0.     4.7065 0.    ] : 61
O1 : [2.35325 7.05975 2.35325] : 32
!!!atention to nb coordination!!!
         [2.0379742814557305, 2.0379742814557296]
         [2.03797428145573, 2.0379742814557305]

ce_symbol  = BO_1:8
ce_fraction=  0.0157299524422389
species:coords:index
O1 : [0.        7.5511086 0.       ] : 63
O1 : [-0.4913586  7.05975    2.35325  ] : 78
O1 : [ 2.35325    7.05975   -0.4913586] : 57
O1 : [2.35325   4.2151414 2.35325  ] : 40
O1 : [0.        4.7065    2.8446086] : 87
O1 : [0.     4.7065 0.    ] : 61
O1 : [2.8446086 4.7065    0.       ] : 55
O1 : [2.35325 7.05975 2.35325] : 32
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.3560691991363405, 2.3560691991363405, 2.3560691991363396, 2.3560691991363396, 2.0379742814557305, 2.3560691991363396, 2.0379742814557296]
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.03797428145573, 2.3560691991363396, 2.0379742814557305]


**isite= 5
In1 : [1.176625 3.529875 8.236375]

ce_symbol  = HB:8
ce_fraction=  0.4279500543316381
species:coords:index
O1 : [2.35325 2.35325 7.05975] : 46
O1 : [0.        4.7065    6.5683914] : 86
O1 : [2.35325   2.35325   9.9043586] : 42
O1 : [0.        1.8618914 9.413    ] : 65
O1 : [-0.4913586  2.35325    7.05975  ] : 64
O1 : [2.35325   5.1978586 7.05975  ] : 52
O1 : [2.8446086 4.7065    9.413    ] : 55
O1 : [0.     4.7065 9.413 ] : 61
!!!atention to nb coordination!!!
         [2.0379742814557313, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.356069199136342, 2.3560691991363405, 2.3560691991363387, 2.0379742814557296]
         [2.0379742814557305, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.03797428145573]

ce_symbol  = C:8
ce_fraction=  0.3987065787726486
species:coords:index
O1 : [2.35325 2.35325 7.05975] : 46
O1 : [0.        4.7065    6.5683914] : 86
O1 : [2.35325   2.35325   9.9043586] : 42
O1 : [0.        1.8618914 9.413    ] : 65
O1 : [-0.4913586  2.35325    7.05975  ] : 64
O1 : [2.35325   5.1978586 7.05975  ] : 52
O1 : [2.8446086 4.7065    9.413    ] : 55
O1 : [0.     4.7065 9.413 ] : 61
!!!atention to nb coordination!!!
         [2.0379742814557313, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.356069199136342, 2.3560691991363405, 2.3560691991363387, 2.0379742814557296]
         [2.0379742814557305, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.03797428145573]

ce_symbol  = L:2
ce_fraction=  0.15761341445347438
species:coords:index
O1 : [2.35325 2.35325 7.05975] : 46
O1 : [0.     4.7065 9.413 ] : 61
!!!atention to nb coordination!!!
         [2.0379742814557313, 2.0379742814557296]
         [2.0379742814557305, 2.03797428145573]

ce_symbol  = BO_1:8
ce_fraction=  0.01572995244223892
species:coords:index
O1 : [2.35325 2.35325 7.05975] : 46
O1 : [0.        4.7065    6.5683914] : 86
O1 : [2.35325   2.35325   9.9043586] : 42
O1 : [0.        1.8618914 9.413    ] : 65
O1 : [-0.4913586  2.35325    7.05975  ] : 64
O1 : [2.35325   5.1978586 7.05975  ] : 52
O1 : [2.8446086 4.7065    9.413    ] : 55
O1 : [0.     4.7065 9.413 ] : 61
!!!atention to nb coordination!!!
         [2.0379742814557313, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.356069199136342, 2.3560691991363405, 2.3560691991363387, 2.0379742814557296]
         [2.0379742814557305, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.03797428145573]


**isite= 6
In1 : [3.529875 8.236375 1.176625]

ce_symbol  = HB:8
ce_fraction=  0.42795005433163824
species:coords:index
O1 : [ 2.35325    7.05975   -0.4913586] : 57
O1 : [4.7065    6.5683914 0.       ] : 51
O1 : [5.1978586 7.05975   2.35325  ] : 48
O1 : [2.35325   9.9043586 2.35325  ] : 38
O1 : [1.8618914 9.413     0.       ] : 39
O1 : [4.7065 9.413  0.    ] : 47
O1 : [4.7065    9.413     2.8446086] : 45
O1 : [2.35325 7.05975 2.35325] : 32
!!!atention to nb coordination!!!
         [2.356069199136342, 2.3560691991363396, 2.3560691991363405, 2.356069199136339, 2.3560691991363396, 2.0379742814557296, 2.3560691991363387, 2.037974281455731]
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.03797428145573, 2.3560691991363396, 2.0379742814557305]

ce_symbol  = C:8
ce_fraction=  0.39870657877264837
species:coords:index
O1 : [ 2.35325    7.05975   -0.4913586] : 57
O1 : [4.7065    6.5683914 0.       ] : 51
O1 : [5.1978586 7.05975   2.35325  ] : 48
O1 : [2.35325   9.9043586 2.35325  ] : 38
O1 : [1.8618914 9.413     0.       ] : 39
O1 : [4.7065 9.413  0.    ] : 47
O1 : [4.7065    9.413     2.8446086] : 45
O1 : [2.35325 7.05975 2.35325] : 32
!!!atention to nb coordination!!!
         [2.356069199136342, 2.3560691991363396, 2.3560691991363405, 2.356069199136339, 2.3560691991363396, 2.0379742814557296, 2.3560691991363387, 2.037974281455731]
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.03797428145573, 2.3560691991363396, 2.0379742814557305]

ce_symbol  = L:2
ce_fraction=  0.15761341445347452
species:coords:index
O1 : [4.7065 9.413  0.    ] : 47
O1 : [2.35325 7.05975 2.35325] : 32
!!!atention to nb coordination!!!
         [2.0379742814557296, 2.037974281455731]
         [2.03797428145573, 2.0379742814557305]

ce_symbol  = BO_1:8
ce_fraction=  0.015729952442238883
species:coords:index
O1 : [ 2.35325    7.05975   -0.4913586] : 57
O1 : [4.7065    6.5683914 0.       ] : 51
O1 : [5.1978586 7.05975   2.35325  ] : 48
O1 : [2.35325   9.9043586 2.35325  ] : 38
O1 : [1.8618914 9.413     0.       ] : 39
O1 : [4.7065 9.413  0.    ] : 47
O1 : [4.7065    9.413     2.8446086] : 45
O1 : [2.35325 7.05975 2.35325] : 32
!!!atention to nb coordination!!!
         [2.356069199136342, 2.3560691991363396, 2.3560691991363405, 2.356069199136339, 2.3560691991363396, 2.0379742814557296, 2.3560691991363387, 2.037974281455731]
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.3560691991363396, 2.03797428145573, 2.3560691991363396, 2.0379742814557305]


**isite= 7
In1 : [3.529875 5.883125 3.529875]

ce_symbol  = HB:8
ce_fraction=  0.4279500543316383
species:coords:index
O1 : [2.35325   4.2151414 2.35325  ] : 40
O1 : [2.35325 7.05975 2.35325] : 32
O1 : [1.8618914 4.7065    4.7065   ] : 53
O1 : [2.35325   7.05975   5.1978586] : 56
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [5.1978586 7.05975   2.35325  ] : 48
O1 : [4.7065    4.7065    1.8618914] : 58
O1 : [4.7065    7.5511086 4.7065   ] : 35
!!!atention to nb coordination!!!
         [2.3560691991363405, 2.0379742814557305, 2.3560691991363396, 2.3560691991363396, 2.0379742814557296, 2.35606919913634, 2.3560691991363396, 2.3560691991363387]
         [2.3560691991363396, 2.0379742814557305, 2.3560691991363396, 2.35606919913634, 2.03797428145573, 2.35606919913634, 2.3560691991363396, 2.35606919913634]

ce_symbol  = C:8
ce_fraction=  0.3987065787726478
species:coords:index
O1 : [2.35325   4.2151414 2.35325  ] : 40
O1 : [2.35325 7.05975 2.35325] : 32
O1 : [1.8618914 4.7065    4.7065   ] : 53
O1 : [2.35325   7.05975   5.1978586] : 56
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [5.1978586 7.05975   2.35325  ] : 48
O1 : [4.7065    4.7065    1.8618914] : 58
O1 : [4.7065    7.5511086 4.7065   ] : 35
!!!atention to nb coordination!!!
         [2.3560691991363405, 2.0379742814557305, 2.3560691991363396, 2.3560691991363396, 2.0379742814557296, 2.35606919913634, 2.3560691991363396, 2.3560691991363387]
         [2.3560691991363396, 2.0379742814557305, 2.3560691991363396, 2.35606919913634, 2.03797428145573, 2.35606919913634, 2.3560691991363396, 2.35606919913634]

ce_symbol  = L:2
ce_fraction=  0.1576134144534749
species:coords:index
O1 : [2.35325 7.05975 2.35325] : 32
O1 : [4.7065 4.7065 4.7065] : 33
!!!atention to nb coordination!!!
         [2.0379742814557305, 2.0379742814557296]
         [2.0379742814557305, 2.03797428145573]

ce_symbol  = BO_1:8
ce_fraction=  0.015729952442238904
species:coords:index
O1 : [2.35325   4.2151414 2.35325  ] : 40
O1 : [2.35325 7.05975 2.35325] : 32
O1 : [1.8618914 4.7065    4.7065   ] : 53
O1 : [2.35325   7.05975   5.1978586] : 56
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [5.1978586 7.05975   2.35325  ] : 48
O1 : [4.7065    4.7065    1.8618914] : 58
O1 : [4.7065    7.5511086 4.7065   ] : 35
!!!atention to nb coordination!!!
         [2.3560691991363405, 2.0379742814557305, 2.3560691991363396, 2.3560691991363396, 2.0379742814557296, 2.35606919913634, 2.3560691991363396, 2.3560691991363387]
         [2.3560691991363396, 2.0379742814557305, 2.3560691991363396, 2.35606919913634, 2.03797428145573, 2.35606919913634, 2.3560691991363396, 2.35606919913634]


**isite= 8
In1 : [5.883125 1.176625 1.176625]

ce_symbol  = HB:8
ce_fraction=  0.4279500543316385
species:coords:index
O1 : [4.7065    2.8446086 0.       ] : 49
O1 : [ 7.05975    2.35325   -0.4913586] : 71
O1 : [4.7065 0.     0.    ] : 47
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [4.2151414 2.35325   2.35325  ] : 36
O1 : [7.5511086 0.        0.       ] : 69
O1 : [4.7065    0.        2.8446086] : 45
O1 : [ 7.05975   -0.4913586  2.35325  ] : 82
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.3560691991363405, 2.0379742814557305, 2.0379742814557296, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.3560691991363405]
         [2.3560691991363396, 2.35606919913634, 2.03797428145573, 2.0379742814557305, 2.3560691991363396, 2.35606919913634, 2.3560691991363396, 2.35606919913634]

ce_symbol  = C:8
ce_fraction=  0.3987065787726483
species:coords:index
O1 : [4.7065    2.8446086 0.       ] : 49
O1 : [ 7.05975    2.35325   -0.4913586] : 71
O1 : [4.7065 0.     0.    ] : 47
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [4.2151414 2.35325   2.35325  ] : 36
O1 : [7.5511086 0.        0.       ] : 69
O1 : [4.7065    0.        2.8446086] : 45
O1 : [ 7.05975   -0.4913586  2.35325  ] : 82
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.3560691991363405, 2.0379742814557305, 2.0379742814557296, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.3560691991363405]
         [2.3560691991363396, 2.35606919913634, 2.03797428145573, 2.0379742814557305, 2.3560691991363396, 2.35606919913634, 2.3560691991363396, 2.35606919913634]

ce_symbol  = L:2
ce_fraction=  0.15761341445347452
species:coords:index
O1 : [4.7065 0.     0.    ] : 47
O1 : [7.05975 2.35325 2.35325] : 74
!!!atention to nb coordination!!!
         [2.0379742814557305, 2.0379742814557296]
         [2.03797428145573, 2.0379742814557305]

ce_symbol  = BO_1:8
