cif name= ./1534029.cif
./1534029.cif
Full Formula (Cr8 Pb40 O64)
 48  O     0.3453   0.2015   0.6494
 49  O     0.6547   0.7015   0.8506
 50  O     0.6547   0.7985   0.3506
 51  O     0.3453   0.2985   0.1494
 52  O     0.0306   0.0591   0.6131
 53  O     0.9694   0.5591   0.8869
 54  O     0.9694   0.9409   0.3869
 55  O     0.0306   0.4409   0.1131
 56  O     0.9461   0.5986   0.4942
 57  O     0.0539   0.0986   0.0058
 58  O     0.0539   0.4014   0.5058
 59  O     0.9461   0.9014   0.9942
 60  O     0.6917   0.2267   0.516
 61  O     0.3083   0.7267   0.984
 62  O     0.3083   0.7733   0.484
 63  O     0.6917   0.2733   0.016
 64  O     0.8466   0.0134   0.6033
 65  O     0.1534   0.5134   0.8967
 66  O     0.1534   0.9866   0.3967
 67  O     0.8466   0.4866   0.1033
 68  O     0.4394   0.597    0.508
 69  O     0.5606   0.097    0.992
 70  O     0.5606   0.403    0.492
 71  O     0.4394   0.903    0.008
 72  O     0.9298   0.0985   0.793
 73  O     0.0702   0.5985   0.707
 74  O     0.0702   0.9015   0.207
 75  O     0.9298   0.4015   0.293
 76  O     0.5203   0.1711   0.6043
 77  O     0.4797   0.6711   0.8957
 78  O     0.4797   0.8289   0.3957
 79  O     0.5203   0.3289   0.1043
 80  O     0.1816   0.222    0.5204
 81  O     0.8184   0.722    0.9796
 82  O     0.8184   0.778    0.4796
 83  O     0.1816   0.278    0.0204
 84  O     0.4436   0.0811   0.7969
 85  O     0.5564   0.5811   0.7031
 86  O     0.5564   0.9189   0.2031
 87  O     0.4436   0.4189   0.2969
 88  O     0.3883   0.9923   0.5887
 89  O     0.6117   0.4923   0.9113
 90  O     0.6117   0.0077   0.4113
 91  O     0.3883   0.5077   0.0887
 92  O     0.8294   0.6768   0.6995
 93  O     0.1706   0.1768   0.8005
 94  O     0.1706   0.3232   0.3005
 95  O     0.8294   0.8232   0.1995
 96  O     0.6865   0.5894   0.512
 97  O     0.3135   0.0894   0.988
 98  O     0.3135   0.4106   0.488
 99  O     0.6865   0.9106   0.012
100  O     0.1859   0.5819   0.5055
101  O     0.8141   0.0819   0.9945
102  O     0.8141   0.4181   0.4945
103  O     0.1859   0.9181   0.0055
104  O     0.3094   0.6741   0.709
105  O     0.6906   0.1741   0.791
106  O     0.6906   0.3259   0.291
107  O     0.3094   0.8259   0.209
108  O     0.9073   0.2224   0.5994
109  O     0.0927   0.7224   0.9006
110  O     0.0927   0.7776   0.4006
111  O     0.9073   0.2776   0.0994

space_group_IT_number 14

*** lse ***


**isite= 0
Cr1 : [6.20447517 1.2541098  7.57583835]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.97916824 2.3529155  7.52025287] : 48
O1 : [6.40403315 0.9470047  9.22834849] : 84
O1 : [7.57669305 1.9979347  6.99798092] : 76
O1 : [ 5.62723612 -0.0899129   6.81732809] : 88
!!!atention to nb coordination!!!
         [1.6467667678100806, 1.692609432677286, 1.6643847533133311, 1.6477074219895411]
         [1.6467667678100797, 1.692609432677286, 1.6643847533133311, 1.6477074219895416]


**isite= 1
Cr1 : [8.29069076 7.0926098  9.79462562]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [9.51599769 8.1914155  9.8502111 ] : 49
O1 : [ 8.86792981  5.7485871  10.55313588] : 89
O1 : [ 6.91847288  7.8364347  10.37248305] : 77
O1 : [8.09113278 6.7855047  8.14211548] : 85
!!!atention to nb coordination!!!
         [1.6467667678100777, 1.647707421989541, 1.66438475331333, 1.6926094326772874]
         [1.646766767810079, 1.6477074219895416, 1.6643847533133307, 1.6926094326772871]


**isite= 2
Cr1 : [ 8.38963545 10.4228902   4.00447096]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 8.19007747 10.7299953   2.35196082] : 86
O1 : [7.01741757 9.6790653  4.5823284 ] : 78
O1 : [ 8.9668745  11.7669129   4.76298122] : 90
O1 : [9.61494238 9.3240845  4.06005645] : 50
!!!atention to nb coordination!!!
         [1.692609432677286, 1.664384753313332, 1.6477074219895407, 1.6467667678100797]
         [1.6926094326772856, 1.6643847533133322, 1.6477074219895407, 1.6467667678100797]


**isite= 3
Cr1 : [6.30341986 4.5843902  1.7856837 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [6.50297784 4.8914953  3.43819384] : 87
O1 : [5.72618081 5.9284129  1.02717344] : 91
O1 : [7.67563774 3.8405653  1.20782626] : 79
O1 : [5.07811293 3.4855845  1.73009821] : 51
!!!atention to nb coordination!!!
         [1.6926094326772834, 1.6477074219895422, 1.6643847533133314, 1.64676676781008]
         [1.6926094326772836, 1.6477074219895422, 1.6643847533133314, 1.6467667678100797]


**isite= 4
Cr1 : [13.62643291  1.132669    7.52835908]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [13.30216671  2.5969648   6.9412374 ] : 108
O1 : [12.40352054  0.1564718   6.98640061] : 64
O1 : [13.59667532  1.1501845   9.18318529] : 72
O1 : [15.12330922  0.6901107   7.09988764] : 52
!!!atention to nb coordination!!!
         [1.610596980481149, 1.6559573197229593, 1.6551864131165643, 1.6186674477286316]
         [1.610596980481149, 1.6559573197229593, 1.6551864131165643, 1.6186674477286331]


**isite= 5
Cr1 : [0.86873302 6.971169   9.84210489]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [-0.62814329  6.5286107  10.27057633] : 53
O1 : [0.89849061 6.9886845  8.18727868] : 73
O1 : [ 1.19299922  8.4354648  10.42922657] : 109
O1 : [ 2.09164539  5.9949718  10.38406336] : 65
!!!atention to nb coordination!!!
         [1.6186674477286314, 1.6551864131165643, 1.610596980481149, 1.65595731972296]
         [1.6186674477286311, 1.6551864131165643, 1.610596980481149, 1.6559573197229602]


**isite= 6
Cr1 : [ 0.96767771 10.544331    4.05195023]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 0.9974353  10.5268155   2.39712403] : 74
O1 : [1.29194391 9.0800352  4.63907191] : 110
O1 : [ 2.19059008 11.5205282   4.5939087 ] : 66
O1 : [-0.5291986  10.9868893   4.48042167] : 54
!!!atention to nb coordination!!!
         [1.655186413116564, 1.610596980481149, 1.6559573197229593, 1.6186674477286314]
         [1.655186413116564, 1.610596980481149, 1.6559573197229596, 1.6186674477286316]


**isite= 7
Cr1 : [13.7253776   4.705831    1.73820443]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [12.50246523  5.6820282   1.19624595] : 67
O1 : [13.4011114   3.2415352   1.15108275] : 111
O1 : [13.69562001  4.6883155   3.39303063] : 75
O1 : [15.22225391  5.1483893   1.30973298] : 55
!!!atention to nb coordination!!!
         [1.6559573197229593, 1.610596980481149, 1.6551864131165668, 1.6186674477286307]
         [1.6559573197229593, 1.6105969804811489, 1.6551864131165668, 1.6186674477286307]


**isite= 8
Pb1 : [6.3701279  4.9954206  7.05750371]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [6.399077   6.971169   5.88279713] : 68
O1 : [8.19503363 4.705831   5.69751218] : 70
O1 : [8.09113278 6.7855047  8.14211548] : 85
O1 : [4.54072198 4.7945762  5.65119094] : 98
!!!atention to nb coordination!!!
         [2.298772570715328, 2.2942798446147736, 2.709730904851948, 2.316199485713844]
         [2.298772570715328, 2.2942798446147745, 2.7097309048519493, 2.316199485713844]


**isite= 9
Pb1 : [ 8.12503803 10.8339206  10.31296026]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [ 9.95444395 10.6330762  11.71927303] : 99
O1 : [ 6.30013231 10.544331   11.67295179] : 71
O1 : [ 8.09608894 12.809669   11.48766684] : 69
O1 : [ 6.40403315 12.6240047   9.22834849] : 84
!!!atention to nb coordination!!!
         [2.3161994857138444, 2.294279844614774, 2.2987725707153275, 2.709730904851949]
         [2.3161994857138457, 2.2942798446147745, 2.2987725707153284, 2.709730904851949]


**isite= 10
Pb1 : [8.22398272 6.6815794  4.52280561]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [6.50297784 4.8914953  3.43819384] : 87
O1 : [8.19503363 4.705831   5.69751218] : 70
O1 : [10.05338864  6.8824238   5.92911837] : 96
O1 : [6.399077   6.971169   5.88279713] : 68
!!!atention to nb coordination!!!
         [2.7097309048519502, 2.2987725707153275, 2.316199485713845, 2.2942798446147745]
         [2.70973090485195, 2.298772570715328, 2.316199485713845, 2.294279844614774]


**isite= 11
Pb1 : [6.46907259 0.8430794  1.26734905]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [ 8.29397832  1.132669   -0.09264247] : 69
O1 : [ 8.19007747 -0.9470047   2.35196082] : 86
O1 : [ 4.63966667  1.0439238  -0.13896371] : 97
O1 : [ 6.49802168 -1.132669    0.09264247] : 71
!!!atention to nb coordination!!!
         [2.2942798446147745, 2.709730904851948, 2.3161994857138453, 2.2987725707153297]
         [2.2942798446147745, 2.7097309048519493, 2.316199485713845, 2.298772570715328]


**isite= 12
Pb1 : [9.88712076 0.91734512 7.27116041]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [10.0588247   2.0329657   9.16002467] : 105
O1 : [10.12951548  2.6471759   5.97543961] : 60
O1 : [7.57669305 1.9979347  6.99798092] : 76
O1 : [8.9668745  0.0899129  4.76298122] : 90
O1 : [12.40352054  0.1564718   6.98640061] : 64
!!!atention to nb coordination!!!
         [2.2004317043557915, 2.1748476139930517, 2.5652245669337828, 2.796866125951455, 2.644292761443609]
         [2.2004317043557933, 2.1748476139930517, 2.5652245669337828, 2.796866125951455, 2.644292761443609]


**isite= 13
Pb1 : [ 4.60804517  6.75584512 10.09930356]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [ 4.36565045  8.4856759  11.39502436] : 61
O1 : [4.43634123 7.8714657  8.2104393 ] : 104
O1 : [ 6.91847288  7.8364347  10.37248305] : 77
O1 : [ 2.09164539  5.9949718  10.38406336] : 65
O1 : [ 5.52829143  5.9284129  12.60748275] : 91
!!!atention to nb coordination!!!
         [2.1748476139930517, 2.2004317043557933, 2.565224566933784, 2.6442927614436083, 2.796866125951455]
         [2.1748476139930517, 2.2004317043557933, 2.5652245669337845, 2.644292761443608, 2.796866125951455]


**isite= 14
Pb1 : [ 4.70698986 10.75965488  4.3091489 ]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [ 5.62723612 11.5870871   6.81732809] : 88
O1 : [4.46459514 9.0298241  5.60486971] : 62
O1 : [ 2.19059008 11.5205282   4.5939087 ] : 66
O1 : [4.53528592 9.6440343  2.42028465] : 107
O1 : [7.01741757 9.6790653  4.5823284 ] : 78
!!!atention to nb coordination!!!
         [2.7968661259514564, 2.174847613993051, 2.6442927614436083, 2.200431704355793, 2.565224566933783]
         [2.796866125951456, 2.1748476139930513, 2.644292761443608, 2.2004317043557924, 2.565224566933783]


**isite= 15
Pb1 : [9.98606545 4.92115488 1.48100576]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [10.15776939  3.8055343   3.36987001] : 106
O1 : [7.67563774 3.8405653  1.20782626] : 79
O1 : [ 9.06581919  5.7485871  -1.02717344] : 89
O1 : [10.22846017  3.1913241   0.18528495] : 63
O1 : [12.50246523  5.6820282   1.19624595] : 67
!!!atention to nb coordination!!!
         [2.2004317043557933, 2.5652245669337828, 2.7968661259514564, 2.1748476139930517, 2.644292761443609]
         [2.2004317043557933, 2.5652245669337828, 2.7968661259514542, 2.1748476139930517, 2.644292761443609]


**isite= 16
Pb1 : [10.30469798  8.73965065  7.08078013]

ce_symbol  = SS:4
ce_fraction=  0.969256480302702
species:coords:index
O1 : [12.01086505  9.084706    5.55391635] : 82
O1 : [10.05338864  6.8824238   5.92911837] : 96
O1 : [9.51599769 8.1914155  9.8502111 ] : 49
O1 : [12.13006118  7.9029936   8.10042636] : 92
!!!atention to nb coordination!!!
         [2.3154658911631, 2.1997210663114832, 2.9312723909245104, 2.2520267041698743]
         [2.3154658911631, 2.1997210663114823, 2.93127239092451, 2.2520267041698743]

ce_symbol  = TY:3
ce_fraction=  0.03074351969729812
species:coords:index
O1 : [12.01086505  9.084706    5.55391635] : 82
O1 : [10.05338864  6.8824238   5.92911837] : 96
O1 : [12.13006118  7.9029936   8.10042636] : 92
!!!atention to nb coordination!!!
         [2.3154658911631, 2.1997210663114832, 2.2520267041698743]
         [2.3154658911631, 2.1997210663114823, 2.2520267041698743]


**isite= 17
Pb1 : [ 4.19046795  2.90115065 10.28968384]

ce_symbol  = SS:4
ce_fraction=  0.9692564803027033
species:coords:index
O1 : [ 2.48430088  3.246206   11.81654762] : 83
O1 : [ 4.44177729  1.0439238  11.4413456 ] : 97
O1 : [4.97916824 2.3529155  7.52025287] : 48
O1 : [2.36510475 2.0644936  9.27003761] : 93
!!!atention to nb coordination!!!
         [2.315465891163102, 2.1997210663114832, 2.931272390924508, 2.252026704169876]
         [2.3154658911631016, 2.1997210663114832, 2.931272390924508, 2.2520267041698756]

ce_symbol  = TY:3
ce_fraction=  0.030743519697296676
species:coords:index
O1 : [ 2.48430088  3.246206   11.81654762] : 83
O1 : [ 4.44177729  1.0439238  11.4413456 ] : 97
O1 : [2.36510475 2.0644936  9.27003761] : 93
!!!atention to nb coordination!!!
         [2.315465891163102, 2.1997210663114832, 2.252026704169876]
         [2.3154658911631016, 2.1997210663114832, 2.2520267041698756]


**isite= 18
Pb1 : [4.28941264 2.93734935 4.49952918]

ce_symbol  = SS:4
ce_fraction=  0.9692564803027043
species:coords:index
O1 : [2.58324557 2.592294   6.02639297] : 80
O1 : [4.54072198 4.7945762  5.65119094] : 98
O1 : [2.46404944 3.7740064  3.47988295] : 94
O1 : [5.07811293 3.4855845  1.73009821] : 51

ce_symbol  = TY:3
ce_fraction=  0.030743519697295645
species:coords:index
O1 : [2.58324557 2.592294   6.02639297] : 80
O1 : [4.54072198 4.7945762  5.65119094] : 98
O1 : [2.46404944 3.7740064  3.47988295] : 94


**isite= 19
Pb1 : [10.40364267  8.77584935  1.29062547]

ce_symbol  = SS:4
ce_fraction=  0.9692564803027052
species:coords:index
O1 : [10.15233333 10.6330762   0.13896371] : 99
O1 : [12.10980974  8.430794   -0.23623831] : 81
O1 : [12.22900587  9.6125064   2.31027171] : 95
O1 : [9.61494238 9.3240845  4.06005645] : 50
!!!atention to nb coordination!!!
         [2.1997210663114823, 2.3154658911631, 2.2520267041698747, 2.9312723909245095]
         [2.1997210663114823, 2.3154658911631016, 2.252026704169875, 2.9312723909245095]

ce_symbol  = TY:3
ce_fraction=  0.030743519697294764
species:coords:index
O1 : [10.15233333 10.6330762   0.13896371] : 99
O1 : [12.10980974  8.430794   -0.23623831] : 81
O1 : [12.22900587  9.6125064   2.31027171] : 95
!!!atention to nb coordination!!!
         [2.1997210663114823, 2.3154658911631, 2.2520267041698747]
         [2.1997210663114823, 2.3154658911631016, 2.252026704169875]


**isite= 20
Pb1 : [2.67010796 4.82995751 7.09780318]

ce_symbol  = SY:4
ce_fraction=  0.9989949957984164
species:coords:index
O1 : [0.69719635 4.6871478  5.85732045] : 58
O1 : [2.64979972 6.7948463  5.85384636] : 100
O1 : [2.58324557 2.592294   6.02639297] : 80
O1 : [4.54072198 4.7945762  5.65119094] : 98
!!!atention to nb coordination!!!
         [2.334860219633908, 2.325645924866399, 2.482459045808053, 2.364981104593721]
         [2.334860219633908, 2.3256459248663988, 2.482459045808053, 2.364981104593721]

ce_symbol  = SS:4
ce_fraction=  0.0009211482374394715
species:coords:index
O1 : [0.69719635 4.6871478  5.85732045] : 58
O1 : [2.64979972 6.7948463  5.85384636] : 100
O1 : [2.58324557 2.592294   6.02639297] : 80
O1 : [4.54072198 4.7945762  5.65119094] : 98
!!!atention to nb coordination!!!
         [2.334860219633908, 2.325645924866399, 2.482459045808053, 2.364981104593721]
         [2.334860219633908, 2.3256459248663988, 2.482459045808053, 2.364981104593721]

ce_symbol  = S:4
ce_fraction=  8.385596414414018e-05
species:coords:index
O1 : [0.69719635 4.6871478  5.85732045] : 58
O1 : [2.64979972 6.7948463  5.85384636] : 100
O1 : [2.58324557 2.592294   6.02639297] : 80
O1 : [4.54072198 4.7945762  5.65119094] : 98
!!!atention to nb coordination!!!
         [2.334860219633908, 2.325645924866399, 2.482459045808053, 2.364981104593721]
         [2.334860219633908, 2.3256459248663988, 2.482459045808053, 2.364981104593721]


**isite= 21
Pb1 : [11.82505797 10.66845751 10.27266079]

ce_symbol  = SY:4
ce_fraction=  0.9989949957984164
species:coords:index
O1 : [ 9.95444395 10.6330762  11.71927303] : 99
O1 : [13.79796958 10.5256478  11.51314352] : 59
O1 : [11.91192036  8.430794   11.344071  ] : 81
O1 : [11.84536621 12.6333463  11.51661761] : 101
!!!atention to nb coordination!!!
         [2.364981104593724, 2.334860219633908, 2.4824590458080533, 2.325645924866399]
         [2.3649811045937223, 2.334860219633908, 2.4824590458080538, 2.325645924866399]

ce_symbol  = SS:4
ce_fraction=  0.0009211482374394835
species:coords:index
O1 : [ 9.95444395 10.6330762  11.71927303] : 99
O1 : [13.79796958 10.5256478  11.51314352] : 59
O1 : [11.91192036  8.430794   11.344071  ] : 81
O1 : [11.84536621 12.6333463  11.51661761] : 101
!!!atention to nb coordination!!!
         [2.364981104593724, 2.334860219633908, 2.4824590458080533, 2.325645924866399]
         [2.3649811045937223, 2.334860219633908, 2.4824590458080538, 2.325645924866399]

ce_symbol  = S:4
ce_fraction=  8.38559641441455e-05
species:coords:index
O1 : [ 9.95444395 10.6330762  11.71927303] : 99
O1 : [13.79796958 10.5256478  11.51314352] : 59
O1 : [11.91192036  8.430794   11.344071  ] : 81
O1 : [11.84536621 12.6333463  11.51661761] : 101
!!!atention to nb coordination!!!
         [2.364981104593724, 2.334860219633908, 2.4824590458080533, 2.325645924866399]
         [2.3649811045937223, 2.334860219633908, 2.4824590458080538, 2.325645924866399]


**isite= 22
Pb1 : [11.92400266  6.84704249  4.48250613]

ce_symbol  = SY:4
ce_fraction=  0.9989949957984164
species:coords:index
O1 : [10.05338864  6.8824238   5.92911837] : 96
O1 : [11.9443109   4.8821537   5.72646296] : 102
O1 : [12.01086505  9.084706    5.55391635] : 82
O1 : [13.89691427  6.9898522   5.72298886] : 56
!!!atention to nb coordination!!!
         [2.364981104593722, 2.3256459248663988, 2.482459045808053, 2.3348602196339074]
         [2.364981104593722, 2.3256459248663988, 2.482459045808053, 2.334860219633908]

ce_symbol  = SS:4
ce_fraction=  0.0009211482374394628
species:coords:index
O1 : [10.05338864  6.8824238   5.92911837] : 96
O1 : [11.9443109   4.8821537   5.72646296] : 102
O1 : [12.01086505  9.084706    5.55391635] : 82
O1 : [13.89691427  6.9898522   5.72298886] : 56
!!!atention to nb coordination!!!
         [2.364981104593722, 2.3256459248663988, 2.482459045808053, 2.3348602196339074]
         [2.364981104593722, 2.3256459248663988, 2.482459045808053, 2.334860219633908]

ce_symbol  = S:4
ce_fraction=  8.385596414414365e-05
species:coords:index
O1 : [10.05338864  6.8824238   5.92911837] : 96
O1 : [11.9443109   4.8821537   5.72646296] : 102
O1 : [12.01086505  9.084706    5.55391635] : 82
O1 : [13.89691427  6.9898522   5.72298886] : 56
!!!atention to nb coordination!!!
         [2.364981104593722, 2.3256459248663988, 2.482459045808053, 2.3348602196339074]
         [2.364981104593722, 2.3256459248663988, 2.482459045808053, 2.334860219633908]


**isite= 23
Pb1 : [2.76905265 1.00854249 1.30764853]

ce_symbol  = SY:4
ce_fraction=  0.9989949957984164
species:coords:index
O1 : [0.79614104 1.1513522  0.06716579] : 57
O1 : [ 2.74874441 -0.9563463   0.0636917 ] : 103
O1 : [2.68219026 3.246206   0.23623831] : 83
O1 : [ 4.63966667  1.0439238  -0.13896371] : 97
!!!atention to nb coordination!!!
         [2.3348602196339083, 2.325645924866402, 2.4824590458080538, 2.364981104593722]
         [2.3348602196339083, 2.3256459248664, 2.4824590458080547, 2.364981104593722]

ce_symbol  = SS:4
ce_fraction=  0.0009211482374394432
species:coords:index
O1 : [0.79614104 1.1513522  0.06716579] : 57
O1 : [ 2.74874441 -0.9563463   0.0636917 ] : 103
O1 : [2.68219026 3.246206   0.23623831] : 83
O1 : [ 4.63966667  1.0439238  -0.13896371] : 97
!!!atention to nb coordination!!!
         [2.3348602196339083, 2.325645924866402, 2.4824590458080538, 2.364981104593722]
         [2.3348602196339083, 2.3256459248664, 2.4824590458080547, 2.364981104593722]

ce_symbol  = S:4
ce_fraction=  8.385596414413282e-05
species:coords:index
O1 : [0.79614104 1.1513522  0.06716579] : 57
O1 : [ 2.74874441 -0.9563463   0.0636917 ] : 103
O1 : [2.68219026 3.246206   0.23623831] : 83
O1 : [ 4.63966667  1.0439238  -0.13896371] : 97
!!!atention to nb coordination!!!
         [2.3348602196339083, 2.325645924866402, 2.4824590458080538, 2.364981104593722]
         [2.3348602196339083, 2.3256459248664, 2.4824590458080547, 2.364981104593722]


**isite= 24
Pb1 : [13.74047784  5.21518174  7.17353841]

ce_symbol  = SY:4
ce_fraction=  0.567989355048818
species:coords:index
O1 : [15.48919635  4.6871478   5.85732045] : 58
O1 : [13.30216671  2.5969648   6.9412374 ] : 108
O1 : [13.89691427  6.9898522   5.72298886] : 56
O1 : [11.9443109   4.8821537   5.72646296] : 102
!!!atention to nb coordination!!!
         [2.251503046260524, 2.6647964943604294, 2.29739451935805, 2.330482938396472]
         [2.251503046260524, 2.6647964943604294, 2.297394519358051, 2.330482938396472]

ce_symbol  = SS:4
ce_fraction=  0.432010644951182
species:coords:index
O1 : [15.48919635  4.6871478   5.85732045] : 58
O1 : [13.30216671  2.5969648   6.9412374 ] : 108
O1 : [13.89691427  6.9898522   5.72298886] : 56
O1 : [11.9443109   4.8821537   5.72646296] : 102
!!!atention to nb coordination!!!
         [2.251503046260524, 2.6647964943604294, 2.29739451935805, 2.330482938396472]
         [2.251503046260524, 2.6647964943604294, 2.297394519358051, 2.330482938396472]


**isite= 25
Pb1 : [ 0.75468809 11.05368174 10.19692556]

ce_symbol  = SY:4
ce_fraction=  0.5679893550488195
species:coords:index
O1 : [ 0.59825166 12.8283522  11.64747511] : 57
O1 : [ 2.55085503 10.7206537  11.64400101] : 103
O1 : [-0.99403042 10.5256478  11.51314352] : 59
O1 : [ 1.19299922  8.4354648  10.42922657] : 109
!!!atention to nb coordination!!!
         [2.2973945193580505, 2.3304829383964716, 2.251503046260523, 2.6647964943604294]
         [2.2973945193580505, 2.3304829383964716, 2.2515030462605234, 2.6647964943604294]

ce_symbol  = SS:4
ce_fraction=  0.4320106449511804
species:coords:index
O1 : [ 0.59825166 12.8283522  11.64747511] : 57
O1 : [ 2.55085503 10.7206537  11.64400101] : 103
O1 : [-0.99403042 10.5256478  11.51314352] : 59
O1 : [ 1.19299922  8.4354648  10.42922657] : 109
!!!atention to nb coordination!!!
         [2.2973945193580505, 2.3304829383964716, 2.251503046260523, 2.6647964943604294]
         [2.2973945193580505, 2.3304829383964716, 2.2515030462605234, 2.6647964943604294]


**isite= 26
Pb1 : [0.85363278 6.46181826 4.40677091]

ce_symbol  = SY:4
ce_fraction=  0.5679893550488192
species:coords:index
O1 : [-0.89508573  6.9898522   5.72298886] : 56
O1 : [1.29194391 9.0800352  4.63907191] : 110
O1 : [2.64979972 6.7948463  5.85384636] : 100
O1 : [0.69719635 4.6871478  5.85732045] : 58
!!!atention to nb coordination!!!
         [2.2515030462605234, 2.6647964943604294, 2.3304829383964725, 2.297394519358051]
         [2.2515030462605243, 2.6647964943604294, 2.330482938396473, 2.297394519358051]

ce_symbol  = SS:4
ce_fraction=  0.43201064495118074
species:coords:index
O1 : [-0.89508573  6.9898522   5.72298886] : 56
O1 : [1.29194391 9.0800352  4.63907191] : 110
O1 : [2.64979972 6.7948463  5.85384636] : 100
O1 : [0.69719635 4.6871478  5.85732045] : 58
!!!atention to nb coordination!!!
         [2.2515030462605234, 2.6647964943604294, 2.3304829383964725, 2.297394519358051]
         [2.2515030462605243, 2.6647964943604294, 2.330482938396473, 2.297394519358051]


**isite= 27
Pb1 : [13.83942253  0.62331826  1.38338375]

ce_symbol  = SY:4
ce_fraction=  0.5679893550488233
species:coords:index
O1 : [13.4011114   3.2415352   1.15108275] : 111
O1 : [15.58814104  1.1513522   0.06716579] : 57
O1 : [13.99585896 -1.1513522  -0.06716579] : 59
O1 : [12.04325559  0.9563463  -0.0636917 ] : 101
!!!atention to nb coordination!!!
         [2.6647964943604294, 2.251503046260523, 2.2973945193580505, 2.330482938396472]
         [2.6647964943604294, 2.251503046260523, 2.2973945193580505, 2.330482938396473]

ce_symbol  = SS:4
ce_fraction=  0.43201064495117664
species:coords:index
O1 : [13.4011114   3.2415352   1.15108275] : 111
O1 : [15.58814104  1.1513522   0.06716579] : 57
O1 : [13.99585896 -1.1513522  -0.06716579] : 59
O1 : [12.04325559  0.9563463  -0.0636917 ] : 101
!!!atention to nb coordination!!!
         [2.6647964943604294, 2.251503046260523, 2.2973945193580505, 2.330482938396472]
         [2.6647964943604294, 2.251503046260523, 2.2973945193580505, 2.330482938396473]


**isite= 28
Pb1 : [2.70377972 0.92084822 7.3866161 ]

