cif name= ./5910036.cif
./5910036.cif
Full Formula (Mn16 Cr8 O32)
!!!atention to nb coordination!!!
         [0.1753389673518118, 0.1753389673518118, 0.1753389673518113, 0.1753389673518113]
         [0.17533896735181206, 0.17533896735181104, 0.17533896735181154, 0.17533896735181154]


**isite= 17
Cr1 : [4.218 0.    4.218]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 4.116768 -0.101232  4.319232] : 28
O1 : [4.319232 0.101232 4.319232] : 24
O1 : [ 4.319232 -0.101232  4.116768] : 29
O1 : [4.116768 0.101232 4.116768] : 30
!!!atention to nb coordination!!!
         [0.1753389673518123, 0.17533896735181156, 0.1753389673518123, 0.17533896735181312]
         [0.17533896735181156, 0.17533896735181156, 0.17533896735181156, 0.17533896735181212]


**isite= 18
Cr1 : [2.109 6.327 6.327]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [2.007768 6.225768 6.225768] : 39
O1 : [2.007768 6.428232 6.428232] : 35
O1 : [2.210232 6.428232 6.225768] : 34
O1 : [2.210232 6.225768 6.428232] : 33
!!!atention to nb coordination!!!
         [0.1753389673518128, 0.1753389673518128, 0.1753389673518123, 0.1753389673518123]
         [0.17533896735181154, 0.17533896735181256, 0.17533896735181206, 0.17533896735181206]


**isite= 19
Cr1 : [4.218 4.218 0.   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.319232 4.319232 0.101232] : 32
O1 : [ 4.319232  4.116768 -0.101232] : 37
O1 : [ 4.116768  4.319232 -0.101232] : 38
O1 : [4.116768 4.116768 0.101232] : 36
!!!atention to nb coordination!!!
         [0.1753389673518121, 0.1753389673518128, 0.1753389673518128, 0.17533896735181365]
         [0.17533896735181212, 0.1753389673518121, 0.1753389673518121, 0.17533896735181262]


**isite= 20
Cr1 : [6.327 2.109 6.327]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [6.428232 2.210232 6.225768] : 42
O1 : [6.428232 2.007768 6.428232] : 41
O1 : [6.225768 2.210232 6.428232] : 43
O1 : [6.225768 2.007768 6.225768] : 47
!!!atention to nb coordination!!!
         [0.1753389673518123, 0.1753389673518123, 0.1753389673518128, 0.1753389673518128]
         [0.17533896735181206, 0.17533896735181206, 0.17533896735181256, 0.17533896735181154]


**isite= 21
Cr1 : [0. 0. 0.]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [-0.101232 -0.101232  0.101232] : 44
O1 : [ 0.101232 -0.101232 -0.101232] : 45
O1 : [-0.101232  0.101232 -0.101232] : 46
O1 : [0.101232 0.101232 0.101232] : 40
!!!atention to nb coordination!!!
         [0.1753389673518121, 0.1753389673518121, 0.1753389673518121, 0.1753389673518122]
         [0.17533896735181165, 0.17533896735181165, 0.17533896735181165, 0.1753389673518122]


**isite= 22
Cr1 : [6.327 6.327 2.109]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [6.225768 6.428232 2.210232] : 51
O1 : [6.428232 6.225768 2.210232] : 49
O1 : [6.225768 6.225768 2.007768] : 55
O1 : [6.428232 6.428232 2.007768] : 50
!!!atention to nb coordination!!!
         [0.1753389673518128, 0.1753389673518123, 0.1753389673518128, 0.1753389673518123]
         [0.17533896735181256, 0.17533896735181206, 0.17533896735181154, 0.17533896735181206]


**isite= 23
Cr1 : [0.    4.218 4.218]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [-0.101232  4.319232  4.116768] : 54
O1 : [0.101232 4.319232 4.319232] : 48
O1 : [0.101232 4.116768 4.116768] : 53
O1 : [-0.101232  4.116768  4.319232] : 52
!!!atention to nb coordination!!!
         [0.1753389673518128, 0.1753389673518121, 0.17533896735181365, 0.1753389673518128]
         [0.17533896735181206, 0.17533896735181212, 0.17533896735181262, 0.17533896735181206]


**isite= 24
O1 : [4.319232 0.101232 4.319232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [4.218 0.    4.218] : 17
!!!atention to nb coordination!!!
         [0.17533896735181262]
         [0.17533896735181156]


**isite= 25
O1 : [2.210232 2.007768 2.210232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [2.109 2.109 2.109] : 16
!!!atention to nb coordination!!!
         [0.1753389673518118]
         [0.17533896735181154]


**isite= 26
O1 : [2.210232 2.210232 2.007768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [2.109 2.109 2.109] : 16
!!!atention to nb coordination!!!
         [0.1753389673518118]
         [0.17533896735181154]


**isite= 27
O1 : [2.007768 2.210232 2.210232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [2.109 2.109 2.109] : 16
!!!atention to nb coordination!!!
         [0.1753389673518123]
         [0.17533896735181206]


**isite= 28
O1 : [4.116768 8.334768 4.319232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [4.218 8.436 4.218] : 17
!!!atention to nb coordination!!!
         [0.17533896735181181]
         [0.1753389673518118]


**isite= 29
O1 : [4.319232 8.334768 4.116768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [4.218 8.436 4.218] : 17


**isite= 30
O1 : [4.116768 0.101232 4.116768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [4.218 0.    4.218] : 17
!!!atention to nb coordination!!!
         [0.1753389673518111]
         [0.17533896735181212]


**isite= 31
O1 : [2.007768 2.007768 2.007768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [2.109 2.109 2.109] : 16
!!!atention to nb coordination!!!
         [0.17533896735181026]
         [0.17533896735181104]


**isite= 32
O1 : [4.319232 4.319232 0.101232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [4.218 4.218 0.   ] : 19
!!!atention to nb coordination!!!
         [0.17533896735181312]
         [0.17533896735181212]


**isite= 33
O1 : [2.210232 6.225768 6.428232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [2.109 6.327 6.327] : 18
!!!atention to nb coordination!!!
         [0.1753389673518123]
         [0.17533896735181206]


**isite= 34
O1 : [2.210232 6.428232 6.225768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [2.109 6.327 6.327] : 18
!!!atention to nb coordination!!!
         [0.1753389673518123]
         [0.17533896735181206]


**isite= 35
O1 : [2.007768 6.428232 6.428232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [2.109 6.327 6.327] : 18
!!!atention to nb coordination!!!
         [0.17533896735181334]
         [0.17533896735181256]


**isite= 36
O1 : [4.116768 4.116768 0.101232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [4.218 4.218 0.   ] : 19
!!!atention to nb coordination!!!
         [0.1753389673518116]
         [0.17533896735181262]


**isite= 37
O1 : [4.319232 4.116768 8.334768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [4.218 4.218 8.436] : 19


**isite= 38
O1 : [4.116768 4.319232 8.334768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [4.218 4.218 8.436] : 19


**isite= 39
O1 : [2.007768 6.225768 6.225768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [2.109 6.327 6.327] : 18
!!!atention to nb coordination!!!
         [0.17533896735181026]
         [0.17533896735181154]


**isite= 40
O1 : [0.101232 0.101232 0.101232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [0. 0. 0.] : 21


**isite= 41
O1 : [6.428232 2.007768 6.428232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [6.327 2.109 6.327] : 20
!!!atention to nb coordination!!!
         [0.1753389673518128]
         [0.17533896735181206]


**isite= 42
O1 : [6.428232 2.210232 6.225768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [6.327 2.109 6.327] : 20
!!!atention to nb coordination!!!
         [0.1753389673518123]
         [0.17533896735181206]


**isite= 43
O1 : [6.225768 2.210232 6.428232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [6.327 2.109 6.327] : 20
!!!atention to nb coordination!!!
         [0.1753389673518128]
         [0.17533896735181256]


**isite= 44
O1 : [8.334768 8.334768 0.101232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [8.436 8.436 0.   ] : 21
!!!atention to nb coordination!!!
         [0.1753389673518121]
         [0.17533896735181212]


**isite= 45
O1 : [0.101232 8.334768 8.334768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [0.    8.436 8.436] : 21


**isite= 46
O1 : [8.334768 0.101232 8.334768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [8.436 0.    8.436] : 21


**isite= 47
O1 : [6.225768 2.007768 6.225768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [6.327 2.109 6.327] : 20
!!!atention to nb coordination!!!
         [0.17533896735181026]
         [0.17533896735181154]


**isite= 48
O1 : [0.101232 4.319232 4.319232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [0.    4.218 4.218] : 23
!!!atention to nb coordination!!!
         [0.17533896735181315]
         [0.17533896735181212]


**isite= 49
O1 : [6.428232 6.225768 2.210232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [6.327 6.327 2.109] : 22
!!!atention to nb coordination!!!
         [0.1753389673518123]
         [0.17533896735181206]


**isite= 50
O1 : [6.428232 6.428232 2.007768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [6.327 6.327 2.109] : 22
!!!atention to nb coordination!!!
         [0.1753389673518128]
         [0.17533896735181206]


**isite= 51
O1 : [6.225768 6.428232 2.210232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [6.327 6.327 2.109] : 22
!!!atention to nb coordination!!!
         [0.1753389673518128]
         [0.17533896735181256]


**isite= 52
O1 : [8.334768 4.116768 4.319232]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [8.436 4.218 4.218] : 23


**isite= 53
O1 : [0.101232 4.116768 4.116768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [0.    4.218 4.218] : 23
!!!atention to nb coordination!!!
         [0.1753389673518116]
         [0.17533896735181262]


**isite= 54
O1 : [8.334768 4.319232 4.116768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [8.436 4.218 4.218] : 23


**isite= 55
O1 : [6.225768 6.225768 2.007768]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Cr1 : [6.327 6.327 2.109] : 22
!!!atention to nb coordination!!!
         [0.17533896735181026]
         [0.17533896735181154]

END

