cif name= ./4329528.cif
./4329528.cif
Full Formula (Na16 Nb16 O48)
 76  O     0.7856  0       0.7439
 77  O     0.2144  0       0.7439
 78  O     0.7144  0.5     0.2561
 79  O     0.2856  0.5     0.2561

space_group_IT_number 59

*** lse ***


**isite= 0
Na1 : [0.        0.        1.9188099]

ce_symbol  = C:12
ce_fraction=  0.9955229560167642
species:coords:index
O1 : [0.         2.21784261 4.14431483] : 37
O1 : [1.72300501 0.         4.06567507] : 69
O1 : [1.79764499 2.09668342 1.95655698] : 51
O1 : [-1.79764499  2.09668342  1.95655698] : 50
O1 : [ 0.          1.9652965  -0.25951117] : 33
O1 : [1.92335443 0.         0.1572795 ] : 65
O1 : [-1.79764499 -2.09668342  1.95655698] : 48
O1 : [ 0.         -2.21784261  4.14431483] : 36
O1 : [ 1.79764499 -2.09668342  1.95655698] : 49
O1 : [-1.72300501  0.          4.06567507] : 68
O1 : [ 0.         -1.9652965  -0.25951117] : 32
O1 : [-1.92335443  0.          0.1572795 ] : 64
!!!atention to nb coordination!!!
         [3.141925846165413, 2.7527761171233855, 2.7620705499704576, 2.7620705499704576, 2.9338495282518804, 2.60811840628799, 2.762070549970456, 3.141925846165412, 2.7620705499704554, 2.7527761171233855, 2.933849528251879, 2.6081184062879887]
         [3.1419258461654125, 2.752776117123385, 2.762070549970457, 2.762070549970457, 2.9338495282518795, 2.6081184062879896, 2.762070549970457, 3.1419258461654125, 2.762070549970457, 2.752776117123385, 2.9338495282518795, 2.6081184062879896]

ce_symbol  = I:12
ce_fraction=  0.003950159080732612
species:coords:index
O1 : [0.         2.21784261 4.14431483] : 37
O1 : [1.72300501 0.         4.06567507] : 69
O1 : [1.79764499 2.09668342 1.95655698] : 51
O1 : [-1.79764499  2.09668342  1.95655698] : 50
O1 : [ 0.          1.9652965  -0.25951117] : 33
O1 : [1.92335443 0.         0.1572795 ] : 65
O1 : [-1.79764499 -2.09668342  1.95655698] : 48
O1 : [ 0.         -2.21784261  4.14431483] : 36
O1 : [ 1.79764499 -2.09668342  1.95655698] : 49
O1 : [-1.72300501  0.          4.06567507] : 68
O1 : [ 0.         -1.9652965  -0.25951117] : 32
O1 : [-1.92335443  0.          0.1572795 ] : 64
!!!atention to nb coordination!!!
         [3.141925846165413, 2.7527761171233855, 2.7620705499704576, 2.7620705499704576, 2.9338495282518804, 2.60811840628799, 2.762070549970456, 3.141925846165412, 2.7620705499704554, 2.7527761171233855, 2.933849528251879, 2.6081184062879887]
         [3.1419258461654125, 2.752776117123385, 2.762070549970457, 2.762070549970457, 2.9338495282518795, 2.6081184062879896, 2.762070549970457, 3.1419258461654125, 2.762070549970457, 2.752776117123385, 2.9338495282518795, 2.6081184062879896]

ce_symbol  = AC:12
ce_fraction=  0.0005268849025031508
species:coords:index
O1 : [0.         2.21784261 4.14431483] : 37
O1 : [1.72300501 0.         4.06567507] : 69
O1 : [1.79764499 2.09668342 1.95655698] : 51
O1 : [-1.79764499  2.09668342  1.95655698] : 50
O1 : [ 0.          1.9652965  -0.25951117] : 33
O1 : [1.92335443 0.         0.1572795 ] : 65
O1 : [-1.79764499 -2.09668342  1.95655698] : 48
O1 : [ 0.         -2.21784261  4.14431483] : 36
O1 : [ 1.79764499 -2.09668342  1.95655698] : 49
O1 : [-1.72300501  0.          4.06567507] : 68
O1 : [ 0.         -1.9652965  -0.25951117] : 32
O1 : [-1.92335443  0.          0.1572795 ] : 64
!!!atention to nb coordination!!!
         [3.141925846165413, 2.7527761171233855, 2.7620705499704576, 2.7620705499704576, 2.9338495282518804, 2.60811840628799, 2.762070549970456, 3.141925846165412, 2.7620705499704554, 2.7527761171233855, 2.933849528251879, 2.6081184062879887]
         [3.1419258461654125, 2.752776117123385, 2.762070549970457, 2.762070549970457, 2.9338495282518795, 2.6081184062879896, 2.762070549970457, 3.1419258461654125, 2.762070549970457, 2.752776117123385, 2.9338495282518795, 2.6081184062879896]


**isite= 1
Na1 : [ 3.92842    3.93374   13.8091401]

ce_symbol  = C:12
ce_fraction=  0.9955229560167642
species:coords:index
O1 : [ 3.92842     6.15158261 11.58363517] : 38
O1 : [ 3.92842     1.9684435  15.98746117] : 35
O1 : [ 2.00506557  3.93374    15.5706705 ] : 67
O1 : [ 5.85177443  3.93374    15.5706705 ] : 66
O1 : [ 5.72606499  6.03042342 13.77139302] : 52
O1 : [ 2.13077501  6.03042342 13.77139302] : 53
O1 : [ 5.65142501  3.93374    11.66227493] : 70
O1 : [ 5.72606499  1.83705658 13.77139302] : 54
O1 : [ 2.13077501  1.83705658 13.77139302] : 55
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [ 2.20541499  3.93374    11.66227493] : 71
O1 : [ 3.92842     5.8990365  15.98746117] : 34
!!!atention to nb coordination!!!
         [3.141925846165412, 2.9338495282518795, 2.608118406287992, 2.608118406287991, 2.7620705499704576, 2.7620705499704585, 2.7527761171233855, 2.7620705499704568, 2.7620705499704576, 3.1419258461654116, 2.7527761171233855, 2.9338495282518813]
         [3.141925846165413, 2.93384952825188, 2.6081184062879905, 2.6081184062879896, 2.7620705499704568, 2.762070549970458, 2.7527761171233855, 2.7620705499704568, 2.7620705499704576, 3.1419258461654134, 2.7527761171233855, 2.93384952825188]

ce_symbol  = I:12
ce_fraction=  0.003950159080732617
species:coords:index
O1 : [ 3.92842     6.15158261 11.58363517] : 38
O1 : [ 3.92842     1.9684435  15.98746117] : 35
O1 : [ 2.00506557  3.93374    15.5706705 ] : 67
O1 : [ 5.85177443  3.93374    15.5706705 ] : 66
O1 : [ 5.72606499  6.03042342 13.77139302] : 52
O1 : [ 2.13077501  6.03042342 13.77139302] : 53
O1 : [ 5.65142501  3.93374    11.66227493] : 70
O1 : [ 5.72606499  1.83705658 13.77139302] : 54
O1 : [ 2.13077501  1.83705658 13.77139302] : 55
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [ 2.20541499  3.93374    11.66227493] : 71
O1 : [ 3.92842     5.8990365  15.98746117] : 34
!!!atention to nb coordination!!!
         [3.141925846165412, 2.9338495282518795, 2.608118406287992, 2.608118406287991, 2.7620705499704576, 2.7620705499704585, 2.7527761171233855, 2.7620705499704568, 2.7620705499704576, 3.1419258461654116, 2.7527761171233855, 2.9338495282518813]
         [3.141925846165413, 2.93384952825188, 2.6081184062879905, 2.6081184062879896, 2.7620705499704568, 2.762070549970458, 2.7527761171233855, 2.7620705499704568, 2.7620705499704576, 3.1419258461654134, 2.7527761171233855, 2.93384952825188]

ce_symbol  = AC:12
ce_fraction=  0.0005268849025031523
species:coords:index
O1 : [ 3.92842     6.15158261 11.58363517] : 38
O1 : [ 3.92842     1.9684435  15.98746117] : 35
O1 : [ 2.00506557  3.93374    15.5706705 ] : 67
O1 : [ 5.85177443  3.93374    15.5706705 ] : 66
O1 : [ 5.72606499  6.03042342 13.77139302] : 52
O1 : [ 2.13077501  6.03042342 13.77139302] : 53
O1 : [ 5.65142501  3.93374    11.66227493] : 70
O1 : [ 5.72606499  1.83705658 13.77139302] : 54
O1 : [ 2.13077501  1.83705658 13.77139302] : 55
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [ 2.20541499  3.93374    11.66227493] : 71
O1 : [ 3.92842     5.8990365  15.98746117] : 34
!!!atention to nb coordination!!!
         [3.141925846165412, 2.9338495282518795, 2.608118406287992, 2.608118406287991, 2.7620705499704576, 2.7620705499704585, 2.7527761171233855, 2.7620705499704568, 2.7620705499704576, 3.1419258461654116, 2.7527761171233855, 2.9338495282518813]
         [3.141925846165413, 2.93384952825188, 2.6081184062879905, 2.6081184062879896, 2.7620705499704568, 2.762070549970458, 2.7527761171233855, 2.7620705499704568, 2.7620705499704576, 3.1419258461654134, 2.7527761171233855, 2.93384952825188]


**isite= 2
Na1 : [0.        0.        5.9137092]

ce_symbol  = C:12
ce_fraction=  0.996170794901143
species:coords:index
O1 : [-1.72300501  0.          4.06567507] : 68
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [-2.13706048 -2.00384716  5.90584523] : 56
O1 : [-2.13706048  2.00384716  5.90584523] : 58
O1 : [0.         2.21784261 4.14431483] : 37
O1 : [-2.24469919  0.          7.83409189] : 72
O1 : [0.         1.670266   7.77589848] : 41
O1 : [1.72300501 0.         4.06567507] : 69
O1 : [ 0.         -2.21784261  4.14431483] : 36
O1 : [ 0.         -1.670266    7.77589848] : 40
O1 : [ 2.13706048 -2.00384716  5.90584523] : 57
O1 : [2.24469919 0.         7.83409189] : 73
!!!atention to nb coordination!!!
         [2.5266532010827363, 2.929589179712735, 2.9295891797127345, 2.929589179712735, 2.837178581951553, 2.9540724669282112, 2.501507033503015, 2.5266532010827363, 2.837178581951552, 2.5015070335030147, 2.9295891797127345, 2.954072466928211]
         [2.5266532010827363, 2.929589179712735, 2.929589179712735, 2.929589179712735, 2.8371785819515525, 2.954072466928211, 2.5015070335030147, 2.5266532010827363, 2.8371785819515525, 2.5015070335030147, 2.929589179712735, 2.954072466928211]

ce_symbol  = I:12
ce_fraction=  0.0031474243578100873
species:coords:index
O1 : [-1.72300501  0.          4.06567507] : 68
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [-2.13706048 -2.00384716  5.90584523] : 56
O1 : [-2.13706048  2.00384716  5.90584523] : 58
O1 : [0.         2.21784261 4.14431483] : 37
O1 : [-2.24469919  0.          7.83409189] : 72
O1 : [0.         1.670266   7.77589848] : 41
O1 : [1.72300501 0.         4.06567507] : 69
O1 : [ 0.         -2.21784261  4.14431483] : 36
O1 : [ 0.         -1.670266    7.77589848] : 40
O1 : [ 2.13706048 -2.00384716  5.90584523] : 57
O1 : [2.24469919 0.         7.83409189] : 73
!!!atention to nb coordination!!!
         [2.5266532010827363, 2.929589179712735, 2.9295891797127345, 2.929589179712735, 2.837178581951553, 2.9540724669282112, 2.501507033503015, 2.5266532010827363, 2.837178581951552, 2.5015070335030147, 2.9295891797127345, 2.954072466928211]
         [2.5266532010827363, 2.929589179712735, 2.929589179712735, 2.929589179712735, 2.8371785819515525, 2.954072466928211, 2.5015070335030147, 2.5266532010827363, 2.8371785819515525, 2.5015070335030147, 2.929589179712735, 2.954072466928211]

ce_symbol  = AC:12
ce_fraction=  0.0006817807410469426
species:coords:index
O1 : [-1.72300501  0.          4.06567507] : 68
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [-2.13706048 -2.00384716  5.90584523] : 56
O1 : [-2.13706048  2.00384716  5.90584523] : 58
O1 : [0.         2.21784261 4.14431483] : 37
O1 : [-2.24469919  0.          7.83409189] : 72
O1 : [0.         1.670266   7.77589848] : 41
O1 : [1.72300501 0.         4.06567507] : 69
O1 : [ 0.         -2.21784261  4.14431483] : 36
O1 : [ 0.         -1.670266    7.77589848] : 40
O1 : [ 2.13706048 -2.00384716  5.90584523] : 57
O1 : [2.24469919 0.         7.83409189] : 73
!!!atention to nb coordination!!!
         [2.5266532010827363, 2.929589179712735, 2.9295891797127345, 2.929589179712735, 2.837178581951553, 2.9540724669282112, 2.501507033503015, 2.5266532010827363, 2.837178581951552, 2.5015070335030147, 2.9295891797127345, 2.954072466928211]
         [2.5266532010827363, 2.929589179712735, 2.929589179712735, 2.929589179712735, 2.8371785819515525, 2.954072466928211, 2.5015070335030147, 2.5266532010827363, 2.8371785819515525, 2.5015070335030147, 2.929589179712735, 2.954072466928211]


**isite= 3
Na1 : [3.92842   3.93374   9.8142408]

ce_symbol  = C:12
ce_fraction=  0.9961707949011429
species:coords:index
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [1.68372081 3.93374    7.89385811] : 75
O1 : [1.79135952 5.93758716 9.82210478] : 61
O1 : [6.06548048 1.92989284 9.82210478] : 62
O1 : [3.92842    2.263474   7.95205152] : 43
O1 : [ 5.65142501  3.93374    11.66227493] : 70
O1 : [ 3.92842     6.15158261 11.58363517] : 38
O1 : [6.17311919 3.93374    7.89385811] : 74
O1 : [3.92842    5.604006   7.95205152] : 42
O1 : [ 2.20541499  3.93374    11.66227493] : 71
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [6.06548048 5.93758716 9.82210478] : 60
!!!atention to nb coordination!!!
         [2.837178581951554, 2.9540724669282103, 2.9295891797127354, 2.929589179712734, 2.501507033503013, 2.526653201082736, 2.8371785819515543, 2.954072466928211, 2.5015070335030143, 2.5266532010827363, 2.9295891797127345, 2.929589179712735]
         [2.837178581951553, 2.954072466928211, 2.929589179712735, 2.929589179712735, 2.501507033503013, 2.526653201082736, 2.8371785819515525, 2.954072466928211, 2.501507033503014, 2.5266532010827363, 2.929589179712735, 2.9295891797127345]

ce_symbol  = I:12
ce_fraction=  0.0031474243578101095
species:coords:index
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [1.68372081 3.93374    7.89385811] : 75
O1 : [1.79135952 5.93758716 9.82210478] : 61
O1 : [6.06548048 1.92989284 9.82210478] : 62
O1 : [3.92842    2.263474   7.95205152] : 43
O1 : [ 5.65142501  3.93374    11.66227493] : 70
O1 : [ 3.92842     6.15158261 11.58363517] : 38
O1 : [6.17311919 3.93374    7.89385811] : 74
O1 : [3.92842    5.604006   7.95205152] : 42
O1 : [ 2.20541499  3.93374    11.66227493] : 71
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [6.06548048 5.93758716 9.82210478] : 60
!!!atention to nb coordination!!!
         [2.837178581951554, 2.9540724669282103, 2.9295891797127354, 2.929589179712734, 2.501507033503013, 2.526653201082736, 2.8371785819515543, 2.954072466928211, 2.5015070335030143, 2.5266532010827363, 2.9295891797127345, 2.929589179712735]
         [2.837178581951553, 2.954072466928211, 2.929589179712735, 2.929589179712735, 2.501507033503013, 2.526653201082736, 2.8371785819515525, 2.954072466928211, 2.501507033503014, 2.5266532010827363, 2.929589179712735, 2.9295891797127345]

ce_symbol  = AC:12
ce_fraction=  0.0006817807410469488
species:coords:index
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [1.68372081 3.93374    7.89385811] : 75
O1 : [1.79135952 5.93758716 9.82210478] : 61
O1 : [6.06548048 1.92989284 9.82210478] : 62
O1 : [3.92842    2.263474   7.95205152] : 43
O1 : [ 5.65142501  3.93374    11.66227493] : 70
O1 : [ 3.92842     6.15158261 11.58363517] : 38
O1 : [6.17311919 3.93374    7.89385811] : 74
O1 : [3.92842    5.604006   7.95205152] : 42
O1 : [ 2.20541499  3.93374    11.66227493] : 71
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [6.06548048 5.93758716 9.82210478] : 60
!!!atention to nb coordination!!!
         [2.837178581951554, 2.9540724669282103, 2.9295891797127354, 2.929589179712734, 2.501507033503013, 2.526653201082736, 2.8371785819515543, 2.954072466928211, 2.5015070335030143, 2.5266532010827363, 2.9295891797127345, 2.929589179712735]
         [2.837178581951553, 2.954072466928211, 2.929589179712735, 2.929589179712735, 2.501507033503013, 2.526653201082736, 2.8371785819515525, 2.954072466928211, 2.501507033503014, 2.5266532010827363, 2.929589179712735, 2.9295891797127345]


**isite= 4
Na1 : [0.         0.         9.73560105]

ce_symbol  = C:12
ce_fraction=  0.9901699107428232
species:coords:index
O1 : [2.24469919 0.         7.83409189] : 73
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [ 1.79135952 -1.92989284  9.82210478] : 61
O1 : [ 0.         -1.670266    7.77589848] : 40
O1 : [0.         1.670266   7.77589848] : 41
O1 : [-2.24469919  0.          7.83409189] : 72
O1 : [-1.6845065  0.        11.700022 ] : 76
O1 : [ 0.          2.23593782 12.06962883] : 45
O1 : [ 0.         -2.23593782 12.06962883] : 44
O1 : [-1.79135952  1.92989284  9.82210478] : 62
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [-1.79135952 -1.92989284  9.82210478] : 60
!!!atention to nb coordination!!!
         [2.9418381177686643, 2.634566038962756, 2.6345660389627557, 2.5749218797825164, 2.574921879782517, 2.9418381177686648, 2.587761933314058, 3.23219795105909, 3.2321979510590895, 2.6345660389627565, 2.5877619333140576, 2.6345660389627557]
         [2.9418381177686643, 2.634566038962756, 2.634566038962756, 2.5749218797825173, 2.5749218797825173, 2.9418381177686643, 2.5877619333140576, 3.23219795105909, 3.23219795105909, 2.634566038962756, 2.5877619333140576, 2.634566038962756]

ce_symbol  = I:12
ce_fraction=  0.008882798476947609
species:coords:index
O1 : [2.24469919 0.         7.83409189] : 73
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [ 1.79135952 -1.92989284  9.82210478] : 61
O1 : [ 0.         -1.670266    7.77589848] : 40
O1 : [0.         1.670266   7.77589848] : 41
O1 : [-2.24469919  0.          7.83409189] : 72
O1 : [-1.6845065  0.        11.700022 ] : 76
O1 : [ 0.          2.23593782 12.06962883] : 45
O1 : [ 0.         -2.23593782 12.06962883] : 44
O1 : [-1.79135952  1.92989284  9.82210478] : 62
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [-1.79135952 -1.92989284  9.82210478] : 60
!!!atention to nb coordination!!!
         [2.9418381177686643, 2.634566038962756, 2.6345660389627557, 2.5749218797825164, 2.574921879782517, 2.9418381177686648, 2.587761933314058, 3.23219795105909, 3.2321979510590895, 2.6345660389627565, 2.5877619333140576, 2.6345660389627557]
         [2.9418381177686643, 2.634566038962756, 2.634566038962756, 2.5749218797825173, 2.5749218797825173, 2.9418381177686643, 2.5877619333140576, 3.23219795105909, 3.23219795105909, 2.634566038962756, 2.5877619333140576, 2.634566038962756]

ce_symbol  = AC:12
ce_fraction=  0.0009472907802292299
species:coords:index
O1 : [2.24469919 0.         7.83409189] : 73
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [ 1.79135952 -1.92989284  9.82210478] : 61
O1 : [ 0.         -1.670266    7.77589848] : 40
O1 : [0.         1.670266   7.77589848] : 41
O1 : [-2.24469919  0.          7.83409189] : 72
O1 : [-1.6845065  0.        11.700022 ] : 76
O1 : [ 0.          2.23593782 12.06962883] : 45
O1 : [ 0.         -2.23593782 12.06962883] : 44
O1 : [-1.79135952  1.92989284  9.82210478] : 62
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [-1.79135952 -1.92989284  9.82210478] : 60
!!!atention to nb coordination!!!
         [2.9418381177686643, 2.634566038962756, 2.6345660389627557, 2.5749218797825164, 2.574921879782517, 2.9418381177686648, 2.587761933314058, 3.23219795105909, 3.2321979510590895, 2.6345660389627565, 2.5877619333140576, 2.6345660389627557]
         [2.9418381177686643, 2.634566038962756, 2.634566038962756, 2.5749218797825173, 2.5749218797825173, 2.9418381177686643, 2.5877619333140576, 3.23219795105909, 3.23219795105909, 2.634566038962756, 2.5877619333140576, 2.634566038962756]


**isite= 5
Na1 : [3.92842    3.93374    5.99234895]

ce_symbol  = C:12
ce_fraction=  0.9901699107428231
species:coords:index
O1 : [6.17311919 3.93374    7.89385811] : 74
O1 : [3.92842    5.604006   7.95205152] : 42
O1 : [2.13706048 5.86363284 5.90584523] : 57
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [5.6129265  3.93374    4.02792799] : 78
O1 : [3.92842    1.69780218 3.65832117] : 47
O1 : [3.92842    6.16967782 3.65832117] : 46
O1 : [5.71977952 5.86363284 5.90584523] : 56
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [5.71977952 2.00384716 5.90584523] : 58
O1 : [1.68372081 3.93374    7.89385811] : 75
O1 : [3.92842    2.263474   7.95205152] : 43
!!!atention to nb coordination!!!
         [2.9418381177686643, 2.574921879782518, 2.634566038962756, 2.6345660389627557, 2.5877619333140585, 3.23219795105909, 3.2321979510590904, 2.634566038962756, 2.587761933314058, 2.6345660389627557, 2.941838117768664, 2.574921879782517]
         [2.9418381177686643, 2.5749218797825177, 2.6345660389627557, 2.634566038962756, 2.5877619333140585, 3.2321979510590904, 3.23219795105909, 2.6345660389627557, 2.587761933314058, 2.634566038962756, 2.9418381177686643, 2.5749218797825173]

ce_symbol  = I:12
ce_fraction=  0.00888279847694764
species:coords:index
O1 : [6.17311919 3.93374    7.89385811] : 74
O1 : [3.92842    5.604006   7.95205152] : 42
O1 : [2.13706048 5.86363284 5.90584523] : 57
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [5.6129265  3.93374    4.02792799] : 78
O1 : [3.92842    1.69780218 3.65832117] : 47
O1 : [3.92842    6.16967782 3.65832117] : 46
O1 : [5.71977952 5.86363284 5.90584523] : 56
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [5.71977952 2.00384716 5.90584523] : 58
O1 : [1.68372081 3.93374    7.89385811] : 75
O1 : [3.92842    2.263474   7.95205152] : 43
!!!atention to nb coordination!!!
         [2.9418381177686643, 2.574921879782518, 2.634566038962756, 2.6345660389627557, 2.5877619333140585, 3.23219795105909, 3.2321979510590904, 2.634566038962756, 2.587761933314058, 2.6345660389627557, 2.941838117768664, 2.574921879782517]
         [2.9418381177686643, 2.5749218797825177, 2.6345660389627557, 2.634566038962756, 2.5877619333140585, 3.2321979510590904, 3.23219795105909, 2.6345660389627557, 2.587761933314058, 2.634566038962756, 2.9418381177686643, 2.5749218797825173]

ce_symbol  = AC:12
ce_fraction=  0.0009472907802292394
species:coords:index
O1 : [6.17311919 3.93374    7.89385811] : 74
O1 : [3.92842    5.604006   7.95205152] : 42
O1 : [2.13706048 5.86363284 5.90584523] : 57
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [5.6129265  3.93374    4.02792799] : 78
O1 : [3.92842    1.69780218 3.65832117] : 47
O1 : [3.92842    6.16967782 3.65832117] : 46
O1 : [5.71977952 5.86363284 5.90584523] : 56
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [5.71977952 2.00384716 5.90584523] : 58
O1 : [1.68372081 3.93374    7.89385811] : 75
O1 : [3.92842    2.263474   7.95205152] : 43
!!!atention to nb coordination!!!
         [2.9418381177686643, 2.574921879782518, 2.634566038962756, 2.6345660389627557, 2.5877619333140585, 3.23219795105909, 3.2321979510590904, 2.634566038962756, 2.587761933314058, 2.6345660389627557, 2.941838117768664, 2.574921879782517]
         [2.9418381177686643, 2.5749218797825177, 2.6345660389627557, 2.634566038962756, 2.5877619333140585, 3.2321979510590904, 3.23219795105909, 2.6345660389627557, 2.587761933314058, 2.634566038962756, 2.9418381177686643, 2.5749218797825173]


**isite= 6
Na1 : [ 0.          0.         13.76195625]

ce_symbol  = C:12
ce_fraction=  0.9132554845511757
species:coords:index
O1 : [-2.13077501  1.83705658 13.77139302] : 54
O1 : [-1.92335443  0.         15.8852295 ] : 64
O1 : [ 0.          2.23593782 12.06962883] : 45
O1 : [ 1.92335443  0.         15.8852295 ] : 65
O1 : [ 0.          1.9652965  15.46843882] : 33
O1 : [ 2.13077501  1.83705658 13.77139302] : 55
O1 : [ 0.         -2.23593782 12.06962883] : 44
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [-1.6845065  0.        11.700022 ] : 76
O1 : [ 2.13077501 -1.83705658 13.77139302] : 53
O1 : [-2.13077501 -1.83705658 13.77139302] : 52
O1 : [ 0.         -1.9652965  15.46843882] : 32
!!!atention to nb coordination!!!
         [2.8133730761253006, 2.8648877055234814, 2.8041736774855286, 2.8648877055234823, 2.6027818055713494, 2.8133730761252993, 2.804173677485528, 2.6625429509718574, 2.6625429509718574, 2.8133730761252984, 2.8133730761252993, 2.602781805571348]
         [2.8133730761252997, 2.8648877055234823, 2.8041736774855286, 2.8648877055234823, 2.602781805571349, 2.813373076125299, 2.8041736774855286, 2.6625429509718574, 2.6625429509718574, 2.813373076125299, 2.8133730761252997, 2.602781805571349]

ce_symbol  = I:12
ce_fraction=  0.08385547608885878
species:coords:index
O1 : [-2.13077501  1.83705658 13.77139302] : 54
O1 : [-1.92335443  0.         15.8852295 ] : 64
O1 : [ 0.          2.23593782 12.06962883] : 45
O1 : [ 1.92335443  0.         15.8852295 ] : 65
O1 : [ 0.          1.9652965  15.46843882] : 33
O1 : [ 2.13077501  1.83705658 13.77139302] : 55
O1 : [ 0.         -2.23593782 12.06962883] : 44
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [-1.6845065  0.        11.700022 ] : 76
O1 : [ 2.13077501 -1.83705658 13.77139302] : 53
O1 : [-2.13077501 -1.83705658 13.77139302] : 52
O1 : [ 0.         -1.9652965  15.46843882] : 32
!!!atention to nb coordination!!!
         [2.8133730761253006, 2.8648877055234814, 2.8041736774855286, 2.8648877055234823, 2.6027818055713494, 2.8133730761252993, 2.804173677485528, 2.6625429509718574, 2.6625429509718574, 2.8133730761252984, 2.8133730761252993, 2.602781805571348]
