cif name= ./9008193.cif
./9008193.cif
Full Formula (Zn24 B16 O48)
 72  O     0.5798  0.3126  0.1797
 73  O     0.5798  0.6874  0.6797
 74  O     0.9202  0.8126  0.3203
 75  O     0.9202  0.1874  0.8203
 76  O     0.6843  0.5883  0.0211
 77  O     0.6843  0.4117  0.5211
 78  O     0.8157  0.0883  0.4789
 79  O     0.8157  0.9117  0.9789
 80  O     0.7149  0.1868  0.1612
 81  O     0.7149  0.8132  0.6612
 82  O     0.7851  0.6868  0.3388
 83  O     0.7851  0.3132  0.8388
 84  O     0.6633  0.8217  0.3786
 85  O     0.6633  0.1783  0.8786
 86  O     0.8367  0.3217  0.1214
 87  O     0.8367  0.6783  0.6214

space_group_IT_number 15

*** lse ***


**isite= 0
Zn1 : [0.85113105 0.8627032  1.4288504 ]

ce_symbol  = T:4
ce_fraction=  0.9756196056510558
species:coords:index
O1 : [-1.05100966  1.0186864   0.81613582] : 67
O1 : [ 1.56343674 -0.9459952   1.46806414] : 48
O1 : [0.11559834 1.0186864  3.26862805] : 41
O1 : [1.87491625 2.077252   0.33658454] : 44
!!!atention to nb coordination!!!
         [2.004467308455159, 1.9443011641262635, 1.9874911114006069, 1.9277732322433585]
         [2.0044673084551583, 1.9443011641262633, 1.9874911114006069, 1.9277732322433585]

ce_symbol  = SS:4
ce_fraction=  0.024380394348944172
species:coords:index
O1 : [-1.05100966  1.0186864   0.81613582] : 67
O1 : [ 1.56343674 -0.9459952   1.46806414] : 48
O1 : [0.11559834 1.0186864  3.26862805] : 41
O1 : [1.87491625 2.077252   0.33658454] : 44
!!!atention to nb coordination!!!
         [2.004467308455159, 1.9443011641262635, 1.9874911114006069, 1.9277732322433585]
         [2.0044673084551583, 1.9443011641262633, 1.9874911114006069, 1.9277732322433585]


**isite= 1
Zn1 : [-0.08428027  4.1852968   5.51361428]

ce_symbol  = T:4
ce_fraction=  0.9756196056510558
species:coords:index
O1 : [-0.81981298  4.0293136   7.35339193] : 40
O1 : [0.93950493 2.970748   4.42134842] : 45
O1 : [-1.98642098  4.0293136   4.9008997 ] : 66
O1 : [0.62802542 5.9939952  5.55282801] : 49
!!!atention to nb coordination!!!
         [1.987491111400608, 1.927773232243358, 2.0044673084551587, 1.9443011641262635]
         [1.987491111400607, 1.9277732322433587, 2.0044673084551583, 1.9443011641262626]

ce_symbol  = SS:4
ce_fraction=  0.02438039434894422
species:coords:index
O1 : [-0.81981298  4.0293136   7.35339193] : 40
O1 : [0.93950493 2.970748   4.42134842] : 45
O1 : [-1.98642098  4.0293136   4.9008997 ] : 66
O1 : [0.62802542 5.9939952  5.55282801] : 49
!!!atention to nb coordination!!!
         [1.987491111400608, 1.927773232243358, 2.0044673084551587, 1.9443011641262635]
         [1.987491111400607, 1.9277732322433587, 2.0044673084551583, 1.9443011641262626]


**isite= 2
Zn1 : [10.11586093  3.3867032   2.65591347]

ce_symbol  = T:4
ce_fraction=  0.9756196056510553
species:coords:index
O1 : [10.85139364  3.5426864   0.81613582] : 43
O1 : [9.09207573 4.601252   3.74817933] : 46
O1 : [9.40355524 1.5780048  2.61669974] : 50
O1 : [12.01800164  3.5426864   3.26862805] : 65
!!!atention to nb coordination!!!
         [1.9874911114006073, 1.9277732322433587, 1.9443011641262626, 2.0044673084551583]
         [1.9874911114006073, 1.9277732322433585, 1.9443011641262624, 2.0044673084551583]

ce_symbol  = SS:4
ce_fraction=  0.024380394348944658
species:coords:index
O1 : [10.85139364  3.5426864   0.81613582] : 43
O1 : [9.09207573 4.601252   3.74817933] : 46
O1 : [9.40355524 1.5780048  2.61669974] : 50
O1 : [12.01800164  3.5426864   3.26862805] : 65
!!!atention to nb coordination!!!
         [1.9874911114006073, 1.9277732322433587, 1.9443011641262626, 2.0044673084551583]
         [1.9874911114006073, 1.9277732322433585, 1.9443011641262624, 2.0044673084551583]


**isite= 3
Zn1 : [9.18044961 1.6612968  6.74067735]

ce_symbol  = T:4
ce_fraction=  0.9756196056510563
species:coords:index
O1 : [8.15666441 0.446748   7.83294321] : 47
O1 : [9.91598232 1.5053136  4.9008997 ] : 42
O1 : [11.08259032  1.5053136   7.35339193] : 64
O1 : [8.46814392 3.4699952  6.70146361] : 51
!!!atention to nb coordination!!!
         [1.9277732322433594, 1.9874911114006064, 2.0044673084551587, 1.944301164126263]
         [1.9277732322433594, 1.987491111400607, 2.0044673084551587, 1.944301164126263]

ce_symbol  = SS:4
ce_fraction=  0.02438039434894368
species:coords:index
O1 : [8.15666441 0.446748   7.83294321] : 47
O1 : [9.91598232 1.5053136  4.9008997 ] : 42
O1 : [11.08259032  1.5053136   7.35339193] : 64
O1 : [8.46814392 3.4699952  6.70146361] : 51
!!!atention to nb coordination!!!
         [1.9277732322433594, 1.9874911114006064, 2.0044673084551587, 1.944301164126263]
         [1.9277732322433594, 1.987491111400607, 2.0044673084551587, 1.944301164126263]


**isite= 4
Zn1 : [1.39122099 1.5946632  7.17856403]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [2.24362015 3.4240584  7.17774708] : 61
O1 : [2.47692886 0.4457384  8.34190479] : 52
O1 : [4.09361018e-03 2.07725200e+00 8.50611229e+00] : 44
O1 : [0.62802542 0.9459952  5.55282801] : 49
!!!atention to nb coordination!!!
         [2.018234820467788, 1.9626898587633939, 1.97974712933585, 1.9095170242380537]
         [2.018234820467788, 1.9626898587633943, 1.9797471293358497, 1.9095170242380544]


**isite= 5
Zn1 : [2.32663231 3.4533368  3.09380016]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [0.93950493 2.970748   4.42134842] : 45
O1 : [3.41234018 4.6022616  4.25714091] : 53
O1 : [3.17903147 1.6239416  3.09298321] : 60
O1 : [1.56343674 4.1020048  1.46806414] : 48
!!!atention to nb coordination!!!
         [1.9797471293358522, 1.9626898587633954, 2.0182348204677876, 1.909517024238054]
         [1.9797471293358513, 1.962689858763395, 2.0182348204677876, 1.909517024238054]


**isite= 6
Zn1 : [7.70494835 4.1186632  5.07572759]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [6.61924048 2.9697384  3.91238684] : 54
O1 : [6.85254919 5.9480584  5.07654454] : 63
O1 : [8.46814392 3.4699952  6.70146361] : 51
O1 : [9.09207573 4.601252   3.74817933] : 46
!!!atention to nb coordination!!!
         [1.9626898587633939, 2.0182348204677876, 1.9095170242380548, 1.9797471293358493]
         [1.9626898587633943, 2.0182348204677876, 1.9095170242380548, 1.9797471293358495]


**isite= 7
Zn1 : [8.64035967 0.9293368  0.99096372]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 7.78796051 -0.9000584   0.99178067] : 62
O1 : [10.02748705  0.446748   -0.33658454] : 47
O1 : [9.40355524 1.5780048  2.61669974] : 50
O1 : [ 7.5546518   2.0782616  -0.17237704] : 55
!!!atention to nb coordination!!!
         [2.0182348204677876, 1.9797471293358486, 1.909517024238055, 1.9626898587633943]
         [2.018234820467787, 1.9797471293358497, 1.909517024238055, 1.9626898587633943]


**isite= 8
Zn1 : [4.59367298 1.5542792  1.71805169]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.3477515  0.4457384  0.17237704] : 52
O1 : [6.15291565 0.9429664  2.767836  ] : 58
O1 : [4.81407633 3.4669664  1.31692787] : 56
O1 : [3.17903147 1.6239416  3.09298321] : 60
!!!atention to nb coordination!!!
         [1.9179286237126916, 1.976610268257696, 1.9666850976846713, 1.9739554582032324]
         [1.9179286237126916, 1.9766102682576965, 1.9666850976846715, 1.9739554582032321]


**isite= 9
Zn1 : [3.65826166 3.4937208  5.80281556]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [3.87866501 1.5810336  5.40169175] : 57
O1 : [5.21750433 4.1050336  6.85259988] : 59
O1 : [2.24362015 3.4240584  7.17774708] : 61
O1 : [3.41234018 4.6022616  4.25714091] : 53
!!!atention to nb coordination!!!
         [1.966685097684671, 1.9766102682576971, 1.9739554582032324, 1.9179286237126902]
         [1.9666850976846715, 1.9766102682576971, 1.9739554582032317, 1.9179286237126911]


**isite= 10
Zn1 : [6.373319   4.0782792  2.36671219]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.81407633 3.4669664  1.31692787] : 56
O1 : [6.15291565 5.9909664  2.767836  ] : 58
O1 : [6.61924048 2.9697384  3.91238684] : 54
O1 : [7.78796051 4.1479416  0.99178067] : 62
!!!atention to nb coordination!!!
         [1.9766102682576978, 1.9666850976846713, 1.9179286237126922, 1.9739554582032315]
         [1.9766102682576978, 1.9666850976846713, 1.917928623712692, 1.9739554582032317]


**isite= 11
Zn1 : [5.43790768 0.9697208  6.45147606]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [5.68382916 2.0782616  7.99715071] : 55
O1 : [6.85254919 0.9000584  5.07654454] : 63
O1 : [ 5.21750433 -0.9429664   6.85259988] : 59
O1 : [3.87866501 1.5810336  5.40169175] : 57
!!!atention to nb coordination!!!
         [1.9179286237126913, 1.9739554582032321, 1.9666850976846715, 1.9766102682576978]
         [1.9179286237126911, 1.9739554582032317, 1.9666850976846715, 1.9766102682576978]


**isite= 12
Zn1 : [12.75353435  3.3867032   1.4288504 ]

ce_symbol  = T:4
ce_fraction=  0.9756196056510555
species:coords:index
O1 : [12.01800164  3.5426864   3.26862805] : 65
O1 : [13.77731955  4.601252    0.33658454] : 68
O1 : [13.46584004  1.5780048   1.46806414] : 72
O1 : [10.85139364  3.5426864   0.81613582] : 43
!!!atention to nb coordination!!!
         [1.9874911114006075, 1.9277732322433574, 1.9443011641262626, 2.0044673084551583]
         [1.9874911114006075, 1.9277732322433574, 1.9443011641262624, 2.0044673084551583]

ce_symbol  = SS:4
ce_fraction=  0.024380394348944436
species:coords:index
O1 : [12.01800164  3.5426864   3.26862805] : 65
O1 : [13.77731955  4.601252    0.33658454] : 68
O1 : [13.46584004  1.5780048   1.46806414] : 72
O1 : [10.85139364  3.5426864   0.81613582] : 43
!!!atention to nb coordination!!!
         [1.9874911114006075, 1.9277732322433574, 1.9443011641262626, 2.0044673084551583]
         [1.9874911114006075, 1.9277732322433574, 1.9443011641262624, 2.0044673084551583]


**isite= 13
Zn1 : [11.81812303  1.6612968   5.51361428]

ce_symbol  = T:4
ce_fraction=  0.9756196056510558
species:coords:index
O1 : [12.53042872  3.4699952   5.55282801] : 73
O1 : [9.91598232 1.5053136  4.9008997 ] : 42
O1 : [12.84190823  0.446748    4.42134842] : 69
O1 : [11.08259032  1.5053136   7.35339193] : 64
!!!atention to nb coordination!!!
         [1.944301164126263, 2.00446730845516, 1.9277732322433578, 1.9874911114006077]
         [1.9443011641262637, 2.0044673084551587, 1.9277732322433585, 1.987491111400607]

ce_symbol  = SS:4
ce_fraction=  0.024380394348944175
species:coords:index
O1 : [12.53042872  3.4699952   5.55282801] : 73
O1 : [9.91598232 1.5053136  4.9008997 ] : 42
O1 : [12.84190823  0.446748    4.42134842] : 69
O1 : [11.08259032  1.5053136   7.35339193] : 64
!!!atention to nb coordination!!!
         [1.944301164126263, 2.00446730845516, 1.9277732322433578, 1.9874911114006077]
         [1.9443011641262637, 2.0044673084551587, 1.9277732322433585, 1.987491111400607]


**isite= 14
Zn1 : [22.01826423  0.8627032   2.65591347]

ce_symbol  = T:4
ce_fraction=  0.9756196056510563
species:coords:index
O1 : [21.30595854 -0.9459952   2.61669974] : 74
O1 : [22.75379694  1.0186864   0.81613582] : 67
O1 : [20.99447903  2.077252    3.74817933] : 70
O1 : [23.92040494  1.0186864   3.26862805] : 41
!!!atention to nb coordination!!!
         [1.9443011641262629, 1.987491111400606, 1.927773232243361, 2.0044673084551583]
         [1.9443011641262629, 1.987491111400606, 1.9277732322433607, 2.0044673084551583]

ce_symbol  = SS:4
ce_fraction=  0.024380394348943693
species:coords:index
O1 : [21.30595854 -0.9459952   2.61669974] : 74
O1 : [22.75379694  1.0186864   0.81613582] : 67
O1 : [20.99447903  2.077252    3.74817933] : 70
O1 : [23.92040494  1.0186864   3.26862805] : 41
!!!atention to nb coordination!!!
         [1.9443011641262629, 1.987491111400606, 1.927773232243361, 2.0044673084551583]
         [1.9443011641262629, 1.987491111400606, 1.9277732322433607, 2.0044673084551583]


**isite= 15
Zn1 : [21.08285291  4.1852968   6.74067735]

ce_symbol  = T:4
ce_fraction=  0.9756196056510562
species:coords:index
O1 : [21.81838562  4.0293136   4.9008997 ] : 66
O1 : [22.98499362  4.0293136   7.35339193] : 40
O1 : [20.37054722  5.9939952   6.70146361] : 75
O1 : [20.05906771  2.970748    7.83294321] : 71
!!!atention to nb coordination!!!
         [1.9874911114006064, 2.0044673084551587, 1.9443011641262629, 1.9277732322433605]
         [1.9874911114006064, 2.004467308455155, 1.9443011641262629, 1.9277732322433605]

ce_symbol  = SS:4
ce_fraction=  0.024380394348943773
species:coords:index
O1 : [21.81838562  4.0293136   4.9008997 ] : 66
O1 : [22.98499362  4.0293136   7.35339193] : 40
O1 : [20.37054722  5.9939952   6.70146361] : 75
O1 : [20.05906771  2.970748    7.83294321] : 71
!!!atention to nb coordination!!!
         [1.9874911114006064, 2.0044673084551587, 1.9443011641262629, 1.9277732322433605]
         [1.9874911114006064, 2.004467308455155, 1.9443011641262629, 1.9277732322433605]


**isite= 16
Zn1 : [13.29362429  4.1186632   7.17856403]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [12.53042872  3.4699952   5.55282801] : 73
O1 : [14.37933216  2.9697384   8.34190479] : 76
O1 : [11.90649691  4.601252    8.50611229] : 68
O1 : [14.14602345  5.9480584   7.17774708] : 85
!!!atention to nb coordination!!!
         [1.909517024238054, 1.9626898587633954, 1.9797471293358493, 2.018234820467787]
         [1.9095170242380541, 1.9626898587633954, 1.9797471293358493, 2.0182348204677876]


**isite= 17
Zn1 : [14.22903561  0.9293368   3.09380016]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [15.31474348  2.0782616   4.25714091] : 77
O1 : [12.84190823  0.446748    4.42134842] : 69
O1 : [15.08143477 -0.9000584   3.09298321] : 84
O1 : [13.46584004  1.5780048   1.46806414] : 72
!!!atention to nb coordination!!!
         [1.9626898587633959, 1.9797471293358524, 2.0182348204677862, 1.9095170242380544]
         [1.9626898587633954, 1.9797471293358517, 2.0182348204677867, 1.9095170242380544]


**isite= 18
Zn1 : [19.60735165  1.5946632   5.07572759]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [18.52164378  0.4457384   3.91238684] : 78
O1 : [20.99447903  2.077252    3.74817933] : 70
O1 : [20.37054722  0.9459952   6.70146361] : 75
O1 : [18.75495249  3.4240584   5.07654454] : 87
!!!atention to nb coordination!!!
         [1.9626898587633939, 1.9797471293358493, 1.9095170242380557, 2.018234820467787]
         [1.9626898587633939, 1.9797471293358497, 1.9095170242380557, 2.018234820467787]


**isite= 19
Zn1 : [20.54276297  3.4533368   0.99096372]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [19.4570551   4.6022616  -0.17237704] : 79
O1 : [21.92989035  2.970748   -0.33658454] : 71
O1 : [19.69036381  1.6239416   0.99178067] : 86
O1 : [21.30595854  4.1020048   2.61669974] : 74
!!!atention to nb coordination!!!
         [1.9626898587633956, 1.9797471293358475, 2.0182348204677885, 1.9095170242380544]
         [1.9626898587633954, 1.979747129335847, 2.0182348204677885, 1.9095170242380544]


**isite= 20
Zn1 : [16.49607628  4.0782792   1.71805169]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [15.08143477  4.1479416   3.09298321] : 84
O1 : [16.2501548   2.9697384   0.17237704] : 76
O1 : [18.05531895  3.4669664   2.767836  ] : 82
O1 : [16.71647963  5.9909664   1.31692787] : 80
!!!atention to nb coordination!!!
         [1.9739554582032317, 1.9179286237126913, 1.9766102682577018, 1.9666850976846713]
         [1.9739554582032302, 1.9179286237126913, 1.9766102682577016, 1.9666850976846713]


**isite= 21
Zn1 : [15.56066496  0.9697208   5.80281556]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [15.31474348  2.0782616   4.25714091] : 77
O1 : [14.14602345  0.9000584   7.17774708] : 85
O1 : [17.11990763  1.5810336   6.85259988] : 83
O1 : [15.78106831 -0.9429664   5.40169175] : 81
!!!atention to nb coordination!!!
         [1.9179286237126902, 1.9739554582032335, 1.9766102682576998, 1.9666850976846713]
         [1.917928623712691, 1.9739554582032317, 1.9766102682576998, 1.9666850976846715]


**isite= 22
Zn1 : [18.2757223   1.5542792   2.36671219]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [19.69036381  1.6239416   0.99178067] : 86
O1 : [18.05531895  3.4669664   2.767836  ] : 82
O1 : [18.52164378  0.4457384   3.91238684] : 78
O1 : [16.71647963  0.9429664   1.31692787] : 80
!!!atention to nb coordination!!!
         [1.9739554582032284, 1.966685097684672, 1.9179286237126911, 1.9766102682577011]
         [1.9739554582032286, 1.9666850976846717, 1.9179286237126911, 1.9766102682577011]


**isite= 23
Zn1 : [17.34031098  3.4937208   6.45147606]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [17.11990763  1.5810336   6.85259988] : 83
O1 : [17.58623246  4.6022616   7.99715071] : 79
O1 : [15.78106831  4.1050336   5.40169175] : 81
O1 : [18.75495249  3.4240584   5.07654454] : 87
!!!atention to nb coordination!!!
         [1.9666850976846713, 1.917928623712691, 1.976610268257698, 1.9739554582032317]
         [1.9666850976846713, 1.917928623712691, 1.9766102682576985, 1.9739554582032317]


**isite= 24
B1 : [1.50750927 3.4260776  0.27776394]

ce_symbol  = TL:3
ce_fraction=  0.9995837839876784
species:coords:index
O1 : [1.87491625 2.077252   0.33658454] : 44
O1 : [ 1.05100966  4.0293136  -0.81613582] : 40
O1 : [1.56343674 4.1020048  1.46806414] : 48
!!!atention to nb coordination!!!
         [1.3992062939458718, 1.3300008489550066, 1.3699708068937428]
         [1.3992062939458718, 1.3300008489550075, 1.3699708068937428]

ce_symbol  = TY:3
ce_fraction=  0.0004162160123216592
species:coords:index
O1 : [1.87491625 2.077252   0.33658454] : 44
O1 : [ 1.05100966  4.0293136  -0.81613582] : 40
O1 : [1.56343674 4.1020048  1.46806414] : 48
!!!atention to nb coordination!!!
         [1.3992062939458718, 1.3300008489550066, 1.3699708068937428]
         [1.3992062939458718, 1.3300008489550075, 1.3699708068937428]


**isite= 25
B1 : [0.57209795 1.6219224  4.36252782]

ce_symbol  = TL:3
ce_fraction=  0.9995837839876784
species:coords:index
O1 : [0.93950493 2.970748   4.42134842] : 45
O1 : [0.62802542 0.9459952  5.55282801] : 49
O1 : [0.11559834 1.0186864  3.26862805] : 41
!!!atention to nb coordination!!!
         [1.3992062939458716, 1.3699708068937444, 1.3300008489550073]
         [1.3992062939458716, 1.3699708068937437, 1.3300008489550073]

ce_symbol  = TY:3
ce_fraction=  0.00041621601232167554
species:coords:index
O1 : [0.93950493 2.970748   4.42134842] : 45
O1 : [0.62802542 0.9459952  5.55282801] : 49
O1 : [0.11559834 1.0186864  3.26862805] : 41
!!!atention to nb coordination!!!
         [1.3992062939458716, 1.3699708068937444, 1.3300008489550073]
         [1.3992062939458716, 1.3699708068937437, 1.3300008489550073]


**isite= 26
B1 : [9.45948271 0.9020776  3.80699993]

ce_symbol  = TL:3
ce_fraction=  0.9995837839876784
species:coords:index
O1 : [9.91598232 1.5053136  4.9008997 ] : 42
O1 : [ 9.09207573 -0.446748    3.74817933] : 46
O1 : [9.40355524 1.5780048  2.61669974] : 50
!!!atention to nb coordination!!!
         [1.3300008489550066, 1.399206293945872, 1.3699708068937435]
         [1.3300008489550073, 1.3992062939458718, 1.3699708068937435]

ce_symbol  = TY:3
ce_fraction=  0.0004162160123216687
species:coords:index
O1 : [9.91598232 1.5053136  4.9008997 ] : 42
O1 : [ 9.09207573 -0.446748    3.74817933] : 46
O1 : [9.40355524 1.5780048  2.61669974] : 50
!!!atention to nb coordination!!!
         [1.3300008489550066, 1.399206293945872, 1.3699708068937435]
         [1.3300008489550073, 1.3992062939458718, 1.3699708068937435]


**isite= 27
B1 : [8.5240714  4.1459224  7.89176381]

ce_symbol  = TL:3
ce_fraction=  0.9995837839876784
species:coords:index
O1 : [8.980571   3.5426864  8.98566357] : 43
O1 : [8.15666441 5.494748   7.83294321] : 47
O1 : [8.46814392 3.4699952  6.70146361] : 51
!!!atention to nb coordination!!!
         [1.3300008489550084, 1.3992062939458714, 1.3699708068937437]
         [1.330000848955008, 1.3992062939458723, 1.3699708068937437]

ce_symbol  = TY:3
ce_fraction=  0.0004162160123216765
species:coords:index
O1 : [8.980571   3.5426864  8.98566357] : 43
O1 : [8.15666441 5.494748   7.83294321] : 47
O1 : [8.46814392 3.4699952  6.70146361] : 51
!!!atention to nb coordination!!!
         [1.3300008489550084, 1.3992062939458714, 1.3699708068937437]
         [1.330000848955008, 1.3992062939458723, 1.3699708068937437]


**isite= 28
B1 : [4.41651445 4.121692   0.15277017]

ce_symbol  = TL:3
ce_fraction=  0.9999923543584459
species:coords:index
O1 : [ 4.11444279  3.4240584  -0.99178067] : 61
O1 : [4.3477515  5.4937384  0.17237704] : 52
O1 : [4.81407633 3.4669664  1.31692787] : 56
!!!atention to nb coordination!!!
         [1.3740220342938907, 1.373908329022943, 1.3935509387439748]
         [1.3740220342938916, 1.373908329022943, 1.3935509387439746]

ce_symbol  = TY:3
ce_fraction=  7.64564155415769e-06
species:coords:index
O1 : [ 4.11444279  3.4240584  -0.99178067] : 61
O1 : [4.3477515  5.4937384  0.17237704] : 52
O1 : [4.81407633 3.4669664  1.31692787] : 56
!!!atention to nb coordination!!!
         [1.3740220342938907, 1.373908329022943, 1.3935509387439748]
         [1.3740220342938916, 1.373908329022943, 1.3935509387439746]


**isite= 29
B1 : [3.48110313 0.926308   4.23753404]

ce_symbol  = TL:3
ce_fraction=  0.9999923543584459
species:coords:index
O1 : [3.17903147 1.6239416  3.09298321] : 60
O1 : [ 3.41234018 -0.4457384   4.25714091] : 53
O1 : [3.87866501 1.5810336  5.40169175] : 57
!!!atention to nb coordination!!!
         [1.374022034293891, 1.3739083290229435, 1.3935509387439753]
         [1.3740220342938911, 1.373908329022943, 1.3935509387439746]

ce_symbol  = TY:3
ce_fraction=  7.645641554158147e-06
species:coords:index
O1 : [3.17903147 1.6239416  3.09298321] : 60
O1 : [ 3.41234018 -0.4457384   4.25714091] : 53
O1 : [3.87866501 1.5810336  5.40169175] : 57
!!!atention to nb coordination!!!
         [1.374022034293891, 1.3739083290229435, 1.3935509387439753]
         [1.3740220342938911, 1.373908329022943, 1.3935509387439746]


**isite= 30
B1 : [6.55047753 1.597692   3.93199371]

ce_symbol  = TL:3
ce_fraction=  0.9999923543584459
species:coords:index
O1 : [6.85254919 0.9000584  5.07654454] : 63
O1 : [6.61924048 2.9697384  3.91238684] : 54
O1 : [6.15291565 0.9429664  2.767836  ] : 58
!!!atention to nb coordination!!!
         [1.3740220342938916, 1.3739083290229428, 1.3935509387439746]
         [1.3740220342938914, 1.3739083290229428, 1.3935509387439746]

ce_symbol  = TY:3
ce_fraction=  7.645641554157562e-06
species:coords:index
O1 : [6.85254919 0.9000584  5.07654454] : 63
O1 : [6.61924048 2.9697384  3.91238684] : 54
O1 : [6.15291565 0.9429664  2.767836  ] : 58
!!!atention to nb coordination!!!
         [1.3740220342938916, 1.3739083290229428, 1.3935509387439746]
         [1.3740220342938914, 1.3739083290229428, 1.3935509387439746]


**isite= 31
B1 : [5.61506621 3.450308   8.01675758]

ce_symbol  = TL:3
ce_fraction=  0.9999923543584459
species:coords:index
O1 : [5.68382916 2.0782616  7.99715071] : 55
O1 : [5.91713788 4.1479416  9.16130842] : 62
O1 : [5.21750433 4.1050336  6.85259988] : 59

ce_symbol  = TY:3
ce_fraction=  7.645641554158738e-06
species:coords:index
O1 : [5.68382916 2.0782616  7.99715071] : 55
O1 : [5.91713788 4.1479416  9.16130842] : 62
O1 : [5.21750433 4.1050336  6.85259988] : 59


**isite= 32
B1 : [13.40991256  0.9020776   0.27776394]

ce_symbol  = TL:3
ce_fraction=  0.9995837839876784
species:coords:index
O1 : [13.46584004  1.5780048   1.46806414] : 72
O1 : [13.77731955 -0.446748    0.33658454] : 68
O1 : [12.95341296  1.5053136  -0.81613582] : 64
!!!atention to nb coordination!!!
