cif name= ./2002888.cif
./2002888.cif
Full Formula (Ca12 Al24 O48)
Ca2+1 : [6.62646498 7.8144444  1.35655033]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [6.5689948  6.101368   3.09895036] : 48
O2-1 : [4.90801696 5.98808    0.41015519] : 52
O2-1 : [8.03113667 6.14992    0.34939146] : 36
O2-1 : [8.23691581 9.200604   2.26344904] : 44
O2-1 : [4.96535523 9.281524   2.14192157] : 56
O2-1 : [ 5.90482101  8.286208   -0.83550132] : 70
!!!atention to nb coordination!!!
         [2.44415454498895, 2.6803608462496458, 2.399606846917278, 2.3102933971526927, 2.3512584168626867, 2.3555087244879545]
         [2.4441545449889497, 2.680360846249644, 2.399606846917278, 2.3102933971526927, 2.351258416862686, 2.3555087244879527]


**isite= 1
Ca2+1 : [2.29900125 4.3235556  8.9520169 ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [0.58055323 6.14992    8.00562176] : 53
O2-1 : [ 2.24153107  6.036632   10.69441693] : 49
O2-1 : [0.6378915  2.856476   9.73738814] : 57
O2-1 : [3.70367294 5.98808    7.94485803] : 37
O2-1 : [1.57735728 3.851792   6.75996524] : 71
O2-1 : [3.90945208 2.937396   9.8589156 ] : 45
!!!atention to nb coordination!!!
         [2.680360846249644, 2.4441545449889466, 2.3512584168626853, 2.3996068469172775, 2.3555087244879545, 2.310293397152692]
         [2.680360846249644, 2.4441545449889497, 2.3512584168626853, 2.3996068469172784, 2.3555087244879536, 2.3102933971526927]


**isite= 2
Ca2+1 : [-6.58139244  0.2775556  13.8343828 ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [-8.19184327 -1.108604   12.9274841 ] : 46
O2-1 : [-6.52392226  1.990632   12.09198277] : 50
O2-1 : [-5.85974847 -0.194208   16.02643446] : 68
O2-1 : [-7.98606413  1.94208    14.84154167] : 38
O2-1 : [-4.92028269 -1.189524   13.04901156] : 58
O2-1 : [-4.86294442  2.10392    14.78077794] : 54
!!!atention to nb coordination!!!
         [2.3102933971526944, 2.4441545449889523, 2.3555087244879545, 2.3996068469172775, 2.351258416862687, 2.680360846249642]
         [2.310293397152693, 2.444154544988951, 2.355508724487953, 2.399606846917279, 2.3512584168626844, 2.6803608462496427]


**isite= 3
Ca2+1 : [-2.25392871  3.7684444   6.23891624]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [-1.53228474  4.240208    8.43096789] : 69
O2-1 : [-0.59281896  5.235524    5.45354499] : 59
O2-1 : [-0.53548069  1.94208     7.18531137] : 55
O2-1 : [-2.19645853  2.055368    4.49651621] : 51
O2-1 : [-3.6586004  2.10392    7.2460751] : 39
O2-1 : [-3.86437954  5.154604    5.33201753] : 47
!!!atention to nb coordination!!!
         [2.355508724487954, 2.3512584168626844, 2.680360846249645, 2.444154544988951, 2.399606846917279, 2.310293397152693]
         [2.355508724487954, 2.351258416862685, 2.6803608462496444, 2.44415454498895, 2.3996068469172793, 2.310293397152693]


**isite= 4
Ca2+1 : [6.36637564 4.2871416  1.07703716]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [4.90801696 5.98808    0.41015519] : 52
O2-1 : [ 6.57508159  2.87266    -0.71397386] : 74
O2-1 : [4.94141871 3.851792   2.87108636] : 60
O2-1 : [8.56580305 3.787056   1.68619358] : 40
O2-1 : [8.03113667 6.14992    0.34939146] : 36
O2-1 : [6.5689948  6.101368   3.09895036] : 48
!!!atention to nb coordination!!!
         [2.3376768484318577, 2.291732277201895, 2.33209006661942, 2.3363728461473485, 2.602083953250632, 2.724078732520874]
         [2.3376768484318586, 2.2917322772018935, 2.3320900666194206, 2.3363728461473485, 2.6020839532506344, 2.724078732520875]


**isite= 5
Ca2+1 : [2.03891191 7.8508584  8.67250373]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [2.24761786 9.26534    6.88149271] : 75
O2-1 : [0.58055323 6.14992    8.00562176] : 53
O2-1 : [ 0.61395498  8.286208   10.46655293] : 61
O2-1 : [3.70367294 5.98808    7.94485803] : 37
O2-1 : [4.23833932 8.350944   9.28166014] : 41
O2-1 : [ 2.24153107  6.036632   10.69441693] : 49
!!!atention to nb coordination!!!
         [2.2917322772018944, 2.33767684843186, 2.332090066619418, 2.6020839532506352, 2.3363728461473494, 2.7240787325208746]
         [2.2917322772018935, 2.3376768484318586, 2.3320900666194193, 2.6020839532506344, 2.336372846147349, 2.724078732520875]


**isite= 6
Ca2+1 : [-6.3213031   3.8048584  14.11389597]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [-7.98606413  1.94208    14.84154167] : 38
O2-1 : [-6.53000905  5.21934    15.90490699] : 72
O2-1 : [-6.52392226  1.990632   12.09198277] : 50
O2-1 : [-4.86294442  2.10392    14.78077794] : 54
O2-1 : [-4.89634617  4.240208   12.31984677] : 62
O2-1 : [-8.52073051  4.304944   13.50473956] : 42
!!!atention to nb coordination!!!
         [2.6020839532506335, 2.291732277201892, 2.7240787325208777, 2.337676848431859, 2.3320900666194224, 2.336372846147349]
         [2.602083953250634, 2.291732277201894, 2.7240787325208764, 2.3376768484318586, 2.3320900666194206, 2.3363728461473503]


**isite= 7
Ca2+1 : [-1.99383937  0.2411416   6.51842941]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [-3.6586004  2.10392    7.2460751] : 39
O2-1 : [-4.19326678 -0.258944    5.90927299] : 43
O2-1 : [-2.19645853  2.055368    4.49651621] : 51
O2-1 : [-0.56888244 -0.194208    4.7243802 ] : 63
O2-1 : [-0.53548069  1.94208     7.18531137] : 55
O2-1 : [-2.20254532 -1.17334     8.30944042] : 73
!!!atention to nb coordination!!!
         [2.6020839532506335, 2.336372846147349, 2.7240787325208764, 2.332090066619421, 2.3376768484318586, 2.291732277201894]
         [2.602083953250634, 2.3363728461473485, 2.724078732520876, 2.332090066619421, 2.337676848431859, 2.291732277201893]


**isite= 8
Ca2+1 : [2.27661292 3.8145688  3.75216048]

ce_symbol  = MI:10
ce_fraction=  0.9996672026810338
species:coords:index
O2-1 : [2.19843972 2.209116   2.03558504] : 76
O2-1 : [4.94141871 3.851792   2.87108636] : 60
O2-1 : [3.63668914 6.255116   2.96223196] : 64
O2-1 : [0.68747929 6.10946    2.99261383] : 80
O2-1 : [-0.13419695  3.787056    1.68619358] : 40
O2-1 : [3.68505698 2.06346    4.60285274] : 83
O2-1 : [0.73584712 2.209116   4.63323461] : 67
O2-1 : [4.83562046 5.154604   5.33201753] : 47
O2-1 : [2.17409655 6.255116   5.55988153] : 79
O2-1 : [1.57735728 3.851792   6.75996524] : 71
!!!atention to nb coordination!!!
         [2.351642191525654, 2.806931970654018, 2.9034574308558696, 2.892884793364501, 3.175055970784784, 2.402867873841421, 2.3932675423459706, 3.2924401638871315, 3.038854325238146, 3.088241164478769]
         [2.3516421915256536, 2.806931970654018, 2.903457430855871, 2.8928847933645017, 3.1750559707847836, 2.4028678738414206, 2.3932675423459706, 3.2924401638871323, 3.0388543252381472, 3.0882411644787697]

ce_symbol  = BS_2:10
ce_fraction=  0.00033279731896609764
species:coords:index
O2-1 : [2.19843972 2.209116   2.03558504] : 76
O2-1 : [4.94141871 3.851792   2.87108636] : 60
O2-1 : [3.63668914 6.255116   2.96223196] : 64
O2-1 : [0.68747929 6.10946    2.99261383] : 80
O2-1 : [-0.13419695  3.787056    1.68619358] : 40
O2-1 : [3.68505698 2.06346    4.60285274] : 83
O2-1 : [0.73584712 2.209116   4.63323461] : 67
O2-1 : [4.83562046 5.154604   5.33201753] : 47
O2-1 : [2.17409655 6.255116   5.55988153] : 79
O2-1 : [1.57735728 3.851792   6.75996524] : 71
!!!atention to nb coordination!!!
         [2.351642191525654, 2.806931970654018, 2.9034574308558696, 2.892884793364501, 3.175055970784784, 2.402867873841421, 2.3932675423459706, 3.2924401638871315, 3.038854325238146, 3.088241164478769]
         [2.3516421915256536, 2.806931970654018, 2.903457430855871, 2.8928847933645017, 3.1750559707847836, 2.4028678738414206, 2.3932675423459706, 3.2924401638871323, 3.0388543252381472, 3.0882411644787697]


**isite= 9
Ca2+1 : [-2.05085081  0.2314312  11.34762705]

ce_symbol  = MI:10
ce_fraction=  0.9996672026810338
species:coords:index
O2-1 : [-3.59161661  1.836884   12.22870117] : 66
O2-1 : [-3.63998444 -2.06346    10.58808039] : 81
O2-1 : [ 0.61395498  0.194208   10.46655293] : 61
O2-1 : [-0.69077459 -2.209116   10.55769853] : 65
O2-1 : [-4.46166068  0.258944    9.28166014] : 41
O2-1 : [-0.64240675  1.98254    12.19831931] : 82
O2-1 : [-2.15336718 -2.209116   13.15534809] : 78
O2-1 : [-2.75010645  0.194208   14.35543181] : 70
O2-1 : [-2.12902401  1.836884    9.63105161] : 77
O2-1 : [ 0.50815673 -1.108604   12.9274841 ] : 46
!!!atention to nb coordination!!!
         [2.393267542345969, 2.892884793364503, 2.8069319706540194, 2.9034574308558723, 3.1750559707847827, 2.4028678738414206, 3.0388543252381472, 3.0882411644787684, 2.3516421915256545, 3.292440163887134]
         [2.3932675423459693, 2.8928847933645017, 2.8069319706540194, 2.903457430855872, 3.1750559707847827, 2.4028678738414215, 3.0388543252381472, 3.08824116447877, 2.3516421915256536, 3.2924401638871332]

ce_symbol  = BS_2:10
ce_fraction=  0.0003327973189661046
species:coords:index
O2-1 : [-3.59161661  1.836884   12.22870117] : 66
O2-1 : [-3.63998444 -2.06346    10.58808039] : 81
O2-1 : [ 0.61395498  0.194208   10.46655293] : 61
O2-1 : [-0.69077459 -2.209116   10.55769853] : 65
O2-1 : [-4.46166068  0.258944    9.28166014] : 41
O2-1 : [-0.64240675  1.98254    12.19831931] : 82
O2-1 : [-2.15336718 -2.209116   13.15534809] : 78
O2-1 : [-2.75010645  0.194208   14.35543181] : 70
O2-1 : [-2.12902401  1.836884    9.63105161] : 77
O2-1 : [ 0.50815673 -1.108604   12.9274841 ] : 46
!!!atention to nb coordination!!!
         [2.393267542345969, 2.892884793364503, 2.8069319706540194, 2.9034574308558723, 3.1750559707847827, 2.4028678738414206, 3.0388543252381472, 3.0882411644787684, 2.3516421915256545, 3.292440163887134]
         [2.3932675423459693, 2.8928847933645017, 2.8069319706540194, 2.903457430855872, 3.1750559707847827, 2.4028678738414215, 3.0388543252381472, 3.08824116447877, 2.3516421915256536, 3.2924401638871332]


**isite= 10
Ca2+1 : [-2.23154038  4.2774312  11.43877265]

ce_symbol  = MI:10
ce_fraction=  0.9996672026810338
species:coords:index
O2-1 : [-4.79054792  2.937396    9.8589156 ] : 45
O2-1 : [-4.89634617  4.240208   12.31984677] : 62
O2-1 : [-3.59161661  1.836884   12.22870117] : 66
O2-1 : [-2.12902401  1.836884    9.63105161] : 77
O2-1 : [-1.53228474  4.240208    8.43096789] : 69
O2-1 : [-3.63998444  6.02854    10.58808039] : 81
O2-1 : [-2.15336718  5.882884   13.15534809] : 78
O2-1 : [-0.64240675  1.98254    12.19831931] : 82
O2-1 : [-0.69077459  5.882884   10.55769853] : 65
O2-1 : [ 0.17926949  4.304944   13.50473956] : 42
!!!atention to nb coordination!!!
         [3.2924401638871332, 2.8069319706540177, 2.903457430855871, 3.0388543252381486, 3.0882411644787684, 2.4028678738414215, 2.351642191525652, 2.8928847933645008, 2.3932675423459706, 3.175055970784783]
         [3.292440163887132, 2.806931970654019, 2.903457430855871, 3.0388543252381472, 3.0882411644787684, 2.4028678738414215, 2.3516421915256545, 2.8928847933645017, 2.39326754234597, 3.175055970784784]

ce_symbol  = BS_2:10
ce_fraction=  0.00033279731896609694
species:coords:index
O2-1 : [-4.79054792  2.937396    9.8589156 ] : 45
O2-1 : [-4.89634617  4.240208   12.31984677] : 62
O2-1 : [-3.59161661  1.836884   12.22870117] : 66
O2-1 : [-2.12902401  1.836884    9.63105161] : 77
O2-1 : [-1.53228474  4.240208    8.43096789] : 69
O2-1 : [-3.63998444  6.02854    10.58808039] : 81
O2-1 : [-2.15336718  5.882884   13.15534809] : 78
O2-1 : [-0.64240675  1.98254    12.19831931] : 82
O2-1 : [-0.69077459  5.882884   10.55769853] : 65
O2-1 : [ 0.17926949  4.304944   13.50473956] : 42
!!!atention to nb coordination!!!
         [3.2924401638871332, 2.8069319706540177, 2.903457430855871, 3.0388543252381486, 3.0882411644787684, 2.4028678738414215, 2.351642191525652, 2.8928847933645008, 2.3932675423459706, 3.175055970784783]
         [3.292440163887132, 2.806931970654019, 2.903457430855871, 3.0388543252381472, 3.0882411644787684, 2.4028678738414215, 2.3516421915256545, 2.8928847933645017, 2.39326754234597, 3.175055970784784]


**isite= 11
Ca2+1 : [2.09592335 7.8605688  3.84330608]

ce_symbol  = MI:10
ce_fraction=  0.9996672026810338
species:coords:index
O2-1 : [-0.46308419  9.200604    2.26344904] : 44
O2-1 : [0.68747929 6.10946    2.99261383] : 80
O2-1 : [-0.56888244  7.897792    4.7243802 ] : 63
O2-1 : [2.79517899 7.897792   0.83550132] : 68
O2-1 : [ 2.19843972 10.301116    2.03558504] : 76
O2-1 : [ 3.68505698 10.15546     4.60285274] : 83
O2-1 : [2.17409655 6.255116   5.55988153] : 79
O2-1 : [4.50673322 7.833056   5.90927299] : 43
O2-1 : [ 0.73584712 10.301116    4.63323461] : 67
O2-1 : [3.63668914 6.255116   2.96223196] : 64
!!!atention to nb coordination!!!
         [3.2924401638871315, 2.402867873841422, 2.806931970654018, 3.0882411644787697, 3.0388543252381472, 2.8928847933645025, 2.351642191525656, 3.1750559707847845, 2.903457430855869, 2.3932675423459715]
         [3.2924401638871315, 2.4028678738414215, 2.806931970654018, 3.0882411644787697, 3.0388543252381472, 2.8928847933645025, 2.351642191525655, 3.1750559707847845, 2.9034574308558705, 2.3932675423459706]

ce_symbol  = BS_2:10
ce_fraction=  0.0003327973189661048
species:coords:index
O2-1 : [-0.46308419  9.200604    2.26344904] : 44
O2-1 : [0.68747929 6.10946    2.99261383] : 80
O2-1 : [-0.56888244  7.897792    4.7243802 ] : 63
O2-1 : [2.79517899 7.897792   0.83550132] : 68
O2-1 : [ 2.19843972 10.301116    2.03558504] : 76
O2-1 : [ 3.68505698 10.15546     4.60285274] : 83
O2-1 : [2.17409655 6.255116   5.55988153] : 79
O2-1 : [4.50673322 7.833056   5.90927299] : 43
O2-1 : [ 0.73584712 10.301116    4.63323461] : 67
O2-1 : [3.63668914 6.255116   2.96223196] : 64
!!!atention to nb coordination!!!
         [3.2924401638871315, 2.402867873841422, 2.806931970654018, 3.0882411644787697, 3.0388543252381472, 2.8928847933645025, 2.351642191525656, 3.1750559707847845, 2.903457430855869, 2.3932675423459715]
         [3.2924401638871315, 2.4028678738414215, 2.806931970654018, 3.0882411644787697, 3.0388543252381472, 2.8928847933645025, 2.351642191525655, 3.1750559707847845, 2.9034574308558705, 2.3932675423459706]


**isite= 12
Al3+1 : [5.0210798  5.4475344  3.62303755]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [4.94141871 3.851792   2.87108636] : 60
O2-1 : [3.63668914 6.255116   2.96223196] : 64
O2-1 : [4.83562046 5.154604   5.33201753] : 47
O2-1 : [6.5689948  6.101368   3.09895036] : 48
!!!atention to nb coordination!!!
         [1.7658341623223504, 1.7336059405045292, 1.7437935512531597, 1.7601723216041267]
         [1.7658341623223492, 1.73360594050453, 1.7437935512531606, 1.760172321604127]


**isite= 13
Al3+1 : [ 0.69361607  6.6904656  11.21850412]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [ 2.24153107  6.036632   10.69441693] : 49
O2-1 : [ 0.50815673  6.983396   12.9274841 ] : 46
O2-1 : [ 0.61395498  8.286208   10.46655293] : 61
O2-1 : [-0.69077459  5.882884   10.55769853] : 65
!!!atention to nb coordination!!!
         [1.7601723216041263, 1.743793551253162, 1.7658341623223497, 1.7336059405045319]
         [1.760172321604126, 1.7437935512531622, 1.7658341623223488, 1.7336059405045308]


**isite= 14
Al3+1 : [-4.97600726  2.6444656  11.56789558]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [-4.79054792  2.937396    9.8589156 ] : 45
O2-1 : [-4.89634617  4.240208   12.31984677] : 62
O2-1 : [-6.52392226  1.990632   12.09198277] : 50
O2-1 : [-3.59161661  1.836884   12.22870117] : 66
!!!atention to nb coordination!!!
         [1.7437935512531624, 1.7658341623223488, 1.7601723216041252, 1.7336059405045314]
         [1.7437935512531608, 1.7658341623223497, 1.7601723216041258, 1.7336059405045319]


**isite= 15
Al3+1 : [-0.64854353  1.4015344   3.97242901]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [-2.19645853  2.055368    4.49651621] : 51
O2-1 : [0.73584712 2.209116   4.63323461] : 67
O2-1 : [-0.46308419  1.108604    2.26344904] : 44
O2-1 : [-0.56888244 -0.194208    4.7243802 ] : 63
!!!atention to nb coordination!!!
         [1.7601723216041256, 1.7336059405045303, 1.743793551253161, 1.7658341623223521]
         [1.7601723216041263, 1.7336059405045308, 1.743793551253161, 1.7658341623223501]


**isite= 16
Al3+1 : [5.06345739 2.2301552  3.53796833]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [3.68505698 2.06346    4.60285274] : 83
O2-1 : [4.96535523 1.189524   2.14192157] : 56
O2-1 : [4.94141871 3.851792   2.87108636] : 60
O2-1 : [6.50354147 2.055368   4.49651621] : 51
!!!atention to nb coordination!!!
         [1.749786788810504, 1.743985054837216, 1.7576492557580612, 1.738737114751575]
         [1.749786788810504, 1.7439850548372153, 1.7576492557580619, 1.7387371147515764]


**isite= 17
Al3+1 : [ 0.73599366  1.8158448  11.13343489]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [ 2.17607774  1.990632   12.09198277] : 50
O2-1 : [0.6378915  2.856476   9.73738814] : 57
O2-1 : [-0.64240675  1.98254    12.19831931] : 82
O2-1 : [ 0.61395498  0.194208   10.46655293] : 61
!!!atention to nb coordination!!!
         [1.7387371147515742, 1.7439850548372164, 1.7497867888105025, 1.757649255758063]
         [1.738737114751576, 1.7439850548372153, 1.7497867888105034, 1.757649255758062]


**isite= 18
Al3+1 : [-5.01838486  5.8618448  11.65296481]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [-4.92028269  6.902476   13.04901156] : 58
O2-1 : [-4.89634617  4.240208   12.31984677] : 62
O2-1 : [-3.63998444  6.02854    10.58808039] : 81
O2-1 : [-6.45846893  6.036632   10.69441693] : 49
!!!atention to nb coordination!!!
         [1.7439850548372107, 1.7576492557580612, 1.7497867888105056, 1.7387371147515782]
         [1.7439850548372131, 1.7576492557580616, 1.7497867888105045, 1.738737114751576]


**isite= 19
Al3+1 : [-0.69092113  6.2761552   4.05749824]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [-0.56888244  7.897792    4.7243802 ] : 63
O2-1 : [-2.1310052   6.101368    3.09895036] : 48
O2-1 : [0.68747929 6.10946    2.99261383] : 80
O2-1 : [-0.59281896  5.235524    5.45354499] : 59
!!!atention to nb coordination!!!
         [1.7576492557580605, 1.738737114751577, 1.749786788810504, 1.7439850548372142]
         [1.757649255758062, 1.738737114751576, 1.7497867888105039, 1.7439850548372147]


**isite= 20
Al3+1 : [3.49483017 1.3845412  1.18641188]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [2.19843972 2.209116   2.03558504] : 76
O2-1 : [ 2.79517899 -0.194208    0.83550132] : 68
O2-1 : [ 3.79198304  2.10392    -0.41015519] : 54
O2-1 : [4.96535523 1.189524   2.14192157] : 56
!!!atention to nb coordination!!!
         [1.7554620036662911, 1.7621291161388397, 1.7761847049767756, 1.7645040220127206]
         [1.755462003666291, 1.7621291161388377, 1.7761847049767732, 1.7645040220127215]


**isite= 21
Al3+1 : [-0.83263357  2.6614588   8.78187844]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [-2.12902401  1.836884    9.63105161] : 77
O2-1 : [0.6378915  2.856476   9.73738814] : 57
O2-1 : [-1.53228474  4.240208    8.43096789] : 69
O2-1 : [-0.53548069  1.94208     7.18531137] : 55
!!!atention to nb coordination!!!
         [1.7554620036662896, 1.7645040220127208, 1.762129116138838, 1.7761847049767752]
         [1.7554620036662902, 1.764504022012722, 1.762129116138838, 1.776184704976774]


**isite= 22
Al3+1 : [-3.44975763  6.7074588  14.00452126]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [-4.92028269  6.902476   13.04901156] : 58
O2-1 : [-2.75010645  8.286208   14.35543181] : 70
O2-1 : [-3.7469105   5.98808    15.60108833] : 52
O2-1 : [-2.15336718  5.882884   13.15534809] : 78
!!!atention to nb coordination!!!
         [1.7645040220127237, 1.7621291161388373, 1.7761847049767747, 1.7554620036662918]
         [1.7645040220127237, 1.762129116138837, 1.7761847049767738, 1.7554620036662905]


**isite= 23
Al3+1 : [0.8777061  5.4305412  6.40905469]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [-0.59281896  5.235524    5.45354499] : 59
O2-1 : [2.17409655 6.255116   5.55988153] : 79
O2-1 : [0.58055323 6.14992    8.00562176] : 53
O2-1 : [1.57735728 3.851792   6.75996524] : 71
!!!atention to nb coordination!!!
         [1.7645040220127233, 1.755462003666289, 1.776184704976771, 1.762129116138838]
         [1.7645040220127226, 1.7554620036662902, 1.7761847049767732, 1.7621291161388375]


**isite= 24
Al3+1 : [3.37401285 6.3174244  1.22438921]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [2.12491841 5.21934    0.71397386] : 72
O2-1 : [2.79517899 7.897792   0.83550132] : 68
O2-1 : [4.90801696 5.98808    0.41015519] : 52
O2-1 : [3.63668914 6.255116   2.96223196] : 64
!!!atention to nb coordination!!!
         [1.73969827718648, 1.7273807266251333, 1.7676575975105886, 1.7586866121635618]
         [1.739698277186479, 1.7273807266251346, 1.767657597510589, 1.7586866121635618]


**isite= 25
Al3+1 : [-0.95345088  5.8205756   8.81985578]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [-1.53228474  4.240208    8.43096789] : 69
O2-1 : [-2.20254532  6.91866     8.30944042] : 73
O2-1 : [-0.69077459  5.882884   10.55769853] : 65
O2-1 : [0.58055323 6.14992    8.00562176] : 53
!!!atention to nb coordination!!!
         [1.7273807266251349, 1.7396982771864788, 1.7586866121635591, 1.7676575975105897]
         [1.7273807266251349, 1.7396982771864797, 1.758686612163561, 1.7676575975105888]


**isite= 26
Al3+1 : [-3.32894031  1.7745756  13.96654392]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [-2.07984587  2.87266    14.47695928] : 74
O2-1 : [-2.75010645  0.194208   14.35543181] : 70
O2-1 : [-3.59161661  1.836884   12.22870117] : 66
O2-1 : [-4.86294442  2.10392    14.78077794] : 54
!!!atention to nb coordination!!!
         [1.7396982771864786, 1.7273807266251353, 1.7586866121635643, 1.7676575975105864]
         [1.739698277186479, 1.7273807266251353, 1.7586866121635625, 1.767657597510588]


**isite= 27
Al3+1 : [0.99852342 2.2714244  6.37107736]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [2.24761786 1.17334    6.88149271] : 75
O2-1 : [1.57735728 3.851792   6.75996524] : 71
O2-1 : [0.73584712 2.209116   4.63323461] : 67
O2-1 : [-0.53548069  1.94208     7.18531137] : 55
!!!atention to nb coordination!!!
         [1.7396982771864788, 1.7273807266251338, 1.7586866121635618, 1.7676575975105884]
         [1.7396982771864786, 1.727380726625135, 1.7586866121635618, 1.767657597510589]


**isite= 28
Al3+1 : [0.56789315 2.2042608  1.39300857]

ce_symbol  = T:4
ce_fraction=  1.0
