cif name= ./1528989.cif
./1528989.cif
Full Formula (La16 Hf16 O56)
 53  O     0.2952  0.5     0
 54  O     0.25    0.75    0.5452
 55  O     0.25    0.75    0.9548
 56  O     0.5     0.5     0.2048
 57  O     0.5     0.5     0.7952
 58  O     0.25    0.25    0.75
 59  O     0.5     0       0
 60  O     0.0452  0.25    0.25
 61  O     0       0.7952  0
 62  O     0.9548  0.25    0.75
 63  O     0       0.2048  0
 64  O     0.75    0.0452  0.75
 65  O     0.7048  0       0.5
 66  O     0.75    0.4548  0.75
 67  O     0.7952  0       0
 68  O     0.75    0.25    0.5452
 69  O     0.75    0.25    0.9548
 70  O     0       0       0.2048
 71  O     0       0       0.7952
 72  O     0.75    0.75    0.75
 73  O     0       0.5     0
 74  O     0.0452  0.75    0.75
 75  O     0       0.2952  0.5
 76  O     0.9548  0.75    0.25
 77  O     0       0.7048  0.5
 78  O     0.75    0.5452  0.25
 79  O     0.7048  0.5     0
 80  O     0.75    0.9548  0.25
 81  O     0.7952  0.5     0.5
 82  O     0.75    0.75    0.0452
 83  O     0.75    0.75    0.4548
 84  O     0       0.5     0.7048
 85  O     0       0.5     0.2952
 86  O     0.75    0.25    0.25
 87  O     0       0       0.5

space_group_IT_number 227

*** lse ***


**isite= 0
La1 : [1.3466 1.3466 1.3466]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.         2.20626944 0.        ] : 63
O1 : [0.48693056 2.6932     2.6932    ] : 60
O1 : [0.         0.         2.20626944] : 70
O1 : [2.20626944 0.         0.        ] : 37
O1 : [2.6932     2.6932     0.48693056] : 40
O1 : [2.6932     0.48693056 2.6932    ] : 36


**isite= 1
La1 : [1.3466 4.0398 4.0398]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.6932     4.89946944 2.6932    ] : 38
O1 : [0.48693056 2.6932     2.6932    ] : 60
O1 : [0.         5.3864     3.18013056] : 85
O1 : [0.         3.18013056 5.3864    ] : 75
O1 : [2.20626944 5.3864     5.3864    ] : 51
O1 : [2.6932     2.6932     4.89946944] : 41


**isite= 2
La1 : [4.0398 9.4262 6.733 ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [4.89946944 8.0796     8.0796    ] : 48
O1 : [2.6932     8.0796     5.87333056] : 54
O1 : [5.3864     8.56653056 5.3864    ] : 33
O1 : [ 2.6932     10.28586944  8.0796    ] : 52
O1 : [ 3.18013056 10.7728      5.3864    ] : 39
O1 : [ 5.3864     10.7728      7.59266944] : 42
!!!atention to nb coordination!!!
         [2.089424482021284, 2.0894244820212835, 2.089424482021284, 2.0894244820212853, 2.089424482021285, 2.089424482021285]
         [2.089424482021284, 2.089424482021284, 2.089424482021284, 2.0894244820212853, 2.0894244820212853, 2.089424482021285]


**isite= 3
La1 : [4.0398 1.3466 4.0398]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.6932     2.6932     4.89946944] : 41
O1 : [5.3864     2.20626944 5.3864    ] : 35
O1 : [3.18013056 0.         5.3864    ] : 39
O1 : [2.6932     0.48693056 2.6932    ] : 36
O1 : [4.89946944 2.6932     2.6932    ] : 34
O1 : [5.3864     0.         3.18013056] : 43


**isite= 4
La1 : [1.3466 6.733  6.733 ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.         7.59266944 5.3864    ] : 77
O1 : [0.         5.3864     7.59266944] : 84
O1 : [2.20626944 5.3864     5.3864    ] : 51
O1 : [2.6932     8.0796     5.87333056] : 54
O1 : [0.48693056 8.0796     8.0796    ] : 74
O1 : [2.6932     5.87333056 8.0796    ] : 50


**isite= 5
La1 : [1.3466 9.4262 9.4262]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 2.6932     10.28586944  8.0796    ] : 52
O1 : [ 2.6932      8.0796     10.28586944] : 55
O1 : [ 2.20626944 10.7728     10.7728    ] : 37
O1 : [0.48693056 8.0796     8.0796    ] : 74
O1 : [ 0.          8.56653056 10.7728    ] : 61
O1 : [ 0.         10.7728      8.56653056] : 71


**isite= 6
La1 : [4.0398 4.0398 1.3466]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.3864     5.3864     2.20626944] : 56
O1 : [3.18013056 5.3864     0.        ] : 53
O1 : [5.3864     3.18013056 0.        ] : 47
O1 : [2.6932     2.6932     0.48693056] : 40
O1 : [2.6932     4.89946944 2.6932    ] : 38
O1 : [4.89946944 2.6932     2.6932    ] : 34


**isite= 7
La1 : [4.0398 6.733  9.4262]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 5.3864      7.59266944 10.7728    ] : 49
O1 : [2.6932     5.87333056 8.0796    ] : 50
O1 : [5.3864     5.3864     8.56653056] : 57
O1 : [ 3.18013056  5.3864     10.7728    ] : 53
O1 : [ 2.6932      8.0796     10.28586944] : 55
O1 : [4.89946944 8.0796     8.0796    ] : 48
!!!atention to nb coordination!!!
         [2.089424482021285, 2.0894244820212835, 2.089424482021284, 2.089424482021285, 2.0894244820212853, 2.089424482021284]
         [2.089424482021285, 2.089424482021284, 2.089424482021284, 2.089424482021285, 2.0894244820212853, 2.089424482021284]


**isite= 8
La1 : [6.733  1.3466 6.733 ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.3864     0.         7.59266944] : 42
O1 : [5.3864     2.20626944 5.3864    ] : 35
O1 : [5.87333056 2.6932     8.0796    ] : 32
O1 : [7.59266944 0.         5.3864    ] : 65
O1 : [8.0796     2.6932     5.87333056] : 68
O1 : [8.0796     0.48693056 8.0796    ] : 64
!!!atention to nb coordination!!!
         [2.0894244820212844, 2.0894244820212844, 2.0894244820212844, 2.0894244820212844, 2.0894244820212844, 2.0894244820212857]
         [2.0894244820212844, 2.0894244820212844, 2.089424482021285, 2.089424482021285, 2.089424482021285, 2.0894244820212857]


**isite= 9
La1 : [6.733  4.0398 9.4262]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 7.59266944  5.3864     10.7728    ] : 79
O1 : [ 5.3864      3.18013056 10.7728    ] : 47
O1 : [5.3864     5.3864     8.56653056] : 57
O1 : [5.87333056 2.6932     8.0796    ] : 32
O1 : [8.0796     4.89946944 8.0796    ] : 66
O1 : [ 8.0796      2.6932     10.28586944] : 69
!!!atention to nb coordination!!!
         [2.089424482021285, 2.089424482021285, 2.089424482021284, 2.0894244820212835, 2.089424482021284, 2.0894244820212853]
         [2.089424482021285, 2.089424482021285, 2.089424482021284, 2.089424482021284, 2.089424482021284, 2.0894244820212853]


**isite= 10
La1 : [9.4262 9.4262 1.3466]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 8.0796     10.28586944  2.6932    ] : 80
O1 : [10.28586944  8.0796      2.6932    ] : 76
O1 : [8.0796     8.0796     0.48693056] : 82
O1 : [ 8.56653056 10.7728      0.        ] : 67
O1 : [10.7728     10.7728      2.20626944] : 70
O1 : [10.7728      8.56653056  0.        ] : 61


**isite= 11
La1 : [9.4262 1.3466 9.4262]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 8.0796      2.6932     10.28586944] : 69
O1 : [8.0796     0.48693056 8.0796    ] : 64
O1 : [10.28586944  2.6932      8.0796    ] : 62
O1 : [10.7728      2.20626944 10.7728    ] : 63
O1 : [ 8.56653056  0.         10.7728    ] : 67
O1 : [10.7728      0.          8.56653056] : 71


**isite= 12
La1 : [6.733  6.733  1.3466]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.3864     7.59266944 0.        ] : 49
O1 : [5.3864     5.3864     2.20626944] : 56
O1 : [5.87333056 8.0796     2.6932    ] : 46
O1 : [8.0796     8.0796     0.48693056] : 82
O1 : [8.0796     5.87333056 2.6932    ] : 78
O1 : [7.59266944 5.3864     0.        ] : 79
!!!atention to nb coordination!!!
         [2.0894244820212844, 2.0894244820212844, 2.0894244820212844, 2.0894244820212857, 2.0894244820212844, 2.0894244820212844]
         [2.0894244820212844, 2.0894244820212844, 2.089424482021285, 2.0894244820212857, 2.089424482021285, 2.0894244820212844]


**isite= 13
La1 : [6.733  9.4262 4.0398]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 5.3864     10.7728      3.18013056] : 43
O1 : [5.87333056 8.0796     2.6932    ] : 46
O1 : [5.3864     8.56653056 5.3864    ] : 33
O1 : [ 7.59266944 10.7728      5.3864    ] : 65
O1 : [8.0796     8.0796     4.89946944] : 83
O1 : [ 8.0796     10.28586944  2.6932    ] : 80
!!!atention to nb coordination!!!
         [2.089424482021285, 2.0894244820212835, 2.089424482021284, 2.089424482021285, 2.089424482021284, 2.0894244820212853]
         [2.089424482021285, 2.089424482021284, 2.089424482021284, 2.0894244820212853, 2.089424482021284, 2.0894244820212853]


**isite= 14
La1 : [9.4262 4.0398 6.733 ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.7728      3.18013056  5.3864    ] : 75
O1 : [8.0796     2.6932     5.87333056] : 68
O1 : [10.28586944  2.6932      8.0796    ] : 62
O1 : [8.0796     4.89946944 8.0796    ] : 66
O1 : [10.7728      5.3864      7.59266944] : 84
O1 : [8.56653056 5.3864     5.3864    ] : 81
!!!atention to nb coordination!!!
         [2.0894244820212853, 2.0894244820212835, 2.0894244820212853, 2.089424482021284, 2.0894244820212853, 2.089424482021284]
         [2.0894244820212853, 2.089424482021284, 2.0894244820212853, 2.089424482021284, 2.089424482021285, 2.089424482021284]


**isite= 15
La1 : [9.4262 6.733  4.0398]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.28586944  8.0796      2.6932    ] : 76
O1 : [8.0796     5.87333056 2.6932    ] : 78
O1 : [8.0796     8.0796     4.89946944] : 83
O1 : [8.56653056 5.3864     5.3864    ] : 81
O1 : [10.7728      7.59266944  5.3864    ] : 77
O1 : [10.7728      5.3864      3.18013056] : 85
!!!atention to nb coordination!!!
         [2.0894244820212853, 2.0894244820212835, 2.089424482021284, 2.089424482021284, 2.0894244820212853, 2.0894244820212853]
         [2.0894244820212853, 2.089424482021284, 2.089424482021284, 2.089424482021284, 2.0894244820212853, 2.089424482021285]


**isite= 16
Hf1 : [1.3466 1.3466 6.733 ]

ce_symbol  = C:8
ce_fraction=  0.6889393797744628
species:coords:index
O1 : [3.18013056 0.         5.3864    ] : 39
O1 : [0.     0.     5.3864] : 87
O1 : [0.         0.         8.56653056] : 71
O1 : [-0.48693056  2.6932      8.0796    ] : 62
O1 : [0.         3.18013056 5.3864    ] : 75
O1 : [2.6932     2.6932     4.89946944] : 41
O1 : [ 2.6932     -0.48693056  8.0796    ] : 52
O1 : [2.6932 2.6932 8.0796] : 58

ce_symbol  = HB:8
ce_fraction=  0.21915454577009172
species:coords:index
O1 : [3.18013056 0.         5.3864    ] : 39
O1 : [0.     0.     5.3864] : 87
O1 : [0.         0.         8.56653056] : 71
O1 : [-0.48693056  2.6932      8.0796    ] : 62
O1 : [0.         3.18013056 5.3864    ] : 75
O1 : [2.6932     2.6932     4.89946944] : 41
O1 : [ 2.6932     -0.48693056  8.0796    ] : 52
O1 : [2.6932 2.6932 8.0796] : 58

ce_symbol  = L:2
ce_fraction=  0.07363090372203272
species:coords:index
O1 : [0.     0.     5.3864] : 87
O1 : [2.6932 2.6932 8.0796] : 58

ce_symbol  = BO_1:8
ce_fraction=  0.01827517073341268
species:coords:index
O1 : [3.18013056 0.         5.3864    ] : 39
O1 : [0.     0.     5.3864] : 87
O1 : [0.         0.         8.56653056] : 71
O1 : [-0.48693056  2.6932      8.0796    ] : 62
O1 : [0.         3.18013056 5.3864    ] : 75
O1 : [2.6932     2.6932     4.89946944] : 41
O1 : [ 2.6932     -0.48693056  8.0796    ] : 52
O1 : [2.6932 2.6932 8.0796] : 58


**isite= 17
Hf1 : [1.3466 9.4262 4.0398]

ce_symbol  = C:8
ce_fraction=  0.6889393797744631
species:coords:index
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [2.6932     8.0796     5.87333056] : 54
O1 : [0.         7.59266944 5.3864    ] : 77
O1 : [-0.48693056  8.0796      2.6932    ] : 76
O1 : [ 3.18013056 10.7728      5.3864    ] : 39
O1 : [ 2.6932     11.25973056  2.6932    ] : 36
O1 : [ 0.         10.7728      2.20626944] : 70
O1 : [ 0.     10.7728  5.3864] : 87
!!!atention to nb coordination!!!
         [2.3323796174722493, 2.6435766367657867, 2.6435766367657862, 2.6435766367657867, 2.6435766367657867, 2.6435766367657876, 2.6435766367657867, 2.33237961747225]
         [2.3323796174722493, 2.6435766367657862, 2.6435766367657862, 2.6435766367657862, 2.6435766367657867, 2.6435766367657876, 2.643576636765787, 2.33237961747225]

ce_symbol  = HB:8
ce_fraction=  0.21915454577009177
species:coords:index
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [2.6932     8.0796     5.87333056] : 54
O1 : [0.         7.59266944 5.3864    ] : 77
O1 : [-0.48693056  8.0796      2.6932    ] : 76
O1 : [ 3.18013056 10.7728      5.3864    ] : 39
O1 : [ 2.6932     11.25973056  2.6932    ] : 36
O1 : [ 0.         10.7728      2.20626944] : 70
O1 : [ 0.     10.7728  5.3864] : 87
!!!atention to nb coordination!!!
         [2.3323796174722493, 2.6435766367657867, 2.6435766367657862, 2.6435766367657867, 2.6435766367657867, 2.6435766367657876, 2.6435766367657867, 2.33237961747225]
         [2.3323796174722493, 2.6435766367657862, 2.6435766367657862, 2.6435766367657862, 2.6435766367657867, 2.6435766367657876, 2.643576636765787, 2.33237961747225]

ce_symbol  = L:2
ce_fraction=  0.07363090372203251
species:coords:index
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [ 0.     10.7728  5.3864] : 87

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412657
species:coords:index
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [2.6932     8.0796     5.87333056] : 54
O1 : [0.         7.59266944 5.3864    ] : 77
O1 : [-0.48693056  8.0796      2.6932    ] : 76
O1 : [ 3.18013056 10.7728      5.3864    ] : 39
O1 : [ 2.6932     11.25973056  2.6932    ] : 36
O1 : [ 0.         10.7728      2.20626944] : 70
O1 : [ 0.     10.7728  5.3864] : 87
!!!atention to nb coordination!!!
         [2.3323796174722493, 2.6435766367657867, 2.6435766367657862, 2.6435766367657867, 2.6435766367657867, 2.6435766367657876, 2.6435766367657867, 2.33237961747225]
         [2.3323796174722493, 2.6435766367657862, 2.6435766367657862, 2.6435766367657862, 2.6435766367657867, 2.6435766367657876, 2.643576636765787, 2.33237961747225]


**isite= 18
Hf1 : [4.0398 4.0398 6.733 ]

ce_symbol  = C:8
ce_fraction=  0.6889393797744624
species:coords:index
O1 : [2.6932     2.6932     4.89946944] : 41
O1 : [2.20626944 5.3864     5.3864    ] : 51
O1 : [5.3864     5.3864     8.56653056] : 57
O1 : [2.6932     5.87333056 8.0796    ] : 50
O1 : [5.87333056 2.6932     8.0796    ] : 32
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [5.3864 5.3864 5.3864] : 45
O1 : [5.3864     2.20626944 5.3864    ] : 35
!!!atention to nb coordination!!!
         [2.643576636765787, 2.6435766367657862, 2.643576636765787, 2.6435766367657876, 2.643576636765788, 2.33237961747225, 2.3323796174722493, 2.6435766367657862]
         [2.643576636765787, 2.6435766367657867, 2.643576636765787, 2.6435766367657876, 2.6435766367657876, 2.3323796174722506, 2.3323796174722493, 2.6435766367657867]

ce_symbol  = HB:8
ce_fraction=  0.21915454577009216
species:coords:index
O1 : [2.6932     2.6932     4.89946944] : 41
O1 : [2.20626944 5.3864     5.3864    ] : 51
O1 : [5.3864     5.3864     8.56653056] : 57
O1 : [2.6932     5.87333056 8.0796    ] : 50
O1 : [5.87333056 2.6932     8.0796    ] : 32
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [5.3864 5.3864 5.3864] : 45
O1 : [5.3864     2.20626944 5.3864    ] : 35
!!!atention to nb coordination!!!
         [2.643576636765787, 2.6435766367657862, 2.643576636765787, 2.6435766367657876, 2.643576636765788, 2.33237961747225, 2.3323796174722493, 2.6435766367657862]
         [2.643576636765787, 2.6435766367657867, 2.643576636765787, 2.6435766367657876, 2.6435766367657876, 2.3323796174722506, 2.3323796174722493, 2.6435766367657867]

ce_symbol  = L:2
ce_fraction=  0.07363090372203272
species:coords:index
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [5.3864 5.3864 5.3864] : 45
!!!atention to nb coordination!!!
         [2.33237961747225, 2.3323796174722493]
         [2.3323796174722506, 2.3323796174722493]

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412668
species:coords:index
O1 : [2.6932     2.6932     4.89946944] : 41
O1 : [2.20626944 5.3864     5.3864    ] : 51
O1 : [5.3864     5.3864     8.56653056] : 57
O1 : [2.6932     5.87333056 8.0796    ] : 50
O1 : [5.87333056 2.6932     8.0796    ] : 32
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [5.3864 5.3864 5.3864] : 45
O1 : [5.3864     2.20626944 5.3864    ] : 35
!!!atention to nb coordination!!!
         [2.643576636765787, 2.6435766367657862, 2.643576636765787, 2.6435766367657876, 2.643576636765788, 2.33237961747225, 2.3323796174722493, 2.6435766367657862]
         [2.643576636765787, 2.6435766367657867, 2.643576636765787, 2.6435766367657876, 2.6435766367657876, 2.3323796174722506, 2.3323796174722493, 2.6435766367657867]


**isite= 19
Hf1 : [4.0398 1.3466 9.4262]

ce_symbol  = C:8
ce_fraction=  0.6889393797744635
species:coords:index
O1 : [ 5.3864      3.18013056 10.7728    ] : 47
O1 : [ 2.6932      2.6932     11.25973056] : 40
O1 : [ 2.20626944  0.         10.7728    ] : 37
O1 : [5.3864     0.         7.59266944] : 42
O1 : [ 2.6932     -0.48693056  8.0796    ] : 52
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [5.87333056 2.6932     8.0796    ] : 32
O1 : [ 5.3864  0.     10.7728] : 59
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.6435766367657876, 2.6435766367657867, 2.6435766367657862, 2.6435766367657867, 2.3323796174722493, 2.6435766367657867, 2.3323796174722498]
         [2.6435766367657867, 2.6435766367657876, 2.643576636765787, 2.6435766367657862, 2.6435766367657862, 2.3323796174722493, 2.6435766367657862, 2.33237961747225]

ce_symbol  = HB:8
ce_fraction=  0.21915454577009166
species:coords:index
O1 : [ 5.3864      3.18013056 10.7728    ] : 47
O1 : [ 2.6932      2.6932     11.25973056] : 40
O1 : [ 2.20626944  0.         10.7728    ] : 37
O1 : [5.3864     0.         7.59266944] : 42
O1 : [ 2.6932     -0.48693056  8.0796    ] : 52
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [5.87333056 2.6932     8.0796    ] : 32
O1 : [ 5.3864  0.     10.7728] : 59
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.6435766367657876, 2.6435766367657867, 2.6435766367657862, 2.6435766367657867, 2.3323796174722493, 2.6435766367657867, 2.3323796174722498]
         [2.6435766367657867, 2.6435766367657876, 2.643576636765787, 2.6435766367657862, 2.6435766367657862, 2.3323796174722493, 2.6435766367657862, 2.33237961747225]

ce_symbol  = L:2
ce_fraction=  0.07363090372203236
species:coords:index
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [ 5.3864  0.     10.7728] : 59
!!!atention to nb coordination!!!
         [2.3323796174722493, 2.3323796174722498]
         [2.3323796174722493, 2.33237961747225]

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412633
species:coords:index
O1 : [ 5.3864      3.18013056 10.7728    ] : 47
O1 : [ 2.6932      2.6932     11.25973056] : 40
O1 : [ 2.20626944  0.         10.7728    ] : 37
O1 : [5.3864     0.         7.59266944] : 42
O1 : [ 2.6932     -0.48693056  8.0796    ] : 52
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [5.87333056 2.6932     8.0796    ] : 32
O1 : [ 5.3864  0.     10.7728] : 59
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.6435766367657876, 2.6435766367657867, 2.6435766367657862, 2.6435766367657867, 2.3323796174722493, 2.6435766367657867, 2.3323796174722498]
         [2.6435766367657867, 2.6435766367657876, 2.643576636765787, 2.6435766367657862, 2.6435766367657862, 2.3323796174722493, 2.6435766367657862, 2.33237961747225]


**isite= 20
Hf1 : [1.3466 6.733  1.3466]

ce_symbol  = C:8
ce_fraction=  0.6889393797744637
species:coords:index
O1 : [0.         8.56653056 0.        ] : 61
O1 : [ 2.6932      8.0796     -0.48693056] : 55
O1 : [0.     5.3864 0.    ] : 73
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [3.18013056 5.3864     0.        ] : 53
O1 : [-0.48693056  8.0796      2.6932    ] : 76
O1 : [2.6932     4.89946944 2.6932    ] : 38
O1 : [0.         5.3864     3.18013056] : 85

ce_symbol  = HB:8
ce_fraction=  0.21915454577009144
species:coords:index
O1 : [0.         8.56653056 0.        ] : 61
O1 : [ 2.6932      8.0796     -0.48693056] : 55
O1 : [0.     5.3864 0.    ] : 73
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [3.18013056 5.3864     0.        ] : 53
O1 : [-0.48693056  8.0796      2.6932    ] : 76
O1 : [2.6932     4.89946944 2.6932    ] : 38
O1 : [0.         5.3864     3.18013056] : 85

ce_symbol  = L:2
ce_fraction=  0.07363090372203236
species:coords:index
O1 : [0.     5.3864 0.    ] : 73
O1 : [2.6932 8.0796 2.6932] : 44

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412643
species:coords:index
O1 : [0.         8.56653056 0.        ] : 61
O1 : [ 2.6932      8.0796     -0.48693056] : 55
O1 : [0.     5.3864 0.    ] : 73
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [3.18013056 5.3864     0.        ] : 53
O1 : [-0.48693056  8.0796      2.6932    ] : 76
O1 : [2.6932     4.89946944 2.6932    ] : 38
O1 : [0.         5.3864     3.18013056] : 85


**isite= 21
Hf1 : [1.3466 4.0398 9.4262]

ce_symbol  = C:8
ce_fraction=  0.6889393797744634
species:coords:index
O1 : [ 2.6932      2.6932     11.25973056] : 40
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [ 3.18013056  5.3864     10.7728    ] : 53
O1 : [ 0.      5.3864 10.7728] : 73
O1 : [ 0.          2.20626944 10.7728    ] : 63
O1 : [2.6932     5.87333056 8.0796    ] : 50
O1 : [0.         5.3864     7.59266944] : 84
O1 : [-0.48693056  2.6932      8.0796    ] : 62
!!!atention to nb coordination!!!
         [2.6435766367657876, 2.3323796174722493, 2.6435766367657867, 2.33237961747225, 2.6435766367657867, 2.6435766367657867, 2.6435766367657862, 2.6435766367657867]
         [2.6435766367657876, 2.3323796174722493, 2.6435766367657867, 2.33237961747225, 2.643576636765787, 2.6435766367657862, 2.6435766367657862, 2.6435766367657862]

ce_symbol  = HB:8
ce_fraction=  0.21915454577009175
species:coords:index
O1 : [ 2.6932      2.6932     11.25973056] : 40
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [ 3.18013056  5.3864     10.7728    ] : 53
O1 : [ 0.      5.3864 10.7728] : 73
O1 : [ 0.          2.20626944 10.7728    ] : 63
O1 : [2.6932     5.87333056 8.0796    ] : 50
O1 : [0.         5.3864     7.59266944] : 84
O1 : [-0.48693056  2.6932      8.0796    ] : 62
!!!atention to nb coordination!!!
         [2.6435766367657876, 2.3323796174722493, 2.6435766367657867, 2.33237961747225, 2.6435766367657867, 2.6435766367657867, 2.6435766367657862, 2.6435766367657867]
         [2.6435766367657876, 2.3323796174722493, 2.6435766367657867, 2.33237961747225, 2.643576636765787, 2.6435766367657862, 2.6435766367657862, 2.6435766367657862]

ce_symbol  = L:2
ce_fraction=  0.07363090372203236
species:coords:index
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [ 0.      5.3864 10.7728] : 73

ce_symbol  = BO_1:8
ce_fraction=  0.01827517073341263
species:coords:index
O1 : [ 2.6932      2.6932     11.25973056] : 40
O1 : [2.6932 2.6932 8.0796] : 58
O1 : [ 3.18013056  5.3864     10.7728    ] : 53
O1 : [ 0.      5.3864 10.7728] : 73
O1 : [ 0.          2.20626944 10.7728    ] : 63
O1 : [2.6932     5.87333056 8.0796    ] : 50
O1 : [0.         5.3864     7.59266944] : 84
O1 : [-0.48693056  2.6932      8.0796    ] : 62
!!!atention to nb coordination!!!
         [2.6435766367657876, 2.3323796174722493, 2.6435766367657867, 2.33237961747225, 2.6435766367657867, 2.6435766367657867, 2.6435766367657862, 2.6435766367657867]
         [2.6435766367657876, 2.3323796174722493, 2.6435766367657867, 2.33237961747225, 2.643576636765787, 2.6435766367657862, 2.6435766367657862, 2.6435766367657862]


**isite= 22
Hf1 : [4.0398 9.4262 1.3466]

ce_symbol  = C:8
ce_fraction=  0.6889393797744636
species:coords:index
O1 : [ 2.20626944 10.7728      0.        ] : 37
O1 : [ 2.6932      8.0796     -0.48693056] : 55
O1 : [5.87333056 8.0796     2.6932    ] : 46
O1 : [5.3864     7.59266944 0.        ] : 49
O1 : [ 5.3864 10.7728  0.    ] : 59
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [ 2.6932     11.25973056  2.6932    ] : 36
O1 : [ 5.3864     10.7728      3.18013056] : 43
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657862, 2.3323796174722498, 2.3323796174722493, 2.6435766367657876, 2.6435766367657867]
