cif name= ./6000235.cif
./6000235.cif
Full Formula (Sr8 Al28 O50)
space_group_IT_number None

*** lse ***


**isite= 0
Sr1 : [15.78489929  4.23675     0.16887568]

ce_symbol  = BS_2:10
ce_fraction=  0.5257999458200576
species:coords:index
O1 : [13.63949912  4.23675     1.73170784] : 68
O1 : [17.11371116  6.53730525 -0.1293412 ] : 59
O1 : [15.78242478  2.68864155  2.44674504] : 44
O1 : [17.11371116  1.93619475 -0.1293412 ] : 52
O1 : [15.78242478  5.78485845  2.44674504] : 51
O1 : [18.558825    4.23675     0.48856808] : 84
O1 : [13.44896185  2.8369278  -0.74822664] : 76
O1 : [15.78242478  5.78485845 -2.43405496] : 51
O1 : [15.78242478  2.68864155 -2.43405496] : 44
O1 : [13.44896185  5.6365722  -0.74822664] : 83
!!!atention to nb coordination!!!
         [2.6542769730693685, 2.6734301471466178, 2.754148637489986, 2.673430147146618, 2.754148637489986, 2.7922870689126427, 2.8735313780357394, 3.0285134658462303, 3.0285134658462303, 2.873531378035739]
         [2.6542769730693685, 2.673430147146618, 2.754148637489986, 2.673430147146618, 2.754148637489986, 2.7922870689126427, 2.873531378035739, 3.0285134658462303, 3.0285134658462303, 2.873531378035739]

ce_symbol  = MI:10
ce_fraction=  0.4742000541799423
species:coords:index
O1 : [13.63949912  4.23675     1.73170784] : 68
O1 : [17.11371116  6.53730525 -0.1293412 ] : 59
O1 : [15.78242478  2.68864155  2.44674504] : 44
O1 : [17.11371116  1.93619475 -0.1293412 ] : 52
O1 : [15.78242478  5.78485845  2.44674504] : 51
O1 : [18.558825    4.23675     0.48856808] : 84
O1 : [13.44896185  2.8369278  -0.74822664] : 76
O1 : [15.78242478  5.78485845 -2.43405496] : 51
O1 : [15.78242478  2.68864155 -2.43405496] : 44
O1 : [13.44896185  5.6365722  -0.74822664] : 83
!!!atention to nb coordination!!!
         [2.6542769730693685, 2.6734301471466178, 2.754148637489986, 2.673430147146618, 2.754148637489986, 2.7922870689126427, 2.8735313780357394, 3.0285134658462303, 3.0285134658462303, 2.873531378035739]
         [2.6542769730693685, 2.673430147146618, 2.754148637489986, 2.673430147146618, 2.754148637489986, 2.7922870689126427, 2.873531378035739, 3.0285134658462303, 3.0285134658462303, 2.873531378035739]


**isite= 1
Sr1 : [21.33275071  4.23675     0.16887568]

ce_symbol  = BS_2:10
ce_fraction=  0.5257999458200574
species:coords:index
O1 : [20.00393884  6.53730525 -0.1293412 ] : 53
O1 : [23.47815088  4.23675     1.73170784] : 69
O1 : [21.33522522  2.68864155  2.44674504] : 50
O1 : [21.33522522  5.78485845  2.44674504] : 45
O1 : [18.558825    4.23675     0.48856808] : 84
O1 : [20.00393884  1.93619475 -0.1293412 ] : 58
O1 : [23.66868815  2.8369278  -0.74822664] : 82
O1 : [21.33522522  2.68864155 -2.43405496] : 50
O1 : [23.66868815  5.6365722  -0.74822664] : 77
O1 : [21.33522522  5.78485845 -2.43405496] : 45
!!!atention to nb coordination!!!
         [2.673430147146617, 2.654276973069371, 2.754148637489986, 2.754148637489986, 2.792287068912644, 2.6734301471466173, 2.8735313780357408, 3.0285134658462303, 2.8735313780357408, 3.0285134658462303]
         [2.6734301471466173, 2.654276973069371, 2.754148637489986, 2.754148637489986, 2.792287068912644, 2.6734301471466173, 2.8735313780357408, 3.0285134658462303, 2.8735313780357408, 3.0285134658462303]

ce_symbol  = MI:10
ce_fraction=  0.4742000541799426
species:coords:index
O1 : [20.00393884  6.53730525 -0.1293412 ] : 53
O1 : [23.47815088  4.23675     1.73170784] : 69
O1 : [21.33522522  2.68864155  2.44674504] : 50
O1 : [21.33522522  5.78485845  2.44674504] : 45
O1 : [18.558825    4.23675     0.48856808] : 84
O1 : [20.00393884  1.93619475 -0.1293412 ] : 58
O1 : [23.66868815  2.8369278  -0.74822664] : 82
O1 : [21.33522522  2.68864155 -2.43405496] : 50
O1 : [23.66868815  5.6365722  -0.74822664] : 77
O1 : [21.33522522  5.78485845 -2.43405496] : 45
!!!atention to nb coordination!!!
         [2.673430147146617, 2.654276973069371, 2.754148637489986, 2.754148637489986, 2.792287068912644, 2.6734301471466173, 2.8735313780357408, 3.0285134658462303, 2.8735313780357408, 3.0285134658462303]
         [2.6734301471466173, 2.654276973069371, 2.754148637489986, 2.754148637489986, 2.792287068912644, 2.6734301471466173, 2.8735313780357408, 3.0285134658462303, 2.8735313780357408, 3.0285134658462303]


**isite= 2
Sr1 : [3.41234929 4.23675    4.71192432]

ce_symbol  = BS_2:10
ce_fraction=  0.5257999458200587
species:coords:index
O1 : [3.40987478 2.68864155 7.31485496] : 49
O1 : [1.07641185 2.8369278  5.62902664] : 81
O1 : [4.74116116 1.93619475 5.0101412 ] : 57
O1 : [3.40987478 5.78485845 2.43405496] : 46
O1 : [1.26694912 4.23675    3.14909216] : 70
O1 : [3.40987478 2.68864155 2.43405496] : 49
O1 : [3.40987478 5.78485845 7.31485496] : 46
O1 : [1.07641185 5.6365722  5.62902664] : 78
O1 : [6.186275   4.23675    4.39223192] : 85
O1 : [4.74116116 6.53730525 5.0101412 ] : 54
!!!atention to nb coordination!!!
         [3.0285134658462303, 2.8735313780357448, 2.673430147146616, 2.7541486374899855, 2.6542769730693694, 2.7541486374899855, 3.0285134658462307, 2.8735313780357443, 2.792287068912641, 2.6734301471466155]
         [3.0285134658462294, 2.873531378035744, 2.673430147146616, 2.7541486374899855, 2.6542769730693694, 2.7541486374899855, 3.02851346584623, 2.873531378035744, 2.792287068912641, 2.673430147146616]

ce_symbol  = MI:10
ce_fraction=  0.4742000541799412
species:coords:index
O1 : [3.40987478 2.68864155 7.31485496] : 49
O1 : [1.07641185 2.8369278  5.62902664] : 81
O1 : [4.74116116 1.93619475 5.0101412 ] : 57
O1 : [3.40987478 5.78485845 2.43405496] : 46
O1 : [1.26694912 4.23675    3.14909216] : 70
O1 : [3.40987478 2.68864155 2.43405496] : 49
O1 : [3.40987478 5.78485845 7.31485496] : 46
O1 : [1.07641185 5.6365722  5.62902664] : 78
O1 : [6.186275   4.23675    4.39223192] : 85
O1 : [4.74116116 6.53730525 5.0101412 ] : 54
!!!atention to nb coordination!!!
         [3.0285134658462303, 2.8735313780357448, 2.673430147146616, 2.7541486374899855, 2.6542769730693694, 2.7541486374899855, 3.0285134658462307, 2.8735313780357443, 2.792287068912641, 2.6734301471466155]
         [3.0285134658462294, 2.873531378035744, 2.673430147146616, 2.7541486374899855, 2.6542769730693694, 2.7541486374899855, 3.02851346584623, 2.873531378035744, 2.792287068912641, 2.673430147146616]


**isite= 3
Sr1 : [8.96020071 4.23675    4.71192432]

ce_symbol  = BS_2:10
ce_fraction=  0.5257999458200583
species:coords:index
O1 : [7.63138884 1.93619475 5.0101412 ] : 55
O1 : [6.186275   4.23675    4.39223192] : 85
O1 : [8.96267522 2.68864155 7.31485496] : 47
O1 : [8.96267522 2.68864155 2.43405496] : 47
O1 : [11.29613815  5.6365722   5.62902664] : 80
O1 : [11.10560088  4.23675     3.14909216] : 71
O1 : [8.96267522 5.78485845 2.43405496] : 48
O1 : [7.63138884 6.53730525 5.0101412 ] : 56
O1 : [8.96267522 5.78485845 7.31485496] : 48
O1 : [11.29613815  2.8369278   5.62902664] : 79
!!!atention to nb coordination!!!
         [2.673430147146618, 2.792287068912644, 3.0285134658462303, 2.7541486374899855, 2.873531378035739, 2.654276973069368, 2.7541486374899855, 2.6734301471466173, 3.0285134658462307, 2.8735313780357394]
         [2.673430147146618, 2.792287068912644, 3.0285134658462294, 2.7541486374899855, 2.873531378035739, 2.654276973069368, 2.7541486374899855, 2.673430147146618, 3.02851346584623, 2.873531378035739]

ce_symbol  = MI:10
ce_fraction=  0.4742000541799417
species:coords:index
O1 : [7.63138884 1.93619475 5.0101412 ] : 55
O1 : [6.186275   4.23675    4.39223192] : 85
O1 : [8.96267522 2.68864155 7.31485496] : 47
O1 : [8.96267522 2.68864155 2.43405496] : 47
O1 : [11.29613815  5.6365722   5.62902664] : 80
O1 : [11.10560088  4.23675     3.14909216] : 71
O1 : [8.96267522 5.78485845 2.43405496] : 48
O1 : [7.63138884 6.53730525 5.0101412 ] : 56
O1 : [8.96267522 5.78485845 7.31485496] : 48
O1 : [11.29613815  2.8369278   5.62902664] : 79
!!!atention to nb coordination!!!
         [2.673430147146618, 2.792287068912644, 3.0285134658462303, 2.7541486374899855, 2.873531378035739, 2.654276973069368, 2.7541486374899855, 2.6734301471466173, 3.0285134658462307, 2.8735313780357394]
         [2.673430147146618, 2.792287068912644, 3.0285134658462294, 2.7541486374899855, 2.873531378035739, 2.654276973069368, 2.7541486374899855, 2.673430147146618, 3.02851346584623, 2.873531378035739]


**isite= 4
Sr1 : [15.3667071   0.          0.56324432]


**isite= 5
Sr1 : [21.7509429   0.          0.56324432]


**isite= 6
Sr1 : [2.9941571  0.         4.31755568]


**isite= 7
Sr1 : [9.3783929  0.         4.31755568]


**isite= 8
Al1 : [16.97761311  1.6404696   3.02414368]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [15.78242478  2.68864155  2.44674504] : 44
O1 : [17.11371116  1.93619475  4.7514588 ] : 52
O1 : [16.42827189  0.          2.81963816] : 72
O1 : [18.558825    1.9370421   2.34083168] : 60
!!!atention to nb coordination!!!
         [1.6913097795521792, 1.757723973591115, 1.7420501692619885, 1.7478848869927384]
         [1.6913097795521792, 1.757723973591115, 1.7420501692619887, 1.7478848869927384]


**isite= 9
Al1 : [20.14003689  6.8330304   3.02414368]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [21.33522522  5.78485845  2.44674504] : 45
O1 : [20.68937811  8.4735      2.81963816] : 73
O1 : [18.558825    6.5364579   2.34083168] : 61
O1 : [20.00393884  6.53730525  4.7514588 ] : 53
!!!atention to nb coordination!!!
         [1.6913097795521772, 1.742050169261989, 1.7478848869927415, 1.757723973591115]
         [1.6913097795521772, 1.7420501692619892, 1.7478848869927412, 1.757723973591115]


**isite= 10
Al1 : [4.60506311 6.8330304  1.85665632]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [3.40987478 5.78485845 2.43405496] : 46
O1 : [4.74116116 6.53730525 0.1293412 ] : 54
O1 : [4.05572189 8.4735     2.06116184] : 74
O1 : [6.186275   6.5364579  2.53996832] : 62
!!!atention to nb coordination!!!
         [1.6913097795521799, 1.7577239735911154, 1.7420501692619885, 1.7478848869927408]
         [1.6913097795521799, 1.7577239735911154, 1.7420501692619885, 1.7478848869927406]


**isite= 11
Al1 : [7.76748689 1.6404696  1.85665632]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [8.96267522 2.68864155 2.43405496] : 47
O1 : [6.186275   1.9370421  2.53996832] : 63
O1 : [8.31682811 0.         2.06116184] : 75
O1 : [7.63138884 1.93619475 0.1293412 ] : 55


**isite= 12
Al1 : [7.76748689 6.8330304  1.85665632]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [8.31682811 8.4735     2.06116184] : 75
O1 : [8.96267522 5.78485845 2.43405496] : 48
O1 : [7.63138884 6.53730525 0.1293412 ] : 56
O1 : [6.186275   6.5364579  2.53996832] : 62
!!!atention to nb coordination!!!
         [1.7420501692619883, 1.6913097795521779, 1.7577239735911154, 1.7478848869927408]
         [1.7420501692619883, 1.6913097795521779, 1.7577239735911154, 1.7478848869927406]


**isite= 13
Al1 : [4.60506311 1.6404696  1.85665632]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [3.40987478 2.68864155 2.43405496] : 49
O1 : [6.186275   1.9370421  2.53996832] : 63
O1 : [4.05572189 0.         2.06116184] : 74
O1 : [4.74116116 1.93619475 0.1293412 ] : 57


**isite= 14
Al1 : [20.14003689  1.6404696   3.02414368]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [20.00393884  1.93619475  4.7514588 ] : 58
O1 : [20.68937811  0.          2.81963816] : 73
O1 : [18.558825    1.9370421   2.34083168] : 60
O1 : [21.33522522  2.68864155  2.44674504] : 50
!!!atention to nb coordination!!!
         [1.757723973591115, 1.7420501692619885, 1.7478848869927415, 1.6913097795521779]
         [1.757723973591115, 1.7420501692619887, 1.7478848869927415, 1.6913097795521779]


**isite= 15
Al1 : [16.97761311  6.8330304   3.02414368]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [18.558825    6.5364579   2.34083168] : 61
O1 : [17.11371116  6.53730525  4.7514588 ] : 59
O1 : [16.42827189  8.4735      2.81963816] : 72
O1 : [15.78242478  5.78485845  2.44674504] : 51
!!!atention to nb coordination!!!
         [1.7478848869927384, 1.757723973591115, 1.742050169261989, 1.6913097795521785]
         [1.7478848869927381, 1.757723973591115, 1.7420501692619892, 1.6913097795521785]


**isite= 16
Al1 : [14.00820111  2.7267723   2.50189808]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [13.42174224  1.3879593   1.6082236 ] : 36
O1 : [15.78242478  2.68864155  2.44674504] : 44
O1 : [13.44896185  2.8369278   4.13257336] : 76
O1 : [13.63949912  4.23675     1.73170784] : 68
!!!atention to nb coordination!!!
         [1.7131866014459567, 1.7754901979749342, 1.727421388344106, 1.7346950215292907]
         [1.7131866014459565, 1.7754901979749342, 1.727421388344106, 1.7346950215292913]


**isite= 17
Al1 : [23.10944889  5.7467277   2.50189808]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [23.47815088  4.23675     1.73170784] : 69
O1 : [23.66868815  5.6365722   4.13257336] : 77
O1 : [21.33522522  5.78485845  2.44674504] : 45
O1 : [23.69590776  7.0855407   1.6082236 ] : 37
!!!atention to nb coordination!!!
         [1.7346950215292927, 1.727421388344106, 1.775490197974936, 1.7131866014459558]
         [1.7346950215292918, 1.727421388344106, 1.775490197974936, 1.7131866014459565]


**isite= 18
Al1 : [1.63565111 5.7467277  2.37890192]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [1.07641185 5.6365722  0.74822664] : 78
O1 : [3.40987478 5.78485845 2.43405496] : 46
O1 : [1.26694912 4.23675    3.14909216] : 70
O1 : [1.04919224 7.0855407  3.2725764 ] : 38
!!!atention to nb coordination!!!
         [1.727421388344107, 1.7754901979749316, 1.7346950215292918, 1.7131866014459558]
         [1.727421388344107, 1.7754901979749316, 1.7346950215292911, 1.7131866014459565]


**isite= 19
Al1 : [10.73689889  2.7267723   2.37890192]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [8.96267522 2.68864155 2.43405496] : 47
O1 : [11.10560088  4.23675     3.14909216] : 71
O1 : [11.29613815  2.8369278   0.74822664] : 79
O1 : [11.32335776  1.3879593   3.2725764 ] : 39
!!!atention to nb coordination!!!
         [1.7754901979749342, 1.7346950215292907, 1.727421388344106, 1.7131866014459567]
         [1.7754901979749342, 1.7346950215292913, 1.727421388344106, 1.7131866014459565]


**isite= 20
Al1 : [10.73689889  5.7467277   2.37890192]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [11.10560088  4.23675     3.14909216] : 71
O1 : [11.32335776  7.0855407   3.2725764 ] : 40
O1 : [11.29613815  5.6365722   0.74822664] : 80
O1 : [8.96267522 5.78485845 2.43405496] : 48
!!!atention to nb coordination!!!
         [1.7346950215292922, 1.7131866014459558, 1.727421388344106, 1.7754901979749342]
         [1.7346950215292913, 1.7131866014459565, 1.727421388344106, 1.7754901979749342]


**isite= 21
Al1 : [1.63565111 2.7267723  2.37890192]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [1.04919224 1.3879593  3.2725764 ] : 41
O1 : [3.40987478 2.68864155 2.43405496] : 49
O1 : [1.07641185 2.8369278  0.74822664] : 81
O1 : [1.26694912 4.23675    3.14909216] : 70
!!!atention to nb coordination!!!
         [1.7131866014459567, 1.7754901979749316, 1.727421388344107, 1.7346950215292902]
         [1.7131866014459565, 1.7754901979749316, 1.727421388344107, 1.7346950215292911]


**isite= 22
Al1 : [23.10944889  2.7267723   2.50189808]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [23.47815088  4.23675     1.73170784] : 69
O1 : [23.66868815  2.8369278   4.13257336] : 82
O1 : [21.33522522  2.68864155  2.44674504] : 50
O1 : [23.69590776  1.3879593   1.6082236 ] : 42
!!!atention to nb coordination!!!
         [1.7346950215292911, 1.727421388344106, 1.775490197974936, 1.7131866014459567]
         [1.7346950215292918, 1.727421388344106, 1.775490197974936, 1.7131866014459565]


**isite= 23
Al1 : [14.00820111  5.7467277   2.50189808]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [13.63949912  4.23675     1.73170784] : 68
O1 : [13.42174224  7.0855407   1.6082236 ] : 43
O1 : [13.44896185  5.6365722   4.13257336] : 83
O1 : [15.78242478  5.78485845  2.44674504] : 51
!!!atention to nb coordination!!!
         [1.7346950215292922, 1.7131866014459558, 1.727421388344106, 1.7754901979749342]
         [1.7346950215292913, 1.7131866014459565, 1.727421388344106, 1.7754901979749342]


**isite= 24
Al1 : [18.558825    2.4996825   0.63303976]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [17.11371116  1.93619475 -0.1293412 ] : 52
O1 : [18.558825    1.9370421   2.34083168] : 60
O1 : [20.00393884  1.93619475 -0.1293412 ] : 58
O1 : [18.558825    4.23675     0.48856808] : 84
!!!atention to nb coordination!!!
         [1.7283220715856529, 1.798087167444739, 1.728322071585656, 1.7430649918687107]
         [1.7283220715856529, 1.798087167444739, 1.7283220715856558, 1.7430649918687116]


**isite= 25
Al1 : [18.558825    5.9738175   0.63303976]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [18.558825    6.5364579   2.34083168] : 61
O1 : [20.00393884  6.53730525 -0.1293412 ] : 53
O1 : [17.11371116  6.53730525 -0.1293412 ] : 59
O1 : [18.558825    4.23675     0.48856808] : 84
!!!atention to nb coordination!!!
         [1.7980871674447387, 1.7283220715856558, 1.7283220715856527, 1.743064991868712]
         [1.798087167444739, 1.728322071585656, 1.7283220715856529, 1.7430649918687111]


**isite= 26
Al1 : [6.186275   5.9738175  4.24776024]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.74116116 6.53730525 5.0101412 ] : 54
O1 : [7.63138884 6.53730525 5.0101412 ] : 56
O1 : [6.186275   6.5364579  2.53996832] : 62
O1 : [6.186275   4.23675    4.39223192] : 85
!!!atention to nb coordination!!!
         [1.7283220715856549, 1.7283220715856549, 1.798087167444739, 1.7430649918687122]
         [1.7283220715856549, 1.7283220715856549, 1.7980871674447392, 1.7430649918687113]


**isite= 27
Al1 : [6.186275   2.4996825  4.24776024]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.74116116 1.93619475 5.0101412 ] : 57
O1 : [6.186275   1.9370421  2.53996832] : 63
O1 : [7.63138884 1.93619475 5.0101412 ] : 55
O1 : [6.186275   4.23675    4.39223192] : 85
!!!atention to nb coordination!!!
         [1.728322071585655, 1.7980871674447392, 1.728322071585655, 1.7430649918687107]
         [1.7283220715856549, 1.7980871674447392, 1.7283220715856549, 1.7430649918687116]


**isite= 28
Al1 : [12.37255     1.41931125  0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [13.42174224  1.3879593   1.6082236 ] : 36
O1 : [11.46440483  0.          0.83608104] : 67
O1 : [13.28069517  0.         -0.83608104] : 64
O1 : [11.32335776  1.3879593  -1.6082236 ] : 39
O1 : [11.29613815  2.8369278   0.74822664] : 79
O1 : [13.44896185  2.8369278  -0.74822664] : 76
!!!atention to nb coordination!!!
         [1.920460999042152, 1.8810113183121397, 1.8810113183121397, 1.920460999042152, 1.9308397806291466, 1.9308397806291466]
         [1.920460999042152, 1.8810113183121397, 1.8810113183121397, 1.920460999042152, 1.930839780629147, 1.930839780629147]


**isite= 29
Al1 : [0.         7.05418875 0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 1.04919224  7.0855407  -1.6082236 ] : 38
O1 : [1.07641185 5.6365722  0.74822664] : 78
O1 : [0.90814517 8.4735     0.83608104] : 66
O1 : [-1.07641185  5.6365722  -0.74822664] : 77
O1 : [-0.90814517  8.4735     -0.83608104] : 65
O1 : [-1.04919224  7.0855407   1.6082236 ] : 37
!!!atention to nb coordination!!!
         [1.920460999042152, 1.9308397806291455, 1.8810113183121397, 1.930839780629147, 1.8810113183121386, 1.920460999042152]
         [1.920460999042152, 1.9308397806291453, 1.8810113183121397, 1.930839780629147, 1.8810113183121397, 1.920460999042152]


**isite= 30
Al1 : [12.37255     7.05418875  0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [13.28069517  8.4735     -0.83608104] : 64
O1 : [11.32335776  7.0855407  -1.6082236 ] : 40
O1 : [11.46440483  8.4735      0.83608104] : 67
O1 : [13.44896185  5.6365722  -0.74822664] : 83
O1 : [13.42174224  7.0855407   1.6082236 ] : 43
O1 : [11.29613815  5.6365722   0.74822664] : 80


**isite= 31
Al1 : [0.         1.41931125 0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 1.04919224  1.3879593  -1.6082236 ] : 41
O1 : [-1.07641185  2.8369278  -0.74822664] : 82
O1 : [-0.90814517  0.         -0.83608104] : 65
O1 : [1.07641185 2.8369278  0.74822664] : 81
O1 : [0.90814517 0.         0.83608104] : 66
O1 : [-1.04919224  1.3879593   1.6082236 ] : 42
!!!atention to nb coordination!!!
         [1.920460999042152, 1.9308397806291466, 1.8810113183121386, 1.930839780629145, 1.8810113183121397, 1.920460999042152]
         [1.920460999042152, 1.930839780629147, 1.8810113183121397, 1.9308397806291453, 1.8810113183121397, 1.920460999042152]


**isite= 32
Al1 : [12.37255  0.       2.4404 ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [11.46440483  0.          0.83608104] : 67
O1 : [13.42174224 -1.3879593   1.6082236 ] : 43
O1 : [11.32335776 -1.3879593   3.2725764 ] : 40
O1 : [11.32335776  1.3879593   3.2725764 ] : 39
O1 : [13.42174224  1.3879593   1.6082236 ] : 36
O1 : [13.28069517  0.          4.04471896] : 64
!!!atention to nb coordination!!!
         [1.843520267100367, 1.9286661026859133, 1.9286661026859133, 1.9286661026859127, 1.9286661026859127, 1.8435202671003672]
         [1.843520267100367, 1.9286661026859129, 1.9286661026859129, 1.9286661026859129, 1.9286661026859129, 1.8435202671003672]


**isite= 33
Al1 : [0.     0.     2.4404]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 1.04919224 -1.3879593   3.2725764 ] : 38
O1 : [-1.04919224 -1.3879593   1.6082236 ] : 37
O1 : [0.90814517 0.         0.83608104] : 66
O1 : [-0.90814517  0.          4.04471896] : 65
O1 : [-1.04919224  1.3879593   1.6082236 ] : 42
O1 : [1.04919224 1.3879593  3.2725764 ] : 41
!!!atention to nb coordination!!!
         [1.9286661026859133, 1.9286661026859133, 1.843520267100367, 1.8435202671003663, 1.9286661026859127, 1.9286661026859124]
         [1.9286661026859127, 1.9286661026859127, 1.843520267100367, 1.843520267100367, 1.9286661026859127, 1.9286661026859127]


**isite= 34
Al1 : [12.37255  4.23675  0.     ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [11.29613815  2.8369278   0.74822664] : 79
O1 : [11.29613815  5.6365722   0.74822664] : 80
O1 : [11.10560088  4.23675    -1.73170784] : 71
O1 : [13.44896185  5.6365722  -0.74822664] : 83
O1 : [13.44896185  2.8369278  -0.74822664] : 76
O1 : [13.63949912  4.23675     1.73170784] : 68
!!!atention to nb coordination!!!
         [1.917813277469668, 1.9178132774696675, 2.145686863404407, 1.9178132774696675, 1.917813277469668, 2.145686863404407]
         [1.9178132774696672, 1.9178132774696672, 2.145686863404407, 1.9178132774696672, 1.9178132774696672, 2.145686863404407]


**isite= 35
Al1 : [0.      4.23675 0.     ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
