cif name= ./4123969.cif
./4123969.cif
Full Formula (Sr18 Rh15 O45)
 43  O     0.498367   0.327233  0.523833
 44  O     0.672767   0.171133  0.523833
 45  O     0.497333   0.666667  0.666667
 46  O     0          0.164     0
 47  O     0.836      0.836     0
 48  O     0.181333   0.522667  0.276267
 49  O     0.477333   0.658667  0.276267
 50  O     0.341333   0.818667  0.276267
 51  O     0.189333   0.514667  0.057067
 52  O     0.485333   0.674667  0.057067
 53  O     0.325333   0.810667  0.057067
 54  O     0.501633   0.828867  0.476167
 55  O     0.171133   0.672767  0.476167
 56  O     0.327233   0.498367  0.476167
 57  O     0.495533   0.834967  0.857167
 58  O     0.165033   0.660567  0.857167
 59  O     0.339433   0.504467  0.857167
 60  O     0.164      0         0
 61  O     0.666667   0.497333  0.333333
 62  O     0.502667   0.169333  0.333333
 63  O     0.848      0.856     0.6096
 64  O     0.144      0.992     0.6096
 65  O     0.008      0.152     0.6096
 66  O     0.856      0.848     0.3904
 67  O     0.152      0.008     0.3904
 68  O     0.992      0.144     0.3904
 69  O     0.1683     0.1622    0.8095
 70  O     0.8378     0.0061    0.8095
 71  O     0.9939     0.8317    0.8095
 72  O     0.1622     0.1683    0.1905
 73  O     0.8317     0.9939    0.1905
 74  O     0.0061     0.8378    0.1905
 75  O     0.830667   0.333333  0.333333
 76  O     0.333333   0.830667  0.666667
 77  O     0.169333   0.502667  0.666667

space_group_IT_number 155

*** lse ***


**isite= 0
Sr1 : [-3.13004631  5.57241159  8.69866667]

ce_symbol  = A:2
ce_fraction=  0.883500832596759
species:coords:index
O1 : [-4.07253482  4.1929611   6.83497733] : 42
O1 : [-4.07253482  6.95186208 10.562356  ] : 71
!!!atention to nb coordination!!!
         [2.502899551973878, 2.502899551973881]
         [2.5028995519738793, 2.5028995519738793]

ce_symbol  = SBSA:10
ce_fraction=  0.1123941957167422
species:coords:index
O1 : [-1.59494343  5.52142403 11.18431067] : 58
O1 : [-4.07253482  4.1929611   6.83497733] : 42
O1 : [-5.597986    3.9898467   9.44327253] : 38
O1 : [-5.597986    7.15497649  7.9540608 ] : 63
O1 : [-0.7914394   4.20159834  8.69866667] : 77
O1 : [-3.3973984   2.85307474  9.44327253] : 37
O1 : [-1.59494342  5.62339916  6.21302267] : 55
O1 : [-3.3973984   8.29174845  7.9540608 ] : 64
O1 : [-4.07253482  6.95186208 10.562356  ] : 71
O1 : [-0.7914394   6.94322485  8.69866667] : 76
!!!atention to nb coordination!!!
         [2.9219114795225734, 2.502899551973878, 3.024843111463854, 3.0248431114638534, 2.7107584272887206, 2.832085447332731, 2.921911479522574, 2.832085447332731, 2.502899551973881, 2.7107584272887224]
         [2.9219114795225716, 2.5028995519738793, 3.0248431114638534, 3.024843111463854, 2.710758427288721, 2.8320854473327306, 2.9219114795225742, 2.8320854473327315, 2.5028995519738793, 2.7107584272887224]

ce_symbol  = L:2
ce_fraction=  0.0033596901179752995
species:coords:index
O1 : [-4.07253482  4.1929611   6.83497733] : 42
O1 : [-4.07253482  6.95186208 10.562356  ] : 71
!!!atention to nb coordination!!!
         [2.502899551973878, 2.502899551973881]
         [2.5028995519738793, 2.5028995519738793]

ce_symbol  = BS_2:10
ce_fraction=  0.0007452815685235134
species:coords:index
O1 : [-1.59494343  5.52142403 11.18431067] : 58
O1 : [-4.07253482  4.1929611   6.83497733] : 42
O1 : [-5.597986    3.9898467   9.44327253] : 38
O1 : [-5.597986    7.15497649  7.9540608 ] : 63
O1 : [-0.7914394   4.20159834  8.69866667] : 77
O1 : [-3.3973984   2.85307474  9.44327253] : 37
O1 : [-1.59494342  5.62339916  6.21302267] : 55
O1 : [-3.3973984   8.29174845  7.9540608 ] : 64
O1 : [-4.07253482  6.95186208 10.562356  ] : 71
O1 : [-0.7914394   6.94322485  8.69866667] : 76
!!!atention to nb coordination!!!
         [2.9219114795225734, 2.502899551973878, 3.024843111463854, 3.0248431114638534, 2.7107584272887206, 2.832085447332731, 2.921911479522574, 2.832085447332731, 2.502899551973881, 2.7107584272887224]
         [2.9219114795225716, 2.5028995519738793, 3.0248431114638534, 3.024843111463854, 2.710758427288721, 2.8320854473327306, 2.9219114795225742, 2.8320854473327315, 2.5028995519738793, 2.7107584272887224]


**isite= 1
Sr1 : [-3.26082684  5.64791777  0.        ]

ce_symbol  = A:2
ce_fraction=  0.8835008325967584
species:coords:index
O1 : [-1.59494343  5.52142403 -1.86368933] : 58
O1 : [-3.98422176  4.14197354  1.86368933] : 39
!!!atention to nb coordination!!!
         [2.502899551973878, 2.5028995519738797]
         [2.5028995519738793, 2.5028995519738797]

ce_symbol  = SBSA:10
ce_fraction=  0.1123941957167428
species:coords:index
O1 : [-4.07253482  6.95186208 -2.485644  ] : 71
O1 : [-5.4821656   4.05671564 -0.74460587] : 35
O1 : [-5.6172894   6.98780414  0.        ] : 47
O1 : [-3.3973984   2.71933686 -0.74460587] : 34
O1 : [-3.2429712   8.35861739  0.        ] : 60
O1 : [-3.98422176  7.00284965  2.485644  ] : 74
O1 : [-0.772136    6.7760525   0.74460587] : 53
O1 : [-1.59494343  5.52142403 -1.86368933] : 58
O1 : [-3.98422176  4.14197354  1.86368933] : 39
O1 : [-0.6563156   4.30190175  0.74460587] : 51
!!!atention to nb coordination!!!
         [2.921911479522573, 2.83208544733273, 2.7107584272887246, 3.0248431114638534, 2.7107584272887224, 2.921911479522572, 2.8320854473327293, 2.502899551973878, 2.5028995519738797, 3.0248431114638525]
         [2.921911479522574, 2.8320854473327306, 2.710758427288724, 3.024843111463854, 2.7107584272887224, 2.9219114795225716, 2.832085447332729, 2.5028995519738793, 2.5028995519738797, 3.0248431114638534]

ce_symbol  = L:2
ce_fraction=  0.0033596901179753715
species:coords:index
O1 : [-1.59494343  5.52142403 -1.86368933] : 58
O1 : [-3.98422176  4.14197354  1.86368933] : 39
!!!atention to nb coordination!!!
         [2.502899551973878, 2.5028995519738797]
         [2.5028995519738793, 2.5028995519738797]

ce_symbol  = BS_2:10
ce_fraction=  0.0007452815685235174
species:coords:index
O1 : [-4.07253482  6.95186208 -2.485644  ] : 71
O1 : [-5.4821656   4.05671564 -0.74460587] : 35
O1 : [-5.6172894   6.98780414  0.        ] : 47
O1 : [-3.3973984   2.71933686 -0.74460587] : 34
O1 : [-3.2429712   8.35861739  0.        ] : 60
O1 : [-3.98422176  7.00284965  2.485644  ] : 74
O1 : [-0.772136    6.7760525   0.74460587] : 53
O1 : [-1.59494343  5.52142403 -1.86368933] : 58
O1 : [-3.98422176  4.14197354  1.86368933] : 39
O1 : [-0.6563156   4.30190175  0.74460587] : 51
!!!atention to nb coordination!!!
         [2.921911479522573, 2.83208544733273, 2.7107584272887246, 3.0248431114638534, 2.7107584272887224, 2.921911479522572, 2.8320854473327293, 2.502899551973878, 2.5028995519738797, 3.0248431114638525]
         [2.921911479522574, 2.8320854473327306, 2.710758427288724, 3.024843111463854, 2.7107584272887224, 2.9219114795225716, 2.832085447332729, 2.5028995519738793, 2.5028995519738797, 3.0248431114638534]


**isite= 2
Sr1 : [1.56502316 2.71069962 0.        ]

ce_symbol  = A:2
ce_fraction=  0.8835008325967593
species:coords:index
O1 : [3.23090658 2.83719336 1.86368933] : 40
O1 : [ 0.84162824  4.21664385 -1.86368933] : 59

ce_symbol  = SBSA:10
ce_fraction=  0.11239419571674188
species:coords:index
O1 : [ 0.84162824  1.35576774 -2.485644  ] : 69
O1 : [ 4.1695344   4.05671564 -0.74460587] : 35
O1 : [1.4284516  5.63928053 0.74460587] : 52
O1 : [3.23090658 2.83719336 1.86368933] : 40
O1 : [-0.6563156   4.30190175  0.74460587] : 51
O1 : [ 0.84162824  4.21664385 -1.86368933] : 59
O1 : [ 4.053714    1.58256489 -0.74460587] : 33
O1 : [-0.7914394   1.37081325  0.        ] : 46
O1 : [0.75331518 1.40675531 2.485644  ] : 72
O1 : [1.5828788 0.        0.       ] : 60
!!!atention to nb coordination!!!
         [2.921911479522573, 3.024843111463853, 3.0248431114638534, 2.5028995519738806, 2.832085447332732, 2.5028995519738797, 2.83208544733273, 2.7107584272887224, 2.9219114795225725, 2.7107584272887224]
         [2.921911479522574, 3.0248431114638534, 3.0248431114638534, 2.5028995519738797, 2.832085447332731, 2.5028995519738806, 2.8320854473327306, 2.710758427288723, 2.921911479522572, 2.7107584272887224]

ce_symbol  = L:2
ce_fraction=  0.0033596901179753793
species:coords:index
O1 : [3.23090658 2.83719336 1.86368933] : 40
O1 : [ 0.84162824  4.21664385 -1.86368933] : 59

ce_symbol  = BS_2:10
ce_fraction=  0.0007452815685235102
species:coords:index
O1 : [ 0.84162824  1.35576774 -2.485644  ] : 69
O1 : [ 4.1695344   4.05671564 -0.74460587] : 35
O1 : [1.4284516  5.63928053 0.74460587] : 52
O1 : [3.23090658 2.83719336 1.86368933] : 40
O1 : [-0.6563156   4.30190175  0.74460587] : 51
O1 : [ 0.84162824  4.21664385 -1.86368933] : 59
O1 : [ 4.053714    1.58256489 -0.74460587] : 33
O1 : [-0.7914394   1.37081325  0.        ] : 46
O1 : [0.75331518 1.40675531 2.485644  ] : 72
O1 : [1.5828788 0.        0.       ] : 60
!!!atention to nb coordination!!!
         [2.921911479522573, 3.024843111463853, 3.0248431114638534, 2.5028995519738806, 2.832085447332732, 2.5028995519738797, 2.83208544733273, 2.7107584272887224, 2.9219114795225725, 2.7107584272887224]
         [2.921911479522574, 3.0248431114638534, 3.0248431114638534, 2.5028995519738797, 2.832085447332731, 2.5028995519738806, 2.8320854473327306, 2.710758427288723, 2.921911479522572, 2.7107584272887224]


**isite= 3
Sr1 : [-1.4284516   2.7862058  10.87333333]


**isite= 4
Sr1 : [ 3.1271508   5.72843912 10.87333333]


**isite= 5
Sr1 : [-1.6986992   8.20258987 10.87333333]


**isite= 6
Sr1 : [6.52165369 0.         0.        ]

ce_symbol  = A:2
ce_fraction=  0.8835008325967603
species:coords:index
O1 : [ 5.57916518 -1.37945049 -1.86368933] : 57
O1 : [5.57916518 1.37945049 1.86368933] : 41
!!!atention to nb coordination!!!
         [2.5028995519738806, 2.5028995519738793]
         [2.502899551973882, 2.5028995519738797]

ce_symbol  = SBSA:10
ce_fraction=  0.11239419571674092
species:coords:index
O1 : [ 5.57916518 -1.37945049 -1.86368933] : 57
O1 : [ 4.053714   -1.58256489  0.74460587] : 53
O1 : [ 4.053714    1.58256489 -0.74460587] : 33
O1 : [ 8.05675658  0.05098757 -2.485644  ] : 70
O1 : [ 6.2543016  -2.71933686  0.74460587] : 52
O1 : [ 8.8602606  -1.37081325  0.        ] : 47
O1 : [5.57916518 1.37945049 1.86368933] : 41
O1 : [ 8.05675657 -0.05098757  2.485644  ] : 73
O1 : [ 6.2543016   2.71933686 -0.74460587] : 34
O1 : [8.8602606  1.37081325 0.        ] : 46
!!!atention to nb coordination!!!
         [2.5028995519738806, 3.024843111463856, 3.0248431114638534, 2.921911479522574, 2.8320854473327315, 2.710758427288721, 2.5028995519738793, 2.921911479522572, 2.83208544733273, 2.710758427288722]
         [2.502899551973882, 3.024843111463856, 3.024843111463854, 2.921911479522574, 2.8320854473327306, 2.710758427288722, 2.5028995519738797, 2.9219114795225707, 2.8320854473327306, 2.710758427288722]

ce_symbol  = L:2
ce_fraction=  0.003359690117975265
species:coords:index
O1 : [ 5.57916518 -1.37945049 -1.86368933] : 57
O1 : [5.57916518 1.37945049 1.86368933] : 41
!!!atention to nb coordination!!!
         [2.5028995519738806, 2.5028995519738793]
         [2.502899551973882, 2.5028995519738797]

ce_symbol  = BS_2:10
ce_fraction=  0.0007452815685235039
species:coords:index
O1 : [ 5.57916518 -1.37945049 -1.86368933] : 57
O1 : [ 4.053714   -1.58256489  0.74460587] : 53
O1 : [ 4.053714    1.58256489 -0.74460587] : 33
O1 : [ 8.05675658  0.05098757 -2.485644  ] : 70
O1 : [ 6.2543016  -2.71933686  0.74460587] : 52
O1 : [ 8.8602606  -1.37081325  0.        ] : 47
O1 : [5.57916518 1.37945049 1.86368933] : 41
O1 : [ 8.05675657 -0.05098757  2.485644  ] : 73
O1 : [ 6.2543016   2.71933686 -0.74460587] : 34
O1 : [8.8602606  1.37081325 0.        ] : 46
!!!atention to nb coordination!!!
         [2.5028995519738806, 3.024843111463856, 3.0248431114638534, 2.921911479522574, 2.8320854473327315, 2.710758427288721, 2.5028995519738793, 2.921911479522572, 2.83208544733273, 2.710758427288722]
         [2.502899551973882, 3.024843111463856, 3.024843111463854, 2.921911479522574, 2.8320854473327306, 2.710758427288722, 2.5028995519738797, 2.9219114795225707, 2.8320854473327306, 2.710758427288722]


**isite= 7
Sr1 : [6.39087316 0.07550618 4.34933333]

ce_symbol  = A:2
ce_fraction=  0.8835008325967592
species:coords:index
O1 : [ 5.66747824 -1.43043806  6.21302267] : 54
O1 : [ 8.05675657 -0.05098757  2.485644  ] : 73
!!!atention to nb coordination!!!
         [2.50289955197388, 2.502899551973881]
         [2.5028995519738793, 2.50289955197388]

ce_symbol  = SBSA:10
ce_fraction=  0.11239419571674203
species:coords:index
O1 : [ 4.1695344  -1.51569595  3.60472747] : 50
O1 : [ 5.66747824 -1.43043806  6.21302267] : 54
O1 : [4.0344106  1.41539254 4.34933333] : 62
O1 : [ 6.2543016  -2.85307474  3.60472747] : 49
O1 : [5.57916518 1.37945049 1.86368933] : 41
O1 : [6.4087288  2.7862058  4.34933333] : 75
O1 : [ 8.9953844  -1.27050984  5.0939392 ] : 66
O1 : [8.879564  1.2036409 5.0939392] : 68
O1 : [5.66747824 1.43043806 6.83497733] : 44
O1 : [ 8.05675657 -0.05098757  2.485644  ] : 73
!!!atention to nb coordination!!!
         [2.8320854473327306, 2.50289955197388, 2.7107584272887224, 3.0248431114638543, 2.921911479522573, 2.7107584272887224, 3.0248431114638525, 2.8320854473327315, 2.9219114795225756, 2.502899551973881]
         [2.83208544733273, 2.5028995519738793, 2.7107584272887233, 3.024843111463854, 2.921911479522574, 2.7107584272887224, 3.0248431114638517, 2.8320854473327297, 2.921911479522574, 2.50289955197388]

ce_symbol  = L:2
ce_fraction=  0.003359690117975373
species:coords:index
O1 : [ 5.66747824 -1.43043806  6.21302267] : 54
O1 : [ 8.05675657 -0.05098757  2.485644  ] : 73
!!!atention to nb coordination!!!
         [2.50289955197388, 2.502899551973881]
         [2.5028995519738793, 2.50289955197388]

ce_symbol  = BS_2:10
ce_fraction=  0.0007452815685235105
species:coords:index
O1 : [ 4.1695344  -1.51569595  3.60472747] : 50
O1 : [ 5.66747824 -1.43043806  6.21302267] : 54
O1 : [4.0344106  1.41539254 4.34933333] : 62
O1 : [ 6.2543016  -2.85307474  3.60472747] : 49
O1 : [5.57916518 1.37945049 1.86368933] : 41
O1 : [6.4087288  2.7862058  4.34933333] : 75
O1 : [ 8.9953844  -1.27050984  5.0939392 ] : 66
O1 : [8.879564  1.2036409 5.0939392] : 68
O1 : [5.66747824 1.43043806 6.83497733] : 44
O1 : [ 8.05675657 -0.05098757  2.485644  ] : 73
!!!atention to nb coordination!!!
         [2.8320854473327306, 2.50289955197388, 2.7107584272887224, 3.0248431114638543, 2.921911479522573, 2.7107584272887224, 3.0248431114638525, 2.8320854473327315, 2.9219114795225756, 2.502899551973881]
         [2.83208544733273, 2.5028995519738793, 2.7107584272887233, 3.024843111463854, 2.921911479522574, 2.7107584272887224, 3.0248431114638517, 2.8320854473327297, 2.921911479522574, 2.50289955197388]


**isite= 8
Sr1 : [6.39087315 5.49690542 4.34933333]

ce_symbol  = A:2
ce_fraction=  0.8835008325967569
species:coords:index
O1 : [5.66747824 7.00284965 2.485644  ] : 74
O1 : [8.05675658 5.62339916 6.21302267] : 55
!!!atention to nb coordination!!!
         [2.502899551973881, 2.5028995519738806]
         [2.5028995519738815, 2.50289955197388]

ce_symbol  = SBSA:10
ce_fraction=  0.11239419571674418
species:coords:index
O1 : [5.66747824 7.00284965 2.485644  ] : 74
O1 : [4.1695344  7.08810755 5.0939392 ] : 66
O1 : [6.2543016  8.42548633 5.0939392 ] : 67
O1 : [8.9953844  6.84292144 3.60472747] : 50
O1 : [5.66747824 4.14197354 1.86368933] : 39
O1 : [4.0344106  4.15701905 4.34933333] : 61
O1 : [8.05675658 5.62339916 6.21302267] : 55
O1 : [8.879564   4.36877069 3.60472747] : 48
O1 : [5.57916518 4.1929611  6.83497733] : 42
O1 : [6.4087288  2.7862058  4.34933333] : 75
!!!atention to nb coordination!!!
         [2.502899551973881, 2.8320854473327315, 3.0248431114638543, 3.0248431114638543, 2.921911479522573, 2.710758427288721, 2.5028995519738806, 2.8320854473327324, 2.9219114795225747, 2.7107584272887224]
         [2.5028995519738815, 2.8320854473327315, 3.0248431114638543, 3.024843111463856, 2.921911479522573, 2.710758427288722, 2.50289955197388, 2.8320854473327324, 2.9219114795225734, 2.7107584272887224]

ce_symbol  = L:2
ce_fraction=  0.003359690117975396
species:coords:index
O1 : [5.66747824 7.00284965 2.485644  ] : 74
O1 : [8.05675658 5.62339916 6.21302267] : 55
!!!atention to nb coordination!!!
         [2.502899551973881, 2.5028995519738806]
         [2.5028995519738815, 2.50289955197388]

ce_symbol  = BS_2:10
ce_fraction=  0.000745281568523478
species:coords:index
O1 : [5.66747824 7.00284965 2.485644  ] : 74
O1 : [4.1695344  7.08810755 5.0939392 ] : 66
O1 : [6.2543016  8.42548633 5.0939392 ] : 67
O1 : [8.9953844  6.84292144 3.60472747] : 50
O1 : [5.66747824 4.14197354 1.86368933] : 39
O1 : [4.0344106  4.15701905 4.34933333] : 61
O1 : [8.05675658 5.62339916 6.21302267] : 55
O1 : [8.879564   4.36877069 3.60472747] : 48
O1 : [5.57916518 4.1929611  6.83497733] : 42
O1 : [6.4087288  2.7862058  4.34933333] : 75
!!!atention to nb coordination!!!
         [2.502899551973881, 2.8320854473327315, 3.0248431114638543, 3.0248431114638543, 2.921911479522573, 2.710758427288721, 2.5028995519738806, 2.8320854473327324, 2.9219114795225747, 2.7107584272887224]
         [2.5028995519738815, 2.8320854473327315, 3.0248431114638543, 3.024843111463856, 2.921911479522573, 2.710758427288722, 2.50289955197388, 2.8320854473327324, 2.9219114795225734, 2.7107584272887224]


**isite= 9
Sr1 : [3.3973984  5.57241159 2.17466667]


**isite= 10
Sr1 : [3.1271508  0.15602752 2.17466667]


**isite= 11
Sr1 : [7.9530008  2.63017827 2.17466667]


**isite= 12
Sr1 : [1.69580369 2.7862058  4.34933333]

ce_symbol  = A:2
ce_fraction=  0.8835008325967583
species:coords:index
O1 : [0.75331518 1.40675531 2.485644  ] : 72
O1 : [0.75331518 4.16565629 6.21302267] : 56
!!!atention to nb coordination!!!
         [2.50289955197388, 2.5028995519738815]
         [2.5028995519738806, 2.502899551973881]

ce_symbol  = SBSA:10
ce_fraction=  0.11239419571674293
species:coords:index
O1 : [-0.772136    4.36877069  3.60472747] : 48
O1 : [1.4284516  0.06686894 5.0939392 ] : 67
O1 : [-0.772136   1.2036409  5.0939392] : 68
O1 : [0.75331518 1.40675531 2.485644  ] : 72
O1 : [4.0344106  4.15701905 4.34933333] : 61
O1 : [1.4284516  5.50554265 3.60472747] : 49
O1 : [3.23090658 2.83719336 1.86368933] : 40
O1 : [0.75331518 4.16565629 6.21302267] : 56
O1 : [4.0344106  1.41539254 4.34933333] : 62
O1 : [3.23090658 2.73521823 6.83497733] : 43
!!!atention to nb coordination!!!
         [3.0248431114638525, 2.832085447332731, 3.024843111463853, 2.50289955197388, 2.710758427288724, 2.83208544733273, 2.921911479522573, 2.5028995519738815, 2.7107584272887233, 2.9219114795225756]
         [3.0248431114638525, 2.8320854473327306, 3.0248431114638548, 2.5028995519738806, 2.7107584272887233, 2.83208544733273, 2.921911479522573, 2.502899551973881, 2.7107584272887224, 2.9219114795225742]

ce_symbol  = L:2
ce_fraction=  0.003359690117975329
species:coords:index
O1 : [0.75331518 1.40675531 2.485644  ] : 72
O1 : [0.75331518 4.16565629 6.21302267] : 56
!!!atention to nb coordination!!!
         [2.50289955197388, 2.5028995519738815]
         [2.5028995519738806, 2.502899551973881]

ce_symbol  = BS_2:10
ce_fraction=  0.0007452815685235159
species:coords:index
O1 : [-0.772136    4.36877069  3.60472747] : 48
O1 : [1.4284516  0.06686894 5.0939392 ] : 67
O1 : [-0.772136   1.2036409  5.0939392] : 68
O1 : [0.75331518 1.40675531 2.485644  ] : 72
O1 : [4.0344106  4.15701905 4.34933333] : 61
O1 : [1.4284516  5.50554265 3.60472747] : 49
O1 : [3.23090658 2.83719336 1.86368933] : 40
O1 : [0.75331518 4.16565629 6.21302267] : 56
O1 : [4.0344106  1.41539254 4.34933333] : 62
O1 : [3.23090658 2.73521823 6.83497733] : 43
!!!atention to nb coordination!!!
         [3.0248431114638525, 2.832085447332731, 3.024843111463853, 2.50289955197388, 2.710758427288724, 2.83208544733273, 2.921911479522573, 2.5028995519738815, 2.7107584272887233, 2.9219114795225756]
         [3.0248431114638525, 2.8320854473327306, 3.0248431114638548, 2.5028995519738806, 2.7107584272887233, 2.83208544733273, 2.921911479522573, 2.502899551973881, 2.7107584272887224, 2.9219114795225742]


**isite= 13
Sr1 : [1.56502316 2.86171197 8.69866667]

ce_symbol  = A:2
ce_fraction=  0.8835008325967564
species:coords:index
O1 : [ 0.84162824  1.35576774 10.562356  ] : 69
O1 : [3.23090658 2.73521823 6.83497733] : 43
!!!atention to nb coordination!!!
         [2.50289955197388, 2.5028995519738775]
         [2.502899551973879, 2.502899551973879]

ce_symbol  = SBSA:10
ce_fraction=  0.11239419571674462
species:coords:index
O1 : [ 1.4284516  -0.06686894  7.9540608 ] : 64
O1 : [-0.7914394   4.20159834  8.69866667] : 77
O1 : [-0.6563156   1.27050984  7.9540608 ] : 65
O1 : [4.053714   3.9898467  9.44327253] : 38
O1 : [ 0.84162824  1.35576774 10.562356  ] : 69
O1 : [4.1695344  1.51569595 9.44327253] : 36
O1 : [3.23090658 2.73521823 6.83497733] : 43
O1 : [0.75331518 4.16565629 6.21302267] : 56
O1 : [1.5828788  5.57241159 8.69866667] : 45
O1 : [ 0.84162824  4.21664385 11.18431067] : 59
!!!atention to nb coordination!!!
         [3.0248431114638525, 2.7107584272887264, 2.832085447332731, 2.8320854473327315, 2.50289955197388, 3.0248431114638517, 2.5028995519738775, 2.921911479522574, 2.7107584272887233, 2.921911479522575]
         [3.0248431114638534, 2.7107584272887255, 2.8320854473327315, 2.8320854473327306, 2.502899551973879, 3.024843111463851, 2.502899551973879, 2.9219114795225747, 2.7107584272887233, 2.9219114795225734]

ce_symbol  = L:2
ce_fraction=  0.0033596901179754816
species:coords:index
O1 : [ 0.84162824  1.35576774 10.562356  ] : 69
O1 : [3.23090658 2.73521823 6.83497733] : 43
!!!atention to nb coordination!!!
         [2.50289955197388, 2.5028995519738775]
         [2.502899551973879, 2.502899551973879]

ce_symbol  = BS_2:10
ce_fraction=  0.00074528156852352
species:coords:index
O1 : [ 1.4284516  -0.06686894  7.9540608 ] : 64
O1 : [-0.7914394   4.20159834  8.69866667] : 77
O1 : [-0.6563156   1.27050984  7.9540608 ] : 65
O1 : [4.053714   3.9898467  9.44327253] : 38
O1 : [ 0.84162824  1.35576774 10.562356  ] : 69
O1 : [4.1695344  1.51569595 9.44327253] : 36
O1 : [3.23090658 2.73521823 6.83497733] : 43
O1 : [0.75331518 4.16565629 6.21302267] : 56
O1 : [1.5828788  5.57241159 8.69866667] : 45
O1 : [ 0.84162824  4.21664385 11.18431067] : 59
!!!atention to nb coordination!!!
         [3.0248431114638525, 2.7107584272887264, 2.832085447332731, 2.8320854473327315, 2.50289955197388, 3.0248431114638517, 2.5028995519738775, 2.921911479522574, 2.7107584272887233, 2.921911479522575]
         [3.0248431114638534, 2.7107584272887255, 2.8320854473327315, 2.8320854473327306, 2.502899551973879, 3.024843111463851, 2.502899551973879, 2.9219114795225747, 2.7107584272887233, 2.9219114795225734]


**isite= 14
Sr1 : [1.56502315 8.28311121 8.69866667]

ce_symbol  = A:2
ce_fraction=  0.8835008325967554
species:coords:index
O1 : [0.84162824 9.78905545 6.83497733] : 44
O1 : [ 3.23090658  8.40960496 10.562356  ] : 70
!!!atention to nb coordination!!!
         [2.502899551973878, 2.5028995519738824]
         [2.5028995519738797, 2.50289955197388]

ce_symbol  = SBSA:10
ce_fraction=  0.11239419571674569
species:coords:index
O1 : [ 1.4284516  11.21169213  9.44327253] : 37
O1 : [4.1695344  9.62912723 7.9540608 ] : 65
O1 : [0.84162824 9.78905545 6.83497733] : 44
O1 : [4.053714   7.15497649 7.9540608 ] : 63
O1 : [0.84162824 6.92817933 6.21302267] : 54
O1 : [ 0.75331518  6.9791669  11.18431067] : 57
O1 : [ 3.23090658  8.40960496 10.562356  ] : 70
O1 : [-0.7914394   6.94322485  8.69866667] : 76
O1 : [-0.6563156   9.87431334  9.44327253] : 36
O1 : [1.5828788  5.57241159 8.69866667] : 45
!!!atention to nb coordination!!!
         [3.0248431114638525, 3.024843111463854, 2.502899551973878, 2.8320854473327315, 2.921911479522573, 2.921911479522575, 2.5028995519738824, 2.7107584272887233, 2.832085447332733, 2.7107584272887233]
         [3.0248431114638543, 3.0248431114638543, 2.5028995519738797, 2.832085447332732, 2.921911479522574, 2.921911479522574, 2.50289955197388, 2.7107584272887233, 2.832085447332731, 2.7107584272887233]

ce_symbol  = L:2
ce_fraction=  0.0033596901179754252
species:coords:index
O1 : [0.84162824 9.78905545 6.83497733] : 44
O1 : [ 3.23090658  8.40960496 10.562356  ] : 70
!!!atention to nb coordination!!!
         [2.502899551973878, 2.5028995519738824]
         [2.5028995519738797, 2.50289955197388]

ce_symbol  = BS_2:10
ce_fraction=  0.0007452815685235257
species:coords:index
O1 : [ 1.4284516  11.21169213  9.44327253] : 37
