cif name= ./2300211.cif
./2300211.cif
Full Formula (Lu16 Si8 O40)
 44  O     0.7985   0.8513   0.8247
 45  O     0.7015   0.3513   0.6753
 46  O     0.2015   0.1487   0.1753
 47  O     0.2985   0.6487   0.3247
 48  O     0.3794   0.7109   0.6756
 49  O     0.6206   0.7109   0.8244
 50  O     0.6206   0.2891   0.3244
 51  O     0.3794   0.2891   0.1756
 52  O     0.298    0.0713   0.5624
 53  O     0.702    0.0713   0.9376
 54  O     0.702    0.9287   0.4376
 55  O     0.298    0.9287   0.0624
 56  O     0.4822   0.4032   0.6027
 57  O     0.5178   0.4032   0.8973
 58  O     0.5178   0.5968   0.3973
 59  O     0.4822   0.5968   0.1027
 60  O     0.4115   0.0051   0.3621
 61  O     0.0885   0.5051   0.1379
 62  O     0.5885   0.9949   0.6379
 63  O     0.9115   0.4949   0.8621

space_group_IT_number 15

*** lse ***


**isite= 0
Lu1 : [8.62981056 5.83137324 5.75973351]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.71860803  6.0031188   5.23146571] : 36
O1 : [6.88601996 5.65816545 7.15843665] : 44
O1 : [9.61760924 6.0031188  7.78860823] : 37
O1 : [8.85418679 8.04824685 5.8642413 ] : 28
O1 : [7.62348904 6.17260455 3.79838957] : 54
O1 : [8.31129031 3.79714545 4.88165972] : 32
!!!atention to nb coordination!!!
         [2.161397294687192, 2.2421367232479326, 2.2630897882900936, 2.230649047075347, 2.230693133055768, 2.238426105756516]
         [2.1613972946871924, 2.242136723247931, 2.263089788290093, 2.230649047075345, 2.230693133055768, 2.238426105756516]


**isite= 1
Lu1 : [-2.55740031  5.83137324  7.26034043]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-2.23888005  3.79714545  8.13841422] : 33
O1 : [-3.54519898  6.0031188   5.23146571] : 36
O1 : [-4.64619778  6.0031188   7.78860823] : 37
O1 : [-1.55107879  6.17260455  9.22168437] : 55
O1 : [-0.81360971  5.65816545  5.86163729] : 25
O1 : [-2.78177654  8.04824685  7.15583264] : 29
!!!atention to nb coordination!!!
         [2.238426105756516, 2.2630897882900936, 2.1613972946871955, 2.230693133055767, 2.242136723247931, 2.2306490470753473]
         [2.238426105756516, 2.263089788290094, 2.1613972946871947, 2.2306931330557673, 2.242136723247931, 2.230649047075345]


**isite= 2
Lu1 : [0.17306528 0.81512676 2.92031578]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-1.91573219  0.6433812   3.44858358] : 38
O1 : [0.49158553 2.84935455 3.79838957] : 34
O1 : [1.1793868  0.47389545 4.88165972] : 52
O1 : [-0.8147334   0.6433812   0.89144106] : 39
O1 : [1.91685588 0.98833455 1.52161264] : 46
O1 : [-0.05131095 -1.40174685  2.81580799] : 30
!!!atention to nb coordination!!!
         [2.1613972946871947, 2.238426105756516, 2.2306931330557673, 2.2630897882900958, 2.2421367232479286, 2.2306490470753473]
         [2.161397294687194, 2.2384261057565156, 2.230693133055767, 2.263089788290095, 2.242136723247929, 2.2306490470753473]


**isite= 3
Lu1 : [11.36027615  0.81512676  1.41970886]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [12.34807483  0.6433812   3.44858358] : 38
O1 : [13.44907362  0.6433812   0.89144106] : 39
O1 : [11.04175589  2.84935455  0.54163508] : 35
O1 : [9.61648555 0.98833455 2.818412  ] : 27
O1 : [11.58465238 -1.40174685  1.52421666] : 31
O1 : [10.35395463  0.47389545 -0.54163508] : 53
!!!atention to nb coordination!!!
         [2.2630897882900944, 2.1613972946871924, 2.2384261057565156, 2.24213672324793, 2.2306490470753473, 2.230693133055769]
         [2.263089788290093, 2.161397294687194, 2.238426105756515, 2.2421367232479295, 2.2306490470753473, 2.230693133055768]


**isite= 4
Lu1 : [10.82012565  1.62128074  4.62663987]

ce_symbol  = PB:7
ce_fraction=  0.7028776697140346
species:coords:index
O1 : [12.04262594  3.28935285  5.53700344] : 42
O1 : [11.02405692  3.35714715  3.14304585] : 40
O1 : [12.34807483  0.6433812   3.44858358] : 38
O1 : [9.61648555 0.98833455 2.818412  ] : 27
O1 : [8.85418679 1.40174685 5.8642413 ] : 28
O1 : [10.71860803 -0.6433812   5.23146571] : 36
O1 : [11.48203048  1.40174685  7.15583264] : 29
!!!atention to nb coordination!!!
         [2.259586983042164, 2.292568726905973, 2.1630378685916534, 2.262533624610425, 2.3334026739689047, 2.3462339700688433, 2.6235718333524654]
         [2.2595869830421638, 2.2925687269059734, 2.1630378685916525, 2.2625336246104255, 2.3334026739689047, 2.3462339700688433, 2.6235718333524654]

ce_symbol  = ST:7
ce_fraction=  0.29712233028596535
species:coords:index
O1 : [12.04262594  3.28935285  5.53700344] : 42
O1 : [11.02405692  3.35714715  3.14304585] : 40
O1 : [12.34807483  0.6433812   3.44858358] : 38
O1 : [9.61648555 0.98833455 2.818412  ] : 27
O1 : [8.85418679 1.40174685 5.8642413 ] : 28
O1 : [10.71860803 -0.6433812   5.23146571] : 36
O1 : [11.48203048  1.40174685  7.15583264] : 29
!!!atention to nb coordination!!!
         [2.259586983042164, 2.292568726905973, 2.1630378685916534, 2.262533624610425, 2.3334026739689047, 2.3462339700688433, 2.6235718333524654]
         [2.2595869830421638, 2.2925687269059734, 2.1630378685916525, 2.2625336246104255, 2.3334026739689047, 2.3462339700688433, 2.6235718333524654]


**isite= 5
Lu1 : [-4.7477154   1.62128074  8.39343406]

ce_symbol  = PB:7
ce_fraction=  0.7028776697140313
species:coords:index
O1 : [-5.97021569  3.28935285  7.48307049] : 63
O1 : [-5.40962023  1.40174685  5.8642413 ] : 28
O1 : [-4.64619778 -0.6433812   7.78860823] : 37
O1 : [-2.78177654  1.40174685  7.15583264] : 29
O1 : [-4.95164666  3.35714715  9.87702809] : 61
O1 : [-6.27566457  0.6433812   9.57149035] : 39
O1 : [-3.5440753   0.98833455 10.20166193] : 46
!!!atention to nb coordination!!!
         [2.259586983042163, 2.623571833352463, 2.3462339700688424, 2.333402673968903, 2.292568726905974, 2.163037868591655, 2.2625336246104246]
         [2.2595869830421633, 2.623571833352464, 2.3462339700688433, 2.3334026739689038, 2.292568726905975, 2.1630378685916525, 2.262533624610426]

ce_symbol  = ST:7
ce_fraction=  0.29712233028596874
species:coords:index
O1 : [-5.97021569  3.28935285  7.48307049] : 63
O1 : [-5.40962023  1.40174685  5.8642413 ] : 28
O1 : [-4.64619778 -0.6433812   7.78860823] : 37
O1 : [-2.78177654  1.40174685  7.15583264] : 29
O1 : [-4.95164666  3.35714715  9.87702809] : 61
O1 : [-6.27566457  0.6433812   9.57149035] : 39
O1 : [-3.5440753   0.98833455 10.20166193] : 46
!!!atention to nb coordination!!!
         [2.259586983042163, 2.623571833352463, 2.3462339700688424, 2.333402673968903, 2.292568726905974, 2.163037868591655, 2.2625336246104246]
         [2.2595869830421633, 2.623571833352464, 2.3462339700688433, 2.3334026739689038, 2.292568726905975, 2.1630378685916525, 2.262533624610426]


**isite= 6
Lu1 : [-2.01724981  5.02521926  4.05340942]

ce_symbol  = PB:7
ce_fraction=  0.7028776697140291
species:coords:index
O1 : [-3.2397501   3.35714715  3.14304585] : 40
O1 : [-2.22118108  3.28935285  5.53700344] : 42
O1 : [-0.05131095  5.24475315  2.81580799] : 30
O1 : [-0.81360971  5.65816545  5.86163729] : 25
O1 : [-3.54519898  6.0031188   5.23146571] : 36
O1 : [-1.91573219  7.2898812   3.44858358] : 38
O1 : [-2.67915464  5.24475315  1.52421666] : 31
!!!atention to nb coordination!!!
         [2.259586983042163, 2.2925687269059742, 2.3334026739689038, 2.2625336246104246, 2.1630378685916547, 2.3462339700688424, 2.623571833352464]
         [2.259586983042165, 2.292568726905974, 2.3334026739689047, 2.262533624610425, 2.1630378685916534, 2.3462339700688424, 2.6235718333524645]

ce_symbol  = ST:7
ce_fraction=  0.29712233028597085
species:coords:index
O1 : [-3.2397501   3.35714715  3.14304585] : 40
O1 : [-2.22118108  3.28935285  5.53700344] : 42
O1 : [-0.05131095  5.24475315  2.81580799] : 30
O1 : [-0.81360971  5.65816545  5.86163729] : 25
O1 : [-3.54519898  6.0031188   5.23146571] : 36
O1 : [-1.91573219  7.2898812   3.44858358] : 38
O1 : [-2.67915464  5.24475315  1.52421666] : 31
!!!atention to nb coordination!!!
         [2.259586983042163, 2.2925687269059742, 2.3334026739689038, 2.2625336246104246, 2.1630378685916547, 2.3462339700688424, 2.623571833352464]
         [2.259586983042165, 2.292568726905974, 2.3334026739689047, 2.262533624610425, 2.1630378685916534, 2.3462339700688424, 2.6235718333524645]


**isite= 7
Lu1 : [13.55059124  5.02521926  0.28661523]

ce_symbol  = PB:7
ce_fraction=  0.7028776697140353
species:coords:index
O1 : [14.77309153  3.35714715  1.1969788 ] : 61
O1 : [12.34695114  5.65816545 -1.52161264] : 44
O1 : [11.58465238  5.24475315  1.52421666] : 31
O1 : [13.7545225   3.28935285 -1.1969788 ] : 63
O1 : [15.07854041  6.0031188  -0.89144106] : 37
O1 : [14.21249607  5.24475315  2.81580799] : 30
O1 : [13.44907362  7.2898812   0.89144106] : 39
!!!atention to nb coordination!!!
         [2.259586983042165, 2.262533624610423, 2.3334026739689033, 2.292568726905973, 2.163037868591653, 2.6235718333524654, 2.3462339700688424]
         [2.259586983042164, 2.262533624610424, 2.3334026739689033, 2.2925687269059734, 2.1630378685916534, 2.6235718333524654, 2.3462339700688424]

ce_symbol  = ST:7
ce_fraction=  0.2971223302859648
species:coords:index
O1 : [14.77309153  3.35714715  1.1969788 ] : 61
O1 : [12.34695114  5.65816545 -1.52161264] : 44
O1 : [11.58465238  5.24475315  1.52421666] : 31
O1 : [13.7545225   3.28935285 -1.1969788 ] : 63
O1 : [15.07854041  6.0031188  -0.89144106] : 37
O1 : [14.21249607  5.24475315  2.81580799] : 30
O1 : [13.44907362  7.2898812   0.89144106] : 39
!!!atention to nb coordination!!!
         [2.259586983042165, 2.262533624610423, 2.3334026739689033, 2.292568726905973, 2.163037868591653, 2.6235718333524654, 2.3462339700688424]
         [2.259586983042164, 2.262533624610424, 2.3334026739689033, 2.2925687269059734, 2.1630378685916534, 2.6235718333524654, 2.3462339700688424]


**isite= 8
Lu1 : [1.49790706 2.50812324 5.75973351]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [1.1793868  0.47389545 4.88165972] : 52
O1 : [0.49158553 2.84935455 3.79838957] : 34
O1 : [-0.24588355  2.33491545  7.15843665] : 24
O1 : [2.48570573 2.6798688  7.78860823] : 57
O1 : [3.58670452 2.6798688  5.23146571] : 56
O1 : [1.72228328 4.72499685 5.8642413 ] : 48
!!!atention to nb coordination!!!
         [2.238426105756516, 2.230693133055767, 2.242136723247932, 2.263089788290095, 2.161397294687197, 2.2306490470753464]
         [2.238426105756516, 2.2306931330557673, 2.24213672324793, 2.263089788290094, 2.1613972946871973, 2.2306490470753464]


**isite= 9
Lu1 : [4.5745032  2.50812324 7.26034043]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [6.3182938  2.33491545 5.86163729] : 45
O1 : [4.89302346 0.47389545 8.13841422] : 53
O1 : [5.58082472 2.84935455 9.22168437] : 35
O1 : [2.48570573 2.6798688  7.78860823] : 57
O1 : [4.35012697 4.72499685 7.15583264] : 49
O1 : [3.58670452 2.6798688  5.23146571] : 56
!!!atention to nb coordination!!!
         [2.242136723247931, 2.2384261057565156, 2.230693133055768, 2.1613972946871955, 2.230649047075347, 2.263089788290092]
         [2.242136723247931, 2.2384261057565156, 2.230693133055768, 2.161397294687195, 2.2306490470753464, 2.263089788290093]


**isite= 10
Lu1 : [7.30496878 4.13837676 2.92031578]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [8.31129031 3.79714545 4.88165972] : 32
O1 : [6.31717011 3.9666312  0.89144106] : 59
O1 : [7.08059256 1.92150315 2.81580799] : 50
O1 : [5.21617132 3.9666312  3.44858358] : 58
O1 : [9.04875939 4.31158455 1.52161264] : 26
O1 : [7.62348904 6.17260455 3.79838957] : 54
!!!atention to nb coordination!!!
         [2.2306931330557678, 2.263089788290094, 2.2306490470753464, 2.1613972946871978, 2.24213672324793, 2.238426105756516]
         [2.2306931330557678, 2.263089788290094, 2.2306490470753464, 2.161397294687196, 2.24213672324793, 2.238426105756516]


**isite= 11
Lu1 : [4.22837264 4.13837676 1.41970886]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.48458204 4.31158455 2.818412  ] : 47
O1 : [4.45274887 1.92150315 1.52421666] : 51
O1 : [5.21617132 3.9666312  3.44858358] : 58
O1 : [6.31717011 3.9666312  0.89144106] : 59
O1 : [3.90985239 6.17260455 0.54163508] : 55
O1 : [ 3.22205112  3.79714545 -0.54163508] : 33
!!!atention to nb coordination!!!
         [2.2421367232479277, 2.230649047075346, 2.263089788290094, 2.1613972946871987, 2.238426105756516, 2.230693133055768]
         [2.2421367232479272, 2.230649047075346, 2.2630897882900944, 2.1613972946871987, 2.238426105756516, 2.2306931330557673]


**isite= 12
Lu1 : [3.68822214 4.94453074 4.62663987]

ce_symbol  = PB:7
ce_fraction=  0.7028776697140268
species:coords:index
O1 : [3.89215341 6.68039715 3.14304585] : 60
O1 : [3.58670452 2.6798688  5.23146571] : 56
O1 : [5.21617132 3.9666312  3.44858358] : 58
O1 : [2.48458204 4.31158455 2.818412  ] : 47
O1 : [1.72228328 4.72499685 5.8642413 ] : 48
O1 : [4.91072243 6.61260285 5.53700344] : 62
O1 : [4.35012697 4.72499685 7.15583264] : 49
!!!atention to nb coordination!!!
         [2.2925687269059734, 2.346233970068843, 2.163037868591651, 2.2625336246104246, 2.3334026739689073, 2.259586983042165, 2.6235718333524654]
         [2.292568726905974, 2.3462339700688424, 2.1630378685916525, 2.2625336246104246, 2.3334026739689055, 2.259586983042165, 2.6235718333524645]

ce_symbol  = ST:7
ce_fraction=  0.2971223302859733
species:coords:index
O1 : [3.89215341 6.68039715 3.14304585] : 60
O1 : [3.58670452 2.6798688  5.23146571] : 56
O1 : [5.21617132 3.9666312  3.44858358] : 58
O1 : [2.48458204 4.31158455 2.818412  ] : 47
O1 : [1.72228328 4.72499685 5.8642413 ] : 48
O1 : [4.91072243 6.61260285 5.53700344] : 62
O1 : [4.35012697 4.72499685 7.15583264] : 49
!!!atention to nb coordination!!!
         [2.2925687269059734, 2.346233970068843, 2.163037868591651, 2.2625336246104246, 2.3334026739689073, 2.259586983042165, 2.6235718333524654]
         [2.292568726905974, 2.3462339700688424, 2.1630378685916525, 2.2625336246104246, 2.3334026739689055, 2.259586983042165, 2.6235718333524645]


**isite= 13
Lu1 : [2.38418811 4.94453074 8.39343406]

ce_symbol  = PB:7
ce_fraction=  0.7028776697140331
species:coords:index
O1 : [0.85623894 3.9666312  9.57149035] : 59
O1 : [1.72228328 4.72499685 5.8642413 ] : 48
O1 : [2.48570573 2.6798688  7.78860823] : 57
O1 : [ 3.58782821  4.31158455 10.20166193] : 26
O1 : [1.16168782 6.61260285 7.48307049] : 43
O1 : [4.35012697 4.72499685 7.15583264] : 49
O1 : [2.18025684 6.68039715 9.87702809] : 41
!!!atention to nb coordination!!!
         [2.163037868591651, 2.623571833352464, 2.346233970068842, 2.262533624610426, 2.2595869830421638, 2.333402673968902, 2.2925687269059742]
         [2.163037868591651, 2.623571833352464, 2.3462339700688424, 2.262533624610427, 2.2595869830421638, 2.3334026739689033, 2.292568726905975]

ce_symbol  = ST:7
ce_fraction=  0.29712233028596685
species:coords:index
O1 : [0.85623894 3.9666312  9.57149035] : 59
O1 : [1.72228328 4.72499685 5.8642413 ] : 48
O1 : [2.48570573 2.6798688  7.78860823] : 57
O1 : [ 3.58782821  4.31158455 10.20166193] : 26
O1 : [1.16168782 6.61260285 7.48307049] : 43
O1 : [4.35012697 4.72499685 7.15583264] : 49
O1 : [2.18025684 6.68039715 9.87702809] : 41
!!!atention to nb coordination!!!
         [2.163037868591651, 2.623571833352464, 2.346233970068842, 2.262533624610426, 2.2595869830421638, 2.333402673968902, 2.2925687269059742]
         [2.163037868591651, 2.623571833352464, 2.3462339700688424, 2.262533624610427, 2.2595869830421638, 2.3334026739689033, 2.292568726905975]


**isite= 14
Lu1 : [5.1146537  1.70196926 4.05340942]

ce_symbol  = PB:7
ce_fraction=  0.7028776697140319
species:coords:index
O1 : [ 4.91072243 -0.03389715  5.53700344] : 62
O1 : [3.89215341 0.03389715 3.14304585] : 60
O1 : [4.45274887 1.92150315 1.52421666] : 51
O1 : [7.08059256 1.92150315 2.81580799] : 50
O1 : [3.58670452 2.6798688  5.23146571] : 56
O1 : [6.3182938  2.33491545 5.86163729] : 45
O1 : [5.21617132 3.9666312  3.44858358] : 58
!!!atention to nb coordination!!!
         [2.2925687269059742, 2.2595869830421647, 2.6235718333524654, 2.333402673968903, 2.1630378685916534, 2.2625336246104255, 2.346233970068842]
         [2.292568726905974, 2.259586983042164, 2.6235718333524654, 2.3334026739689033, 2.1630378685916525, 2.2625336246104255, 2.3462339700688424]

ce_symbol  = ST:7
ce_fraction=  0.2971223302859681
species:coords:index
O1 : [ 4.91072243 -0.03389715  5.53700344] : 62
O1 : [3.89215341 0.03389715 3.14304585] : 60
O1 : [4.45274887 1.92150315 1.52421666] : 51
O1 : [7.08059256 1.92150315 2.81580799] : 50
O1 : [3.58670452 2.6798688  5.23146571] : 56
O1 : [6.3182938  2.33491545 5.86163729] : 45
O1 : [5.21617132 3.9666312  3.44858358] : 58
!!!atention to nb coordination!!!
         [2.2925687269059742, 2.2595869830421647, 2.6235718333524654, 2.333402673968903, 2.1630378685916534, 2.2625336246104255, 2.346233970068842]
         [2.292568726905974, 2.259586983042164, 2.6235718333524654, 2.3334026739689033, 2.1630378685916525, 2.2625336246104255, 2.3462339700688424]


**isite= 15
Lu1 : [6.41868773 1.70196926 0.28661523]

ce_symbol  = PB:7
ce_fraction=  0.7028776697140288
species:coords:index
O1 : [7.64118802 0.03389715 1.1969788 ] : 41
O1 : [ 6.622619   -0.03389715 -1.1969788 ] : 43
O1 : [ 5.21504763  2.33491545 -1.52161264] : 24
O1 : [6.31717011 3.9666312  0.89144106] : 59
O1 : [7.08059256 1.92150315 2.81580799] : 50
O1 : [4.45274887 1.92150315 1.52421666] : 51
O1 : [ 7.9466369   2.6798688  -0.89144106] : 57
!!!atention to nb coordination!!!
         [2.2595869830421647, 2.2925687269059725, 2.262533624610424, 2.3462339700688424, 2.623571833352465, 2.333402673968908, 2.163037868591651]
         [2.2595869830421647, 2.2925687269059734, 2.2625336246104255, 2.3462339700688424, 2.6235718333524645, 2.3334026739689073, 2.163037868591652]

ce_symbol  = ST:7
ce_fraction=  0.2971223302859711
species:coords:index
O1 : [7.64118802 0.03389715 1.1969788 ] : 41
O1 : [ 6.622619   -0.03389715 -1.1969788 ] : 43
O1 : [ 5.21504763  2.33491545 -1.52161264] : 24
O1 : [6.31717011 3.9666312  0.89144106] : 59
O1 : [7.08059256 1.92150315 2.81580799] : 50
O1 : [4.45274887 1.92150315 1.52421666] : 51
O1 : [ 7.9466369   2.6798688  -0.89144106] : 57
!!!atention to nb coordination!!!
         [2.2595869830421647, 2.2925687269059725, 2.262533624610424, 2.3462339700688424, 2.623571833352465, 2.333402673968908, 2.163037868591651]
         [2.2595869830421647, 2.2925687269059734, 2.2625336246104255, 2.3462339700688424, 2.6235718333524645, 2.3334026739689073, 2.163037868591652]


**isite= 16
Si1 : [-1.80731683  2.71376595  7.00445258]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [-2.78177654  1.40174685  7.15583264] : 29
O1 : [-2.23888005  3.79714545  8.13841422] : 33
O1 : [-2.22118108  3.28935285  5.53700344] : 42
O1 : [-0.24588355  2.33491545  7.15843665] : 24
!!!atention to nb coordination!!!
         [1.6413048943892303, 1.6265998141203843, 1.6297210961267306, 1.614098107011162]
         [1.6413048943892297, 1.6265998141203843, 1.629721096126731, 1.614098107011163]


**isite= 17
Si1 : [0.74782358 6.03701595 6.01562136]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [1.1793868  7.12039545 4.88165972] : 52
O1 : [1.16168782 6.61260285 7.48307049] : 43
O1 : [-0.81360971  5.65816545  5.86163729] : 25
O1 : [1.72228328 4.72499685 5.8642413 ] : 48
!!!atention to nb coordination!!!
         [1.6265998141203843, 1.6297210961267323, 1.6140981070111626, 1.641304894389228]
         [1.6265998141203852, 1.6297210961267317, 1.6140981070111622, 1.641304894389229]


**isite= 18
Si1 : [10.61019267  3.93273405  1.67559672]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [9.04875939 4.31158455 1.52161264] : 26
O1 : [11.58465238  5.24475315  1.52421666] : 31
O1 : [11.04175589  2.84935455  0.54163508] : 35
O1 : [11.02405692  3.35714715  3.14304585] : 40
!!!atention to nb coordination!!!
         [1.6140981070111635, 1.6413048943892294, 1.6265998141203843, 1.6297210961267317]
         [1.6140981070111635, 1.6413048943892297, 1.6265998141203843, 1.6297210961267308]


**isite= 19
Si1 : [8.05505227 0.60948405 2.66442793]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [7.64118802 0.03389715 1.1969788 ] : 41
O1 : [7.08059256 1.92150315 2.81580799] : 50
O1 : [9.61648555 0.98833455 2.818412  ] : 27
O1 : [ 7.62348904 -0.47389545  3.79838957] : 54
!!!atention to nb coordination!!!
         [1.6297210961267303, 1.6413048943892303, 1.614098107011165, 1.6265998141203855]
         [1.6297210961267303, 1.6413048943892303, 1.614098107011165, 1.626599814120385]


**isite= 20
Si1 : [5.32458668 6.03701595 7.00445258]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.89302346 7.12039545 8.13841422] : 53
O1 : [6.88601996 5.65816545 7.15843665] : 44
O1 : [4.91072243 6.61260285 5.53700344] : 62
O1 : [4.35012697 4.72499685 7.15583264] : 49
!!!atention to nb coordination!!!
         [1.626599814120385, 1.614098107011164, 1.62972109612673, 1.64130489438923]
         [1.626599814120385, 1.6140981070111644, 1.6297210961267308, 1.6413048943892294]


**isite= 21
Si1 : [7.87972708 2.71376595 6.01562136]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [8.29359133 3.28935285 7.48307049] : 63
O1 : [6.3182938  2.33491545 5.86163729] : 45
O1 : [8.85418679 1.40174685 5.8642413 ] : 28
O1 : [8.31129031 3.79714545 4.88165972] : 32
!!!atention to nb coordination!!!
         [1.6297210961267319, 1.614098107011163, 1.6413048943892288, 1.6265998141203837]
         [1.6297210961267317, 1.614098107011163, 1.6413048943892288, 1.6265998141203846]


**isite= 22
Si1 : [3.47828916 0.60948405 1.67559672]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 3.90985239 -0.47389545  0.54163508] : 55
O1 : [4.45274887 1.92150315 1.52421666] : 51
O1 : [1.91685588 0.98833455 1.52161264] : 46
O1 : [3.89215341 0.03389715 3.14304585] : 60
!!!atention to nb coordination!!!
         [1.6265998141203835, 1.6413048943892283, 1.6140981070111653, 1.629721096126731]
         [1.626599814120384, 1.641304894389229, 1.6140981070111646, 1.6297210961267308]


**isite= 23
Si1 : [0.92314876 3.93273405 2.66442793]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [0.50928451 3.35714715 1.1969788 ] : 61
O1 : [0.49158553 2.84935455 3.79838957] : 34
O1 : [-0.05131095  5.24475315  2.81580799] : 30
O1 : [2.48458204 4.31158455 2.818412  ] : 47
!!!atention to nb coordination!!!
         [1.629721096126731, 1.6265998141203857, 1.6413048943892297, 1.6140981070111653]
         [1.629721096126731, 1.6265998141203852, 1.6413048943892294, 1.6140981070111653]


**isite= 24
O1 : [-0.24588355  2.33491545  7.15843665]

ce_symbol  = TL:3
ce_fraction=  0.8113811003109317
species:coords:index
Lu1 : [0.95775655 1.70196926 8.96666452] : 15
Lu1 : [1.49790706 2.50812324 5.75973351] : 8
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
!!!atention to nb coordination!!!
         [2.262533624610425, 2.242136723247929, 1.6140981070111635]
         [2.262533624610425, 2.24213672324793, 1.614098107011163]

ce_symbol  = S:1
ce_fraction=  0.13716227901759698
species:coords:index
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
!!!atention to nb coordination!!!
         [1.6140981070111635]
         [1.614098107011163]

ce_symbol  = TY:3
ce_fraction=  0.05145661724126009
species:coords:index
Lu1 : [0.95775655 1.70196926 8.96666452] : 15
Lu1 : [1.49790706 2.50812324 5.75973351] : 8
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
!!!atention to nb coordination!!!
         [2.262533624610425, 2.242136723247929, 1.6140981070111635]
         [2.262533624610425, 2.24213672324793, 1.614098107011163]

ce_symbol  = TS:3
ce_fraction=  3.430211171158447e-09
species:coords:index
Lu1 : [0.95775655 1.70196926 8.96666452] : 15
Lu1 : [1.49790706 2.50812324 5.75973351] : 8
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
!!!atention to nb coordination!!!
         [2.262533624610425, 2.242136723247929, 1.6140981070111635]
         [2.262533624610425, 2.24213672324793, 1.614098107011163]


**isite= 25
O1 : [-0.81360971  5.65816545  5.86163729]

ce_symbol  = TL:3
ce_fraction=  0.8113811003109311
species:coords:index
Si1 : [0.74782358 6.03701595 6.01562136] : 17
Lu1 : [-2.01724981  5.02521926  4.05340942] : 6
Lu1 : [-2.55740031  5.83137324  7.26034043] : 1
!!!atention to nb coordination!!!
