cif name= ./1530637.cif
./1530637.cif
Full Formula (Y16 Mo16 O56)
 69  O     0.7132  0       0
 70  O     0.75    0.25    0.4632
 71  O     0.75    0.25    0.0368
 72  O     0       0       0.2868
 73  O     0       0       0.7132
 74  O     0       0.5     0.5
 75  O     0.75    0.75    0.25
 76  O     0.9632  0.75    0.75
 77  O     0       0.2132  0.5
 78  O     0.0368  0.75    0.25
 79  O     0       0.7868  0.5
 80  O     0.75    0.4632  0.25
 81  O     0.7868  0.5     0
 82  O     0.75    0.0368  0.25
 83  O     0.7132  0.5     0.5
 84  O     0.75    0.75    0.9632
 85  O     0.75    0.75    0.5368
 86  O     0       0.5     0.7868
 87  O     0       0.5     0.2132

space_group_IT_number 227

*** lse ***


**isite= 0
Y1 : [1.27875 1.27875 1.27875]

ce_symbol  = C:8
ce_fraction=  0.929268188867427
species:coords:index
O1 : [0.       2.933964 0.      ] : 65
O1 : [ 2.5575    2.5575   -0.376464] : 42
O1 : [-0.376464  2.5575    2.5575  ] : 62
O1 : [0.       0.       2.933964] : 72
O1 : [2.933964 0.       0.      ] : 39
O1 : [0. 0. 0.] : 60
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [ 2.5575   -0.376464  2.5575  ] : 38
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.45155797622573, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.45155797622573]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302]

ce_symbol  = HB:8
ce_fraction=  0.0580272439299122
species:coords:index
O1 : [0.       2.933964 0.      ] : 65
O1 : [ 2.5575    2.5575   -0.376464] : 42
O1 : [-0.376464  2.5575    2.5575  ] : 62
O1 : [0.       0.       2.933964] : 72
O1 : [2.933964 0.       0.      ] : 39
O1 : [0. 0. 0.] : 60
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [ 2.5575   -0.376464  2.5575  ] : 38
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.45155797622573, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.45155797622573]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302]

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880573
species:coords:index
O1 : [0.       2.933964 0.      ] : 65
O1 : [ 2.5575    2.5575   -0.376464] : 42
O1 : [-0.376464  2.5575    2.5575  ] : 62
O1 : [0.       0.       2.933964] : 72
O1 : [2.933964 0.       0.      ] : 39
O1 : [0. 0. 0.] : 60
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [ 2.5575   -0.376464  2.5575  ] : 38
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.45155797622573, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.45155797622573]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302]

ce_symbol  = L:2
ce_fraction=  0.000202094510780278
species:coords:index
O1 : [0. 0. 0.] : 60
O1 : [2.5575 2.5575 2.5575] : 33


**isite= 1
Y1 : [1.27875 3.83625 3.83625]

ce_symbol  = C:8
ce_fraction=  0.9292681888674269
species:coords:index
O1 : [2.5575   5.491464 2.5575  ] : 40
O1 : [2.933964 5.115    5.115   ] : 53
O1 : [0.       2.181036 5.115   ] : 77
O1 : [2.5575   2.5575   5.491464] : 43
O1 : [0.    5.115 5.115] : 74
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [0.       5.115    2.181036] : 87
O1 : [-0.376464  2.5575    2.5575  ] : 62
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.45155797622573]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.4515579762257302]

ce_symbol  = HB:8
ce_fraction=  0.05802724392991232
species:coords:index
O1 : [2.5575   5.491464 2.5575  ] : 40
O1 : [2.933964 5.115    5.115   ] : 53
O1 : [0.       2.181036 5.115   ] : 77
O1 : [2.5575   2.5575   5.491464] : 43
O1 : [0.    5.115 5.115] : 74
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [0.       5.115    2.181036] : 87
O1 : [-0.376464  2.5575    2.5575  ] : 62
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.45155797622573]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.4515579762257302]

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880578
species:coords:index
O1 : [2.5575   5.491464 2.5575  ] : 40
O1 : [2.933964 5.115    5.115   ] : 53
O1 : [0.       2.181036 5.115   ] : 77
O1 : [2.5575   2.5575   5.491464] : 43
O1 : [0.    5.115 5.115] : 74
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [0.       5.115    2.181036] : 87
O1 : [-0.376464  2.5575    2.5575  ] : 62
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.45155797622573]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.4515579762257302]

ce_symbol  = L:2
ce_fraction=  0.00020209451078028072
species:coords:index
O1 : [0.    5.115 5.115] : 74
O1 : [2.5575 2.5575 2.5575] : 33


**isite= 2
Y1 : [3.83625 8.95125 6.39375]

ce_symbol  = C:8
ce_fraction=  0.9292681888674271
species:coords:index
O1 : [2.5575   7.6725   4.738536] : 56
O1 : [ 5.115 10.23   5.115] : 32
O1 : [5.115    7.296036 5.115   ] : 35
O1 : [ 2.181036 10.23      5.115   ] : 41
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [ 2.5575   10.606464  7.6725  ] : 54
O1 : [ 5.115    10.23      8.048964] : 44
O1 : [5.491464 7.6725   7.6725  ] : 50

ce_symbol  = HB:8
ce_fraction=  0.058027243929912056
species:coords:index
O1 : [2.5575   7.6725   4.738536] : 56
O1 : [ 5.115 10.23   5.115] : 32
O1 : [5.115    7.296036 5.115   ] : 35
O1 : [ 2.181036 10.23      5.115   ] : 41
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [ 2.5575   10.606464  7.6725  ] : 54
O1 : [ 5.115    10.23      8.048964] : 44
O1 : [5.491464 7.6725   7.6725  ] : 50

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880531
species:coords:index
O1 : [2.5575   7.6725   4.738536] : 56
O1 : [ 5.115 10.23   5.115] : 32
O1 : [5.115    7.296036 5.115   ] : 35
O1 : [ 2.181036 10.23      5.115   ] : 41
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [ 2.5575   10.606464  7.6725  ] : 54
O1 : [ 5.115    10.23      8.048964] : 44
O1 : [5.491464 7.6725   7.6725  ] : 50

ce_symbol  = L:2
ce_fraction=  0.00020209451078026465
species:coords:index
O1 : [ 5.115 10.23   5.115] : 32
O1 : [2.5575 7.6725 7.6725] : 47


**isite= 3
Y1 : [3.83625 1.27875 3.83625]

ce_symbol  = C:8
ce_fraction=  0.9292681888674269
species:coords:index
O1 : [2.181036 0.       5.115   ] : 41
O1 : [ 2.5575   -0.376464  2.5575  ] : 38
O1 : [2.5575   2.5575   5.491464] : 43
O1 : [5.115    2.933964 5.115   ] : 37
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [5.115 0.    5.115] : 32
O1 : [5.115    0.       2.181036] : 45
O1 : [5.491464 2.5575   2.5575  ] : 36
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.4515579762257302]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.4515579762257302]

ce_symbol  = HB:8
ce_fraction=  0.05802724392991228
species:coords:index
O1 : [2.181036 0.       5.115   ] : 41
O1 : [ 2.5575   -0.376464  2.5575  ] : 38
O1 : [2.5575   2.5575   5.491464] : 43
O1 : [5.115    2.933964 5.115   ] : 37
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [5.115 0.    5.115] : 32
O1 : [5.115    0.       2.181036] : 45
O1 : [5.491464 2.5575   2.5575  ] : 36
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.4515579762257302]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.4515579762257302]

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880555
species:coords:index
O1 : [2.181036 0.       5.115   ] : 41
O1 : [ 2.5575   -0.376464  2.5575  ] : 38
O1 : [2.5575   2.5575   5.491464] : 43
O1 : [5.115    2.933964 5.115   ] : 37
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [5.115 0.    5.115] : 32
O1 : [5.115    0.       2.181036] : 45
O1 : [5.491464 2.5575   2.5575  ] : 36
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.4515579762257302]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702, 2.4515579762257302, 2.4515579762257302]

ce_symbol  = L:2
ce_fraction=  0.00020209451078027926
species:coords:index
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [5.115 0.    5.115] : 32


**isite= 4
Y1 : [1.27875 6.39375 6.39375]

ce_symbol  = C:8
ce_fraction=  0.929268188867427
species:coords:index
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [0.       5.115    8.048964] : 86
O1 : [2.5575   4.738536 7.6725  ] : 52
O1 : [2.933964 5.115    5.115   ] : 53
O1 : [2.5575   7.6725   4.738536] : 56
O1 : [0.       8.048964 5.115   ] : 79
O1 : [-0.376464  7.6725    7.6725  ] : 76
O1 : [0.    5.115 5.115] : 74
!!!atention to nb coordination!!!
         [2.2148599701787015, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257307, 2.4515579762257302, 2.4515579762257294, 2.2148599701787024]
         [2.2148599701787015, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257302, 2.4515579762257302, 2.45155797622573, 2.2148599701787024]

ce_symbol  = HB:8
ce_fraction=  0.058027243929912264
species:coords:index
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [0.       5.115    8.048964] : 86
O1 : [2.5575   4.738536 7.6725  ] : 52
O1 : [2.933964 5.115    5.115   ] : 53
O1 : [2.5575   7.6725   4.738536] : 56
O1 : [0.       8.048964 5.115   ] : 79
O1 : [-0.376464  7.6725    7.6725  ] : 76
O1 : [0.    5.115 5.115] : 74
!!!atention to nb coordination!!!
         [2.2148599701787015, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257307, 2.4515579762257302, 2.4515579762257294, 2.2148599701787024]
         [2.2148599701787015, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257302, 2.4515579762257302, 2.45155797622573, 2.2148599701787024]

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880562
species:coords:index
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [0.       5.115    8.048964] : 86
O1 : [2.5575   4.738536 7.6725  ] : 52
O1 : [2.933964 5.115    5.115   ] : 53
O1 : [2.5575   7.6725   4.738536] : 56
O1 : [0.       8.048964 5.115   ] : 79
O1 : [-0.376464  7.6725    7.6725  ] : 76
O1 : [0.    5.115 5.115] : 74
!!!atention to nb coordination!!!
         [2.2148599701787015, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257307, 2.4515579762257302, 2.4515579762257294, 2.2148599701787024]
         [2.2148599701787015, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257302, 2.4515579762257302, 2.45155797622573, 2.2148599701787024]

ce_symbol  = L:2
ce_fraction=  0.000202094510780278
species:coords:index
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [0.    5.115 5.115] : 74


**isite= 5
Y1 : [1.27875 8.95125 8.95125]

ce_symbol  = C:8
ce_fraction=  0.9292681888674275
species:coords:index
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [ 0.       10.23      7.296036] : 73
O1 : [-0.376464  7.6725    7.6725  ] : 76
O1 : [ 0.        7.296036 10.23    ] : 63
O1 : [ 2.5575   10.606464  7.6725  ] : 54
O1 : [ 2.5575    7.6725   10.606464] : 57
O1 : [ 2.933964 10.23     10.23    ] : 39
O1 : [ 0.   10.23 10.23] : 60
!!!atention to nb coordination!!!
         [2.2148599701787015, 2.4515579762257302, 2.4515579762257294, 2.4515579762257302, 2.45155797622573, 2.45155797622573, 2.4515579762257307, 2.2148599701787024]
         [2.2148599701787015, 2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.45155797622573, 2.45155797622573, 2.4515579762257307, 2.2148599701787024]

ce_symbol  = HB:8
ce_fraction=  0.05802724392991176
species:coords:index
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [ 0.       10.23      7.296036] : 73
O1 : [-0.376464  7.6725    7.6725  ] : 76
O1 : [ 0.        7.296036 10.23    ] : 63
O1 : [ 2.5575   10.606464  7.6725  ] : 54
O1 : [ 2.5575    7.6725   10.606464] : 57
O1 : [ 2.933964 10.23     10.23    ] : 39
O1 : [ 0.   10.23 10.23] : 60
!!!atention to nb coordination!!!
         [2.2148599701787015, 2.4515579762257302, 2.4515579762257294, 2.4515579762257302, 2.45155797622573, 2.45155797622573, 2.4515579762257307, 2.2148599701787024]
         [2.2148599701787015, 2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.45155797622573, 2.45155797622573, 2.4515579762257307, 2.2148599701787024]

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880522
species:coords:index
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [ 0.       10.23      7.296036] : 73
O1 : [-0.376464  7.6725    7.6725  ] : 76
O1 : [ 0.        7.296036 10.23    ] : 63
O1 : [ 2.5575   10.606464  7.6725  ] : 54
O1 : [ 2.5575    7.6725   10.606464] : 57
O1 : [ 2.933964 10.23     10.23    ] : 39
O1 : [ 0.   10.23 10.23] : 60
!!!atention to nb coordination!!!
         [2.2148599701787015, 2.4515579762257302, 2.4515579762257294, 2.4515579762257302, 2.45155797622573, 2.45155797622573, 2.4515579762257307, 2.2148599701787024]
         [2.2148599701787015, 2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.45155797622573, 2.45155797622573, 2.4515579762257307, 2.2148599701787024]

ce_symbol  = L:2
ce_fraction=  0.00020209451078025397
species:coords:index
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [ 0.   10.23 10.23] : 60


**isite= 6
Y1 : [3.83625 3.83625 1.27875]

ce_symbol  = C:8
ce_fraction=  0.9292681888674269
species:coords:index
O1 : [2.5575   5.491464 2.5575  ] : 40
O1 : [2.181036 5.115    0.      ] : 55
O1 : [ 2.5575    2.5575   -0.376464] : 42
O1 : [5.491464 2.5575   2.5575  ] : 36
O1 : [5.115    2.181036 0.      ] : 49
O1 : [5.115    5.115    2.933964] : 58
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [5.115 5.115 0.   ] : 46
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702]

ce_symbol  = HB:8
ce_fraction=  0.05802724392991232
species:coords:index
O1 : [2.5575   5.491464 2.5575  ] : 40
O1 : [2.181036 5.115    0.      ] : 55
O1 : [ 2.5575    2.5575   -0.376464] : 42
O1 : [5.491464 2.5575   2.5575  ] : 36
O1 : [5.115    2.181036 0.      ] : 49
O1 : [5.115    5.115    2.933964] : 58
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [5.115 5.115 0.   ] : 46
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702]

ce_symbol  = BO_1:8
ce_fraction=  0.01250247269188059
species:coords:index
O1 : [2.5575   5.491464 2.5575  ] : 40
O1 : [2.181036 5.115    0.      ] : 55
O1 : [ 2.5575    2.5575   -0.376464] : 42
O1 : [5.491464 2.5575   2.5575  ] : 36
O1 : [5.115    2.181036 0.      ] : 49
O1 : [5.115    5.115    2.933964] : 58
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [5.115 5.115 0.   ] : 46
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.4515579762257302, 2.214859970178702, 2.214859970178702]

ce_symbol  = L:2
ce_fraction=  0.000202094510780282
species:coords:index
O1 : [2.5575 2.5575 2.5575] : 33
O1 : [5.115 5.115 0.   ] : 46


**isite= 7
Y1 : [3.83625 6.39375 8.95125]

ce_symbol  = C:8
ce_fraction=  0.9292681888674271
species:coords:index
O1 : [ 5.115     8.048964 10.23    ] : 51
O1 : [ 2.5575    7.6725   10.606464] : 57
O1 : [ 5.115  5.115 10.23 ] : 46
O1 : [ 2.181036  5.115    10.23    ] : 55
O1 : [5.491464 7.6725   7.6725  ] : 50
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [2.5575   4.738536 7.6725  ] : 52
O1 : [5.115    5.115    7.296036] : 59

ce_symbol  = HB:8
ce_fraction=  0.05802724392991211
species:coords:index
O1 : [ 5.115     8.048964 10.23    ] : 51
O1 : [ 2.5575    7.6725   10.606464] : 57
O1 : [ 5.115  5.115 10.23 ] : 46
O1 : [ 2.181036  5.115    10.23    ] : 55
O1 : [5.491464 7.6725   7.6725  ] : 50
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [2.5575   4.738536 7.6725  ] : 52
O1 : [5.115    5.115    7.296036] : 59

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880533
species:coords:index
O1 : [ 5.115     8.048964 10.23    ] : 51
O1 : [ 2.5575    7.6725   10.606464] : 57
O1 : [ 5.115  5.115 10.23 ] : 46
O1 : [ 2.181036  5.115    10.23    ] : 55
O1 : [5.491464 7.6725   7.6725  ] : 50
O1 : [2.5575 7.6725 7.6725] : 47
O1 : [2.5575   4.738536 7.6725  ] : 52
O1 : [5.115    5.115    7.296036] : 59

ce_symbol  = L:2
ce_fraction=  0.0002020945107802753
species:coords:index
O1 : [ 5.115  5.115 10.23 ] : 46
O1 : [2.5575 7.6725 7.6725] : 47


**isite= 8
Y1 : [6.39375 1.27875 6.39375]

ce_symbol  = C:8
ce_fraction=  0.9292681888674269
species:coords:index
O1 : [ 7.6725   -0.376464  7.6725  ] : 66
O1 : [8.048964 0.       5.115   ] : 67
O1 : [5.115    0.       8.048964] : 44
O1 : [5.115    2.933964 5.115   ] : 37
O1 : [7.6725   2.5575   4.738536] : 70
O1 : [5.115 0.    5.115] : 32
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [4.738536 2.5575   7.6725  ] : 34
!!!atention to nb coordination!!!
         [2.4515579762257294, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257307, 2.2148599701787024, 2.2148599701787015, 2.4515579762257302]
         [2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257302, 2.2148599701787024, 2.2148599701787015, 2.4515579762257302]

ce_symbol  = HB:8
ce_fraction=  0.05802724392991232
species:coords:index
O1 : [ 7.6725   -0.376464  7.6725  ] : 66
O1 : [8.048964 0.       5.115   ] : 67
O1 : [5.115    0.       8.048964] : 44
O1 : [5.115    2.933964 5.115   ] : 37
O1 : [7.6725   2.5575   4.738536] : 70
O1 : [5.115 0.    5.115] : 32
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [4.738536 2.5575   7.6725  ] : 34
!!!atention to nb coordination!!!
         [2.4515579762257294, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257307, 2.2148599701787024, 2.2148599701787015, 2.4515579762257302]
         [2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257302, 2.2148599701787024, 2.2148599701787015, 2.4515579762257302]

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880578
species:coords:index
O1 : [ 7.6725   -0.376464  7.6725  ] : 66
O1 : [8.048964 0.       5.115   ] : 67
O1 : [5.115    0.       8.048964] : 44
O1 : [5.115    2.933964 5.115   ] : 37
O1 : [7.6725   2.5575   4.738536] : 70
O1 : [5.115 0.    5.115] : 32
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [4.738536 2.5575   7.6725  ] : 34
!!!atention to nb coordination!!!
         [2.4515579762257294, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257307, 2.2148599701787024, 2.2148599701787015, 2.4515579762257302]
         [2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.4515579762257302, 2.2148599701787024, 2.2148599701787015, 2.4515579762257302]

ce_symbol  = L:2
ce_fraction=  0.00020209451078028072
species:coords:index
O1 : [5.115 0.    5.115] : 32
O1 : [7.6725 2.5575 7.6725] : 61


**isite= 9
Y1 : [6.39375 3.83625 8.95125]

ce_symbol  = C:8
ce_fraction=  0.9292681888674271
species:coords:index
O1 : [4.738536 2.5575   7.6725  ] : 34
O1 : [ 5.115  5.115 10.23 ] : 46
O1 : [5.115    5.115    7.296036] : 59
O1 : [ 5.115     2.181036 10.23    ] : 49
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [ 7.6725    2.5575   10.606464] : 71
O1 : [7.6725   5.491464 7.6725  ] : 68
O1 : [ 8.048964  5.115    10.23    ] : 81

ce_symbol  = HB:8
ce_fraction=  0.05802724392991212
species:coords:index
O1 : [4.738536 2.5575   7.6725  ] : 34
O1 : [ 5.115  5.115 10.23 ] : 46
O1 : [5.115    5.115    7.296036] : 59
O1 : [ 5.115     2.181036 10.23    ] : 49
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [ 7.6725    2.5575   10.606464] : 71
O1 : [7.6725   5.491464 7.6725  ] : 68
O1 : [ 8.048964  5.115    10.23    ] : 81

ce_symbol  = BO_1:8
ce_fraction=  0.01250247269188052
species:coords:index
O1 : [4.738536 2.5575   7.6725  ] : 34
O1 : [ 5.115  5.115 10.23 ] : 46
O1 : [5.115    5.115    7.296036] : 59
O1 : [ 5.115     2.181036 10.23    ] : 49
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [ 7.6725    2.5575   10.606464] : 71
O1 : [7.6725   5.491464 7.6725  ] : 68
O1 : [ 8.048964  5.115    10.23    ] : 81

ce_symbol  = L:2
ce_fraction=  0.00020209451078027002
species:coords:index
O1 : [ 5.115  5.115 10.23 ] : 46
O1 : [7.6725 2.5575 7.6725] : 61


**isite= 10
Y1 : [8.95125 8.95125 1.27875]

ce_symbol  = C:8
ce_fraction=  0.9292681888674272
species:coords:index
O1 : [ 7.296036 10.23      0.      ] : 69
O1 : [ 7.6725    7.6725   -0.376464] : 84
O1 : [10.23      7.296036  0.      ] : 63
O1 : [10.23     10.23      2.933964] : 72
O1 : [ 7.6725   10.606464  2.5575  ] : 82
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [10.606464  7.6725    2.5575  ] : 78
O1 : [10.23 10.23  0.  ] : 60
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257294, 2.4515579762257302, 2.4515579762257307, 2.45155797622573, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]
         [2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.4515579762257307, 2.45155797622573, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]

ce_symbol  = HB:8
ce_fraction=  0.05802724392991194
species:coords:index
