cif name= ./9007986.cif
./9007986.cif
Full Formula (Ce16 Si16 O56)
 83  O     0.3708   0.2841   0.958
 84  O     0.7487   0.1845   0.1132
 85  O     0.8155   0.7487   0.3632
 86  O     0.2513   0.8155   0.6132
 87  O     0.1845   0.2513   0.8632

space_group_IT_number 76

*** lse ***


**isite= 0
Ce1 : [0.79660604 1.59463933 3.10635648]

ce_symbol  = SMA:9
ce_fraction=  0.35648227499101165
species:coords:index
O1 : [2.91293704 0.94401996 4.23099502] : 72
O1 : [3.2656702  3.29489472 3.08607936] : 76
O1 : [0.82372368 3.84812168 4.7230862 ] : 44
O1 : [2.60030264 0.73944832 1.25371974] : 68
O1 : [ 1.02081928 -0.9039212   2.9055635 ] : 51
O1 : [0.37584092 1.92949796 0.61078654] : 40
O1 : [-1.70793532  1.2539358   2.79923224] : 84
O1 : [-0.26981708  3.69656196  2.4357277 ] : 38
O1 : [0.27457456 1.04188812 5.39816606] : 32
!!!atention to nb coordination!!!
         [2.4833393421979695, 2.9979255081847396, 2.7735776595450257, 2.7234052182234088, 2.5166235574057048, 2.552849963416758, 2.546199450545229, 2.450526469848809, 2.414630801033568]
         [2.48333934219797, 2.9979255081847396, 2.7735776595450257, 2.7234052182234083, 2.516623557405704, 2.552849963416758, 2.546199450545229, 2.4505264698488087, 2.414630801033568]

ce_symbol  = TT_1:9
ce_fraction=  0.2884680450958087
species:coords:index
O1 : [2.91293704 0.94401996 4.23099502] : 72
O1 : [3.2656702  3.29489472 3.08607936] : 76
O1 : [0.82372368 3.84812168 4.7230862 ] : 44
O1 : [2.60030264 0.73944832 1.25371974] : 68
O1 : [ 1.02081928 -0.9039212   2.9055635 ] : 51
O1 : [0.37584092 1.92949796 0.61078654] : 40
O1 : [-1.70793532  1.2539358   2.79923224] : 84
O1 : [-0.26981708  3.69656196  2.4357277 ] : 38
O1 : [0.27457456 1.04188812 5.39816606] : 32
!!!atention to nb coordination!!!
         [2.4833393421979695, 2.9979255081847396, 2.7735776595450257, 2.7234052182234088, 2.5166235574057048, 2.552849963416758, 2.546199450545229, 2.450526469848809, 2.414630801033568]
         [2.48333934219797, 2.9979255081847396, 2.7735776595450257, 2.7234052182234083, 2.516623557405704, 2.552849963416758, 2.546199450545229, 2.4505264698488087, 2.414630801033568]

ce_symbol  = TT_2:9
ce_fraction=  0.2054788174373861
species:coords:index
O1 : [2.91293704 0.94401996 4.23099502] : 72
O1 : [3.2656702  3.29489472 3.08607936] : 76
O1 : [0.82372368 3.84812168 4.7230862 ] : 44
O1 : [2.60030264 0.73944832 1.25371974] : 68
O1 : [ 1.02081928 -0.9039212   2.9055635 ] : 51
O1 : [0.37584092 1.92949796 0.61078654] : 40
O1 : [-1.70793532  1.2539358   2.79923224] : 84
O1 : [-0.26981708  3.69656196  2.4357277 ] : 38
O1 : [0.27457456 1.04188812 5.39816606] : 32
!!!atention to nb coordination!!!
         [2.4833393421979695, 2.9979255081847396, 2.7735776595450257, 2.7234052182234088, 2.5166235574057048, 2.552849963416758, 2.546199450545229, 2.450526469848809, 2.414630801033568]
         [2.48333934219797, 2.9979255081847396, 2.7735776595450257, 2.7234052182234083, 2.516623557405704, 2.552849963416758, 2.546199450545229, 2.4505264698488087, 2.414630801033568]

ce_symbol  = TO_1:9
ce_fraction=  0.14957086247579346
species:coords:index
O1 : [2.91293704 0.94401996 4.23099502] : 72
O1 : [3.2656702  3.29489472 3.08607936] : 76
O1 : [0.82372368 3.84812168 4.7230862 ] : 44
O1 : [2.60030264 0.73944832 1.25371974] : 68
O1 : [ 1.02081928 -0.9039212   2.9055635 ] : 51
O1 : [0.37584092 1.92949796 0.61078654] : 40
O1 : [-1.70793532  1.2539358   2.79923224] : 84
O1 : [-0.26981708  3.69656196  2.4357277 ] : 38
O1 : [0.27457456 1.04188812 5.39816606] : 32
!!!atention to nb coordination!!!
         [2.4833393421979695, 2.9979255081847396, 2.7735776595450257, 2.7234052182234088, 2.5166235574057048, 2.552849963416758, 2.546199450545229, 2.450526469848809, 2.414630801033568]
         [2.48333934219797, 2.9979255081847396, 2.7735776595450257, 2.7234052182234083, 2.516623557405704, 2.552849963416758, 2.546199450545229, 2.4505264698488087, 2.414630801033568]


**isite= 1
Ce1 : [5.20176067 0.79660604 9.28840648]

ce_symbol  = SMA:9
ce_fraction=  0.3564822749910115
species:coords:index
O1 : [ 5.5424642  -1.70793532  8.98128224] : 85
O1 : [7.7003212  1.02081928 9.0876135 ] : 48
O1 : [ 3.09983804 -0.26981708  8.6177777 ] : 39
O1 : [4.86690204 0.37584092 6.79283654] : 41
O1 : [6.05695168 2.60030264 7.43576974] : 69
O1 : [ 2.94827832  0.82372368 10.9051362 ] : 45
O1 : [ 5.75451188  0.27457456 11.58021606] : 33
O1 : [ 5.85238004  2.91293704 10.41304502] : 73
O1 : [3.50150528 3.2656702  9.26812936] : 77
!!!atention to nb coordination!!!
         [2.5461994505452292, 2.516623557405702, 2.4505264698488105, 2.552849963416758, 2.7234052182234083, 2.7735776595450266, 2.4146308010335664, 2.48333934219797, 2.99792550818474]
         [2.5461994505452292, 2.516623557405703, 2.45052646984881, 2.552849963416758, 2.7234052182234083, 2.773577659545026, 2.4146308010335664, 2.4833393421979704, 2.99792550818474]

ce_symbol  = TT_1:9
ce_fraction=  0.2884680450958067
species:coords:index
O1 : [ 5.5424642  -1.70793532  8.98128224] : 85
O1 : [7.7003212  1.02081928 9.0876135 ] : 48
O1 : [ 3.09983804 -0.26981708  8.6177777 ] : 39
O1 : [4.86690204 0.37584092 6.79283654] : 41
O1 : [6.05695168 2.60030264 7.43576974] : 69
O1 : [ 2.94827832  0.82372368 10.9051362 ] : 45
O1 : [ 5.75451188  0.27457456 11.58021606] : 33
O1 : [ 5.85238004  2.91293704 10.41304502] : 73
O1 : [3.50150528 3.2656702  9.26812936] : 77
!!!atention to nb coordination!!!
         [2.5461994505452292, 2.516623557405702, 2.4505264698488105, 2.552849963416758, 2.7234052182234083, 2.7735776595450266, 2.4146308010335664, 2.48333934219797, 2.99792550818474]
         [2.5461994505452292, 2.516623557405703, 2.45052646984881, 2.552849963416758, 2.7234052182234083, 2.773577659545026, 2.4146308010335664, 2.4833393421979704, 2.99792550818474]

ce_symbol  = TT_2:9
ce_fraction=  0.20547881743738747
species:coords:index
O1 : [ 5.5424642  -1.70793532  8.98128224] : 85
O1 : [7.7003212  1.02081928 9.0876135 ] : 48
O1 : [ 3.09983804 -0.26981708  8.6177777 ] : 39
O1 : [4.86690204 0.37584092 6.79283654] : 41
O1 : [6.05695168 2.60030264 7.43576974] : 69
O1 : [ 2.94827832  0.82372368 10.9051362 ] : 45
O1 : [ 5.75451188  0.27457456 11.58021606] : 33
O1 : [ 5.85238004  2.91293704 10.41304502] : 73
O1 : [3.50150528 3.2656702  9.26812936] : 77
!!!atention to nb coordination!!!
         [2.5461994505452292, 2.516623557405702, 2.4505264698488105, 2.552849963416758, 2.7234052182234083, 2.7735776595450266, 2.4146308010335664, 2.48333934219797, 2.99792550818474]
         [2.5461994505452292, 2.516623557405703, 2.45052646984881, 2.552849963416758, 2.7234052182234083, 2.773577659545026, 2.4146308010335664, 2.4833393421979704, 2.99792550818474]

ce_symbol  = TO_1:9
ce_fraction=  0.14957086247579435
species:coords:index
O1 : [ 5.5424642  -1.70793532  8.98128224] : 85
O1 : [7.7003212  1.02081928 9.0876135 ] : 48
O1 : [ 3.09983804 -0.26981708  8.6177777 ] : 39
O1 : [4.86690204 0.37584092 6.79283654] : 41
O1 : [6.05695168 2.60030264 7.43576974] : 69
O1 : [ 2.94827832  0.82372368 10.9051362 ] : 45
O1 : [ 5.75451188  0.27457456 11.58021606] : 33
O1 : [ 5.85238004  2.91293704 10.41304502] : 73
O1 : [3.50150528 3.2656702  9.26812936] : 77
!!!atention to nb coordination!!!
         [2.5461994505452292, 2.516623557405702, 2.4505264698488105, 2.552849963416758, 2.7234052182234083, 2.7735776595450266, 2.4146308010335664, 2.48333934219797, 2.99792550818474]
         [2.5461994505452292, 2.516623557405703, 2.45052646984881, 2.552849963416758, 2.7234052182234083, 2.773577659545026, 2.4146308010335664, 2.4833393421979704, 2.99792550818474]


**isite= 2
Ce1 : [ 5.99979396  5.20176067 15.47045648]

ce_symbol  = SMA:9
ce_fraction=  0.3564822749910116
species:coords:index
O1 : [ 4.19609736  6.05695168 13.61781974] : 70
O1 : [ 3.88346296  5.85238004 16.59509502] : 74
O1 : [ 5.77558072  7.7003212  15.2696635 ] : 49
O1 : [ 5.97267632  2.94827832 17.0871862 ] : 46
O1 : [ 7.06621708  3.09983804 14.7998277 ] : 36
O1 : [ 6.42055908  4.86690204 12.97488654] : 42
O1 : [ 8.50433532  5.5424642  15.16333224] : 86
O1 : [ 6.52182544  5.75451188 17.76226606] : 34
O1 : [ 3.5307298   3.50150528 15.45017936] : 78
!!!atention to nb coordination!!!
         [2.7234052182234088, 2.4833393421979704, 2.516623557405702, 2.7735776595450266, 2.4505264698488105, 2.552849963416759, 2.5461994505452283, 2.414630801033565, 2.997925508184741]
         [2.7234052182234088, 2.4833393421979704, 2.516623557405703, 2.773577659545026, 2.45052646984881, 2.552849963416759, 2.54619945054523, 2.414630801033565, 2.9979255081847405]

ce_symbol  = TT_1:9
ce_fraction=  0.2884680450958073
species:coords:index
O1 : [ 4.19609736  6.05695168 13.61781974] : 70
O1 : [ 3.88346296  5.85238004 16.59509502] : 74
O1 : [ 5.77558072  7.7003212  15.2696635 ] : 49
O1 : [ 5.97267632  2.94827832 17.0871862 ] : 46
O1 : [ 7.06621708  3.09983804 14.7998277 ] : 36
O1 : [ 6.42055908  4.86690204 12.97488654] : 42
O1 : [ 8.50433532  5.5424642  15.16333224] : 86
O1 : [ 6.52182544  5.75451188 17.76226606] : 34
O1 : [ 3.5307298   3.50150528 15.45017936] : 78
!!!atention to nb coordination!!!
         [2.7234052182234088, 2.4833393421979704, 2.516623557405702, 2.7735776595450266, 2.4505264698488105, 2.552849963416759, 2.5461994505452283, 2.414630801033565, 2.997925508184741]
         [2.7234052182234088, 2.4833393421979704, 2.516623557405703, 2.773577659545026, 2.45052646984881, 2.552849963416759, 2.54619945054523, 2.414630801033565, 2.9979255081847405]

ce_symbol  = TT_2:9
ce_fraction=  0.2054788174373867
species:coords:index
O1 : [ 4.19609736  6.05695168 13.61781974] : 70
O1 : [ 3.88346296  5.85238004 16.59509502] : 74
O1 : [ 5.77558072  7.7003212  15.2696635 ] : 49
O1 : [ 5.97267632  2.94827832 17.0871862 ] : 46
O1 : [ 7.06621708  3.09983804 14.7998277 ] : 36
O1 : [ 6.42055908  4.86690204 12.97488654] : 42
O1 : [ 8.50433532  5.5424642  15.16333224] : 86
O1 : [ 6.52182544  5.75451188 17.76226606] : 34
O1 : [ 3.5307298   3.50150528 15.45017936] : 78
!!!atention to nb coordination!!!
         [2.7234052182234088, 2.4833393421979704, 2.516623557405702, 2.7735776595450266, 2.4505264698488105, 2.552849963416759, 2.5461994505452283, 2.414630801033565, 2.997925508184741]
         [2.7234052182234088, 2.4833393421979704, 2.516623557405703, 2.773577659545026, 2.45052646984881, 2.552849963416759, 2.54619945054523, 2.414630801033565, 2.9979255081847405]

ce_symbol  = TO_1:9
ce_fraction=  0.14957086247579449
species:coords:index
O1 : [ 4.19609736  6.05695168 13.61781974] : 70
O1 : [ 3.88346296  5.85238004 16.59509502] : 74
O1 : [ 5.77558072  7.7003212  15.2696635 ] : 49
O1 : [ 5.97267632  2.94827832 17.0871862 ] : 46
O1 : [ 7.06621708  3.09983804 14.7998277 ] : 36
O1 : [ 6.42055908  4.86690204 12.97488654] : 42
O1 : [ 8.50433532  5.5424642  15.16333224] : 86
O1 : [ 6.52182544  5.75451188 17.76226606] : 34
O1 : [ 3.5307298   3.50150528 15.45017936] : 78
!!!atention to nb coordination!!!
         [2.7234052182234088, 2.4833393421979704, 2.516623557405702, 2.7735776595450266, 2.4505264698488105, 2.552849963416759, 2.5461994505452283, 2.414630801033565, 2.997925508184741]
         [2.7234052182234088, 2.4833393421979704, 2.516623557405703, 2.773577659545026, 2.45052646984881, 2.552849963416759, 2.54619945054523, 2.414630801033565, 2.9979255081847405]


**isite= 3
Ce1 : [ 1.59463933  5.99979396 21.65250648]

ce_symbol  = SMA:9
ce_fraction=  0.3564822749910118
species:coords:index
O1 : [ 1.04188812  6.52182544 23.94431606] : 35
O1 : [-0.9039212   5.77558072 21.4517135 ] : 50
O1 : [ 0.94401996  3.88346296 22.77714502] : 75
O1 : [ 3.84812168  5.97267632 23.2692362 ] : 47
O1 : [ 1.2539358   8.50433532 21.34538224] : 87
O1 : [ 1.92949796  6.42055908 19.15693654] : 43
O1 : [ 3.29489472  3.5307298  21.63222936] : 79
O1 : [ 0.73944832  4.19609736 19.79986974] : 71
O1 : [ 3.69656196  7.06621708 20.9818777 ] : 37
!!!atention to nb coordination!!!
         [2.4146308010335633, 2.5166235574057048, 2.48333934219797, 2.7735776595450248, 2.546199450545229, 2.5528499634167607, 2.9979255081847405, 2.723405218223412, 2.4505264698488096]
         [2.4146308010335633, 2.516623557405704, 2.48333934219797, 2.7735776595450248, 2.54619945054523, 2.5528499634167607, 2.9979255081847405, 2.723405218223412, 2.4505264698488096]

ce_symbol  = TT_1:9
ce_fraction=  0.28846804509580865
species:coords:index
O1 : [ 1.04188812  6.52182544 23.94431606] : 35
O1 : [-0.9039212   5.77558072 21.4517135 ] : 50
O1 : [ 0.94401996  3.88346296 22.77714502] : 75
O1 : [ 3.84812168  5.97267632 23.2692362 ] : 47
O1 : [ 1.2539358   8.50433532 21.34538224] : 87
O1 : [ 1.92949796  6.42055908 19.15693654] : 43
O1 : [ 3.29489472  3.5307298  21.63222936] : 79
O1 : [ 0.73944832  4.19609736 19.79986974] : 71
O1 : [ 3.69656196  7.06621708 20.9818777 ] : 37
!!!atention to nb coordination!!!
         [2.4146308010335633, 2.5166235574057048, 2.48333934219797, 2.7735776595450248, 2.546199450545229, 2.5528499634167607, 2.9979255081847405, 2.723405218223412, 2.4505264698488096]
         [2.4146308010335633, 2.516623557405704, 2.48333934219797, 2.7735776595450248, 2.54619945054523, 2.5528499634167607, 2.9979255081847405, 2.723405218223412, 2.4505264698488096]

ce_symbol  = TT_2:9
ce_fraction=  0.20547881743738508
species:coords:index
O1 : [ 1.04188812  6.52182544 23.94431606] : 35
O1 : [-0.9039212   5.77558072 21.4517135 ] : 50
O1 : [ 0.94401996  3.88346296 22.77714502] : 75
O1 : [ 3.84812168  5.97267632 23.2692362 ] : 47
O1 : [ 1.2539358   8.50433532 21.34538224] : 87
O1 : [ 1.92949796  6.42055908 19.15693654] : 43
O1 : [ 3.29489472  3.5307298  21.63222936] : 79
O1 : [ 0.73944832  4.19609736 19.79986974] : 71
O1 : [ 3.69656196  7.06621708 20.9818777 ] : 37
!!!atention to nb coordination!!!
         [2.4146308010335633, 2.5166235574057048, 2.48333934219797, 2.7735776595450248, 2.546199450545229, 2.5528499634167607, 2.9979255081847405, 2.723405218223412, 2.4505264698488096]
         [2.4146308010335633, 2.516623557405704, 2.48333934219797, 2.7735776595450248, 2.54619945054523, 2.5528499634167607, 2.9979255081847405, 2.723405218223412, 2.4505264698488096]

ce_symbol  = TO_1:9
ce_fraction=  0.14957086247579437
species:coords:index
O1 : [ 1.04188812  6.52182544 23.94431606] : 35
O1 : [-0.9039212   5.77558072 21.4517135 ] : 50
O1 : [ 0.94401996  3.88346296 22.77714502] : 75
O1 : [ 3.84812168  5.97267632 23.2692362 ] : 47
O1 : [ 1.2539358   8.50433532 21.34538224] : 87
O1 : [ 1.92949796  6.42055908 19.15693654] : 43
O1 : [ 3.29489472  3.5307298  21.63222936] : 79
O1 : [ 0.73944832  4.19609736 19.79986974] : 71
O1 : [ 3.69656196  7.06621708 20.9818777 ] : 37
!!!atention to nb coordination!!!
         [2.4146308010335633, 2.5166235574057048, 2.48333934219797, 2.7735776595450248, 2.546199450545229, 2.5528499634167607, 2.9979255081847405, 2.723405218223412, 2.4505264698488096]
         [2.4146308010335633, 2.516623557405704, 2.48333934219797, 2.7735776595450248, 2.54619945054523, 2.5528499634167607, 2.9979255081847405, 2.723405218223412, 2.4505264698488096]


**isite= 4
Ce1 : [1.138397   3.53113758 9.09552652]

ce_symbol  = TT_1:9
ce_fraction=  0.6293246203865043
species:coords:index
O1 : [0.85226856 5.14419516 7.03022726] : 63
O1 : [-1.2539358   5.08846468  8.98128224] : 85
O1 : [-0.94401996  2.91293704 10.41304502] : 73
O1 : [ 1.41636976  5.5288714  10.44271886] : 55
O1 : [2.22650064 2.91701488 6.81509192] : 64
O1 : [ 1.61006716  2.99517348 11.71127552] : 56
O1 : [-0.73944832  2.60030264  7.43576974] : 69
O1 : [0.9039212  1.02081928 9.0876135 ] : 48
O1 : [3.50150528 3.2656702  9.26812936] : 77
!!!atention to nb coordination!!!
         [2.636149706967868, 2.856847154875161, 2.540568301620652, 2.4255177684504954, 2.6002881013591854, 2.7114337666050337, 2.6734901011321157, 2.5212575243580138, 2.3842284735250545]
         [2.636149706967868, 2.8568471548751613, 2.540568301620651, 2.425517768450496, 2.6002881013591854, 2.7114337666050337, 2.673490101132115, 2.5212575243580138, 2.3842284735250545]

ce_symbol  = SMA:9
ce_fraction=  0.30732667101008615
species:coords:index
O1 : [0.85226856 5.14419516 7.03022726] : 63
O1 : [-1.2539358   5.08846468  8.98128224] : 85
O1 : [-0.94401996  2.91293704 10.41304502] : 73
O1 : [ 1.41636976  5.5288714  10.44271886] : 55
O1 : [2.22650064 2.91701488 6.81509192] : 64
O1 : [ 1.61006716  2.99517348 11.71127552] : 56
O1 : [-0.73944832  2.60030264  7.43576974] : 69
O1 : [0.9039212  1.02081928 9.0876135 ] : 48
O1 : [3.50150528 3.2656702  9.26812936] : 77
!!!atention to nb coordination!!!
         [2.636149706967868, 2.856847154875161, 2.540568301620652, 2.4255177684504954, 2.6002881013591854, 2.7114337666050337, 2.6734901011321157, 2.5212575243580138, 2.3842284735250545]
         [2.636149706967868, 2.8568471548751613, 2.540568301620651, 2.425517768450496, 2.6002881013591854, 2.7114337666050337, 2.673490101132115, 2.5212575243580138, 2.3842284735250545]

ce_symbol  = TT_2:9
ce_fraction=  0.04246724981302724
species:coords:index
O1 : [0.85226856 5.14419516 7.03022726] : 63
O1 : [-1.2539358   5.08846468  8.98128224] : 85
O1 : [-0.94401996  2.91293704 10.41304502] : 73
O1 : [ 1.41636976  5.5288714  10.44271886] : 55
O1 : [2.22650064 2.91701488 6.81509192] : 64
O1 : [ 1.61006716  2.99517348 11.71127552] : 56
O1 : [-0.73944832  2.60030264  7.43576974] : 69
O1 : [0.9039212  1.02081928 9.0876135 ] : 48
O1 : [3.50150528 3.2656702  9.26812936] : 77
!!!atention to nb coordination!!!
         [2.636149706967868, 2.856847154875161, 2.540568301620652, 2.4255177684504954, 2.6002881013591854, 2.7114337666050337, 2.6734901011321157, 2.5212575243580138, 2.3842284735250545]
         [2.636149706967868, 2.8568471548751613, 2.540568301620651, 2.425517768450496, 2.6002881013591854, 2.7114337666050337, 2.673490101132115, 2.5212575243580138, 2.3842284735250545]

ce_symbol  = TO_1:9
ce_fraction=  0.02088145879038243
species:coords:index
O1 : [0.85226856 5.14419516 7.03022726] : 63
O1 : [-1.2539358   5.08846468  8.98128224] : 85
O1 : [-0.94401996  2.91293704 10.41304502] : 73
O1 : [ 1.41636976  5.5288714  10.44271886] : 55
O1 : [2.22650064 2.91701488 6.81509192] : 64
O1 : [ 1.61006716  2.99517348 11.71127552] : 56
O1 : [-0.73944832  2.60030264  7.43576974] : 69
O1 : [0.9039212  1.02081928 9.0876135 ] : 48
O1 : [3.50150528 3.2656702  9.26812936] : 77
!!!atention to nb coordination!!!
         [2.636149706967868, 2.856847154875161, 2.540568301620652, 2.4255177684504954, 2.6002881013591854, 2.7114337666050337, 2.6734901011321157, 2.5212575243580138, 2.3842284735250545]
         [2.636149706967868, 2.8568471548751613, 2.540568301620651, 2.425517768450496, 2.6002881013591854, 2.7114337666050337, 2.673490101132115, 2.5212575243580138, 2.3842284735250545]


**isite= 5
Ce1 : [ 3.26526242  1.138397   15.27757652]

ce_symbol  = TT_1:9
ce_fraction=  0.6293246203865029
species:coords:index
O1 : [ 4.19609736 -0.73944832 13.61781974] : 70
O1 : [ 3.80122652  1.61006716 17.89332552] : 57
O1 : [ 3.5307298   3.50150528 15.45017936] : 78
O1 : [ 1.2675286   1.41636976 16.62476886] : 52
O1 : [ 1.65220484  0.85226856 13.21227726] : 60
O1 : [ 3.87938512  2.22650064 12.99714192] : 65
O1 : [ 5.77558072  0.9039212  15.2696635 ] : 49
O1 : [ 1.70793532 -1.2539358  15.16333224] : 86
O1 : [ 3.88346296 -0.94401996 16.59509502] : 74
!!!atention to nb coordination!!!
         [2.6734901011321175, 2.711433766605032, 2.3842284735250545, 2.425517768450496, 2.6361497069678688, 2.6002881013591854, 2.5212575243580133, 2.856847154875161, 2.540568301620651]
         [2.673490101132117, 2.711433766605032, 2.384228473525054, 2.425517768450496, 2.6361497069678688, 2.6002881013591854, 2.521257524358014, 2.8568471548751613, 2.54056830162065]

ce_symbol  = SMA:9
ce_fraction=  0.3073266710100871
species:coords:index
O1 : [ 4.19609736 -0.73944832 13.61781974] : 70
O1 : [ 3.80122652  1.61006716 17.89332552] : 57
O1 : [ 3.5307298   3.50150528 15.45017936] : 78
O1 : [ 1.2675286   1.41636976 16.62476886] : 52
O1 : [ 1.65220484  0.85226856 13.21227726] : 60
O1 : [ 3.87938512  2.22650064 12.99714192] : 65
O1 : [ 5.77558072  0.9039212  15.2696635 ] : 49
O1 : [ 1.70793532 -1.2539358  15.16333224] : 86
O1 : [ 3.88346296 -0.94401996 16.59509502] : 74
!!!atention to nb coordination!!!
         [2.6734901011321175, 2.711433766605032, 2.3842284735250545, 2.425517768450496, 2.6361497069678688, 2.6002881013591854, 2.5212575243580133, 2.856847154875161, 2.540568301620651]
         [2.673490101132117, 2.711433766605032, 2.384228473525054, 2.425517768450496, 2.6361497069678688, 2.6002881013591854, 2.521257524358014, 2.8568471548751613, 2.54056830162065]

ce_symbol  = TT_2:9
ce_fraction=  0.04246724981302733
species:coords:index
O1 : [ 4.19609736 -0.73944832 13.61781974] : 70
O1 : [ 3.80122652  1.61006716 17.89332552] : 57
O1 : [ 3.5307298   3.50150528 15.45017936] : 78
O1 : [ 1.2675286   1.41636976 16.62476886] : 52
O1 : [ 1.65220484  0.85226856 13.21227726] : 60
O1 : [ 3.87938512  2.22650064 12.99714192] : 65
O1 : [ 5.77558072  0.9039212  15.2696635 ] : 49
O1 : [ 1.70793532 -1.2539358  15.16333224] : 86
O1 : [ 3.88346296 -0.94401996 16.59509502] : 74
!!!atention to nb coordination!!!
         [2.6734901011321175, 2.711433766605032, 2.3842284735250545, 2.425517768450496, 2.6361497069678688, 2.6002881013591854, 2.5212575243580133, 2.856847154875161, 2.540568301620651]
         [2.673490101132117, 2.711433766605032, 2.384228473525054, 2.425517768450496, 2.6361497069678688, 2.6002881013591854, 2.521257524358014, 2.8568471548751613, 2.54056830162065]

ce_symbol  = TO_1:9
ce_fraction=  0.020881458790382522
species:coords:index
O1 : [ 4.19609736 -0.73944832 13.61781974] : 70
O1 : [ 3.80122652  1.61006716 17.89332552] : 57
O1 : [ 3.5307298   3.50150528 15.45017936] : 78
O1 : [ 1.2675286   1.41636976 16.62476886] : 52
O1 : [ 1.65220484  0.85226856 13.21227726] : 60
O1 : [ 3.87938512  2.22650064 12.99714192] : 65
O1 : [ 5.77558072  0.9039212  15.2696635 ] : 49
O1 : [ 1.70793532 -1.2539358  15.16333224] : 86
O1 : [ 3.88346296 -0.94401996 16.59509502] : 74
!!!atention to nb coordination!!!
         [2.6734901011321175, 2.711433766605032, 2.3842284735250545, 2.425517768450496, 2.6361497069678688, 2.6002881013591854, 2.5212575243580133, 2.856847154875161, 2.540568301620651]
         [2.673490101132117, 2.711433766605032, 2.384228473525054, 2.425517768450496, 2.6361497069678688, 2.6002881013591854, 2.521257524358014, 2.8568471548751613, 2.54056830162065]


**isite= 6
