cif name= ./7209493.cif
./7209493.cif
Full Formula (Ho16 B24 O60)
 99  O     0.5      0.632    0.75

space_group_IT_number 15

*** lse ***


**isite= 0
Ho1 : [7.14394177 3.09198946 1.83989547]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [9.23150651 3.22735406 2.59508872] : 52
O1 : [5.71513341 1.41652504 2.26415882] : 48
O1 : [ 7.35092362  2.70685534 -0.39075904] : 64
O1 : [6.13267835 3.93779988 3.68323111] : 41
!!!atention to nb coordination!!!
         [2.224087892311864, 2.242470456829071, 2.2731012523206613, 2.266260194973984]
         [2.224087892311864, 2.242470456829071, 2.2731012523206604, 2.2662601949739845]


**isite= 1
Ho1 : [9.21899262 0.90868946 7.50840685]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [10.64780098 -0.76677496  7.0841435 ] : 49
O1 : [10.23025604  1.75449988  5.66507121] : 40
O1 : [9.01201077 0.52355534 9.73906136] : 65
O1 : [7.13142789 1.04405406 6.7532136 ] : 53
!!!atention to nb coordination!!!
         [2.24247045682907, 2.2662601949739845, 2.2731012523206635, 2.2240878923118634]
         [2.2424704568290705, 2.2662601949739845, 2.2731012523206617, 2.2240878923118657]


**isite= 2
Ho1 : [ 8.11982702  3.45791054 16.85670917]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [ 6.03226228  3.32254594 16.10151592] : 54
O1 : [ 7.91284517  3.84304466 19.08736368] : 66
O1 : [ 9.54863538  5.13337496 16.43244582] : 50
O1 : [ 9.13109044  2.61210012 15.01337353] : 43
!!!atention to nb coordination!!!
         [2.224087892311866, 2.2731012523206617, 2.2424704568290696, 2.266260194973984]
         [2.224087892311866, 2.2731012523206617, 2.2424704568290696, 2.2662601949739845]


**isite= 3
Ho1 : [ 6.04477617  1.27461054 11.18819779]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [ 4.61596781  2.95007496 11.61246114] : 51
O1 : [ 5.03351275  0.42880012 13.03153343] : 42
O1 : [6.25175802 1.65974466 8.95754328] : 67
O1 : [ 8.1323409   1.13924594 11.94339104] : 55
!!!atention to nb coordination!!!
         [2.2424704568290705, 2.2662601949739845, 2.2731012523206635, 2.2240878923118665]
         [2.2424704568290705, 2.266260194973983, 2.273101252320663, 2.2240878923118643]


**isite= 4
Ho1 : [9.60812267 0.92864482 3.67315364]


**isite= 5
Ho1 : [6.75481173 3.11194482 5.67514868]


**isite= 6
Ho1 : [ 5.65564612  1.25465518 15.023451  ]


**isite= 7
Ho1 : [ 8.50895706  3.43795518 13.02145596]


**isite= 8
Ho1 : [1.32324177 0.90868946 1.83989547]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [-0.10556659 -0.76677496  2.26415882] : 78
O1 : [3.41080651 1.04405406 2.59508872] : 82
O1 : [ 1.53022362  0.52355534 -0.39075904] : 94
O1 : [0.31197835 1.75449988 3.68323111] : 71
!!!atention to nb coordination!!!
         [2.24247045682907, 2.2240878923118657, 2.2731012523206617, 2.266260194973985]
         [2.24247045682907, 2.2240878923118657, 2.273101252320661, 2.266260194973985]


**isite= 9
Ho1 : [3.39829262 3.09198946 7.50840685]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [4.82710098 1.41652504 7.0841435 ] : 79
O1 : [4.40955604 3.93779988 5.66507121] : 70
O1 : [1.31072789 3.22735406 6.7532136 ] : 83
O1 : [3.19131077 2.70685534 9.73906136] : 95
!!!atention to nb coordination!!!
         [2.242470456829071, 2.266260194973985, 2.224087892311865, 2.273101252320663]
         [2.2424704568290705, 2.266260194973985, 2.2240878923118657, 2.2731012523206617]


**isite= 10
Ho1 : [ 2.29912702  1.27461054 16.85670917]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [ 0.21156228  1.13924594 16.10151592] : 84
O1 : [ 3.31039044  0.42880012 15.01337353] : 73
O1 : [ 2.09214517  1.65974466 19.08736368] : 96
O1 : [ 3.72793538  2.95007496 16.43244582] : 80
!!!atention to nb coordination!!!
         [2.2240878923118648, 2.266260194973984, 2.2731012523206617, 2.2424704568290714]
         [2.2240878923118648, 2.2662601949739853, 2.2731012523206617, 2.242470456829071]


**isite= 11
Ho1 : [ 0.22407617  3.45791054 11.18819779]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [-1.20473219  5.13337496 11.61246114] : 81
O1 : [0.43105802 3.84304466 8.95754328] : 97
O1 : [ 2.3116409   3.32254594 11.94339104] : 85
O1 : [-0.78718725  2.61210012 13.03153343] : 72
!!!atention to nb coordination!!!
         [2.2424704568290705, 2.273101252320663, 2.224087892311865, 2.2662601949739853]
         [2.2424704568290705, 2.273101252320663, 2.2240878923118648, 2.2662601949739836]


**isite= 12
Ho1 : [3.78742267 3.11194482 3.67315364]


**isite= 13
Ho1 : [0.93411173 0.92864482 5.67514868]


**isite= 14
Ho1 : [-0.16505388  3.43795518 15.023451  ]


**isite= 15
Ho1 : [ 2.68825706  1.25465518 13.02145596]


**isite= 16
B1 : [9.61700165 0.84319046 0.47489376]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [10.11117638 -0.52355534  0.39075904] : 66
O1 : [ 9.31011498  1.29164028 -0.93483023] : 62
O1 : [8.15198502 0.89165972 0.93483023] : 60
O1 : [10.50142526  1.6309251   1.29941402] : 56
!!!atention to nb coordination!!!
         [1.4557751877559078, 1.5108303659873445, 1.5362827047918808, 1.4431093715166952]
         [1.455775187755908, 1.5108303659873454, 1.5362827047918808, 1.4431093715166943]


**isite= 17
B1 : [6.74593275 3.02649046 8.87340856]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [8.21094938 3.07495972 8.41347209] : 61
O1 : [ 7.05281941  3.47494028 10.28313255] : 63
O1 : [5.86150913 3.8142251  8.0488883 ] : 57
O1 : [6.25175802 1.65974466 8.95754328] : 67
!!!atention to nb coordination!!!
         [1.536282704791881, 1.5108303659873474, 1.443109371516696, 1.4557751877559075]
         [1.536282704791881, 1.5108303659873454, 1.4431093715166954, 1.4557751877559082]


**isite= 18
B1 : [ 5.64676714  1.34010954 18.22171088]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 5.15259241  2.70685534 18.3058456 ] : 64
O1 : [ 4.76234353  0.5523749  17.39719062] : 58
O1 : [ 5.95365381  0.89165972 19.63143487] : 60
O1 : [ 7.11178377  1.29164028 17.76177441] : 62
!!!atention to nb coordination!!!
         [1.4557751877559089, 1.4431093715166967, 1.510830365987347, 1.5362827047918794]
         [1.4557751877559089, 1.4431093715166972, 1.5108303659873437, 1.5362827047918794]


**isite= 19
B1 : [8.51783604 3.52340954 9.82319608]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [8.21094938 3.07495972 8.41347209] : 61
O1 : [ 7.05281941  3.47494028 10.28313255] : 63
O1 : [9.01201077 4.89015534 9.73906136] : 65
O1 : [ 9.40225966  2.7356749  10.64771634] : 59
!!!atention to nb coordination!!!
         [1.5108303659873457, 1.5362827047918814, 1.4557751877559073, 1.443109371516695]
         [1.5108303659873457, 1.536282704791882, 1.4557751877559073, 1.4431093715166938]


**isite= 20
B1 : [10.18030306  3.16884162  5.71368238]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [11.0918172   3.7902088   4.67415116] : 68
O1 : [10.23025604  1.75449988  5.66507121] : 40
O1 : [8.88177692 3.79370208 5.53980395] : 45
O1 : [10.64780098  3.59982504  7.0841435 ] : 49
!!!atention to nb coordination!!!
         [1.5157771420363613, 1.416058227574337, 1.4515007530524677, 1.5107828094514804]
         [1.5157771420363613, 1.416058227574337, 1.4515007530524693, 1.5107828094514804]


**isite= 21
B1 : [6.18263133 0.98554162 3.63461994]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 6.13267835 -0.42880012  3.68323111] : 41
O1 : [5.2711172  1.6069088  4.67415116] : 98
O1 : [7.48115747 1.61040208 3.80849837] : 44
O1 : [5.71513341 1.41652504 2.26415882] : 48
!!!atention to nb coordination!!!
         [1.416058227574337, 1.515777142036361, 1.451500753052471, 1.5107828094514812]
         [1.4160582275743367, 1.5157771420363615, 1.4515007530524702, 1.5107828094514812]


**isite= 22
B1 : [ 5.08346573  3.38105838 12.98292226]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 4.17195159  2.7596912  14.02245348] : 99
O1 : [ 4.61596781  2.95007496 11.61246114] : 51
O1 : [ 5.03351275  4.79540012 13.03153343] : 42
O1 : [ 6.38199187  2.75619792 13.15680068] : 47
!!!atention to nb coordination!!!
         [1.5157771420363644, 1.5107828094514808, 1.4160582275743367, 1.4515007530524693]
         [1.515777142036363, 1.5107828094514808, 1.4160582275743367, 1.4515007530524693]


**isite= 23
B1 : [ 9.08113746  1.19775838 15.0619847 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 9.13109044  2.61210012 15.01337353] : 43
O1 : [ 9.54863538  0.76677496 16.43244582] : 50
O1 : [ 7.78261132  0.57289792 14.88810627] : 46
O1 : [ 9.99265159  0.5763912  14.02245348] : 69
!!!atention to nb coordination!!!
         [1.4160582275743372, 1.5107828094514781, 1.4515007530524706, 1.5157771420363597]
         [1.4160582275743372, 1.5107828094514781, 1.451500753052471, 1.5157771420363608]


**isite= 24
B1 : [ 4.94655166  3.4758136  17.06813038]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 6.03226228  3.32254594 16.10151592] : 54
O1 : [ 5.15259241  2.70685534 18.3058456 ] : 64
O1 : [ 4.76234353  4.9189749  17.39719062] : 58
O1 : [ 3.72793538  2.95007496 16.43244582] : 80
!!!atention to nb coordination!!!
         [1.4617120262710248, 1.4716278678353358, 1.4916191924739923, 1.471571136453154]
         [1.4617120262710248, 1.4716278678353358, 1.4916191924739926, 1.471571136453155]


**isite= 25
B1 : [ 9.21805153  1.2925136  10.97677658]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 8.1323409   1.13924594 11.94339104] : 55
O1 : [10.43666781  0.76677496 11.61246114] : 81
O1 : [9.01201077 0.52355534 9.73906136] : 65
O1 : [ 9.40225966  2.7356749  10.64771634] : 59
!!!atention to nb coordination!!!
         [1.4617120262710257, 1.4715711364531545, 1.4716278678353347, 1.491619192473993]
         [1.461712026271026, 1.4715711364531558, 1.471627867835336, 1.4916191924739928]


**isite= 26
B1 : [10.31721713  3.0740864   1.62847426]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [11.53583341  3.59982504  2.26415882] : 78
O1 : [9.23150651 3.22735406 2.59508872] : 52
O1 : [10.50142526  1.6309251   1.29941402] : 56
O1 : [10.11117638  3.84304466  0.39075904] : 66
!!!atention to nb coordination!!!
         [1.4715711364531543, 1.4617120262710266, 1.491619192473993, 1.471627867835337]
         [1.4715711364531543, 1.4617120262710268, 1.4916191924739928, 1.471627867835337]


**isite= 27
B1 : [6.04571726 0.8907864  7.71982806]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [7.13142789 1.04405406 6.7532136 ] : 53
O1 : [6.25175802 1.65974466 8.95754328] : 67
O1 : [ 5.86150913 -0.5523749   8.0488883 ] : 57
O1 : [4.82710098 1.41652504 7.0841435 ] : 79
!!!atention to nb coordination!!!
         [1.4617120262710261, 1.4716278678353363, 1.491619192473993, 1.4715711364531536]
         [1.4617120262710253, 1.4716278678353358, 1.491619192473993, 1.4715711364531545]


**isite= 28
B1 : [3.79630165 3.02649046 0.47489376]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.68072526 3.8142251  1.29941402] : 86
O1 : [2.33128502 3.07495972 0.93483023] : 90
O1 : [4.29047638 1.65974466 0.39075904] : 96
O1 : [ 3.48941498  3.47494028 -0.93483023] : 92
!!!atention to nb coordination!!!
         [1.4431093715166963, 1.53628270479188, 1.455775187755909, 1.5108303659873437]
         [1.4431093715166963, 1.5362827047918803, 1.4557751877559089, 1.5108303659873445]


**isite= 29
B1 : [0.92523275 0.84319046 8.87340856]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [0.04080913 1.6309251  8.0488883 ] : 87
O1 : [2.39024938 0.89165972 8.41347209] : 91
O1 : [ 1.23211941  1.29164028 10.28313255] : 93
O1 : [ 0.43105802 -0.52355534  8.95754328] : 97
!!!atention to nb coordination!!!
         [1.443109371516697, 1.536282704791881, 1.5108303659873465, 1.4557751877559093]
         [1.443109371516697, 1.536282704791881, 1.5108303659873448, 1.4557751877559093]


**isite= 30
B1 : [-0.17393286  3.52340954 18.22171088]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [-0.66810759  4.89015534 18.3058456 ] : 94
O1 : [ 0.13295381  3.07495972 19.63143487] : 90
O1 : [-1.05835647  2.7356749  17.39719062] : 88
O1 : [ 1.29108377  3.47494028 17.76177441] : 92
!!!atention to nb coordination!!!
         [1.4557751877559089, 1.5108303659873465, 1.443109371516698, 1.5362827047918803]
         [1.4557751877559086, 1.5108303659873432, 1.4431093715166978, 1.5362827047918803]


**isite= 31
B1 : [2.69713604 1.34010954 9.82319608]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [3.19131077 2.70685534 9.73906136] : 95
O1 : [2.39024938 0.89165972 8.41347209] : 91
O1 : [ 1.23211941  1.29164028 10.28313255] : 93
O1 : [ 3.58155966  0.5523749  10.64771634] : 89
!!!atention to nb coordination!!!
         [1.4557751877559089, 1.5108303659873448, 1.536282704791881, 1.443109371516697]
         [1.4557751877559089, 1.5108303659873448, 1.5362827047918808, 1.443109371516697]


**isite= 32
B1 : [4.35960306 0.98554162 5.71368238]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [3.06107692 1.61040208 5.53980395] : 75
O1 : [ 4.40955604 -0.42880012  5.66507121] : 70
O1 : [5.2711172  1.6069088  4.67415116] : 98
O1 : [4.82710098 1.41652504 7.0841435 ] : 79
!!!atention to nb coordination!!!
         [1.4515007530524677, 1.4160582275743372, 1.515777142036363, 1.5107828094514808]
         [1.4515007530524686, 1.416058227574337, 1.5157771420363624, 1.5107828094514806]


**isite= 33
B1 : [0.36193133 3.16884162 3.63461994]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [-0.10556659  3.59982504  2.26415882] : 78
O1 : [0.31197835 1.75449988 3.68323111] : 71
O1 : [1.66045747 3.79370208 3.80849837] : 74
O1 : [-0.5495828   3.7902088   4.67415116] : 68
!!!atention to nb coordination!!!
         [1.5107828094514812, 1.4160582275743367, 1.4515007530524693, 1.5157771420363617]
         [1.5107828094514812, 1.4160582275743367, 1.4515007530524688, 1.5157771420363617]


**isite= 34
B1 : [-0.73723427  1.19775838 12.98292226]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 0.56129187  0.57289792 13.15680068] : 77
O1 : [-1.64874841  0.5763912  14.02245348] : 69
O1 : [-1.20473219  0.76677496 11.61246114] : 81
O1 : [-0.78718725  2.61210012 13.03153343] : 72
!!!atention to nb coordination!!!
         [1.451500753052469, 1.5157771420363644, 1.5107828094514806, 1.4160582275743372]
         [1.4515007530524688, 1.5157771420363626, 1.5107828094514806, 1.4160582275743372]


**isite= 35
B1 : [ 3.26043746  3.38105838 15.0619847 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 1.96191132  2.75619792 14.88810627] : 76
O1 : [ 3.31039044  4.79540012 15.01337353] : 73
O1 : [ 3.72793538  2.95007496 16.43244582] : 80
O1 : [ 4.17195159  2.7596912  14.02245348] : 99
!!!atention to nb coordination!!!
         [1.4515007530524684, 1.4160582275743367, 1.5107828094514795, 1.5157771420363606]
         [1.4515007530524686, 1.4160582275743367, 1.510782809451479, 1.5157771420363617]


**isite= 36
B1 : [-0.87414834  1.2925136  17.06813038]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 0.21156228  1.13924594 16.10151592] : 84
O1 : [-0.66810759  0.52355534 18.3058456 ] : 94
O1 : [-1.05835647  2.7356749  17.39719062] : 88
O1 : [-2.09276462  0.76677496 16.43244582] : 50
!!!atention to nb coordination!!!
         [1.4617120262710255, 1.471627867835336, 1.4916191924739928, 1.4715711364531556]
         [1.4617120262710253, 1.471627867835336, 1.4916191924739926, 1.4715711364531545]


**isite= 37
B1 : [ 3.39735153  3.4758136  10.97677658]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 3.58155966  4.9189749  10.64771634] : 89
O1 : [ 4.61596781  2.95007496 11.61246114] : 51
O1 : [3.19131077 2.70685534 9.73906136] : 95
O1 : [ 2.3116409   3.32254594 11.94339104] : 85
!!!atention to nb coordination!!!
         [1.4916191924739928, 1.471571136453154, 1.4716278678353345, 1.4617120262710275]
         [1.4916191924739928, 1.471571136453154, 1.471627867835336, 1.4617120262710261]


**isite= 38
B1 : [4.49651713 0.8907864  1.62847426]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 4.68072526 -0.5523749   1.29941402] : 86
O1 : [4.29047638 1.65974466 0.39075904] : 96
O1 : [3.41080651 1.04405406 2.59508872] : 82
O1 : [5.71513341 1.41652504 2.26415882] : 48


**isite= 39
B1 : [0.22501726 3.0740864  7.71982806]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [-0.99359902  3.59982504  7.0841435 ] : 49
O1 : [1.31072789 3.22735406 6.7532136 ] : 83
O1 : [0.43105802 3.84304466 8.95754328] : 97
O1 : [0.04080913 1.6309251  8.0488883 ] : 87
!!!atention to nb coordination!!!
         [1.471571136453154, 1.461712026271025, 1.4716278678353358, 1.4916191924739928]
         [1.471571136453154, 1.4617120262710257, 1.4716278678353358, 1.4916191924739928]


**isite= 40
O1 : [10.23025604  1.75449988  5.66507121]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [10.18030306  3.16884162  5.71368238] : 20
!!!atention to nb coordination!!!
         [1.4160582275743367]
         [1.416058227574337]


**isite= 41
O1 : [6.13267835 3.93779988 3.68323111]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [6.18263133 5.35214162 3.63461994] : 21


**isite= 42
O1 : [ 5.03351275  0.42880012 13.03153343]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [ 5.08346573 -0.98554162 12.98292226] : 22


**isite= 43
O1 : [ 9.13109044  2.61210012 15.01337353]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [ 9.08113746  1.19775838 15.0619847 ] : 23


**isite= 44
O1 : [7.48115747 1.61040208 3.80849837]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [6.18263133 0.98554162 3.63461994] : 21
!!!atention to nb coordination!!!
         [1.4515007530524693]
         [1.4515007530524702]


**isite= 45
O1 : [8.88177692 3.79370208 5.53980395]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [10.18030306  3.16884162  5.71368238] : 20
!!!atention to nb coordination!!!
         [1.451500753052471]
         [1.4515007530524693]


**isite= 46
O1 : [ 7.78261132  0.57289792 14.88810627]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [ 9.08113746  1.19775838 15.0619847 ] : 23
!!!atention to nb coordination!!!
         [1.4515007530524726]
         [1.451500753052471]


**isite= 47
O1 : [ 6.38199187  2.75619792 13.15680068]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [ 5.08346573  3.38105838 12.98292226] : 22


**isite= 48
O1 : [5.71513341 1.41652504 2.26415882]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [6.18263133 0.98554162 3.63461994] : 21
B1 : [4.49651713 0.8907864  1.62847426] : 38
!!!atention to nb coordination!!!
         [1.510782809451482, 1.471571136453154]
         [1.5107828094514812, 1.471571136453154]


**isite= 49
O1 : [10.64780098  3.59982504  7.0841435 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [11.86641726  3.0740864   7.71982806] : 39
B1 : [10.18030306  3.16884162  5.71368238] : 20
!!!atention to nb coordination!!!
         [1.471571136453155, 1.510782809451479]
         [1.4715711364531545, 1.5107828094514804]


**isite= 50
O1 : [ 9.54863538  0.76677496 16.43244582]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [10.76725166  1.2925136  17.06813038] : 36
B1 : [ 9.08113746  1.19775838 15.0619847 ] : 23
!!!atention to nb coordination!!!
         [1.4715711364531567, 1.510782809451476]
         [1.4715711364531552, 1.5107828094514781]


**isite= 51
O1 : [ 4.61596781  2.95007496 11.61246114]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 5.08346573  3.38105838 12.98292226] : 22
B1 : [ 3.39735153  3.4758136  10.97677658] : 37
!!!atention to nb coordination!!!
         [1.5107828094514808, 1.4715711364531543]
         [1.5107828094514808, 1.471571136453154]


**isite= 52
O1 : [9.23150651 3.22735406 2.59508872]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [10.31721713  3.0740864   1.62847426] : 26
!!!atention to nb coordination!!!
         [1.461712026271028]
         [1.4617120262710268]


**isite= 53
O1 : [7.13142789 1.04405406 6.7532136 ]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [6.04571726 0.8907864  7.71982806] : 27


**isite= 54
O1 : [ 6.03226228  3.32254594 16.10151592]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [ 4.94655166  3.4758136  17.06813038] : 24
!!!atention to nb coordination!!!
         [1.4617120262710273]
         [1.4617120262710248]


**isite= 55
O1 : [ 8.1323409   1.13924594 11.94339104]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [ 9.21805153  1.2925136  10.97677658] : 25


**isite= 56
O1 : [10.50142526  1.6309251   1.29941402]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [10.31721713  3.0740864   1.62847426] : 26
B1 : [9.61700165 0.84319046 0.47489376] : 16
!!!atention to nb coordination!!!
         [1.4916191924739926, 1.4431093715166932]
         [1.4916191924739928, 1.4431093715166943]


**isite= 57
O1 : [5.86150913 3.8142251  8.0488883 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [6.04571726 5.2573864  7.71982806] : 27
B1 : [6.74593275 3.02649046 8.87340856] : 17
!!!atention to nb coordination!!!
         [1.4916191924739928, 1.4431093715166956]
         [1.4916191924739928, 1.4431093715166954]


**isite= 58
O1 : [ 4.76234353  0.5523749  17.39719062]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 5.64676714  1.34010954 18.22171088] : 18
B1 : [ 4.94655166 -0.8907864  17.06813038] : 24
!!!atention to nb coordination!!!
         [1.4431093715166992, 1.491619192473991]
         [1.4431093715166972, 1.4916191924739926]


**isite= 59
O1 : [ 9.40225966  2.7356749  10.64771634]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [8.51783604 3.52340954 9.82319608] : 19
B1 : [ 9.21805153  1.2925136  10.97677658] : 25
!!!atention to nb coordination!!!
