cif name= ./2105418.cif
./2105418.cif
Full Formula (Cu30 B20 O60)
 47  B     0.1204   0.0574   0.3154
 48  B     0.7214   0.5606   0.1182
 49  B     0.2786   0.4394   0.8818
 50  O     0.2374   0.9015   0.9798
 51  O     0.7626   0.0985   0.0202
 52  O     0.5692   0.7002   0.6022
 53  O     0.4308   0.2998   0.3978
 54  O     0.7666   0.5438   0.1874
 55  O     0.2334   0.4562   0.8126
 56  O     0.5294   0.7889   0.9484
 57  O     0.4706   0.2111   0.0516
 58  O     0.8308   0.5922   0.8634
 59  O     0.1692   0.4078   0.1366
 60  O     0.0394   0.8872   0.6331
 61  O     0.9606   0.1128   0.3669
 62  O     0.8694   0.8211   0.2677
 63  O     0.1306   0.1789   0.7323
 64  O     0.866    0.8495   0.1115
 65  O     0.134    0.1505   0.8885
 66  O     0.4954   0.8733   0.858
 67  O     0.5046   0.1267   0.142
 68  O     0.6772   0.6908   0.4731
 69  O     0.3228   0.3092   0.5269
 70  O     0.2026   0.9903   0.3339
 71  O     0.7974   0.0097   0.6661
 72  O     0.0934   0.7067   0.2406
 73  O     0.9066   0.2933   0.7594
 74  O     0.178    0.4765   0.9445
 75  O     0.822    0.5235   0.0555
 76  O     0.9166   0.7324   0.8203
 77  O     0.0834   0.2676   0.1797
 78  O     0.121    0.547    0.414
 79  O     0.879    0.453    0.586
 80  O     0.5664   0.8886   0.4007
 81  O     0.4336   0.1114   0.5993
 82  O     0.1738   0.9557   0.5339
 83  O     0.8262   0.0443   0.4661
 84  O     0.5688   0.5236   0.6925
 85  O     0.4312   0.4764   0.3075
 86  O     0.5072   0.6271   0.1183
 87  O     0.4928   0.3729   0.8817
 88  O     0.5208   0.6458   0.9908
 89  O     0.4792   0.3542   0.0092
 90  O     0.8606   0.9794   0.0993
 91  O     0.1394   0.0206   0.9007
 92  O     0.2156   0.7305   0.0807
 93  O     0.7844   0.2695   0.9193
 94  O     0.4052   0.6073   0.3261
 95  O     0.5948   0.3927   0.6739
 96  O     0.2112   0.6418   0.7321
 97  O     0.7888   0.3582   0.2679
 98  O     0.2936   0.8251   0.5296
 99  O     0.7064   0.1749   0.4704
100  O     0.781    0.5903   0.5497
101  O     0.219    0.4097   0.4503
102  O     0.2008   0.7712   0.7219
103  O     0.7992   0.2288   0.2781
104  O     0.5846   0.9378   0.2014
105  O     0.4154   0.0622   0.7986
106  O     0.8354   0.9226   0.7527
107  O     0.1646   0.0774   0.2473
108  O     0.9768   0.7496   0.368
109  O     0.0232   0.2504   0.632

space_group_IT_number 2

*** lse ***


**isite= 0
Cu1 : [ 1.27044978 16.02444898 15.11265442]

ce_symbol  = S:5
ce_fraction=  0.944300559641078
species:coords:index
O1 : [ 1.34434579 14.23141245 15.68901546] : 66
O1 : [-0.8711265  15.36217652 13.76354538] : 106
O1 : [ 0.10746613 16.84907189 16.46980912] : 91
O1 : [ 1.03211699 17.83143262 14.60285285] : 105
O1 : [ 2.4818735  15.36217652 13.76354538] : 106
!!!atention to nb coordination!!!
         [1.8848428737167295, 1.9683502640461348, 1.8925881869431394, 2.2909230459671037, 1.9303490536497374]
         [1.8848428737167293, 2.616304451214019, 1.9683502640461348, 1.89258818694314, 1.9303490536497374]

ce_symbol  = S:4
ce_fraction=  0.04527794543151574
species:coords:index
O1 : [ 1.34434579 14.23141245 15.68901546] : 66
O1 : [ 0.10746613 16.84907189 16.46980912] : 91
O1 : [ 1.03211699 17.83143262 14.60285285] : 105
O1 : [ 2.4818735  15.36217652 13.76354538] : 106
!!!atention to nb coordination!!!
         [1.8848428737167295, 1.9683502640461348, 1.8925881869431394, 1.9303490536497374]
         [1.8848428737167293, 1.9683502640461348, 1.89258818694314, 1.9303490536497374]

ce_symbol  = T:5
ce_fraction=  0.009332091648072884
species:coords:index
O1 : [ 1.34434579 14.23141245 15.68901546] : 66
O1 : [-0.8711265  15.36217652 13.76354538] : 106
O1 : [ 0.10746613 16.84907189 16.46980912] : 91
O1 : [ 1.03211699 17.83143262 14.60285285] : 105
O1 : [ 2.4818735  15.36217652 13.76354538] : 106
!!!atention to nb coordination!!!
         [1.8848428737167295, 1.9683502640461348, 1.8925881869431394, 2.2909230459671037, 1.9303490536497374]
         [1.8848428737167293, 2.616304451214019, 1.9683502640461348, 1.89258818694314, 1.9303490536497374]

ce_symbol  = SY:4
ce_fraction=  0.001089403279333346
species:coords:index
O1 : [ 1.34434579 14.23141245 15.68901546] : 66
O1 : [ 0.10746613 16.84907189 16.46980912] : 91
O1 : [ 1.03211699 17.83143262 14.60285285] : 105
O1 : [ 2.4818735  15.36217652 13.76354538] : 106
!!!atention to nb coordination!!!
         [1.8848428737167295, 1.9683502640461348, 1.8925881869431394, 1.9303490536497374]
         [1.8848428737167293, 1.9683502640461348, 1.89258818694314, 1.9303490536497374]


**isite= 1
Cu1 : [1.71811436 0.23437704 3.17291138]

ce_symbol  = S:5
ce_fraction=  0.9443005596410803
species:coords:index
O1 : [1.64421835 2.02741357 2.59655034] : 67
O1 : [0.50669064 0.8966495  4.52202042] : 107
O1 : [3.85969064 0.8966495  4.52202042] : 107
O1 : [ 1.95644716 -1.57260661  3.68271295] : 104
O1 : [ 2.88109801 -0.59024587  1.81575668] : 90
!!!atention to nb coordination!!!
         [1.8848428737167304, 1.9303490536497387, 1.8925881869431382, 1.9683502640461348, 2.290923045967104]
         [1.8848428737167304, 1.9303490536497387, 2.61630445121402, 1.892588186943138, 1.9683502640461346]

ce_symbol  = S:4
ce_fraction=  0.04527794543151359
species:coords:index
O1 : [1.64421835 2.02741357 2.59655034] : 67
O1 : [0.50669064 0.8966495  4.52202042] : 107
O1 : [ 1.95644716 -1.57260661  3.68271295] : 104
O1 : [ 2.88109801 -0.59024587  1.81575668] : 90
!!!atention to nb coordination!!!
         [1.8848428737167304, 1.9303490536497387, 1.8925881869431382, 1.9683502640461348]
         [1.8848428737167304, 1.9303490536497387, 1.892588186943138, 1.9683502640461346]

ce_symbol  = T:5
ce_fraction=  0.009332091648072836
species:coords:index
O1 : [1.64421835 2.02741357 2.59655034] : 67
O1 : [0.50669064 0.8966495  4.52202042] : 107
O1 : [3.85969064 0.8966495  4.52202042] : 107
O1 : [ 1.95644716 -1.57260661  3.68271295] : 104
O1 : [ 2.88109801 -0.59024587  1.81575668] : 90
!!!atention to nb coordination!!!
         [1.8848428737167304, 1.9303490536497387, 1.8925881869431382, 1.9683502640461348, 2.290923045967104]
         [1.8848428737167304, 1.9303490536497387, 2.61630445121402, 1.892588186943138, 1.9683502640461346]

ce_symbol  = SY:4
ce_fraction=  0.0010894032793333072
species:coords:index
O1 : [1.64421835 2.02741357 2.59655034] : 67
O1 : [0.50669064 0.8966495  4.52202042] : 107
O1 : [ 1.95644716 -1.57260661  3.68271295] : 104
O1 : [ 2.88109801 -0.59024587  1.81575668] : 90
!!!atention to nb coordination!!!
         [1.8848428737167304, 1.9303490536497387, 1.8925881869431382, 1.9683502640461348]
         [1.8848428737167304, 1.9303490536497387, 1.892588186943138, 1.9683502640461346]


**isite= 2
Cu1 : [ 0.4388926  14.9418654   0.58294384]

ce_symbol  = S:4
ce_fraction=  0.9733741304764434
species:coords:index
O1 : [ 1.57170304 14.61634149 -0.9435352 ] : 56
O1 : [ 0.55971912 16.6199919  -0.36936843] : 50
O1 : [ 0.52172693 13.26075107  1.47564516] : 92
O1 : [-0.68502152 15.38336371  2.03884059] : 64
!!!atention to nb coordination!!!
         [1.9285651487668123, 1.933288975162144, 1.9052355619387782, 1.8914912268936281]
         [1.9285651487668136, 1.9332889751621445, 1.9052355619387782, 1.891491226893628]

ce_symbol  = SY:4
ce_fraction=  0.0266258695235566
species:coords:index
O1 : [ 1.57170304 14.61634149 -0.9435352 ] : 56
O1 : [ 0.55971912 16.6199919  -0.36936843] : 50
O1 : [ 0.52172693 13.26075107  1.47564516] : 92
O1 : [-0.68502152 15.38336371  2.03884059] : 64
!!!atention to nb coordination!!!
         [1.9285651487668123, 1.933288975162144, 1.9052355619387782, 1.8914912268936281]
         [1.9285651487668136, 1.9332889751621445, 1.9052355619387782, 1.891491226893628]


**isite= 3
Cu1 : [ 2.54967154  1.31696062 17.70262196]

ce_symbol  = S:4
ce_fraction=  0.973374130476443
species:coords:index
O1 : [ 3.67358567  0.87546231 16.24672521] : 65
O1 : [ 2.42884502 -0.36116588 18.65493423] : 51
O1 : [ 2.46683722  2.99807495 16.80992064] : 93
O1 : [ 1.41686111  1.64248453 19.22910099] : 57
!!!atention to nb coordination!!!
         [1.891491226893629, 1.933288975162146, 1.9052355619387769, 1.9285651487668123]
         [1.8914912268936284, 1.9332889751621463, 1.9052355619387769, 1.9285651487668125]

ce_symbol  = SY:4
ce_fraction=  0.026625869523556982
species:coords:index
O1 : [ 3.67358567  0.87546231 16.24672521] : 65
O1 : [ 2.42884502 -0.36116588 18.65493423] : 51
O1 : [ 2.46683722  2.99807495 16.80992064] : 93
O1 : [ 1.41686111  1.64248453 19.22910099] : 57
!!!atention to nb coordination!!!
         [1.891491226893629, 1.933288975162146, 1.9052355619387769, 1.9285651487668123]
         [1.8914912268936284, 1.9332889751621463, 1.9052355619387769, 1.9285651487668125]


**isite= 4
Cu1 : [-0.20361526 13.90608892  3.13597453]

ce_symbol  = S:4
ce_fraction=  0.9615252276589424
species:coords:index
O1 : [ 0.10227679 12.48262177  4.39950713] : 72
O1 : [-0.68502152 15.38336371  2.03884059] : 64
O1 : [ 0.52172693 13.26075107  1.47564516] : 92
O1 : [-0.68174854 14.52852736  4.89504596] : 62
!!!atention to nb coordination!!!
         [1.9277819597158137, 1.9020503908148743, 1.923350165783309, 1.9262329395256]
         [1.9277819597158137, 1.902050390814873, 1.923350165783309, 1.926232939525599]

ce_symbol  = SY:4
ce_fraction=  0.03830789166386491
species:coords:index
O1 : [ 0.10227679 12.48262177  4.39950713] : 72
O1 : [-0.68502152 15.38336371  2.03884059] : 64
O1 : [ 0.52172693 13.26075107  1.47564516] : 92
O1 : [-0.68174854 14.52852736  4.89504596] : 62
!!!atention to nb coordination!!!
         [1.9277819597158137, 1.9020503908148743, 1.923350165783309, 1.9262329395256]
         [1.9277819597158137, 1.902050390814873, 1.923350165783309, 1.926232939525599]

ce_symbol  = SS:4
ce_fraction=  0.00016688067719265447
species:coords:index
O1 : [ 0.10227679 12.48262177  4.39950713] : 72
O1 : [-0.68502152 15.38336371  2.03884059] : 64
O1 : [ 0.52172693 13.26075107  1.47564516] : 92
O1 : [-0.68174854 14.52852736  4.89504596] : 62
!!!atention to nb coordination!!!
         [1.9277819597158137, 1.9020503908148743, 1.923350165783309, 1.9262329395256]
         [1.9277819597158137, 1.902050390814873, 1.923350165783309, 1.926232939525599]


**isite= 5
Cu1 : [ 3.1921794   2.3527371  15.14959126]

ce_symbol  = S:4
ce_fraction=  0.9615252276589425
species:coords:index
O1 : [ 3.67031268  1.73029866 13.39051983] : 63
O1 : [ 2.88628735  3.77620424 13.88605867] : 73
O1 : [ 2.46683722  2.99807495 16.80992064] : 93
O1 : [ 3.67358567  0.87546231 16.24672521] : 65
!!!atention to nb coordination!!!
         [1.9262329395255973, 1.9277819597158155, 1.923350165783309, 1.9020503908148714]
         [1.9262329395255988, 1.9277819597158157, 1.923350165783309, 1.902050390814871]

ce_symbol  = SY:4
ce_fraction=  0.03830789166386484
species:coords:index
O1 : [ 3.67031268  1.73029866 13.39051983] : 63
O1 : [ 2.88628735  3.77620424 13.88605867] : 73
O1 : [ 2.46683722  2.99807495 16.80992064] : 93
O1 : [ 3.67358567  0.87546231 16.24672521] : 65
!!!atention to nb coordination!!!
         [1.9262329395255973, 1.9277819597158155, 1.923350165783309, 1.9020503908148714]
         [1.9262329395255988, 1.9277819597158157, 1.923350165783309, 1.902050390814871]

ce_symbol  = SS:4
ce_fraction=  0.00016688067719264476
species:coords:index
O1 : [ 3.67031268  1.73029866 13.39051983] : 63
O1 : [ 2.88628735  3.77620424 13.88605867] : 73
O1 : [ 2.46683722  2.99807495 16.80992064] : 93
O1 : [ 3.67358567  0.87546231 16.24672521] : 65
!!!atention to nb coordination!!!
         [1.9262329395255973, 1.9277819597158155, 1.923350165783309, 1.9020503908148714]
         [1.9262329395255988, 1.9277819597158157, 1.923350165783309, 1.902050390814871]


**isite= 6
Cu1 : [ 2.57693354 13.54821315 14.42328859]

ce_symbol  = O:6
ce_fraction=  0.9756866736713276
species:coords:index
O1 : [ 1.34434579 14.23141245 15.68901546] : 66
O1 : [ 4.69734579 14.23141245 15.68901546] : 66
O1 : [ 2.4818735  15.36217652 13.76354538] : 106
O1 : [ 3.75016406 12.64378563 13.20034995] : 102
O1 : [ 2.79764879 11.72079065 14.99964963] : 76
O1 : [ 0.39716406 12.64378563 13.20034995] : 102
!!!atention to nb coordination!!!
         [1.8942276365281987, 2.562220502648532, 1.9325528763022894, 1.920947138374355, 1.928828723670301, 2.6579998197483743]
         [1.8942276365281987, 2.562220502648532, 1.9325528763022894, 1.9209471383743557, 1.9288287236703012, 2.6579998197483747]

ce_symbol  = S:4
ce_fraction=  0.023574818996560713
species:coords:index
O1 : [ 1.34434579 14.23141245 15.68901546] : 66
O1 : [ 2.4818735  15.36217652 13.76354538] : 106
O1 : [ 3.75016406 12.64378563 13.20034995] : 102
O1 : [ 2.79764879 11.72079065 14.99964963] : 76
!!!atention to nb coordination!!!
         [1.8942276365281987, 1.9325528763022894, 1.920947138374355, 1.928828723670301]
         [1.8942276365281987, 1.9325528763022894, 1.9209471383743557, 1.9288287236703012]

ce_symbol  = SY:4
ce_fraction=  0.000720052448354789
species:coords:index
O1 : [ 1.34434579 14.23141245 15.68901546] : 66
O1 : [ 2.4818735  15.36217652 13.76354538] : 106
O1 : [ 3.75016406 12.64378563 13.20034995] : 102
O1 : [ 2.79764879 11.72079065 14.99964963] : 76
!!!atention to nb coordination!!!
         [1.8942276365281987, 1.9325528763022894, 1.920947138374355, 1.928828723670301]
         [1.8942276365281987, 1.9325528763022894, 1.9209471383743557, 1.9288287236703012]

ce_symbol  = S:5
ce_fraction=  1.830746393983317e-05
species:coords:index
O1 : [ 1.34434579 14.23141245 15.68901546] : 66
O1 : [ 4.69734579 14.23141245 15.68901546] : 66
O1 : [ 2.4818735  15.36217652 13.76354538] : 106
O1 : [ 3.75016406 12.64378563 13.20034995] : 102
O1 : [ 2.79764879 11.72079065 14.99964963] : 76
!!!atention to nb coordination!!!
         [1.8942276365281987, 2.562220502648532, 1.9325528763022894, 1.920947138374355, 1.928828723670301]
         [1.8942276365281987, 2.562220502648532, 1.9325528763022894, 1.9209471383743557, 1.9288287236703012]

ce_symbol  = T:5
ce_fraction=  1.474198170758286e-07
species:coords:index
O1 : [ 1.34434579 14.23141245 15.68901546] : 66
O1 : [ 4.69734579 14.23141245 15.68901546] : 66
O1 : [ 2.4818735  15.36217652 13.76354538] : 106
O1 : [ 3.75016406 12.64378563 13.20034995] : 102
O1 : [ 2.79764879 11.72079065 14.99964963] : 76
!!!atention to nb coordination!!!
         [1.8942276365281987, 2.562220502648532, 1.9325528763022894, 1.920947138374355, 1.928828723670301]
         [1.8942276365281987, 2.562220502648532, 1.9325528763022894, 1.9209471383743557, 1.9288287236703012]


**isite= 7
Cu1 : [0.4116306  2.71061287 3.86227721]

ce_symbol  = O:6
ce_fraction=  0.9756866736713269
species:coords:index
O1 : [-0.76159992  3.61504039  5.08521585] : 103
O1 : [0.50669064 0.8966495  4.52202042] : 107
O1 : [-1.70878165  2.02741357  2.59655034] : 67
O1 : [2.59140008 3.61504039 5.08521585] : 103
O1 : [1.64421835 2.02741357 2.59655034] : 67
O1 : [0.19091535 4.53803536 3.28591617] : 77
!!!atention to nb coordination!!!
         [1.9209471383743564, 1.9325528763022886, 2.562220502648532, 2.657999819748375, 1.894227636528199, 1.928828723670301]
         [1.9209471383743562, 1.9325528763022886, 2.562220502648532, 2.6579998197483747, 1.894227636528199, 1.9288287236703012]

ce_symbol  = S:4
ce_fraction=  0.02357481899656142
species:coords:index
O1 : [-0.76159992  3.61504039  5.08521585] : 103
O1 : [0.50669064 0.8966495  4.52202042] : 107
O1 : [1.64421835 2.02741357 2.59655034] : 67
O1 : [0.19091535 4.53803536 3.28591617] : 77
!!!atention to nb coordination!!!
         [1.9209471383743564, 1.9325528763022886, 1.894227636528199, 1.928828723670301]
         [1.9209471383743562, 1.9325528763022886, 1.894227636528199, 1.9288287236703012]

ce_symbol  = SY:4
ce_fraction=  0.0007200524483548114
species:coords:index
O1 : [-0.76159992  3.61504039  5.08521585] : 103
O1 : [0.50669064 0.8966495  4.52202042] : 107
O1 : [1.64421835 2.02741357 2.59655034] : 67
O1 : [0.19091535 4.53803536 3.28591617] : 77
!!!atention to nb coordination!!!
         [1.9209471383743564, 1.9325528763022886, 1.894227636528199, 1.928828723670301]
         [1.9209471383743562, 1.9325528763022886, 1.894227636528199, 1.9288287236703012]

ce_symbol  = S:5
ce_fraction=  1.830746393982491e-05
species:coords:index
O1 : [-0.76159992  3.61504039  5.08521585] : 103
O1 : [0.50669064 0.8966495  4.52202042] : 107
O1 : [-1.70878165  2.02741357  2.59655034] : 67
O1 : [1.64421835 2.02741357 2.59655034] : 67
O1 : [0.19091535 4.53803536 3.28591617] : 77
!!!atention to nb coordination!!!
         [1.9209471383743564, 1.9325528763022886, 2.562220502648532, 1.894227636528199, 1.928828723670301]
         [1.9209471383743562, 1.9325528763022886, 2.562220502648532, 1.894227636528199, 1.9288287236703012]

ce_symbol  = T:5
ce_fraction=  1.4741981707576292e-07
species:coords:index
O1 : [-0.76159992  3.61504039  5.08521585] : 103
O1 : [0.50669064 0.8966495  4.52202042] : 107
O1 : [-1.70878165  2.02741357  2.59655034] : 67
O1 : [1.64421835 2.02741357 2.59655034] : 67
O1 : [0.19091535 4.53803536 3.28591617] : 77
!!!atention to nb coordination!!!
         [1.9209471383743564, 1.9325528763022886, 2.562220502648532, 1.894227636528199, 1.928828723670301]
         [1.9209471383743562, 1.9325528763022886, 2.562220502648532, 1.894227636528199, 1.9288287236703012]


**isite= 8
Cu1 : [ 1.78504376 13.72409587  8.07161446]

ce_symbol  = S:5
ce_fraction=  0.9438361046813544
species:coords:index
O1 : [-0.31277518 13.00019182  6.72908821] : 108
O1 : [ 1.62413694 15.48652296  7.32702622] : 80
O1 : [ 2.04068959 11.69516557  8.65090118] : 68
O1 : [ 3.04022482 13.00019182  6.72908821] : 108
O1 : [ 0.7133223  14.04439257  9.68403565] : 98
!!!atention to nb coordination!!!
         [2.593695830990388, 1.9200135227126613, 2.1254378514899006, 1.975321057203616, 1.9624166148288147]
         [2.5936958309903884, 1.9200135227126613, 2.125437851489902, 1.9753210572036166, 1.9624166148288145]

ce_symbol  = S:4
ce_fraction=  0.03584776414574581
species:coords:index
O1 : [ 1.62413694 15.48652296  7.32702622] : 80
O1 : [ 2.04068959 11.69516557  8.65090118] : 68
O1 : [ 3.04022482 13.00019182  6.72908821] : 108
O1 : [ 0.7133223  14.04439257  9.68403565] : 98
!!!atention to nb coordination!!!
         [1.9200135227126613, 2.1254378514899006, 1.975321057203616, 1.9624166148288147]
         [1.9200135227126613, 2.125437851489902, 1.9753210572036166, 1.9624166148288145]

ce_symbol  = T:5
ce_fraction=  0.019921593012553744
species:coords:index
O1 : [-0.31277518 13.00019182  6.72908821] : 108
O1 : [ 1.62413694 15.48652296  7.32702622] : 80
O1 : [ 2.04068959 11.69516557  8.65090118] : 68
O1 : [ 3.04022482 13.00019182  6.72908821] : 108
O1 : [ 0.7133223  14.04439257  9.68403565] : 98
!!!atention to nb coordination!!!
         [2.593695830990388, 1.9200135227126613, 2.1254378514899006, 1.975321057203616, 1.9624166148288147]
         [2.5936958309903884, 1.9200135227126613, 2.125437851489902, 1.9753210572036166, 1.9624166148288145]

ce_symbol  = SY:4
ce_fraction=  0.00038803438895136926
species:coords:index
O1 : [ 1.62413694 15.48652296  7.32702622] : 80
O1 : [ 2.04068959 11.69516557  8.65090118] : 68
O1 : [ 3.04022482 13.00019182  6.72908821] : 108
O1 : [ 0.7133223  14.04439257  9.68403565] : 98
!!!atention to nb coordination!!!
         [1.9200135227126613, 2.1254378514899006, 1.975321057203616, 1.9624166148288147]
         [1.9200135227126613, 2.125437851489902, 1.9753210572036166, 1.9624166148288145]

ce_symbol  = SS:4
ce_fraction=  6.503771394737506e-06
species:coords:index
O1 : [ 1.62413694 15.48652296  7.32702622] : 80
O1 : [ 2.04068959 11.69516557  8.65090118] : 68
O1 : [ 3.04022482 13.00019182  6.72908821] : 108
O1 : [ 0.7133223  14.04439257  9.68403565] : 98
!!!atention to nb coordination!!!
         [1.9200135227126613, 2.1254378514899006, 1.975321057203616, 1.9624166148288147]
         [1.9200135227126613, 2.125437851489902, 1.9753210572036166, 1.9624166148288145]


**isite= 9
Cu1 : [ 1.20352038  2.53473015 10.21395134]

ce_symbol  = S:5
ce_fraction=  0.9438361046813548
species:coords:index
O1 : [ 3.30133932  3.2586342  11.55647759] : 109
O1 : [ 1.3644272   0.77230305 10.95853958] : 81
O1 : [2.27524185 2.21443345 8.60153015] : 99
O1 : [0.94787456 4.56366045 9.63466462] : 69
O1 : [-0.05166068  3.2586342  11.55647759] : 109
!!!atention to nb coordination!!!
         [2.5936958309903884, 1.9200135227126611, 1.9624166148288147, 2.1254378514899037, 1.9753210572036155]
         [2.5936958309903884, 1.9200135227126605, 1.9624166148288145, 2.1254378514899037, 1.9753210572036157]

ce_symbol  = S:4
ce_fraction=  0.03584776414574547
species:coords:index
O1 : [ 1.3644272   0.77230305 10.95853958] : 81
O1 : [2.27524185 2.21443345 8.60153015] : 99
O1 : [0.94787456 4.56366045 9.63466462] : 69
O1 : [-0.05166068  3.2586342  11.55647759] : 109
!!!atention to nb coordination!!!
         [1.9200135227126611, 1.9624166148288147, 2.1254378514899037, 1.9753210572036155]
         [1.9200135227126605, 1.9624166148288145, 2.1254378514899037, 1.9753210572036157]

ce_symbol  = T:5
ce_fraction=  0.019921593012553702
species:coords:index
O1 : [ 3.30133932  3.2586342  11.55647759] : 109
O1 : [ 1.3644272   0.77230305 10.95853958] : 81
O1 : [2.27524185 2.21443345 8.60153015] : 99
O1 : [0.94787456 4.56366045 9.63466462] : 69
O1 : [-0.05166068  3.2586342  11.55647759] : 109
!!!atention to nb coordination!!!
         [2.5936958309903884, 1.9200135227126611, 1.9624166148288147, 2.1254378514899037, 1.9753210572036155]
         [2.5936958309903884, 1.9200135227126605, 1.9624166148288145, 2.1254378514899037, 1.9753210572036157]

ce_symbol  = SY:4
ce_fraction=  0.00038803438895136395
species:coords:index
O1 : [ 1.3644272   0.77230305 10.95853958] : 81
O1 : [2.27524185 2.21443345 8.60153015] : 99
O1 : [0.94787456 4.56366045 9.63466462] : 69
O1 : [-0.05166068  3.2586342  11.55647759] : 109
!!!atention to nb coordination!!!
         [1.9200135227126611, 1.9624166148288147, 2.1254378514899037, 1.9753210572036155]
         [1.9200135227126605, 1.9624166148288145, 2.1254378514899037, 1.9753210572036157]

ce_symbol  = SS:4
ce_fraction=  6.503771394737447e-06
species:coords:index
O1 : [ 1.3644272   0.77230305 10.95853958] : 81
O1 : [2.27524185 2.21443345 8.60153015] : 99
O1 : [0.94787456 4.56366045 9.63466462] : 69
O1 : [-0.05166068  3.2586342  11.55647759] : 109
!!!atention to nb coordination!!!
         [1.9200135227126611, 1.9624166148288147, 2.1254378514899037, 1.9753210572036155]
         [1.9200135227126605, 1.9624166148288145, 2.1254378514899037, 1.9753210572036157]


**isite= 10
Cu1 : [ 1.25042508 10.99007805  4.18136033]

ce_symbol  = S:4
ce_fraction=  0.9762023584256686
species:coords:index
O1 : [ 1.52303126 11.27934425  2.16318243] : 86
O1 : [2.40790278 9.60046476 3.42671503] : 54
O1 : [ 0.10227679 12.48262177  4.39950713] : 72
O1 : [ 1.1654599  10.47276996  5.96292301] : 94

ce_symbol  = SY:4
ce_fraction=  0.022932775991770304
species:coords:index
O1 : [ 1.52303126 11.27934425  2.16318243] : 86
O1 : [2.40790278 9.60046476 3.42671503] : 54
O1 : [ 0.10227679 12.48262177  4.39950713] : 72
O1 : [ 1.1654599  10.47276996  5.96292301] : 94

ce_symbol  = TS:3
ce_fraction=  0.0008639938729434996
species:coords:index
O1 : [2.40790278 9.60046476 3.42671503] : 54
O1 : [ 0.10227679 12.48262177  4.39950713] : 72
O1 : [ 1.1654599  10.47276996  5.96292301] : 94

ce_symbol  = TL:3
ce_fraction=  8.717096174712108e-07
species:coords:index
O1 : [2.40790278 9.60046476 3.42671503] : 54
O1 : [ 0.10227679 12.48262177  4.39950713] : 72
O1 : [ 1.1654599  10.47276996  5.96292301] : 94


**isite= 11
Cu1 : [ 1.73813907  5.26874797 14.10420547]

ce_symbol  = S:4
ce_fraction=  0.9762023584256687
species:coords:index
O1 : [ 0.58066137  6.65836126 14.85885077] : 55
O1 : [ 1.46553288  4.97948177 16.12238337] : 87
O1 : [ 2.88628735  3.77620424 13.88605867] : 73
O1 : [ 1.82310425  5.78605606 12.32264279] : 95

ce_symbol  = SY:4
ce_fraction=  0.022932775991770238
species:coords:index
O1 : [ 0.58066137  6.65836126 14.85885077] : 55
O1 : [ 1.46553288  4.97948177 16.12238337] : 87
O1 : [ 2.88628735  3.77620424 13.88605867] : 73
O1 : [ 1.82310425  5.78605606 12.32264279] : 95

ce_symbol  = TS:3
ce_fraction=  0.0008639938729434711
species:coords:index
O1 : [ 0.58066137  6.65836126 14.85885077] : 55
