cif name= ./1514225.cif
./1514225.cif
Full Formula (Na32 Mn16 O40)
 40  Mn3+  0.25    0.46945  0.25
 41  Mn3+  0       0.28055  0.5
 42  Mn3+  0.25    0.03055  0.25
 43  Mn3+  0       0.71945  0.5
 44  Mn3+  0.25    0.96945  0.75
 45  Mn3+  0       0.78055  0
 46  Mn3+  0.25    0.53055  0.75
 47  Mn3+  0       0.21945  0
 48  O2-   0.75    0.75     0.566
 49  O2-   0.75    0.75     0.934
 50  O2-   0       0        0.684
 51  O2-   0.5     0        0.816
 52  O2-   0.75    0.25     0.5651
 53  O2-   0.75    0.25     0.9349
 54  O2-   0.5     0        0.6849
 55  O2-   0       0        0.8151
 56  O2-   0.75    0.25     0.75
 57  O2-   0       0        0
 58  O2-   0.75    0.25     0.066
 59  O2-   0.75    0.25     0.434
 60  O2-   0       0.5      0.184
 61  O2-   0.5     0.5      0.316
 62  O2-   0.75    0.75     0.0651
 63  O2-   0.75    0.75     0.4349
 64  O2-   0.5     0.5      0.1849
 65  O2-   0       0.5      0.3151
 66  O2-   0.75    0.75     0.25
 67  O2-   0       0.5      0.5
 68  O2-   0.25    0.75     0.066
 69  O2-   0.25    0.75     0.434
 70  O2-   0.5     0        0.184
 71  O2-   0       0        0.316
 72  O2-   0.25    0.25     0.0651
 73  O2-   0.25    0.25     0.4349
 74  O2-   0       0        0.1849
 75  O2-   0.5     0        0.3151
 76  O2-   0.25    0.25     0.25
 77  O2-   0.5     0        0.5
 78  O2-   0.25    0.25     0.566
 79  O2-   0.25    0.25     0.934
 80  O2-   0.5     0.5      0.684
 81  O2-   0       0.5      0.816
 82  O2-   0.25    0.75     0.5651
 83  O2-   0.25    0.75     0.9349
 84  O2-   0       0.5      0.6849
 85  O2-   0.5     0.5      0.8151
 86  O2-   0.25    0.75     0.75
 87  O2-   0.5     0.5      0

space_group_IT_number 70

*** lse ***


**isite= 0
Na+1 : [1.44855720e+00 3.77000000e-03 1.16115944e+01]

ce_symbol  = S:5
ce_fraction=  0.9725098452927934
species:coords:index
O2-1 : [2.8605 0.     9.835 ] : 77
O2-1 : [ 1.43025  2.35625 11.13322] : 78
O2-1 : [ 1.43025  -2.35625  11.115517] : 82
O2-1 : [ 0.       0.      13.45428] : 50
O2-1 : [ 2.8605    0.       13.471983] : 54

ce_symbol  = T:5
ce_fraction=  0.02749015470720664
species:coords:index
O2-1 : [2.8605 0.     9.835 ] : 77
O2-1 : [ 1.43025  2.35625 11.13322] : 78
O2-1 : [ 1.43025  -2.35625  11.115517] : 82
O2-1 : [ 0.       0.      13.45428] : 50
O2-1 : [ 2.8605    0.       13.471983] : 54


**isite= 1
Na+1 : [1.41194280e+00 3.77000000e-03 1.78934056e+01]

ce_symbol  = S:5
ce_fraction=  0.9725098452927928
species:coords:index
O2-1 : [ 1.43025  2.35625 18.37178] : 79
O2-1 : [ 2.8605   0.      16.05072] : 51
O2-1 : [ 0.    0.   19.67] : 57
O2-1 : [ 1.43025  -2.35625  18.389483] : 83
O2-1 : [ 0.        0.       16.033017] : 55

ce_symbol  = T:5
ce_fraction=  0.02749015470720717
species:coords:index
O2-1 : [ 1.43025  2.35625 18.37178] : 79
O2-1 : [ 2.8605   0.      16.05072] : 51
O2-1 : [ 0.    0.   19.67] : 57
O2-1 : [ 1.43025  -2.35625  18.389483] : 83
O2-1 : [ 0.        0.       16.033017] : 55


**isite= 2
Na+1 : [ 5.7026928  2.35248   12.9759056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927934
species:coords:index
O2-1 : [ 7.15125  2.35625 11.13322] : 78
O2-1 : [ 5.721    0.      13.45428] : 50
O2-1 : [ 5.721     4.7125   13.471983] : 84
O2-1 : [ 4.29075   2.35625  11.115517] : 52
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.4006956013928975, 2.411663811720571, 2.3355175928221565, 2.2693356617043663]
         [2.3438904400631055, 2.4006956013928975, 2.411663811720571, 2.335517592822156, 2.2693356617043663]

ce_symbol  = T:5
ce_fraction=  0.027490154707206626
species:coords:index
O2-1 : [ 7.15125  2.35625 11.13322] : 78
O2-1 : [ 5.721    0.      13.45428] : 50
O2-1 : [ 5.721     4.7125   13.471983] : 84
O2-1 : [ 4.29075   2.35625  11.115517] : 52
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.4006956013928975, 2.411663811720571, 2.3355175928221565, 2.2693356617043663]
         [2.3438904400631055, 2.4006956013928975, 2.411663811720571, 2.335517592822156, 2.2693356617043663]


**isite= 3
Na+1 : [ 2.8788072  2.35248   16.5290944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927929
species:coords:index
O2-1 : [ 2.8605    4.7125   16.033017] : 85
O2-1 : [ 1.43025  2.35625 18.37178] : 79
O2-1 : [ 2.8605   0.      16.05072] : 51
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
O2-1 : [ 4.29075   2.35625  18.389483] : 53
!!!atention to nb coordination!!!
         [2.411663811720572, 2.343890440063104, 2.400695601392898, 2.2693356617043676, 2.3355175928221565]
         [2.411663811720572, 2.343890440063104, 2.400695601392898, 2.2693356617043676, 2.335517592822156]

ce_symbol  = T:5
ce_fraction=  0.027490154707207084
species:coords:index
O2-1 : [ 2.8605    4.7125   16.033017] : 85
O2-1 : [ 1.43025  2.35625 18.37178] : 79
O2-1 : [ 2.8605   0.      16.05072] : 51
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
O2-1 : [ 4.29075   2.35625  18.389483] : 53
!!!atention to nb coordination!!!
         [2.411663811720572, 2.343890440063104, 2.400695601392898, 2.2693356617043676, 2.3355175928221565]
         [2.411663811720572, 2.343890440063104, 2.400695601392898, 2.2693356617043676, 2.335517592822156]


**isite= 4
Na+1 : [ 4.3090572  9.42123   17.8934056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927928
species:coords:index
O2-1 : [ 4.29075  11.78125  18.389483] : 53
O2-1 : [ 4.29075  7.06875 18.37178] : 49
O2-1 : [ 5.721     9.425    16.033017] : 55
O2-1 : [ 5.721  9.425 19.67 ] : 57
O2-1 : [ 2.8605   9.425   16.05072] : 51
!!!atention to nb coordination!!!
         [2.411663811720571, 2.400695601392898, 2.3355175928221565, 2.2693356617043676, 2.343890440063104]
         [2.411663811720571, 2.400695601392898, 2.335517592822156, 2.2693356617043676, 2.343890440063104]

ce_symbol  = T:5
ce_fraction=  0.02749015470720725
species:coords:index
O2-1 : [ 4.29075  11.78125  18.389483] : 53
O2-1 : [ 4.29075  7.06875 18.37178] : 49
O2-1 : [ 5.721     9.425    16.033017] : 55
O2-1 : [ 5.721  9.425 19.67 ] : 57
O2-1 : [ 2.8605   9.425   16.05072] : 51
!!!atention to nb coordination!!!
         [2.411663811720571, 2.400695601392898, 2.3355175928221565, 2.2693356617043676, 2.343890440063104]
         [2.411663811720571, 2.400695601392898, 2.335517592822156, 2.2693356617043676, 2.343890440063104]


**isite= 5
Na+1 : [ 4.2724428  9.42123   11.6115944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927932
species:coords:index
O2-1 : [ 5.721    9.425   13.45428] : 50
O2-1 : [ 4.29075  7.06875 11.13322] : 48
O2-1 : [2.8605 9.425  9.835 ] : 77
O2-1 : [ 4.29075  11.78125  11.115517] : 52
O2-1 : [ 2.8605    9.425    13.471983] : 54
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.4006956013928975, 2.2693356617043663, 2.41166381172057, 2.3355175928221565]
         [2.3438904400631055, 2.4006956013928975, 2.2693356617043663, 2.41166381172057, 2.335517592822156]

ce_symbol  = T:5
ce_fraction=  0.02749015470720688
species:coords:index
O2-1 : [ 5.721    9.425   13.45428] : 50
O2-1 : [ 4.29075  7.06875 11.13322] : 48
O2-1 : [2.8605 9.425  9.835 ] : 77
O2-1 : [ 4.29075  11.78125  11.115517] : 52
O2-1 : [ 2.8605    9.425    13.471983] : 54
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.4006956013928975, 2.2693356617043663, 2.41166381172057, 2.3355175928221565]
         [2.3438904400631055, 2.4006956013928975, 2.2693356617043663, 2.41166381172057, 2.335517592822156]


**isite= 6
Na+1 : [ 2.8421928  7.07252   16.5290944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927928
species:coords:index
O2-1 : [ 2.8605    4.7125   16.033017] : 85
O2-1 : [ 2.8605   9.425   16.05072] : 51
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
O2-1 : [ 4.29075  7.06875 18.37178] : 49
O2-1 : [ 1.43025   7.06875  18.389483] : 83
!!!atention to nb coordination!!!
         [2.411663811720572, 2.400695601392898, 2.2693356617043676, 2.343890440063104, 2.3355175928221565]
         [2.411663811720572, 2.400695601392898, 2.2693356617043676, 2.343890440063104, 2.335517592822156]

ce_symbol  = T:5
ce_fraction=  0.02749015470720713
species:coords:index
O2-1 : [ 2.8605    4.7125   16.033017] : 85
O2-1 : [ 2.8605   9.425   16.05072] : 51
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
O2-1 : [ 4.29075  7.06875 18.37178] : 49
O2-1 : [ 1.43025   7.06875  18.389483] : 83
!!!atention to nb coordination!!!
         [2.411663811720572, 2.400695601392898, 2.2693356617043676, 2.343890440063104, 2.3355175928221565]
         [2.411663811720572, 2.400695601392898, 2.2693356617043676, 2.343890440063104, 2.335517592822156]


**isite= 7
Na+1 : [ 0.0183072  7.07252   12.9759056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927935
species:coords:index
O2-1 : [-1.43025  7.06875 11.13322] : 48
O2-1 : [ 1.43025   7.06875  11.115517] : 82
O2-1 : [ 0.        4.7125   13.471983] : 84
O2-1 : [ 0.       9.425   13.45428] : 50
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.3355175928221565, 2.411663811720571, 2.4006956013928975, 2.2693356617043663]
         [2.3438904400631055, 2.335517592822156, 2.411663811720571, 2.4006956013928975, 2.2693356617043663]

ce_symbol  = T:5
ce_fraction=  0.02749015470720662
species:coords:index
O2-1 : [-1.43025  7.06875 11.13322] : 48
O2-1 : [ 1.43025   7.06875  11.115517] : 82
O2-1 : [ 0.        4.7125   13.471983] : 84
O2-1 : [ 0.       9.425   13.45428] : 50
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.3355175928221565, 2.411663811720571, 2.4006956013928975, 2.2693356617043663]
         [2.3438904400631055, 2.335517592822156, 2.411663811720571, 2.4006956013928975, 2.2693356617043663]


**isite= 8
Na+1 : [1.4485572 4.71627   1.7765944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927936
species:coords:index
O2-1 : [1.43025  2.35625  1.280517] : 72
O2-1 : [2.8605   4.7125   3.636983] : 64
O2-1 : [0.      4.7125  3.61928] : 60
O2-1 : [1.43025 7.06875 1.29822] : 68
O2-1 : [2.8605 4.7125 0.    ] : 87

ce_symbol  = T:5
ce_fraction=  0.027490154707206286
species:coords:index
O2-1 : [1.43025  2.35625  1.280517] : 72
O2-1 : [2.8605   4.7125   3.636983] : 64
O2-1 : [0.      4.7125  3.61928] : 60
O2-1 : [1.43025 7.06875 1.29822] : 68
O2-1 : [2.8605 4.7125 0.    ] : 87


**isite= 9
Na+1 : [1.4119428 4.71627   8.0584056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927937
species:coords:index
O2-1 : [1.43025 7.06875 8.53678] : 69
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [0.     4.7125 9.835 ] : 67
O2-1 : [1.43025  2.35625  8.554483] : 73
O2-1 : [0.       4.7125   6.198017] : 65

ce_symbol  = T:5
ce_fraction=  0.027490154707206213
species:coords:index
O2-1 : [1.43025 7.06875 8.53678] : 69
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [0.     4.7125 9.835 ] : 67
O2-1 : [1.43025  2.35625  8.554483] : 73
O2-1 : [0.       4.7125   6.198017] : 65


**isite= 10
Na+1 : [5.7026928 7.06498   3.1409056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927936
species:coords:index
O2-1 : [5.721    9.425    3.636983] : 74
O2-1 : [4.29075 7.06875 4.9175 ] : 66
O2-1 : [4.29075  7.06875  1.280517] : 62
O2-1 : [7.15125 7.06875 1.29822] : 68
O2-1 : [5.721   4.7125  3.61928] : 60

ce_symbol  = T:5
ce_fraction=  0.02749015470720641
species:coords:index
O2-1 : [5.721    9.425    3.636983] : 74
O2-1 : [4.29075 7.06875 4.9175 ] : 66
O2-1 : [4.29075  7.06875  1.280517] : 62
O2-1 : [7.15125 7.06875 1.29822] : 68
O2-1 : [5.721   4.7125  3.61928] : 60


**isite= 11
Na+1 : [2.8788072 7.06498   6.6940944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927936
species:coords:index
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [2.8605   9.425    6.198017] : 75
O2-1 : [4.29075 7.06875 4.9175 ] : 66
O2-1 : [1.43025 7.06875 8.53678] : 69
O2-1 : [4.29075  7.06875  8.554483] : 63

ce_symbol  = T:5
ce_fraction=  0.027490154707206328
species:coords:index
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [2.8605   9.425    6.198017] : 75
O2-1 : [4.29075 7.06875 4.9175 ] : 66
O2-1 : [1.43025 7.06875 8.53678] : 69
O2-1 : [4.29075  7.06875  8.554483] : 63


**isite= 12
Na+1 : [4.3090572 4.70873   8.0584056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927937
species:coords:index
O2-1 : [4.29075 2.35625 8.53678] : 59
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [4.29075  7.06875  8.554483] : 63
O2-1 : [5.721  4.7125 9.835 ] : 67
O2-1 : [5.721    4.7125   6.198017] : 65

ce_symbol  = T:5
ce_fraction=  0.02749015470720624
species:coords:index
O2-1 : [4.29075 2.35625 8.53678] : 59
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [4.29075  7.06875  8.554483] : 63
O2-1 : [5.721  4.7125 9.835 ] : 67
O2-1 : [5.721    4.7125   6.198017] : 65


**isite= 13
Na+1 : [4.2724428 4.70873   1.7765944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927936
species:coords:index
O2-1 : [2.8605   4.7125   3.636983] : 64
O2-1 : [2.8605 4.7125 0.    ] : 87
O2-1 : [5.721   4.7125  3.61928] : 60
O2-1 : [4.29075  7.06875  1.280517] : 62
O2-1 : [4.29075 2.35625 1.29822] : 58

ce_symbol  = T:5
ce_fraction=  0.027490154707206425
species:coords:index
O2-1 : [2.8605   4.7125   3.636983] : 64
O2-1 : [2.8605 4.7125 0.    ] : 87
O2-1 : [5.721   4.7125  3.61928] : 60
O2-1 : [4.29075  7.06875  1.280517] : 62
O2-1 : [4.29075 2.35625 1.29822] : 58


**isite= 14
Na+1 : [2.8421928 2.36002   6.6940944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927937
species:coords:index
O2-1 : [4.29075 2.35625 8.53678] : 59
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [2.8605   0.       6.198017] : 75
O2-1 : [1.43025 2.35625 4.9175 ] : 76
O2-1 : [1.43025  2.35625  8.554483] : 73

ce_symbol  = T:5
ce_fraction=  0.027490154707206272
species:coords:index
O2-1 : [4.29075 2.35625 8.53678] : 59
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [2.8605   0.       6.198017] : 75
O2-1 : [1.43025 2.35625 4.9175 ] : 76
O2-1 : [1.43025  2.35625  8.554483] : 73


**isite= 15
Na+1 : [0.0183072 2.36002   3.1409056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927937
species:coords:index
O2-1 : [0.       0.       3.636983] : 74
O2-1 : [-1.43025  2.35625  1.29822] : 58
O2-1 : [0.      4.7125  3.61928] : 60
O2-1 : [1.43025 2.35625 4.9175 ] : 76
O2-1 : [1.43025  2.35625  1.280517] : 72

ce_symbol  = T:5
ce_fraction=  0.027490154707206366
species:coords:index
O2-1 : [0.       0.       3.636983] : 74
O2-1 : [-1.43025  2.35625  1.29822] : 58
O2-1 : [0.      4.7125  3.61928] : 60
O2-1 : [1.43025 2.35625 4.9175 ] : 76
O2-1 : [1.43025  2.35625  1.280517] : 72


**isite= 16
Na+1 : [4.3090572e+00 3.7700000e-03 1.7765944e+00]

ce_symbol  = S:5
ce_fraction=  0.9725098452927936
species:coords:index
O2-1 : [4.29075 2.35625 1.29822] : 58
O2-1 : [2.8605  0.      3.61928] : 70
O2-1 : [5.721    0.       3.636983] : 74
O2-1 : [5.721 0.    0.   ] : 57
O2-1 : [ 4.29075  -2.35625   1.280517] : 62

ce_symbol  = T:5
ce_fraction=  0.027490154707206286
species:coords:index
O2-1 : [4.29075 2.35625 1.29822] : 58
O2-1 : [2.8605  0.      3.61928] : 70
O2-1 : [5.721    0.       3.636983] : 74
O2-1 : [5.721 0.    0.   ] : 57
O2-1 : [ 4.29075  -2.35625   1.280517] : 62


**isite= 17
Na+1 : [4.2724428e+00 3.7700000e-03 8.0584056e+00]

ce_symbol  = S:5
ce_fraction=  0.9725098452927938
species:coords:index
O2-1 : [5.721   0.      6.21572] : 71
O2-1 : [4.29075 2.35625 8.53678] : 59
O2-1 : [2.8605   0.       6.198017] : 75
O2-1 : [2.8605 0.     9.835 ] : 77
O2-1 : [ 4.29075  -2.35625   8.554483] : 63

ce_symbol  = T:5
ce_fraction=  0.027490154707206216
species:coords:index
O2-1 : [5.721   0.      6.21572] : 71
O2-1 : [4.29075 2.35625 8.53678] : 59
O2-1 : [2.8605   0.       6.198017] : 75
O2-1 : [2.8605 0.     9.835 ] : 77
O2-1 : [ 4.29075  -2.35625   8.554483] : 63


**isite= 18
Na+1 : [2.8421928 2.35248   3.1409056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927936
species:coords:index
O2-1 : [2.8605  0.      3.61928] : 70
O2-1 : [1.43025  2.35625  1.280517] : 72
O2-1 : [4.29075 2.35625 1.29822] : 58
O2-1 : [1.43025 2.35625 4.9175 ] : 76
O2-1 : [2.8605   4.7125   3.636983] : 64

ce_symbol  = T:5
ce_fraction=  0.027490154707206418
species:coords:index
O2-1 : [2.8605  0.      3.61928] : 70
O2-1 : [1.43025  2.35625  1.280517] : 72
O2-1 : [4.29075 2.35625 1.29822] : 58
O2-1 : [1.43025 2.35625 4.9175 ] : 76
O2-1 : [2.8605   4.7125   3.636983] : 64


**isite= 19
Na+1 : [0.0183072 2.35248   6.6940944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927936
species:coords:index
O2-1 : [0.      0.      6.21572] : 71
O2-1 : [-1.43025  2.35625  8.53678] : 59
O2-1 : [1.43025  2.35625  8.554483] : 73
O2-1 : [1.43025 2.35625 4.9175 ] : 76
O2-1 : [0.       4.7125   6.198017] : 65

ce_symbol  = T:5
ce_fraction=  0.027490154707206317
species:coords:index
O2-1 : [0.      0.      6.21572] : 71
O2-1 : [-1.43025  2.35625  8.53678] : 59
O2-1 : [1.43025  2.35625  8.554483] : 73
O2-1 : [1.43025 2.35625 4.9175 ] : 76
O2-1 : [0.       4.7125   6.198017] : 65


**isite= 20
Na+1 : [1.4485572 9.42123   8.0584056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927937
species:coords:index
O2-1 : [2.8605   9.425    6.198017] : 75
O2-1 : [0.      9.425   6.21572] : 71
O2-1 : [1.43025 7.06875 8.53678] : 69
O2-1 : [2.8605 9.425  9.835 ] : 77
O2-1 : [ 1.43025  11.78125   8.554483] : 73

ce_symbol  = T:5
ce_fraction=  0.027490154707206366
species:coords:index
O2-1 : [2.8605   9.425    6.198017] : 75
O2-1 : [0.      9.425   6.21572] : 71
O2-1 : [1.43025 7.06875 8.53678] : 69
O2-1 : [2.8605 9.425  9.835 ] : 77
O2-1 : [ 1.43025  11.78125   8.554483] : 73


**isite= 21
Na+1 : [1.4119428 9.42123   1.7765944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927938
species:coords:index
O2-1 : [2.8605  9.425   3.61928] : 70
O2-1 : [ 1.43025  11.78125   1.280517] : 72
O2-1 : [0.    9.425 0.   ] : 57
O2-1 : [1.43025 7.06875 1.29822] : 68
O2-1 : [0.       9.425    3.636983] : 74

ce_symbol  = T:5
ce_fraction=  0.027490154707206182
species:coords:index
O2-1 : [2.8605  9.425   3.61928] : 70
O2-1 : [ 1.43025  11.78125   1.280517] : 72
O2-1 : [0.    9.425 0.   ] : 57
O2-1 : [1.43025 7.06875 1.29822] : 68
O2-1 : [0.       9.425    3.636983] : 74


**isite= 22
Na+1 : [5.7026928 7.07252   6.6940944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927937
species:coords:index
O2-1 : [5.721   9.425   6.21572] : 71
O2-1 : [5.721    4.7125   6.198017] : 65
O2-1 : [7.15125 7.06875 8.53678] : 69
O2-1 : [4.29075  7.06875  8.554483] : 63
O2-1 : [4.29075 7.06875 4.9175 ] : 66

ce_symbol  = T:5
ce_fraction=  0.02749015470720624
species:coords:index
O2-1 : [5.721   9.425   6.21572] : 71
O2-1 : [5.721    4.7125   6.198017] : 65
O2-1 : [7.15125 7.06875 8.53678] : 69
O2-1 : [4.29075  7.06875  8.554483] : 63
O2-1 : [4.29075 7.06875 4.9175 ] : 66


**isite= 23
Na+1 : [2.8788072 7.07252   3.1409056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927935
species:coords:index
O2-1 : [2.8605   4.7125   3.636983] : 64
O2-1 : [1.43025 7.06875 1.29822] : 68
O2-1 : [4.29075  7.06875  1.280517] : 62
O2-1 : [4.29075 7.06875 4.9175 ] : 66
O2-1 : [2.8605  9.425   3.61928] : 70

ce_symbol  = T:5
ce_fraction=  0.027490154707206477
species:coords:index
O2-1 : [2.8605   4.7125   3.636983] : 64
O2-1 : [1.43025 7.06875 1.29822] : 68
O2-1 : [4.29075  7.06875  1.280517] : 62
O2-1 : [4.29075 7.06875 4.9175 ] : 66
O2-1 : [2.8605  9.425   3.61928] : 70


**isite= 24
Na+1 : [ 4.3090572  4.71627   11.6115944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927935
species:coords:index
O2-1 : [ 4.29075   2.35625  11.115517] : 52
O2-1 : [5.721  4.7125 9.835 ] : 67
O2-1 : [ 5.721     4.7125   13.471983] : 84
O2-1 : [ 4.29075  7.06875 11.13322] : 48
O2-1 : [ 2.8605   4.7125  13.45428] : 80
!!!atention to nb coordination!!!
         [2.411663811720571, 2.2693356617043663, 2.3355175928221565, 2.4006956013928975, 2.3438904400631055]
         [2.411663811720571, 2.2693356617043663, 2.335517592822156, 2.4006956013928975, 2.3438904400631055]

ce_symbol  = T:5
ce_fraction=  0.02749015470720651
species:coords:index
O2-1 : [ 4.29075   2.35625  11.115517] : 52
O2-1 : [5.721  4.7125 9.835 ] : 67
O2-1 : [ 5.721     4.7125   13.471983] : 84
O2-1 : [ 4.29075  7.06875 11.13322] : 48
O2-1 : [ 2.8605   4.7125  13.45428] : 80
!!!atention to nb coordination!!!
         [2.411663811720571, 2.2693356617043663, 2.3355175928221565, 2.4006956013928975, 2.3438904400631055]
         [2.411663811720571, 2.2693356617043663, 2.335517592822156, 2.4006956013928975, 2.3438904400631055]


**isite= 25
Na+1 : [ 4.2724428  4.71627   17.8934056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927928
species:coords:index
O2-1 : [ 5.721    4.7125  16.05072] : 81
O2-1 : [ 2.8605    4.7125   16.033017] : 85
O2-1 : [ 4.29075   2.35625  18.389483] : 53
O2-1 : [ 2.8605  4.7125 19.67  ] : 87
O2-1 : [ 4.29075  7.06875 18.37178] : 49
!!!atention to nb coordination!!!
         [2.343890440063104, 2.3355175928221565, 2.411663811720572, 2.2693356617043676, 2.400695601392898]
         [2.343890440063104, 2.335517592822156, 2.411663811720572, 2.2693356617043676, 2.400695601392898]

ce_symbol  = T:5
ce_fraction=  0.02749015470720717
species:coords:index
O2-1 : [ 5.721    4.7125  16.05072] : 81
O2-1 : [ 2.8605    4.7125   16.033017] : 85
O2-1 : [ 4.29075   2.35625  18.389483] : 53
O2-1 : [ 2.8605  4.7125 19.67  ] : 87
O2-1 : [ 4.29075  7.06875 18.37178] : 49
!!!atention to nb coordination!!!
         [2.343890440063104, 2.3355175928221565, 2.411663811720572, 2.2693356617043676, 2.400695601392898]
         [2.343890440063104, 2.335517592822156, 2.411663811720572, 2.2693356617043676, 2.400695601392898]


**isite= 26
Na+1 : [ 2.8421928  7.06498   12.9759056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927934
species:coords:index
O2-1 : [ 4.29075  7.06875 11.13322] : 48
O2-1 : [ 1.43025   7.06875  11.115517] : 82
O2-1 : [ 2.8605   4.7125  13.45428] : 80
O2-1 : [ 2.8605    9.425    13.471983] : 54
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.3355175928221565, 2.4006956013928975, 2.411663811720571, 2.2693356617043663]
         [2.3438904400631055, 2.335517592822156, 2.4006956013928975, 2.411663811720571, 2.2693356617043663]

ce_symbol  = T:5
ce_fraction=  0.027490154707206626
species:coords:index
O2-1 : [ 4.29075  7.06875 11.13322] : 48
O2-1 : [ 1.43025   7.06875  11.115517] : 82
O2-1 : [ 2.8605   4.7125  13.45428] : 80
O2-1 : [ 2.8605    9.425    13.471983] : 54
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
