cif name= ./1511473.cif
./1511473.cif
Full Formula (Li16 B32 O56)
103  O     0.3628  0.7817  0.4847

space_group_IT_number 110

*** lse ***


**isite= 0
Li1 : [8.0599937 6.3044829 1.535268 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495923
species:coords:index
O1 : [7.9983802 5.2779072 3.281481 ] : 58
O1 : [9.479  4.7395 0.    ] : 48
O1 : [6.4229704 5.3755409 0.965202 ] : 61
O1 : [8.9405928 7.9983802 0.708981 ] : 57
O1 : [7.4097343 8.1784812 2.415063 ] : 70
!!!atention to nb coordination!!!
         [2.026552178598355, 2.611474332356361, 1.9666605625940896, 2.080262734424931, 2.1699645521796547]
         [2.026552178598355, 2.6114743323563605, 1.9666605625940887, 2.0802627344249314, 2.1699645521796547]

ce_symbol  = T:5
ce_fraction=  0.3711757194504078
species:coords:index
O1 : [7.9983802 5.2779072 3.281481 ] : 58
O1 : [9.479  4.7395 0.    ] : 48
O1 : [6.4229704 5.3755409 0.965202 ] : 61
O1 : [8.9405928 7.9983802 0.708981 ] : 57
O1 : [7.4097343 8.1784812 2.415063 ] : 70
!!!atention to nb coordination!!!
         [2.026552178598355, 2.611474332356361, 1.9666605625940896, 2.080262734424931, 2.1699645521796547]
         [2.026552178598355, 2.6114743323563605, 1.9666605625940887, 2.0802627344249314, 2.1699645521796547]


**isite= 1
Li1 : [6.3044829 6.1585063 4.107768 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495956
species:coords:index
O1 : [4.7395 4.7395 2.5725] : 49
O1 : [5.3755409 7.7955296 3.537702 ] : 62
O1 : [5.2779072 6.2201198 5.853981 ] : 87
O1 : [7.9983802 5.2779072 3.281481 ] : 58
O1 : [8.1784812 6.8087657 4.987563 ] : 71
!!!atention to nb coordination!!!
         [2.611474332356361, 1.9666605625940887, 2.026552178598355, 2.080262734424931, 2.1699645521796542]
         [2.611474332356361, 1.9666605625940885, 2.026552178598355, 2.080262734424932, 2.1699645521796542]

ce_symbol  = T:5
ce_fraction=  0.37117571945040456
species:coords:index
O1 : [4.7395 4.7395 2.5725] : 49
O1 : [5.3755409 7.7955296 3.537702 ] : 62
O1 : [5.2779072 6.2201198 5.853981 ] : 87
O1 : [7.9983802 5.2779072 3.281481 ] : 58
O1 : [8.1784812 6.8087657 4.987563 ] : 71
!!!atention to nb coordination!!!
         [2.611474332356361, 1.9666605625940887, 2.026552178598355, 2.080262734424931, 2.1699645521796542]
         [2.611474332356361, 1.9666605625940885, 2.026552178598355, 2.080262734424932, 2.1699645521796542]


**isite= 2
Li1 : [6.1585063 7.9140171 6.680268 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495936
species:coords:index
O1 : [6.2201198 8.9405928 8.426481 ] : 56
O1 : [7.7955296 8.8429591 6.110202 ] : 91
O1 : [4.7395 9.479  5.145 ] : 76
O1 : [6.8087657 6.0400188 7.560063 ] : 96
O1 : [5.2779072 6.2201198 5.853981 ] : 87

ce_symbol  = T:5
ce_fraction=  0.3711757194504065
species:coords:index
O1 : [6.2201198 8.9405928 8.426481 ] : 56
O1 : [7.7955296 8.8429591 6.110202 ] : 91
O1 : [4.7395 9.479  5.145 ] : 76
O1 : [6.8087657 6.0400188 7.560063 ] : 96
O1 : [5.2779072 6.2201198 5.853981 ] : 87


**isite= 3
Li1 : [7.9140171 8.0599937 9.252768 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495906
species:coords:index
O1 : [6.2201198 8.9405928 8.426481 ] : 56
O1 : [ 8.9405928  7.9983802 10.998981 ] : 57
O1 : [9.479  9.479  7.7175] : 77
O1 : [8.8429591 6.4229704 8.682702 ] : 88
O1 : [ 6.0400188  7.4097343 10.132563 ] : 69
!!!atention to nb coordination!!!
         [2.080262734424932, 2.026552178598355, 2.611474332356361, 1.966660562594089, 2.1699645521796533]
         [2.080262734424932, 2.026552178598355, 2.611474332356361, 1.9666605625940883, 2.1699645521796533]

ce_symbol  = T:5
ce_fraction=  0.3711757194504094
species:coords:index
O1 : [6.2201198 8.9405928 8.426481 ] : 56
O1 : [ 8.9405928  7.9983802 10.998981 ] : 57
O1 : [9.479  9.479  7.7175] : 77
O1 : [8.8429591 6.4229704 8.682702 ] : 88
O1 : [ 6.0400188  7.4097343 10.132563 ] : 69
!!!atention to nb coordination!!!
         [2.080262734424932, 2.026552178598355, 2.611474332356361, 1.966660562594089, 2.1699645521796533]
         [2.080262734424932, 2.026552178598355, 2.611474332356361, 1.9666605625940883, 2.1699645521796533]


**isite= 4
Li1 : [1.4190063 6.3044829 6.680268 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495937
species:coords:index
O1 : [2.0692657 8.1784812 7.560063 ] : 102
O1 : [0.5384072 7.9983802 5.853981 ] : 55
O1 : [0.     4.7395 5.145 ] : 50
O1 : [1.4806198 5.2779072 8.426481 ] : 82
O1 : [3.0560296 5.3755409 6.110202 ] : 95
!!!atention to nb coordination!!!
         [2.1699645521796547, 2.080262734424931, 2.611474332356361, 2.026552178598355, 1.966660562594088]
         [2.1699645521796547, 2.0802627344249314, 2.611474332356361, 2.026552178598355, 1.966660562594088]

ce_symbol  = T:5
ce_fraction=  0.3711757194504063
species:coords:index
O1 : [2.0692657 8.1784812 7.560063 ] : 102
O1 : [0.5384072 7.9983802 5.853981 ] : 55
O1 : [0.     4.7395 5.145 ] : 50
O1 : [1.4806198 5.2779072 8.426481 ] : 82
O1 : [3.0560296 5.3755409 6.110202 ] : 95
!!!atention to nb coordination!!!
         [2.1699645521796547, 2.080262734424931, 2.611474332356361, 2.026552178598355, 1.966660562594088]
         [2.1699645521796547, 2.0802627344249314, 2.611474332356361, 2.026552178598355, 1.966660562594088]


**isite= 5
Li1 : [1.5649829 8.0599937 4.107768 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495932
species:coords:index
O1 : [0.     9.479  2.5725] : 51
O1 : [0.6360409 6.4229704 3.537702 ] : 64
O1 : [3.2588802 8.9405928 3.281481 ] : 80
O1 : [0.5384072 7.9983802 5.853981 ] : 55
O1 : [3.4389812 7.4097343 4.987563 ] : 103
!!!atention to nb coordination!!!
         [2.611474332356361, 1.9666605625940894, 2.0802627344249323, 2.0265521785983545, 2.169964552179654]
         [2.611474332356361, 1.9666605625940885, 2.0802627344249323, 2.0265521785983545, 2.169964552179654]

ce_symbol  = T:5
ce_fraction=  0.3711757194504067
species:coords:index
O1 : [0.     9.479  2.5725] : 51
O1 : [0.6360409 6.4229704 3.537702 ] : 64
O1 : [3.2588802 8.9405928 3.281481 ] : 80
O1 : [0.5384072 7.9983802 5.853981 ] : 55
O1 : [3.4389812 7.4097343 4.987563 ] : 103
!!!atention to nb coordination!!!
         [2.611474332356361, 1.9666605625940894, 2.0802627344249323, 2.0265521785983545, 2.169964552179654]
         [2.611474332356361, 1.9666605625940885, 2.0802627344249323, 2.0265521785983545, 2.169964552179654]


**isite= 6
Li1 : [3.3204937 7.9140171 1.535268 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495939
species:coords:index
O1 : [4.2010928 6.2201198 0.708981 ] : 53
O1 : [3.2588802 8.9405928 3.281481 ] : 80
O1 : [2.6702343 6.0400188 2.415063 ] : 72
O1 : [1.6834704 8.8429591 0.965202 ] : 93
O1 : [4.7395 9.479  0.    ] : 78
!!!atention to nb coordination!!!
         [2.0802627344249314, 2.026552178598355, 2.169964552179654, 1.9666605625940876, 2.611474332356361]
         [2.0802627344249314, 2.026552178598355, 2.169964552179654, 1.9666605625940874, 2.6114743323563605]

ce_symbol  = T:5
ce_fraction=  0.371175719450406
species:coords:index
O1 : [4.2010928 6.2201198 0.708981 ] : 53
O1 : [3.2588802 8.9405928 3.281481 ] : 80
O1 : [2.6702343 6.0400188 2.415063 ] : 72
O1 : [1.6834704 8.8429591 0.965202 ] : 93
O1 : [4.7395 9.479  0.    ] : 78
!!!atention to nb coordination!!!
         [2.0802627344249314, 2.026552178598355, 2.169964552179654, 1.9666605625940876, 2.611474332356361]
         [2.0802627344249314, 2.026552178598355, 2.169964552179654, 1.9666605625940874, 2.6114743323563605]


**isite= 7
Li1 : [3.1745171 6.1585063 9.252768 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495932
species:coords:index
O1 : [4.1034591 7.7955296 8.682702 ] : 66
O1 : [ 1.3005188  6.8087657 10.132563 ] : 101
O1 : [4.7395 4.7395 7.7175] : 79
O1 : [ 4.2010928  6.2201198 10.998981 ] : 53
O1 : [1.4806198 5.2779072 8.426481 ] : 82
!!!atention to nb coordination!!!
         [1.9666605625940883, 2.1699645521796533, 2.611474332356361, 2.0265521785983545, 2.0802627344249323]
         [1.9666605625940885, 2.169964552179654, 2.6114743323563605, 2.0265521785983545, 2.0802627344249323]

ce_symbol  = T:5
ce_fraction=  0.3711757194504067
species:coords:index
O1 : [4.1034591 7.7955296 8.682702 ] : 66
O1 : [ 1.3005188  6.8087657 10.132563 ] : 101
O1 : [4.7395 4.7395 7.7175] : 79
O1 : [ 4.2010928  6.2201198 10.998981 ] : 53
O1 : [1.4806198 5.2779072 8.426481 ] : 82
!!!atention to nb coordination!!!
         [1.9666605625940883, 2.1699645521796533, 2.611474332356361, 2.0265521785983545, 2.0802627344249323]
         [1.9666605625940885, 2.169964552179654, 2.6114743323563605, 2.0265521785983545, 2.0802627344249323]


**isite= 8
Li1 : [3.3204937 1.5649829 6.680268 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495903
species:coords:index
O1 : [1.6834704 0.6360409 6.110202 ] : 89
O1 : [3.2588802 0.5384072 8.426481 ] : 86
O1 : [4.7395 0.     5.145 ] : 76
O1 : [2.6702343 3.4389812 7.560063 ] : 98
O1 : [4.2010928 3.2588802 5.853981 ] : 85
!!!atention to nb coordination!!!
         [1.9666605625940883, 2.026552178598355, 2.611474332356361, 2.1699645521796542, 2.0802627344249323]
         [1.966660562594088, 2.026552178598355, 2.611474332356361, 2.169964552179654, 2.0802627344249323]

ce_symbol  = T:5
ce_fraction=  0.3711757194504097
species:coords:index
O1 : [1.6834704 0.6360409 6.110202 ] : 89
O1 : [3.2588802 0.5384072 8.426481 ] : 86
O1 : [4.7395 0.     5.145 ] : 76
O1 : [2.6702343 3.4389812 7.560063 ] : 98
O1 : [4.2010928 3.2588802 5.853981 ] : 85
!!!atention to nb coordination!!!
         [1.9666605625940883, 2.026552178598355, 2.611474332356361, 2.1699645521796542, 2.0802627344249323]
         [1.966660562594088, 2.026552178598355, 2.611474332356361, 2.169964552179654, 2.0802627344249323]


**isite= 9
Li1 : [1.5649829 1.4190063 9.252768 ]

ce_symbol  = S:5
ce_fraction=  0.628824280549592
species:coords:index
O1 : [3.2588802 0.5384072 8.426481 ] : 86
O1 : [ 0.5384072  1.4806198 10.998981 ] : 59
O1 : [ 3.4389812  2.0692657 10.132563 ] : 99
O1 : [0.     0.     7.7175] : 77
O1 : [0.6360409 3.0560296 8.682702 ] : 90
!!!atention to nb coordination!!!
         [2.0802627344249323, 2.0265521785983545, 2.169964552179654, 2.611474332356361, 1.966660562594088]
         [2.0802627344249323, 2.0265521785983545, 2.169964552179654, 2.6114743323563605, 1.966660562594088]

ce_symbol  = T:5
ce_fraction=  0.371175719450408
species:coords:index
O1 : [3.2588802 0.5384072 8.426481 ] : 86
O1 : [ 0.5384072  1.4806198 10.998981 ] : 59
O1 : [ 3.4389812  2.0692657 10.132563 ] : 99
O1 : [0.     0.     7.7175] : 77
O1 : [0.6360409 3.0560296 8.682702 ] : 90
!!!atention to nb coordination!!!
         [2.0802627344249323, 2.0265521785983545, 2.169964552179654, 2.611474332356361, 1.966660562594088]
         [2.0802627344249323, 2.0265521785983545, 2.169964552179654, 2.6114743323563605, 1.966660562594088]


**isite= 10
Li1 : [1.4190063 3.1745171 1.535268 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495916
species:coords:index
O1 : [3.0560296 4.1034591 0.965202 ] : 63
O1 : [2.0692657 1.3005188 2.415063 ] : 68
O1 : [0.5384072 1.4806198 0.708981 ] : 59
O1 : [1.4806198 4.2010928 3.281481 ] : 84
O1 : [0.     4.7395 0.    ] : 48

ce_symbol  = T:5
ce_fraction=  0.3711757194504084
species:coords:index
O1 : [3.0560296 4.1034591 0.965202 ] : 63
O1 : [2.0692657 1.3005188 2.415063 ] : 68
O1 : [0.5384072 1.4806198 0.708981 ] : 59
O1 : [1.4806198 4.2010928 3.281481 ] : 84
O1 : [0.     4.7395 0.    ] : 48


**isite= 11
Li1 : [3.1745171 3.3204937 4.107768 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495922
species:coords:index
O1 : [4.7395 4.7395 2.5725] : 49
O1 : [1.4806198 4.2010928 3.281481 ] : 84
O1 : [1.3005188 2.6702343 4.987563 ] : 97
O1 : [4.1034591 1.6834704 3.537702 ] : 60
O1 : [4.2010928 3.2588802 5.853981 ] : 85
!!!atention to nb coordination!!!
         [2.611474332356361, 2.0802627344249323, 2.1699645521796542, 1.966660562594088, 2.0265521785983545]
         [2.6114743323563605, 2.0802627344249323, 2.1699645521796542, 1.966660562594088, 2.0265521785983545]

ce_symbol  = T:5
ce_fraction=  0.3711757194504078
species:coords:index
O1 : [4.7395 4.7395 2.5725] : 49
O1 : [1.4806198 4.2010928 3.281481 ] : 84
O1 : [1.3005188 2.6702343 4.987563 ] : 97
O1 : [4.1034591 1.6834704 3.537702 ] : 60
O1 : [4.2010928 3.2588802 5.853981 ] : 85
!!!atention to nb coordination!!!
         [2.611474332356361, 2.0802627344249323, 2.1699645521796542, 1.966660562594088, 2.0265521785983545]
         [2.6114743323563605, 2.0802627344249323, 2.1699645521796542, 1.966660562594088, 2.0265521785983545]


**isite= 12
Li1 : [6.1585063 1.5649829 1.535268 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495918
species:coords:index
O1 : [5.2779072 3.2588802 0.708981 ] : 83
O1 : [6.8087657 3.4389812 2.415063 ] : 74
O1 : [6.2201198 0.5384072 3.281481 ] : 54
O1 : [7.7955296 0.6360409 0.965202 ] : 67
O1 : [4.7395 0.     0.    ] : 78
!!!atention to nb coordination!!!
         [2.0802627344249323, 2.169964552179654, 2.026552178598355, 1.9666605625940887, 2.6114743323563605]
         [2.080262734424932, 2.169964552179654, 2.026552178598355, 1.9666605625940887, 2.6114743323563605]

ce_symbol  = T:5
ce_fraction=  0.3711757194504083
species:coords:index
O1 : [5.2779072 3.2588802 0.708981 ] : 83
O1 : [6.8087657 3.4389812 2.415063 ] : 74
O1 : [6.2201198 0.5384072 3.281481 ] : 54
O1 : [7.7955296 0.6360409 0.965202 ] : 67
O1 : [4.7395 0.     0.    ] : 78
!!!atention to nb coordination!!!
         [2.0802627344249323, 2.169964552179654, 2.026552178598355, 1.9666605625940887, 2.6114743323563605]
         [2.080262734424932, 2.169964552179654, 2.026552178598355, 1.9666605625940887, 2.6114743323563605]


**isite= 13
Li1 : [6.3044829 3.3204937 9.252768 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495893
species:coords:index
O1 : [5.3755409 1.6834704 8.682702 ] : 92
O1 : [ 5.2779072  3.2588802 10.998981 ] : 83
O1 : [4.7395 4.7395 7.7175] : 79
O1 : [ 8.1784812  2.6702343 10.132563 ] : 75
O1 : [7.9983802 4.2010928 8.426481 ] : 52
!!!atention to nb coordination!!!
         [1.9666605625940876, 2.026552178598355, 2.611474332356361, 2.1699645521796542, 2.080262734424931]
         [1.9666605625940874, 2.026552178598355, 2.611474332356361, 2.1699645521796542, 2.080262734424932]

ce_symbol  = T:5
ce_fraction=  0.3711757194504108
species:coords:index
O1 : [5.3755409 1.6834704 8.682702 ] : 92
O1 : [ 5.2779072  3.2588802 10.998981 ] : 83
O1 : [4.7395 4.7395 7.7175] : 79
O1 : [ 8.1784812  2.6702343 10.132563 ] : 75
O1 : [7.9983802 4.2010928 8.426481 ] : 52
!!!atention to nb coordination!!!
         [1.9666605625940876, 2.026552178598355, 2.611474332356361, 2.1699645521796542, 2.080262734424931]
         [1.9666605625940874, 2.026552178598355, 2.611474332356361, 2.1699645521796542, 2.080262734424932]


**isite= 14
Li1 : [8.0599937 3.1745171 6.680268 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495935
species:coords:index
O1 : [7.4097343 1.3005188 7.560063 ] : 100
O1 : [8.9405928 1.4806198 5.853981 ] : 81
O1 : [7.9983802 4.2010928 8.426481 ] : 52
O1 : [9.479  4.7395 5.145 ] : 50
O1 : [6.4229704 4.1034591 6.110202 ] : 65
!!!atention to nb coordination!!!
         [2.169964552179654, 2.0802627344249323, 2.0265521785983545, 2.611474332356361, 1.9666605625940892]
         [2.169964552179654, 2.0802627344249323, 2.0265521785983545, 2.6114743323563605, 1.9666605625940885]

ce_symbol  = T:5
ce_fraction=  0.3711757194504065
species:coords:index
O1 : [7.4097343 1.3005188 7.560063 ] : 100
O1 : [8.9405928 1.4806198 5.853981 ] : 81
O1 : [7.9983802 4.2010928 8.426481 ] : 52
O1 : [9.479  4.7395 5.145 ] : 50
O1 : [6.4229704 4.1034591 6.110202 ] : 65
!!!atention to nb coordination!!!
         [2.169964552179654, 2.0802627344249323, 2.0265521785983545, 2.611474332356361, 1.9666605625940892]
         [2.169964552179654, 2.0802627344249323, 2.0265521785983545, 2.6114743323563605, 1.9666605625940885]


**isite= 15
Li1 : [7.9140171 1.4190063 4.107768 ]

ce_symbol  = S:5
ce_fraction=  0.6288242805495956
species:coords:index
O1 : [8.9405928 1.4806198 5.853981 ] : 81
O1 : [9.479  0.     2.5725] : 51
O1 : [6.2201198 0.5384072 3.281481 ] : 54
O1 : [6.0400188 2.0692657 4.987563 ] : 73
O1 : [8.8429591 3.0560296 3.537702 ] : 94

ce_symbol  = T:5
ce_fraction=  0.37117571945040456
species:coords:index
O1 : [8.9405928 1.4806198 5.853981 ] : 81
O1 : [9.479  0.     2.5725] : 51
O1 : [6.2201198 0.5384072 3.281481 ] : 54
O1 : [6.0400188 2.0692657 4.987563 ] : 73
O1 : [8.8429591 3.0560296 3.537702 ] : 94


**isite= 16
B1 : [7.8855801 5.5556419 8.224797 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [7.9983802 4.2010928 8.426481 ] : 52
O1 : [8.8429591 6.4229704 8.682702 ] : 88
O1 : [6.8087657 6.0400188 7.560063 ] : 96
!!!atention to nb coordination!!!
         [1.374119195239925, 1.3705875621711454, 1.35499871736359]
         [1.3741191952399252, 1.3705875621711459, 1.3549987173635893]

ce_symbol  = TY:3
ce_fraction=  4.440566933393153e-06
species:coords:index
O1 : [7.9983802 4.2010928 8.426481 ] : 52
O1 : [8.8429591 6.4229704 8.682702 ] : 88
O1 : [6.8087657 6.0400188 7.560063 ] : 96
!!!atention to nb coordination!!!
         [1.374119195239925, 1.3705875621711454, 1.35499871736359]
         [1.3741191952399252, 1.3705875621711459, 1.3549987173635893]


**isite= 17
B1 : [5.5556419 6.3329199 0.507297 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [4.2010928 6.2201198 0.708981 ] : 53
O1 : [ 6.0400188  7.4097343 -0.157437 ] : 69
O1 : [6.4229704 5.3755409 0.965202 ] : 61
!!!atention to nb coordination!!!
         [1.3741191952399248, 1.3549987173635907, 1.370587562171145]
         [1.3741191952399248, 1.3549987173635902, 1.3705875621711456]

ce_symbol  = TY:3
ce_fraction=  4.440566933393662e-06
species:coords:index
O1 : [4.2010928 6.2201198 0.708981 ] : 53
O1 : [ 6.0400188  7.4097343 -0.157437 ] : 69
O1 : [6.4229704 5.3755409 0.965202 ] : 61
!!!atention to nb coordination!!!
         [1.3741191952399248, 1.3549987173635907, 1.370587562171145]
         [1.3741191952399248, 1.3549987173635902, 1.3705875621711456]


**isite= 18
B1 : [6.3329199 8.6628581 3.079797 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [ 6.2201198 10.0174072  3.281481 ] : 54
O1 : [5.3755409 7.7955296 3.537702 ] : 62
O1 : [7.4097343 8.1784812 2.415063 ] : 70

ce_symbol  = TY:3
ce_fraction=  4.440566933393279e-06
species:coords:index
O1 : [ 6.2201198 10.0174072  3.281481 ] : 54
O1 : [5.3755409 7.7955296 3.537702 ] : 62
O1 : [7.4097343 8.1784812 2.415063 ] : 70


**isite= 19
B1 : [8.6628581 7.8855801 5.652297 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [7.7955296 8.8429591 6.110202 ] : 91
O1 : [10.0174072  7.9983802  5.853981 ] : 55
O1 : [8.1784812 6.8087657 4.987563 ] : 71
!!!atention to nb coordination!!!
         [1.3705875621711452, 1.3741191952399248, 1.3549987173635905]
         [1.370587562171145, 1.374119195239925, 1.3549987173635898]

ce_symbol  = TY:3
ce_fraction=  4.440566933393643e-06
species:coords:index
O1 : [7.7955296 8.8429591 6.110202 ] : 91
O1 : [10.0174072  7.9983802  5.853981 ] : 55
O1 : [8.1784812 6.8087657 4.987563 ] : 71
!!!atention to nb coordination!!!
         [1.3705875621711452, 1.3741191952399248, 1.3549987173635905]
         [1.370587562171145, 1.374119195239925, 1.3549987173635898]


**isite= 20
B1 : [6.3329199 0.8161419 8.224797 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [5.3755409 1.6834704 8.682702 ] : 92
O1 : [ 6.2201198 -0.5384072  8.426481 ] : 56
O1 : [7.4097343 1.3005188 7.560063 ] : 100
!!!atention to nb coordination!!!
         [1.370587562171147, 1.3741191952399259, 1.3549987173635891]
         [1.370587562171147, 1.3741191952399254, 1.3549987173635891]

ce_symbol  = TY:3
ce_fraction=  4.440566933393353e-06
species:coords:index
O1 : [5.3755409 1.6834704 8.682702 ] : 92
O1 : [ 6.2201198 -0.5384072  8.426481 ] : 56
O1 : [7.4097343 1.3005188 7.560063 ] : 100
!!!atention to nb coordination!!!
         [1.370587562171147, 1.3741191952399259, 1.3549987173635891]
         [1.370587562171147, 1.3741191952399254, 1.3549987173635891]


**isite= 21
B1 : [5.5556419 3.1460801 5.652297 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [6.4229704 4.1034591 6.110202 ] : 65
O1 : [6.0400188 2.0692657 4.987563 ] : 73
O1 : [4.2010928 3.2588802 5.853981 ] : 85
!!!atention to nb coordination!!!
         [1.3705875621711447, 1.3549987173635907, 1.3741191952399248]
         [1.3705875621711452, 1.3549987173635907, 1.3741191952399248]

ce_symbol  = TY:3
ce_fraction=  4.440566933393326e-06
species:coords:index
O1 : [6.4229704 4.1034591 6.110202 ] : 65
O1 : [6.0400188 2.0692657 4.987563 ] : 73
O1 : [4.2010928 3.2588802 5.853981 ] : 85
!!!atention to nb coordination!!!
         [1.3705875621711447, 1.3549987173635907, 1.3741191952399248]
         [1.3705875621711452, 1.3549987173635907, 1.3741191952399248]


**isite= 22
B1 : [7.8855801 3.9233581 3.079797 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [8.8429591 3.0560296 3.537702 ] : 94
O1 : [6.8087657 3.4389812 2.415063 ] : 74
O1 : [7.9983802 5.2779072 3.281481 ] : 58
!!!atention to nb coordination!!!
         [1.370587562171146, 1.354998717363591, 1.3741191952399243]
         [1.370587562171146, 1.3549987173635902, 1.3741191952399243]

