cif name= ./4030273.cif
./4030273.cif
Full Formula (K8 Ge32 O68)
 47  O     0.6446   0.75     0.042
 48  O     0.15     0.25     0.6517
 49  O     0.35     0.75     0.1517
 50  O     0.65     0.25     0.8483
 51  O     0.85     0.75     0.3483
 52  O     0.3385   0.25     0.7592
 53  O     0.1615   0.75     0.2592
 54  O     0.8385   0.25     0.7408
 55  O     0.6615   0.75     0.2408
 56  O     0.8332   0.25     0.138
 57  O     0.6668   0.75     0.638
 58  O     0.3332   0.25     0.362
 59  O     0.1668   0.75     0.862
 60  O     0.2011   0.0644   0.8809
 61  O     0.2989   0.9356   0.3809
 62  O     0.7011   0.4356   0.6191
 63  O     0.7989   0.5644   0.1191
 64  O     0.7989   0.9356   0.1191
 65  O     0.7011   0.0644   0.6191
 66  O     0.2989   0.5644   0.3809
 67  O     0.2011   0.4356   0.8809
 68  O     0.136    0.5622   0.6941
 69  O     0.364    0.4378   0.1941
 70  O     0.636    0.9378   0.8059
 71  O     0.864    0.0622   0.3059
 72  O     0.864    0.4378   0.3059
 73  O     0.636    0.5622   0.8059
 74  O     0.364    0.0622   0.1941
 75  O     0.136    0.9378   0.6941
 76  O     0.5031   0.5468   0.6392
 77  O     0.9969   0.4532   0.1392
 78  O     0.0031   0.9532   0.8608
 79  O     0.4969   0.0468   0.3608
 80  O     0.4969   0.4532   0.3608
 81  O     0.0031   0.5468   0.8608
 82  O     0.9969   0.0468   0.1392
 83  O     0.5031   0.9532   0.6392
 84  O     0.1365   0.4548   0.4972
 85  O     0.3635   0.5452   0.9972
 86  O     0.6365   0.0452   0.0028
 87  O     0.8635   0.9548   0.5028
 88  O     0.8635   0.5452   0.5028
 89  O     0.6365   0.4548   0.0028
 90  O     0.3635   0.9548   0.9972
 91  O     0.1365   0.0452   0.4972
 92  O     0.4066   0.5093   0.8083
 93  O     0.0934   0.4907   0.3083
 94  O     0.9066   0.9907   0.6917
 95  O     0.5934   0.0093   0.1917
 96  O     0.5934   0.4907   0.1917
 97  O     0.9066   0.5093   0.6917
 98  O     0.0934   0.0093   0.3083
 99  O     0.4066   0.9907   0.8083
100  O     0.3181   0.4628   0.6067
101  O     0.1819   0.5372   0.1067
102  O     0.8181   0.0372   0.8933
103  O     0.6819   0.9628   0.3933
104  O     0.6819   0.5372   0.3933
105  O     0.8181   0.4628   0.8933
106  O     0.1819   0.9628   0.1067
107  O     0.3181   0.0372   0.6067

space_group_IT_number 62

*** lse ***


**isite= 0
K1 : [7.9771386 2.2       6.4466412]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [9.3744081 3.83328   8.2786052] : 62
O1 : [9.3744081 0.56672   8.2786052] : 65
O1 : [6.6440499 3.98816   4.8246176] : 80
O1 : [6.6440499 0.41184   4.8246176] : 79
O1 : [6.5063286 2.2       8.718544 ] : 40
!!!atention to nb coordination!!!
         [2.8241915146332146, 2.8241915146332146, 2.757825633832683, 2.7578256338326828, 2.7064412775354727]
         [2.824191514633215, 2.824191514633215, 2.757825633832683, 2.7578256338326828, 2.7064412775354727]


**isite= 1
K1 : [12.0793614  6.6       13.1326412]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [13.5501714  6.6       15.404544 ] : 41
O1 : [10.6820919  4.96672   14.9646052] : 63
O1 : [10.6820919  8.23328   14.9646052] : 64
O1 : [13.4124501  8.38816   11.5106176] : 78
O1 : [13.4124501  4.81184   11.5106176] : 81
!!!atention to nb coordination!!!
         [2.7064412775354705, 2.824191514633214, 2.8241915146332133, 2.757825633832684, 2.757825633832683]
         [2.706441277535471, 2.824191514633213, 2.824191514633212, 2.757825633832684, 2.757825633832683]


**isite= 2
K1 : [1.2916386 2.2       0.2393588]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [-0.0414501  3.98816    1.8613824] : 77
O1 : [-0.0414501  0.41184    1.8613824] : 82
O1 : [ 2.6889081  0.56672   -1.5926052] : 60
O1 : [ 2.6889081  3.83328   -1.5926052] : 67
O1 : [-0.1791714  2.2       -2.032544 ] : 42
!!!atention to nb coordination!!!
         [2.7578256338326828, 2.7578256338326823, 2.8241915146332146, 2.8241915146332146, 2.7064412775354723]
         [2.7578256338326823, 2.757825633832682, 2.8241915146332146, 2.8241915146332146, 2.7064412775354714]


**isite= 3
K1 : [5.3938614 6.6       6.9253588]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [3.9965919 8.23328   5.0933948] : 61
O1 : [3.9965919 4.96672   5.0933948] : 66
O1 : [6.8646714 6.6       4.653456 ] : 43
O1 : [6.7269501 8.38816   8.5473824] : 83
O1 : [6.7269501 4.81184   8.5473824] : 76
!!!atention to nb coordination!!!
         [2.8241915146332124, 2.8241915146332133, 2.706441277535472, 2.757825633832684, 2.757825633832683]
         [2.824191514633213, 2.8241915146332137, 2.706441277535472, 2.757825633832684, 2.757825633832683]


**isite= 4
K1 : [6.7777599 2.2       1.2797004]


**isite= 5
K1 : [13.2787401  6.6        7.9657004]


**isite= 6
K1 : [0.0922599 2.2       5.4062996]


**isite= 7
K1 : [ 6.5932401  6.6       12.0922996]


**isite= 8
Ge1 : [5.5382682  0.800448   9.25382516]

ce_symbol  = T:5
ce_fraction=  0.9748239762812506
species:coords:index
O1 : [4.2533151 0.32736   8.1127924] : 107
O1 : [6.5063286 2.2       8.718544 ] : 40
O1 : [ 5.4366486 -0.08184   10.8085876] : 99
O1 : [ 6.7269501 -0.41184    8.5473824] : 83
O1 : [ 4.5260835  2.2       10.1520224] : 52
!!!atention to nb coordination!!!
         [1.7823783224492007, 1.7839317977442692, 1.7905431865450574, 1.8389312731823422, 1.946797870751277]
         [1.7823783224492007, 1.7839317977442697, 1.7905431865450554, 1.8389312731823426, 1.9467978707512772]

ce_symbol  = S:5
ce_fraction=  0.025176023718749434
species:coords:index
O1 : [4.2533151 0.32736   8.1127924] : 107
O1 : [6.5063286 2.2       8.718544 ] : 40
O1 : [ 5.4366486 -0.08184   10.8085876] : 99
O1 : [ 6.7269501 -0.41184    8.5473824] : 83
O1 : [ 4.5260835  2.2       10.1520224] : 52
!!!atention to nb coordination!!!
         [1.7823783224492007, 1.7839317977442692, 1.7905431865450574, 1.8389312731823422, 1.946797870751277]
         [1.7823783224492007, 1.7839317977442697, 1.7905431865450554, 1.8389312731823426, 1.9467978707512772]


**isite= 9
Ge1 : [1.1472318  7.999552   2.56782516]

ce_symbol  = T:5
ce_fraction=  0.9748239762812507
species:coords:index
O1 : [2.1594165 6.6       3.4660224] : 53
O1 : [0.1791714 6.6       2.032544 ] : 41
O1 : [2.4321849 8.47264   1.4267924] : 106
O1 : [1.2488514 8.88184   4.1225876] : 98
O1 : [-0.0414501  9.21184    1.8613824] : 82
!!!atention to nb coordination!!!
         [1.946797870751277, 1.7839317977442708, 1.7823783224491998, 1.7905431865450556, 1.8389312731823442]
         [1.9467978707512763, 1.7839317977442701, 1.7823783224491998, 1.7905431865450556, 1.838931273182344]

ce_symbol  = S:5
ce_fraction=  0.02517602371874924
species:coords:index
O1 : [2.1594165 6.6       3.4660224] : 53
O1 : [0.1791714 6.6       2.032544 ] : 41
O1 : [2.4321849 8.47264   1.4267924] : 106
O1 : [1.2488514 8.88184   4.1225876] : 98
O1 : [-0.0414501  9.21184    1.8613824] : 82
!!!atention to nb coordination!!!
         [1.946797870751277, 1.7839317977442708, 1.7823783224491998, 1.7905431865450556, 1.8389312731823442]
         [1.9467978707512763, 1.7839317977442701, 1.7823783224491998, 1.7905431865450556, 1.838931273182344]


**isite= 10
Ge1 : [12.2237682   3.599552   10.80417484]

ce_symbol  = T:5
ce_fraction=  0.974823976281251
species:coords:index
O1 : [13.1918286  2.2       11.339456 ] : 42
O1 : [10.9388151  4.07264   11.9452076] : 105
O1 : [11.2115835  2.2        9.9059776] : 54
O1 : [13.4124501  4.81184   11.5106176] : 81
O1 : [12.1221486  4.48184    9.2494124] : 97
!!!atention to nb coordination!!!
         [1.78393179774427, 1.7823783224492016, 1.946797870751277, 1.8389312731823422, 1.790543186545055]
         [1.7839317977442695, 1.7823783224492005, 1.9467978707512765, 1.8389312731823422, 1.7905431865450554]

ce_symbol  = S:5
ce_fraction=  0.025176023718749056
species:coords:index
O1 : [13.1918286  2.2       11.339456 ] : 42
O1 : [10.9388151  4.07264   11.9452076] : 105
O1 : [11.2115835  2.2        9.9059776] : 54
O1 : [13.4124501  4.81184   11.5106176] : 81
O1 : [12.1221486  4.48184    9.2494124] : 97
!!!atention to nb coordination!!!
         [1.78393179774427, 1.7823783224492016, 1.946797870751277, 1.8389312731823422, 1.790543186545055]
         [1.7839317977442695, 1.7823783224492005, 1.9467978707512765, 1.8389312731823422, 1.7905431865450554]


**isite= 11
Ge1 : [7.8327318  5.200448   4.11817484]

ce_symbol  = T:5
ce_fraction=  0.9748239762812503
species:coords:index
O1 : [7.9343514 4.31816   2.5634124] : 96
O1 : [6.6440499 3.98816   4.8246176] : 80
O1 : [9.1176849 4.72736   5.2592076] : 104
O1 : [8.8449165 6.6       3.2199776] : 55
O1 : [6.8646714 6.6       4.653456 ] : 43
!!!atention to nb coordination!!!
         [1.790543186545054, 1.838931273182343, 1.7823783224492016, 1.9467978707512765, 1.7839317977442697]
         [1.790543186545054, 1.8389312731823428, 1.7823783224492016, 1.946797870751277, 1.7839317977442704]

ce_symbol  = S:5
ce_fraction=  0.02517602371874974
species:coords:index
O1 : [7.9343514 4.31816   2.5634124] : 96
O1 : [6.6440499 3.98816   4.8246176] : 80
O1 : [9.1176849 4.72736   5.2592076] : 104
O1 : [8.8449165 6.6       3.2199776] : 55
O1 : [6.8646714 6.6       4.653456 ] : 43
!!!atention to nb coordination!!!
         [1.790543186545054, 1.838931273182343, 1.7823783224492016, 1.9467978707512765, 1.7839317977442697]
         [1.790543186545054, 1.8389312731823428, 1.7823783224492016, 1.946797870751277, 1.7839317977442704]


**isite= 12
Ge1 : [7.8327318  7.999552   4.11817484]

ce_symbol  = T:5
ce_fraction=  0.9748239762812501
species:coords:index
O1 : [8.8449165 6.6       3.2199776] : 55
O1 : [6.8646714 6.6       4.653456 ] : 43
O1 : [7.9343514 8.88184   2.5634124] : 95
O1 : [9.1176849 8.47264   5.2592076] : 103
O1 : [6.6440499 9.21184   4.8246176] : 79
!!!atention to nb coordination!!!
         [1.9467978707512776, 1.783931797744271, 1.7905431865450545, 1.7823783224492016, 1.8389312731823433]
         [1.946797870751277, 1.7839317977442704, 1.7905431865450545, 1.7823783224492016, 1.8389312731823435]

ce_symbol  = S:5
ce_fraction=  0.025176023718749847
species:coords:index
O1 : [8.8449165 6.6       3.2199776] : 55
O1 : [6.8646714 6.6       4.653456 ] : 43
O1 : [7.9343514 8.88184   2.5634124] : 95
O1 : [9.1176849 8.47264   5.2592076] : 103
O1 : [6.6440499 9.21184   4.8246176] : 79
!!!atention to nb coordination!!!
         [1.9467978707512776, 1.783931797744271, 1.7905431865450545, 1.7823783224492016, 1.8389312731823433]
         [1.946797870751277, 1.7839317977442704, 1.7905431865450545, 1.7823783224492016, 1.8389312731823435]


**isite= 13
Ge1 : [12.2237682   0.800448   10.80417484]

ce_symbol  = T:5
ce_fraction=  0.9748239762812511
species:coords:index
O1 : [10.9388151  0.32736   11.9452076] : 102
O1 : [13.4124501 -0.41184   11.5106176] : 78
O1 : [13.1918286  2.2       11.339456 ] : 42
O1 : [11.2115835  2.2        9.9059776] : 54
O1 : [12.1221486 -0.08184    9.2494124] : 94
!!!atention to nb coordination!!!
         [1.7823783224492018, 1.8389312731823415, 1.7839317977442692, 1.9467978707512765, 1.7905431865450556]
         [1.7823783224492007, 1.8389312731823422, 1.7839317977442697, 1.9467978707512767, 1.7905431865450554]

ce_symbol  = S:5
ce_fraction=  0.025176023718749
species:coords:index
O1 : [10.9388151  0.32736   11.9452076] : 102
O1 : [13.4124501 -0.41184   11.5106176] : 78
O1 : [13.1918286  2.2       11.339456 ] : 42
O1 : [11.2115835  2.2        9.9059776] : 54
O1 : [12.1221486 -0.08184    9.2494124] : 94
!!!atention to nb coordination!!!
         [1.7823783224492018, 1.8389312731823415, 1.7839317977442692, 1.9467978707512765, 1.7905431865450556]
         [1.7823783224492007, 1.8389312731823422, 1.7839317977442697, 1.9467978707512767, 1.7905431865450554]


**isite= 14
Ge1 : [1.1472318  5.200448   2.56782516]

ce_symbol  = T:5
ce_fraction=  0.9748239762812506
species:coords:index
O1 : [2.4321849 4.72736   1.4267924] : 101
O1 : [0.1791714 6.6       2.032544 ] : 41
O1 : [2.1594165 6.6       3.4660224] : 53
O1 : [-0.0414501  3.98816    1.8613824] : 77
O1 : [1.2488514 4.31816   4.1225876] : 93
!!!atention to nb coordination!!!
         [1.7823783224491998, 1.7839317977442695, 1.9467978707512756, 1.838931273182344, 1.7905431865450552]
         [1.7823783224491998, 1.7839317977442701, 1.9467978707512763, 1.8389312731823433, 1.7905431865450552]

ce_symbol  = S:5
ce_fraction=  0.025176023718749385
species:coords:index
O1 : [2.4321849 4.72736   1.4267924] : 101
O1 : [0.1791714 6.6       2.032544 ] : 41
O1 : [2.1594165 6.6       3.4660224] : 53
O1 : [-0.0414501  3.98816    1.8613824] : 77
O1 : [1.2488514 4.31816   4.1225876] : 93
!!!atention to nb coordination!!!
         [1.7823783224491998, 1.7839317977442695, 1.9467978707512756, 1.838931273182344, 1.7905431865450552]
         [1.7823783224491998, 1.7839317977442701, 1.9467978707512763, 1.8389312731823433, 1.7905431865450552]


**isite= 15
Ge1 : [5.5382682  3.599552   9.25382516]

ce_symbol  = T:5
ce_fraction=  0.9748239762812507
species:coords:index
O1 : [ 4.5260835  2.2       10.1520224] : 52
O1 : [4.2533151 4.07264   8.1127924] : 100
O1 : [ 5.4366486  4.48184   10.8085876] : 92
O1 : [6.7269501 4.81184   8.5473824] : 76
O1 : [6.5063286 2.2       8.718544 ] : 40
!!!atention to nb coordination!!!
         [1.9467978707512774, 1.7823783224492005, 1.7905431865450565, 1.8389312731823428, 1.78393179774427]
         [1.946797870751277, 1.7823783224492005, 1.7905431865450554, 1.8389312731823428, 1.7839317977442695]

ce_symbol  = S:5
ce_fraction=  0.02517602371874931
species:coords:index
O1 : [ 4.5260835  2.2       10.1520224] : 52
O1 : [4.2533151 4.07264   8.1127924] : 100
O1 : [ 5.4366486  4.48184   10.8085876] : 92
O1 : [6.7269501 4.81184   8.5473824] : 76
O1 : [6.5063286 2.2       8.718544 ] : 40
!!!atention to nb coordination!!!
         [1.9467978707512774, 1.7823783224492005, 1.7905431865450565, 1.8389312731823428, 1.78393179774427]
         [1.946797870751277, 1.7823783224492005, 1.7905431865450554, 1.8389312731823428, 1.7839317977442695]


**isite= 16
Ge1 : [2.54931486 0.628848   8.21629168]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [1.8251415 0.39776   6.6485584] : 91
O1 : [2.00565   2.2       8.7145324] : 48
O1 : [4.2533151 0.32736   8.1127924] : 107
O1 : [ 1.818456  -0.54736    9.2815052] : 75
!!!atention to nb coordination!!!
         [1.7423020278634969, 1.7356076463789087, 1.733558171226043, 1.7470832194532977]
         [1.7423020278634969, 1.7356076463789092, 1.733558171226043, 1.747083219453298]


**isite= 17
Ge1 : [4.13618514 8.171152   1.53029168]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.867044  9.34736   2.5955052] : 74
O1 : [4.67985   6.6       2.0285324] : 49
O1 : [ 4.8603585  8.40224   -0.0374416] : 90
O1 : [2.4321849 8.47264   1.4267924] : 106
!!!atention to nb coordination!!!
         [1.7470832194532986, 1.7356076463789092, 1.742302027863495, 1.7335581712260428]
         [1.7470832194532986, 1.7356076463789083, 1.7423020278634973, 1.7335581712260428]


**isite= 18
Ge1 : [ 9.23481486  3.771152   11.84170832]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 8.503956   4.94736   10.7764948] : 73
O1 : [ 8.5106415  4.00224   13.4094416] : 89
O1 : [10.9388151  4.07264   11.9452076] : 105
O1 : [ 8.69115    2.2       11.3434676] : 50
!!!atention to nb coordination!!!
         [1.7470832194532977, 1.7423020278634962, 1.7335581712260422, 1.7356076463789096]
         [1.7470832194532981, 1.7423020278634946, 1.7335581712260422, 1.7356076463789094]


**isite= 19
Ge1 : [10.82168514  5.028848    5.15570832]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [11.552544   3.85264    4.0904948] : 72
O1 : [11.5458585  4.79776    6.7234416] : 88
O1 : [9.1176849 4.72736   5.2592076] : 104
O1 : [11.36535    6.6        4.6574676] : 51
!!!atention to nb coordination!!!
         [1.7470832194532957, 1.7423020278634986, 1.7335581712260422, 1.7356076463789083]
         [1.7470832194532961, 1.7423020278634977, 1.7335581712260422, 1.735607646378909]


**isite= 20
Ge1 : [10.82168514  8.171152    5.15570832]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [9.1176849 8.47264   5.2592076] : 103
O1 : [11.552544   9.34736    4.0904948] : 71
O1 : [11.36535    6.6        4.6574676] : 51
O1 : [11.5458585  8.40224    6.7234416] : 87
!!!atention to nb coordination!!!
         [1.7335581712260422, 1.7470832194532975, 1.735607646378909, 1.7423020278634984]
         [1.7335581712260422, 1.747083219453298, 1.735607646378908, 1.7423020278634977]


**isite= 21
Ge1 : [ 9.23481486  0.628848   11.84170832]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [10.9388151  0.32736   11.9452076] : 102
O1 : [ 8.5106415  0.39776   13.4094416] : 86
O1 : [ 8.69115    2.2       11.3434676] : 50
O1 : [ 8.503956  -0.54736   10.7764948] : 70
!!!atention to nb coordination!!!
         [1.7335581712260422, 1.7423020278634962, 1.7356076463789092, 1.7470832194532981]
         [1.7335581712260422, 1.7423020278634944, 1.7356076463789096, 1.7470832194532981]


**isite= 22
Ge1 : [4.13618514 5.028848   1.53029168]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.867044  3.85264   2.5955052] : 69
O1 : [ 4.8603585  4.79776   -0.0374416] : 85
O1 : [4.67985   6.6       2.0285324] : 49
O1 : [2.4321849 4.72736   1.4267924] : 101
!!!atention to nb coordination!!!
         [1.7470832194532968, 1.742302027863495, 1.7356076463789083, 1.7335581712260426]
         [1.7470832194532968, 1.742302027863497, 1.7356076463789092, 1.7335581712260426]


**isite= 23
Ge1 : [2.54931486 3.771152   8.21629168]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [1.8251415 4.00224   6.6485584] : 84
O1 : [1.818456  4.94736   9.2815052] : 68
O1 : [2.00565   2.2       8.7145324] : 48
O1 : [4.2533151 4.07264   8.1127924] : 100
!!!atention to nb coordination!!!
         [1.7423020278634969, 1.7470832194532973, 1.7356076463789094, 1.733558171226043]
         [1.7423020278634969, 1.747083219453298, 1.7356076463789092, 1.733558171226043]


**isite= 24
Ge1 : [ 4.42379535  0.687104   11.99254448]

ce_symbol  = T:5
ce_fraction=  0.7965869697025216
species:coords:index
O1 : [ 4.8603585 -0.39776   13.3345584] : 90
O1 : [ 2.6889081  0.56672   11.7793948] : 60
O1 : [ 4.7520534  2.2       12.810376 ] : 44
O1 : [ 5.4366486 -0.08184   10.8085876] : 99
O1 : [ 4.5260835  2.2       10.1520224] : 52
!!!atention to nb coordination!!!
         [1.7800333266283785, 1.7520727335794783, 1.7508443818087618, 1.7374983380915487, 2.384709353236562]
         [1.780033326628376, 1.7520727335794783, 1.750844381808762, 1.7374983380915499, 2.384709353236562]

ce_symbol  = T:4
ce_fraction=  0.114357017957375
species:coords:index
O1 : [ 4.8603585 -0.39776   13.3345584] : 90
O1 : [ 2.6889081  0.56672   11.7793948] : 60
O1 : [ 4.7520534  2.2       12.810376 ] : 44
O1 : [ 5.4366486 -0.08184   10.8085876] : 99
!!!atention to nb coordination!!!
         [1.7800333266283785, 1.7520727335794783, 1.7508443818087618, 1.7374983380915487]
         [1.780033326628376, 1.7520727335794783, 1.750844381808762, 1.7374983380915499]

ce_symbol  = S:5
ce_fraction=  0.08905601234010342
species:coords:index
O1 : [ 4.8603585 -0.39776   13.3345584] : 90
O1 : [ 2.6889081  0.56672   11.7793948] : 60
O1 : [ 4.7520534  2.2       12.810376 ] : 44
O1 : [ 5.4366486 -0.08184   10.8085876] : 99
O1 : [ 4.5260835  2.2       10.1520224] : 52
!!!atention to nb coordination!!!
         [1.7800333266283785, 1.7520727335794783, 1.7508443818087618, 1.7374983380915487, 2.384709353236562]
         [1.780033326628376, 1.7520727335794783, 1.750844381808762, 1.7374983380915499, 2.384709353236562]


**isite= 25
Ge1 : [2.26170465 8.112896   5.30654448]

ce_symbol  = T:5
ce_fraction=  0.7965869697025156
species:coords:index
O1 : [1.8251415 9.19776   6.6485584] : 91
O1 : [1.9334466 6.6       6.124376 ] : 45
O1 : [1.2488514 8.88184   4.1225876] : 98
O1 : [3.9965919 8.23328   5.0933948] : 61
O1 : [2.1594165 6.6       3.4660224] : 53
!!!atention to nb coordination!!!
         [1.7800333266283739, 1.7508443818087611, 1.7374983380915507, 1.7520727335794783, 2.3847093532365657]
         [1.780033326628375, 1.7508443818087605, 1.7374983380915507, 1.7520727335794783, 2.384709353236565]

ce_symbol  = T:4
ce_fraction=  0.11435701795738167
species:coords:index
O1 : [1.8251415 9.19776   6.6485584] : 91
O1 : [1.9334466 6.6       6.124376 ] : 45
O1 : [1.2488514 8.88184   4.1225876] : 98
O1 : [3.9965919 8.23328   5.0933948] : 61
!!!atention to nb coordination!!!
         [1.7800333266283739, 1.7508443818087611, 1.7374983380915507, 1.7520727335794783]
         [1.780033326628375, 1.7508443818087605, 1.7374983380915507, 1.7520727335794783]

ce_symbol  = S:5
ce_fraction=  0.08905601234010259
species:coords:index
O1 : [1.8251415 9.19776   6.6485584] : 91
O1 : [1.9334466 6.6       6.124376 ] : 45
O1 : [1.2488514 8.88184   4.1225876] : 98
O1 : [3.9965919 8.23328   5.0933948] : 61
O1 : [2.1594165 6.6       3.4660224] : 53
!!!atention to nb coordination!!!
         [1.7800333266283739, 1.7508443818087611, 1.7374983380915507, 1.7520727335794783, 2.3847093532365657]
         [1.780033326628375, 1.7508443818087605, 1.7374983380915507, 1.7520727335794783, 2.384709353236565]


**isite= 26
Ge1 : [11.10929535  3.712896    8.06545552]

ce_symbol  = T:5
ce_fraction=  0.796586969702522
species:coords:index
O1 : [11.5458585  4.79776    6.7234416] : 88
O1 : [9.3744081 3.83328   8.2786052] : 62
O1 : [11.4375534  2.2        7.247624 ] : 46
O1 : [12.1221486  4.48184    9.2494124] : 97
O1 : [11.2115835  2.2        9.9059776] : 54
!!!atention to nb coordination!!!
         [1.7800333266283748, 1.7520727335794781, 1.7508443818087625, 1.7374983380915499, 2.3847093532365626]
         [1.7800333266283754, 1.7520727335794781, 1.7508443818087618, 1.7374983380915503, 2.384709353236562]

ce_symbol  = T:4
ce_fraction=  0.11435701795737545
species:coords:index
O1 : [11.5458585  4.79776    6.7234416] : 88
O1 : [9.3744081 3.83328   8.2786052] : 62
O1 : [11.4375534  2.2        7.247624 ] : 46
O1 : [12.1221486  4.48184    9.2494124] : 97
!!!atention to nb coordination!!!
         [1.7800333266283748, 1.7520727335794781, 1.7508443818087625, 1.7374983380915499]
         [1.7800333266283754, 1.7520727335794781, 1.7508443818087618, 1.7374983380915503]

ce_symbol  = S:5
ce_fraction=  0.08905601234010255
species:coords:index
O1 : [11.5458585  4.79776    6.7234416] : 88
O1 : [9.3744081 3.83328   8.2786052] : 62
O1 : [11.4375534  2.2        7.247624 ] : 46
O1 : [12.1221486  4.48184    9.2494124] : 97
O1 : [11.2115835  2.2        9.9059776] : 54
!!!atention to nb coordination!!!
         [1.7800333266283748, 1.7520727335794781, 1.7508443818087625, 1.7374983380915499, 2.3847093532365626]
         [1.7800333266283754, 1.7520727335794781, 1.7508443818087618, 1.7374983380915503, 2.384709353236562]


**isite= 27
Ge1 : [8.94720465 5.087104   1.37945552]

ce_symbol  = T:5
ce_fraction=  0.7965869697025225
species:coords:index
O1 : [8.8449165 6.6       3.2199776] : 55
O1 : [7.9343514 4.31816   2.5634124] : 96
O1 : [10.6820919  4.96672    1.5926052] : 63
O1 : [8.6189466 6.6       0.561624 ] : 47
O1 : [8.5106415 4.00224   0.0374416] : 89
!!!atention to nb coordination!!!
         [2.3847093532365617, 1.7374983380915494, 1.75207273357948, 1.750844381808761, 1.7800333266283752]
         [2.384709353236562, 1.7374983380915494, 1.75207273357948, 1.7508443818087618, 1.7800333266283752]

ce_symbol  = T:4
ce_fraction=  0.11435701795737471
species:coords:index
O1 : [7.9343514 4.31816   2.5634124] : 96
O1 : [10.6820919  4.96672    1.5926052] : 63
O1 : [8.6189466 6.6       0.561624 ] : 47
O1 : [8.5106415 4.00224   0.0374416] : 89
!!!atention to nb coordination!!!
         [1.7374983380915494, 1.75207273357948, 1.750844381808761, 1.7800333266283752]
         [1.7374983380915494, 1.75207273357948, 1.7508443818087618, 1.7800333266283752]

ce_symbol  = S:5
ce_fraction=  0.08905601234010292
species:coords:index
O1 : [8.8449165 6.6       3.2199776] : 55
O1 : [7.9343514 4.31816   2.5634124] : 96
O1 : [10.6820919  4.96672    1.5926052] : 63
O1 : [8.6189466 6.6       0.561624 ] : 47
O1 : [8.5106415 4.00224   0.0374416] : 89
!!!atention to nb coordination!!!
