cif name= ./1536817.cif
./1536817.cif
Full Formula (In10 Mo36 O56)
 68  O     0.39136  0.23529  0.15216
 69  O     0.60864  0.73529  0.34784
 70  O     0.7256   0.25732  0.99336
 71  O     0.2744   0.75732  0.50664
 72  O     0.2744   0.74268  0.00664
 73  O     0.7256   0.24268  0.49336
 74  O     0.72176  0.73456  0.11828
 75  O     0.27824  0.23456  0.38172
 76  O     0.27824  0.26544  0.88172
 77  O     0.72176  0.76544  0.61828
 78  O     0.6132   0.23341  0.20791
 79  O     0.3868   0.73341  0.29209
 80  O     0.3868   0.76659  0.79209
 81  O     0.6132   0.26659  0.70791
 82  O     0.83408  0.23942  0.26168
 83  O     0.16592  0.73942  0.23832
 84  O     0.16592  0.76058  0.73832
 85  O     0.83408  0.26058  0.76168
 86  O     0.7204   0.00665  0.7942
 87  O     0.2796   0.50665  0.7058
 88  O     0.2796   0.99335  0.2058
 89  O     0.7204   0.49335  0.2942
 90  O     0.94807  0.2369   0.03396
 91  O     0.05193  0.7369   0.46604
 92  O     0.05193  0.7631   0.96604
 93  O     0.94807  0.2631   0.53396
 94  O     0.94579  0.74587  0.18919
 95  O     0.05421  0.24587  0.31081
 96  O     0.05421  0.25413  0.81081
 97  O     0.94579  0.75413  0.68919
 98  O     0.83087  0.76302  0.90602
 99  O     0.16913  0.26302  0.59398
100  O     0.16913  0.23698  0.09398
101  O     0.83087  0.73698  0.40602

space_group_IT_number 14

*** lse ***


**isite= 0
In1 : [10.8327065   0.43815036  5.49742495]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
In1 : [ 8.22658481 -0.07681672  5.42418293] : 4
O1 : [11.53824566  2.50439628  5.18677779] : 93
O1 : [11.75303275 -0.11432079  3.51717077] : 58
O1 : [12.82561914  0.11432079  6.19662389] : 60
O1 : [10.93437777  0.04721325  8.43817914] : 46
!!!atention to nb coordination!!!
         [2.6575224766207888, 2.2053705691935863, 2.252472284037806, 2.136690329950269, 2.9683672452716077]
         [2.6575224766207888, 2.2053705691935868, 2.2524722840378066, 2.136690329950269, 2.9683672452716077]


**isite= 1
In1 : [-0.42732866  5.19755036  9.07326703]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
In1 : [2.17879302 4.68258328 9.14650905] : 5
O1 : [-0.52899994  4.80661325  6.13251284] : 47
O1 : [-1.34765491  4.64507921 11.05352121] : 59
O1 : [-1.13286782  7.26379628  9.38391419] : 92
O1 : [-2.42024131  4.87372079  8.37406809] : 61
!!!atention to nb coordination!!!
         [2.6575224766207888, 2.9683672452716086, 2.2524722840378066, 2.2053705691935876, 2.136690329950269]
         [2.6575224766207888, 2.9683672452716086, 2.2524722840378053, 2.2053705691935868, 2.1366903299502695]


**isite= 2
In1 : [0.51464539 9.08064964 4.21636971]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [0.41297412 9.47158675 1.27561551] : 48
In1 : [3.12076708 9.59561672 4.28961172] : 6
O1 : [-0.40568086  9.63312079  6.19662389] : 60
O1 : [-1.47826725  9.40447921  3.51717077] : 58
O1 : [-0.19089377  7.01440372  4.52701686] : 91
!!!atention to nb coordination!!!
         [2.968367245271609, 2.6575224766207888, 2.2524722840378057, 2.136690329950268, 2.205370569193586]
         [2.9683672452716086, 2.657522476620789, 2.252472284037806, 2.1366903299502695, 2.2053705691935868]


**isite= 3
In1 : [11.77468055  4.32124964  0.64052762]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
In1 : [9.16855887 4.83621672 0.56728561] : 7
O1 : [11.87635183  4.71218675  3.58128181] : 49
O1 : [12.48021971  2.25500372  0.32988047] : 90
O1 : [12.6950068   4.87372079 -1.33972656] : 61
O1 : [13.7675932   4.64507921  1.33972656] : 59
!!!atention to nb coordination!!!
         [2.6575224766207906, 2.9683672452716086, 2.205370569193586, 2.252472284037807, 2.1366903299502695]
         [2.6575224766207888, 2.9683672452716086, 2.2053705691935868, 2.252472284037806, 2.1366903299502695]


**isite= 4
In1 : [8.22658481 9.44198328 5.42418293]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
In1 : [5.67367595 9.5188     4.85689733] : 8
O1 : [8.38501565 7.28607027 6.00584496] : 77
O1 : [8.03559693 9.58210002 7.71469571] : 86
O1 : [ 8.67116664 11.82882238  4.79239773] : 73
O1 : [8.94840029 9.42323125 3.08529546] : 50
In1 : [10.8327065   9.95695036  5.49742495] : 0
!!!atention to nb coordination!!!
         [2.6163060714355666, 2.2386138468907695, 2.3027283518931485, 2.50874598842728, 2.447807968200685, 2.6575224766207888]
         [2.6163060714355666, 2.23861384689077, 2.3027283518931485, 2.50874598842728, 2.447807968200685, 2.6575224766207888]


**isite= 5
In1 : [2.17879302 4.68258328 9.14650905]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
In1 : [4.73170189 4.7594     9.71379465] : 9
O1 : [2.36978091 4.82270002 6.85599627] : 87
O1 : [1.7342112  7.06942238 9.77829425] : 72
In1 : [-0.42732866  5.19755036  9.07326703] : 1
O1 : [ 1.45697755  4.66383125 11.48539652] : 51
O1 : [2.02036219 2.52667027 8.56484702] : 76
!!!atention to nb coordination!!!
         [2.6163060714355653, 2.3027283518931494, 2.50874598842728, 2.657522476620789, 2.447807968200684, 2.2386138468907713]
         [2.6163060714355653, 2.3027283518931494, 2.508745988427279, 2.6575224766207888, 2.447807968200684, 2.2386138468907713]


**isite= 6
In1 : [3.12076708 0.07681672 4.28961172]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 2.67618525 -2.31002238  4.92139692] : 71
O1 : [ 3.31175496 -0.06330002  1.99909894] : 88
In1 : [ 0.51464539 -0.43815036  4.21636971] : 2
O1 : [2.96233624 2.23272973 3.7079497 ] : 75
O1 : [2.3989516  0.09556875 6.6284992 ] : 52
In1 : [5.67367595 0.         4.85689733] : 8
!!!atention to nb coordination!!!
         [2.5087459884272785, 2.302728351893148, 2.6575224766207888, 2.238613846890772, 2.447807968200686, 2.6163060714355657]
         [2.50874598842728, 2.3027283518931485, 2.657522476620789, 2.2386138468907717, 2.447807968200686, 2.6163060714355657]


**isite= 7
In1 : [9.16855887 4.83621672 0.56728561]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [9.32698971 6.99212973 1.14894763] : 74
In1 : [6.61565 4.7594  0.     ] : 9
O1 : [ 9.6131407   2.44937762 -0.0644996 ] : 70
In1 : [11.77468055  4.32124964  0.64052762] : 3
O1 : [8.97757099 4.69609998 2.85779839] : 89
O1 : [ 9.89037434  4.85496875 -1.77160187] : 53
!!!atention to nb coordination!!!
         [2.2386138468907713, 2.6163060714355657, 2.50874598842728, 2.657522476620787, 2.3027283518931485, 2.4478079682006864]
         [2.2386138468907704, 2.6163060714355657, 2.50874598842728, 2.6575224766207888, 2.3027283518931485, 2.4478079682006864]


**isite= 8
In1 : [5.67367595 0.         4.85689733]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 6.15138118 -0.23777962  2.41154666] : 56
In1 : [ 8.22658481 -0.07681672  5.42418293] : 4
O1 : [5.82280035 2.40340181 4.16236101] : 65
O1 : [ 5.52455154 -2.40340181  5.55143364] : 63
O1 : [5.19597071 0.23777962 7.30224799] : 54
In1 : [3.12076708 0.07681672 4.28961172] : 6
!!!atention to nb coordination!!!
         [2.5028945884041214, 2.6163060714355666, 2.5061841622722145, 2.506184162272215, 2.5028945884041205, 2.6163060714355657]
         [2.5028945884041214, 2.6163060714355666, 2.5061841622722145, 2.5061841622722145, 2.5028945884041205, 2.6163060714355657]


**isite= 9
In1 : [6.61565 4.7594  0.     ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [6.13794477 4.52162038 2.44535067] : 57
O1 : [6.46652559 7.16280181 0.69453632] : 64
O1 : [ 6.76477441  2.35599819 -0.69453632] : 62
In1 : [ 4.06274113  4.68258328 -0.56728561] : 5
In1 : [9.16855887 4.83621672 0.56728561] : 7
O1 : [ 7.09335523  4.99717962 -2.44535067] : 55
!!!atention to nb coordination!!!
         [2.5028945884041214, 2.506184162272216, 2.5061841622722145, 2.616306071435566, 2.616306071435564, 2.502894588404121]
         [2.502894588404121, 2.506184162272215, 2.506184162272215, 2.6163060714355657, 2.6163060714355657, 2.502894588404121]


**isite= 10
Mo1 : [12.19309439  8.3059145   0.32036095]

ce_symbol  = S:5
ce_fraction=  0.9999996078655119
species:coords:index
O1 : [12.81832588  9.56601325 -1.27561551] : 46
O1 : [13.64427412  9.47158675  1.27561551] : 48
O1 : [13.98238029  7.26379628 -0.32988047] : 92
O1 : [12.15760708  7.09978736  1.83775281] : 94
O1 : [11.17054367  7.26303478 -0.91290242] : 98
!!!atention to nb coordination!!!
         [2.127417243791946, 2.092182037065936, 2.170338293511233, 1.9386799919754505, 1.9115822326122947]
         [2.127417243791945, 2.092182037065936, 2.1703382935112323, 1.938679991975451, 1.9115822326122953]

ce_symbol  = T:5
ce_fraction=  3.921344880716337e-07
species:coords:index
O1 : [12.81832588  9.56601325 -1.27561551] : 46
O1 : [13.64427412  9.47158675  1.27561551] : 48
O1 : [13.98238029  7.26379628 -0.32988047] : 92
O1 : [12.15760708  7.09978736  1.83775281] : 94
O1 : [11.17054367  7.26303478 -0.91290242] : 98
!!!atention to nb coordination!!!
         [2.127417243791946, 2.092182037065936, 2.170338293511233, 1.9386799919754505, 1.9115822326122947]
         [2.127417243791945, 2.092182037065936, 2.1703382935112323, 1.938679991975451, 1.9115822326122953]


**isite= 11
Mo1 : [0.09623156 3.5465145  4.53653638]

ce_symbol  = S:5
ce_fraction=  0.9999996078655119
species:coords:index
O1 : [0.13171886 2.34038736 3.01914452] : 95
O1 : [-1.35494817  4.71218675  3.58128181] : 49
O1 : [-1.69305434  2.50439628  5.18677779] : 93
O1 : [1.11878227 2.50363478 5.76979975] : 99
O1 : [-0.52899994  4.80661325  6.13251284] : 47
!!!atention to nb coordination!!!
         [1.938679991975451, 2.092182037065936, 2.1703382935112328, 1.9115822326122953, 2.127417243791945]
         [1.9386799919754512, 2.092182037065935, 2.1703382935112328, 1.9115822326122953, 2.127417243791945]

ce_symbol  = T:5
ce_fraction=  3.9213448807165997e-07
species:coords:index
O1 : [0.13171886 2.34038736 3.01914452] : 95
O1 : [-1.35494817  4.71218675  3.58128181] : 49
O1 : [-1.69305434  2.50439628  5.18677779] : 93
O1 : [1.11878227 2.50363478 5.76979975] : 99
O1 : [-0.52899994  4.80661325  6.13251284] : 47
!!!atention to nb coordination!!!
         [1.938679991975451, 2.092182037065936, 2.1703382935112328, 1.9115822326122953, 2.127417243791945]
         [1.9386799919754512, 2.092182037065935, 2.1703382935112328, 1.9115822326122953, 2.127417243791945]


**isite= 12
Mo1 : [-0.8457425   1.2128855   9.39343371]

ce_symbol  = S:5
ce_fraction=  0.9999996078655119
species:coords:index
O1 : [ 0.17680822  2.25576522 10.62669707] : 100
O1 : [-0.81025519  2.41901264  7.87604184] : 96
O1 : [-2.63502839  2.25500372 10.04367512] : 90
O1 : [-2.29692223  0.04721325  8.43817914] : 46
O1 : [-1.47097399 -0.04721325 10.98941017] : 48
!!!atention to nb coordination!!!
         [1.911582232612295, 1.938679991975452, 2.1703382935112354, 2.092182037065935, 2.127417243791944]
         [1.9115822326122953, 1.938679991975452, 2.1703382935112328, 2.092182037065935, 2.1274172437919443]

ce_symbol  = T:5
ce_fraction=  3.9213448807165156e-07
species:coords:index
O1 : [ 0.17680822  2.25576522 10.62669707] : 100
O1 : [-0.81025519  2.41901264  7.87604184] : 96
O1 : [-2.63502839  2.25500372 10.04367512] : 90
O1 : [-2.29692223  0.04721325  8.43817914] : 46
O1 : [-1.47097399 -0.04721325 10.98941017] : 48
!!!atention to nb coordination!!!
         [1.911582232612295, 1.938679991975452, 2.1703382935112354, 2.092182037065935, 2.127417243791944]
         [1.9115822326122953, 1.938679991975452, 2.1703382935112328, 2.092182037065935, 2.1274172437919443]


**isite= 13
Mo1 : [11.25112034  5.9722855   5.17725827]

ce_symbol  = S:5
ce_fraction=  0.9999996078655119
species:coords:index
O1 : [11.87635183  4.71218675  3.58128181] : 49
O1 : [13.04040623  7.01440372  4.52701686] : 91
O1 : [10.22856962  7.01516522  3.94399491] : 101
O1 : [11.21563303  7.17841264  6.69465014] : 97
O1 : [12.70230006  4.80661325  6.13251284] : 47
!!!atention to nb coordination!!!
         [2.1274172437919443, 2.170338293511233, 1.9115822326122964, 1.938679991975452, 2.0921820370659345]
         [2.1274172437919447, 2.1703382935112328, 1.911582232612296, 1.9386799919754516, 2.092182037065936]

ce_symbol  = T:5
ce_fraction=  3.9213448807154674e-07
species:coords:index
O1 : [11.87635183  4.71218675  3.58128181] : 49
O1 : [13.04040623  7.01440372  4.52701686] : 91
O1 : [10.22856962  7.01516522  3.94399491] : 101
O1 : [11.21563303  7.17841264  6.69465014] : 97
O1 : [12.70230006  4.80661325  6.13251284] : 47
!!!atention to nb coordination!!!
         [2.1274172437919443, 2.170338293511233, 1.9115822326122964, 1.938679991975452, 2.0921820370659345]
         [2.1274172437919447, 2.1703382935112328, 1.911582232612296, 1.9386799919754516, 2.092182037065936]


**isite= 14
Mo1 : [6.46854765 1.03535988 0.84102034]

ce_symbol  = T:5
ce_fraction=  0.9399019869877547
species:coords:index
O1 : [ 6.76477441  2.35599819 -0.69453632] : 62
O1 : [4.89154002 2.23967845 1.47805099] : 68
O1 : [7.72174151 2.22178311 2.01959505] : 78
O1 : [ 6.15138118 -0.23777962  2.41154666] : 56
Mo1 : [ 6.76275235 -1.03535988 -0.84102034] : 16
!!!atention to nb coordination!!!
         [2.0468927908822265, 2.0840211912157365, 2.0897687144144967, 2.046468097339331, 2.683970483856342]
         [2.0468927908822265, 2.084021191215736, 2.0897687144144963, 2.046468097339331, 2.6839704838563416]

ce_symbol  = SS:4
ce_fraction=  0.05126143316895888
species:coords:index
O1 : [ 6.76477441  2.35599819 -0.69453632] : 62
O1 : [4.89154002 2.23967845 1.47805099] : 68
O1 : [7.72174151 2.22178311 2.01959505] : 78
O1 : [ 6.15138118 -0.23777962  2.41154666] : 56
!!!atention to nb coordination!!!
         [2.0468927908822265, 2.0840211912157365, 2.0897687144144967, 2.046468097339331]
         [2.0468927908822265, 2.084021191215736, 2.0897687144144963, 2.046468097339331]

ce_symbol  = S:5
ce_fraction=  0.00883657984328641
species:coords:index
O1 : [ 6.76477441  2.35599819 -0.69453632] : 62
O1 : [4.89154002 2.23967845 1.47805099] : 68
O1 : [7.72174151 2.22178311 2.01959505] : 78
O1 : [ 6.15138118 -0.23777962  2.41154666] : 56
Mo1 : [ 6.76275235 -1.03535988 -0.84102034] : 16
!!!atention to nb coordination!!!
         [2.0468927908822265, 2.0840211912157365, 2.0897687144144967, 2.046468097339331, 2.683970483856342]
         [2.0468927908822265, 2.084021191215736, 2.0897687144144963, 2.046468097339331, 2.6839704838563416]


**isite= 15
Mo1 : [5.8207783  5.79475988 4.01587699]

ce_symbol  = T:5
ce_fraction=  0.9399019869877525
species:coords:index
O1 : [5.52455154 7.11539819 5.55143364] : 63
Mo1 : [5.52657359 3.72404012 5.69791767] : 17
O1 : [6.13794477 4.52162038 2.44535067] : 57
O1 : [7.39778592 6.99907845 3.37884633] : 69
O1 : [4.56758444 6.98118311 2.83730228] : 79
!!!atention to nb coordination!!!
         [2.046892790882227, 2.6839704838563416, 2.0464680973393308, 2.084021191215736, 2.0897687144144967]
         [2.0468927908822274, 2.6839704838563416, 2.0464680973393308, 2.084021191215736, 2.0897687144144963]

ce_symbol  = SS:4
ce_fraction=  0.051261433168960764
species:coords:index
O1 : [5.52455154 7.11539819 5.55143364] : 63
O1 : [6.13794477 4.52162038 2.44535067] : 57
O1 : [7.39778592 6.99907845 3.37884633] : 69
O1 : [4.56758444 6.98118311 2.83730228] : 79
!!!atention to nb coordination!!!
         [2.046892790882227, 2.0464680973393308, 2.084021191215736, 2.0897687144144967]
         [2.0468927908822274, 2.0464680973393308, 2.084021191215736, 2.0897687144144963]

ce_symbol  = S:5
ce_fraction=  0.008836579843286804
species:coords:index
O1 : [5.52455154 7.11539819 5.55143364] : 63
Mo1 : [5.52657359 3.72404012 5.69791767] : 17
O1 : [6.13794477 4.52162038 2.44535067] : 57
O1 : [7.39778592 6.99907845 3.37884633] : 69
O1 : [4.56758444 6.98118311 2.83730228] : 79
!!!atention to nb coordination!!!
         [2.046892790882227, 2.6839704838563416, 2.0464680973393308, 2.084021191215736, 2.0897687144144967]
         [2.0468927908822274, 2.6839704838563416, 2.0464680973393308, 2.084021191215736, 2.0897687144144963]


**isite= 16
Mo1 : [4.87880425 8.48344012 8.87277431]

ce_symbol  = T:5
ce_fraction=  0.9399019869877532
species:coords:index
O1 : [ 4.58257749  7.16280181 10.40833097] : 64
O1 : [6.45581187 7.27912155 8.23574366] : 66
Mo1 : [ 4.58459954 10.55415988 10.55481499] : 14
O1 : [5.19597071 9.75657962 7.30224799] : 54
O1 : [3.62561038 7.29701689 7.69419961] : 80
!!!atention to nb coordination!!!
         [2.046892790882226, 2.0840211912157334, 2.6839704838563434, 2.0464680973393317, 2.089768714414496]
         [2.0468927908822265, 2.084021191215735, 2.683970483856343, 2.0464680973393317, 2.089768714414496]

ce_symbol  = SS:4
ce_fraction=  0.05126143316896009
species:coords:index
O1 : [ 4.58257749  7.16280181 10.40833097] : 64
O1 : [6.45581187 7.27912155 8.23574366] : 66
O1 : [5.19597071 9.75657962 7.30224799] : 54
O1 : [3.62561038 7.29701689 7.69419961] : 80
!!!atention to nb coordination!!!
         [2.046892790882226, 2.0840211912157334, 2.0464680973393317, 2.089768714414496]
         [2.0468927908822265, 2.084021191215735, 2.0464680973393317, 2.089768714414496]

ce_symbol  = S:5
ce_fraction=  0.008836579843286691
species:coords:index
O1 : [ 4.58257749  7.16280181 10.40833097] : 64
O1 : [6.45581187 7.27912155 8.23574366] : 66
Mo1 : [ 4.58459954 10.55415988 10.55481499] : 14
O1 : [5.19597071 9.75657962 7.30224799] : 54
O1 : [3.62561038 7.29701689 7.69419961] : 80
!!!atention to nb coordination!!!
         [2.046892790882226, 2.0840211912157334, 2.6839704838563434, 2.0464680973393317, 2.089768714414496]
         [2.0468927908822265, 2.084021191215735, 2.683970483856343, 2.0464680973393317, 2.089768714414496]


**isite= 17
Mo1 : [5.52657359 3.72404012 5.69791767]

ce_symbol  = T:5
ce_fraction=  0.939901986987756
species:coords:index
O1 : [3.94956597 2.51972155 6.33494832] : 67
O1 : [6.77976745 2.53761689 6.87649237] : 81
O1 : [5.20940713 4.99717962 7.26844399] : 55
O1 : [5.82280035 2.40340181 4.16236101] : 65
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
!!!atention to nb coordination!!!
         [2.084021191215736, 2.0897687144144963, 2.0464680973393308, 2.0468927908822274, 2.6839704838563425]
         [2.0840211912157365, 2.0897687144144963, 2.0464680973393308, 2.0468927908822274, 2.6839704838563416]

ce_symbol  = SS:4
ce_fraction=  0.051261433168957225
species:coords:index
O1 : [3.94956597 2.51972155 6.33494832] : 67
O1 : [6.77976745 2.53761689 6.87649237] : 81
O1 : [5.20940713 4.99717962 7.26844399] : 55
O1 : [5.82280035 2.40340181 4.16236101] : 65
!!!atention to nb coordination!!!
         [2.084021191215736, 2.0897687144144963, 2.0464680973393308, 2.0468927908822274]
         [2.0840211912157365, 2.0897687144144963, 2.0464680973393308, 2.0468927908822274]

ce_symbol  = S:5
ce_fraction=  0.00883657984328676
species:coords:index
O1 : [3.94956597 2.51972155 6.33494832] : 67
O1 : [6.77976745 2.53761689 6.87649237] : 81
O1 : [5.20940713 4.99717962 7.26844399] : 55
O1 : [5.82280035 2.40340181 4.16236101] : 65
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
!!!atention to nb coordination!!!
         [2.084021191215736, 2.0897687144144963, 2.0464680973393308, 2.0468927908822274, 2.6839704838563425]
         [2.0840211912157365, 2.0897687144144963, 2.0464680973393308, 2.0468927908822274, 2.6839704838563416]


**isite= 18
Mo1 : [7.63832133 8.41262025 9.36876067]

ce_symbol  = PP:6
ce_fraction=  0.8033198478209584
species:coords:index
O1 : [9.28659557 7.26303478 8.80089223] : 98
O1 : [6.45581187 7.27912155 8.23574366] : 66
Mo1 : [ 5.96592767  8.27297946 11.49569314] : 30
O1 : [8.03559693 9.58210002 7.71469571] : 86
Mo1 : [ 6.55326458 10.74996159  8.52191205] : 26
O1 : [ 7.4430416   6.99212973 10.86274228] : 74
!!!atention to nb coordination!!!
         [2.0882598661270095, 1.9917016573719821, 2.7092880764783516, 2.0643259672346588, 2.712501663014354, 2.070726582244637]
         [2.08825986612701, 1.9917016573719815, 2.709288076478353, 2.0643259672346588, 2.7125016630143524, 2.070726582244638]

ce_symbol  = SS:4
ce_fraction=  0.19668015217904167
species:coords:index
O1 : [9.28659557 7.26303478 8.80089223] : 98
O1 : [6.45581187 7.27912155 8.23574366] : 66
O1 : [8.03559693 9.58210002 7.71469571] : 86
O1 : [ 7.4430416   6.99212973 10.86274228] : 74
!!!atention to nb coordination!!!
         [2.0882598661270095, 1.9917016573719821, 2.0643259672346588, 2.070726582244637]
         [2.08825986612701, 1.9917016573719815, 2.0643259672346588, 2.070726582244638]


**isite= 19
Mo1 : [2.7670565  3.65322025 5.20193131]

ce_symbol  = PP:6
ce_fraction=  0.8033198478209644
species:coords:index
Mo1 : [4.43945017 3.51357946 3.07499884] : 31
O1 : [2.96233624 2.23272973 3.7079497 ] : 75
O1 : [2.36978091 4.82270002 6.85599627] : 87
O1 : [3.94956597 2.51972155 6.33494832] : 67
Mo1 : [3.85211325 5.99056159 6.04877993] : 27
O1 : [1.11878227 2.50363478 5.76979975] : 99
!!!atention to nb coordination!!!
         [2.709288076478352, 2.070726582244638, 2.0643259672346583, 1.9917016573719808, 2.712501663014352, 2.088259866127012]
         [2.709288076478352, 2.0707265822446383, 2.064325967234658, 1.991701657371981, 2.7125016630143515, 2.088259866127012]

ce_symbol  = SS:4
ce_fraction=  0.19668015217903553
species:coords:index
O1 : [2.96233624 2.23272973 3.7079497 ] : 75
O1 : [2.36978091 4.82270002 6.85599627] : 87
O1 : [3.94956597 2.51972155 6.33494832] : 67
O1 : [1.11878227 2.50363478 5.76979975] : 99
!!!atention to nb coordination!!!
         [2.070726582244638, 2.0643259672346583, 1.9917016573719808, 2.088259866127012]
         [2.0707265822446383, 2.064325967234658, 1.991701657371981, 2.088259866127012]


**isite= 20
Mo1 : [3.70903056 1.10617975 0.34503399]

ce_symbol  = PP:6
ce_fraction=  0.8033198478209671
species:coords:index
O1 : [2.06075633 2.25576522 0.91290242] : 100
O1 : [ 3.31175496 -0.06330002  1.99909894] : 88
Mo1 : [ 4.79408731 -1.23116159  1.1918826 ] : 28
Mo1 : [ 5.38142422  1.24582054 -1.78189849] : 32
O1 : [4.89154002 2.23967845 1.47805099] : 68
O1 : [ 3.90431029  2.52667027 -1.14894763] : 76
!!!atention to nb coordination!!!
         [2.088259866127012, 2.0643259672346574, 2.71250166301435, 2.709288076478352, 1.9917016573719806, 2.0707265822446383]
         [2.0882598661270118, 2.0643259672346588, 2.7125016630143524, 2.7092880764783516, 1.9917016573719803, 2.070726582244639]

ce_symbol  = SS:4
ce_fraction=  0.19668015217903287
species:coords:index
O1 : [2.06075633 2.25576522 0.91290242] : 100
O1 : [ 3.31175496 -0.06330002  1.99909894] : 88
O1 : [4.89154002 2.23967845 1.47805099] : 68
O1 : [ 3.90431029  2.52667027 -1.14894763] : 76
!!!atention to nb coordination!!!
         [2.088259866127012, 2.0643259672346574, 1.9917016573719806, 2.0707265822446383]
         [2.0882598661270118, 2.0643259672346588, 1.9917016573719803, 2.070726582244639]


**isite= 21
Mo1 : [8.58029539 5.86557975 4.51186334]

ce_symbol  = PP:6
ce_fraction=  0.8033198478209596
species:coords:index
Mo1 : [6.90790173 6.00522054 6.63879582] : 33
O1 : [8.38501565 7.28607027 6.00584496] : 77
O1 : [10.22856962  7.01516522  3.94399491] : 101
O1 : [7.39778592 6.99907845 3.37884633] : 69
O1 : [8.97757099 4.69609998 2.85779839] : 89
Mo1 : [7.49523864 3.52823841 3.66501472] : 29
!!!atention to nb coordination!!!
         [2.7092880764783525, 2.0707265822446397, 2.088259866127012, 1.9917016573719812, 2.064325967234658, 2.712501663014352]
         [2.7092880764783525, 2.0707265822446392, 2.0882598661270118, 1.9917016573719808, 2.0643259672346574, 2.712501663014353]

ce_symbol  = SS:4
ce_fraction=  0.19668015217904047
species:coords:index
