cif name= ./1530846.cif
./1530846.cif
Full Formula (Er16 Mn16 O56)
 79  O     0.7969  0.5     0
 80  O     0.75    0.0469  0.25
 81  O     0.7031  0.5     0.5
 82  O     0.75    0.75    0.9531
 83  O     0.75    0.75    0.5469
 84  O     0       0.5     0.7969
 85  O     0       0.5     0.2031
 86  O     0       0.5     0.5
 87  O     0.75    0.75    0.25

space_group_IT_number 227

*** lse ***


**isite= 0
Er1 : [1.234375 1.234375 1.234375]

ce_symbol  = C:8
ce_fraction=  0.6152180452791485
species:coords:index
O1 : [-0.4631375  2.46875    2.46875  ] : 60
O1 : [0.        2.9318875 0.       ] : 63
O1 : [ 2.46875    2.46875   -0.4631375] : 40
O1 : [2.9318875 0.        0.       ] : 37
O1 : [0. 0. 0.] : 72
O1 : [0.        0.        2.9318875] : 70
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [ 2.46875   -0.4631375  2.46875  ] : 36
!!!atention to nb coordination!!!
         [2.434935721719621, 2.4349357217196204, 2.434935721719621, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.434935721719621]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.2655111590605087
species:coords:index
O1 : [-0.4631375  2.46875    2.46875  ] : 60
O1 : [0.        2.9318875 0.       ] : 63
O1 : [ 2.46875    2.46875   -0.4631375] : 40
O1 : [2.9318875 0.        0.       ] : 37
O1 : [0. 0. 0.] : 72
O1 : [0.        0.        2.9318875] : 70
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [ 2.46875   -0.4631375  2.46875  ] : 36
!!!atention to nb coordination!!!
         [2.434935721719621, 2.4349357217196204, 2.434935721719621, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.434935721719621]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637728
species:coords:index
O1 : [0. 0. 0.] : 72
O1 : [2.46875 2.46875 2.46875] : 45

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965578
species:coords:index
O1 : [-0.4631375  2.46875    2.46875  ] : 60
O1 : [0.        2.9318875 0.       ] : 63
O1 : [ 2.46875    2.46875   -0.4631375] : 40
O1 : [2.9318875 0.        0.       ] : 37
O1 : [0. 0. 0.] : 72
O1 : [0.        0.        2.9318875] : 70
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [ 2.46875   -0.4631375  2.46875  ] : 36
!!!atention to nb coordination!!!
         [2.434935721719621, 2.4349357217196204, 2.434935721719621, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.434935721719621]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962]


**isite= 1
Er1 : [1.234375 3.703125 3.703125]

ce_symbol  = C:8
ce_fraction=  0.6152180452791487
species:coords:index
O1 : [2.46875   5.4006375 2.46875  ] : 38
O1 : [2.9318875 4.9375    4.9375   ] : 51
O1 : [0.        4.9375    2.0056125] : 85
O1 : [0.     4.9375 4.9375] : 86
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [2.46875   2.46875   5.4006375] : 41
O1 : [0.        2.0056125 4.9375   ] : 75
O1 : [-0.4631375  2.46875    2.46875  ] : 60
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.43493572171962, 2.4349357217196204, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.434935721719621]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.26551115906050876
species:coords:index
O1 : [2.46875   5.4006375 2.46875  ] : 38
O1 : [2.9318875 4.9375    4.9375   ] : 51
O1 : [0.        4.9375    2.0056125] : 85
O1 : [0.     4.9375 4.9375] : 86
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [2.46875   2.46875   5.4006375] : 41
O1 : [0.        2.0056125 4.9375   ] : 75
O1 : [-0.4631375  2.46875    2.46875  ] : 60
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.43493572171962, 2.4349357217196204, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.434935721719621]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637702
species:coords:index
O1 : [0.     4.9375 4.9375] : 86
O1 : [2.46875 2.46875 2.46875] : 45

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965488
species:coords:index
O1 : [2.46875   5.4006375 2.46875  ] : 38
O1 : [2.9318875 4.9375    4.9375   ] : 51
O1 : [0.        4.9375    2.0056125] : 85
O1 : [0.     4.9375 4.9375] : 86
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [2.46875   2.46875   5.4006375] : 41
O1 : [0.        2.0056125 4.9375   ] : 75
O1 : [-0.4631375  2.46875    2.46875  ] : 60
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.43493572171962, 2.4349357217196204, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.434935721719621]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962]


**isite= 2
Er1 : [3.703125 8.640625 6.171875]

ce_symbol  = C:8
ce_fraction=  0.6152180452791477
species:coords:index
O1 : [4.9375    9.875     7.8693875] : 42
O1 : [2.46875   7.40625   4.4743625] : 54
O1 : [2.0056125 9.875     4.9375   ] : 39
O1 : [4.9375 9.875  4.9375] : 44
O1 : [5.4006375 7.40625   7.40625  ] : 48
O1 : [ 2.46875   10.3381375  7.40625  ] : 52
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [4.9375    6.9431125 4.9375   ] : 33
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.4349357217196204, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.138000215592833, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.138000215592833, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.2655111590605087
species:coords:index
O1 : [4.9375    9.875     7.8693875] : 42
O1 : [2.46875   7.40625   4.4743625] : 54
O1 : [2.0056125 9.875     4.9375   ] : 39
O1 : [4.9375 9.875  4.9375] : 44
O1 : [5.4006375 7.40625   7.40625  ] : 48
O1 : [ 2.46875   10.3381375  7.40625  ] : 52
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [4.9375    6.9431125 4.9375   ] : 33
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.4349357217196204, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.138000215592833, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.138000215592833, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637793
species:coords:index
O1 : [4.9375 9.875  4.9375] : 44
O1 : [2.46875 7.40625 7.40625] : 59

ce_symbol  = BO_1:8
ce_fraction=  0.01820248935396559
species:coords:index
O1 : [4.9375    9.875     7.8693875] : 42
O1 : [2.46875   7.40625   4.4743625] : 54
O1 : [2.0056125 9.875     4.9375   ] : 39
O1 : [4.9375 9.875  4.9375] : 44
O1 : [5.4006375 7.40625   7.40625  ] : 48
O1 : [ 2.46875   10.3381375  7.40625  ] : 52
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [4.9375    6.9431125 4.9375   ] : 33
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.4349357217196204, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.138000215592833, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.138000215592833, 2.43493572171962]


**isite= 3
Er1 : [3.703125 1.234375 3.703125]

ce_symbol  = C:8
ce_fraction=  0.6152180452791488
species:coords:index
O1 : [4.9375    0.        2.0056125] : 43
O1 : [5.4006375 2.46875   2.46875  ] : 34
O1 : [ 2.46875   -0.4631375  2.46875  ] : 36
O1 : [4.9375 0.     4.9375] : 44
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [4.9375    2.9318875 4.9375   ] : 35
O1 : [2.0056125 0.        4.9375   ] : 39
O1 : [2.46875   2.46875   5.4006375] : 41
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.43493572171962, 2.434935721719621, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.43493572171962, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.2655111590605084
species:coords:index
O1 : [4.9375    0.        2.0056125] : 43
O1 : [5.4006375 2.46875   2.46875  ] : 34
O1 : [ 2.46875   -0.4631375  2.46875  ] : 36
O1 : [4.9375 0.     4.9375] : 44
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [4.9375    2.9318875 4.9375   ] : 35
O1 : [2.0056125 0.        4.9375   ] : 39
O1 : [2.46875   2.46875   5.4006375] : 41
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.43493572171962, 2.434935721719621, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.43493572171962, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637728
species:coords:index
O1 : [4.9375 0.     4.9375] : 44
O1 : [2.46875 2.46875 2.46875] : 45

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965606
species:coords:index
O1 : [4.9375    0.        2.0056125] : 43
O1 : [5.4006375 2.46875   2.46875  ] : 34
O1 : [ 2.46875   -0.4631375  2.46875  ] : 36
O1 : [4.9375 0.     4.9375] : 44
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [4.9375    2.9318875 4.9375   ] : 35
O1 : [2.0056125 0.        4.9375   ] : 39
O1 : [2.46875   2.46875   5.4006375] : 41
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.43493572171962, 2.434935721719621, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.43493572171962, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962]


**isite= 4
Er1 : [1.234375 6.171875 6.171875]

ce_symbol  = C:8
ce_fraction=  0.6152180452791481
species:coords:index
O1 : [-0.4631375  7.40625    7.40625  ] : 74
O1 : [0.        7.8693875 4.9375   ] : 77
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [0.     4.9375 4.9375] : 86
O1 : [2.46875   4.4743625 7.40625  ] : 50
O1 : [2.9318875 4.9375    4.9375   ] : 51
O1 : [0.        4.9375    7.8693875] : 84
O1 : [2.46875   7.40625   4.4743625] : 54
!!!atention to nb coordination!!!
         [2.434935721719621, 2.4349357217196204, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.43493572171962, 2.4349357217196204, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.2655111590605087
species:coords:index
O1 : [-0.4631375  7.40625    7.40625  ] : 74
O1 : [0.        7.8693875 4.9375   ] : 77
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [0.     4.9375 4.9375] : 86
O1 : [2.46875   4.4743625 7.40625  ] : 50
O1 : [2.9318875 4.9375    4.9375   ] : 51
O1 : [0.        4.9375    7.8693875] : 84
O1 : [2.46875   7.40625   4.4743625] : 54
!!!atention to nb coordination!!!
         [2.434935721719621, 2.4349357217196204, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.43493572171962, 2.4349357217196204, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637748
species:coords:index
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [0.     4.9375 4.9375] : 86

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965623
species:coords:index
O1 : [-0.4631375  7.40625    7.40625  ] : 74
O1 : [0.        7.8693875 4.9375   ] : 77
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [0.     4.9375 4.9375] : 86
O1 : [2.46875   4.4743625 7.40625  ] : 50
O1 : [2.9318875 4.9375    4.9375   ] : 51
O1 : [0.        4.9375    7.8693875] : 84
O1 : [2.46875   7.40625   4.4743625] : 54
!!!atention to nb coordination!!!
         [2.434935721719621, 2.4349357217196204, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.43493572171962, 2.4349357217196204, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962]


**isite= 5
Er1 : [1.234375 8.640625 8.640625]

ce_symbol  = C:8
ce_fraction=  0.615218045279147
species:coords:index
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [ 2.46875    7.40625   10.3381375] : 55
O1 : [2.9318875 9.875     9.875    ] : 37
O1 : [0.        9.875     6.9431125] : 71
O1 : [-0.4631375  7.40625    7.40625  ] : 74
O1 : [0.        6.9431125 9.875    ] : 61
O1 : [ 2.46875   10.3381375  7.40625  ] : 52
O1 : [0.    9.875 9.875] : 72
!!!atention to nb coordination!!!
         [2.138000215592833, 2.434935721719621, 2.43493572171962, 2.4349357217196204, 2.434935721719621, 2.4349357217196204, 2.434935721719621, 2.138000215592833]
         [2.138000215592833, 2.434935721719621, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.434935721719621, 2.138000215592833]

ce_symbol  = HB:8
ce_fraction=  0.2655111590605094
species:coords:index
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [ 2.46875    7.40625   10.3381375] : 55
O1 : [2.9318875 9.875     9.875    ] : 37
O1 : [0.        9.875     6.9431125] : 71
O1 : [-0.4631375  7.40625    7.40625  ] : 74
O1 : [0.        6.9431125 9.875    ] : 61
O1 : [ 2.46875   10.3381375  7.40625  ] : 52
O1 : [0.    9.875 9.875] : 72
!!!atention to nb coordination!!!
         [2.138000215592833, 2.434935721719621, 2.43493572171962, 2.4349357217196204, 2.434935721719621, 2.4349357217196204, 2.434935721719621, 2.138000215592833]
         [2.138000215592833, 2.434935721719621, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.434935721719621, 2.138000215592833]

ce_symbol  = L:2
ce_fraction=  0.10106830630637793
species:coords:index
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [0.    9.875 9.875] : 72

ce_symbol  = BO_1:8
ce_fraction=  0.01820248935396556
species:coords:index
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [ 2.46875    7.40625   10.3381375] : 55
O1 : [2.9318875 9.875     9.875    ] : 37
O1 : [0.        9.875     6.9431125] : 71
O1 : [-0.4631375  7.40625    7.40625  ] : 74
O1 : [0.        6.9431125 9.875    ] : 61
O1 : [ 2.46875   10.3381375  7.40625  ] : 52
O1 : [0.    9.875 9.875] : 72
!!!atention to nb coordination!!!
         [2.138000215592833, 2.434935721719621, 2.43493572171962, 2.4349357217196204, 2.434935721719621, 2.4349357217196204, 2.434935721719621, 2.138000215592833]
         [2.138000215592833, 2.434935721719621, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.434935721719621, 2.138000215592833]


**isite= 6
Er1 : [3.703125 3.703125 1.234375]

ce_symbol  = C:8
ce_fraction=  0.6152180452791477
species:coords:index
O1 : [4.9375    2.0056125 0.       ] : 47
O1 : [ 2.46875    2.46875   -0.4631375] : 40
O1 : [2.0056125 4.9375    0.       ] : 53
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [4.9375 4.9375 0.    ] : 58
O1 : [2.46875   5.4006375 2.46875  ] : 38
O1 : [4.9375    4.9375    2.9318875] : 56
O1 : [5.4006375 2.46875   2.46875  ] : 34
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.434935721719621, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.43493572171962]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.265511159060509
species:coords:index
O1 : [4.9375    2.0056125 0.       ] : 47
O1 : [ 2.46875    2.46875   -0.4631375] : 40
O1 : [2.0056125 4.9375    0.       ] : 53
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [4.9375 4.9375 0.    ] : 58
O1 : [2.46875   5.4006375 2.46875  ] : 38
O1 : [4.9375    4.9375    2.9318875] : 56
O1 : [5.4006375 2.46875   2.46875  ] : 34
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.434935721719621, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.43493572171962]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637774
species:coords:index
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [4.9375 4.9375 0.    ] : 58

ce_symbol  = BO_1:8
ce_fraction=  0.01820248935396564
species:coords:index
O1 : [4.9375    2.0056125 0.       ] : 47
O1 : [ 2.46875    2.46875   -0.4631375] : 40
O1 : [2.0056125 4.9375    0.       ] : 53
O1 : [2.46875 2.46875 2.46875] : 45
O1 : [4.9375 4.9375 0.    ] : 58
O1 : [2.46875   5.4006375 2.46875  ] : 38
O1 : [4.9375    4.9375    2.9318875] : 56
O1 : [5.4006375 2.46875   2.46875  ] : 34
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.434935721719621, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.43493572171962]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962]


**isite= 7
Er1 : [3.703125 6.171875 8.640625]

ce_symbol  = C:8
ce_fraction=  0.6152180452791473
species:coords:index
O1 : [2.46875   4.4743625 7.40625  ] : 50
O1 : [4.9375 4.9375 9.875 ] : 58
O1 : [2.0056125 4.9375    9.875    ] : 53
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [4.9375    4.9375    6.9431125] : 57
O1 : [ 2.46875    7.40625   10.3381375] : 55
O1 : [4.9375    7.8693875 9.875    ] : 49
O1 : [5.4006375 7.40625   7.40625  ] : 48
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.434935721719621, 2.4349357217196204, 2.43493572171962]
         [2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.43493572171962, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.265511159060509
species:coords:index
O1 : [2.46875   4.4743625 7.40625  ] : 50
O1 : [4.9375 4.9375 9.875 ] : 58
O1 : [2.0056125 4.9375    9.875    ] : 53
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [4.9375    4.9375    6.9431125] : 57
O1 : [ 2.46875    7.40625   10.3381375] : 55
O1 : [4.9375    7.8693875 9.875    ] : 49
O1 : [5.4006375 7.40625   7.40625  ] : 48
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.434935721719621, 2.4349357217196204, 2.43493572171962]
         [2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.43493572171962, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637807
species:coords:index
O1 : [4.9375 4.9375 9.875 ] : 58
O1 : [2.46875 7.40625 7.40625] : 59

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965567
species:coords:index
O1 : [2.46875   4.4743625 7.40625  ] : 50
O1 : [4.9375 4.9375 9.875 ] : 58
O1 : [2.0056125 4.9375    9.875    ] : 53
O1 : [2.46875 7.40625 7.40625] : 59
O1 : [4.9375    4.9375    6.9431125] : 57
O1 : [ 2.46875    7.40625   10.3381375] : 55
O1 : [4.9375    7.8693875 9.875    ] : 49
O1 : [5.4006375 7.40625   7.40625  ] : 48
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.434935721719621, 2.4349357217196204, 2.43493572171962]
         [2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.43493572171962, 2.43493572171962]


**isite= 8
Er1 : [6.171875 1.234375 6.171875]

ce_symbol  = C:8
ce_fraction=  0.6152180452791485
species:coords:index
O1 : [4.4743625 2.46875   7.40625  ] : 32
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [4.9375    2.9318875 4.9375   ] : 35
O1 : [4.9375 0.     4.9375] : 44
O1 : [4.9375    0.        7.8693875] : 42
O1 : [7.40625   2.46875   4.4743625] : 68
O1 : [7.8693875 0.        4.9375   ] : 65
O1 : [ 7.40625   -0.4631375  7.40625  ] : 64
!!!atention to nb coordination!!!
         [2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.43493572171962, 2.434935721719621]
         [2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.2655111590605087
species:coords:index
O1 : [4.4743625 2.46875   7.40625  ] : 32
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [4.9375    2.9318875 4.9375   ] : 35
O1 : [4.9375 0.     4.9375] : 44
O1 : [4.9375    0.        7.8693875] : 42
O1 : [7.40625   2.46875   4.4743625] : 68
O1 : [7.8693875 0.        4.9375   ] : 65
O1 : [ 7.40625   -0.4631375  7.40625  ] : 64
!!!atention to nb coordination!!!
         [2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.43493572171962, 2.434935721719621]
         [2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637728
species:coords:index
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [4.9375 0.     4.9375] : 44

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965578
species:coords:index
O1 : [4.4743625 2.46875   7.40625  ] : 32
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [4.9375    2.9318875 4.9375   ] : 35
O1 : [4.9375 0.     4.9375] : 44
O1 : [4.9375    0.        7.8693875] : 42
O1 : [7.40625   2.46875   4.4743625] : 68
O1 : [7.8693875 0.        4.9375   ] : 65
O1 : [ 7.40625   -0.4631375  7.40625  ] : 64
!!!atention to nb coordination!!!
         [2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.43493572171962, 2.434935721719621]
         [2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962]


**isite= 9
Er1 : [6.171875 3.703125 8.640625]

ce_symbol  = C:8
ce_fraction=  0.6152180452791481
species:coords:index
O1 : [4.4743625 2.46875   7.40625  ] : 32
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [4.9375    2.0056125 9.875    ] : 47
O1 : [4.9375    4.9375    6.9431125] : 57
O1 : [4.9375 4.9375 9.875 ] : 58
O1 : [ 7.40625    2.46875   10.3381375] : 69
O1 : [7.8693875 4.9375    9.875    ] : 79
O1 : [7.40625   5.4006375 7.40625  ] : 66
