cif name= ./4001027.cif
./4001027.cif
Full Formula (Rh28 Pb12 O60)
 53  O     0.1691    0         0.5768
 54  O     0         0.1691    0.5768
 55  O     0.1691    0.1691    0.0768
 56  O     0.8309    0         0.0768
 57  O     0         0.8309    0.0768
 58  O     0.8309    0.8309    0.9232
 59  O     0         0.1691    0.9232
 60  O     0.1691    0         0.9232
 61  O     0.1691    0.1691    0.4232
 62  O     0         0.8309    0.4232
 63  O     0.8309    0         0.4232
 64  O     0.8418    0.3346    0.5818
 65  O     0.6654    0.5072    0.5818
 66  O     0.4928    0.1582    0.5818
 67  O     0.1582    0.6654    0.0818
 68  O     0.3346    0.4928    0.0818
 69  O     0.5072    0.8418    0.0818
 70  O     0.3346    0.8418    0.9182
 71  O     0.5072    0.6654    0.9182
 72  O     0.1582    0.4928    0.9182
 73  O     0.6654    0.1582    0.4182
 74  O     0.4928    0.3346    0.4182
 75  O     0.8418    0.5072    0.4182
 76  O     0.1582    0.6654    0.4182
 77  O     0.3346    0.4928    0.4182
 78  O     0.5072    0.8418    0.4182
 79  O     0.8418    0.3346    0.9182
 80  O     0.6654    0.5072    0.9182
 81  O     0.4928    0.1582    0.9182
 82  O     0.6654    0.1582    0.0818
 83  O     0.4928    0.3346    0.0818
 84  O     0.8418    0.5072    0.0818
 85  O     0.3346    0.8418    0.5818
 86  O     0.5072    0.6654    0.5818
 87  O     0.1582    0.4928    0.5818
 88  O     0.5199    0.3423    0.75
 89  O     0.6577    0.1776    0.75
 90  O     0.8224    0.4801    0.75
 91  O     0.4801    0.6577    0.25
 92  O     0.3423    0.8224    0.25
 93  O     0.1776    0.5199    0.25
 94  O     0.3423    0.5199    0.75
 95  O     0.1776    0.6577    0.75
 96  O     0.4801    0.8224    0.75
 97  O     0.6577    0.4801    0.25
 98  O     0.8224    0.3423    0.25
 99  O     0.5199    0.1776    0.25

space_group_IT_number 193

*** lse ***


**isite= 0
Rh1 : [5.17685    2.98885574 8.61687052]


**isite= 1
Rh1 : [0.         5.97771148 1.97502052]


**isite= 2
Rh1 : [ 0.          5.97771148 11.30867948]


**isite= 3
Rh1 : [5.17685    2.98885574 4.66682948]


**isite= 4
Rh1 : [0.         5.97771148 4.66682948]


**isite= 5
Rh1 : [ 5.17685     2.98885574 11.30867948]


**isite= 6
Rh1 : [5.17685    2.98885574 1.97502052]


**isite= 7
Rh1 : [0.         5.97771148 8.61687052]


**isite= 8
Rh1 : [2.56274782 7.45731463 6.64185   ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [3.42603933 8.96656722 5.62166184] : 63
O1 : [1.80672065 5.96635383 7.72845666] : 86
O1 : [3.44985284 5.9753204  5.58978096] : 51
O1 : [0.89352431 7.54805629 5.55524334] : 78
O1 : [4.30144467 7.45032071 7.66203816] : 52
O1 : [1.72285568 8.96656722 7.69391904] : 40
!!!atention to nb coordination!!!
         [2.015911580813646, 1.9938042085823198, 2.0224024016011453, 1.9938042085823198, 2.015911580813647, 2.0224024016011457]
         [2.015911580813646, 1.9938042085823198, 2.0224024016011453, 1.9938042085823202, 2.015911580813646, 2.0224024016011457]


**isite= 9
Rh1 : [-2.56274782  7.45731463  6.64185   ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-3.42603933  8.96656722  7.66203816] : 53
O1 : [-0.89352431  7.54805629  7.72845666] : 85
O1 : [-1.72285568  8.96656722  5.58978096] : 50
O1 : [-4.30144467  7.45032071  5.62166184] : 62
O1 : [-3.44985284  5.9753204   7.69391904] : 41
O1 : [-1.80672065  5.96635383  5.55524334] : 76
!!!atention to nb coordination!!!
         [2.015911580813646, 1.9938042085823207, 2.0224024016011457, 2.0159115808136465, 2.0224024016011457, 1.9938042085823193]
         [2.015911580813646, 1.9938042085823204, 2.0224024016011457, 2.0159115808136465, 2.0224024016011457, 1.9938042085823193]


**isite= 10
Rh1 : [0.         3.01850519 6.64185   ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-1.72699716  2.99124683  5.58978096] : 49
O1 : [-0.87540534  1.51624652  7.66203816] : 54
O1 : [-0.91319634  4.41872433  7.72845666] : 87
O1 : [0.91319634 4.41872433 5.55524334] : 77
O1 : [0.87540534 1.51624652 5.62166184] : 61
O1 : [1.72699716 2.99124683 7.69391904] : 42
!!!atention to nb coordination!!!
         [2.0224024016011457, 2.015911580813646, 1.99380420858232, 1.99380420858232, 2.015911580813646, 2.022402401601146]
         [2.0224024016011457, 2.015911580813646, 1.99380420858232, 1.99380420858232, 2.015911580813646, 2.0224024016011457]


**isite= 11
Rh1 : [2.61410218 1.5092526  0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 1.75081067  0.         -1.02018816] : 60
O1 : [0.87540534 1.51624652 1.02018816] : 55
O1 : [3.45399432 0.         1.05206904] : 43
O1 : [ 4.28332569  1.41851093 -1.08660666] : 81
O1 : [ 1.72699716  2.99124683 -1.05206904] : 48
O1 : [3.37012935 3.00021339 1.08660666] : 83
!!!atention to nb coordination!!!
         [2.015911580813646, 2.015911580813646, 2.022402401601146, 1.9938042085823198, 2.022402401601145, 1.9938042085823193]
         [2.015911580813646, 2.015911580813646, 2.022402401601146, 1.99380420858232, 2.0224024016011453, 1.9938042085823193]


**isite= 12
Rh1 : [7.73959782 1.5092526  0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [6.07037431 1.41851093 1.08660666] : 82
O1 : [ 9.47829466  1.51624652 -1.02018816] : 59
O1 : [8.62670284 2.99124683 1.05206904] : 44
O1 : [8.60288933 0.         1.02018816] : 56
O1 : [ 6.98357065  3.00021339 -1.08660666] : 79
O1 : [ 6.89970568  0.         -1.05206904] : 47
!!!atention to nb coordination!!!
         [1.9938042085823182, 2.015911580813647, 2.0224024016011466, 2.015911580813646, 1.9938042085823202, 2.0224024016011453]
         [1.9938042085823182, 2.0159115808136465, 2.022402401601146, 2.015911580813646, 1.9938042085823204, 2.022402401601145]


**isite= 13
Rh1 : [5.17685    5.94806203 0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [6.09004634 4.5478429  1.08660666] : 84
O1 : [ 4.26365366  4.5478429  -1.08660666] : 80
O1 : [ 6.90384716  5.9753204  -1.05206904] : 46
O1 : [ 4.30144467  7.45032071 -1.02018816] : 58
O1 : [6.05225533 7.45032071 1.02018816] : 57
O1 : [3.44985284 5.9753204  1.05206904] : 45
!!!atention to nb coordination!!!
         [1.9938042085823182, 1.9938042085823189, 2.022402401601145, 2.015911580813645, 2.015911580813645, 2.022402401601146]
         [1.9938042085823182, 1.993804208582319, 2.0224024016011453, 2.015911580813646, 2.015911580813646, 2.022402401601146]


**isite= 14
Rh1 : [2.61410218 1.5092526  6.64185   ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.87540534 1.51624652 5.62166184] : 61
O1 : [4.28332569 1.41851093 7.72845666] : 66
O1 : [3.45399432 0.         5.58978096] : 50
O1 : [3.37012935 3.00021339 5.55524334] : 74
O1 : [1.72699716 2.99124683 7.69391904] : 42
O1 : [1.75081067 0.         7.66203816] : 53
!!!atention to nb coordination!!!
         [2.015911580813646, 1.9938042085823202, 2.0224024016011457, 1.9938042085823204, 2.022402401601145, 2.015911580813646]
         [2.015911580813646, 1.9938042085823202, 2.0224024016011457, 1.9938042085823204, 2.0224024016011453, 2.015911580813646]


**isite= 15
Rh1 : [7.73959782 1.5092526  6.64185   ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [6.89970568 0.         7.69391904] : 40
O1 : [9.47829466 1.51624652 7.66203816] : 54
O1 : [6.98357065 3.00021339 7.72845666] : 64
O1 : [6.07037431 1.41851093 5.55524334] : 73
O1 : [8.60288933 0.         5.62166184] : 63
O1 : [8.62670284 2.99124683 5.58978096] : 49
!!!atention to nb coordination!!!
         [2.0224024016011453, 2.015911580813647, 1.9938042085823207, 1.9938042085823193, 2.0159115808136465, 2.0224024016011457]
         [2.0224024016011453, 2.015911580813647, 1.9938042085823207, 1.9938042085823193, 2.015911580813646, 2.0224024016011453]


**isite= 16
Rh1 : [5.17685    5.94806203 6.64185   ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [4.26365366 4.5478429  7.72845666] : 65
O1 : [6.09004634 4.5478429  5.55524334] : 75
O1 : [3.44985284 5.9753204  5.58978096] : 51
O1 : [6.05225533 7.45032071 5.62166184] : 62
O1 : [4.30144467 7.45032071 7.66203816] : 52
O1 : [6.90384716 5.9753204  7.69391904] : 41
!!!atention to nb coordination!!!
         [1.9938042085823193, 1.9938042085823193, 2.0224024016011457, 2.015911580813645, 2.015911580813645, 2.022402401601145]
         [1.9938042085823193, 1.9938042085823193, 2.0224024016011457, 2.015911580813646, 2.015911580813646, 2.0224024016011457]


**isite= 17
Rh1 : [2.56274782 7.45731463 0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.89352431 7.54805629 1.08660666] : 69
O1 : [ 1.80672065  5.96635383 -1.08660666] : 71
O1 : [3.44985284 5.9753204  1.05206904] : 45
O1 : [3.42603933 8.96656722 1.02018816] : 56
O1 : [ 1.72285568  8.96656722 -1.05206904] : 47
O1 : [ 4.30144467  7.45032071 -1.02018816] : 58
!!!atention to nb coordination!!!
         [1.9938042085823187, 1.9938042085823193, 2.022402401601146, 2.015911580813646, 2.0224024016011457, 2.015911580813647]
         [1.993804208582319, 1.9938042085823195, 2.0224024016011457, 2.015911580813646, 2.0224024016011457, 2.015911580813646]


**isite= 18
Rh1 : [-2.56274782  7.45731463  0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-1.80672065  5.96635383  1.08660666] : 67
O1 : [-3.42603933  8.96656722 -1.02018816] : 60
O1 : [-4.30144467  7.45032071  1.02018816] : 57
O1 : [-1.72285568  8.96656722  1.05206904] : 43
O1 : [-0.89352431  7.54805629 -1.08660666] : 70
O1 : [-3.44985284  5.9753204  -1.05206904] : 46
!!!atention to nb coordination!!!
         [1.9938042085823182, 2.015911580813646, 2.015911580813646, 2.022402401601146, 1.9938042085823202, 2.0224024016011457]
         [1.9938042085823182, 2.015911580813646, 2.015911580813646, 2.022402401601146, 1.9938042085823202, 2.0224024016011453]


**isite= 19
Rh1 : [0.         3.01850519 0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.87540534 1.51624652 1.02018816] : 55
O1 : [-1.72699716  2.99124683  1.05206904] : 44
O1 : [-0.87540534  1.51624652 -1.02018816] : 59
O1 : [0.91319634 4.41872433 1.08660666] : 68
O1 : [-0.91319634  4.41872433 -1.08660666] : 72
O1 : [ 1.72699716  2.99124683 -1.05206904] : 48
!!!atention to nb coordination!!!
         [2.015911580813646, 2.022402401601146, 2.015911580813646, 1.9938042085823189, 1.9938042085823195, 2.022402401601146]
         [2.015911580813646, 2.022402401601146, 2.015911580813646, 1.9938042085823189, 1.9938042085823198, 2.0224024016011453]


**isite= 20
Rh1 : [0.      0.      6.64185]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.87540534 1.51624652 5.62166184] : 61
O1 : [-1.75081067  0.          5.62166184] : 63
O1 : [-0.87540534  1.51624652  7.66203816] : 54
O1 : [-0.87540534 -1.51624652  7.66203816] : 52
O1 : [ 0.87540534 -1.51624652  5.62166184] : 62
O1 : [1.75081067 0.         7.66203816] : 53
!!!atention to nb coordination!!!
         [2.0263568007609214, 2.026356800760921, 2.0263568007609214, 2.0263568007609214, 2.026356800760922, 2.0263568007609214]
         [2.0263568007609214, 2.0263568007609214, 2.0263568007609214, 2.0263568007609214, 2.0263568007609214, 2.0263568007609214]


**isite= 21
Rh1 : [0. 0. 0.]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-1.75081067  0.          1.02018816] : 56
O1 : [-0.87540534  1.51624652 -1.02018816] : 59
O1 : [-0.87540534 -1.51624652 -1.02018816] : 58
O1 : [0.87540534 1.51624652 1.02018816] : 55
O1 : [ 0.87540534 -1.51624652  1.02018816] : 57
O1 : [ 1.75081067  0.         -1.02018816] : 60
!!!atention to nb coordination!!!
         [2.026356800760921, 2.0263568007609214, 2.0263568007609214, 2.026356800760921, 2.026356800760922, 2.0263568007609214]
         [2.0263568007609214, 2.026356800760921, 2.026356800760921, 2.026356800760921, 2.026356800760921, 2.0263568007609214]


**isite= 22
Rh1 : [5.17685 0.      6.64185]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [3.45399432 0.         5.58978096] : 50
O1 : [ 4.28332569 -1.41851093  7.72845666] : 85
O1 : [4.28332569 1.41851093 7.72845666] : 66
O1 : [ 6.07037431 -1.41851093  5.55524334] : 78
O1 : [6.07037431 1.41851093 5.55524334] : 73
O1 : [6.89970568 0.         7.69391904] : 40
!!!atention to nb coordination!!!
         [2.0186829763573066, 1.9978170581895685, 1.9978170581895682, 1.997817058189569, 1.9978170581895682, 2.0186829763573066]
         [2.0186829763573066, 1.9978170581895678, 1.9978170581895682, 1.9978170581895682, 1.9978170581895682, 2.0186829763573066]


**isite= 23
Rh1 : [-2.588425    4.48328361  6.64185   ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-3.44985284  5.9753204   7.69391904] : 41
O1 : [-1.72699716  2.99124683  5.58978096] : 49
O1 : [-0.91319634  4.41872433  7.72845666] : 87
O1 : [-1.80672065  5.96635383  5.55524334] : 76
O1 : [-3.37012935  3.00021339  7.72845666] : 64
O1 : [-4.26365366  4.5478429   5.55524334] : 75
!!!atention to nb coordination!!!
         [2.0186829763573066, 2.018682976357307, 1.9978170581895682, 1.9978170581895685, 1.9978170581895685, 1.9978170581895687]
         [2.0186829763573066, 2.0186829763573066, 1.9978170581895682, 1.9978170581895685, 1.997817058189568, 1.997817058189568]


**isite= 24
Rh1 : [2.588425   4.48328361 6.64185   ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.91319634 4.41872433 5.55524334] : 77
O1 : [3.44985284 5.9753204  5.58978096] : 51
O1 : [3.37012935 3.00021339 5.55524334] : 74
O1 : [1.72699716 2.99124683 7.69391904] : 42
O1 : [1.80672065 5.96635383 7.72845666] : 86
O1 : [4.26365366 4.5478429  7.72845666] : 65
!!!atention to nb coordination!!!
         [1.997817058189568, 2.0186829763573066, 1.9978170581895678, 2.0186829763573066, 1.9978170581895687, 1.9978170581895687]
         [1.997817058189568, 2.0186829763573066, 1.997817058189568, 2.0186829763573066, 1.9978170581895687, 1.9978170581895687]


**isite= 25
Rh1 : [5.17685 0.      0.     ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 6.07037431 -1.41851093  1.08660666] : 69
O1 : [3.45399432 0.         1.05206904] : 43
O1 : [ 4.28332569 -1.41851093 -1.08660666] : 70
O1 : [6.07037431 1.41851093 1.08660666] : 82
O1 : [ 6.89970568  0.         -1.05206904] : 47
O1 : [ 4.28332569  1.41851093 -1.08660666] : 81
!!!atention to nb coordination!!!
         [1.9978170581895678, 2.018682976357307, 1.997817058189568, 1.9978170581895671, 2.0186829763573066, 1.9978170581895678]
         [1.9978170581895671, 2.018682976357307, 1.9978170581895676, 1.9978170581895671, 2.018682976357306, 1.997817058189568]


**isite= 26
Rh1 : [-2.588425    4.48328361  0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-0.91319634  4.41872433 -1.08660666] : 72
O1 : [-3.44985284  5.9753204  -1.05206904] : 46
O1 : [-3.37012935  3.00021339 -1.08660666] : 79
O1 : [-1.80672065  5.96635383  1.08660666] : 67
O1 : [-1.72699716  2.99124683  1.05206904] : 44
O1 : [-4.26365366  4.5478429   1.08660666] : 84
!!!atention to nb coordination!!!
         [1.9978170581895678, 2.0186829763573066, 1.997817058189568, 1.9978170581895673, 2.0186829763573075, 1.9978170581895676]
         [1.997817058189568, 2.018682976357306, 1.9978170581895678, 1.9978170581895673, 2.018682976357307, 1.997817058189567]


**isite= 27
Rh1 : [2.588425   4.48328361 0.        ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 1.72699716  2.99124683 -1.05206904] : 48
O1 : [0.91319634 4.41872433 1.08660666] : 68
O1 : [ 1.80672065  5.96635383 -1.08660666] : 71
O1 : [3.37012935 3.00021339 1.08660666] : 83
O1 : [ 4.26365366  4.5478429  -1.08660666] : 80
O1 : [3.44985284 5.9753204  1.05206904] : 45
!!!atention to nb coordination!!!
         [2.0186829763573066, 1.997817058189567, 1.9978170581895682, 1.9978170581895667, 1.9978170581895682, 2.018682976357307]
         [2.018682976357306, 1.997817058189567, 1.9978170581895685, 1.997817058189567, 1.9978170581895685, 2.018682976357307]


**isite= 28
Pb1 : [-2.0452699   3.54251138  9.962775  ]

ce_symbol  = SBSA:10
ce_fraction=  1.0
species:coords:index
O1 : [-1.56599712  5.89731126  9.962775  ] : 95
O1 : [-0.91319634  4.41872433  7.72845666] : 87
O1 : [0.85262719 4.6617183  9.962775  ] : 94
O1 : [-4.32422281  4.30484892  9.962775  ] : 90
O1 : [-3.37012935  3.00021339 12.19709334] : 79
O1 : [-4.46348007  1.59246234  9.962775  ] : 89
O1 : [-3.37012935  3.00021339  7.72845666] : 64
O1 : [-0.87540534  1.51624652  7.66203816] : 54
O1 : [-0.91319634  4.41872433 12.19709334] : 72
O1 : [-0.87540534  1.51624652 12.26351184] : 59
!!!atention to nb coordination!!!
         [2.403078210403914, 2.6535858978487243, 3.106514396099544, 2.4030782104039146, 2.6535858978487243, 3.1065143960995445, 2.653585897848725, 3.2814207883150113, 2.6535858978487235, 3.28142078831501]
         [2.403078210403914, 2.653585897848724, 3.106514396099544, 2.4030782104039154, 2.653585897848724, 3.106514396099545, 2.6535858978487243, 3.2814207883150113, 2.6535858978487235, 3.28142078831501]


**isite= 29
Pb1 : [3.1315801  5.42405584 9.962775  ]

ce_symbol  = SBSA:10
ce_fraction=  1.0
species:coords:index
O1 : [0.85262719 4.6617183  9.962775  ] : 94
O1 : [1.80672065 5.96635383 7.72845666] : 86
O1 : [4.26365366 4.5478429  7.72845666] : 65
O1 : [6.02947719 4.30484892 9.962775  ] : 90
O1 : [4.30144467 7.45032071 7.66203816] : 52
O1 : [3.61085288 3.06925596 9.962775  ] : 88
O1 : [ 4.26365366  4.5478429  12.19709334] : 80
O1 : [ 1.80672065  5.96635383 12.19709334] : 71
O1 : [0.71336993 7.37410488 9.962775  ] : 96
O1 : [ 4.30144467  7.45032071 12.26351184] : 58
!!!atention to nb coordination!!!
         [2.403078210403915, 2.653585897848725, 2.6535858978487243, 3.1065143960995445, 3.2814207883150113, 2.403078210403915, 2.653585897848724, 2.653585897848724, 3.1065143960995454, 3.28142078831501]
         [2.403078210403915, 2.653585897848725, 2.6535858978487243, 3.1065143960995445, 3.2814207883150113, 2.4030782104039146, 2.653585897848724, 2.653585897848724, 3.1065143960995445, 3.28142078831501]


**isite= 30
Pb1 : [4.0905398 0.        9.962775 ]

ce_symbol  = SBSA:10
ce_fraction=  1.0
species:coords:index
O1 : [5.89021993 1.59246234 9.962775  ] : 89
O1 : [ 4.28332569 -1.41851093  7.72845666] : 85
O1 : [1.75081067 0.         7.66203816] : 53
O1 : [ 1.75081067  0.         12.26351184] : 60
O1 : [3.61085288 3.06925596 9.962775  ] : 88
O1 : [4.28332569 1.41851093 7.72845666] : 66
O1 : [ 4.28332569  1.41851093 12.19709334] : 81
O1 : [ 5.89021993 -1.59246234  9.962775  ] : 96
O1 : [ 4.28332569 -1.41851093 12.19709334] : 70
O1 : [ 3.61085288 -3.06925596  9.962775  ] : 95
!!!atention to nb coordination!!!
         [2.4030782104039146, 2.653585897848725, 3.2814207883150113, 3.28142078831501, 3.1065143960995436, 2.6535858978487243, 2.6535858978487235, 2.4030782104039137, 2.6535858978487243, 3.106514396099545]
         [2.403078210403914, 2.6535858978487243, 3.2814207883150113, 3.28142078831501, 3.106514396099544, 2.6535858978487243, 2.653585897848724, 2.4030782104039146, 2.653585897848724, 3.1065143960995445]


**isite= 31
Pb1 : [-3.1315801   5.42405584  3.320925  ]

ce_symbol  = SBSA:10
ce_fraction=  1.0
species:coords:index
O1 : [-3.61085288  3.06925596  3.320925  ] : 98
O1 : [-6.0294772   4.30484892  3.320925  ] : 97
O1 : [-0.85262719  4.6617183   3.320925  ] : 93
O1 : [-4.26365366  4.5478429   5.55524334] : 75
O1 : [-4.30144467  7.45032071  5.62166184] : 62
O1 : [-1.80672065  5.96635383  5.55524334] : 76
O1 : [-0.71336993  7.37410488  3.320925  ] : 92
O1 : [-4.26365366  4.5478429   1.08660666] : 84
O1 : [-1.80672065  5.96635383  1.08660666] : 67
O1 : [-4.30144467  7.45032071  1.02018816] : 57
!!!atention to nb coordination!!!
         [2.403078210403915, 3.1065143960995445, 2.403078210403915, 2.653585897848724, 3.28142078831501, 2.6535858978487235, 3.106514396099544, 2.6535858978487252, 2.6535858978487252, 3.28142078831501]
         [2.4030782104039146, 3.1065143960995454, 2.4030782104039146, 2.6535858978487235, 3.281420788315011, 2.653585897848724, 3.1065143960995445, 2.653585897848725, 2.6535858978487252, 3.281420788315011]


**isite= 32
Pb1 : [2.0452699  3.54251138 3.320925  ]

ce_symbol  = SBSA:10
ce_fraction=  1.0
species:coords:index
O1 : [0.87540534 1.51624652 1.02018816] : 55
O1 : [0.87540534 1.51624652 5.62166184] : 61
O1 : [-0.85262719  4.6617183   3.320925  ] : 93
O1 : [0.91319634 4.41872433 5.55524334] : 77
O1 : [4.46348007 1.59246234 3.320925  ] : 99
O1 : [1.56599712 5.89731126 3.320925  ] : 91
O1 : [3.37012935 3.00021339 1.08660666] : 83
O1 : [0.91319634 4.41872433 1.08660666] : 68
O1 : [4.32422281 4.30484892 3.320925  ] : 97
O1 : [3.37012935 3.00021339 5.55524334] : 74
!!!atention to nb coordination!!!
         [3.281420788315011, 3.281420788315011, 3.106514396099544, 2.6535858978487235, 3.1065143960995454, 2.403078210403914, 2.6535858978487252, 2.653585897848725, 2.4030782104039146, 2.6535858978487235]
         [3.281420788315011, 3.281420788315011, 3.1065143960995445, 2.6535858978487235, 3.106514396099545, 2.403078210403914, 2.6535858978487252, 2.653585897848725, 2.4030782104039146, 2.6535858978487235]


**isite= 33
Pb1 : [6.2631602 0.        3.320925 ]

ce_symbol  = SBSA:10
ce_fraction=  1.0
species:coords:index
O1 : [ 6.74284712 -3.06925596  3.320925  ] : 91
O1 : [8.60288933 0.         5.62166184] : 63
O1 : [6.07037431 1.41851093 5.55524334] : 73
O1 : [ 4.46348007 -1.59246234  3.320925  ] : 92
O1 : [4.46348007 1.59246234 3.320925  ] : 99
O1 : [6.74284712 3.06925596 3.320925  ] : 98
O1 : [6.07037431 1.41851093 1.08660666] : 82
O1 : [ 6.07037431 -1.41851093  5.55524334] : 78
O1 : [ 6.07037431 -1.41851093  1.08660666] : 69
O1 : [8.60288933 0.         1.02018816] : 56
!!!atention to nb coordination!!!
         [3.1065143960995445, 3.281420788315011, 2.6535858978487235, 2.403078210403915, 2.403078210403914, 3.1065143960995436, 2.6535858978487252, 2.653585897848724, 2.6535858978487257, 3.281420788315011]
         [3.1065143960995445, 3.2814207883150113, 2.653585897848724, 2.4030782104039146, 2.403078210403914, 3.106514396099544, 2.6535858978487252, 2.653585897848724, 2.6535858978487252, 3.2814207883150113]


**isite= 34
Pb1 : [7.6250859 0.        9.962775 ]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [6.89970568 0.         7.69391904] : 40
O1 : [ 5.89021993 -1.59246234  9.962775  ] : 96
O1 : [ 6.89970568  0.         12.23163096] : 47
O1 : [5.89021993 1.59246234 9.962775  ] : 89
!!!atention to nb coordination!!!
         [2.3819915687710336, 2.354930198839733, 2.381991568771032, 2.3549301988397313]
         [2.381991568771034, 2.3549301988397326, 2.381991568771032, 2.354930198839732]


**isite= 35
Pb1 : [-3.81254295  6.6035181   9.962775  ]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [-3.44985284  5.9753204  12.23163096] : 46
O1 : [-3.44985284  5.9753204   7.69391904] : 41
O1 : [-4.32422281  4.30484892  9.962775  ] : 90
O1 : [-1.56599712  5.89731126  9.962775  ] : 95
!!!atention to nb coordination!!!
         [2.381991568771032, 2.3819915687710336, 2.3549301988397313, 2.354930198839732]
         [2.381991568771032, 2.3819915687710336, 2.3549301988397318, 2.354930198839732]


**isite= 36
Pb1 : [1.36430705 2.36304913 9.962775  ]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [ 1.72699716  2.99124683 12.23163096] : 48
O1 : [3.61085288 3.06925596 9.962775  ] : 88
O1 : [1.72699716 2.99124683 7.69391904] : 42
O1 : [0.85262719 4.6617183  9.962775  ] : 94
!!!atention to nb coordination!!!
         [2.381991568771032, 2.3549301988397326, 2.3819915687710336, 2.354930198839731]
         [2.381991568771032, 2.354930198839732, 2.3819915687710336, 2.3549301988397318]


**isite= 37
Pb1 : [2.7286141 0.        3.320925 ]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [ 4.46348007 -1.59246234  3.320925  ] : 92
O1 : [3.45399432 0.         1.05206904] : 43
