cif name= ./1510920.cif
./1510920.cif
Full Formula (K12 B36 O60)
 70  O     0.7702  0.5962  0.56566
 71  O     0.2298  0.0962  0.93434
 72  O     0.1206  0.3081  0.5627
 73  O     0.8794  0.8081  0.9373
 74  O     0.8794  0.6919  0.4373
 75  O     0.1206  0.1919  0.0627
 76  O     0.6776  0.0807  0.24212
 77  O     0.3224  0.5807  0.25788
 78  O     0.3224  0.9193  0.75788
 79  O     0.6776  0.4193  0.74212
 80  O     0.0824  0.194   0.66933
 81  O     0.9176  0.694   0.83067
 82  O     0.9176  0.806   0.33067
 83  O     0.0824  0.306   0.16933
 84  O     0.0616  0.157   0.3927
 85  O     0.9384  0.657   0.1073
 86  O     0.9384  0.843   0.6073
 87  O     0.0616  0.343   0.8927
 88  O     0.1127  0.8069  0.4129
 89  O     0.8873  0.3069  0.0871
 90  O     0.8873  0.1931  0.5871
 91  O     0.1127  0.6931  0.9129
 92  O     0.7794  0.37    0.2915
 93  O     0.2206  0.87    0.2085
 94  O     0.2206  0.63    0.7085
 95  O     0.7794  0.13    0.7915
 96  O     0.36    0.2907  0.53163
 97  O     0.64    0.7907  0.96837
 98  O     0.64    0.7093  0.46837
 99  O     0.36    0.2093  0.03163
100  O     0.5332  0.0771  0.25107
101  O     0.4668  0.5771  0.24893
102  O     0.4668  0.9229  0.74893
103  O     0.5332  0.4229  0.75107
104  O     0.2695  0.0461  0.4576
105  O     0.7305  0.5461  0.0424
106  O     0.7305  0.9539  0.5424
107  O     0.2695  0.4539  0.9576

space_group_IT_number 14

*** lse ***


**isite= 0
K1 : [3.14130056 4.5585336  8.0682368 ]

ce_symbol  = T:5
ce_fraction=  1.0
species:coords:index
O1 : [1.44179767 2.6844624  9.13521017] : 68
O1 : [5.20963017 4.7154264  9.85094255] : 98
O1 : [0.38508196 5.3642712  8.68427564] : 88
O1 : [2.58900876 3.8604936  5.42383386] : 77
O1 : [3.02997317 7.299504   7.10053634] : 52
!!!atention to nb coordination!!!
         [2.745703023055781, 2.7350763314145716, 2.93691298613189, 2.790188703111679, 2.908909883666365]
         [2.7457030230557806, 2.7350763314145703, 2.936912986131889, 2.79018870311168, 2.9089098836663645]


**isite= 1
K1 : [5.37221465 1.2345336  2.44796038]

ce_symbol  = T:5
ce_fraction=  1.0
species:coords:index
O1 : [ 7.07171754 -0.6395376   1.38098701] : 69
O1 : [5.48354204 3.975504   3.41566085] : 53
O1 : [8.12843325 2.0402712  1.83192155] : 89
O1 : [5.92450644 0.5364936  5.09236333] : 76
O1 : [3.30388503 1.3914264  0.66525463] : 99
!!!atention to nb coordination!!!
         [2.7457030230557797, 2.908909883666366, 2.936912986131888, 2.790188703111681, 2.735076331414572]
         [2.7457030230557806, 2.908909883666365, 2.936912986131888, 2.79018870311168, 2.735076331414572]


**isite= 2
K1 : [ 4.56672986  2.0894664  12.96415757]

ce_symbol  = T:5
ce_fraction=  1.0
species:coords:index
O1 : [ 4.67805725 -0.651504   13.93185803] : 54
O1 : [ 5.11902165  2.7875064  15.60856051] : 79
O1 : [ 7.32294846  1.2837288  12.34811874] : 90
O1 : [ 2.49840024  1.9325736  11.18145182] : 96
O1 : [ 6.26623274  3.9635376  11.8971842 ] : 70
!!!atention to nb coordination!!!
         [2.908909883666365, 2.790188703111682, 2.9369129861318863, 2.73507633141457, 2.745703023055781]
         [2.9089098836663654, 2.79018870311168, 2.9369129861318872, 2.7350763314145707, 2.7457030230557806]


**isite= 3
K1 : [ 2.33581576  5.4134664  18.58443399]

ce_symbol  = T:5
ce_fraction=  1.0
species:coords:index
O1 : [ 1.78352397  6.1115064  15.94003105] : 78
O1 : [-0.42040284  4.6077288  19.20047282] : 91
O1 : [ 0.63631288  7.2875376  19.65140736] : 71
O1 : [ 4.40414538  5.2565736  20.36713974] : 97
O1 : [ 2.22448837  2.672496   17.61673353] : 55
!!!atention to nb coordination!!!
         [2.7901887031116788, 2.936912986131889, 2.745703023055783, 2.7350763314145716, 2.908909883666364]
         [2.79018870311168, 2.9369129861318886, 2.745703023055782, 2.7350763314145694, 2.9089098836663654]


**isite= 4
K1 : [0.21569126 0.2419872  5.46947416]

ce_symbol  = S:1
ce_fraction=  0.5159652079059935
species:coords:index
O1 : [ 1.71988424 -0.86424     4.38525423] : 93
!!!atention to nb coordination!!!
         [2.159135938751552]
         [2.159135938751553]

ce_symbol  = TS:3
ce_fraction=  0.4470535383383621
species:coords:index
O1 : [0.49510012 2.034288   3.56141534] : 83
O1 : [ 1.71988424 -0.86424     4.38525423] : 93
O1 : [-1.30058491 -1.289712    6.95478185] : 82
!!!atention to nb coordination!!!
         [2.632698220413503, 2.159135938751552, 2.6175054546689043]
         [2.632698220413503, 2.159135938751553, 2.6175054546689043]

ce_symbol  = SS:4
ce_fraction=  0.0369812537556443
species:coords:index
O1 : [0.49510012 2.034288   3.56141534] : 83
O1 : [-0.05857736  1.043736    8.25942127] : 84
O1 : [ 1.71988424 -0.86424     4.38525423] : 93
O1 : [-1.30058491 -1.289712    6.95478185] : 82
!!!atention to nb coordination!!!
         [2.632698220413503, 2.8076648471745664, 2.159135938751552, 2.6175054546689043]
         [2.632698220413503, 2.9157896541368835, 2.159135938751553, 2.6175054546689043]


**isite= 5
K1 : [8.29782395 3.5659872  5.04672303]

ce_symbol  = S:1
ce_fraction=  0.5159652079059918
species:coords:index
O1 : [6.79363097 2.45976    6.13094296] : 92
!!!atention to nb coordination!!!
         [2.1591359387515525]
         [2.159135938751552]

ce_symbol  = TS:3
ce_fraction=  0.44705353833836453
species:coords:index
O1 : [8.01841509 5.358288   6.95478185] : 82
O1 : [6.79363097 2.45976    6.13094296] : 92
O1 : [9.81410012 2.034288   3.56141534] : 83
!!!atention to nb coordination!!!
         [2.6326982204135057, 2.1591359387515525, 2.617505454668904]
         [2.6326982204135043, 2.159135938751552, 2.6175054546689034]

ce_symbol  = SS:4
ce_fraction=  0.036981253755643706
species:coords:index
O1 : [8.01841509 5.358288   6.95478185] : 82
O1 : [6.79363097 2.45976    6.13094296] : 92
O1 : [8.57209256 4.367736   2.25677592] : 85
O1 : [9.81410012 2.034288   3.56141534] : 83
!!!atention to nb coordination!!!
         [2.6326982204135057, 2.807664847174569, 2.1591359387515525, 2.617505454668904]
         [2.6326982204135043, 2.159135938751552, 2.9157896541368826, 2.6175054546689034]


**isite= 6
K1 : [ 7.49233915  6.4060128  15.56292022]

ce_symbol  = S:1
ce_fraction=  0.5159652079059946
species:coords:index
O1 : [ 5.98814617  7.51224    16.64714014] : 95
!!!atention to nb coordination!!!
         [2.1591359387515547]
         [2.159135938751553]

ce_symbol  = TS:3
ce_fraction=  0.4470535383383615
species:coords:index
O1 : [ 9.00861533  7.937712   14.07761252] : 80
O1 : [ 7.21293029  4.613712   17.47097903] : 81
O1 : [ 5.98814617  7.51224    16.64714014] : 95
!!!atention to nb coordination!!!
         [2.6175054546689025, 2.6326982204135057, 2.1591359387515547]
         [2.6175054546689047, 2.632698220413504, 2.159135938751553]

ce_symbol  = SS:4
ce_fraction=  0.03698125375564392
species:coords:index
O1 : [ 9.00861533  7.937712   14.07761252] : 80
O1 : [ 7.76660777  5.604264   12.7729731 ] : 86
O1 : [ 7.21293029  4.613712   17.47097903] : 81
O1 : [ 5.98814617  7.51224    16.64714014] : 95
!!!atention to nb coordination!!!
         [2.6175054546689025, 2.6326982204135057, 2.1591359387515547, 2.8076648471745718]
         [2.6175054546689047, 2.9157896541368835, 2.632698220413504, 2.159135938751553]


**isite= 7
K1 : [-0.58979353  3.0820128  15.98567134]

ce_symbol  = S:1
ce_fraction=  0.5159652079059905
species:coords:index
O1 : [ 0.91439945  4.18824    14.90145141] : 94
!!!atention to nb coordination!!!
         [2.1591359387515525]
         [2.159135938751553]

ce_symbol  = TS:3
ce_fraction=  0.44705353833836575
species:coords:index
O1 : [-0.31038467  1.289712   14.07761252] : 80
O1 : [-2.10606971  4.613712   17.47097903] : 81
O1 : [ 0.91439945  4.18824    14.90145141] : 94
!!!atention to nb coordination!!!
         [2.6326982204135025, 2.617505454668905, 2.1591359387515525]
         [2.632698220413505, 2.617505454668904, 2.159135938751553]

ce_symbol  = SS:4
ce_fraction=  0.03698125375564374
species:coords:index
O1 : [-0.31038467  1.289712   14.07761252] : 80
O1 : [-2.10606971  4.613712   17.47097903] : 81
O1 : [ 0.91439945  4.18824    14.90145141] : 94
O1 : [-0.86406215  2.280264   18.77561846] : 87
!!!atention to nb coordination!!!
         [2.6326982204135025, 2.8076648471745647, 2.617505454668905, 2.1591359387515525]
         [2.632698220413505, 2.617505454668904, 2.159135938751553, 2.9157896541368817]


**isite= 8
K1 : [ 1.28156951  4.6449576  11.31227331]

ce_symbol  = PCPA:11
ce_fraction=  1.0
species:coords:index
O1 : [0.38508196 5.3642712  8.68427564] : 88
O1 : [-1.55239223  5.604264   12.7729731 ] : 86
O1 : [ 4.06633165  4.8523752  11.92957409] : 62
O1 : [1.77429082 6.9544728  9.62442366] : 104
O1 : [ 1.78557733  7.415844   13.09056226] : 64
O1 : [ 2.49840024  1.9325736  11.18145182] : 96
O1 : [1.44179767 2.6844624  9.13521017] : 68
O1 : [-1.18111123  3.3552456  13.25461493] : 50
O1 : [-1.8283484   4.5997512   9.19746606] : 74
O1 : [ 2.61221441  4.8078336  13.75918207] : 58
O1 : [ 0.21737881  2.0482488  11.83492831] : 72
!!!atention to nb coordination!!!
         [2.8683573297883536, 3.3294521733042894, 2.8598920431264134, 2.9026662196984794, 3.330787728817811, 2.975704665113569, 2.9340788017075603, 3.391289496093709, 3.761122536557375, 2.790072924144595, 2.8545694377356017]
         [2.868357329788355, 3.3294521733042877, 2.8598920431264134, 2.9026662196984803, 3.3307877288178083, 2.97570466511357, 2.934078801707562, 3.3912894960937074, 3.7611225365573775, 2.790072924144592, 2.8545694377356017]


**isite= 9
K1 : [ 5.62097611  1.3209576  20.23631824]

ce_symbol  = PCPA:11
ce_fraction=  1.0
species:coords:index
O1 : [ 5.11696829  4.091844   18.4580293 ] : 65
O1 : [ 8.45493785  2.280264   18.77561846] : 87
O1 : [ 2.83621397  1.5283752  19.61901747] : 63
O1 : [ 6.51746366  2.0402712  22.86431592] : 89
O1 : [ 5.1282548   3.6304728  21.92416789] : 105
O1 : [ 8.08365685  0.0312456  18.29397662] : 51
O1 : [ 8.73089402  1.2757512  22.3511255 ] : 75
O1 : [ 4.29033121  1.4838336  17.78940948] : 59
O1 : [ 5.46074795 -0.6395376  22.41338139] : 69
O1 : [ 4.40414538 -1.3914264  20.36713974] : 97
O1 : [ 6.68516681 -1.2757512  19.71366324] : 73
!!!atention to nb coordination!!!
         [3.3307877288178065, 3.329452173304286, 2.8598920431264125, 2.868357329788358, 2.902666219698481, 3.391289496093705, 3.7611225365573806, 2.7900729241445874, 2.934078801707564, 2.97570466511357, 2.854569437735601]
         [3.3307877288178074, 3.329452173304286, 2.8598920431264134, 2.8683573297883576, 2.902666219698481, 3.3912894960937057, 3.7611225365573806, 2.7900729241445905, 2.934078801707565, 2.975704665113571, 2.8545694377356017]


**isite= 10
K1 : [6.42646091 2.0030424  9.72012106]

ce_symbol  = PCPA:11
ce_fraction=  1.0
species:coords:index
O1 : [3.64169876 1.7956248  9.10282028] : 60
O1 : [ 5.9337396  -0.3064728  11.40797071] : 106
O1 : [9.26042264 1.043736   8.25942127] : 84
O1 : [8.88914165 3.2927544  7.77777944] : 48
O1 : [5.09581601 1.8401664  7.2732123 ] : 56
O1 : [ 5.92245308 -0.767844    7.94183211] : 66
O1 : [ 6.26623274  3.9635376  11.8971842 ] : 70
O1 : [5.20963017 4.7154264  9.85094255] : 98
O1 : [ 7.32294846  1.2837288  12.34811874] : 90
O1 : [7.4906516  4.5997512  9.19746606] : 74
O1 : [ 9.53637881  2.0482488  11.83492831] : 72
!!!atention to nb coordination!!!
         [2.859892043126412, 2.902666219698481, 3.3294521733042868, 3.3912894960937074, 2.790072924144591, 3.3307877288178065, 2.934078801707564, 2.9757046651135703, 2.868357329788358, 2.8545694377356035, 3.761122536557379]
         [2.859892043126413, 2.9026662196984803, 3.329452173304287, 3.3912894960937083, 2.7900729241445923, 3.330787728817809, 2.934078801707562, 2.9757046651135695, 2.8683573297883544, 2.8545694377356026, 3.7611225365573775]


**isite= 11
K1 : [2.0870543  5.3270424  0.79607613]

ce_symbol  = PCPA:11
ce_fraction=  1.0
species:coords:index
O1 : [-1.02286361  5.3722488  -1.31873113] : 73
O1 : [ 1.19056675  4.6077288  -1.83192155] : 91
O1 : [-0.37562644  6.6167544   2.73841775] : 49
O1 : [3.30388503 8.0394264  0.66525463] : 99
O1 : [1.02286361 7.9237512  1.31873113] : 75
O1 : [ 2.24728246  7.2875376  -1.38098701] : 71
O1 : [3.4176992  5.1641664  3.24298489] : 57
O1 : [2.59106212 2.556156   2.57436507] : 67
O1 : [-0.74690744  4.367736    2.25677592] : 85
O1 : [ 2.57977561  3.0175272  -0.89177352] : 107
O1 : [4.87181644 5.1196248  1.4133769 ] : 61
!!!atention to nb coordination!!!
         [3.7611225365573753, 2.8683573297883513, 3.3912894960937074, 2.97570466511357, 2.8545694377356026, 2.9340788017075567, 2.7900729241445945, 3.330787728817809, 3.3294521733042863, 2.9026662196984767, 2.859892043126413]
         [3.7611225365573766, 2.8683573297883544, 3.3912894960937088, 2.97570466511357, 2.8545694377356026, 2.934078801707561, 2.7900729241445936, 3.330787728817809, 3.3294521733042886, 2.9026662196984794, 2.8598920431264143]


**isite= 12
B1 : [0.6929289  0.0252624  8.85043155]

ce_symbol  = TL:3
ce_fraction=  0.9998122268089277
species:coords:index
O1 : [1.77429082 0.3064728  9.62442366] : 104
O1 : [ 0.38508196 -1.2837288   8.68427564] : 88
O1 : [-0.05857736  1.043736    8.25942127] : 84
!!!atention to nb coordination!!!
         [1.3592228221075349, 1.3549300677796479, 1.3969048921962475]
         [1.3592228221075342, 1.354930067779649, 1.396904892196248]

ce_symbol  = TY:3
ce_fraction=  0.00018777319107228006
species:coords:index
O1 : [1.77429082 0.3064728  9.62442366] : 104
O1 : [ 0.38508196 -1.2837288   8.68427564] : 88
O1 : [-0.05857736  1.043736    8.25942127] : 84
!!!atention to nb coordination!!!
         [1.3592228221075349, 1.3549300677796479, 1.3969048921962475]
         [1.3592228221075342, 1.354930067779649, 1.396904892196248]


**isite= 13
B1 : [7.82058631 3.3492624  1.66576563]

ce_symbol  = TL:3
ce_fraction=  0.9998122268089277
species:coords:index
O1 : [8.12843325 2.0402712  1.83192155] : 89
O1 : [8.57209256 4.367736   2.25677592] : 85
O1 : [6.73922439 3.6304728  0.89177352] : 105
!!!atention to nb coordination!!!
         [1.354930067779649, 1.3969048921962506, 1.3592228221075338]
         [1.3549300677796494, 1.3969048921962488, 1.3592228221075338]

ce_symbol  = TY:3
ce_fraction=  0.00018777319107228803
species:coords:index
O1 : [8.12843325 2.0402712  1.83192155] : 89
O1 : [8.57209256 4.367736   2.25677592] : 85
O1 : [6.73922439 3.6304728  0.89177352] : 105
!!!atention to nb coordination!!!
         [1.354930067779649, 1.3969048921962506, 1.3592228221075338]
         [1.3549300677796494, 1.3969048921962488, 1.3592228221075338]


**isite= 14
B1 : [ 7.01510152  6.6227376  12.18196282]

ce_symbol  = TL:3
ce_fraction=  0.9998122268089277
species:coords:index
O1 : [ 7.32294846  7.9317288  12.34811874] : 90
O1 : [ 5.9337396   6.3415272  11.40797071] : 106
O1 : [ 7.76660777  5.604264   12.7729731 ] : 86
!!!atention to nb coordination!!!
         [1.3549300677796492, 1.3592228221075315, 1.3969048921962488]
         [1.3549300677796488, 1.3592228221075338, 1.3969048921962486]

ce_symbol  = TY:3
ce_fraction=  0.00018777319107229245
species:coords:index
O1 : [ 7.32294846  7.9317288  12.34811874] : 90
O1 : [ 5.9337396   6.3415272  11.40797071] : 106
O1 : [ 7.76660777  5.604264   12.7729731 ] : 86
!!!atention to nb coordination!!!
         [1.3549300677796492, 1.3592228221075315, 1.3969048921962488]
         [1.3549300677796488, 1.3592228221075338, 1.3969048921962486]


**isite= 15
B1 : [-0.1125559   3.2987376  19.36662874]

ce_symbol  = TL:3
ce_fraction=  0.9998122268089277
species:coords:index
O1 : [ 0.96880602  3.0175272  20.14062085] : 107
O1 : [-0.86406215  2.280264   18.77561846] : 87
O1 : [-0.42040284  4.6077288  19.20047282] : 91
!!!atention to nb coordination!!!
         [1.3592228221075369, 1.396904892196246, 1.3549300677796499]
         [1.359222822107535, 1.3969048921962477, 1.3549300677796494]

ce_symbol  = TY:3
ce_fraction=  0.00018777319107227743
species:coords:index
O1 : [ 0.96880602  3.0175272  20.14062085] : 107
O1 : [-0.86406215  2.280264   18.77561846] : 87
O1 : [-0.42040284  4.6077288  19.20047282] : 91
!!!atention to nb coordination!!!
         [1.3592228221075369, 1.396904892196246, 1.3549300677796499]
         [1.359222822107535, 1.3969048921962477, 1.3549300677796494]


**isite= 16
B1 : [ 0.79455249  0.4846392  14.03281352]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
O1 : [-0.31038467  1.289712   14.07761252] : 80
O1 : [ 1.78557733  0.767844   13.09056226] : 64
!!!atention to nb coordination!!!
         [1.3678579249274359, 1.396485817691351]
         [1.3678579249274352, 1.3964858176913535]


**isite= 17
B1 : [ 6.10799313  3.8086392  17.51577803]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
O1 : [ 7.21293029  4.613712   17.47097903] : 81
O1 : [ 5.11696829  4.091844   18.4580293 ] : 65
!!!atention to nb coordination!!!
         [1.3678579249274376, 1.396485817691357]
         [1.3678579249274365, 1.3964858176913544]


**isite= 18
B1 : [6.91347792 6.1633608  6.99958085]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
O1 : [5.92245308 5.880156   7.94183211] : 66
O1 : [8.01841509 5.358288   6.95478185] : 82
!!!atention to nb coordination!!!
         [1.3964858176913546, 1.367857924927435]
         [1.396485817691353, 1.3678579249274354]


**isite= 19
B1 : [1.60003729 2.8393608  3.51661634]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
O1 : [2.59106212 2.556156   2.57436507] : 67
O1 : [0.49510012 2.034288   3.56141534] : 83
!!!atention to nb coordination!!!
         [1.3964858176913528, 1.3678579249274359]
         [1.3964858176913533, 1.367857924927436]


**isite= 20
B1 : [5.57544414 1.3502088  5.97530324]

ce_symbol  = S:1
ce_fraction=  0.8570115230079867
species:coords:index
O1 : [5.92450644 0.5364936  5.09236333] : 76
!!!atention to nb coordination!!!
         [1.2504238533465233]
         [1.2504238533465237]

ce_symbol  = SS:4
ce_fraction=  0.09087260786945471
species:coords:index
O1 : [4.56442467 0.5125608  5.28060325] : 100
O1 : [5.92450644 0.5364936  5.09236333] : 76
O1 : [6.79363097 2.45976    6.13094296] : 92
O1 : [5.09581601 1.8401664  7.2732123 ] : 56
!!!atention to nb coordination!!!
         [1.4854031844831663, 1.2504238533465233, 1.655085112037965, 1.4678792577415505]
         [1.4854031844831668, 1.2504238533465237, 1.6550851120379644, 1.467879257741549]

ce_symbol  = S:4
ce_fraction=  0.052115869122558584
species:coords:index
O1 : [4.56442467 0.5125608  5.28060325] : 100
O1 : [5.92450644 0.5364936  5.09236333] : 76
O1 : [6.79363097 2.45976    6.13094296] : 92
O1 : [5.09581601 1.8401664  7.2732123 ] : 56
!!!atention to nb coordination!!!
         [1.4854031844831663, 1.2504238533465233, 1.655085112037965, 1.4678792577415505]
         [1.4854031844831668, 1.2504238533465237, 1.6550851120379644, 1.467879257741549]


**isite= 21
B1 : [2.93807107 4.6742088  4.54089394]

ce_symbol  = S:1
ce_fraction=  0.8570115230079897
species:coords:index
O1 : [2.58900876 3.8604936  5.42383386] : 77
!!!atention to nb coordination!!!
         [1.2504238533465242]
         [1.2504238533465237]

ce_symbol  = SS:4
ce_fraction=  0.09087260786945266
species:coords:index
O1 : [2.58900876 3.8604936  5.42383386] : 77
O1 : [1.71988424 5.78376    4.38525423] : 93
O1 : [3.94909054 3.8365608  5.23559393] : 101
O1 : [3.4176992  5.1641664  3.24298489] : 57
!!!atention to nb coordination!!!
         [1.2504238533465242, 1.6550851120379644, 1.4854031844831677, 1.4678792577415487]
         [1.2504238533465237, 1.6550851120379637, 1.485403184483167, 1.4678792577415491]

ce_symbol  = S:4
ce_fraction=  0.05211586912255767
species:coords:index
O1 : [2.58900876 3.8604936  5.42383386] : 77
O1 : [1.71988424 5.78376    4.38525423] : 93
O1 : [3.94909054 3.8365608  5.23559393] : 101
O1 : [3.4176992  5.1641664  3.24298489] : 57
!!!atention to nb coordination!!!
         [1.2504238533465242, 1.6550851120379644, 1.4854031844831677, 1.4678792577415487]
         [1.2504238533465237, 1.6550851120379637, 1.485403184483167, 1.4678792577415491]


**isite= 22
B1 : [ 2.13258627  5.2977912  15.05709113]

ce_symbol  = S:1
ce_fraction=  0.8570115230079893
species:coords:index
O1 : [ 1.78352397  6.1115064  15.94003105] : 78
!!!atention to nb coordination!!!
         [1.2504238533465264]
         [1.2504238533465237]

ce_symbol  = SS:4
ce_fraction=  0.09087260786945313
species:coords:index
O1 : [ 0.91439945  4.18824    14.90145141] : 94
O1 : [ 3.14360575  6.1354392  15.75179112] : 102
O1 : [ 1.78352397  6.1115064  15.94003105] : 78
O1 : [ 2.61221441  4.8078336  13.75918207] : 58
!!!atention to nb coordination!!!
         [1.655085112037963, 1.4854031844831692, 1.2504238533465264, 1.467879257741546]
         [1.6550851120379637, 1.4854031844831672, 1.2504238533465237, 1.4678792577415496]

ce_symbol  = S:4
ce_fraction=  0.05211586912255759
species:coords:index
O1 : [ 0.91439945  4.18824    14.90145141] : 94
O1 : [ 3.14360575  6.1354392  15.75179112] : 102
O1 : [ 1.78352397  6.1115064  15.94003105] : 78
O1 : [ 2.61221441  4.8078336  13.75918207] : 58
!!!atention to nb coordination!!!
         [1.655085112037963, 1.4854031844831692, 1.2504238533465264, 1.467879257741546]
         [1.6550851120379637, 1.4854031844831672, 1.2504238533465237, 1.4678792577415496]


**isite= 23
B1 : [ 4.76995935  1.9737912  16.49150043]

ce_symbol  = S:1
ce_fraction=  0.8570115230079853
species:coords:index
O1 : [ 5.11902165  2.7875064  15.60856051] : 79
!!!atention to nb coordination!!!
         [1.2504238533465242]
         [1.2504238533465248]

ce_symbol  = SS:4
ce_fraction=  0.09087260786945474
species:coords:index
O1 : [ 3.75893987  2.8114392  15.79680044] : 103
O1 : [ 5.11902165  2.7875064  15.60856051] : 79
O1 : [ 4.29033121  1.4838336  17.78940948] : 59
O1 : [ 5.98814617  0.86424    16.64714014] : 95
!!!atention to nb coordination!!!
         [1.485403184483167, 1.2504238533465242, 1.467879257741551, 1.6550851120379655]
         [1.4854031844831672, 1.2504238533465248, 1.467879257741548, 1.6550851120379653]

ce_symbol  = S:4
ce_fraction=  0.05211586912255997
species:coords:index
O1 : [ 3.75893987  2.8114392  15.79680044] : 103
O1 : [ 5.11902165  2.7875064  15.60856051] : 79
O1 : [ 4.29033121  1.4838336  17.78940948] : 59
O1 : [ 5.98814617  0.86424    16.64714014] : 95
!!!atention to nb coordination!!!
         [1.485403184483167, 1.2504238533465242, 1.467879257741551, 1.6550851120379655]
         [1.4854031844831672, 1.2504238533465248, 1.467879257741548, 1.6550851120379653]


**isite= 24
B1 : [2.34272519 1.6646592  9.74641155]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [1.44179767 2.6844624  9.13521017] : 68
O1 : [ 2.49840024  1.9325736  11.18145182] : 96
O1 : [1.77429082 0.3064728  9.62442366] : 104
O1 : [3.64169876 1.7956248  9.10282028] : 60
!!!atention to nb coordination!!!
         [1.491722526918002, 1.4681121946353122, 1.4773858609294088, 1.4555734410266363]
         [1.4917225269180026, 1.4681121946353104, 1.477385860929409, 1.4555734410266368]


**isite= 25
B1 : [6.17079001 4.9886592  0.76978563]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [7.07171754 6.0084624  1.38098701] : 69
O1 : [6.73922439 3.6304728  0.89177352] : 105
O1 : [ 6.01511497  5.2565736  -0.66525463] : 97
O1 : [4.87181644 5.1196248  1.4133769 ] : 61
!!!atention to nb coordination!!!
         [1.491722526918004, 1.4773858609294082, 1.4681121946353095, 1.4555734410266379]
         [1.4917225269180028, 1.4773858609294086, 1.4681121946353113, 1.455573441026637]


**isite= 26
B1 : [ 5.36530522  4.9833408  11.28598282]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 4.06633165  4.8523752  11.92957409] : 62
O1 : [ 5.9337396   6.3415272  11.40797071] : 106
O1 : [ 6.26623274  3.9635376  11.8971842 ] : 70
