cif name= ./1528994.cif
./1528994.cif
Full Formula (La16 Zr16 O56)
O1 : [8.1057     0.47445364 8.1057    ] : 66
O1 : [ 8.58015364  0.         10.8076    ] : 69
O1 : [10.8076      2.22744636 10.8076    ] : 65
O1 : [10.33314636  2.7019      8.1057    ] : 64
O1 : [10.8076      0.          8.58015364] : 73


**isite= 12
La1 : [6.75475 6.75475 1.35095]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [8.1057     8.1057     0.47445364] : 84
O1 : [8.1057     5.87825364 2.7019    ] : 80
O1 : [5.4038     5.4038     2.22744636] : 58
O1 : [5.87825364 8.1057     2.7019    ] : 48
O1 : [7.63124636 5.4038     0.        ] : 81
O1 : [5.4038     7.63124636 0.        ] : 51


**isite= 13
La1 : [6.75475 9.45665 4.05285]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 7.63124636 10.8076      5.4038    ] : 67
O1 : [8.1057     8.1057     4.92934636] : 85
O1 : [5.4038     8.58015364 5.4038    ] : 35
O1 : [ 8.1057     10.33314636  2.7019    ] : 82
O1 : [ 5.4038     10.8076      3.17635364] : 45
O1 : [5.87825364 8.1057     2.7019    ] : 48


**isite= 14
La1 : [9.45665 4.05285 6.75475]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.33314636  2.7019      8.1057    ] : 64
O1 : [8.58015364 5.4038     5.4038    ] : 83
O1 : [10.8076      3.17635364  5.4038    ] : 77
O1 : [10.8076      5.4038      7.63124636] : 86
O1 : [8.1057     4.92934636 8.1057    ] : 68
O1 : [8.1057     2.7019     5.87825364] : 70


**isite= 15
La1 : [9.45665 6.75475 4.05285]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [8.1057     8.1057     4.92934636] : 85
O1 : [8.58015364 5.4038     5.4038    ] : 83
O1 : [10.8076      7.63124636  5.4038    ] : 79
O1 : [8.1057     5.87825364 2.7019    ] : 80
O1 : [10.33314636  8.1057      2.7019    ] : 78
O1 : [10.8076      5.4038      3.17635364] : 87


**isite= 16
Zr1 : [1.35095 1.35095 6.75475]

ce_symbol  = C:8
ce_fraction=  0.7426354425093954
species:coords:index
O1 : [0.         3.17635364 5.4038    ] : 77
O1 : [-0.47445364  2.7019      8.1057    ] : 64
O1 : [0.         0.         8.58015364] : 73
O1 : [0.     0.     5.4038] : 75
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [2.7019     2.7019     4.92934636] : 43
O1 : [3.17635364 0.         5.4038    ] : 41
O1 : [ 2.7019     -0.47445364  8.1057    ] : 54

ce_symbol  = HB:8
ce_fraction=  0.18618000293132667
species:coords:index
O1 : [0.         3.17635364 5.4038    ] : 77
O1 : [-0.47445364  2.7019      8.1057    ] : 64
O1 : [0.         0.         8.58015364] : 73
O1 : [0.     0.     5.4038] : 75
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [2.7019     2.7019     4.92934636] : 43
O1 : [3.17635364 0.         5.4038    ] : 41
O1 : [ 2.7019     -0.47445364  8.1057    ] : 54

ce_symbol  = L:2
ce_fraction=  0.053170122908340785
species:coords:index
O1 : [0.     0.     5.4038] : 75
O1 : [2.7019 2.7019 8.1057] : 46

ce_symbol  = BO_1:8
ce_fraction=  0.01801443165093696
species:coords:index
O1 : [0.         3.17635364 5.4038    ] : 77
O1 : [-0.47445364  2.7019      8.1057    ] : 64
O1 : [0.         0.         8.58015364] : 73
O1 : [0.     0.     5.4038] : 75
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [2.7019     2.7019     4.92934636] : 43
O1 : [3.17635364 0.         5.4038    ] : 41
O1 : [ 2.7019     -0.47445364  8.1057    ] : 54


**isite= 17
Zr1 : [1.35095 9.45665 4.05285]

ce_symbol  = C:8
ce_fraction=  0.7426354425093948
species:coords:index
O1 : [ 2.7019     11.28205364  2.7019    ] : 38
O1 : [ 3.17635364 10.8076      5.4038    ] : 41
O1 : [ 0.     10.8076  5.4038] : 75
O1 : [2.7019     8.1057     5.87825364] : 56
O1 : [-0.47445364  8.1057      2.7019    ] : 78
O1 : [0.         7.63124636 5.4038    ] : 79
O1 : [ 0.         10.8076      2.22744636] : 72
O1 : [2.7019 8.1057 2.7019] : 32
!!!atention to nb coordination!!!
         [2.6423910107940602, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.642391010794059, 2.6423910107940594, 2.6423910107940602, 2.3399140384851744]
         [2.6423910107940602, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.6423910107940594, 2.6423910107940594, 2.6423910107940602, 2.3399140384851744]

ce_symbol  = HB:8
ce_fraction=  0.18618000293132714
species:coords:index
O1 : [ 2.7019     11.28205364  2.7019    ] : 38
O1 : [ 3.17635364 10.8076      5.4038    ] : 41
O1 : [ 0.     10.8076  5.4038] : 75
O1 : [2.7019     8.1057     5.87825364] : 56
O1 : [-0.47445364  8.1057      2.7019    ] : 78
O1 : [0.         7.63124636 5.4038    ] : 79
O1 : [ 0.         10.8076      2.22744636] : 72
O1 : [2.7019 8.1057 2.7019] : 32
!!!atention to nb coordination!!!
         [2.6423910107940602, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.642391010794059, 2.6423910107940594, 2.6423910107940602, 2.3399140384851744]
         [2.6423910107940602, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.6423910107940594, 2.6423910107940594, 2.6423910107940602, 2.3399140384851744]

ce_symbol  = L:2
ce_fraction=  0.05317012290834102
species:coords:index
O1 : [ 0.     10.8076  5.4038] : 75
O1 : [2.7019 8.1057 2.7019] : 32

ce_symbol  = BO_1:8
ce_fraction=  0.01801443165093705
species:coords:index
O1 : [ 2.7019     11.28205364  2.7019    ] : 38
O1 : [ 3.17635364 10.8076      5.4038    ] : 41
O1 : [ 0.     10.8076  5.4038] : 75
O1 : [2.7019     8.1057     5.87825364] : 56
O1 : [-0.47445364  8.1057      2.7019    ] : 78
O1 : [0.         7.63124636 5.4038    ] : 79
O1 : [ 0.         10.8076      2.22744636] : 72
O1 : [2.7019 8.1057 2.7019] : 32
!!!atention to nb coordination!!!
         [2.6423910107940602, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.642391010794059, 2.6423910107940594, 2.6423910107940602, 2.3399140384851744]
         [2.6423910107940602, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.6423910107940594, 2.6423910107940594, 2.6423910107940602, 2.3399140384851744]


**isite= 18
Zr1 : [4.05285 4.05285 6.75475]

ce_symbol  = C:8
ce_fraction=  0.7426354425093957
species:coords:index
O1 : [2.7019     5.87825364 8.1057    ] : 52
O1 : [2.7019     2.7019     4.92934636] : 43
O1 : [2.22744636 5.4038     5.4038    ] : 53
O1 : [5.4038 5.4038 5.4038] : 33
O1 : [5.4038     2.22744636 5.4038    ] : 37
O1 : [5.4038     5.4038     8.58015364] : 59
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [5.87825364 2.7019     8.1057    ] : 34

ce_symbol  = HB:8
ce_fraction=  0.186180002931327
species:coords:index
O1 : [2.7019     5.87825364 8.1057    ] : 52
O1 : [2.7019     2.7019     4.92934636] : 43
O1 : [2.22744636 5.4038     5.4038    ] : 53
O1 : [5.4038 5.4038 5.4038] : 33
O1 : [5.4038     2.22744636 5.4038    ] : 37
O1 : [5.4038     5.4038     8.58015364] : 59
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [5.87825364 2.7019     8.1057    ] : 34

ce_symbol  = L:2
ce_fraction=  0.05317012290834061
species:coords:index
O1 : [5.4038 5.4038 5.4038] : 33
O1 : [2.7019 2.7019 8.1057] : 46

ce_symbol  = BO_1:8
ce_fraction=  0.018014431650936847
species:coords:index
O1 : [2.7019     5.87825364 8.1057    ] : 52
O1 : [2.7019     2.7019     4.92934636] : 43
O1 : [2.22744636 5.4038     5.4038    ] : 53
O1 : [5.4038 5.4038 5.4038] : 33
O1 : [5.4038     2.22744636 5.4038    ] : 37
O1 : [5.4038     5.4038     8.58015364] : 59
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [5.87825364 2.7019     8.1057    ] : 34


**isite= 19
Zr1 : [4.05285 1.35095 9.45665]

ce_symbol  = C:8
ce_fraction=  0.7426354425093957
species:coords:index
O1 : [ 5.4038  0.     10.8076] : 47
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [ 5.4038      3.17635364 10.8076    ] : 49
O1 : [ 2.22744636  0.         10.8076    ] : 39
O1 : [5.4038     0.         7.63124636] : 44
O1 : [ 2.7019      2.7019     11.28205364] : 42
O1 : [5.87825364 2.7019     8.1057    ] : 34
O1 : [ 2.7019     -0.47445364  8.1057    ] : 54
!!!atention to nb coordination!!!
         [2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.6423910107940602, 2.6423910107940594, 2.64239101079406, 2.6423910107940594, 2.642391010794059]
         [2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.6423910107940602, 2.6423910107940594, 2.64239101079406, 2.6423910107940594, 2.6423910107940594]

ce_symbol  = HB:8
ce_fraction=  0.18618000293132692
species:coords:index
O1 : [ 5.4038  0.     10.8076] : 47
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [ 5.4038      3.17635364 10.8076    ] : 49
O1 : [ 2.22744636  0.         10.8076    ] : 39
O1 : [5.4038     0.         7.63124636] : 44
O1 : [ 2.7019      2.7019     11.28205364] : 42
O1 : [5.87825364 2.7019     8.1057    ] : 34
O1 : [ 2.7019     -0.47445364  8.1057    ] : 54
!!!atention to nb coordination!!!
         [2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.6423910107940602, 2.6423910107940594, 2.64239101079406, 2.6423910107940594, 2.642391010794059]
         [2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.6423910107940602, 2.6423910107940594, 2.64239101079406, 2.6423910107940594, 2.6423910107940594]

ce_symbol  = L:2
ce_fraction=  0.05317012290834047
species:coords:index
O1 : [ 5.4038  0.     10.8076] : 47
O1 : [2.7019 2.7019 8.1057] : 46

ce_symbol  = BO_1:8
ce_fraction=  0.01801443165093692
species:coords:index
O1 : [ 5.4038  0.     10.8076] : 47
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [ 5.4038      3.17635364 10.8076    ] : 49
O1 : [ 2.22744636  0.         10.8076    ] : 39
O1 : [5.4038     0.         7.63124636] : 44
O1 : [ 2.7019      2.7019     11.28205364] : 42
O1 : [5.87825364 2.7019     8.1057    ] : 34
O1 : [ 2.7019     -0.47445364  8.1057    ] : 54
!!!atention to nb coordination!!!
         [2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.6423910107940602, 2.6423910107940594, 2.64239101079406, 2.6423910107940594, 2.642391010794059]
         [2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.6423910107940602, 2.6423910107940594, 2.64239101079406, 2.6423910107940594, 2.6423910107940594]


**isite= 20
Zr1 : [1.35095 6.75475 1.35095]

ce_symbol  = C:8
ce_fraction=  0.7426354425093951
species:coords:index
O1 : [2.7019     4.92934636 2.7019    ] : 40
O1 : [2.7019 8.1057 2.7019] : 32
O1 : [0.         5.4038     3.17635364] : 87
O1 : [0.     5.4038 0.    ] : 61
O1 : [-0.47445364  8.1057      2.7019    ] : 78
O1 : [3.17635364 5.4038     0.        ] : 55
O1 : [0.         8.58015364 0.        ] : 63
O1 : [ 2.7019      8.1057     -0.47445364] : 57

ce_symbol  = HB:8
ce_fraction=  0.18618000293132703
species:coords:index
O1 : [2.7019     4.92934636 2.7019    ] : 40
O1 : [2.7019 8.1057 2.7019] : 32
O1 : [0.         5.4038     3.17635364] : 87
O1 : [0.     5.4038 0.    ] : 61
O1 : [-0.47445364  8.1057      2.7019    ] : 78
O1 : [3.17635364 5.4038     0.        ] : 55
O1 : [0.         8.58015364 0.        ] : 63
O1 : [ 2.7019      8.1057     -0.47445364] : 57

ce_symbol  = L:2
ce_fraction=  0.05317012290834102
species:coords:index
O1 : [2.7019 8.1057 2.7019] : 32
O1 : [0.     5.4038 0.    ] : 61

ce_symbol  = BO_1:8
ce_fraction=  0.018014431650936986
species:coords:index
O1 : [2.7019     4.92934636 2.7019    ] : 40
O1 : [2.7019 8.1057 2.7019] : 32
O1 : [0.         5.4038     3.17635364] : 87
O1 : [0.     5.4038 0.    ] : 61
O1 : [-0.47445364  8.1057      2.7019    ] : 78
O1 : [3.17635364 5.4038     0.        ] : 55
O1 : [0.         8.58015364 0.        ] : 63
O1 : [ 2.7019      8.1057     -0.47445364] : 57


**isite= 21
Zr1 : [1.35095 4.05285 9.45665]

ce_symbol  = C:8
ce_fraction=  0.7426354425093956
species:coords:index
O1 : [2.7019     5.87825364 8.1057    ] : 52
O1 : [ 3.17635364  5.4038     10.8076    ] : 55
O1 : [ 0.      5.4038 10.8076] : 61
O1 : [ 2.7019      2.7019     11.28205364] : 42
O1 : [0.         5.4038     7.63124636] : 86
O1 : [-0.47445364  2.7019      8.1057    ] : 64
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [ 0.          2.22744636 10.8076    ] : 65
!!!atention to nb coordination!!!
         [2.6423910107940594, 2.6423910107940602, 2.3399140384851753, 2.64239101079406, 2.6423910107940594, 2.642391010794059, 2.3399140384851744, 2.6423910107940602]
         [2.6423910107940594, 2.6423910107940602, 2.3399140384851753, 2.64239101079406, 2.6423910107940594, 2.6423910107940594, 2.3399140384851744, 2.6423910107940602]

ce_symbol  = HB:8
ce_fraction=  0.18618000293132686
species:coords:index
O1 : [2.7019     5.87825364 8.1057    ] : 52
O1 : [ 3.17635364  5.4038     10.8076    ] : 55
O1 : [ 0.      5.4038 10.8076] : 61
O1 : [ 2.7019      2.7019     11.28205364] : 42
O1 : [0.         5.4038     7.63124636] : 86
O1 : [-0.47445364  2.7019      8.1057    ] : 64
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [ 0.          2.22744636 10.8076    ] : 65
!!!atention to nb coordination!!!
         [2.6423910107940594, 2.6423910107940602, 2.3399140384851753, 2.64239101079406, 2.6423910107940594, 2.642391010794059, 2.3399140384851744, 2.6423910107940602]
         [2.6423910107940594, 2.6423910107940602, 2.3399140384851753, 2.64239101079406, 2.6423910107940594, 2.6423910107940594, 2.3399140384851744, 2.6423910107940602]

ce_symbol  = L:2
ce_fraction=  0.053170122908340695
species:coords:index
O1 : [ 0.      5.4038 10.8076] : 61
O1 : [2.7019 2.7019 8.1057] : 46

ce_symbol  = BO_1:8
ce_fraction=  0.018014431650936934
species:coords:index
O1 : [2.7019     5.87825364 8.1057    ] : 52
O1 : [ 3.17635364  5.4038     10.8076    ] : 55
O1 : [ 0.      5.4038 10.8076] : 61
O1 : [ 2.7019      2.7019     11.28205364] : 42
O1 : [0.         5.4038     7.63124636] : 86
O1 : [-0.47445364  2.7019      8.1057    ] : 64
O1 : [2.7019 2.7019 8.1057] : 46
O1 : [ 0.          2.22744636 10.8076    ] : 65
!!!atention to nb coordination!!!
         [2.6423910107940594, 2.6423910107940602, 2.3399140384851753, 2.64239101079406, 2.6423910107940594, 2.642391010794059, 2.3399140384851744, 2.6423910107940602]
         [2.6423910107940594, 2.6423910107940602, 2.3399140384851753, 2.64239101079406, 2.6423910107940594, 2.6423910107940594, 2.3399140384851744, 2.6423910107940602]


**isite= 22
Zr1 : [4.05285 9.45665 1.35095]

ce_symbol  = C:8
ce_fraction=  0.7426354425093952
species:coords:index
O1 : [ 5.4038     10.8076      3.17635364] : 45
O1 : [5.87825364 8.1057     2.7019    ] : 48
O1 : [ 5.4038 10.8076  0.    ] : 47
O1 : [2.7019 8.1057 2.7019] : 32
O1 : [ 2.22744636 10.8076      0.        ] : 39
O1 : [ 2.7019      8.1057     -0.47445364] : 57
O1 : [5.4038     7.63124636 0.        ] : 51
O1 : [ 2.7019     11.28205364  2.7019    ] : 38
!!!atention to nb coordination!!!
         [2.6423910107940602, 2.6423910107940594, 2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.642391010794059, 2.6423910107940594, 2.6423910107940602]
         [2.6423910107940602, 2.6423910107940594, 2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.6423910107940594, 2.6423910107940594, 2.6423910107940602]

ce_symbol  = HB:8
ce_fraction=  0.18618000293132705
species:coords:index
O1 : [ 5.4038     10.8076      3.17635364] : 45
O1 : [5.87825364 8.1057     2.7019    ] : 48
O1 : [ 5.4038 10.8076  0.    ] : 47
O1 : [2.7019 8.1057 2.7019] : 32
O1 : [ 2.22744636 10.8076      0.        ] : 39
O1 : [ 2.7019      8.1057     -0.47445364] : 57
O1 : [5.4038     7.63124636 0.        ] : 51
O1 : [ 2.7019     11.28205364  2.7019    ] : 38
!!!atention to nb coordination!!!
         [2.6423910107940602, 2.6423910107940594, 2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.642391010794059, 2.6423910107940594, 2.6423910107940602]
         [2.6423910107940602, 2.6423910107940594, 2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.6423910107940594, 2.6423910107940594, 2.6423910107940602]

ce_symbol  = L:2
ce_fraction=  0.0531701229083409
species:coords:index
O1 : [ 5.4038 10.8076  0.    ] : 47
O1 : [2.7019 8.1057 2.7019] : 32

ce_symbol  = BO_1:8
ce_fraction=  0.018014431650936902
species:coords:index
O1 : [ 5.4038     10.8076      3.17635364] : 45
O1 : [5.87825364 8.1057     2.7019    ] : 48
O1 : [ 5.4038 10.8076  0.    ] : 47
O1 : [2.7019 8.1057 2.7019] : 32
O1 : [ 2.22744636 10.8076      0.        ] : 39
O1 : [ 2.7019      8.1057     -0.47445364] : 57
O1 : [5.4038     7.63124636 0.        ] : 51
O1 : [ 2.7019     11.28205364  2.7019    ] : 38
!!!atention to nb coordination!!!
         [2.6423910107940602, 2.6423910107940594, 2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.642391010794059, 2.6423910107940594, 2.6423910107940602]
         [2.6423910107940602, 2.6423910107940594, 2.3399140384851753, 2.3399140384851744, 2.6423910107940602, 2.6423910107940594, 2.6423910107940594, 2.6423910107940602]


**isite= 23
Zr1 : [4.05285 6.75475 4.05285]

ce_symbol  = C:8
ce_fraction=  0.7426354425093947
species:coords:index
O1 : [2.7019 8.1057 2.7019] : 32
O1 : [2.22744636 5.4038     5.4038    ] : 53
O1 : [5.4038 5.4038 5.4038] : 33
O1 : [2.7019     8.1057     5.87825364] : 56
O1 : [5.4038     8.58015364 5.4038    ] : 35
O1 : [2.7019     4.92934636 2.7019    ] : 40
O1 : [5.87825364 8.1057     2.7019    ] : 48
O1 : [5.4038     5.4038     2.22744636] : 58

ce_symbol  = HB:8
ce_fraction=  0.18618000293132714
species:coords:index
O1 : [2.7019 8.1057 2.7019] : 32
O1 : [2.22744636 5.4038     5.4038    ] : 53
O1 : [5.4038 5.4038 5.4038] : 33
O1 : [2.7019     8.1057     5.87825364] : 56
O1 : [5.4038     8.58015364 5.4038    ] : 35
O1 : [2.7019     4.92934636 2.7019    ] : 40
O1 : [5.87825364 8.1057     2.7019    ] : 48
O1 : [5.4038     5.4038     2.22744636] : 58

ce_symbol  = L:2
ce_fraction=  0.05317012290834113
species:coords:index
