cif name= ./2102936.cif
./2102936.cif
Full Formula (Rb16 Fe16 O32)
ce_fraction=  0.9986798977570944
species:coords:index
O1 : [ 1.86462752 -1.15596544  1.73394472] : 41
O1 : [ 5.44823552 -0.19688256  3.61264265] : 56
O1 : [ 5.31698048 -2.46851584  0.29960168] : 52
O1 : [ 3.89217248  1.15596544 -1.73394472] : 45
O1 : [ 6.19661952  2.46851584 -0.29960168] : 48
!!!atention to nb coordination!!!
         [2.8653781993349305, 2.8446608947944703, 2.855458835373769, 2.9725719109701343, 3.279467550806948]
         [2.8653781993349305, 2.8446608947944703, 2.8554588353737693, 2.972571910970133, 3.2794675508069484]

ce_symbol  = T:5
ce_fraction=  0.0013201022429055658
species:coords:index
O1 : [ 1.86462752 -1.15596544  1.73394472] : 41
O1 : [ 5.44823552 -0.19688256  3.61264265] : 56
O1 : [ 5.31698048 -2.46851584  0.29960168] : 52
O1 : [ 3.89217248  1.15596544 -1.73394472] : 45
O1 : [ 6.19661952  2.46851584 -0.29960168] : 48
!!!atention to nb coordination!!!
         [2.8653781993349305, 2.8446608947944703, 2.855458835373769, 2.9725719109701343, 3.279467550806948]
         [2.8653781993349305, 2.8446608947944703, 2.8554588353737693, 2.972571910970133, 3.2794675508069484]


**isite= 1
Rb1 : [ 4.30453206 11.3997305   9.15657634]

ce_symbol  = S:5
ce_fraction=  0.9986798977570945
species:coords:index
O1 : [2.43858048 9.04508416 7.84174832] : 49
O1 : [ 4.74302752 10.35763456  6.40740528] : 44
O1 : [ 3.18696448 11.71048256 11.75399265] : 57
O1 : [ 3.31821952 13.98211584  8.44095168] : 53
O1 : [ 6.77057248 12.66956544  9.87529472] : 40
!!!atention to nb coordination!!!
         [3.279467550806949, 2.9725719109701334, 2.84466089479447, 2.8554588353737693, 2.8653781993349297]
         [3.2794675508069484, 2.9725719109701334, 2.8446608947944703, 2.8554588353737675, 2.8653781993349305]

ce_symbol  = T:5
ce_fraction=  0.001320102242905461
species:coords:index
O1 : [2.43858048 9.04508416 7.84174832] : 49
O1 : [ 4.74302752 10.35763456  6.40740528] : 44
O1 : [ 3.18696448 11.71048256 11.75399265] : 57
O1 : [ 3.31821952 13.98211584  8.44095168] : 53
O1 : [ 6.77057248 12.66956544  9.87529472] : 40
!!!atention to nb coordination!!!
         [3.279467550806949, 2.9725719109701334, 2.84466089479447, 2.8554588353737693, 2.8653781993349297]
         [3.2794675508069484, 2.9725719109701334, 2.8446608947944703, 2.8554588353737675, 2.8653781993349305]


**isite= 2
Rb1 : [1.42613206 5.8706695  7.12612365]

ce_symbol  = S:5
ce_fraction=  0.9986798977570944
species:coords:index
O1 : [0.43981952 3.28828416 7.84174832] : 54
O1 : [0.30856448 5.55991744 4.52870735] : 58
O1 : [3.89217248 4.60083456 6.40740528] : 43
O1 : [-0.43981952  8.22531584  8.44095168] : 50
O1 : [1.86462752 6.91276544 9.87529472] : 47
!!!atention to nb coordination!!!
         [2.8554588353737684, 2.8446608947944694, 2.86537819933493, 3.2794675508069484, 2.9725719109701316]
         [2.8554588353737684, 2.8446608947944694, 2.8653781993349305, 3.279467550806949, 2.9725719109701334]

ce_symbol  = T:5
ce_fraction=  0.0013201022429055753
species:coords:index
O1 : [0.43981952 3.28828416 7.84174832] : 54
O1 : [0.30856448 5.55991744 4.52870735] : 58
O1 : [3.89217248 4.60083456 6.40740528] : 43
O1 : [-0.43981952  8.22531584  8.44095168] : 50
O1 : [1.86462752 6.91276544 9.87529472] : 47
!!!atention to nb coordination!!!
         [2.8554588353737684, 2.8446608947944694, 2.86537819933493, 3.2794675508069484, 2.9725719109701316]
         [2.8554588353737684, 2.8446608947944694, 2.8653781993349305, 3.279467550806949, 2.9725719109701334]


**isite= 3
Rb1 : [ 1.45226794  5.6429305  15.26747365]

ce_symbol  = S:5
ce_fraction=  0.9903651161310951
species:coords:index
O1 : [-1.01377248  6.91276544 14.54875528] : 42
O1 : [ 2.56983552  5.95368256 12.67005735] : 59
O1 : [ 3.31821952  3.28828416 16.58230168] : 51
O1 : [ 1.01377248  4.60083456 18.01664472] : 46
O1 : [ 2.43858048  8.22531584 15.98309832] : 55
!!!atention to nb coordination!!!
         [2.865378199334931, 2.8446608947944716, 3.2794675508069484, 2.97257191097013, 2.8554588353737693]
         [2.8653781993349305, 2.8446608947944703, 3.279467550806949, 2.972571910970133, 2.8554588353737693]

ce_symbol  = TO_2:9
ce_fraction=  0.00832577249694644
species:coords:index
O1 : [ 0.43981952  2.46851584 15.98309832] : 48
Rb1 : [ 1.72070752  2.77247488 13.25460628] : 14
O1 : [-1.1312112   3.9837056  13.87123213] : 35
O1 : [-1.01377248  6.91276544 14.54875528] : 42
O1 : [ 2.56983552  5.95368256 12.67005735] : 59
O1 : [ 3.31821952  3.28828416 16.58230168] : 51
O1 : [ 1.01377248  4.60083456 18.01664472] : 46
O1 : [ 2.43858048  8.22531584 15.98309832] : 55
Rb1 : [ 4.30453206  5.8706695  17.29792634] : 7
!!!atention to nb coordination!!!
         [3.4079434949020024, 3.516135708273742, 3.3729634000071576, 2.865378199334931, 2.8446608947944716, 3.2794675508069484, 2.97257191097013, 2.8554588353737693, 3.5085629305983175]
         [3.4079434949020024, 3.516135708273741, 3.372963400007157, 2.8653781993349305, 2.8446608947944703, 3.279467550806949, 2.972571910970133, 2.8554588353737693, 3.5085629305983175]

ce_symbol  = T:5
ce_fraction=  0.0013091113719584874
species:coords:index
O1 : [-1.01377248  6.91276544 14.54875528] : 42
O1 : [ 2.56983552  5.95368256 12.67005735] : 59
O1 : [ 3.31821952  3.28828416 16.58230168] : 51
O1 : [ 1.01377248  4.60083456 18.01664472] : 46
O1 : [ 2.43858048  8.22531584 15.98309832] : 55
!!!atention to nb coordination!!!
         [2.865378199334931, 2.8446608947944716, 3.2794675508069484, 2.97257191097013, 2.8554588353737693]
         [2.8653781993349305, 2.8446608947944703, 3.279467550806949, 2.972571910970133, 2.8554588353737693]


**isite= 4
Rb1 : [ 1.42613206 11.3997305  15.26747365]

ce_symbol  = S:5
ce_fraction=  0.9986798977570944
species:coords:index
O1 : [ 0.43981952 13.98211584 15.98309832] : 48
O1 : [ 3.89217248 12.66956544 14.54875528] : 45
O1 : [ 0.30856448 11.71048256 12.67005735] : 60
O1 : [ 1.86462752 10.35763456 18.01664472] : 41
O1 : [-0.43981952  9.04508416 16.58230168] : 52
!!!atention to nb coordination!!!
         [2.8554588353737693, 2.8653781993349305, 2.8446608947944716, 2.9725719109701303, 3.279467550806948]
         [2.8554588353737675, 2.865378199334931, 2.8446608947944703, 2.9725719109701334, 3.2794675508069484]

ce_symbol  = T:5
ce_fraction=  0.001320102242905613
species:coords:index
O1 : [ 0.43981952 13.98211584 15.98309832] : 48
O1 : [ 3.89217248 12.66956544 14.54875528] : 45
O1 : [ 0.30856448 11.71048256 12.67005735] : 60
O1 : [ 1.86462752 10.35763456 18.01664472] : 41
O1 : [-0.43981952  9.04508416 16.58230168] : 52
!!!atention to nb coordination!!!
         [2.8554588353737693, 2.8653781993349305, 2.8446608947944716, 2.9725719109701303, 3.279467550806948]
         [2.8554588353737675, 2.865378199334931, 2.8446608947944703, 2.9725719109701334, 3.2794675508069484]


**isite= 5
Rb1 : [1.45226794 0.1138695  7.12612365]

ce_symbol  = S:5
ce_fraction=  0.9986798977570944
species:coords:index
O1 : [-1.01377248 -1.15596544  6.40740528] : 44
O1 : [ 2.43858048 -2.46851584  7.84174832] : 49
O1 : [ 2.56983552 -0.19688256  4.52870735] : 61
O1 : [1.01377248 1.15596544 9.87529472] : 40
O1 : [3.31821952 2.46851584 8.44095168] : 53
!!!atention to nb coordination!!!
         [2.865378199334931, 2.855458835373769, 2.8446608947944694, 2.9725719109701316, 3.2794675508069475]
         [2.8653781993349305, 2.8554588353737693, 2.8446608947944694, 2.972571910970133, 3.2794675508069484]

ce_symbol  = T:5
ce_fraction=  0.0013201022429055658
species:coords:index
O1 : [-1.01377248 -1.15596544  6.40740528] : 44
O1 : [ 2.43858048 -2.46851584  7.84174832] : 49
O1 : [ 2.56983552 -0.19688256  4.52870735] : 61
O1 : [1.01377248 1.15596544 9.87529472] : 40
O1 : [3.31821952 2.46851584 8.44095168] : 53
!!!atention to nb coordination!!!
         [2.865378199334931, 2.855458835373769, 2.8446608947944694, 2.9725719109701316, 3.2794675508069475]
         [2.8653781993349305, 2.8554588353737693, 2.8446608947944694, 2.972571910970133, 3.2794675508069484]


**isite= 6
Rb1 : [4.33066794 5.6429305  9.15657634]

ce_symbol  = S:5
ce_fraction=  0.9986798977570944
species:coords:index
O1 : [ 5.44823552  5.95368256 11.75399265] : 62
O1 : [1.86462752 6.91276544 9.87529472] : 47
O1 : [5.31698048 8.22531584 8.44095168] : 50
O1 : [6.19661952 3.28828416 7.84174832] : 54
O1 : [3.89217248 4.60083456 6.40740528] : 43
!!!atention to nb coordination!!!
         [2.84466089479447, 2.8653781993349305, 2.8554588353737693, 3.2794675508069493, 2.972571910970133]
         [2.84466089479447, 2.8653781993349305, 2.8554588353737693, 3.279467550806949, 2.972571910970133]

ce_symbol  = T:5
ce_fraction=  0.001320102242905628
species:coords:index
O1 : [ 5.44823552  5.95368256 11.75399265] : 62
O1 : [1.86462752 6.91276544 9.87529472] : 47
O1 : [5.31698048 8.22531584 8.44095168] : 50
O1 : [6.19661952 3.28828416 7.84174832] : 54
O1 : [3.89217248 4.60083456 6.40740528] : 43
!!!atention to nb coordination!!!
         [2.84466089479447, 2.8653781993349305, 2.8554588353737693, 3.2794675508069493, 2.972571910970133]
         [2.84466089479447, 2.8653781993349305, 2.8554588353737693, 3.279467550806949, 2.972571910970133]


**isite= 7
Rb1 : [4.30453206 5.8706695  1.01522634]

ce_symbol  = S:5
ce_fraction=  0.9986798977570945
species:coords:index
O1 : [ 2.43858048  8.22531584 -0.29960168] : 55
O1 : [ 4.74302752  6.91276544 -1.73394472] : 42
O1 : [6.77057248 4.60083456 1.73394472] : 46
O1 : [3.18696448 5.55991744 3.61264265] : 63
O1 : [3.31821952 3.28828416 0.29960168] : 51
!!!atention to nb coordination!!!
         [3.2794675508069484, 2.9725719109701347, 2.8653781993349297, 2.8446608947944707, 2.8554588353737684]
         [3.279467550806949, 2.9725719109701334, 2.865378199334929, 2.8446608947944703, 2.855458835373768]

ce_symbol  = T:5
ce_fraction=  0.0013201022429055226
species:coords:index
O1 : [ 2.43858048  8.22531584 -0.29960168] : 55
O1 : [ 4.74302752  6.91276544 -1.73394472] : 42
O1 : [6.77057248 4.60083456 1.73394472] : 46
O1 : [3.18696448 5.55991744 3.61264265] : 63
O1 : [3.31821952 3.28828416 0.29960168] : 51
!!!atention to nb coordination!!!
         [3.2794675508069484, 2.9725719109701347, 2.8653781993349297, 2.8446608947944707, 2.8554588353737684]
         [3.279467550806949, 2.9725719109701334, 2.865378199334929, 2.8446608947944703, 2.855458835373768]


**isite= 8
Rb1 : [1.72070752 2.98432512 5.11325628]

ce_symbol  = PCPA:11
ce_fraction=  0.9137224965999757
species:coords:index
O1 : [-1.1312112   1.7730944   5.72988213] : 37
O1 : [3.89217248 4.60083456 6.40740528] : 43
O1 : [0.43981952 3.28828416 7.84174832] : 54
O1 : [0.30856448 5.55991744 4.52870735] : 58
O1 : [1.7471888  1.7730944  2.41146787] : 32
O1 : [3.18696448 5.55991744 3.61264265] : 63
Rb1 : [1.45226794 0.1138695  7.12612365] : 5
O1 : [4.6255888  1.7730944  5.72988213] : 37
O1 : [ 2.56983552 -0.19688256  4.52870735] : 61
Rb1 : [4.59910752 2.98432512 3.02809372] : 13
Rb1 : [-1.15769248  2.98432512  3.02809372] : 13
!!!atention to nb coordination!!!
         [3.159232134587949, 3.0005306973875006, 3.0294775083218743, 2.994915894616669, 2.960986614808662, 3.3219612496438975, 3.5161357082737403, 3.2071237184775288, 3.3440690954642562, 3.5543057648388103, 3.554305764838811]
         [3.159232134587949, 3.000530697387501, 3.0294775083218752, 2.994915894616669, 2.9609866148086614, 3.321961249643897, 3.516135708273741, 3.2071237184775288, 3.344069095464256, 3.55430576483881, 3.5543057648388103]

ce_symbol  = DI:11
ce_fraction=  0.08627750340002424
species:coords:index
O1 : [-1.1312112   1.7730944   5.72988213] : 37
O1 : [3.89217248 4.60083456 6.40740528] : 43
O1 : [0.43981952 3.28828416 7.84174832] : 54
O1 : [0.30856448 5.55991744 4.52870735] : 58
O1 : [1.7471888  1.7730944  2.41146787] : 32
O1 : [3.18696448 5.55991744 3.61264265] : 63
Rb1 : [1.45226794 0.1138695  7.12612365] : 5
O1 : [4.6255888  1.7730944  5.72988213] : 37
O1 : [ 2.56983552 -0.19688256  4.52870735] : 61
Rb1 : [4.59910752 2.98432512 3.02809372] : 13
Rb1 : [-1.15769248  2.98432512  3.02809372] : 13
!!!atention to nb coordination!!!
         [3.159232134587949, 3.0005306973875006, 3.0294775083218743, 2.994915894616669, 2.960986614808662, 3.3219612496438975, 3.5161357082737403, 3.2071237184775288, 3.3440690954642562, 3.5543057648388103, 3.554305764838811]
         [3.159232134587949, 3.000530697387501, 3.0294775083218752, 2.994915894616669, 2.9609866148086614, 3.321961249643897, 3.516135708273741, 3.2071237184775288, 3.344069095464256, 3.55430576483881, 3.5543057648388103]


**isite= 9
Rb1 : [ 1.15769248  8.52927488 13.25460628]

ce_symbol  = PCPA:11
ce_fraction=  0.9137224965999766
species:coords:index
O1 : [-1.01377248  6.91276544 14.54875528] : 42
O1 : [ 2.43858048  8.22531584 15.98309832] : 55
O1 : [-1.7471888   9.7405056  13.87123213] : 36
Rb1 : [-1.72070752  8.52927488 11.16944372] : 12
Rb1 : [ 1.42613206 11.3997305  15.26747365] : 4
O1 : [ 4.0096112   9.7405056  13.87123213] : 36
O1 : [-0.30856448  5.95368256 11.75399265] : 62
O1 : [ 1.1312112   9.7405056  10.55281787] : 33
O1 : [ 0.30856448 11.71048256 12.67005735] : 60
O1 : [ 2.56983552  5.95368256 12.67005735] : 59
Rb1 : [ 4.03609248  8.52927488 11.16944372] : 12
!!!atention to nb coordination!!!
         [3.0005306973875, 3.029477508321876, 3.207123718477528, 3.55430576483881, 3.51613570827374, 3.159232134587948, 3.3219612496438997, 2.9609866148086628, 3.3440690954642562, 2.9949158946166716, 3.5543057648388103]
         [3.0005306973875014, 3.029477508321876, 3.2071237184775283, 3.5543057648388103, 3.516135708273741, 3.1592321345879486, 3.3219612496438993, 2.9609866148086614, 3.3440690954642562, 2.994915894616671, 3.5543057648388108]

ce_symbol  = DI:11
ce_fraction=  0.08627750340002349
species:coords:index
O1 : [-1.01377248  6.91276544 14.54875528] : 42
O1 : [ 2.43858048  8.22531584 15.98309832] : 55
O1 : [-1.7471888   9.7405056  13.87123213] : 36
Rb1 : [-1.72070752  8.52927488 11.16944372] : 12
Rb1 : [ 1.42613206 11.3997305  15.26747365] : 4
O1 : [ 4.0096112   9.7405056  13.87123213] : 36
O1 : [-0.30856448  5.95368256 11.75399265] : 62
O1 : [ 1.1312112   9.7405056  10.55281787] : 33
O1 : [ 0.30856448 11.71048256 12.67005735] : 60
O1 : [ 2.56983552  5.95368256 12.67005735] : 59
Rb1 : [ 4.03609248  8.52927488 11.16944372] : 12
!!!atention to nb coordination!!!
         [3.0005306973875, 3.029477508321876, 3.207123718477528, 3.55430576483881, 3.51613570827374, 3.159232134587948, 3.3219612496438997, 2.9609866148086628, 3.3440690954642562, 2.9949158946166716, 3.5543057648388103]
         [3.0005306973875014, 3.029477508321876, 3.2071237184775283, 3.5543057648388103, 3.516135708273741, 3.1592321345879486, 3.3219612496438993, 2.9609866148086614, 3.3440690954642562, 2.994915894616671, 3.5543057648388108]


**isite= 10
Rb1 : [4.03609248 8.74112512 3.02809372]

ce_symbol  = PCPA:11
ce_fraction=  0.9137224965999761
species:coords:index
Rb1 : [6.91449248 8.74112512 5.11325628] : 15
O1 : [ 2.56983552 11.31671744  4.52870735] : 61
O1 : [ 5.44823552 11.31671744  3.61264265] : 56
O1 : [ 1.86462752 10.35763456  1.73394472] : 41
O1 : [4.0096112  7.5298944  5.72988213] : 34
Rb1 : [1.15769248 8.74112512 5.11325628] : 15
Rb1 : [4.30453206 5.8706695  1.01522634] : 7
O1 : [5.31698048 9.04508416 0.29960168] : 52
O1 : [6.8880112  7.5298944  2.41146787] : 39
O1 : [1.1312112  7.5298944  2.41146787] : 39
O1 : [3.18696448 5.55991744 3.61264265] : 63
!!!atention to nb coordination!!!
         [3.5543057648388094, 3.321961249643899, 2.9949158946166703, 3.000530697387502, 2.960986614808661, 3.5543057648388103, 3.516135708273742, 3.029477508321875, 3.159232134587948, 3.2071237184775283, 3.344069095464257]
         [3.5543057648388103, 3.321961249643899, 2.99491589461667, 3.000530697387502, 2.960986614808661, 3.5543057648388108, 3.5161357082737417, 3.029477508321875, 3.1592321345879473, 3.2071237184775283, 3.344069095464257]

ce_symbol  = DI:11
ce_fraction=  0.08627750340002398
species:coords:index
Rb1 : [6.91449248 8.74112512 5.11325628] : 15
O1 : [ 2.56983552 11.31671744  4.52870735] : 61
O1 : [ 5.44823552 11.31671744  3.61264265] : 56
O1 : [ 1.86462752 10.35763456  1.73394472] : 41
O1 : [4.0096112  7.5298944  5.72988213] : 34
Rb1 : [1.15769248 8.74112512 5.11325628] : 15
Rb1 : [4.30453206 5.8706695  1.01522634] : 7
O1 : [5.31698048 9.04508416 0.29960168] : 52
O1 : [6.8880112  7.5298944  2.41146787] : 39
O1 : [1.1312112  7.5298944  2.41146787] : 39
O1 : [3.18696448 5.55991744 3.61264265] : 63
!!!atention to nb coordination!!!
         [3.5543057648388094, 3.321961249643899, 2.9949158946166703, 3.000530697387502, 2.960986614808661, 3.5543057648388103, 3.516135708273742, 3.029477508321875, 3.159232134587948, 3.2071237184775283, 3.344069095464257]
         [3.5543057648388103, 3.321961249643899, 2.99491589461667, 3.000530697387502, 2.960986614808661, 3.5543057648388108, 3.5161357082737417, 3.029477508321875, 3.1592321345879473, 3.2071237184775283, 3.344069095464257]


**isite= 11
Rb1 : [ 4.59910752  2.77247488 11.16944372]

ce_symbol  = PCPA:11
ce_fraction=  0.9137224965999765
species:coords:index
O1 : [ 1.7471888   3.9837056  10.55281787] : 38
Rb1 : [4.33066794 5.6429305  9.15657634] : 6
Rb1 : [ 7.47750752  2.77247488 13.25460628] : 14
O1 : [ 7.5039888   3.9837056  10.55281787] : 38
O1 : [ 4.6255888   3.9837056  13.87123213] : 35
O1 : [ 5.44823552  5.95368256 11.75399265] : 62
Rb1 : [ 1.72070752  2.77247488 13.25460628] : 14
O1 : [3.31821952 2.46851584 8.44095168] : 53
O1 : [6.77057248 1.15596544 9.87529472] : 40
O1 : [ 6.06536448  0.19688256 12.67005735] : 60
O1 : [ 3.18696448  0.19688256 11.75399265] : 57
!!!atention to nb coordination!!!
         [3.1592321345879486, 3.516135708273741, 3.554305764838809, 3.2071237184775288, 2.9609866148086597, 3.344069095464256, 3.5543057648388086, 3.029477508321877, 3.000530697387502, 3.3219612496438984, 2.9949158946166703]
         [3.1592321345879486, 3.516135708273741, 3.5543057648388103, 3.207123718477529, 2.9609866148086614, 3.344069095464256, 3.55430576483881, 3.0294775083218757, 3.0005306973875006, 3.3219612496438984, 2.9949158946166703]

ce_symbol  = DI:11
ce_fraction=  0.08627750340002349
species:coords:index
O1 : [ 1.7471888   3.9837056  10.55281787] : 38
Rb1 : [4.33066794 5.6429305  9.15657634] : 6
Rb1 : [ 7.47750752  2.77247488 13.25460628] : 14
O1 : [ 7.5039888   3.9837056  10.55281787] : 38
O1 : [ 4.6255888   3.9837056  13.87123213] : 35
O1 : [ 5.44823552  5.95368256 11.75399265] : 62
Rb1 : [ 1.72070752  2.77247488 13.25460628] : 14
O1 : [3.31821952 2.46851584 8.44095168] : 53
O1 : [6.77057248 1.15596544 9.87529472] : 40
O1 : [ 6.06536448  0.19688256 12.67005735] : 60
O1 : [ 3.18696448  0.19688256 11.75399265] : 57
!!!atention to nb coordination!!!
         [3.1592321345879486, 3.516135708273741, 3.554305764838809, 3.2071237184775288, 2.9609866148086597, 3.344069095464256, 3.5543057648388086, 3.029477508321877, 3.000530697387502, 3.3219612496438984, 2.9949158946166703]
         [3.1592321345879486, 3.516135708273741, 3.5543057648388103, 3.207123718477529, 2.9609866148086614, 3.344069095464256, 3.55430576483881, 3.0294775083218757, 3.0005306973875006, 3.3219612496438984, 2.9949158946166703]


**isite= 12
Rb1 : [ 4.03609248  8.52927488 11.16944372]

ce_symbol  = PCPA:11
ce_fraction=  0.9137224965999766
species:coords:index
Rb1 : [ 1.15769248  8.52927488 13.25460628] : 9
O1 : [ 1.1312112   9.7405056  10.55281787] : 33
O1 : [1.86462752 6.91276544 9.87529472] : 47
O1 : [5.31698048 8.22531584 8.44095168] : 50
O1 : [ 3.18696448 11.71048256 11.75399265] : 57
Rb1 : [ 4.30453206 11.3997305   9.15657634] : 1
O1 : [ 5.44823552  5.95368256 11.75399265] : 62
Rb1 : [ 6.91449248  8.52927488 13.25460628] : 9
O1 : [ 6.8880112   9.7405056  10.55281787] : 33
O1 : [ 2.56983552  5.95368256 12.67005735] : 59
O1 : [ 4.0096112   9.7405056  13.87123213] : 36
!!!atention to nb coordination!!!
         [3.5543057648388094, 3.2071237184775288, 3.000530697387502, 3.0294775083218775, 3.3440690954642562, 3.516135708273741, 2.9949158946166707, 3.5543057648388086, 3.1592321345879486, 3.3219612496438984, 2.9609866148086597]
         [3.5543057648388108, 3.2071237184775288, 3.0005306973875014, 3.0294775083218757, 3.3440690954642562, 3.516135708273741, 2.9949158946166707, 3.5543057648388103, 3.1592321345879473, 3.3219612496438993, 2.9609866148086614]

ce_symbol  = DI:11
ce_fraction=  0.08627750340002341
species:coords:index
Rb1 : [ 1.15769248  8.52927488 13.25460628] : 9
O1 : [ 1.1312112   9.7405056  10.55281787] : 33
O1 : [1.86462752 6.91276544 9.87529472] : 47
O1 : [5.31698048 8.22531584 8.44095168] : 50
O1 : [ 3.18696448 11.71048256 11.75399265] : 57
Rb1 : [ 4.30453206 11.3997305   9.15657634] : 1
O1 : [ 5.44823552  5.95368256 11.75399265] : 62
Rb1 : [ 6.91449248  8.52927488 13.25460628] : 9
O1 : [ 6.8880112   9.7405056  10.55281787] : 33
O1 : [ 2.56983552  5.95368256 12.67005735] : 59
O1 : [ 4.0096112   9.7405056  13.87123213] : 36
!!!atention to nb coordination!!!
         [3.5543057648388094, 3.2071237184775288, 3.000530697387502, 3.0294775083218775, 3.3440690954642562, 3.516135708273741, 2.9949158946166707, 3.5543057648388086, 3.1592321345879486, 3.3219612496438984, 2.9609866148086597]
         [3.5543057648388108, 3.2071237184775288, 3.0005306973875014, 3.0294775083218757, 3.3440690954642562, 3.516135708273741, 2.9949158946166707, 3.5543057648388103, 3.1592321345879473, 3.3219612496438993, 2.9609866148086614]


**isite= 13
Rb1 : [4.59910752 2.98432512 3.02809372]

ce_symbol  = PCPA:11
ce_fraction=  0.913722496599977
species:coords:index
O1 : [3.18696448 5.55991744 3.61264265] : 63
O1 : [3.31821952 3.28828416 0.29960168] : 51
O1 : [6.06536448 5.55991744 4.52870735] : 58
Rb1 : [1.72070752 2.98432512 5.11325628] : 8
Rb1 : [4.33066794 0.1138695  1.01522634] : 0
O1 : [1.7471888  1.7730944  2.41146787] : 32
O1 : [6.77057248 4.60083456 1.73394472] : 46
O1 : [4.6255888  1.7730944  5.72988213] : 37
Rb1 : [7.47750752 2.98432512 5.11325628] : 8
O1 : [7.5039888  1.7730944  2.41146787] : 32
O1 : [ 5.44823552 -0.19688256  3.61264265] : 56
!!!atention to nb coordination!!!
         [2.994915894616669, 3.029477508321875, 3.3219612496438984, 3.55430576483881, 3.5161357082737417, 3.1592321345879486, 3.000530697387502, 2.9609866148086614, 3.55430576483881, 3.2071237184775288, 3.3440690954642567]
         [2.994915894616669, 3.029477508321875, 3.3219612496438975, 3.55430576483881, 3.5161357082737412, 3.1592321345879486, 3.000530697387501, 2.9609866148086614, 3.5543057648388103, 3.2071237184775296, 3.3440690954642562]

ce_symbol  = DI:11
ce_fraction=  0.08627750340002306
species:coords:index
O1 : [3.18696448 5.55991744 3.61264265] : 63
O1 : [3.31821952 3.28828416 0.29960168] : 51
O1 : [6.06536448 5.55991744 4.52870735] : 58
Rb1 : [1.72070752 2.98432512 5.11325628] : 8
Rb1 : [4.33066794 0.1138695  1.01522634] : 0
O1 : [1.7471888  1.7730944  2.41146787] : 32
O1 : [6.77057248 4.60083456 1.73394472] : 46
O1 : [4.6255888  1.7730944  5.72988213] : 37
Rb1 : [7.47750752 2.98432512 5.11325628] : 8
O1 : [7.5039888  1.7730944  2.41146787] : 32
