cif name= ./1001840.cif
./1001840.cif
Full Formula (Ta16 Sn16 O56)
 78  O2-   0.5    0.2    0.5
 79  O2-   0.5    0.5    0.8
 80  O2-   0.5    0.8    0.5
 81  O2-   0.8    0.5    0.5
 82  O2-   0.55   0.25   0.75
 83  O2-   0.75   0.25   0.55
 84  O2-   0.75   0.05   0.75
 85  O2-   0.75   0.25   0.95
 86  O2-   0.75   0.45   0.75
 87  O2-   0.95   0.25   0.75

space_group_IT_number 227

*** lse ***


**isite= 0
Ta5+1 : [1.30875 6.54375 6.54375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [0.5235 7.8525 7.8525] : 40
O2-1 : [2.6175 7.8525 5.7585] : 41
O2-1 : [0.    5.235 7.329] : 49
O2-1 : [2.6175 5.7585 7.8525] : 42
O2-1 : [0.    7.329 5.235] : 36
O2-1 : [2.094 5.235 5.235] : 48
!!!atention to nb coordination!!!
         [2.010539899504608, 2.0105398995046073, 2.0105398995046078, 2.0105398995046073, 2.0105398995046078, 2.010539899504608]
         [2.010539899504608, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.010539899504607]


**isite= 1
Ta5+1 : [1.30875 9.16125 9.16125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [ 0.     8.376 10.47 ] : 52
O2-1 : [ 2.094 10.47  10.47 ] : 34
O2-1 : [2.6175 7.8525 9.9465] : 43
O2-1 : [0.5235 7.8525 7.8525] : 40
O2-1 : [2.6175 9.9465 7.8525] : 44
O2-1 : [ 0.    10.47   8.376] : 37


**isite= 2
Ta5+1 : [3.92625 6.54375 9.16125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [ 5.235  7.329 10.47 ] : 64
O2-1 : [5.235 5.235 8.376] : 79
O2-1 : [4.7115 7.8525 7.8525] : 45
O2-1 : [2.6175 5.7585 7.8525] : 42
O2-1 : [ 3.141  5.235 10.47 ] : 53
O2-1 : [2.6175 7.8525 9.9465] : 43
!!!atention to nb coordination!!!
         [2.0105398995046064, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.010539899504608]
         [2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.010539899504607, 2.010539899504607, 2.010539899504608]


**isite= 3
Ta5+1 : [3.92625 9.16125 6.54375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [ 3.141 10.47   5.235] : 39
O2-1 : [5.235 8.376 5.235] : 80
O2-1 : [ 5.235 10.47   7.329] : 63
O2-1 : [2.6175 7.8525 5.7585] : 41
O2-1 : [2.6175 9.9465 7.8525] : 44
O2-1 : [4.7115 7.8525 7.8525] : 45
!!!atention to nb coordination!!!
         [2.0105398995046078, 2.0105398995046073, 2.0105398995046064, 2.0105398995046073, 2.010539899504608, 2.0105398995046073]
         [2.010539899504607, 2.0105398995046073, 2.0105398995046073, 2.010539899504607, 2.010539899504608, 2.0105398995046073]


**isite= 4
Ta5+1 : [1.30875 1.30875 1.30875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [2.6175 2.6175 0.5235] : 55
O2-1 : [0.5235 2.6175 2.6175] : 54
O2-1 : [0.    2.094 0.   ] : 50
O2-1 : [2.6175 0.5235 2.6175] : 56
O2-1 : [0.    0.    2.094] : 35
O2-1 : [2.094 0.    0.   ] : 34
!!!atention to nb coordination!!!
         [2.0105398995046064, 2.010539899504607, 2.0105398995046073, 2.0105398995046064, 2.0105398995046073, 2.0105398995046073]
         [2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073]


**isite= 5
Ta5+1 : [1.30875 3.92625 3.92625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [0.    3.141 5.235] : 38
O2-1 : [2.094 5.235 5.235] : 48
O2-1 : [0.    5.235 3.141] : 51
O2-1 : [2.6175 4.7115 2.6175] : 58
O2-1 : [0.5235 2.6175 2.6175] : 54
O2-1 : [2.6175 2.6175 4.7115] : 57
!!!atention to nb coordination!!!
         [2.0105398995046064, 2.0105398995046055, 2.0105398995046064, 2.0105398995046073, 2.010539899504608, 2.0105398995046073]
         [2.0105398995046073, 2.010539899504607, 2.0105398995046073, 2.0105398995046073, 2.0105398995046078, 2.0105398995046073]


**isite= 6
Ta5+1 : [3.92625 1.30875 3.92625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [3.141 0.    5.235] : 39
O2-1 : [2.6175 2.6175 4.7115] : 57
O2-1 : [5.235 2.094 5.235] : 78
O2-1 : [4.7115 2.6175 2.6175] : 59
O2-1 : [2.6175 0.5235 2.6175] : 56
O2-1 : [5.235 0.    3.141] : 65
!!!atention to nb coordination!!!
         [2.0105398995046064, 2.0105398995046073, 2.0105398995046055, 2.0105398995046073, 2.010539899504608, 2.0105398995046064]
         [2.0105398995046073, 2.0105398995046073, 2.010539899504607, 2.0105398995046073, 2.0105398995046078, 2.0105398995046073]


**isite= 7
Ta5+1 : [3.92625 3.92625 1.30875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [2.6175 2.6175 0.5235] : 55
O2-1 : [5.235 3.141 0.   ] : 66
O2-1 : [5.235 5.235 2.094] : 77
O2-1 : [3.141 5.235 0.   ] : 53
O2-1 : [2.6175 4.7115 2.6175] : 58
O2-1 : [4.7115 2.6175 2.6175] : 59
!!!atention to nb coordination!!!
         [2.010539899504608, 2.0105398995046064, 2.0105398995046055, 2.0105398995046064, 2.0105398995046073, 2.0105398995046073]
         [2.0105398995046073, 2.0105398995046073, 2.010539899504607, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073]


**isite= 8
Ta5+1 : [6.54375 6.54375 1.30875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [7.8525 7.8525 0.5235] : 69
O2-1 : [5.7585 7.8525 2.6175] : 68
O2-1 : [7.8525 5.7585 2.6175] : 70
O2-1 : [7.329 5.235 0.   ] : 76
O2-1 : [5.235 7.329 0.   ] : 64
O2-1 : [5.235 5.235 2.094] : 77
!!!atention to nb coordination!!!
         [2.010539899504608, 2.0105398995046073, 2.0105398995046073, 2.0105398995046078, 2.0105398995046078, 2.010539899504608]
         [2.010539899504608, 2.0105398995046078, 2.0105398995046078, 2.0105398995046073, 2.0105398995046073, 2.010539899504607]


**isite= 9
Ta5+1 : [6.54375 9.16125 3.92625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [7.8525 7.8525 4.7115] : 71
O2-1 : [7.8525 9.9465 2.6175] : 72
O2-1 : [ 7.329 10.47   5.235] : 62
O2-1 : [5.235 8.376 5.235] : 80
O2-1 : [5.7585 7.8525 2.6175] : 68
O2-1 : [ 5.235 10.47   3.141] : 65
!!!atention to nb coordination!!!
         [2.0105398995046073, 2.010539899504608, 2.0105398995046064, 2.0105398995046073, 2.0105398995046073, 2.0105398995046078]
         [2.0105398995046073, 2.010539899504608, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.010539899504607]


**isite= 10
Ta5+1 : [9.16125 6.54375 3.92625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [8.376 5.235 5.235] : 81
O2-1 : [7.8525 5.7585 2.6175] : 70
O2-1 : [10.47   5.235  3.141] : 51
O2-1 : [10.47   7.329  5.235] : 36
O2-1 : [7.8525 7.8525 4.7115] : 71
O2-1 : [9.9465 7.8525 2.6175] : 73
!!!atention to nb coordination!!!
         [2.0105398995046073, 2.0105398995046073, 2.0105398995046078, 2.0105398995046064, 2.0105398995046073, 2.010539899504608]
         [2.0105398995046073, 2.0105398995046073, 2.010539899504607, 2.0105398995046073, 2.0105398995046073, 2.010539899504608]


**isite= 11
Ta5+1 : [9.16125 9.16125 1.30875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [7.8525 9.9465 2.6175] : 72
O2-1 : [ 8.376 10.47   0.   ] : 67
O2-1 : [10.47  10.47   2.094] : 35
O2-1 : [9.9465 7.8525 2.6175] : 73
O2-1 : [7.8525 7.8525 0.5235] : 69
O2-1 : [10.47   8.376  0.   ] : 52


**isite= 12
Ta5+1 : [6.54375 1.30875 6.54375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [5.235 2.094 5.235] : 78
O2-1 : [7.8525 0.5235 7.8525] : 84
O2-1 : [7.8525 2.6175 5.7585] : 83
O2-1 : [7.329 0.    5.235] : 62
O2-1 : [5.7585 2.6175 7.8525] : 82
O2-1 : [5.235 0.    7.329] : 63
!!!atention to nb coordination!!!
         [2.010539899504608, 2.010539899504608, 2.0105398995046073, 2.0105398995046078, 2.0105398995046073, 2.0105398995046078]
         [2.010539899504607, 2.010539899504608, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073]


**isite= 13
Ta5+1 : [6.54375 3.92625 9.16125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [5.235 5.235 8.376] : 79
O2-1 : [ 7.329  5.235 10.47 ] : 76
O2-1 : [7.8525 4.7115 7.8525] : 86
O2-1 : [ 5.235  3.141 10.47 ] : 66
O2-1 : [5.7585 2.6175 7.8525] : 82
O2-1 : [7.8525 2.6175 9.9465] : 85
!!!atention to nb coordination!!!
         [2.0105398995046073, 2.0105398995046064, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.010539899504608]
         [2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.010539899504607, 2.010539899504607, 2.010539899504608]


**isite= 14
Ta5+1 : [9.16125 1.30875 9.16125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [ 8.376  0.    10.47 ] : 67
O2-1 : [9.9465 2.6175 7.8525] : 87
O2-1 : [10.47   0.     8.376] : 37
O2-1 : [10.47   2.094 10.47 ] : 50
O2-1 : [7.8525 0.5235 7.8525] : 84
O2-1 : [7.8525 2.6175 9.9465] : 85


**isite= 15
Ta5+1 : [9.16125 3.92625 6.54375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O2-1 : [7.8525 2.6175 5.7585] : 83
O2-1 : [8.376 5.235 5.235] : 81
O2-1 : [10.47   5.235  7.329] : 49
O2-1 : [7.8525 4.7115 7.8525] : 86
O2-1 : [10.47   3.141  5.235] : 38
O2-1 : [9.9465 2.6175 7.8525] : 87
!!!atention to nb coordination!!!
         [2.0105398995046073, 2.0105398995046073, 2.0105398995046064, 2.0105398995046073, 2.0105398995046078, 2.010539899504608]
         [2.010539899504607, 2.0105398995046073, 2.0105398995046073, 2.0105398995046073, 2.010539899504607, 2.010539899504608]


**isite= 16
Sn2+1 : [1.30875 1.30875 6.54375]

ce_symbol  = C:8
ce_fraction=  0.48307019233186516
species:coords:index
O2-1 : [3.141 0.    5.235] : 39
O2-1 : [2.6175 2.6175 4.7115] : 57
O2-1 : [0.    0.    5.235] : 32
O2-1 : [2.6175 2.6175 7.8525] : 33
O2-1 : [0.    3.141 5.235] : 38
O2-1 : [ 2.6175 -0.5235  7.8525] : 44
O2-1 : [-0.5235  2.6175  7.8525] : 87
O2-1 : [0.    0.    8.376] : 37
!!!atention to nb coordination!!!
         [2.6043796166265802, 2.6043796166265794, 2.266821494405769, 2.266821494405768, 2.6043796166265802, 2.6043796166265794, 2.6043796166265794, 2.60437961662658]
         [2.60437961662658, 2.60437961662658, 2.266821494405768, 2.2668214944057685, 2.60437961662658, 2.6043796166265802, 2.6043796166265802, 2.60437961662658]

ce_symbol  = HB:8
ce_fraction=  0.35763476307244757
species:coords:index
O2-1 : [3.141 0.    5.235] : 39
O2-1 : [2.6175 2.6175 4.7115] : 57
O2-1 : [0.    0.    5.235] : 32
O2-1 : [2.6175 2.6175 7.8525] : 33
O2-1 : [0.    3.141 5.235] : 38
O2-1 : [ 2.6175 -0.5235  7.8525] : 44
O2-1 : [-0.5235  2.6175  7.8525] : 87
O2-1 : [0.    0.    8.376] : 37
!!!atention to nb coordination!!!
         [2.6043796166265802, 2.6043796166265794, 2.266821494405769, 2.266821494405768, 2.6043796166265802, 2.6043796166265794, 2.6043796166265794, 2.60437961662658]
         [2.60437961662658, 2.60437961662658, 2.266821494405768, 2.2668214944057685, 2.60437961662658, 2.6043796166265802, 2.6043796166265802, 2.60437961662658]

ce_symbol  = L:2
ce_fraction=  0.1422235472862945
species:coords:index
O2-1 : [0.    0.    5.235] : 32
O2-1 : [2.6175 2.6175 7.8525] : 33
!!!atention to nb coordination!!!
         [2.266821494405769, 2.266821494405768]
         [2.266821494405768, 2.2668214944057685]

ce_symbol  = BO_1:8
ce_fraction=  0.01707149730939263
species:coords:index
O2-1 : [3.141 0.    5.235] : 39
O2-1 : [2.6175 2.6175 4.7115] : 57
O2-1 : [0.    0.    5.235] : 32
O2-1 : [2.6175 2.6175 7.8525] : 33
O2-1 : [0.    3.141 5.235] : 38
O2-1 : [ 2.6175 -0.5235  7.8525] : 44
O2-1 : [-0.5235  2.6175  7.8525] : 87
O2-1 : [0.    0.    8.376] : 37
!!!atention to nb coordination!!!
         [2.6043796166265802, 2.6043796166265794, 2.266821494405769, 2.266821494405768, 2.6043796166265802, 2.6043796166265794, 2.6043796166265794, 2.60437961662658]
         [2.60437961662658, 2.60437961662658, 2.266821494405768, 2.2668214944057685, 2.60437961662658, 2.6043796166265802, 2.6043796166265802, 2.60437961662658]


**isite= 17
Sn2+1 : [1.30875 9.16125 3.92625]

ce_symbol  = C:8
ce_fraction=  0.48307019233186554
species:coords:index
O2-1 : [ 3.141 10.47   5.235] : 39
O2-1 : [ 2.6175 10.9935  2.6175] : 56
O2-1 : [ 0.    10.47   2.094] : 35
O2-1 : [0.    7.329 5.235] : 36
O2-1 : [-0.5235  7.8525  2.6175] : 73
O2-1 : [2.6175 7.8525 5.7585] : 41
O2-1 : [2.6175 7.8525 2.6175] : 47
O2-1 : [ 0.    10.47   5.235] : 32
!!!atention to nb coordination!!!
         [2.6043796166265794, 2.6043796166265794, 2.60437961662658, 2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.266821494405768, 2.2668214944057676]
         [2.60437961662658, 2.6043796166265794, 2.60437961662658, 2.60437961662658, 2.60437961662658, 2.60437961662658, 2.2668214944057685, 2.266821494405768]

ce_symbol  = HB:8
ce_fraction=  0.35763476307244757
species:coords:index
O2-1 : [ 3.141 10.47   5.235] : 39
O2-1 : [ 2.6175 10.9935  2.6175] : 56
O2-1 : [ 0.    10.47   2.094] : 35
O2-1 : [0.    7.329 5.235] : 36
O2-1 : [-0.5235  7.8525  2.6175] : 73
O2-1 : [2.6175 7.8525 5.7585] : 41
O2-1 : [2.6175 7.8525 2.6175] : 47
O2-1 : [ 0.    10.47   5.235] : 32
!!!atention to nb coordination!!!
         [2.6043796166265794, 2.6043796166265794, 2.60437961662658, 2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.266821494405768, 2.2668214944057676]
         [2.60437961662658, 2.6043796166265794, 2.60437961662658, 2.60437961662658, 2.60437961662658, 2.60437961662658, 2.2668214944057685, 2.266821494405768]

ce_symbol  = L:2
ce_fraction=  0.14222354728629427
species:coords:index
O2-1 : [2.6175 7.8525 2.6175] : 47
O2-1 : [ 0.    10.47   5.235] : 32
!!!atention to nb coordination!!!
         [2.266821494405768, 2.2668214944057676]
         [2.2668214944057685, 2.266821494405768]

ce_symbol  = BO_1:8
ce_fraction=  0.017071497309392596
species:coords:index
O2-1 : [ 3.141 10.47   5.235] : 39
O2-1 : [ 2.6175 10.9935  2.6175] : 56
O2-1 : [ 0.    10.47   2.094] : 35
O2-1 : [0.    7.329 5.235] : 36
O2-1 : [-0.5235  7.8525  2.6175] : 73
O2-1 : [2.6175 7.8525 5.7585] : 41
O2-1 : [2.6175 7.8525 2.6175] : 47
O2-1 : [ 0.    10.47   5.235] : 32
!!!atention to nb coordination!!!
         [2.6043796166265794, 2.6043796166265794, 2.60437961662658, 2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.266821494405768, 2.2668214944057676]
         [2.60437961662658, 2.6043796166265794, 2.60437961662658, 2.60437961662658, 2.60437961662658, 2.60437961662658, 2.2668214944057685, 2.266821494405768]


**isite= 18
Sn2+1 : [3.92625 1.30875 9.16125]

ce_symbol  = C:8
ce_fraction=  0.4830701923318656
species:coords:index
O2-1 : [ 2.094  0.    10.47 ] : 34
O2-1 : [ 2.6175 -0.5235  7.8525] : 44
O2-1 : [ 5.235  0.    10.47 ] : 60
O2-1 : [5.235 0.    7.329] : 63
O2-1 : [5.7585 2.6175 7.8525] : 82
O2-1 : [ 5.235  3.141 10.47 ] : 66
O2-1 : [ 2.6175  2.6175 10.9935] : 55
O2-1 : [2.6175 2.6175 7.8525] : 33
!!!atention to nb coordination!!!
         [2.60437961662658, 2.6043796166265794, 2.2668214944057676, 2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.266821494405768]
         [2.60437961662658, 2.60437961662658, 2.266821494405768, 2.60437961662658, 2.60437961662658, 2.60437961662658, 2.6043796166265794, 2.266821494405768]

ce_symbol  = HB:8
ce_fraction=  0.35763476307244785
species:coords:index
O2-1 : [ 2.094  0.    10.47 ] : 34
O2-1 : [ 2.6175 -0.5235  7.8525] : 44
O2-1 : [ 5.235  0.    10.47 ] : 60
O2-1 : [5.235 0.    7.329] : 63
O2-1 : [5.7585 2.6175 7.8525] : 82
O2-1 : [ 5.235  3.141 10.47 ] : 66
O2-1 : [ 2.6175  2.6175 10.9935] : 55
O2-1 : [2.6175 2.6175 7.8525] : 33
!!!atention to nb coordination!!!
         [2.60437961662658, 2.6043796166265794, 2.2668214944057676, 2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.266821494405768]
         [2.60437961662658, 2.60437961662658, 2.266821494405768, 2.60437961662658, 2.60437961662658, 2.60437961662658, 2.6043796166265794, 2.266821494405768]

ce_symbol  = L:2
ce_fraction=  0.14222354728629408
species:coords:index
O2-1 : [ 5.235  0.    10.47 ] : 60
O2-1 : [2.6175 2.6175 7.8525] : 33
!!!atention to nb coordination!!!
         [2.2668214944057676, 2.266821494405768]
         [2.266821494405768, 2.266821494405768]

ce_symbol  = BO_1:8
ce_fraction=  0.017071497309392628
species:coords:index
O2-1 : [ 2.094  0.    10.47 ] : 34
O2-1 : [ 2.6175 -0.5235  7.8525] : 44
O2-1 : [ 5.235  0.    10.47 ] : 60
O2-1 : [5.235 0.    7.329] : 63
O2-1 : [5.7585 2.6175 7.8525] : 82
O2-1 : [ 5.235  3.141 10.47 ] : 66
O2-1 : [ 2.6175  2.6175 10.9935] : 55
O2-1 : [2.6175 2.6175 7.8525] : 33
!!!atention to nb coordination!!!
         [2.60437961662658, 2.6043796166265794, 2.2668214944057676, 2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.266821494405768]
         [2.60437961662658, 2.60437961662658, 2.266821494405768, 2.60437961662658, 2.60437961662658, 2.60437961662658, 2.6043796166265794, 2.266821494405768]


**isite= 19
Sn2+1 : [3.92625 9.16125 1.30875]

ce_symbol  = C:8
ce_fraction=  0.4830701923318647
species:coords:index
O2-1 : [5.7585 7.8525 2.6175] : 68
O2-1 : [ 2.6175  7.8525 -0.5235] : 43
O2-1 : [ 2.6175 10.9935  2.6175] : 56
O2-1 : [ 2.094 10.47   0.   ] : 34
O2-1 : [ 5.235 10.47   0.   ] : 60
O2-1 : [ 5.235 10.47   3.141] : 65
O2-1 : [2.6175 7.8525 2.6175] : 47
O2-1 : [5.235 7.329 0.   ] : 64
!!!atention to nb coordination!!!
         [2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.60437961662658, 2.2668214944057676, 2.6043796166265794, 2.266821494405768, 2.6043796166265794]
         [2.60437961662658, 2.60437961662658, 2.6043796166265794, 2.60437961662658, 2.266821494405768, 2.60437961662658, 2.266821494405768, 2.60437961662658]

ce_symbol  = HB:8
ce_fraction=  0.3576347630724479
species:coords:index
O2-1 : [5.7585 7.8525 2.6175] : 68
O2-1 : [ 2.6175  7.8525 -0.5235] : 43
O2-1 : [ 2.6175 10.9935  2.6175] : 56
O2-1 : [ 2.094 10.47   0.   ] : 34
O2-1 : [ 5.235 10.47   0.   ] : 60
O2-1 : [ 5.235 10.47   3.141] : 65
O2-1 : [2.6175 7.8525 2.6175] : 47
O2-1 : [5.235 7.329 0.   ] : 64
!!!atention to nb coordination!!!
         [2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.60437961662658, 2.2668214944057676, 2.6043796166265794, 2.266821494405768, 2.6043796166265794]
         [2.60437961662658, 2.60437961662658, 2.6043796166265794, 2.60437961662658, 2.266821494405768, 2.60437961662658, 2.266821494405768, 2.60437961662658]

ce_symbol  = L:2
ce_fraction=  0.14222354728629463
species:coords:index
O2-1 : [ 5.235 10.47   0.   ] : 60
O2-1 : [2.6175 7.8525 2.6175] : 47
!!!atention to nb coordination!!!
         [2.2668214944057676, 2.266821494405768]
         [2.266821494405768, 2.266821494405768]

ce_symbol  = BO_1:8
ce_fraction=  0.01707149730939268
species:coords:index
O2-1 : [5.7585 7.8525 2.6175] : 68
O2-1 : [ 2.6175  7.8525 -0.5235] : 43
O2-1 : [ 2.6175 10.9935  2.6175] : 56
O2-1 : [ 2.094 10.47   0.   ] : 34
O2-1 : [ 5.235 10.47   0.   ] : 60
O2-1 : [ 5.235 10.47   3.141] : 65
O2-1 : [2.6175 7.8525 2.6175] : 47
O2-1 : [5.235 7.329 0.   ] : 64
!!!atention to nb coordination!!!
         [2.6043796166265794, 2.6043796166265794, 2.6043796166265794, 2.60437961662658, 2.2668214944057676, 2.6043796166265794, 2.266821494405768, 2.6043796166265794]
         [2.60437961662658, 2.60437961662658, 2.6043796166265794, 2.60437961662658, 2.266821494405768, 2.60437961662658, 2.266821494405768, 2.60437961662658]


**isite= 20
Sn2+1 : [1.30875 6.54375 1.30875]

ce_symbol  = C:8
ce_fraction=  0.4830701923318654
species:coords:index
O2-1 : [-0.5235  7.8525  2.6175] : 73
O2-1 : [0.    8.376 0.   ] : 52
O2-1 : [ 2.6175  7.8525 -0.5235] : 43
O2-1 : [3.141 5.235 0.   ] : 53
O2-1 : [0.    5.235 0.   ] : 46
O2-1 : [0.    5.235 3.141] : 51
O2-1 : [2.6175 7.8525 2.6175] : 47
O2-1 : [2.6175 4.7115 2.6175] : 58
!!!atention to nb coordination!!!
         [2.6043796166265794, 2.60437961662658, 2.6043796166265794, 2.6043796166265802, 2.266821494405769, 2.6043796166265802, 2.266821494405768, 2.6043796166265794]
         [2.60437961662658, 2.60437961662658, 2.60437961662658, 2.60437961662658, 2.266821494405768, 2.60437961662658, 2.2668214944057685, 2.60437961662658]

ce_symbol  = HB:8
ce_fraction=  0.35763476307244746
species:coords:index
O2-1 : [-0.5235  7.8525  2.6175] : 73
O2-1 : [0.    8.376 0.   ] : 52
O2-1 : [ 2.6175  7.8525 -0.5235] : 43
O2-1 : [3.141 5.235 0.   ] : 53
O2-1 : [0.    5.235 0.   ] : 46
O2-1 : [0.    5.235 3.141] : 51
O2-1 : [2.6175 7.8525 2.6175] : 47
O2-1 : [2.6175 4.7115 2.6175] : 58
!!!atention to nb coordination!!!
         [2.6043796166265794, 2.60437961662658, 2.6043796166265794, 2.6043796166265802, 2.266821494405769, 2.6043796166265802, 2.266821494405768, 2.6043796166265794]
         [2.60437961662658, 2.60437961662658, 2.60437961662658, 2.60437961662658, 2.266821494405768, 2.60437961662658, 2.2668214944057685, 2.60437961662658]

ce_symbol  = L:2
ce_fraction=  0.1422235472862945
species:coords:index
O2-1 : [0.    5.235 0.   ] : 46
O2-1 : [2.6175 7.8525 2.6175] : 47
!!!atention to nb coordination!!!
         [2.266821494405769, 2.266821494405768]
         [2.266821494405768, 2.2668214944057685]

ce_symbol  = BO_1:8
ce_fraction=  0.01707149730939266
species:coords:index
O2-1 : [-0.5235  7.8525  2.6175] : 73
O2-1 : [0.    8.376 0.   ] : 52
O2-1 : [ 2.6175  7.8525 -0.5235] : 43
O2-1 : [3.141 5.235 0.   ] : 53
O2-1 : [0.    5.235 0.   ] : 46
O2-1 : [0.    5.235 3.141] : 51
O2-1 : [2.6175 7.8525 2.6175] : 47
O2-1 : [2.6175 4.7115 2.6175] : 58
!!!atention to nb coordination!!!
