cif name= ./1534542.cif
./1534542.cif
Full Formula (Na36 Fe8 O28)
 43  Fe    0.68582  0.56822  0.30244
 44  O     0.3437   0.8351   0.1659
 45  O     0.6563   0.1649   0.6659
 46  O     0.1563   0.8351   0.6659
 47  O     0.8437   0.1649   0.1659
 48  O     0.0432   0.7795   0.047
 49  O     0.9568   0.2205   0.547
 50  O     0.4568   0.7795   0.547
 51  O     0.5432   0.2205   0.047
 52  O     0.0921   0.9247   0.3181
 53  O     0.9079   0.0753   0.8181
 54  O     0.4079   0.9247   0.8181
 55  O     0.5921   0.0753   0.3181
 56  O     0.1613   0.5818   0.4091
 57  O     0.8387   0.4182   0.9091
 58  O     0.3387   0.5818   0.9091
 59  O     0.6613   0.4182   0.4091
 60  O     0.0828   0.4195   0.151
 61  O     0.9172   0.5805   0.651
 62  O     0.4172   0.4195   0.651
 63  O     0.5828   0.5805   0.151
 64  O     0.1684   0.0664   0.0627
 65  O     0.8316   0.9336   0.5627
 66  O     0.3316   0.0664   0.5627
 67  O     0.6684   0.9336   0.0627
 68  O     0.303    0.2889   0.3352
 69  O     0.697    0.7111   0.8352
 70  O     0.197    0.2889   0.8352
 71  O     0.803    0.7111   0.3352

space_group_IT_number 29

*** lse ***


**isite= 0
Na1 : [2.6390568  7.8299467  4.00826558]

ce_symbol  = S:5
ce_fraction=  0.6738762359094921
species:coords:index
O1 : [0.88064178 9.2386777  3.28361906] : 52
O1 : [3.28639066 8.3434841  1.71251934] : 44
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
O1 : [1.54231834 5.8127638  4.22297566] : 56
Na1 : [ 3.31125134 10.6124402   3.36413534] : 24
!!!atention to nb coordination!!!
         [2.36678241329251, 2.439920610588673, 2.382038328587031, 2.3060707968640486, 2.934113041999326]
         [2.36678241329251, 2.439920610588673, 2.3820383285870315, 2.3060707968640486, 2.934113041999326]

ce_symbol  = T:5
ce_fraction=  0.32612376409050786
species:coords:index
O1 : [0.88064178 9.2386777  3.28361906] : 52
O1 : [3.28639066 8.3434841  1.71251934] : 44
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
O1 : [1.54231834 5.8127638  4.22297566] : 56
Na1 : [ 3.31125134 10.6124402   3.36413534] : 24
!!!atention to nb coordination!!!
         [2.36678241329251, 2.439920610588673, 2.382038328587031, 2.3060707968640486, 2.934113041999326]
         [2.36678241329251, 2.439920610588673, 2.3820383285870315, 2.3060707968640486, 2.934113041999326]


**isite= 1
Na1 : [6.9227432  2.1610533  9.16956558]

ce_symbol  = S:5
ce_fraction=  0.673876235909493
species:coords:index
O1 : [8.01948166 4.1782362  9.38427566] : 57
O1 : [8.68115822 0.7523223  8.44491906] : 53
O1 : [ 5.19396976  2.2030155  10.8077622 ] : 51
O1 : [6.27540934 1.6475159  6.87381934] : 45
Na1 : [ 6.25054866 -0.6214402   8.52543534] : 25
!!!atention to nb coordination!!!
         [2.306070796864049, 2.36678241329251, 2.3820383285870315, 2.4399206105886733, 2.9341130419993253]
         [2.3060707968640495, 2.36678241329251, 2.3820383285870315, 2.4399206105886724, 2.9341130419993253]

ce_symbol  = T:5
ce_fraction=  0.3261237640905071
species:coords:index
O1 : [8.01948166 4.1782362  9.38427566] : 57
O1 : [8.68115822 0.7523223  8.44491906] : 53
O1 : [ 5.19396976  2.2030155  10.8077622 ] : 51
O1 : [6.27540934 1.6475159  6.87381934] : 45
Na1 : [ 6.25054866 -0.6214402   8.52543534] : 25
!!!atention to nb coordination!!!
         [2.306070796864049, 2.36678241329251, 2.3820383285870315, 2.4399206105886733, 2.9341130419993253]
         [2.3060707968640495, 2.36678241329251, 2.3820383285870315, 2.4399206105886724, 2.9341130419993253]


**isite= 2
Na1 : [2.1418432  7.8299467  9.16956558]

ce_symbol  = S:5
ce_fraction=  0.6738762359094935
species:coords:index
O1 : [1.49450934 8.3434841  6.87381934] : 46
Na1 : [ 1.46964866 10.6124402   8.52543534] : 26
O1 : [3.90025822 9.2386777  8.44491906] : 54
O1 : [ 0.41306976  7.7879845  10.8077622 ] : 48
O1 : [3.23858166 5.8127638  9.38427566] : 58
!!!atention to nb coordination!!!
         [2.4399206105886733, 2.934113041999326, 2.36678241329251, 2.3820383285870315, 2.3060707968640486]
         [2.439920610588673, 2.934113041999326, 2.36678241329251, 2.3820383285870315, 2.306070796864049]

ce_symbol  = T:5
ce_fraction=  0.3261237640905064
species:coords:index
O1 : [1.49450934 8.3434841  6.87381934] : 46
Na1 : [ 1.46964866 10.6124402   8.52543534] : 26
O1 : [3.90025822 9.2386777  8.44491906] : 54
O1 : [ 0.41306976  7.7879845  10.8077622 ] : 48
O1 : [3.23858166 5.8127638  9.38427566] : 58
!!!atention to nb coordination!!!
         [2.4399206105886733, 2.934113041999326, 2.36678241329251, 2.3820383285870315, 2.3060707968640486]
         [2.439920610588673, 2.934113041999326, 2.36678241329251, 2.3820383285870315, 2.306070796864049]


**isite= 3
Na1 : [7.4199568  2.1610533  4.00826558]

ce_symbol  = S:5
ce_fraction=  0.6738762359094915
species:coords:index
O1 : [6.32321834 4.1782362  4.22297566] : 59
O1 : [5.66154178 0.7523223  3.28361906] : 55
O1 : [8.06729066 1.6475159  1.71251934] : 47
O1 : [9.14873024 2.2030155  5.6464622 ] : 49
Na1 : [ 8.09215134 -0.6214402   3.36413534] : 27
!!!atention to nb coordination!!!
         [2.306070796864049, 2.3667824132925106, 2.439920610588673, 2.38203832858703, 2.934113041999326]
         [2.3060707968640495, 2.36678241329251, 2.4399206105886724, 2.3820383285870306, 2.934113041999326]

ce_symbol  = T:5
ce_fraction=  0.32612376409050853
species:coords:index
O1 : [6.32321834 4.1782362  4.22297566] : 59
O1 : [5.66154178 0.7523223  3.28361906] : 55
O1 : [8.06729066 1.6475159  1.71251934] : 47
O1 : [9.14873024 2.2030155  5.6464622 ] : 49
Na1 : [ 8.09215134 -0.6214402   3.36413534] : 27
!!!atention to nb coordination!!!
         [2.306070796864049, 2.3667824132925106, 2.439920610588673, 2.38203832858703, 2.934113041999326]
         [2.3060707968640495, 2.36678241329251, 2.4399206105886724, 2.3820383285870306, 2.934113041999326]


**isite= 4
Na1 : [2.02518924 2.7195502  5.75175272]

ce_symbol  = S:5
ce_fraction=  0.8891965409437398
species:coords:index
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [-0.41306976  2.2030155   5.6464622 ] : 49
O1 : [3.17069288 0.6634024  5.80852702] : 66
O1 : [1.8836746  2.8863999  8.62143552] : 70
!!!atention to nb coordination!!!
         [2.638299409221317, 2.457599495050701, 2.4945943840606555, 2.734077533079002, 2.3543886012802946]
         [2.6382994092213177, 2.4575994950507, 2.494594384060655, 2.3543886012802946, 2.8780105260996325]

ce_symbol  = T:5
ce_fraction=  0.11080345905626016
species:coords:index
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [-0.41306976  2.2030155   5.6464622 ] : 49
O1 : [3.17069288 0.6634024  5.80852702] : 66
O1 : [1.8836746  2.8863999  8.62143552] : 70
!!!atention to nb coordination!!!
         [2.638299409221317, 2.457599495050701, 2.4945943840606555, 2.734077533079002, 2.3543886012802946]
         [2.6382994092213177, 2.4575994950507, 2.494594384060655, 2.3543886012802946, 2.8780105260996325]


**isite= 5
Na1 : [7.53661076 7.2714498  0.59045272]

ce_symbol  = S:5
ce_fraction=  0.8891965409437396
species:coords:index
O1 : [7.6781254  7.1046001  3.46013552] : 71
O1 : [6.39110712 9.3275976  0.64722702] : 67
O1 : [ 6.6645746   7.1046001  -1.70116448] : 69
O1 : [9.97486976 7.7879845  0.4851622 ] : 48
O1 : [5.57261704 5.7997755  1.5587126 ] : 63
!!!atention to nb coordination!!!
         [2.354388601280294, 2.7340775330790024, 2.4575994950507014, 2.494594384060655, 2.638299409221318]
         [2.8780105260996343, 2.354388601280294, 2.4575994950506996, 2.4945943840606533, 2.638299409221318]

ce_symbol  = T:5
ce_fraction=  0.11080345905626045
species:coords:index
O1 : [7.6781254  7.1046001  3.46013552] : 71
O1 : [6.39110712 9.3275976  0.64722702] : 67
O1 : [ 6.6645746   7.1046001  -1.70116448] : 69
O1 : [9.97486976 7.7879845  0.4851622 ] : 48
O1 : [5.57261704 5.7997755  1.5587126 ] : 63
!!!atention to nb coordination!!!
         [2.354388601280294, 2.7340775330790024, 2.4575994950507014, 2.494594384060655, 2.638299409221318]
         [2.8780105260996343, 2.354388601280294, 2.4575994950506996, 2.4945943840606533, 2.638299409221318]


**isite= 6
Na1 : [2.75571076 2.7195502  0.59045272]

ce_symbol  = S:5
ce_fraction=  0.8891965409437391
species:coords:index
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [1.61020712 0.6634024  0.64722702] : 64
O1 : [ 1.8836746   2.8863999  -1.70116448] : 70
O1 : [5.19396976 2.2030155  0.4851622 ] : 51
O1 : [0.79171704 4.1912245  1.5587126 ] : 60
!!!atention to nb coordination!!!
         [2.7340775330790015, 2.3543886012802946, 2.4575994950507014, 2.4945943840606546, 2.6382994092213177]
         [2.8780105260996343, 2.354388601280295, 2.4575994950506996, 2.4945943840606546, 2.6382994092213177]

ce_symbol  = T:5
ce_fraction=  0.11080345905626081
species:coords:index
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [1.61020712 0.6634024  0.64722702] : 64
O1 : [ 1.8836746   2.8863999  -1.70116448] : 70
O1 : [5.19396976 2.2030155  0.4851622 ] : 51
O1 : [0.79171704 4.1912245  1.5587126 ] : 60
!!!atention to nb coordination!!!
         [2.7340775330790015, 2.3543886012802946, 2.4575994950507014, 2.4945943840606546, 2.6382994092213177]
         [2.8780105260996343, 2.354388601280295, 2.4575994950506996, 2.4945943840606546, 2.6382994092213177]


**isite= 7
Na1 : [6.80608924 7.2714498  5.75175272]

ce_symbol  = S:5
ce_fraction=  0.8891965409437382
species:coords:index
O1 : [7.6781254  7.1046001  3.46013552] : 71
O1 : [7.95159288 9.3275976  5.80852702] : 65
O1 : [6.6645746  7.1046001  8.62143552] : 69
O1 : [8.77008296 5.7997755  6.7200126 ] : 61
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
!!!atention to nb coordination!!!
         [2.4575994950507005, 2.354388601280294, 2.6382994092213172, 2.494594384060654, 2.7340775330790015]
         [2.4575994950506996, 2.354388601280294, 2.8780105260996325, 2.6382994092213177, 2.494594384060654]

ce_symbol  = T:5
ce_fraction=  0.11080345905626177
species:coords:index
O1 : [7.6781254  7.1046001  3.46013552] : 71
O1 : [7.95159288 9.3275976  5.80852702] : 65
O1 : [6.6645746  7.1046001  8.62143552] : 69
O1 : [8.77008296 5.7997755  6.7200126 ] : 61
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
!!!atention to nb coordination!!!
         [2.4575994950507005, 2.354388601280294, 2.6382994092213172, 2.494594384060654, 2.7340775330790015]
         [2.4575994950506996, 2.354388601280294, 2.8780105260996325, 2.6382994092213177, 2.494594384060654]


**isite= 8
Na1 : [0.62725408 1.6645006  2.6116178 ]

ce_symbol  = S:5
ce_fraction=  0.5781751021969277
species:coords:index
O1 : [0.79171704 4.1912245  1.5587126 ] : 60
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [1.61020712 0.6634024  0.64722702] : 64
O1 : [-1.49450934  1.6475159   1.71251934] : 47
O1 : [ 0.88064178 -0.7523223   3.28361906] : 52
!!!atention to nb coordination!!!
         [2.7422602159952314, 2.7139988972210416, 2.4139646686390193, 2.3044623084916274, 2.521274271061618]
         [2.7422602159952314, 2.7139988972210416, 2.4139646686390193, 2.3044623084916274, 2.521274271061619]

ce_symbol  = PP:6
ce_fraction=  0.41731419832659694
species:coords:index
O1 : [0.79171704 4.1912245  1.5587126 ] : 60
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [1.61020712 0.6634024  0.64722702] : 64
Na1 : [3.31125134 0.6214402  3.36413534] : 24
O1 : [-1.49450934  1.6475159   1.71251934] : 47
O1 : [ 0.88064178 -0.7523223   3.28361906] : 52
!!!atention to nb coordination!!!
         [2.7422602159952314, 2.7139988972210416, 2.4139646686390193, 2.976255858917933, 2.3044623084916274, 2.521274271061618]
         [2.7422602159952314, 2.7139988972210416, 2.4139646686390193, 2.9762558589179324, 2.3044623084916274, 2.521274271061619]

ce_symbol  = T:5
ce_fraction=  0.004510699476475328
species:coords:index
O1 : [0.79171704 4.1912245  1.5587126 ] : 60
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [1.61020712 0.6634024  0.64722702] : 64
O1 : [-1.49450934  1.6475159   1.71251934] : 47
O1 : [ 0.88064178 -0.7523223   3.28361906] : 52
!!!atention to nb coordination!!!
         [2.7422602159952314, 2.7139988972210416, 2.4139646686390193, 2.3044623084916274, 2.521274271061618]
         [2.7422602159952314, 2.7139988972210416, 2.4139646686390193, 2.3044623084916274, 2.521274271061619]


**isite= 9
Na1 : [8.93454592 8.3264994  7.7729178 ]

ce_symbol  = S:5
ce_fraction=  0.5781751021969248
species:coords:index
O1 : [6.6645746  7.1046001  8.62143552] : 69
O1 : [7.95159288 9.3275976  5.80852702] : 65
O1 : [8.77008296 5.7997755  6.7200126 ] : 61
O1 : [ 8.68115822 10.7433223   8.44491906] : 53
O1 : [11.05630934  8.3434841   6.87381934] : 46
!!!atention to nb coordination!!!
         [2.7139988972210403, 2.4139646686390193, 2.742260215995232, 2.521274271061618, 2.304462308491628]
         [2.7139988972210407, 2.413964668639019, 2.742260215995231, 2.521274271061618, 2.3044623084916256]

ce_symbol  = PP:6
ce_fraction=  0.41731419832659994
species:coords:index
O1 : [6.6645746  7.1046001  8.62143552] : 69
Na1 : [6.25054866 9.3695598  8.52543534] : 25
O1 : [7.95159288 9.3275976  5.80852702] : 65
O1 : [8.77008296 5.7997755  6.7200126 ] : 61
O1 : [ 8.68115822 10.7433223   8.44491906] : 53
O1 : [11.05630934  8.3434841   6.87381934] : 46
!!!atention to nb coordination!!!
         [2.7139988972210403, 2.976255858917933, 2.4139646686390193, 2.742260215995232, 2.521274271061618, 2.304462308491628]
         [2.7139988972210407, 2.976255858917933, 2.413964668639019, 2.742260215995231, 2.521274271061618, 2.3044623084916256]

ce_symbol  = T:5
ce_fraction=  0.004510699476475171
species:coords:index
O1 : [6.6645746  7.1046001  8.62143552] : 69
O1 : [7.95159288 9.3275976  5.80852702] : 65
O1 : [8.77008296 5.7997755  6.7200126 ] : 61
O1 : [ 8.68115822 10.7433223   8.44491906] : 53
O1 : [11.05630934  8.3434841   6.87381934] : 46
!!!atention to nb coordination!!!
         [2.7139988972210403, 2.4139646686390193, 2.742260215995232, 2.521274271061618, 2.304462308491628]
         [2.7139988972210407, 2.413964668639019, 2.742260215995231, 2.521274271061618, 2.3044623084916256]


**isite= 10
Na1 : [4.15364592 1.6645006  7.7729178 ]

ce_symbol  = S:5
ce_fraction=  0.5781751021969251
species:coords:index
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [1.8836746  2.8863999  8.62143552] : 70
O1 : [ 3.90025822 -0.7523223   8.44491906] : 54
O1 : [3.17069288 0.6634024  5.80852702] : 66
O1 : [6.27540934 1.6475159  6.87381934] : 45
!!!atention to nb coordination!!!
         [2.742260215995232, 2.713998897221041, 2.521274271061618, 2.4139646686390197, 2.304462308491627]
         [2.742260215995231, 2.7139988972210416, 2.521274271061619, 2.413964668639019, 2.3044623084916265]

ce_symbol  = PP:6
ce_fraction=  0.4173141983265997
species:coords:index
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [1.8836746  2.8863999  8.62143552] : 70
O1 : [ 3.90025822 -0.7523223   8.44491906] : 54
O1 : [3.17069288 0.6634024  5.80852702] : 66
Na1 : [1.46964866 0.6214402  8.52543534] : 26
O1 : [6.27540934 1.6475159  6.87381934] : 45
!!!atention to nb coordination!!!
         [2.742260215995232, 2.713998897221041, 2.521274271061618, 2.4139646686390197, 2.976255858917933, 2.304462308491627]
         [2.742260215995231, 2.7139988972210416, 2.521274271061619, 2.413964668639019, 2.976255858917933, 2.3044623084916265]

ce_symbol  = T:5
ce_fraction=  0.004510699476475204
species:coords:index
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [1.8836746  2.8863999  8.62143552] : 70
O1 : [ 3.90025822 -0.7523223   8.44491906] : 54
O1 : [3.17069288 0.6634024  5.80852702] : 66
O1 : [6.27540934 1.6475159  6.87381934] : 45
!!!atention to nb coordination!!!
         [2.742260215995232, 2.713998897221041, 2.521274271061618, 2.4139646686390197, 2.304462308491627]
         [2.742260215995231, 2.7139988972210416, 2.521274271061619, 2.413964668639019, 2.3044623084916265]


**isite= 11
Na1 : [5.40815408 8.3264994  2.6116178 ]

ce_symbol  = S:5
ce_fraction=  0.5781751021969274
species:coords:index
O1 : [6.39110712 9.3275976  0.64722702] : 67
O1 : [ 5.66154178 10.7433223   3.28361906] : 55
O1 : [3.28639066 8.3434841  1.71251934] : 44
O1 : [7.6781254  7.1046001  3.46013552] : 71
O1 : [5.57261704 5.7997755  1.5587126 ] : 63

ce_symbol  = PP:6
ce_fraction=  0.4173141983265973
species:coords:index
O1 : [6.39110712 9.3275976  0.64722702] : 67
O1 : [ 5.66154178 10.7433223   3.28361906] : 55
O1 : [3.28639066 8.3434841  1.71251934] : 44
O1 : [7.6781254  7.1046001  3.46013552] : 71
Na1 : [8.09215134 9.3695598  3.36413534] : 27
O1 : [5.57261704 5.7997755  1.5587126 ] : 63
!!!atention to nb coordination!!!
         [2.413964668639019, 2.521274271061618, 2.3044623084916274, 2.7139988972210407, 2.9762558589179333, 2.7422602159952314]
         [2.413964668639019, 2.521274271061618, 2.3044623084916274, 2.7139988972210407, 2.976255858917933, 2.7422602159952314]

ce_symbol  = T:5
ce_fraction=  0.004510699476475348
species:coords:index
O1 : [6.39110712 9.3275976  0.64722702] : 67
O1 : [ 5.66154178 10.7433223   3.28361906] : 55
O1 : [3.28639066 8.3434841  1.71251934] : 44
O1 : [7.6781254  7.1046001  3.46013552] : 71
O1 : [5.57261704 5.7997755  1.5587126 ] : 63


**isite= 12
Na1 : [0.13768992 6.6020528  2.46503688]

ce_symbol  = ET:7
ce_fraction=  0.4128804550875023
species:coords:index
O1 : [0.79171704 4.1912245  1.5587126 ] : 60
O1 : [1.54231834 5.8127638  4.22297566] : 56
Na1 : [-2.02518924  7.2714498   0.59045272] : 5
O1 : [0.41306976 7.7879845  0.4851622 ] : 48
O1 : [-1.8836746   7.1046001   3.46013552] : 71
Na1 : [-0.13099666  7.5721789   5.0477514 ] : 18
O1 : [0.88064178 9.2386777  3.28361906] : 52
!!!atention to nb coordination!!!
         [2.6573046995581633, 2.384597844086207, 2.9394224564179665, 2.3242572581038474, 2.3083954632562365, 2.771958048021672, 2.858993724195809]
         [2.6573046995581633, 2.384597844086208, 2.9394224564179665, 2.3242572581038474, 2.3083954632562365, 2.771958048021673, 2.8589937241958094]

ce_symbol  = TL:3
ce_fraction=  0.3654457489946255
species:coords:index
O1 : [1.54231834 5.8127638  4.22297566] : 56
O1 : [0.41306976 7.7879845  0.4851622 ] : 48
O1 : [-1.8836746   7.1046001   3.46013552] : 71
!!!atention to nb coordination!!!
         [2.384597844086207, 2.3242572581038474, 2.3083954632562365]
         [2.384597844086208, 2.3242572581038474, 2.3083954632562365]

ce_symbol  = TY:3
ce_fraction=  0.20223291511497968
species:coords:index
O1 : [1.54231834 5.8127638  4.22297566] : 56
O1 : [0.41306976 7.7879845  0.4851622 ] : 48
O1 : [-1.8836746   7.1046001   3.46013552] : 71
!!!atention to nb coordination!!!
         [2.384597844086207, 2.3242572581038474, 2.3083954632562365]
         [2.384597844086208, 2.3242572581038474, 2.3083954632562365]

ce_symbol  = TS:3
ce_fraction=  0.01944088080289249
species:coords:index
O1 : [1.54231834 5.8127638  4.22297566] : 56
O1 : [0.41306976 7.7879845  0.4851622 ] : 48
O1 : [-1.8836746   7.1046001   3.46013552] : 71
!!!atention to nb coordination!!!
         [2.384597844086207, 2.3242572581038474, 2.3083954632562365]
         [2.384597844086208, 2.3242572581038474, 2.3083954632562365]


**isite= 13
Na1 : [9.42411008 3.3889472  7.62633688]

ce_symbol  = ET:7
ce_fraction=  0.4128804550875032
species:coords:index
O1 : [8.68115822 0.7523223  8.44491906] : 53
O1 : [8.77008296 5.7997755  6.7200126 ] : 61
O1 : [8.01948166 4.1782362  9.38427566] : 57
Na1 : [11.58698924  2.7195502   5.75175272] : 4
O1 : [9.14873024 2.2030155  5.6464622 ] : 49
Na1 : [ 9.69279666  2.4188211  10.2090514 ] : 19
O1 : [11.4454746   2.8863999   8.62143552] : 70
!!!atention to nb coordination!!!
         [2.858993724195808, 2.657304699558164, 2.3845978440862066, 2.939422456417966, 2.3242572581038483, 2.771958048021671, 2.308395463256235]
         [2.858993724195808, 2.6573046995581637, 2.384597844086208, 2.9394224564179656, 2.3242572581038474, 2.7719580480216726, 2.308395463256236]

ce_symbol  = TL:3
ce_fraction=  0.3654457489946264
species:coords:index
O1 : [8.01948166 4.1782362  9.38427566] : 57
O1 : [9.14873024 2.2030155  5.6464622 ] : 49
O1 : [11.4454746   2.8863999   8.62143552] : 70
!!!atention to nb coordination!!!
         [2.3845978440862066, 2.3242572581038483, 2.308395463256235]
         [2.384597844086208, 2.3242572581038474, 2.308395463256236]

ce_symbol  = TY:3
ce_fraction=  0.2022329151149778
species:coords:index
O1 : [8.01948166 4.1782362  9.38427566] : 57
O1 : [9.14873024 2.2030155  5.6464622 ] : 49
O1 : [11.4454746   2.8863999   8.62143552] : 70
!!!atention to nb coordination!!!
         [2.3845978440862066, 2.3242572581038483, 2.308395463256235]
         [2.384597844086208, 2.3242572581038474, 2.308395463256236]

ce_symbol  = TS:3
ce_fraction=  0.019440880802892427
species:coords:index
O1 : [8.01948166 4.1782362  9.38427566] : 57
O1 : [9.14873024 2.2030155  5.6464622 ] : 49
O1 : [11.4454746   2.8863999   8.62143552] : 70
!!!atention to nb coordination!!!
         [2.3845978440862066, 2.3242572581038483, 2.308395463256235]
         [2.384597844086208, 2.3242572581038474, 2.308395463256236]


**isite= 14
Na1 : [4.64321008 6.6020528  7.62633688]

ce_symbol  = ET:7
ce_fraction=  0.4128804550875011
species:coords:index
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
O1 : [3.90025822 9.2386777  8.44491906] : 54
Na1 : [6.80608924 7.2714498  5.75175272] : 7
O1 : [3.23858166 5.8127638  9.38427566] : 58
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
Na1 : [ 4.91189666  7.5721789  10.2090514 ] : 16
O1 : [6.6645746  7.1046001  8.62143552] : 69
!!!atention to nb coordination!!!
         [2.3242572581038483, 2.8589937241958086, 2.939422456417967, 2.384597844086206, 2.6573046995581637, 2.771958048021671, 2.308395463256236]
         [2.3242572581038474, 2.8589937241958086, 2.9394224564179665, 2.384597844086208, 2.657304699558163, 2.7719580480216726, 2.308395463256237]

ce_symbol  = TL:3
ce_fraction=  0.3654457489946257
species:coords:index
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
O1 : [3.23858166 5.8127638  9.38427566] : 58
O1 : [6.6645746  7.1046001  8.62143552] : 69
!!!atention to nb coordination!!!
         [2.3242572581038483, 2.384597844086206, 2.308395463256236]
         [2.3242572581038474, 2.384597844086208, 2.308395463256237]

ce_symbol  = TY:3
ce_fraction=  0.20223291511498043
species:coords:index
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
O1 : [3.23858166 5.8127638  9.38427566] : 58
O1 : [6.6645746  7.1046001  8.62143552] : 69
!!!atention to nb coordination!!!
         [2.3242572581038483, 2.384597844086206, 2.308395463256236]
         [2.3242572581038474, 2.384597844086208, 2.308395463256237]

ce_symbol  = TS:3
ce_fraction=  0.019440880802892663
species:coords:index
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
O1 : [3.23858166 5.8127638  9.38427566] : 58
O1 : [6.6645746  7.1046001  8.62143552] : 69
!!!atention to nb coordination!!!
         [2.3242572581038483, 2.384597844086206, 2.308395463256236]
         [2.3242572581038474, 2.384597844086208, 2.308395463256237]


**isite= 15
Na1 : [4.91858992 3.3889472  2.46503688]

ce_symbol  = ET:7
ce_fraction=  0.41288045508750604
species:coords:index
Na1 : [2.75571076 2.7195502  0.59045272] : 6
O1 : [5.66154178 0.7523223  3.28361906] : 55
Na1 : [4.64990334 2.4188211  5.0477514 ] : 17
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [5.19396976 2.2030155  0.4851622 ] : 51
O1 : [6.32321834 4.1782362  4.22297566] : 59
O1 : [5.57261704 5.7997755  1.5587126 ] : 63
!!!atention to nb coordination!!!
         [2.9394224564179665, 2.858993724195808, 2.771958048021672, 2.308395463256235, 2.324257258103847, 2.384597844086207, 2.6573046995581637]
         [2.939422456417966, 2.858993724195808, 2.771958048021673, 2.3083954632562356, 2.324257258103847, 2.384597844086208, 2.6573046995581637]

ce_symbol  = TL:3
ce_fraction=  0.36544574899462395
species:coords:index
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [5.19396976 2.2030155  0.4851622 ] : 51
O1 : [6.32321834 4.1782362  4.22297566] : 59
!!!atention to nb coordination!!!
         [2.308395463256235, 2.324257258103847, 2.384597844086207]
         [2.3083954632562356, 2.324257258103847, 2.384597844086208]

ce_symbol  = TY:3
ce_fraction=  0.20223291511497749
species:coords:index
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [5.19396976 2.2030155  0.4851622 ] : 51
O1 : [6.32321834 4.1782362  4.22297566] : 59
!!!atention to nb coordination!!!
