cif name= ./1529026.cif
./1529026.cif
Full Formula (K8 Os16 O48)
 62  O     0.061  0.75   0.25
 63  O     0      0.811  0.5
 64  O     0.75   0.439  0.25
 65  O     0.811  0.5    0
 66  O     0.75   0.061  0.25
 67  O     0.689  0.5    0.5
 68  O     0.75   0.75   0.939
 69  O     0.75   0.75   0.561
 70  O     0      0.5    0.811
 71  O     0      0.5    0.189

space_group_IT_number 227

*** lse ***


**isite= 0
K1 : [5.043 0.    5.043]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 5.043    -3.136746  5.043   ] : 25
O1 : [5.043    0.       8.179746] : 34
O1 : [1.906254 0.       5.043   ] : 31
O1 : [8.179746 0.       5.043   ] : 53
O1 : [5.043    0.       1.906254] : 35
O1 : [5.043    3.136746 5.043   ] : 27
!!!atention to nb coordination!!!
         [3.1367459999999996, 3.1367460000000014, 3.1367459999999996, 3.1367460000000014, 3.1367459999999996, 3.136746]
         [3.1367459999999996, 3.1367459999999996, 3.1367459999999996, 3.1367459999999996, 3.1367459999999996, 3.136746]


**isite= 1
K1 : [2.5215 2.5215 2.5215]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-0.615246  2.5215    2.5215  ] : 48
O1 : [2.5215   5.658246 2.5215  ] : 30
O1 : [ 2.5215   -0.615246  2.5215  ] : 28
O1 : [ 2.5215    2.5215   -0.615246] : 32
O1 : [5.658246 2.5215   2.5215  ] : 26
O1 : [2.5215   2.5215   5.658246] : 33
!!!atention to nb coordination!!!
         [3.136745999999999, 3.136745999999999, 3.136745999999999, 3.136745999999999, 3.136745999999999, 3.136745999999999]
         [3.1367459999999996, 3.136745999999999, 3.1367459999999996, 3.1367459999999996, 3.136745999999999, 3.136745999999999]


**isite= 2
K1 : [5.043 5.043 0.   ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.043    8.179746 0.      ] : 39
O1 : [5.043    5.043    3.136746] : 46
O1 : [5.043    1.906254 0.      ] : 37
O1 : [8.179746 5.043    0.      ] : 65
O1 : [1.906254 5.043    0.      ] : 43
O1 : [ 5.043     5.043    -3.136746] : 47
!!!atention to nb coordination!!!
         [3.1367460000000014, 3.136746, 3.1367459999999996, 3.1367460000000014, 3.1367459999999996, 3.1367459999999996]
         [3.1367459999999996, 3.1367459999999996, 3.1367459999999996, 3.1367459999999996, 3.1367459999999996, 3.1367459999999996]


**isite= 3
K1 : [2.5215 7.5645 7.5645]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 2.5215    7.5645   10.701246] : 45
O1 : [-0.615246  7.5645    7.5645  ] : 60
O1 : [2.5215   7.5645   4.427754] : 44
O1 : [5.658246 7.5645   7.5645  ] : 38
O1 : [ 2.5215   10.701246  7.5645  ] : 42
O1 : [2.5215   4.427754 7.5645  ] : 40


**isite= 4
K1 : [0. 0. 0.]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-3.136746  0.        0.      ] : 55
O1 : [ 0.        0.       -3.136746] : 59
O1 : [3.136746 0.       0.      ] : 29
O1 : [0.       3.136746 0.      ] : 51
O1 : [ 0.       -3.136746  0.      ] : 49
O1 : [0.       0.       3.136746] : 58


**isite= 5
K1 : [7.5645 2.5215 7.5645]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.5645   5.658246 7.5645  ] : 54
O1 : [ 7.5645   -0.615246  7.5645  ] : 52
O1 : [4.427754 2.5215   7.5645  ] : 24
O1 : [ 7.5645    2.5215   10.701246] : 57
O1 : [7.5645   2.5215   4.427754] : 56
O1 : [10.701246  2.5215    7.5645  ] : 50
!!!atention to nb coordination!!!
         [3.136745999999999, 3.136745999999999, 3.1367459999999996, 3.1367459999999987, 3.1367459999999996, 3.1367459999999987]
         [3.136745999999999, 3.1367459999999996, 3.1367460000000005, 3.1367459999999987, 3.1367459999999996, 3.1367459999999987]


**isite= 6
K1 : [0.    5.043 5.043]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.       5.043    1.906254] : 71
O1 : [3.136746 5.043    5.043   ] : 41
O1 : [0.       8.179746 5.043   ] : 63
O1 : [0.       5.043    8.179746] : 70
O1 : [-3.136746  5.043     5.043   ] : 67
O1 : [0.       1.906254 5.043   ] : 61
!!!atention to nb coordination!!!
         [3.1367459999999996, 3.136746, 3.1367460000000014, 3.1367460000000014, 3.1367459999999996, 3.1367459999999996]
         [3.1367459999999996, 3.136746, 3.1367459999999996, 3.1367459999999996, 3.1367459999999996, 3.1367459999999996]


**isite= 7
K1 : [7.5645 7.5645 2.5215]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 7.5645   10.701246  2.5215  ] : 66
O1 : [7.5645   4.427754 2.5215  ] : 64
O1 : [4.427754 7.5645   2.5215  ] : 36
O1 : [7.5645   7.5645   5.658246] : 69
O1 : [10.701246  7.5645    2.5215  ] : 62
O1 : [ 7.5645    7.5645   -0.615246] : 68
!!!atention to nb coordination!!!
         [3.1367459999999987, 3.1367459999999996, 3.1367459999999996, 3.136745999999999, 3.1367459999999987, 3.136745999999999]
         [3.1367459999999987, 3.1367459999999996, 3.1367460000000005, 3.136745999999999, 3.1367459999999987, 3.1367459999999996]


**isite= 8
Os1 : [1.26075 1.26075 6.30375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.       1.906254 5.043   ] : 61
O1 : [2.5215   0.615246 7.5645  ] : 42
O1 : [2.5215   2.5215   5.658246] : 33
O1 : [0.615246 2.5215   7.5645  ] : 50
O1 : [1.906254 0.       5.043   ] : 31
O1 : [0.       0.       6.949254] : 59
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772391, 1.8962216481772383, 1.8962216481772391, 1.8962216481772378, 1.8962216481772383]
         [1.8962216481772378, 1.8962216481772385, 1.8962216481772383, 1.8962216481772385, 1.8962216481772378, 1.8962216481772383]


**isite= 9
Os1 : [1.26075 8.82525 3.78225]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.5215   7.5645   4.427754] : 44
O1 : [ 0.       10.086     3.136746] : 58
O1 : [0.615246 7.5645   2.5215  ] : 62
O1 : [0.       8.179746 5.043   ] : 63
O1 : [ 1.906254 10.086     5.043   ] : 31
O1 : [2.5215   9.470754 2.5215  ] : 28
!!!atention to nb coordination!!!
         [1.8962216481772374, 1.8962216481772376, 1.8962216481772374, 1.8962216481772374, 1.8962216481772376, 1.8962216481772383]
         [1.8962216481772378, 1.8962216481772378, 1.8962216481772378, 1.8962216481772378, 1.8962216481772376, 1.8962216481772383]


**isite= 10
Os1 : [3.78225 3.78225 6.30375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.043    5.043    6.949254] : 47
O1 : [2.5215   4.427754 7.5645  ] : 40
O1 : [4.427754 2.5215   7.5645  ] : 24
O1 : [2.5215   2.5215   5.658246] : 33
O1 : [3.136746 5.043    5.043   ] : 41
O1 : [5.043    3.136746 5.043   ] : 27
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772391, 1.8962216481772391, 1.8962216481772385, 1.8962216481772376, 1.8962216481772376]
         [1.8962216481772376, 1.8962216481772387, 1.8962216481772385, 1.8962216481772385, 1.8962216481772376, 1.8962216481772376]


**isite= 11
Os1 : [3.78225 1.26075 8.82525]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 5.043     1.906254 10.086   ] : 37
O1 : [5.043    0.       8.179746] : 34
O1 : [ 3.136746  0.       10.086   ] : 29
O1 : [4.427754 2.5215   7.5645  ] : 24
O1 : [2.5215   0.615246 7.5645  ] : 42
O1 : [2.5215   2.5215   9.470754] : 32
!!!atention to nb coordination!!!
         [1.8962216481772376, 1.8962216481772372, 1.8962216481772378, 1.8962216481772374, 1.8962216481772374, 1.8962216481772383]
         [1.8962216481772376, 1.8962216481772378, 1.8962216481772378, 1.8962216481772376, 1.896221648177238, 1.8962216481772383]


**isite= 12
Os1 : [1.26075 6.30375 1.26075]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.5215   7.5645   0.615246] : 45
O1 : [0.       6.949254 0.      ] : 49
O1 : [1.906254 5.043    0.      ] : 43
O1 : [0.615246 7.5645   2.5215  ] : 62
O1 : [2.5215   5.658246 2.5215  ] : 30
O1 : [0.       5.043    1.906254] : 71
!!!atention to nb coordination!!!
         [1.8962216481772391, 1.896221648177238, 1.8962216481772378, 1.896221648177239, 1.896221648177238, 1.8962216481772378]
         [1.8962216481772385, 1.8962216481772383, 1.8962216481772378, 1.8962216481772385, 1.8962216481772383, 1.8962216481772378]


**isite= 13
Os1 : [1.26075 3.78225 8.82525]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.615246 2.5215   7.5645  ] : 50
O1 : [2.5215   4.427754 7.5645  ] : 40
O1 : [0.       5.043    8.179746] : 70
O1 : [2.5215   2.5215   9.470754] : 32
O1 : [ 0.        3.136746 10.086   ] : 51
O1 : [ 1.906254  5.043    10.086   ] : 43
!!!atention to nb coordination!!!
         [1.8962216481772374, 1.8962216481772374, 1.8962216481772372, 1.8962216481772383, 1.8962216481772378, 1.8962216481772376]
         [1.896221648177238, 1.8962216481772378, 1.8962216481772378, 1.8962216481772383, 1.8962216481772378, 1.8962216481772376]


**isite= 14
Os1 : [3.78225 8.82525 1.26075]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 5.043    10.086     1.906254] : 35
O1 : [5.043    8.179746 0.      ] : 39
O1 : [ 3.136746 10.086     0.      ] : 29
O1 : [4.427754 7.5645   2.5215  ] : 36
O1 : [2.5215   9.470754 2.5215  ] : 28
O1 : [2.5215   7.5645   0.615246] : 45
!!!atention to nb coordination!!!
         [1.8962216481772376, 1.8962216481772372, 1.8962216481772376, 1.8962216481772372, 1.8962216481772383, 1.8962216481772374]
         [1.8962216481772376, 1.8962216481772378, 1.8962216481772376, 1.8962216481772376, 1.8962216481772383, 1.8962216481772378]


**isite= 15
Os1 : [3.78225 6.30375 3.78225]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.043    6.949254 5.043   ] : 25
O1 : [2.5215   7.5645   4.427754] : 44
O1 : [4.427754 7.5645   2.5215  ] : 36
O1 : [2.5215   5.658246 2.5215  ] : 30
O1 : [3.136746 5.043    5.043   ] : 41
O1 : [5.043    5.043    3.136746] : 46
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772394, 1.8962216481772394, 1.8962216481772385, 1.8962216481772376, 1.8962216481772376]
         [1.8962216481772378, 1.8962216481772387, 1.8962216481772385, 1.8962216481772385, 1.8962216481772376, 1.8962216481772376]


**isite= 16
Os1 : [6.30375 1.26075 1.26075]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.658246 2.5215   2.5215  ] : 26
O1 : [5.043    0.       1.906254] : 35
O1 : [7.5645   0.615246 2.5215  ] : 66
O1 : [5.043    1.906254 0.      ] : 37
O1 : [6.949254 0.       0.      ] : 55
O1 : [7.5645   2.5215   0.615246] : 57
!!!atention to nb coordination!!!
         [1.896221648177238, 1.8962216481772378, 1.896221648177239, 1.8962216481772378, 1.896221648177238, 1.896221648177239]
         [1.8962216481772383, 1.8962216481772378, 1.8962216481772385, 1.8962216481772378, 1.8962216481772383, 1.8962216481772385]


**isite= 17
Os1 : [6.30375 8.82525 8.82525]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.5645   7.5645   9.470754] : 68
O1 : [ 5.043    10.086     8.179746] : 34
O1 : [7.5645   9.470754 7.5645  ] : 52
O1 : [5.658246 7.5645   7.5645  ] : 38
O1 : [ 5.043     8.179746 10.086   ] : 39
O1 : [ 6.949254 10.086    10.086   ] : 55
!!!atention to nb coordination!!!
         [1.8962216481772385, 1.8962216481772372, 1.8962216481772385, 1.8962216481772365, 1.8962216481772372, 1.8962216481772376]
         [1.8962216481772385, 1.8962216481772376, 1.8962216481772383, 1.8962216481772378, 1.8962216481772378, 1.8962216481772378]


**isite= 18
Os1 : [8.82525 3.78225 1.26075]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.086     3.136746  0.      ] : 51
O1 : [8.179746 5.043    0.      ] : 65
O1 : [7.5645   2.5215   0.615246] : 57
O1 : [9.470754 2.5215   2.5215  ] : 48
O1 : [10.086     5.043     1.906254] : 71
O1 : [7.5645   4.427754 2.5215  ] : 64
!!!atention to nb coordination!!!
         [1.8962216481772376, 1.8962216481772372, 1.8962216481772374, 1.8962216481772383, 1.8962216481772376, 1.8962216481772374]
         [1.8962216481772376, 1.8962216481772378, 1.8962216481772378, 1.8962216481772383, 1.8962216481772376, 1.8962216481772378]


**isite= 19
Os1 : [8.82525 1.26075 3.78225]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.5645   0.615246 2.5215  ] : 66
O1 : [9.470754 2.5215   2.5215  ] : 48
O1 : [10.086     1.906254  5.043   ] : 61
O1 : [10.086     0.        3.136746] : 58
O1 : [7.5645   2.5215   4.427754] : 56
O1 : [8.179746 0.       5.043   ] : 53
!!!atention to nb coordination!!!
         [1.8962216481772374, 1.8962216481772383, 1.8962216481772376, 1.8962216481772376, 1.8962216481772374, 1.8962216481772374]
         [1.8962216481772378, 1.8962216481772383, 1.8962216481772376, 1.8962216481772378, 1.8962216481772378, 1.8962216481772378]


**isite= 20
Os1 : [6.30375 6.30375 6.30375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.658246 7.5645   7.5645  ] : 38
O1 : [7.5645   7.5645   5.658246] : 69
O1 : [7.5645   5.658246 7.5645  ] : 54
O1 : [5.043    5.043    6.949254] : 47
O1 : [5.043    6.949254 5.043   ] : 25
O1 : [6.949254 5.043    5.043   ] : 67
!!!atention to nb coordination!!!
         [1.8962216481772403, 1.8962216481772403, 1.8962216481772403, 1.8962216481772378, 1.8962216481772378, 1.8962216481772376]
         [1.896221648177239, 1.896221648177239, 1.896221648177239, 1.8962216481772376, 1.8962216481772378, 1.8962216481772378]


**isite= 21
Os1 : [6.30375 3.78225 3.78225]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.5645   2.5215   4.427754] : 56
O1 : [7.5645   4.427754 2.5215  ] : 64
O1 : [5.043    5.043    3.136746] : 46
O1 : [5.658246 2.5215   2.5215  ] : 26
O1 : [5.043    3.136746 5.043   ] : 27
O1 : [6.949254 5.043    5.043   ] : 67
!!!atention to nb coordination!!!
         [1.8962216481772394, 1.8962216481772394, 1.8962216481772376, 1.8962216481772385, 1.8962216481772376, 1.8962216481772376]
         [1.8962216481772387, 1.8962216481772387, 1.8962216481772376, 1.8962216481772385, 1.8962216481772376, 1.8962216481772378]


**isite= 22
Os1 : [8.82525 8.82525 6.30375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [9.470754 7.5645   7.5645  ] : 60
O1 : [10.086     8.179746  5.043   ] : 63
O1 : [7.5645   7.5645   5.658246] : 69
O1 : [10.086    10.086     6.949254] : 59
O1 : [7.5645   9.470754 7.5645  ] : 52
O1 : [ 8.179746 10.086     5.043   ] : 53
!!!atention to nb coordination!!!
         [1.8962216481772383, 1.8962216481772372, 1.8962216481772367, 1.8962216481772378, 1.8962216481772385, 1.8962216481772372]
         [1.8962216481772385, 1.8962216481772378, 1.8962216481772376, 1.8962216481772376, 1.8962216481772385, 1.8962216481772378]


**isite= 23
Os1 : [8.82525 6.30375 8.82525]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.5645   5.658246 7.5645  ] : 54
O1 : [7.5645   7.5645   9.470754] : 68
O1 : [ 8.179746  5.043    10.086   ] : 65
O1 : [10.086     6.949254 10.086   ] : 49
O1 : [9.470754 7.5645   7.5645  ] : 60
O1 : [10.086     5.043     8.179746] : 70
!!!atention to nb coordination!!!
         [1.8962216481772367, 1.8962216481772385, 1.8962216481772372, 1.8962216481772378, 1.8962216481772385, 1.8962216481772372]
         [1.8962216481772378, 1.8962216481772385, 1.8962216481772378, 1.8962216481772378, 1.8962216481772383, 1.8962216481772376]


**isite= 24
O1 : [4.427754 2.5215   7.5645  ]

ce_symbol  = A:2
ce_fraction=  0.967909747287672
species:coords:index
Os1 : [3.78225 1.26075 8.82525] : 11
Os1 : [3.78225 3.78225 6.30375] : 10
!!!atention to nb coordination!!!
         [1.8962216481772387, 1.8962216481772385]
         [1.8962216481772376, 1.8962216481772385]

ce_symbol  = L:2
ce_fraction=  0.032090252712327974
species:coords:index
Os1 : [3.78225 1.26075 8.82525] : 11
Os1 : [3.78225 3.78225 6.30375] : 10
!!!atention to nb coordination!!!
         [1.8962216481772387, 1.8962216481772385]
         [1.8962216481772376, 1.8962216481772385]


**isite= 25
O1 : [5.043    6.949254 5.043   ]

ce_symbol  = A:2
ce_fraction=  0.967909747287673
species:coords:index
Os1 : [6.30375 6.30375 6.30375] : 20
Os1 : [3.78225 6.30375 3.78225] : 15
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772372]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.032090252712327086
species:coords:index
Os1 : [6.30375 6.30375 6.30375] : 20
Os1 : [3.78225 6.30375 3.78225] : 15
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772372]
         [1.8962216481772378, 1.8962216481772378]


**isite= 26
O1 : [5.658246 2.5215   2.5215  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [6.30375 3.78225 3.78225] : 21
Os1 : [6.30375 1.26075 1.26075] : 16
!!!atention to nb coordination!!!
         [1.896221648177239, 1.896221648177238]
         [1.8962216481772385, 1.8962216481772383]

ce_symbol  = L:2
ce_fraction=  0.03209025271232726
species:coords:index
Os1 : [6.30375 3.78225 3.78225] : 21
Os1 : [6.30375 1.26075 1.26075] : 16
!!!atention to nb coordination!!!
         [1.896221648177239, 1.896221648177238]
         [1.8962216481772385, 1.8962216481772383]


**isite= 27
O1 : [5.043    3.136746 5.043   ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876727
species:coords:index
Os1 : [6.30375 3.78225 3.78225] : 21
Os1 : [3.78225 3.78225 6.30375] : 10
!!!atention to nb coordination!!!
         [1.8962216481772374, 1.8962216481772374]
         [1.8962216481772376, 1.8962216481772376]

ce_symbol  = L:2
ce_fraction=  0.03209025271232745
species:coords:index
Os1 : [6.30375 3.78225 3.78225] : 21
Os1 : [3.78225 3.78225 6.30375] : 10
!!!atention to nb coordination!!!
         [1.8962216481772374, 1.8962216481772374]
         [1.8962216481772376, 1.8962216481772376]


**isite= 28
O1 : [2.5215   9.470754 2.5215  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876729
species:coords:index
Os1 : [1.26075 8.82525 3.78225] : 9
Os1 : [3.78225 8.82525 1.26075] : 14
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772378]
         [1.8962216481772383, 1.8962216481772383]

ce_symbol  = L:2
ce_fraction=  0.03209025271232717
species:coords:index
Os1 : [1.26075 8.82525 3.78225] : 9
Os1 : [3.78225 8.82525 1.26075] : 14
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772378]
         [1.8962216481772383, 1.8962216481772383]


**isite= 29
O1 : [3.136746 0.       0.      ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876724
species:coords:index
Os1 : [ 3.78225  1.26075 -1.26075] : 11
Os1 : [ 3.78225 -1.26075  1.26075] : 14
!!!atention to nb coordination!!!
         [1.8962216481772367, 1.8962216481772367]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232753
species:coords:index
Os1 : [ 3.78225  1.26075 -1.26075] : 11
Os1 : [ 3.78225 -1.26075  1.26075] : 14
!!!atention to nb coordination!!!
         [1.8962216481772367, 1.8962216481772367]
         [1.8962216481772378, 1.8962216481772378]


**isite= 30
O1 : [2.5215   5.658246 2.5215  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [3.78225 6.30375 3.78225] : 15
Os1 : [1.26075 6.30375 1.26075] : 12
!!!atention to nb coordination!!!
         [1.896221648177239, 1.896221648177238]
         [1.8962216481772385, 1.8962216481772383]

ce_symbol  = L:2
ce_fraction=  0.032090252712327176
species:coords:index
Os1 : [3.78225 6.30375 3.78225] : 15
Os1 : [1.26075 6.30375 1.26075] : 12
!!!atention to nb coordination!!!
         [1.896221648177239, 1.896221648177238]
         [1.8962216481772385, 1.8962216481772383]


**isite= 31
O1 : [1.906254 0.       5.043   ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876725
species:coords:index
Os1 : [1.26075 1.26075 6.30375] : 8
Os1 : [ 1.26075 -1.26075  3.78225] : 9
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772363]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.032090252712327516
species:coords:index
Os1 : [1.26075 1.26075 6.30375] : 8
Os1 : [ 1.26075 -1.26075  3.78225] : 9
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772363]
         [1.8962216481772378, 1.8962216481772378]


**isite= 32
O1 : [2.5215   2.5215   9.470754]

ce_symbol  = A:2
ce_fraction=  0.9679097472876727
species:coords:index
Os1 : [3.78225 1.26075 8.82525] : 11
Os1 : [1.26075 3.78225 8.82525] : 13
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772378]
         [1.8962216481772383, 1.8962216481772383]

ce_symbol  = L:2
ce_fraction=  0.03209025271232732
species:coords:index
Os1 : [3.78225 1.26075 8.82525] : 11
Os1 : [1.26075 3.78225 8.82525] : 13
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772378]
         [1.8962216481772383, 1.8962216481772383]


**isite= 33
O1 : [2.5215   2.5215   5.658246]

ce_symbol  = A:2
ce_fraction=  0.9679097472876729
species:coords:index
Os1 : [3.78225 3.78225 6.30375] : 10
Os1 : [1.26075 1.26075 6.30375] : 8
!!!atention to nb coordination!!!
         [1.896221648177239, 1.8962216481772383]
         [1.8962216481772385, 1.8962216481772383]

ce_symbol  = L:2
ce_fraction=  0.03209025271232714
species:coords:index
Os1 : [3.78225 3.78225 6.30375] : 10
Os1 : [1.26075 1.26075 6.30375] : 8
!!!atention to nb coordination!!!
         [1.896221648177239, 1.8962216481772383]
         [1.8962216481772385, 1.8962216481772383]


**isite= 34
O1 : [5.043    0.       8.179746]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [ 6.30375 -1.26075  8.82525] : 17
Os1 : [3.78225 1.26075 8.82525] : 11
!!!atention to nb coordination!!!
         [1.8962216481772372, 1.8962216481772383]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232725
species:coords:index
Os1 : [ 6.30375 -1.26075  8.82525] : 17
Os1 : [3.78225 1.26075 8.82525] : 11
!!!atention to nb coordination!!!
         [1.8962216481772372, 1.8962216481772383]
         [1.8962216481772378, 1.8962216481772378]


**isite= 35
O1 : [5.043    0.       1.906254]

ce_symbol  = A:2
ce_fraction=  0.9679097472876725
species:coords:index
Os1 : [ 3.78225 -1.26075  1.26075] : 14
Os1 : [6.30375 1.26075 1.26075] : 16
!!!atention to nb coordination!!!
         [1.8962216481772363, 1.8962216481772378]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232741
species:coords:index
Os1 : [ 3.78225 -1.26075  1.26075] : 14
Os1 : [6.30375 1.26075 1.26075] : 16
!!!atention to nb coordination!!!
         [1.8962216481772363, 1.8962216481772378]
         [1.8962216481772378, 1.8962216481772378]


**isite= 36
O1 : [4.427754 7.5645   2.5215  ]

ce_symbol  = A:2
ce_fraction=  0.967909747287672
species:coords:index
Os1 : [3.78225 6.30375 3.78225] : 15
Os1 : [3.78225 8.82525 1.26075] : 14
!!!atention to nb coordination!!!
         [1.8962216481772385, 1.8962216481772387]
         [1.8962216481772385, 1.8962216481772376]

ce_symbol  = L:2
ce_fraction=  0.032090252712327995
species:coords:index
Os1 : [3.78225 6.30375 3.78225] : 15
Os1 : [3.78225 8.82525 1.26075] : 14
!!!atention to nb coordination!!!
         [1.8962216481772385, 1.8962216481772387]
         [1.8962216481772385, 1.8962216481772376]


**isite= 37
O1 : [5.043    1.906254 0.      ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876727
species:coords:index
Os1 : [ 3.78225  1.26075 -1.26075] : 11
Os1 : [6.30375 1.26075 1.26075] : 16
!!!atention to nb coordination!!!
         [1.8962216481772363, 1.8962216481772378]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232736
species:coords:index
Os1 : [ 3.78225  1.26075 -1.26075] : 11
Os1 : [6.30375 1.26075 1.26075] : 16
!!!atention to nb coordination!!!
         [1.8962216481772363, 1.8962216481772378]
         [1.8962216481772378, 1.8962216481772378]


**isite= 38
O1 : [5.658246 7.5645   7.5645  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876727
species:coords:index
