cif name= ./1562439.cif
./1562439.cif
Full Formula (U12 W4 O68)
 66  O     0.9137   0.2593   0.532
 67  O     0.9137   0.7407   0.032
 68  O     0.7593   0.6745   0.5339
 69  O     0.7593   0.3255   0.0339
 70  O     0.7153   0.5174   0.8237
 71  O     0.7153   0.4826   0.3237
 72  O     0.9409   0.1804   0.0001
 73  O     0.9409   0.8196   0.5001
 74  O     0.632    0.4733   0.569
 75  O     0.632    0.5267   0.069
 76  O     0.1178   0.383    0.4814
 77  O     0.1178   0.617    0.9814
 78  O     0.9955   0.0058   0.8189
 79  O     0.9955   0.9942   0.3189
 80  O     0.0275   0.7592   0.725
 81  O     0.0275   0.2408   0.225
 82  O     0.32     0.4912   0.0778
 83  O     0.32     0.5088   0.5778

space_group_IT_number 9

*** lse ***


**isite= 0
U1 : [4.94172156 8.95681668 6.92340315]

ce_symbol  = TS:3
ce_fraction=  0.9782940656609143
species:coords:index
O1 : [ 5.83844271 10.1724768   7.88757522] : 18
O1 : [4.11479304 7.7737134  5.88031112] : 32
O1 : [4.16214228 8.0081636  8.7243037 ] : 28
!!!atention to nb coordination!!!
         [1.7920842953923173, 1.7808944753451457, 2.179662657665889]
         [1.792084295392316, 1.7808944753451457, 2.1796626576658897]

ce_symbol  = L:2
ce_fraction=  0.019478265900419452
species:coords:index
O1 : [ 5.83844271 10.1724768   7.88757522] : 18
O1 : [4.11479304 7.7737134  5.88031112] : 32
!!!atention to nb coordination!!!
         [1.7920842953923173, 1.7808944753451457]
         [1.792084295392316, 1.7808944753451457]

ce_symbol  = TL:3
ce_fraction=  0.002227668438666231
species:coords:index
O1 : [ 5.83844271 10.1724768   7.88757522] : 18
O1 : [4.11479304 7.7737134  5.88031112] : 32
O1 : [4.16214228 8.0081636  8.7243037 ] : 28
!!!atention to nb coordination!!!
         [1.7920842953923173, 1.7808944753451457, 2.179662657665889]
         [1.792084295392316, 1.7808944753451457, 2.1796626576658897]


**isite= 1
U1 : [6.120875   1.28118332 1.39679496]

ce_symbol  = TS:3
ce_fraction=  0.9782940656609141
species:coords:index
O1 : [5.34129572 2.2298364  3.1976955 ] : 29
O1 : [7.01759615 0.0655232  2.36096702] : 19
O1 : [5.29394648 2.4642866  0.35370292] : 33

ce_symbol  = L:2
ce_fraction=  0.019478265900419477
species:coords:index
O1 : [7.01759615 0.0655232  2.36096702] : 19
O1 : [5.29394648 2.4642866  0.35370292] : 33

ce_symbol  = TL:3
ce_fraction=  0.002227668438666297
species:coords:index
O1 : [5.34129572 2.2298364  3.1976955 ] : 29
O1 : [7.01759615 0.0655232  2.36096702] : 19
O1 : [5.29394648 2.4642866  0.35370292] : 33


**isite= 2
U1 : [5.47440111 6.50788708 9.75501613]

ce_symbol  = L:2
ce_fraction=  0.9499480604161725
species:coords:index
O1 : [4.49987699 5.1783804  9.0514789 ] : 44
O1 : [ 6.38875681  7.8095464  10.50939815] : 26
!!!atention to nb coordination!!!
         [1.7922750601067805, 1.76052707196901]
         [1.7922750601067803, 1.7605270719690096]

ce_symbol  = T:5
ce_fraction=  0.04689599144883939
species:coords:index
O1 : [4.49987699 5.1783804  9.0514789 ] : 44
O1 : [4.16214228 8.0081636  8.7243037 ] : 28
O1 : [ 5.68169794  5.3923546  11.81588832] : 75
O1 : [7.34134132 5.2971412  9.10453434] : 70
O1 : [ 6.38875681  7.8095464  10.50939815] : 26
!!!atention to nb coordination!!!
         [1.7922750601067805, 2.2439298099079124, 2.352568575109956, 2.318296332788033, 1.76052707196901]
         [1.7922750601067803, 2.243929809907912, 2.352568575109956, 2.3182963327880333, 1.7605270719690096]

ce_symbol  = S:5
ce_fraction=  0.0023372476331337136
species:coords:index
O1 : [4.49987699 5.1783804  9.0514789 ] : 44
O1 : [4.16214228 8.0081636  8.7243037 ] : 28
O1 : [ 5.68169794  5.3923546  11.81588832] : 75
O1 : [7.34134132 5.2971412  9.10453434] : 70
O1 : [ 6.38875681  7.8095464  10.50939815] : 26
!!!atention to nb coordination!!!
         [1.7922750601067805, 2.2439298099079124, 2.352568575109956, 2.318296332788033, 1.76052707196901]
         [1.7922750601067803, 2.243929809907912, 2.352568575109956, 2.3182963327880333, 1.7605270719690096]

ce_symbol  = O:6
ce_fraction=  0.000554490182671298
species:coords:index
O1 : [6.43520597 7.197314   7.63335124] : 22
O1 : [4.49987699 5.1783804  9.0514789 ] : 44
O1 : [4.16214228 8.0081636  8.7243037 ] : 28
O1 : [ 5.68169794  5.3923546  11.81588832] : 75
O1 : [7.34134132 5.2971412  9.10453434] : 70
O1 : [ 6.38875681  7.8095464  10.50939815] : 26
!!!atention to nb coordination!!!
         [2.4289745453253286, 1.7922750601067805, 2.2439298099079124, 2.352568575109956, 2.318296332788033, 1.76052707196901]
         [2.4289745453253286, 1.7922750601067803, 2.243929809907912, 2.352568575109956, 2.3182963327880333, 1.7605270719690096]

ce_symbol  = T:6
ce_fraction=  0.0002642103191831236
species:coords:index
O1 : [6.43520597 7.197314   7.63335124] : 22
O1 : [4.49987699 5.1783804  9.0514789 ] : 44
O1 : [4.16214228 8.0081636  8.7243037 ] : 28
O1 : [ 5.68169794  5.3923546  11.81588832] : 75
O1 : [7.34134132 5.2971412  9.10453434] : 70
O1 : [ 6.38875681  7.8095464  10.50939815] : 26
!!!atention to nb coordination!!!
         [2.4289745453253286, 1.7922750601067805, 2.2439298099079124, 2.352568575109956, 2.318296332788033, 1.76052707196901]
         [2.4289745453253286, 1.7922750601067803, 2.243929809907912, 2.352568575109956, 2.3182963327880333, 1.7605270719690096]


**isite= 3
U1 : [6.65355455 3.73011292 4.22840793]

ce_symbol  = L:2
ce_fraction=  0.949948060416172
species:coords:index
O1 : [7.56791026 2.4284536  4.98278995] : 27
O1 : [5.67903043 5.0596196  3.52487071] : 45
!!!atention to nb coordination!!!
         [1.7605270719690085, 1.7922750601067812]
         [1.760527071969009, 1.792275060106781]

ce_symbol  = T:5
ce_fraction=  0.04689599144883991
species:coords:index
O1 : [6.86085138 4.8456454  6.28928013] : 74
O1 : [7.56791026 2.4284536  4.98278995] : 27
O1 : [5.34129572 2.2298364  3.1976955 ] : 29
O1 : [5.67903043 5.0596196  3.52487071] : 45
O1 : [8.52049476 4.9408588  3.57792615] : 71
!!!atention to nb coordination!!!
         [2.352568575109957, 1.7605270719690085, 2.243929809907911, 1.7922750601067812, 2.318296332788034]
         [2.3525685751099563, 1.760527071969009, 2.243929809907911, 1.792275060106781, 2.318296332788034]

ce_symbol  = S:5
ce_fraction=  0.0023372476331337015
species:coords:index
O1 : [6.86085138 4.8456454  6.28928013] : 74
O1 : [7.56791026 2.4284536  4.98278995] : 27
O1 : [5.34129572 2.2298364  3.1976955 ] : 29
O1 : [5.67903043 5.0596196  3.52487071] : 45
O1 : [8.52049476 4.9408588  3.57792615] : 71
!!!atention to nb coordination!!!
         [2.352568575109957, 1.7605270719690085, 2.243929809907911, 1.7922750601067812, 2.318296332788034]
         [2.3525685751099563, 1.760527071969009, 2.243929809907911, 1.792275060106781, 2.318296332788034]

ce_symbol  = O:6
ce_fraction=  0.0005544901826713139
species:coords:index
O1 : [6.86085138 4.8456454  6.28928013] : 74
O1 : [7.56791026 2.4284536  4.98278995] : 27
O1 : [5.34129572 2.2298364  3.1976955 ] : 29
O1 : [7.61435941 3.040686   2.10674304] : 23
O1 : [5.67903043 5.0596196  3.52487071] : 45
O1 : [8.52049476 4.9408588  3.57792615] : 71
!!!atention to nb coordination!!!
         [2.352568575109957, 1.7605270719690085, 2.243929809907911, 2.428974545325331, 1.7922750601067812, 2.318296332788034]
         [2.3525685751099563, 1.760527071969009, 2.243929809907911, 2.4289745453253304, 1.792275060106781, 2.318296332788034]

ce_symbol  = T:6
ce_fraction=  0.00026421031918311247
species:coords:index
O1 : [6.86085138 4.8456454  6.28928013] : 74
O1 : [7.56791026 2.4284536  4.98278995] : 27
O1 : [5.34129572 2.2298364  3.1976955 ] : 29
O1 : [7.61435941 3.040686   2.10674304] : 23
O1 : [5.67903043 5.0596196  3.52487071] : 45
O1 : [8.52049476 4.9408588  3.57792615] : 71
!!!atention to nb coordination!!!
         [2.352568575109957, 1.7605270719690085, 2.243929809907911, 2.428974545325331, 1.7922750601067812, 2.318296332788034]
         [2.3525685751099563, 1.760527071969009, 2.243929809907911, 2.4289745453253304, 1.792275060106781, 2.318296332788034]


**isite= 4
U1 : [2.32081781 8.77304458 9.63309915]

ce_symbol  = PB:7
ce_fraction=  0.9988576251071251
species:coords:index
O1 : [4.16214228 8.0081636  8.7243037 ] : 28
O1 : [2.84650914 9.9830738  7.60903417] : 16
O1 : [ 3.3014289   9.9472408  10.67188043] : 24
O1 : [ 3.36389838  6.9659352  11.05432171] : 38
O1 : [1.37024395 7.540287   8.74309417] : 54
O1 : [ 0.85184132 10.4161412   9.10453434] : 36
O1 : [ 0.92720121  8.451469   11.42792043] : 35
!!!atention to nb coordination!!!
         [2.191216069115876, 2.4160631514072866, 1.8491623540186746, 2.524586097618316, 1.7931510770582106, 2.2665037394598584, 2.2949861670008653]
         [2.191216069115876, 2.4160631514072852, 1.8491623540186732, 2.5245860976183168, 1.7931510770582106, 2.2665037394598584, 2.2949861670008658]

ce_symbol  = L:2
ce_fraction=  0.0011423748928749264
species:coords:index
O1 : [ 3.3014289   9.9472408  10.67188043] : 24
O1 : [1.37024395 7.540287   8.74309417] : 54
!!!atention to nb coordination!!!
         [1.8491623540186746, 1.7931510770582106]
         [1.8491623540186732, 1.7931510770582106]


**isite= 5
U1 : [3.49997126 1.46495542 4.10649095]

ce_symbol  = PB:7
ce_fraction=  0.9988576251071251
species:coords:index
O1 : [4.02566258 0.2549262  2.08242597] : 17
O1 : [5.34129572 2.2298364  3.1976955 ] : 29
O1 : [4.48058235 0.2907592  5.14527223] : 25
O1 : [2.5493974  2.697713   3.21648597] : 55
O1 : [4.54305183 3.2720648  5.52771352] : 39
O1 : [ 2.03099476 -0.1781412   3.57792615] : 37
O1 : [2.10635465 1.786531   5.90131223] : 34
!!!atention to nb coordination!!!
         [2.4160631514072852, 2.191216069115877, 1.849162354018673, 1.7931510770582113, 2.524586097618315, 2.266503739459857, 2.2949861670008644]
         [2.4160631514072852, 2.1912160691158764, 1.849162354018673, 1.793151077058211, 2.524586097618316, 2.2665037394598593, 2.2949861670008644]

ce_symbol  = L:2
ce_fraction=  0.0011423748928749186
species:coords:index
O1 : [4.48058235 0.2907592  5.14527223] : 25
O1 : [2.5493974  2.697713   3.21648597] : 55
!!!atention to nb coordination!!!
         [1.849162354018673, 1.7931510770582113]
         [1.849162354018673, 1.793151077058211]


**isite= 6
U1 : [11.43122156  3.83781668  6.92340315]

ce_symbol  = TS:3
ce_fraction=  0.9782940656609141
species:coords:index
O1 : [10.65164228  2.8891636   8.7243037 ] : 62
O1 : [12.32794271  5.0534768   7.88757522] : 52
O1 : [10.60429304  2.6547134   5.88031112] : 66
!!!atention to nb coordination!!!
         [2.1796626576658897, 1.792084295392314, 1.7808944753451459]
         [2.1796626576658906, 1.792084295392314, 1.780894475345147]

ce_symbol  = L:2
ce_fraction=  0.019478265900419792
species:coords:index
O1 : [12.32794271  5.0534768   7.88757522] : 52
O1 : [10.60429304  2.6547134   5.88031112] : 66
!!!atention to nb coordination!!!
         [1.792084295392314, 1.7808944753451459]
         [1.792084295392314, 1.780894475345147]

ce_symbol  = TL:3
ce_fraction=  0.0022276684386662
species:coords:index
O1 : [10.65164228  2.8891636   8.7243037 ] : 62
O1 : [12.32794271  5.0534768   7.88757522] : 52
O1 : [10.60429304  2.6547134   5.88031112] : 66
!!!atention to nb coordination!!!
         [2.1796626576658897, 1.792084295392314, 1.7808944753451459]
         [2.1796626576658906, 1.792084295392314, 1.780894475345147]


**isite= 7
U1 : [12.610375    6.40018332  1.39679496]

ce_symbol  = TS:3
ce_fraction=  0.9782940656609137
species:coords:index
O1 : [11.78344648  7.5832866   0.35370292] : 67
O1 : [11.83079572  7.3488364   3.1976955 ] : 63
O1 : [13.50709615  5.1845232   2.36096702] : 53
!!!atention to nb coordination!!!
         [1.7808944753451488, 2.1796626576658897, 1.7920842953923126]
         [1.780894475345148, 2.17966265766589, 1.792084295392313]

ce_symbol  = L:2
ce_fraction=  0.01947826590042001
species:coords:index
O1 : [11.78344648  7.5832866   0.35370292] : 67
O1 : [13.50709615  5.1845232   2.36096702] : 53
!!!atention to nb coordination!!!
         [1.7808944753451488, 1.7920842953923126]
         [1.780894475345148, 1.792084295392313]

ce_symbol  = TL:3
ce_fraction=  0.0022276684386662985
species:coords:index
O1 : [11.78344648  7.5832866   0.35370292] : 67
O1 : [11.83079572  7.3488364   3.1976955 ] : 63
O1 : [13.50709615  5.1845232   2.36096702] : 53
!!!atention to nb coordination!!!
         [1.7808944753451488, 2.1796626576658897, 1.7920842953923126]
         [1.780894475345148, 2.17966265766589, 1.792084295392313]


**isite= 8
U1 : [-1.01509889  1.38888708  9.75501613]

ce_symbol  = L:2
ce_fraction=  0.9499480604161713
species:coords:index
O1 : [-0.10074319  2.6905464  10.50939815] : 60
O1 : [-1.98962301  0.0593804   9.0514789 ] : 78
!!!atention to nb coordination!!!
         [1.76052707196901, 1.7922750601067796]
         [1.7605270719690096, 1.7922750601067796]

ce_symbol  = T:5
ce_fraction=  0.04689599144884055
species:coords:index
O1 : [-2.32735772  2.8891636   8.7243037 ] : 62
O1 : [-0.10074319  2.6905464  10.50939815] : 60
O1 : [-0.80780206  0.2733546  11.81588832] : 41
O1 : [-1.98962301  0.0593804   9.0514789 ] : 78
O1 : [0.85184132 0.1781412  9.10453434] : 36
!!!atention to nb coordination!!!
         [2.2439298099079097, 1.76052707196901, 2.3525685751099554, 1.7922750601067796, 2.3182963327880333]
         [2.2439298099079115, 1.7605270719690096, 2.3525685751099554, 1.7922750601067796, 2.3182963327880333]

ce_symbol  = S:5
ce_fraction=  0.002337247633133763
species:coords:index
O1 : [-2.32735772  2.8891636   8.7243037 ] : 62
O1 : [-0.10074319  2.6905464  10.50939815] : 60
O1 : [-0.80780206  0.2733546  11.81588832] : 41
O1 : [-1.98962301  0.0593804   9.0514789 ] : 78
O1 : [0.85184132 0.1781412  9.10453434] : 36
!!!atention to nb coordination!!!
         [2.2439298099079097, 1.76052707196901, 2.3525685751099554, 1.7922750601067796, 2.3182963327880333]
         [2.2439298099079115, 1.7605270719690096, 2.3525685751099554, 1.7922750601067796, 2.3182963327880333]

ce_symbol  = O:6
ce_fraction=  0.0005544901826712686
species:coords:index
O1 : [-2.32735772  2.8891636   8.7243037 ] : 62
O1 : [-0.05429403  2.078314    7.63335124] : 56
O1 : [-0.10074319  2.6905464  10.50939815] : 60
O1 : [-0.80780206  0.2733546  11.81588832] : 41
O1 : [-1.98962301  0.0593804   9.0514789 ] : 78
O1 : [0.85184132 0.1781412  9.10453434] : 36
!!!atention to nb coordination!!!
         [2.2439298099079097, 2.428974545325329, 1.76052707196901, 2.3525685751099554, 1.7922750601067796, 2.3182963327880333]
         [2.2439298099079115, 2.428974545325329, 1.7605270719690096, 2.3525685751099554, 1.7922750601067796, 2.3182963327880333]

ce_symbol  = T:6
ce_fraction=  0.0002642103191831256
species:coords:index
O1 : [-2.32735772  2.8891636   8.7243037 ] : 62
O1 : [-0.05429403  2.078314    7.63335124] : 56
O1 : [-0.10074319  2.6905464  10.50939815] : 60
O1 : [-0.80780206  0.2733546  11.81588832] : 41
O1 : [-1.98962301  0.0593804   9.0514789 ] : 78
O1 : [0.85184132 0.1781412  9.10453434] : 36
!!!atention to nb coordination!!!
         [2.2439298099079097, 2.428974545325329, 1.76052707196901, 2.3525685751099554, 1.7922750601067796, 2.3182963327880333]
         [2.2439298099079115, 2.428974545325329, 1.7605270719690096, 2.3525685751099554, 1.7922750601067796, 2.3182963327880333]


**isite= 9
U1 : [0.16405455 8.84911292 4.22840793]

ce_symbol  = L:2
ce_fraction=  0.9499480604161711
species:coords:index
O1 : [-0.81046957 10.1786196   3.52487071] : 79
O1 : [1.07841026 7.5474536  4.98278995] : 61
!!!atention to nb coordination!!!
         [1.7922750601067807, 1.7605270719690072]
         [1.7922750601067805, 1.760527071969008]

ce_symbol  = T:5
ce_fraction=  0.04689599144884078
species:coords:index
O1 : [-1.14820428  7.3488364   3.1976955 ] : 63
O1 : [-0.81046957 10.1786196   3.52487071] : 79
O1 : [1.07841026 7.5474536  4.98278995] : 61
O1 : [ 2.03099476 10.0598588   3.57792615] : 37
O1 : [0.37135138 9.9646454  6.28928013] : 40
!!!atention to nb coordination!!!
         [2.243929809907909, 1.7922750601067807, 1.7605270719690072, 2.318296332788036, 2.3525685751099576]
         [2.2439298099079106, 1.7922750601067805, 1.760527071969008, 2.3182963327880346, 2.3525685751099568]

ce_symbol  = S:5
ce_fraction=  0.0023372476331337006
species:coords:index
O1 : [-1.14820428  7.3488364   3.1976955 ] : 63
O1 : [-0.81046957 10.1786196   3.52487071] : 79
O1 : [1.07841026 7.5474536  4.98278995] : 61
O1 : [ 2.03099476 10.0598588   3.57792615] : 37
O1 : [0.37135138 9.9646454  6.28928013] : 40
!!!atention to nb coordination!!!
         [2.243929809907909, 1.7922750601067807, 1.7605270719690072, 2.318296332788036, 2.3525685751099576]
         [2.2439298099079106, 1.7922750601067805, 1.760527071969008, 2.3182963327880346, 2.3525685751099568]

ce_symbol  = O:6
ce_fraction=  0.0005544901826713001
species:coords:index
O1 : [-1.14820428  7.3488364   3.1976955 ] : 63
O1 : [-0.81046957 10.1786196   3.52487071] : 79
O1 : [1.07841026 7.5474536  4.98278995] : 61
O1 : [1.12485941 8.159686   2.10674304] : 57
O1 : [ 2.03099476 10.0598588   3.57792615] : 37
O1 : [0.37135138 9.9646454  6.28928013] : 40
!!!atention to nb coordination!!!
         [2.243929809907909, 1.7922750601067807, 1.7605270719690072, 2.428974545325331, 2.318296332788036, 2.3525685751099576]
         [2.2439298099079106, 1.7922750601067805, 1.760527071969008, 2.428974545325331, 2.3182963327880346, 2.3525685751099568]

ce_symbol  = T:6
ce_fraction=  0.00026421031918311025
species:coords:index
O1 : [-1.14820428  7.3488364   3.1976955 ] : 63
O1 : [-0.81046957 10.1786196   3.52487071] : 79
O1 : [1.07841026 7.5474536  4.98278995] : 61
O1 : [1.12485941 8.159686   2.10674304] : 57
O1 : [ 2.03099476 10.0598588   3.57792615] : 37
O1 : [0.37135138 9.9646454  6.28928013] : 40
!!!atention to nb coordination!!!
         [2.243929809907909, 1.7922750601067807, 1.7605270719690072, 2.428974545325331, 2.318296332788036, 2.3525685751099576]
         [2.2439298099079106, 1.7922750601067805, 1.760527071969008, 2.428974545325331, 2.3182963327880346, 2.3525685751099568]


**isite= 10
U1 : [8.81031781 3.65404458 9.63309915]

ce_symbol  = PB:7
ce_fraction=  0.9988576251071251
species:coords:index
O1 : [ 9.85339838  1.8469352  11.05432171] : 72
O1 : [7.85974395 2.421287   8.74309417] : 20
O1 : [ 7.41670121  3.332469   11.42792043] : 69
O1 : [10.65164228  2.8891636   8.7243037 ] : 62
O1 : [ 9.7909289   4.8282408  10.67188043] : 58
O1 : [9.33600914 4.8640738  7.60903417] : 50
O1 : [7.34134132 5.2971412  9.10453434] : 70
!!!atention to nb coordination!!!
         [2.5245860976183168, 1.7931510770582098, 2.294986167000865, 2.191216069115879, 1.8491623540186737, 2.4160631514072857, 2.2665037394598593]
         [2.5245860976183168, 1.7931510770582098, 2.294986167000866, 2.1912160691158773, 1.8491623540186737, 2.4160631514072857, 2.2665037394598593]

ce_symbol  = L:2
ce_fraction=  0.001142374892874906
species:coords:index
O1 : [7.85974395 2.421287   8.74309417] : 20
O1 : [ 9.7909289   4.8282408  10.67188043] : 58


**isite= 11
U1 : [9.98947126 6.58395542 4.10649095]

ce_symbol  = PB:7
ce_fraction=  0.9988576251071251
species:coords:index
O1 : [8.59585465 6.905531   5.90131223] : 68
O1 : [11.03255183  8.3910648   5.52771352] : 73
O1 : [9.0388974  7.816713   3.21648597] : 21
O1 : [11.83079572  7.3488364   3.1976955 ] : 63
O1 : [10.97008235  5.4097592   5.14527223] : 59
O1 : [10.51516258  5.3739262   2.08242597] : 51
O1 : [8.52049476 4.9408588  3.57792615] : 71
!!!atention to nb coordination!!!
         [2.2949861670008644, 2.5245860976183168, 1.7931510770582104, 2.1912160691158795, 1.8491623540186746, 2.4160631514072852, 2.266503739459858]
         [2.2949861670008644, 2.524586097618316, 1.7931510770582104, 2.1912160691158777, 1.8491623540186737, 2.4160631514072852, 2.266503739459858]

ce_symbol  = L:2
ce_fraction=  0.001142374892874968
species:coords:index
O1 : [9.0388974  7.816713   3.21648597] : 21
O1 : [10.97008235  5.4097592   5.14527223] : 59
!!!atention to nb coordination!!!
         [1.7931510770582104, 1.8491623540186746]
         [1.7931510770582104, 1.8491623540186737]


**isite= 12
W1 : [1.32420268 0.84709212 7.26715818]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.50021493 2.400811   8.53860966] : 30
O1 : [-0.05429403  2.078314    7.63335124] : 56
O1 : [2.10635465 1.786531   5.90131223] : 34
O1 : [ 2.84650914 -0.2549262   7.60903417] : 16
O1 : [0.85184132 0.1781412  9.10453434] : 36
O1 : [ 0.37135138 -0.2733546   6.28928013] : 40
!!!atention to nb coordination!!!
         [2.3267221661089827, 1.8842127993905384, 1.8329872543387693, 1.9101676674070558, 2.0116092434390938, 1.7662309988078821]
         [2.3267221661089827, 1.8842127993905384, 1.832987254338769, 1.9101676674070562, 2.0116092434390938, 1.7662309988078833]


**isite= 13
W1 : [2.50335612 9.39090788 1.74054999]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 2.03099476 10.0598588   3.57792615] : 37
O1 : [3.2855081  8.451469   0.37470404] : 35
O1 : [ 1.55050482 10.5113546   0.76267193] : 41
O1 : [ 4.02566258 10.4929262   2.08242597] : 17
O1 : [1.12485941 8.159686   2.10674304] : 57
O1 : [3.67936837 7.837189   3.01200147] : 31
!!!atention to nb coordination!!!
         [2.011609243439095, 1.8329872543387682, 1.7662309988078841, 1.9101676674070565, 1.8842127993905364, 2.326722166108982]
         [2.011609243439095, 1.8329872543387682, 1.766230998807884, 1.9101676674070565, 1.8842127993905378, 2.3267221661089823]


**isite= 14
W1 : [7.81370268 5.96609212 7.26715818]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.34134132 5.2971412  9.10453434] : 70
O1 : [6.86085138 4.8456454  6.28928013] : 74
O1 : [9.33600914 4.8640738  7.60903417] : 50
O1 : [6.43520597 7.197314   7.63335124] : 22
O1 : [8.98971493 7.519811   8.53860966] : 64
O1 : [8.59585465 6.905531   5.90131223] : 68
!!!atention to nb coordination!!!
         [2.0116092434390933, 1.766230998807882, 1.9101676674070558, 1.8842127993905398, 2.3267221661089836, 1.83298725433877]
         [2.0116092434390933, 1.766230998807883, 1.910167667407056, 1.884212799390539, 2.3267221661089827, 1.8329872543387695]


**isite= 15
W1 : [8.99285612 4.27190788 1.74054999]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.16886837  2.718189    3.01200147] : 65
O1 : [7.61435941 3.040686   2.10674304] : 23
O1 : [9.7750081  3.332469   0.37470404] : 69
O1 : [8.52049476 4.9408588  3.57792615] : 71
O1 : [10.51516258  5.3739262   2.08242597] : 51
O1 : [8.04000482 5.3923546  0.76267193] : 75
!!!atention to nb coordination!!!
         [2.326722166108984, 1.884212799390539, 1.832987254338769, 2.011609243439094, 1.9101676674070582, 1.7662309988078833]
         [2.326722166108983, 1.884212799390539, 1.832987254338769, 2.0116092434390946, 1.9101676674070565, 1.7662309988078833]


**isite= 16
O1 : [2.84650914 9.9830738  7.60903417]

ce_symbol  = S:1
ce_fraction=  0.6469489349259976
species:coords:index
W1 : [ 1.32420268 11.08509212  7.26715818] : 12
!!!atention to nb coordination!!!
         [1.9101676674070565]
         [1.9101676674070567]

ce_symbol  = TL:3
ce_fraction=  0.21928226605901813
species:coords:index
U1 : [2.32081781 8.77304458 9.63309915] : 4
U1 : [4.94172156 8.95681668 6.92340315] : 0
W1 : [ 1.32420268 11.08509212  7.26715818] : 12
!!!atention to nb coordination!!!
         [2.416063151407284, 2.4317089938252043, 1.9101676674070565]
         [2.4160631514072852, 2.4317089938252043, 1.9101676674070567]

ce_symbol  = TS:3
ce_fraction=  0.10935447007144147
species:coords:index
U1 : [2.32081781 8.77304458 9.63309915] : 4
U1 : [4.94172156 8.95681668 6.92340315] : 0
W1 : [ 1.32420268 11.08509212  7.26715818] : 12
!!!atention to nb coordination!!!
         [2.416063151407284, 2.4317089938252043, 1.9101676674070565]
         [2.4160631514072852, 2.4317089938252043, 1.9101676674070567]

ce_symbol  = TY:3
ce_fraction=  0.02441432894354277
species:coords:index
U1 : [2.32081781 8.77304458 9.63309915] : 4
