cif name= ./2100726.cif
./2100726.cif
Full Formula (Mo32 Pb14 O48)
 45  Pb    0.5     0.5     0.7474
 46  O     0.7067  0.2067  0.25
 47  O     0.7933  0.7067  0.25
 48  O     0.2933  0.7933  0.25
 49  O     0.2067  0.2933  0.25
 50  O     0.2933  0.7933  0.75
 51  O     0.2067  0.2933  0.75
 52  O     0.7067  0.2067  0.75
 53  O     0.7933  0.7067  0.75
 54  O     0.7627  0.9586  0.1237
 55  O     0.0414  0.7627  0.1237
 56  O     0.2373  0.0414  0.1237
 57  O     0.9586  0.2373  0.1237
 58  O     0.2627  0.5414  0.3763
 59  O     0.4586  0.2627  0.3763
 60  O     0.7373  0.4586  0.3763
 61  O     0.5414  0.7373  0.3763
 62  O     0.2373  0.0414  0.8763
 63  O     0.9586  0.2373  0.8763
 64  O     0.7627  0.9586  0.8763
 65  O     0.0414  0.7627  0.8763
 66  O     0.7373  0.4586  0.6237
 67  O     0.5414  0.7373  0.6237
 68  O     0.2627  0.5414  0.6237
 69  O     0.4586  0.2627  0.6237
 70  O     0.4586  0.2597  0.125
 71  O     0.7403  0.4586  0.125
 72  O     0.5414  0.7403  0.125
 73  O     0.2597  0.5414  0.125
 74  O     0.9586  0.2403  0.375
 75  O     0.7597  0.9586  0.375
 76  O     0.0414  0.7597  0.375
 77  O     0.2403  0.0414  0.375
 78  O     0.5414  0.7403  0.875
 79  O     0.2597  0.5414  0.875
 80  O     0.4586  0.2597  0.875
 81  O     0.7403  0.4586  0.875
 82  O     0.0414  0.7597  0.625
 83  O     0.2403  0.0414  0.625
 84  O     0.9586  0.2403  0.625
 85  O     0.7597  0.9586  0.625
 86  O     0.2042  0.2902  0
 87  O     0.7098  0.2042  0
 88  O     0.7958  0.7098  0
 89  O     0.2902  0.7958  0
 90  O     0.7042  0.2098  0.5
 91  O     0.7902  0.7042  0.5
 92  O     0.2958  0.7902  0.5
 93  O     0.2098  0.2958  0.5

space_group_IT_number None

*** lse ***


**isite= 0
Mo1 : [3.4277475 1.3797525 2.8405   ]

ce_symbol  = S:5
ce_fraction=  0.7765501198965
species:coords:index
O1 : [4.409439  2.4970155 1.42025  ] : 70
O1 : [1.9874205 2.8200795 2.8405   ] : 49
O1 : [2.2816395 0.398061  1.4054794] : 56
O1 : [4.409439  2.5258605 4.2755206] : 59
O1 : [2.3104845 0.398061  4.26075  ] : 77
!!!atention to nb coordination!!!
         [2.056478756233881, 2.036929977652153, 2.0824422852171947, 2.082442285217196, 2.0564787562338807]
         [2.0564787562338807, 2.036929977652153, 2.082442285217194, 2.082442285217196, 2.0564787562338807]

ce_symbol  = SS:9
ce_fraction=  0.22344988010350006
species:coords:index
O1 : [4.409439  2.4970155 1.42025  ] : 70
O1 : [1.9874205 2.8200795 2.8405   ] : 49
O1 : [2.2816395 0.398061  1.4054794] : 56
Mo1 : [5.7911145 0.9759225 1.42025  ] : 16
Mo1 : [5.7834225 0.9836145 4.26075  ] : 21
Mo1 : [ 3.8238855 -0.9759225  1.42025  ] : 18
O1 : [4.409439  2.5258605 4.2755206] : 59
Mo1 : [ 3.8315775 -0.9836145  4.26075  ] : 23
O1 : [2.3104845 0.398061  4.26075  ] : 77
!!!atention to nb coordination!!!
         [2.056478756233881, 2.036929977652153, 2.0824422852171947, 2.786699177896495, 2.7790718024493364, 2.7790718024493373, 2.082442285217196, 2.786699177896495, 2.0564787562338807]
         [2.0564787562338807, 2.036929977652153, 2.082442285217194, 2.786699177896495, 2.7790718024493364, 2.779071802449337, 2.082442285217196, 2.7866991778964945, 2.0564787562338807]


**isite= 1
Mo1 : [8.2352475 3.4277475 2.8405   ]

ce_symbol  = S:5
ce_fraction=  0.7765501198965007
species:coords:index
O1 : [7.0891395 4.409439  4.2755206] : 60
O1 : [6.7949205 1.9874205 2.8405   ] : 46
O1 : [9.216939  2.3104845 4.26075  ] : 74
O1 : [9.216939  2.2816395 1.4054794] : 57
O1 : [7.1179845 4.409439  1.42025  ] : 71
!!!atention to nb coordination!!!
         [2.082442285217195, 2.0369299776521523, 2.0564787562338807, 2.0824422852171947, 2.056478756233881]
         [2.082442285217195, 2.036929977652153, 2.0564787562338807, 2.082442285217194, 2.056478756233881]

ce_symbol  = SS:9
ce_fraction=  0.2234498801034994
species:coords:index
Mo1 : [8.6313855 5.7834225 4.26075  ] : 22
Mo1 : [10.5986145  3.8315775  4.26075  ] : 20
O1 : [7.0891395 4.409439  4.2755206] : 60
Mo1 : [8.6390775 5.7911145 1.42025  ] : 17
O1 : [6.7949205 1.9874205 2.8405   ] : 46
O1 : [9.216939  2.3104845 4.26075  ] : 74
O1 : [9.216939  2.2816395 1.4054794] : 57
Mo1 : [10.5909225  3.8238855  1.42025  ] : 19
O1 : [7.1179845 4.409439  1.42025  ] : 71
!!!atention to nb coordination!!!
         [2.7790718024493364, 2.786699177896495, 2.082442285217195, 2.786699177896495, 2.0369299776521523, 2.0564787562338807, 2.0824422852171947, 2.779071802449336, 2.056478756233881]
         [2.7790718024493364, 2.786699177896495, 2.082442285217195, 2.786699177896495, 2.036929977652153, 2.0564787562338807, 2.082442285217194, 2.779071802449336, 2.056478756233881]


**isite= 2
Mo1 : [6.1872525 8.2352475 2.8405   ]

ce_symbol  = S:5
ce_fraction=  0.7765501198964991
species:coords:index
O1 : [5.205561  7.0891395 4.2755206] : 61
O1 : [7.6275795 6.7949205 2.8405   ] : 47
O1 : [7.3333605 9.216939  1.4054794] : 54
O1 : [7.3045155 9.216939  4.26075  ] : 75
O1 : [5.205561  7.1179845 1.42025  ] : 72
!!!atention to nb coordination!!!
         [2.0824422852171938, 2.0369299776521532, 2.082442285217195, 2.0564787562338815, 2.0564787562338807]
         [2.0824422852171938, 2.0369299776521532, 2.0824422852171947, 2.0564787562338815, 2.0564787562338807]

ce_symbol  = SS:9
ce_fraction=  0.22344988010350098
species:coords:index
O1 : [5.205561  7.0891395 4.2755206] : 61
O1 : [7.6275795 6.7949205 2.8405   ] : 47
O1 : [7.3333605 9.216939  1.4054794] : 54
Mo1 : [3.8238855 8.6390775 1.42025  ] : 18
Mo1 : [ 5.7834225 10.5986145  4.26075  ] : 21
O1 : [7.3045155 9.216939  4.26075  ] : 75
Mo1 : [3.8315775 8.6313855 4.26075  ] : 23
O1 : [5.205561  7.1179845 1.42025  ] : 72
Mo1 : [ 5.7911145 10.5909225  1.42025  ] : 16
!!!atention to nb coordination!!!
         [2.0824422852171938, 2.0369299776521532, 2.082442285217195, 2.7866991778964936, 2.786699177896495, 2.0564787562338815, 2.7790718024493355, 2.0564787562338807, 2.7790718024493355]
         [2.0824422852171938, 2.0369299776521532, 2.0824422852171947, 2.7866991778964936, 2.7866991778964945, 2.0564787562338815, 2.7790718024493355, 2.0564787562338807, 2.7790718024493355]


**isite= 3
Mo1 : [1.3797525 6.1872525 2.8405   ]

ce_symbol  = S:5
ce_fraction=  0.7765501198964985
species:coords:index
O1 : [2.4970155 5.205561  1.42025  ] : 73
O1 : [2.8200795 7.6275795 2.8405   ] : 48
O1 : [2.5258605 5.205561  4.2755206] : 58
O1 : [0.398061  7.3045155 4.26075  ] : 76
O1 : [0.398061  7.3333605 1.4054794] : 55
!!!atention to nb coordination!!!
         [2.0564787562338807, 2.0369299776521537, 2.0824422852171947, 2.0564787562338815, 2.082442285217195]
         [2.0564787562338807, 2.0369299776521537, 2.0824422852171947, 2.0564787562338815, 2.0824422852171947]

ce_symbol  = SS:9
ce_fraction=  0.2234498801035015
species:coords:index
Mo1 : [-0.9759225  5.7911145  1.42025  ] : 17
O1 : [2.4970155 5.205561  1.42025  ] : 73
Mo1 : [0.9836145 3.8315775 4.26075  ] : 20
O1 : [2.8200795 7.6275795 2.8405   ] : 48
O1 : [2.5258605 5.205561  4.2755206] : 58
Mo1 : [-0.9836145  5.7834225  4.26075  ] : 22
O1 : [0.398061  7.3045155 4.26075  ] : 76
O1 : [0.398061  7.3333605 1.4054794] : 55
Mo1 : [0.9759225 3.8238855 1.42025  ] : 19
!!!atention to nb coordination!!!
         [2.7790718024493373, 2.0564787562338807, 2.7790718024493355, 2.0369299776521537, 2.0824422852171947, 2.7866991778964945, 2.0564787562338815, 2.082442285217195, 2.786699177896494]
         [2.7790718024493364, 2.0564787562338807, 2.7790718024493355, 2.0369299776521537, 2.0824422852171947, 2.7866991778964945, 2.0564787562338815, 2.0824422852171947, 2.786699177896494]


**isite= 4
Mo1 : [6.1872525 8.2352475 8.5215   ]

ce_symbol  = S:5
ce_fraction=  0.7765501198964989
species:coords:index
O1 : [7.3333605 9.216939  9.9565206] : 64
O1 : [7.3045155 9.216939  7.10125  ] : 85
O1 : [5.205561  7.1179845 9.94175  ] : 78
O1 : [7.6275795 6.7949205 8.5215   ] : 53
O1 : [5.205561  7.0891395 7.0864794] : 67
!!!atention to nb coordination!!!
         [2.082442285217194, 2.056478756233881, 2.0564787562338815, 2.0369299776521532, 2.0824422852171947]
         [2.0824422852171955, 2.056478756233881, 2.0564787562338815, 2.0369299776521532, 2.082442285217194]

ce_symbol  = SS:9
ce_fraction=  0.2234498801035012
species:coords:index
O1 : [7.3333605 9.216939  9.9565206] : 64
Mo1 : [ 5.7911145 10.5909225  9.94175  ] : 26
O1 : [7.3045155 9.216939  7.10125  ] : 85
O1 : [5.205561  7.1179845 9.94175  ] : 78
O1 : [7.6275795 6.7949205 8.5215   ] : 53
Mo1 : [ 5.7834225 10.5986145  7.10125  ] : 31
Mo1 : [3.8238855 8.6390775 9.94175  ] : 24
O1 : [5.205561  7.0891395 7.0864794] : 67
Mo1 : [3.8315775 8.6313855 7.10125  ] : 29
!!!atention to nb coordination!!!
         [2.082442285217194, 2.779071802449336, 2.056478756233881, 2.0564787562338815, 2.0369299776521532, 2.7866991778964945, 2.786699177896494, 2.0824422852171947, 2.7790718024493355]
         [2.0824422852171955, 2.779071802449336, 2.056478756233881, 2.0564787562338815, 2.0369299776521532, 2.7866991778964945, 2.786699177896494, 2.082442285217194, 2.7790718024493355]


**isite= 5
Mo1 : [1.3797525 6.1872525 8.5215   ]

ce_symbol  = S:5
ce_fraction=  0.7765501198964988
species:coords:index
O1 : [2.5258605 5.205561  7.0864794] : 68
O1 : [0.398061  7.3333605 9.9565206] : 65
O1 : [0.398061  7.3045155 7.10125  ] : 82
O1 : [2.8200795 7.6275795 8.5215   ] : 50
O1 : [2.4970155 5.205561  9.94175  ] : 79
!!!atention to nb coordination!!!
         [2.0824422852171955, 2.082442285217194, 2.056478756233881, 2.0369299776521537, 2.056478756233881]
         [2.082442285217195, 2.0824422852171955, 2.056478756233881, 2.0369299776521537, 2.056478756233881]

ce_symbol  = SS:9
ce_fraction=  0.2234498801035012
species:coords:index
Mo1 : [0.9836145 3.8315775 7.10125  ] : 30
O1 : [2.5258605 5.205561  7.0864794] : 68
Mo1 : [-0.9759225  5.7911145  9.94175  ] : 27
O1 : [0.398061  7.3333605 9.9565206] : 65
O1 : [0.398061  7.3045155 7.10125  ] : 82
O1 : [2.8200795 7.6275795 8.5215   ] : 50
Mo1 : [-0.9836145  5.7834225  7.10125  ] : 28
O1 : [2.4970155 5.205561  9.94175  ] : 79
Mo1 : [0.9759225 3.8238855 9.94175  ] : 25
!!!atention to nb coordination!!!
         [2.779071802449335, 2.0824422852171955, 2.7790718024493377, 2.082442285217194, 2.056478756233881, 2.0369299776521537, 2.7866991778964945, 2.056478756233881, 2.7866991778964945]
         [2.7790718024493355, 2.082442285217195, 2.779071802449337, 2.0824422852171955, 2.056478756233881, 2.0369299776521537, 2.786699177896494, 2.056478756233881, 2.7866991778964945]


**isite= 6
Mo1 : [3.4277475 1.3797525 8.5215   ]

ce_symbol  = S:5
ce_fraction=  0.7765501198965004
species:coords:index
O1 : [2.2816395 0.398061  9.9565206] : 62
O1 : [1.9874205 2.8200795 8.5215   ] : 51
O1 : [2.3104845 0.398061  7.10125  ] : 83
O1 : [4.409439  2.5258605 7.0864794] : 69
O1 : [4.409439  2.4970155 9.94175  ] : 80
!!!atention to nb coordination!!!
         [2.0824422852171938, 2.036929977652153, 2.05647875623388, 2.082442285217197, 2.0564787562338815]
         [2.082442285217195, 2.036929977652153, 2.0564787562338807, 2.0824422852171964, 2.0564787562338815]

ce_symbol  = SS:9
ce_fraction=  0.22344988010349956
species:coords:index
Mo1 : [5.7911145 0.9759225 9.94175  ] : 26
Mo1 : [5.7834225 0.9836145 7.10125  ] : 31
O1 : [2.2816395 0.398061  9.9565206] : 62
O1 : [1.9874205 2.8200795 8.5215   ] : 51
O1 : [2.3104845 0.398061  7.10125  ] : 83
O1 : [4.409439  2.5258605 7.0864794] : 69
O1 : [4.409439  2.4970155 9.94175  ] : 80
Mo1 : [ 3.8315775 -0.9836145  7.10125  ] : 29
Mo1 : [ 3.8238855 -0.9759225  9.94175  ] : 24
!!!atention to nb coordination!!!
         [2.7866991778964953, 2.779071802449336, 2.0824422852171938, 2.036929977652153, 2.05647875623388, 2.082442285217197, 2.0564787562338815, 2.7866991778964945, 2.7790718024493377]
         [2.7866991778964953, 2.779071802449336, 2.082442285217195, 2.036929977652153, 2.0564787562338807, 2.0824422852171964, 2.0564787562338815, 2.7866991778964945, 2.7790718024493373]


**isite= 7
Mo1 : [8.2352475 3.4277475 8.5215   ]

ce_symbol  = S:5
ce_fraction=  0.7765501198965007
species:coords:index
O1 : [7.1179845 4.409439  9.94175  ] : 81
O1 : [7.0891395 4.409439  7.0864794] : 66
O1 : [9.216939  2.3104845 7.10125  ] : 84
O1 : [9.216939  2.2816395 9.9565206] : 63
O1 : [6.7949205 1.9874205 8.5215   ] : 52
!!!atention to nb coordination!!!
         [2.056478756233882, 2.082442285217196, 2.05647875623388, 2.0824422852171938, 2.0369299776521523]
         [2.056478756233882, 2.0824422852171955, 2.0564787562338807, 2.082442285217195, 2.036929977652153]

ce_symbol  = SS:9
ce_fraction=  0.2234498801034994
species:coords:index
O1 : [7.1179845 4.409439  9.94175  ] : 81
O1 : [7.0891395 4.409439  7.0864794] : 66
Mo1 : [8.6390775 5.7911145 9.94175  ] : 27
Mo1 : [8.6313855 5.7834225 7.10125  ] : 28
O1 : [9.216939  2.3104845 7.10125  ] : 84
Mo1 : [10.5909225  3.8238855  9.94175  ] : 25
O1 : [9.216939  2.2816395 9.9565206] : 63
O1 : [6.7949205 1.9874205 8.5215   ] : 52
Mo1 : [10.5986145  3.8315775  7.10125  ] : 30
!!!atention to nb coordination!!!
         [2.056478756233882, 2.082442285217196, 2.7866991778964953, 2.779071802449336, 2.05647875623388, 2.7790718024493364, 2.0824422852171938, 2.0369299776521523, 2.7866991778964945]
         [2.056478756233882, 2.0824422852171955, 2.7866991778964953, 2.7790718024493364, 2.0564787562338807, 2.7790718024493364, 2.082442285217195, 2.036929977652153, 2.7866991778964945]


**isite= 8
Mo1 : [3.428709  1.3893675 0.       ]

ce_symbol  = S:5
ce_fraction=  0.7747201063026582
species:coords:index
O1 : [4.409439  2.4970155 1.42025  ] : 70
O1 : [ 4.409439   2.4970155 -1.42025  ] : 80
O1 : [2.2816395 0.398061  1.4054794] : 56
O1 : [1.963383 2.790273 0.      ] : 86
O1 : [ 2.2816395  0.398061  -1.4054794] : 62
!!!atention to nb coordination!!!
         [2.0508109340707152, 2.050810934070715, 2.0673242025857625, 2.027243573477605, 2.0673242025857634]
         [2.0508109340707152, 2.0508109340707152, 2.0673242025857625, 2.0272435734776053, 2.067324202585762]

ce_symbol  = SS:9
ce_fraction=  0.22527989369734186
species:coords:index
Mo1 : [5.7911145 0.9759225 1.42025  ] : 16
O1 : [4.409439  2.4970155 1.42025  ] : 70
O1 : [ 4.409439   2.4970155 -1.42025  ] : 80
O1 : [2.2816395 0.398061  1.4054794] : 56
O1 : [1.963383 2.790273 0.      ] : 86
Mo1 : [ 5.7911145  0.9759225 -1.42025  ] : 26
Mo1 : [ 3.8238855 -0.9759225 -1.42025  ] : 24
Mo1 : [ 3.8238855 -0.9759225  1.42025  ] : 18
O1 : [ 2.2816395  0.398061  -1.4054794] : 62
!!!atention to nb coordination!!!
         [2.7872937729911516, 2.0508109340707152, 2.050810934070715, 2.0673242025857625, 2.027243573477605, 2.787293772991151, 2.7870901156496988, 2.787090115649699, 2.0673242025857634]
         [2.7872937729911516, 2.0508109340707152, 2.0508109340707152, 2.0673242025857625, 2.0272435734776053, 2.7872937729911516, 2.7870901156496988, 2.7870901156496988, 2.067324202585762]


**isite= 9
Mo1 : [8.2256325 3.428709  0.       ]

ce_symbol  = S:5
ce_fraction=  0.7747201063026585
species:coords:index
O1 : [7.1179845 4.409439  1.42025  ] : 71
O1 : [ 7.1179845  4.409439  -1.42025  ] : 81
O1 : [6.824727 1.963383 0.      ] : 87
O1 : [9.216939  2.2816395 1.4054794] : 57
O1 : [ 9.216939   2.2816395 -1.4054794] : 63
!!!atention to nb coordination!!!
         [2.0508109340707152, 2.050810934070715, 2.027243573477605, 2.0673242025857625, 2.0673242025857634]
         [2.0508109340707152, 2.0508109340707157, 2.027243573477605, 2.0673242025857625, 2.0673242025857625]

ce_symbol  = SS:9
ce_fraction=  0.22527989369734155
species:coords:index
Mo1 : [10.5909225  3.8238855  1.42025  ] : 19
Mo1 : [8.6390775 5.7911145 1.42025  ] : 17
O1 : [7.1179845 4.409439  1.42025  ] : 71
O1 : [ 7.1179845  4.409439  -1.42025  ] : 81
Mo1 : [ 8.6390775  5.7911145 -1.42025  ] : 27
Mo1 : [10.5909225  3.8238855 -1.42025  ] : 25
O1 : [6.824727 1.963383 0.      ] : 87
O1 : [9.216939  2.2816395 1.4054794] : 57
O1 : [ 9.216939   2.2816395 -1.4054794] : 63
!!!atention to nb coordination!!!
         [2.7870901156496983, 2.7872937729911516, 2.0508109340707152, 2.050810934070715, 2.787293772991151, 2.7870901156496983, 2.027243573477605, 2.0673242025857625, 2.0673242025857634]
         [2.7870901156496983, 2.7872937729911516, 2.0508109340707152, 2.0508109340707157, 2.7872937729911516, 2.7870901156496988, 2.027243573477605, 2.0673242025857625, 2.0673242025857625]


**isite= 10
Mo1 : [6.186291  8.2256325 0.       ]

ce_symbol  = S:5
ce_fraction=  0.774720106302658
species:coords:index
O1 : [5.205561  7.1179845 1.42025  ] : 72
O1 : [7.3333605 9.216939  1.4054794] : 54
O1 : [ 5.205561   7.1179845 -1.42025  ] : 78
O1 : [7.651617 6.824727 0.      ] : 88
O1 : [ 7.3333605  9.216939  -1.4054794] : 64
!!!atention to nb coordination!!!
         [2.0508109340707152, 2.067324202585763, 2.050810934070715, 2.0272435734776053, 2.067324202585764]
         [2.0508109340707152, 2.067324202585763, 2.0508109340707152, 2.0272435734776053, 2.0673242025857625]

ce_symbol  = SS:9
ce_fraction=  0.22527989369734203
species:coords:index
O1 : [5.205561  7.1179845 1.42025  ] : 72
Mo1 : [ 5.7911145 10.5909225  1.42025  ] : 16
O1 : [7.3333605 9.216939  1.4054794] : 54
O1 : [ 5.205561   7.1179845 -1.42025  ] : 78
O1 : [7.651617 6.824727 0.      ] : 88
O1 : [ 7.3333605  9.216939  -1.4054794] : 64
Mo1 : [3.8238855 8.6390775 1.42025  ] : 18
Mo1 : [ 5.7911145 10.5909225 -1.42025  ] : 26
Mo1 : [ 3.8238855  8.6390775 -1.42025  ] : 24
!!!atention to nb coordination!!!
         [2.0508109340707152, 2.7870901156496983, 2.067324202585763, 2.050810934070715, 2.0272435734776053, 2.067324202585764, 2.7872937729911507, 2.787090115649698, 2.78729377299115]
         [2.0508109340707152, 2.7870901156496983, 2.067324202585763, 2.0508109340707152, 2.0272435734776053, 2.0673242025857625, 2.7872937729911507, 2.7870901156496983, 2.787293772991151]


**isite= 11
Mo1 : [1.3893675 6.186291  0.       ]

ce_symbol  = S:5
ce_fraction=  0.7747201063026576
species:coords:index
O1 : [0.398061  7.3333605 1.4054794] : 55
O1 : [ 0.398061   7.3333605 -1.4054794] : 65
O1 : [2.790273 7.651617 0.      ] : 89
O1 : [ 2.4970155  5.205561  -1.42025  ] : 79
O1 : [2.4970155 5.205561  1.42025  ] : 73
!!!atention to nb coordination!!!
         [2.0673242025857625, 2.0673242025857634, 2.0272435734776053, 2.050810934070715, 2.050810934070715]
         [2.067324202585763, 2.0673242025857625, 2.0272435734776058, 2.0508109340707152, 2.0508109340707152]

ce_symbol  = SS:9
ce_fraction=  0.22527989369734241
species:coords:index
O1 : [0.398061  7.3333605 1.4054794] : 55
Mo1 : [ 0.9759225  3.8238855 -1.42025  ] : 25
Mo1 : [-0.9759225  5.7911145 -1.42025  ] : 27
Mo1 : [-0.9759225  5.7911145  1.42025  ] : 17
Mo1 : [0.9759225 3.8238855 1.42025  ] : 19
O1 : [ 0.398061   7.3333605 -1.4054794] : 65
O1 : [2.790273 7.651617 0.      ] : 89
O1 : [ 2.4970155  5.205561  -1.42025  ] : 79
O1 : [2.4970155 5.205561  1.42025  ] : 73
!!!atention to nb coordination!!!
         [2.0673242025857625, 2.78729377299115, 2.7870901156496988, 2.787090115649699, 2.7872937729911507, 2.0673242025857634, 2.0272435734776053, 2.050810934070715, 2.050810934070715]
         [2.067324202585763, 2.787293772991151, 2.7870901156496988, 2.7870901156496988, 2.7872937729911507, 2.0673242025857625, 2.0272435734776058, 2.0508109340707152, 2.0508109340707152]


**isite= 12
Mo1 : [8.236209  3.4181325 5.681    ]

ce_symbol  = S:5
ce_fraction=  0.7747201063026591
species:coords:index
O1 : [7.0891395 4.409439  7.0864794] : 66
O1 : [6.770883 2.017227 5.681   ] : 90
O1 : [9.216939  2.3104845 4.26075  ] : 74
O1 : [9.216939  2.3104845 7.10125  ] : 84
O1 : [7.0891395 4.409439  4.2755206] : 60
!!!atention to nb coordination!!!
         [2.0673242025857625, 2.027243573477606, 2.0508109340707152, 2.0508109340707152, 2.0673242025857634]
         [2.067324202585763, 2.027243573477606, 2.0508109340707152, 2.0508109340707152, 2.0673242025857634]

ce_symbol  = SS:9
ce_fraction=  0.22527989369734086
species:coords:index
O1 : [7.0891395 4.409439  7.0864794] : 66
O1 : [6.770883 2.017227 5.681   ] : 90
O1 : [9.216939  2.3104845 4.26075  ] : 74
Mo1 : [8.6313855 5.7834225 4.26075  ] : 22
Mo1 : [10.5986145  3.8315775  7.10125  ] : 30
Mo1 : [8.6313855 5.7834225 7.10125  ] : 28
O1 : [9.216939  2.3104845 7.10125  ] : 84
Mo1 : [10.5986145  3.8315775  4.26075  ] : 20
O1 : [7.0891395 4.409439  4.2755206] : 60
!!!atention to nb coordination!!!
         [2.0673242025857625, 2.027243573477606, 2.0508109340707152, 2.7870901156496983, 2.787293772991151, 2.7870901156496983, 2.0508109340707152, 2.787293772991151, 2.0673242025857634]
         [2.067324202585763, 2.027243573477606, 2.0508109340707152, 2.7870901156496983, 2.787293772991151, 2.7870901156496983, 2.0508109340707152, 2.787293772991151, 2.0673242025857634]


**isite= 13
Mo1 : [6.1968675 8.236209  5.681    ]

ce_symbol  = S:5
ce_fraction=  0.774720106302657
species:coords:index
O1 : [7.597773 6.770883 5.681   ] : 91
O1 : [7.3045155 9.216939  7.10125  ] : 85
O1 : [7.3045155 9.216939  4.26075  ] : 75
O1 : [5.205561  7.0891395 4.2755206] : 61
O1 : [5.205561  7.0891395 7.0864794] : 67
!!!atention to nb coordination!!!
         [2.0272435734776058, 2.050810934070716, 2.050810934070716, 2.067324202585763, 2.0673242025857617]
         [2.027243573477606, 2.050810934070716, 2.050810934070716, 2.0673242025857625, 2.0673242025857625]

ce_symbol  = SS:9
ce_fraction=  0.22527989369734308
species:coords:index
O1 : [7.597773 6.770883 5.681   ] : 91
Mo1 : [ 5.7834225 10.5986145  7.10125  ] : 31
O1 : [7.3045155 9.216939  7.10125  ] : 85
Mo1 : [3.8315775 8.6313855 7.10125  ] : 29
Mo1 : [3.8315775 8.6313855 4.26075  ] : 23
Mo1 : [ 5.7834225 10.5986145  4.26075  ] : 21
O1 : [7.3045155 9.216939  4.26075  ] : 75
O1 : [5.205561  7.0891395 4.2755206] : 61
O1 : [5.205561  7.0891395 7.0864794] : 67
!!!atention to nb coordination!!!
         [2.0272435734776058, 2.787293772991151, 2.050810934070716, 2.7870901156496983, 2.7870901156496983, 2.787293772991151, 2.050810934070716, 2.067324202585763, 2.0673242025857617]
         [2.027243573477606, 2.787293772991151, 2.050810934070716, 2.7870901156496983, 2.7870901156496983, 2.787293772991151, 2.050810934070716, 2.0673242025857625, 2.0673242025857625]


**isite= 14
Mo1 : [1.378791  6.1968675 5.681    ]

ce_symbol  = S:5
ce_fraction=  0.7747201063026571
species:coords:index
O1 : [0.398061  7.3045155 7.10125  ] : 82
O1 : [0.398061  7.3045155 4.26075  ] : 76
O1 : [2.844117 7.597773 5.681   ] : 92
O1 : [2.5258605 5.205561  7.0864794] : 68
O1 : [2.5258605 5.205561  4.2755206] : 58
!!!atention to nb coordination!!!
         [2.0508109340707166, 2.0508109340707166, 2.0272435734776053, 2.067324202585762, 2.067324202585763]
         [2.0508109340707166, 2.0508109340707166, 2.0272435734776053, 2.0673242025857625, 2.067324202585763]

ce_symbol  = SS:9
ce_fraction=  0.22527989369734297
species:coords:index
O1 : [0.398061  7.3045155 7.10125  ] : 82
Mo1 : [-0.9836145  5.7834225  4.26075  ] : 22
Mo1 : [0.9836145 3.8315775 7.10125  ] : 30
O1 : [0.398061  7.3045155 4.26075  ] : 76
O1 : [2.844117 7.597773 5.681   ] : 92
Mo1 : [0.9836145 3.8315775 4.26075  ] : 20
Mo1 : [-0.9836145  5.7834225  7.10125  ] : 28
O1 : [2.5258605 5.205561  7.0864794] : 68
O1 : [2.5258605 5.205561  4.2755206] : 58
!!!atention to nb coordination!!!
