cif name= ./1536906.cif
./1536906.cif
Full Formula (Nd4 Cr4 O12)
Reduced Formula: NdCrO3
abc   :   5.481000   7.685000   5.382000
angles:  90.000000  90.000000  90.000000
Sites (20)
  #  SP         a      b       c
---  ----  ------  -----  ------
  0  Nd    0.0457  0.25   0.9901
  1  Nd    0.4543  0.75   0.4901
  2  Nd    0.5457  0.25   0.5099
  3  Nd    0.9543  0.75   0.0099
  4  Cr    0.5     0      0
  5  Cr    0       0      0.5
  6  Cr    0       0.5    0.5
  7  Cr    0.5     0.5    0
  8  O     0.4809  0.25   0.0821
  9  O     0.0191  0.75   0.5821
 10  O     0.9809  0.25   0.4179
 11  O     0.5191  0.75   0.9179
 12  O     0.2893  0.047  0.7079
 13  O     0.2107  0.953  0.2079
 14  O     0.7893  0.453  0.7921
 15  O     0.7107  0.547  0.2921
 16  O     0.7107  0.953  0.2921
 17  O     0.7893  0.047  0.7921
 18  O     0.2107  0.547  0.2079
 19  O     0.2893  0.453  0.7079

space_group_IT_number 62

*** lse ***


**isite= 0
Nd1 : [0.2504817 1.92125   5.3287182]
!!!atention to nb coordination!!!
         [2.3546336444057627, 2.720566693446452, 2.5540574503154243, 2.3296525257981284, 2.354633644405761, 2.436179901901631, 2.5540574503154225, 2.720566693446451]
         [2.3546336444057623, 2.7205666934464516, 2.554057450315424, 2.3296525257981284, 2.354633644405762, 2.436179901901631, 2.5540574503154234, 2.720566693446451]

ce_symbol  = DDPN:8
ce_fraction=  0.08812994578834463
species:coords:index
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [1.5856533 3.481305  3.8099178] : 19
O1 : [1.1548467 4.203695  1.1189178] : 18
O1 : [2.8451871 5.76375   4.9401378] : 11
O1 : [3.8953467 7.323805  1.5720822] : 16
O1 : [0.1046871 5.76375   3.1328622] : 9
O1 : [1.1548467 7.323805  1.1189178] : 13
O1 : [1.5856533 8.046195  3.8099178] : 12
!!!atention to nb coordination!!!
         [2.3546336444057627, 2.720566693446452, 2.5540574503154243, 2.3296525257981284, 2.354633644405761, 2.436179901901631, 2.5540574503154225, 2.720566693446451]
         [2.3546336444057623, 2.7205666934464516, 2.554057450315424, 2.3296525257981284, 2.354633644405762, 2.436179901901631, 2.5540574503154234, 2.720566693446451]

ce_symbol  = DD:8
ce_fraction=  0.04387569583012065
species:coords:index
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [1.5856533 3.481305  3.8099178] : 19
O1 : [1.1548467 4.203695  1.1189178] : 18
O1 : [2.8451871 5.76375   4.9401378] : 11
O1 : [3.8953467 7.323805  1.5720822] : 16
O1 : [0.1046871 5.76375   3.1328622] : 9
O1 : [1.1548467 7.323805  1.1189178] : 13
O1 : [1.5856533 8.046195  3.8099178] : 12
!!!atention to nb coordination!!!
         [2.3546336444057627, 2.720566693446452, 2.5540574503154243, 2.3296525257981284, 2.354633644405761, 2.436179901901631, 2.5540574503154225, 2.720566693446451]
         [2.3546336444057623, 2.7205666934464516, 2.554057450315424, 2.3296525257981284, 2.354633644405762, 2.436179901901631, 2.5540574503154234, 2.720566693446451]

ce_symbol  = BO_3:8
ce_fraction=  0.0013389290371716316
species:coords:index
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [1.5856533 3.481305  3.8099178] : 19
O1 : [1.1548467 4.203695  1.1189178] : 18
O1 : [2.8451871 5.76375   4.9401378] : 11
O1 : [3.8953467 7.323805  1.5720822] : 16
O1 : [0.1046871 5.76375   3.1328622] : 9
O1 : [1.1548467 7.323805  1.1189178] : 13
O1 : [1.5856533 8.046195  3.8099178] : 12
!!!atention to nb coordination!!!
         [2.3546336444057627, 2.720566693446452, 2.5540574503154243, 2.3296525257981284, 2.354633644405761, 2.436179901901631, 2.5540574503154225, 2.720566693446451]
         [2.3546336444057623, 2.7205666934464516, 2.554057450315424, 2.3296525257981284, 2.354633644405762, 2.436179901901631, 2.5540574503154234, 2.720566693446451]


**isite= 2
Nd1 : [2.9909817 1.92125   2.7442818]

ce_symbol  = SBT:8
ce_fraction=  0.5466593568913856
species:coords:index
O1 : [1.5856533 0.361195  3.8099178] : 12
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [2.6358129 1.92125   0.4418622] : 8
O1 : [1.5856533 3.481305  3.8099178] : 19
O1 : [5.3763129 1.92125   2.2491378] : 10
O1 : [ 3.8953467 -0.361195   1.5720822] : 16
O1 : [4.3261533 0.361195  4.2630822] : 17
O1 : [4.3261533 3.481305  4.2630822] : 14
!!!atention to nb coordination!!!
         [2.354633644405762, 2.7205666934464503, 2.3296525257981284, 2.3546336444057614, 2.4361799019016313, 2.7205666934464516, 2.554057450315423, 2.5540574503154225]
         [2.354633644405762, 2.720566693446451, 2.3296525257981284, 2.354633644405762, 2.4361799019016313, 2.720566693446451, 2.5540574503154225, 2.5540574503154225]

ce_symbol  = SA:8
ce_fraction=  0.3199960724529776
species:coords:index
O1 : [1.5856533 0.361195  3.8099178] : 12
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [2.6358129 1.92125   0.4418622] : 8
O1 : [1.5856533 3.481305  3.8099178] : 19
O1 : [5.3763129 1.92125   2.2491378] : 10
O1 : [ 3.8953467 -0.361195   1.5720822] : 16
O1 : [4.3261533 0.361195  4.2630822] : 17
O1 : [4.3261533 3.481305  4.2630822] : 14
!!!atention to nb coordination!!!
         [2.354633644405762, 2.7205666934464503, 2.3296525257981284, 2.3546336444057614, 2.4361799019016313, 2.7205666934464516, 2.554057450315423, 2.5540574503154225]
         [2.354633644405762, 2.720566693446451, 2.3296525257981284, 2.354633644405762, 2.4361799019016313, 2.720566693446451, 2.5540574503154225, 2.5540574503154225]

ce_symbol  = DDPN:8
ce_fraction=  0.08812994578834456
species:coords:index
O1 : [1.5856533 0.361195  3.8099178] : 12
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [2.6358129 1.92125   0.4418622] : 8
O1 : [1.5856533 3.481305  3.8099178] : 19
O1 : [5.3763129 1.92125   2.2491378] : 10
O1 : [ 3.8953467 -0.361195   1.5720822] : 16
O1 : [4.3261533 0.361195  4.2630822] : 17
O1 : [4.3261533 3.481305  4.2630822] : 14
!!!atention to nb coordination!!!
         [2.354633644405762, 2.7205666934464503, 2.3296525257981284, 2.3546336444057614, 2.4361799019016313, 2.7205666934464516, 2.554057450315423, 2.5540574503154225]
         [2.354633644405762, 2.720566693446451, 2.3296525257981284, 2.354633644405762, 2.4361799019016313, 2.720566693446451, 2.5540574503154225, 2.5540574503154225]

ce_symbol  = DD:8
ce_fraction=  0.0438756958301207
species:coords:index
O1 : [1.5856533 0.361195  3.8099178] : 12
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [2.6358129 1.92125   0.4418622] : 8
O1 : [1.5856533 3.481305  3.8099178] : 19
O1 : [5.3763129 1.92125   2.2491378] : 10
O1 : [ 3.8953467 -0.361195   1.5720822] : 16
O1 : [4.3261533 0.361195  4.2630822] : 17
O1 : [4.3261533 3.481305  4.2630822] : 14
!!!atention to nb coordination!!!
         [2.354633644405762, 2.7205666934464503, 2.3296525257981284, 2.3546336444057614, 2.4361799019016313, 2.7205666934464516, 2.554057450315423, 2.5540574503154225]
         [2.354633644405762, 2.720566693446451, 2.3296525257981284, 2.354633644405762, 2.4361799019016313, 2.720566693446451, 2.5540574503154225, 2.5540574503154225]

ce_symbol  = BO_3:8
ce_fraction=  0.001338929037171635
species:coords:index
O1 : [1.5856533 0.361195  3.8099178] : 12
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [2.6358129 1.92125   0.4418622] : 8
O1 : [1.5856533 3.481305  3.8099178] : 19
O1 : [5.3763129 1.92125   2.2491378] : 10
O1 : [ 3.8953467 -0.361195   1.5720822] : 16
O1 : [4.3261533 0.361195  4.2630822] : 17
O1 : [4.3261533 3.481305  4.2630822] : 14
!!!atention to nb coordination!!!
         [2.354633644405762, 2.7205666934464503, 2.3296525257981284, 2.3546336444057614, 2.4361799019016313, 2.7205666934464516, 2.554057450315423, 2.5540574503154225]
         [2.354633644405762, 2.720566693446451, 2.3296525257981284, 2.354633644405762, 2.4361799019016313, 2.720566693446451, 2.5540574503154225, 2.5540574503154225]


**isite= 3
Nd1 : [5.2305183 5.76375   0.0532818]

ce_symbol  = SBT:8
ce_fraction=  0.5466593568913856
species:coords:index
O1 : [6.6358467 7.323805  1.1189178] : 13
O1 : [3.8953467 7.323805  1.5720822] : 16
O1 : [ 4.3261533  8.046195  -1.1189178] : 17
O1 : [6.6358467 4.203695  1.1189178] : 18
O1 : [ 5.5856871  5.76375   -2.2491378] : 9
O1 : [ 2.8451871  5.76375   -0.4418622] : 11
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [ 4.3261533  3.481305  -1.1189178] : 14
!!!atention to nb coordination!!!
         [2.3546336444057614, 2.5540574503154225, 2.720566693446451, 2.354633644405763, 2.3296525257981284, 2.436179901901631, 2.5540574503154243, 2.7205666934464525]
         [2.354633644405762, 2.5540574503154234, 2.720566693446451, 2.3546336444057623, 2.3296525257981284, 2.436179901901631, 2.554057450315424, 2.7205666934464516]

ce_symbol  = SA:8
ce_fraction=  0.31999607245297734
species:coords:index
O1 : [6.6358467 7.323805  1.1189178] : 13
O1 : [3.8953467 7.323805  1.5720822] : 16
O1 : [ 4.3261533  8.046195  -1.1189178] : 17
O1 : [6.6358467 4.203695  1.1189178] : 18
O1 : [ 5.5856871  5.76375   -2.2491378] : 9
O1 : [ 2.8451871  5.76375   -0.4418622] : 11
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [ 4.3261533  3.481305  -1.1189178] : 14
!!!atention to nb coordination!!!
         [2.3546336444057614, 2.5540574503154225, 2.720566693446451, 2.354633644405763, 2.3296525257981284, 2.436179901901631, 2.5540574503154243, 2.7205666934464525]
         [2.354633644405762, 2.5540574503154234, 2.720566693446451, 2.3546336444057623, 2.3296525257981284, 2.436179901901631, 2.554057450315424, 2.7205666934464516]

ce_symbol  = DDPN:8
ce_fraction=  0.08812994578834485
species:coords:index
O1 : [6.6358467 7.323805  1.1189178] : 13
O1 : [3.8953467 7.323805  1.5720822] : 16
O1 : [ 4.3261533  8.046195  -1.1189178] : 17
O1 : [6.6358467 4.203695  1.1189178] : 18
O1 : [ 5.5856871  5.76375   -2.2491378] : 9
O1 : [ 2.8451871  5.76375   -0.4418622] : 11
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [ 4.3261533  3.481305  -1.1189178] : 14
!!!atention to nb coordination!!!
         [2.3546336444057614, 2.5540574503154225, 2.720566693446451, 2.354633644405763, 2.3296525257981284, 2.436179901901631, 2.5540574503154243, 2.7205666934464525]
         [2.354633644405762, 2.5540574503154234, 2.720566693446451, 2.3546336444057623, 2.3296525257981284, 2.436179901901631, 2.554057450315424, 2.7205666934464516]

ce_symbol  = DD:8
ce_fraction=  0.04387569583012069
species:coords:index
O1 : [6.6358467 7.323805  1.1189178] : 13
O1 : [3.8953467 7.323805  1.5720822] : 16
O1 : [ 4.3261533  8.046195  -1.1189178] : 17
O1 : [6.6358467 4.203695  1.1189178] : 18
O1 : [ 5.5856871  5.76375   -2.2491378] : 9
O1 : [ 2.8451871  5.76375   -0.4418622] : 11
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [ 4.3261533  3.481305  -1.1189178] : 14
!!!atention to nb coordination!!!
         [2.3546336444057614, 2.5540574503154225, 2.720566693446451, 2.354633644405763, 2.3296525257981284, 2.436179901901631, 2.5540574503154243, 2.7205666934464525]
         [2.354633644405762, 2.5540574503154234, 2.720566693446451, 2.3546336444057623, 2.3296525257981284, 2.436179901901631, 2.554057450315424, 2.7205666934464516]

ce_symbol  = BO_3:8
ce_fraction=  0.001338929037171625
species:coords:index
O1 : [6.6358467 7.323805  1.1189178] : 13
O1 : [3.8953467 7.323805  1.5720822] : 16
O1 : [ 4.3261533  8.046195  -1.1189178] : 17
O1 : [6.6358467 4.203695  1.1189178] : 18
O1 : [ 5.5856871  5.76375   -2.2491378] : 9
O1 : [ 2.8451871  5.76375   -0.4418622] : 11
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [ 4.3261533  3.481305  -1.1189178] : 14
!!!atention to nb coordination!!!
         [2.3546336444057614, 2.5540574503154225, 2.720566693446451, 2.354633644405763, 2.3296525257981284, 2.436179901901631, 2.5540574503154243, 2.7205666934464525]
         [2.354633644405762, 2.5540574503154234, 2.720566693446451, 2.3546336444057623, 2.3296525257981284, 2.436179901901631, 2.554057450315424, 2.7205666934464516]


**isite= 4
Cr1 : [2.7405 0.     0.    ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 2.8451871 -1.92125   -0.4418622] : 11
O1 : [ 3.8953467 -0.361195   1.5720822] : 16
O1 : [ 1.1548467 -0.361195   1.1189178] : 13
O1 : [2.6358129 1.92125   0.4418622] : 8
O1 : [ 4.3261533  0.361195  -1.1189178] : 17
O1 : [ 1.5856533  0.361195  -1.5720822] : 12
!!!atention to nb coordination!!!
         [1.9741841745883923, 1.9838284129638657, 1.9740150098169795, 1.9741841745883915, 1.9740150098169795, 1.9838284129638657]
         [1.9741841745883917, 1.9838284129638655, 1.9740150098169793, 1.9741841745883917, 1.974015009816979, 1.9838284129638657]


**isite= 5
Cr1 : [0.    0.    2.691]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-1.5856533 -0.361195   1.5720822] : 16
O1 : [1.5856533 0.361195  3.8099178] : 12
O1 : [-1.1548467  0.361195   4.2630822] : 17
O1 : [-0.1046871  1.92125    2.2491378] : 10
O1 : [ 0.1046871 -1.92125    3.1328622] : 9
O1 : [ 1.1548467 -0.361195   1.1189178] : 13
!!!atention to nb coordination!!!
         [1.9740150098169795, 1.9740150098169795, 1.9838284129638655, 1.9741841745883915, 1.9741841745883923, 1.983828412963866]
         [1.9740150098169793, 1.9740150098169793, 1.9838284129638653, 1.9741841745883917, 1.9741841745883917, 1.9838284129638657]


**isite= 6
Cr1 : [0.     3.8425 2.691 ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-0.1046871  1.92125    2.2491378] : 10
O1 : [1.1548467 4.203695  1.1189178] : 18
O1 : [-1.5856533  4.203695   1.5720822] : 15
O1 : [-1.1548467  3.481305   4.2630822] : 14
O1 : [1.5856533 3.481305  3.8099178] : 19
O1 : [0.1046871 5.76375   3.1328622] : 9
!!!atention to nb coordination!!!
         [1.974184174588392, 1.9838284129638655, 1.9740150098169793, 1.9838284129638655, 1.9740150098169795, 1.974184174588391]
         [1.9741841745883917, 1.9838284129638655, 1.974015009816979, 1.9838284129638655, 1.9740150098169793, 1.974184174588392]


**isite= 7
Cr1 : [2.7405 3.8425 0.    ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 4.3261533  3.481305  -1.1189178] : 14
O1 : [ 2.8451871  5.76375   -0.4418622] : 11
O1 : [ 1.5856533  3.481305  -1.5720822] : 19
O1 : [1.1548467 4.203695  1.1189178] : 18
O1 : [3.8953467 4.203695  1.5720822] : 15
O1 : [2.6358129 1.92125   0.4418622] : 8
!!!atention to nb coordination!!!
         [1.9740150098169795, 1.974184174588391, 1.983828412963866, 1.974015009816979, 1.9838284129638653, 1.974184174588392]
         [1.974015009816979, 1.974184174588392, 1.9838284129638657, 1.974015009816979, 1.9838284129638655, 1.9741841745883917]


**isite= 8
O1 : [2.6358129 1.92125   0.4418622]

ce_symbol  = SS:4
ce_fraction=  0.815370587346385
species:coords:index
Cr1 : [2.7405 0.     0.    ] : 4
Cr1 : [2.7405 3.8425 0.    ] : 7
Nd1 : [ 0.2504817  1.92125   -0.0532818] : 0
Nd1 : [2.9909817 1.92125   2.7442818] : 2
!!!atention to nb coordination!!!
         [1.9741841745883917, 1.9741841745883912, 2.436179901901631, 2.3296525257981284]
         [1.9741841745883917, 1.9741841745883917, 2.436179901901631, 2.3296525257981284]

ce_symbol  = T:4
ce_fraction=  0.1777928073335395
species:coords:index
Cr1 : [2.7405 0.     0.    ] : 4
Cr1 : [2.7405 3.8425 0.    ] : 7
Nd1 : [ 0.2504817  1.92125   -0.0532818] : 0
Nd1 : [2.9909817 1.92125   2.7442818] : 2
!!!atention to nb coordination!!!
         [1.9741841745883917, 1.9741841745883912, 2.436179901901631, 2.3296525257981284]
         [1.9741841745883917, 1.9741841745883917, 2.436179901901631, 2.3296525257981284]

ce_symbol  = TL:3
ce_fraction=  0.0032731235639185323
species:coords:index
Cr1 : [2.7405 0.     0.    ] : 4
Cr1 : [2.7405 3.8425 0.    ] : 7
Nd1 : [2.9909817 1.92125   2.7442818] : 2
!!!atention to nb coordination!!!
         [1.9741841745883917, 1.9741841745883912, 2.3296525257981284]
         [1.9741841745883917, 1.9741841745883917, 2.3296525257981284]

ce_symbol  = TS:3
ce_fraction=  0.001424586770753925
species:coords:index
Cr1 : [2.7405 0.     0.    ] : 4
Cr1 : [2.7405 3.8425 0.    ] : 7
Nd1 : [2.9909817 1.92125   2.7442818] : 2
!!!atention to nb coordination!!!
         [1.9741841745883917, 1.9741841745883912, 2.3296525257981284]
         [1.9741841745883917, 1.9741841745883917, 2.3296525257981284]

ce_symbol  = L:2
ce_fraction=  0.0013639135110337765
species:coords:index
Cr1 : [2.7405 0.     0.    ] : 4
Cr1 : [2.7405 3.8425 0.    ] : 7
!!!atention to nb coordination!!!
         [1.9741841745883917, 1.9741841745883912]
         [1.9741841745883917, 1.9741841745883917]

ce_symbol  = TY:3
ce_fraction=  0.0005613990854703611
species:coords:index
Cr1 : [2.7405 0.     0.    ] : 4
Cr1 : [2.7405 3.8425 0.    ] : 7
Nd1 : [2.9909817 1.92125   2.7442818] : 2
!!!atention to nb coordination!!!
         [1.9741841745883917, 1.9741841745883912, 2.3296525257981284]
         [1.9741841745883917, 1.9741841745883917, 2.3296525257981284]

ce_symbol  = A:2
ce_fraction=  0.00021358238889881346
species:coords:index
Cr1 : [2.7405 0.     0.    ] : 4
Cr1 : [2.7405 3.8425 0.    ] : 7
!!!atention to nb coordination!!!
         [1.9741841745883917, 1.9741841745883912]
         [1.9741841745883917, 1.9741841745883917]


**isite= 9
O1 : [0.1046871 5.76375   3.1328622]

ce_symbol  = SS:4
ce_fraction=  0.8153705873463856
species:coords:index
Cr1 : [0.    7.685 2.691] : 5
Nd1 : [-0.2504817  5.76375    5.4352818] : 3
Cr1 : [0.     3.8425 2.691 ] : 6
Nd1 : [2.4900183 5.76375   2.6377182] : 1
!!!atention to nb coordination!!!
         [1.9741841745883915, 2.329652525798128, 1.9741841745883923, 2.436179901901631]
         [1.9741841745883915, 2.329652525798128, 1.974184174588392, 2.436179901901631]

ce_symbol  = T:4
ce_fraction=  0.17779280733353908
species:coords:index
Cr1 : [0.    7.685 2.691] : 5
Nd1 : [-0.2504817  5.76375    5.4352818] : 3
Cr1 : [0.     3.8425 2.691 ] : 6
Nd1 : [2.4900183 5.76375   2.6377182] : 1
!!!atention to nb coordination!!!
         [1.9741841745883915, 2.329652525798128, 1.9741841745883923, 2.436179901901631]
         [1.9741841745883915, 2.329652525798128, 1.974184174588392, 2.436179901901631]

ce_symbol  = TL:3
ce_fraction=  0.0032731235639185496
species:coords:index
Cr1 : [0.    7.685 2.691] : 5
Nd1 : [-0.2504817  5.76375    5.4352818] : 3
Cr1 : [0.     3.8425 2.691 ] : 6
!!!atention to nb coordination!!!
         [1.9741841745883915, 2.329652525798128, 1.9741841745883923]
         [1.9741841745883915, 2.329652525798128, 1.974184174588392]

ce_symbol  = TS:3
ce_fraction=  0.0014245867707539251
species:coords:index
Cr1 : [0.    7.685 2.691] : 5
Nd1 : [-0.2504817  5.76375    5.4352818] : 3
Cr1 : [0.     3.8425 2.691 ] : 6
!!!atention to nb coordination!!!
         [1.9741841745883915, 2.329652525798128, 1.9741841745883923]
         [1.9741841745883915, 2.329652525798128, 1.974184174588392]

ce_symbol  = L:2
ce_fraction=  0.0013639135110337492
species:coords:index
Cr1 : [0.    7.685 2.691] : 5
Cr1 : [0.     3.8425 2.691 ] : 6
!!!atention to nb coordination!!!
         [1.9741841745883915, 1.9741841745883923]
         [1.9741841745883915, 1.974184174588392]

ce_symbol  = TY:3
ce_fraction=  0.0005613990854703633
species:coords:index
Cr1 : [0.    7.685 2.691] : 5
Nd1 : [-0.2504817  5.76375    5.4352818] : 3
Cr1 : [0.     3.8425 2.691 ] : 6
!!!atention to nb coordination!!!
         [1.9741841745883915, 2.329652525798128, 1.9741841745883923]
         [1.9741841745883915, 2.329652525798128, 1.974184174588392]

ce_symbol  = A:2
ce_fraction=  0.00021358238889880934
species:coords:index
Cr1 : [0.    7.685 2.691] : 5
Cr1 : [0.     3.8425 2.691 ] : 6
!!!atention to nb coordination!!!
         [1.9741841745883915, 1.9741841745883923]
         [1.9741841745883915, 1.974184174588392]


**isite= 10
O1 : [5.3763129 1.92125   2.2491378]

ce_symbol  = SS:4
ce_fraction=  0.8153705873463862
species:coords:index
Nd1 : [ 5.7314817  1.92125   -0.0532818] : 0
