cif name= ./1510797.cif
./1510797.cif
Full Formula (Sr12 B24 O48)
 77  O     0.6151   0.3257   0.2398
 78  O     0.3849   0.8257   0.2602
 79  O     0.1151   0.1743   0.7602
 80  O     0.7398   0.8849   0.6743
 81  O     0.2398   0.6151   0.3257
 82  O     0.2602   0.3849   0.8257
 83  O     0.7602   0.1151   0.1743

space_group_IT_number 205

*** lse ***


**isite= 0
Sr1 : [0. 0. 0.]

ce_symbol  = C:12
ce_fraction=  0.9544619776604845
species:coords:index
O1 : [-2.20910954  1.06033573  1.60570389] : 83
O1 : [-1.60570389  2.20910954 -1.06033573] : 62
O1 : [-1.06033573 -1.60570389  2.20910954] : 67
O1 : [-2.59510491  0.02026706 -0.85766513] : 56
O1 : [-0.85766513 -2.59510491  0.02026706] : 48
O1 : [ 0.02026706 -0.85766513 -2.59510491] : 52
O1 : [ 2.20910954 -1.06033573 -1.60570389] : 71
O1 : [ 1.06033573  1.60570389 -2.20910954] : 79
O1 : [ 0.85766513  2.59510491 -0.02026706] : 36
O1 : [ 1.60570389 -2.20910954  1.06033573] : 74
O1 : [-0.02026706  0.85766513  2.59510491] : 40
O1 : [ 2.59510491 -0.02026706  0.85766513] : 44
!!!atention to nb coordination!!!
         [2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443]
         [2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.733234297100245, 2.733234297100245, 2.733234297100245, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443]

ce_symbol  = I:12
ce_fraction=  0.04375132649251203
species:coords:index
O1 : [-2.20910954  1.06033573  1.60570389] : 83
O1 : [-1.60570389  2.20910954 -1.06033573] : 62
O1 : [-1.06033573 -1.60570389  2.20910954] : 67
O1 : [-2.59510491  0.02026706 -0.85766513] : 56
O1 : [-0.85766513 -2.59510491  0.02026706] : 48
O1 : [ 0.02026706 -0.85766513 -2.59510491] : 52
O1 : [ 2.20910954 -1.06033573 -1.60570389] : 71
O1 : [ 1.06033573  1.60570389 -2.20910954] : 79
O1 : [ 0.85766513  2.59510491 -0.02026706] : 36
O1 : [ 1.60570389 -2.20910954  1.06033573] : 74
O1 : [-0.02026706  0.85766513  2.59510491] : 40
O1 : [ 2.59510491 -0.02026706  0.85766513] : 44
!!!atention to nb coordination!!!
         [2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443]
         [2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.733234297100245, 2.733234297100245, 2.733234297100245, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443]

ce_symbol  = AC:12
ce_fraction=  0.0017866958470035058
species:coords:index
O1 : [-2.20910954  1.06033573  1.60570389] : 83
O1 : [-1.60570389  2.20910954 -1.06033573] : 62
O1 : [-1.06033573 -1.60570389  2.20910954] : 67
O1 : [-2.59510491  0.02026706 -0.85766513] : 56
O1 : [-0.85766513 -2.59510491  0.02026706] : 48
O1 : [ 0.02026706 -0.85766513 -2.59510491] : 52
O1 : [ 2.20910954 -1.06033573 -1.60570389] : 71
O1 : [ 1.06033573  1.60570389 -2.20910954] : 79
O1 : [ 0.85766513  2.59510491 -0.02026706] : 36
O1 : [ 1.60570389 -2.20910954  1.06033573] : 74
O1 : [-0.02026706  0.85766513  2.59510491] : 40
O1 : [ 2.59510491 -0.02026706  0.85766513] : 44
!!!atention to nb coordination!!!
         [2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443]
         [2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.733234297100245, 2.733234297100245, 2.733234297100245, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443]


**isite= 1
Sr1 : [4.60615 0.      4.60615]

ce_symbol  = C:12
ce_fraction=  0.9544619776604847
species:coords:index
O1 : [2.01104509 0.02026706 5.46381513] : 47
O1 : [ 4.62641706 -0.85766513  7.20125491] : 41
O1 : [5.66648573 1.60570389 6.81525954] : 66
O1 : [2.39704046 1.06033573 3.00044611] : 68
O1 : [ 3.54581427 -1.60570389  2.39704046] : 78
O1 : [3.00044611 2.20910954 5.66648573] : 75
O1 : [ 6.81525954 -1.06033573  6.21185389] : 80
O1 : [ 3.74848487 -2.59510491  4.58588294] : 37
O1 : [ 6.21185389 -2.20910954  3.54581427] : 63
O1 : [ 7.20125491 -0.02026706  3.74848487] : 59
O1 : [5.46381513 2.59510491 4.62641706] : 49
O1 : [4.58588294 0.85766513 2.01104509] : 53
!!!atention to nb coordination!!!
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.9296350971400473, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443]
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400473, 2.9296350971400478, 2.9296350971400478, 2.9296350971400473, 2.9296350971400478, 2.733234297100245, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443]

ce_symbol  = I:12
ce_fraction=  0.04375132649251201
species:coords:index
O1 : [2.01104509 0.02026706 5.46381513] : 47
O1 : [ 4.62641706 -0.85766513  7.20125491] : 41
O1 : [5.66648573 1.60570389 6.81525954] : 66
O1 : [2.39704046 1.06033573 3.00044611] : 68
O1 : [ 3.54581427 -1.60570389  2.39704046] : 78
O1 : [3.00044611 2.20910954 5.66648573] : 75
O1 : [ 6.81525954 -1.06033573  6.21185389] : 80
O1 : [ 3.74848487 -2.59510491  4.58588294] : 37
O1 : [ 6.21185389 -2.20910954  3.54581427] : 63
O1 : [ 7.20125491 -0.02026706  3.74848487] : 59
O1 : [5.46381513 2.59510491 4.62641706] : 49
O1 : [4.58588294 0.85766513 2.01104509] : 53
!!!atention to nb coordination!!!
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.9296350971400473, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443]
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400473, 2.9296350971400478, 2.9296350971400478, 2.9296350971400473, 2.9296350971400478, 2.733234297100245, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443]

ce_symbol  = AC:12
ce_fraction=  0.0017866958470034893
species:coords:index
O1 : [2.01104509 0.02026706 5.46381513] : 47
O1 : [ 4.62641706 -0.85766513  7.20125491] : 41
O1 : [5.66648573 1.60570389 6.81525954] : 66
O1 : [2.39704046 1.06033573 3.00044611] : 68
O1 : [ 3.54581427 -1.60570389  2.39704046] : 78
O1 : [3.00044611 2.20910954 5.66648573] : 75
O1 : [ 6.81525954 -1.06033573  6.21185389] : 80
O1 : [ 3.74848487 -2.59510491  4.58588294] : 37
O1 : [ 6.21185389 -2.20910954  3.54581427] : 63
O1 : [ 7.20125491 -0.02026706  3.74848487] : 59
O1 : [5.46381513 2.59510491 4.62641706] : 49
O1 : [4.58588294 0.85766513 2.01104509] : 53
!!!atention to nb coordination!!!
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.9296350971400473, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443]
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400473, 2.9296350971400478, 2.9296350971400478, 2.9296350971400473, 2.9296350971400478, 2.733234297100245, 2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443]


**isite= 2
Sr1 : [4.60615 4.60615 0.     ]

ce_symbol  = C:12
ce_fraction=  0.9544619776604844
species:coords:index
O1 : [ 3.54581427  6.21185389 -2.20910954] : 65
O1 : [ 3.74848487  7.20125491 -0.02026706] : 50
O1 : [2.01104509 4.58588294 0.85766513] : 57
O1 : [4.62641706 5.46381513 2.59510491] : 54
O1 : [ 4.58588294  3.74848487 -2.59510491] : 42
O1 : [ 2.39704046  3.54581427 -1.60570389] : 82
O1 : [6.81525954 5.66648573 1.60570389] : 70
O1 : [5.66648573 3.00044611 2.20910954] : 77
O1 : [ 6.21185389  6.81525954 -1.06033573] : 72
O1 : [ 7.20125491  4.62641706 -0.85766513] : 45
O1 : [3.00044611 2.39704046 1.06033573] : 60
O1 : [5.46381513 2.01104509 0.02026706] : 38
!!!atention to nb coordination!!!
         [2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443]
         [2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.733234297100245, 2.9296350971400478, 2.9296350971400473, 2.9296350971400473, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443]

ce_symbol  = I:12
ce_fraction=  0.04375132649251216
species:coords:index
O1 : [ 3.54581427  6.21185389 -2.20910954] : 65
O1 : [ 3.74848487  7.20125491 -0.02026706] : 50
O1 : [2.01104509 4.58588294 0.85766513] : 57
O1 : [4.62641706 5.46381513 2.59510491] : 54
O1 : [ 4.58588294  3.74848487 -2.59510491] : 42
O1 : [ 2.39704046  3.54581427 -1.60570389] : 82
O1 : [6.81525954 5.66648573 1.60570389] : 70
O1 : [5.66648573 3.00044611 2.20910954] : 77
O1 : [ 6.21185389  6.81525954 -1.06033573] : 72
O1 : [ 7.20125491  4.62641706 -0.85766513] : 45
O1 : [3.00044611 2.39704046 1.06033573] : 60
O1 : [5.46381513 2.01104509 0.02026706] : 38
!!!atention to nb coordination!!!
         [2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443]
         [2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.733234297100245, 2.9296350971400478, 2.9296350971400473, 2.9296350971400473, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443]

ce_symbol  = AC:12
ce_fraction=  0.0017866958470035127
species:coords:index
O1 : [ 3.54581427  6.21185389 -2.20910954] : 65
O1 : [ 3.74848487  7.20125491 -0.02026706] : 50
O1 : [2.01104509 4.58588294 0.85766513] : 57
O1 : [4.62641706 5.46381513 2.59510491] : 54
O1 : [ 4.58588294  3.74848487 -2.59510491] : 42
O1 : [ 2.39704046  3.54581427 -1.60570389] : 82
O1 : [6.81525954 5.66648573 1.60570389] : 70
O1 : [5.66648573 3.00044611 2.20910954] : 77
O1 : [ 6.21185389  6.81525954 -1.06033573] : 72
O1 : [ 7.20125491  4.62641706 -0.85766513] : 45
O1 : [3.00044611 2.39704046 1.06033573] : 60
O1 : [5.46381513 2.01104509 0.02026706] : 38
!!!atention to nb coordination!!!
         [2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443]
         [2.9296350971400478, 2.7332342971002443, 2.7332342971002443, 2.7332342971002443, 2.733234297100245, 2.9296350971400478, 2.9296350971400473, 2.9296350971400473, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443]


**isite= 3
Sr1 : [0.      4.60615 4.60615]

ce_symbol  = C:12
ce_fraction=  0.9544619776604845
species:coords:index
O1 : [2.59510491 4.62641706 5.46381513] : 58
O1 : [-0.02026706  3.74848487  7.20125491] : 55
O1 : [1.60570389 6.81525954 5.66648573] : 61
O1 : [2.20910954 5.66648573 3.00044611] : 81
O1 : [1.06033573 3.00044611 2.39704046] : 64
O1 : [0.85766513 2.01104509 4.58588294] : 51
O1 : [-2.20910954  3.54581427  6.21185389] : 69
O1 : [0.02026706 5.46381513 2.01104509] : 43
O1 : [-1.06033573  6.21185389  6.81525954] : 76
O1 : [-0.85766513  7.20125491  4.62641706] : 39
O1 : [-1.60570389  2.39704046  3.54581427] : 73
O1 : [-2.59510491  4.58588294  3.74848487] : 46
!!!atention to nb coordination!!!
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400473, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443]
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400473, 2.9296350971400473, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.733234297100245]

ce_symbol  = I:12
ce_fraction=  0.04375132649251202
species:coords:index
O1 : [2.59510491 4.62641706 5.46381513] : 58
O1 : [-0.02026706  3.74848487  7.20125491] : 55
O1 : [1.60570389 6.81525954 5.66648573] : 61
O1 : [2.20910954 5.66648573 3.00044611] : 81
O1 : [1.06033573 3.00044611 2.39704046] : 64
O1 : [0.85766513 2.01104509 4.58588294] : 51
O1 : [-2.20910954  3.54581427  6.21185389] : 69
O1 : [0.02026706 5.46381513 2.01104509] : 43
O1 : [-1.06033573  6.21185389  6.81525954] : 76
O1 : [-0.85766513  7.20125491  4.62641706] : 39
O1 : [-1.60570389  2.39704046  3.54581427] : 73
O1 : [-2.59510491  4.58588294  3.74848487] : 46
!!!atention to nb coordination!!!
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400473, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443]
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400473, 2.9296350971400473, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.733234297100245]

ce_symbol  = AC:12
ce_fraction=  0.0017866958470034975
species:coords:index
O1 : [2.59510491 4.62641706 5.46381513] : 58
O1 : [-0.02026706  3.74848487  7.20125491] : 55
O1 : [1.60570389 6.81525954 5.66648573] : 61
O1 : [2.20910954 5.66648573 3.00044611] : 81
O1 : [1.06033573 3.00044611 2.39704046] : 64
O1 : [0.85766513 2.01104509 4.58588294] : 51
O1 : [-2.20910954  3.54581427  6.21185389] : 69
O1 : [0.02026706 5.46381513 2.01104509] : 43
O1 : [-1.06033573  6.21185389  6.81525954] : 76
O1 : [-0.85766513  7.20125491  4.62641706] : 39
O1 : [-1.60570389  2.39704046  3.54581427] : 73
O1 : [-2.59510491  4.58588294  3.74848487] : 46
!!!atention to nb coordination!!!
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400473, 2.9296350971400478, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443]
         [2.7332342971002443, 2.7332342971002443, 2.9296350971400473, 2.9296350971400473, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.7332342971002443, 2.9296350971400478, 2.733234297100245]


**isite= 4
Sr1 : [3.41757905 3.41757905 3.41757905]

ce_symbol  = TI:9
ce_fraction=  0.9133154753260799
species:coords:index
O1 : [3.00044611 2.20910954 5.66648573] : 75
O1 : [2.59510491 4.62641706 5.46381513] : 58
O1 : [5.46381513 2.59510491 4.62641706] : 49
O1 : [2.39704046 1.06033573 3.00044611] : 68
O1 : [2.20910954 5.66648573 3.00044611] : 81
O1 : [1.06033573 3.00044611 2.39704046] : 64
O1 : [4.62641706 5.46381513 2.59510491] : 54
O1 : [5.66648573 3.00044611 2.20910954] : 77
O1 : [3.00044611 2.39704046 1.06033573] : 60
!!!atention to nb coordination!!!
         [2.5868861004294077, 2.514922488074425, 2.5149224880744248, 2.602324922709724, 2.5868861004294077, 2.602324922709724, 2.514922488074425, 2.586886100429408, 2.602324922709724]
         [2.586886100429408, 2.514922488074425, 2.5149224880744248, 2.602324922709724, 2.586886100429408, 2.602324922709724, 2.5149224880744248, 2.586886100429408, 2.6023249227097245]

ce_symbol  = TO_3:9
ce_fraction=  0.08454045906405408
species:coords:index
O1 : [3.00044611 2.20910954 5.66648573] : 75
O1 : [2.59510491 4.62641706 5.46381513] : 58
O1 : [5.46381513 2.59510491 4.62641706] : 49
O1 : [2.39704046 1.06033573 3.00044611] : 68
O1 : [2.20910954 5.66648573 3.00044611] : 81
O1 : [1.06033573 3.00044611 2.39704046] : 64
O1 : [4.62641706 5.46381513 2.59510491] : 54
O1 : [5.66648573 3.00044611 2.20910954] : 77
O1 : [3.00044611 2.39704046 1.06033573] : 60
!!!atention to nb coordination!!!
         [2.5868861004294077, 2.514922488074425, 2.5149224880744248, 2.602324922709724, 2.5868861004294077, 2.602324922709724, 2.514922488074425, 2.586886100429408, 2.602324922709724]
         [2.586886100429408, 2.514922488074425, 2.5149224880744248, 2.602324922709724, 2.586886100429408, 2.602324922709724, 2.5149224880744248, 2.586886100429408, 2.6023249227097245]

ce_symbol  = TC:9
ce_fraction=  0.0021440656098659634
species:coords:index
O1 : [3.00044611 2.20910954 5.66648573] : 75
O1 : [2.59510491 4.62641706 5.46381513] : 58
O1 : [5.46381513 2.59510491 4.62641706] : 49
O1 : [2.39704046 1.06033573 3.00044611] : 68
O1 : [2.20910954 5.66648573 3.00044611] : 81
O1 : [1.06033573 3.00044611 2.39704046] : 64
O1 : [4.62641706 5.46381513 2.59510491] : 54
O1 : [5.66648573 3.00044611 2.20910954] : 77
O1 : [3.00044611 2.39704046 1.06033573] : 60
!!!atention to nb coordination!!!
         [2.5868861004294077, 2.514922488074425, 2.5149224880744248, 2.602324922709724, 2.5868861004294077, 2.602324922709724, 2.514922488074425, 2.586886100429408, 2.602324922709724]
         [2.586886100429408, 2.514922488074425, 2.5149224880744248, 2.602324922709724, 2.586886100429408, 2.602324922709724, 2.5149224880744248, 2.586886100429408, 2.6023249227097245]


**isite= 5
Sr1 : [1.18857095 5.79472095 8.02372905]

ce_symbol  = TI:9
ce_fraction=  0.8725317326362485
species:coords:index
O1 : [-1.06033573  6.21185389  6.81525954] : 76
O1 : [-0.02026706  3.74848487  7.20125491] : 55
O1 : [2.39704046 3.54581427 7.60659611] : 82
O1 : [ 1.60570389  7.00319046 10.27263573] : 74
O1 : [-0.85766513  6.61719509  9.23256706] : 48
O1 : [3.54581427 6.21185389 7.00319046] : 65
O1 : [1.60570389 6.81525954 5.66648573] : 61
O1 : [2.20910954 8.15196427 7.60659611] : 71
O1 : [ 2.01104509  4.58588294 10.06996513] : 57
!!!atention to nb coordination!!!
         [2.586886100429408, 2.5149224880744265, 2.5868861004294086, 2.5868861004294086, 2.5149224880744256, 2.602324922709724, 2.602324922709724, 2.602324922709723, 2.5149224880744256]
         [2.586886100429408, 2.514922488074426, 2.5868861004294086, 2.5868861004294086, 2.5149224880744256, 2.602324922709724, 2.602324922709724, 2.602324922709723, 2.514922488074425]

ce_symbol  = TO_3:9
ce_fraction=  0.08076533817483703
species:coords:index
O1 : [-1.06033573  6.21185389  6.81525954] : 76
O1 : [-0.02026706  3.74848487  7.20125491] : 55
O1 : [2.39704046 3.54581427 7.60659611] : 82
O1 : [ 1.60570389  7.00319046 10.27263573] : 74
O1 : [-0.85766513  6.61719509  9.23256706] : 48
O1 : [3.54581427 6.21185389 7.00319046] : 65
O1 : [1.60570389 6.81525954 5.66648573] : 61
O1 : [2.20910954 8.15196427 7.60659611] : 71
O1 : [ 2.01104509  4.58588294 10.06996513] : 57
!!!atention to nb coordination!!!
         [2.586886100429408, 2.5149224880744265, 2.5868861004294086, 2.5868861004294086, 2.5149224880744256, 2.602324922709724, 2.602324922709724, 2.602324922709723, 2.5149224880744256]
         [2.586886100429408, 2.514922488074426, 2.5868861004294086, 2.5868861004294086, 2.5149224880744256, 2.602324922709724, 2.602324922709724, 2.602324922709723, 2.514922488074425]

ce_symbol  = TT_1:9
ce_fraction=  0.044346962705266606
species:coords:index
O1 : [-1.06033573  6.21185389  6.81525954] : 76
O1 : [-0.02026706  3.74848487  7.20125491] : 55
O1 : [2.39704046 3.54581427 7.60659611] : 82
O1 : [ 1.60570389  7.00319046 10.27263573] : 74
O1 : [-0.85766513  6.61719509  9.23256706] : 48
O1 : [3.54581427 6.21185389 7.00319046] : 65
O1 : [1.60570389 6.81525954 5.66648573] : 61
O1 : [2.20910954 8.15196427 7.60659611] : 71
O1 : [ 2.01104509  4.58588294 10.06996513] : 57
!!!atention to nb coordination!!!
         [2.586886100429408, 2.5149224880744265, 2.5868861004294086, 2.5868861004294086, 2.5149224880744256, 2.602324922709724, 2.602324922709724, 2.602324922709723, 2.5149224880744256]
         [2.586886100429408, 2.514922488074426, 2.5868861004294086, 2.5868861004294086, 2.5149224880744256, 2.602324922709724, 2.602324922709724, 2.602324922709723, 2.514922488074425]

ce_symbol  = TC:9
ce_fraction=  0.0020483232048534505
species:coords:index
O1 : [-1.06033573  6.21185389  6.81525954] : 76
O1 : [-0.02026706  3.74848487  7.20125491] : 55
O1 : [2.39704046 3.54581427 7.60659611] : 82
O1 : [ 1.60570389  7.00319046 10.27263573] : 74
O1 : [-0.85766513  6.61719509  9.23256706] : 48
O1 : [3.54581427 6.21185389 7.00319046] : 65
O1 : [1.60570389 6.81525954 5.66648573] : 61
O1 : [2.20910954 8.15196427 7.60659611] : 71
O1 : [ 2.01104509  4.58588294 10.06996513] : 57
!!!atention to nb coordination!!!
         [2.586886100429408, 2.5149224880744265, 2.5868861004294086, 2.5868861004294086, 2.5149224880744256, 2.602324922709724, 2.602324922709724, 2.602324922709723, 2.5149224880744256]
         [2.586886100429408, 2.514922488074426, 2.5868861004294086, 2.5868861004294086, 2.5149224880744256, 2.602324922709724, 2.602324922709724, 2.602324922709723, 2.514922488074425]

ce_symbol  = SMA:9
ce_fraction=  0.0003076432787944091
species:coords:index
O1 : [-1.06033573  6.21185389  6.81525954] : 76
O1 : [-0.02026706  3.74848487  7.20125491] : 55
O1 : [2.39704046 3.54581427 7.60659611] : 82
O1 : [ 1.60570389  7.00319046 10.27263573] : 74
O1 : [-0.85766513  6.61719509  9.23256706] : 48
O1 : [3.54581427 6.21185389 7.00319046] : 65
O1 : [1.60570389 6.81525954 5.66648573] : 61
O1 : [2.20910954 8.15196427 7.60659611] : 71
O1 : [ 2.01104509  4.58588294 10.06996513] : 57
!!!atention to nb coordination!!!
         [2.586886100429408, 2.5149224880744265, 2.5868861004294086, 2.5868861004294086, 2.5149224880744256, 2.602324922709724, 2.602324922709724, 2.602324922709723, 2.5149224880744256]
         [2.586886100429408, 2.514922488074426, 2.5868861004294086, 2.5868861004294086, 2.5149224880744256, 2.602324922709724, 2.602324922709724, 2.602324922709723, 2.514922488074425]


**isite= 6
Sr1 : [8.02372905 1.18857095 5.79472095]

ce_symbol  = TI:9
ce_fraction=  0.9133154753260799
species:coords:index
O1 : [ 9.23256706 -0.85766513  6.61719509] : 52
O1 : [ 7.20125491 -0.02026706  3.74848487] : 59
O1 : [ 6.81525954 -1.06033573  6.21185389] : 80
O1 : [10.27263573  1.60570389  7.00319046] : 79
O1 : [10.06996513  2.01104509  4.58588294] : 51
O1 : [7.60659611 2.39704046 3.54581427] : 73
O1 : [7.60659611 2.20910954 8.15196427] : 62
O1 : [5.66648573 1.60570389 6.81525954] : 66
O1 : [7.00319046 3.54581427 6.21185389] : 69
!!!atention to nb coordination!!!
         [2.5149224880744256, 2.5149224880744265, 2.586886100429408, 2.5868861004294086, 2.514922488074425, 2.5868861004294086, 2.602324922709723, 2.602324922709724, 2.602324922709724]
