cif name= ./4338443.cif
./4338443.cif
Full Formula (Li24 B16 O36)
 60  O     0.47036  0.30068  0.63816
 61  O     0.52964  0.80068  0.86184
 62  O     0.52964  0.69932  0.36184
 63  O     0.47036  0.19932  0.13816
 64  O     0.21205  0.35967  0.42185
 65  O     0.78795  0.85967  0.07815
 66  O     0.78795  0.64033  0.57815
 67  O     0.21205  0.14033  0.92185
 68  O     0.52001  0.20225  0.68761
 69  O     0.47999  0.70225  0.81239
 70  O     0.47999  0.79775  0.31239
 71  O     0.52001  0.29775  0.18761
 72  O     0.25871  0.23209  0.43971
 73  O     0.74129  0.73209  0.06029
 74  O     0.74129  0.76791  0.56029
 75  O     0.25871  0.26791  0.93971

space_group_IT_number 14

*** lse ***


**isite= 0
Li1 : [1.16135503 8.90778291 2.92566032]

ce_symbol  = T:5
ce_fraction=  0.8461785434355962
species:coords:index
O1 : [ 1.09051188 10.07886984  1.33767996] : 46
O1 : [ 1.07933024 11.07334761  3.49844203] : 42
O1 : [1.18271795 6.95573775 1.7163325 ] : 71
O1 : [-0.51773081  8.40225087  3.85925517] : 64
O1 : [2.80139919 8.40225087 3.85925517] : 64
!!!atention to nb coordination!!!
         [1.9743720422035007, 2.241534614705899, 2.296390746626214, 1.9865777714566049, 1.9536905755201113]
         [1.9743720422034998, 2.2415346147058974, 2.2963907466262157, 1.9865777714566053, 1.9536905755201117]

ce_symbol  = TL:3
ce_fraction=  0.14978869583005291
species:coords:index
O1 : [ 1.09051188 10.07886984  1.33767996] : 46
O1 : [-0.51773081  8.40225087  3.85925517] : 64
O1 : [2.80139919 8.40225087 3.85925517] : 64
!!!atention to nb coordination!!!
         [1.9743720422035007, 1.9865777714566049, 1.9536905755201113]
         [1.9743720422034998, 1.9865777714566053, 1.9536905755201117]

ce_symbol  = S:5
ce_fraction=  0.003679287531135608
species:coords:index
O1 : [ 1.09051188 10.07886984  1.33767996] : 46
O1 : [ 1.07933024 11.07334761  3.49844203] : 42
O1 : [1.18271795 6.95573775 1.7163325 ] : 71
O1 : [-0.51773081  8.40225087  3.85925517] : 64
O1 : [2.80139919 8.40225087 3.85925517] : 64
!!!atention to nb coordination!!!
         [1.9743720422035007, 2.241534614705899, 2.296390746626214, 1.9865777714566049, 1.9536905755201113]
         [1.9743720422034998, 2.2415346147058974, 2.2963907466262157, 1.9865777714566053, 1.9536905755201117]

ce_symbol  = TY:3
ce_fraction=  0.0003534732032153774
species:coords:index
O1 : [ 1.09051188 10.07886984  1.33767996] : 46
O1 : [-0.51773081  8.40225087  3.85925517] : 64
O1 : [2.80139919 8.40225087 3.85925517] : 64
!!!atention to nb coordination!!!
         [1.9743720422035007, 1.9865777714566049, 1.9536905755201113]
         [1.9743720422034998, 1.9865777714566053, 1.9536905755201117]


**isite= 1
Li1 : [ 0.70992346 20.58828291  1.64854281]

ce_symbol  = T:5
ce_fraction=  0.8461785434355967
species:coords:index
O1 : [ 0.68856054 18.63623775  2.85787063] : 70
O1 : [ 2.38900929 20.08275087  0.71494795] : 65
O1 : [ 0.78076661 21.75936984  3.23652316] : 47
O1 : [-0.93012071 20.08275087  0.71494795] : 65
O1 : [ 0.79194825 22.75384761  1.07576109] : 43
!!!atention to nb coordination!!!
         [2.296390746626211, 1.9865777714566042, 1.9743720422035025, 1.95369057552011, 2.2415346147059023]
         [2.296390746626214, 1.9865777714566046, 1.9743720422035, 1.9536905755201115, 2.241534614705899]

ce_symbol  = TL:3
ce_fraction=  0.14978869583005233
species:coords:index
O1 : [ 2.38900929 20.08275087  0.71494795] : 65
O1 : [ 0.78076661 21.75936984  3.23652316] : 47
O1 : [-0.93012071 20.08275087  0.71494795] : 65
!!!atention to nb coordination!!!
         [1.9865777714566042, 1.9743720422035025, 1.95369057552011]
         [1.9865777714566046, 1.9743720422035, 1.9536905755201115]

ce_symbol  = S:5
ce_fraction=  0.003679287531135659
species:coords:index
O1 : [ 0.68856054 18.63623775  2.85787063] : 70
O1 : [ 2.38900929 20.08275087  0.71494795] : 65
O1 : [ 0.78076661 21.75936984  3.23652316] : 47
O1 : [-0.93012071 20.08275087  0.71494795] : 65
O1 : [ 0.79194825 22.75384761  1.07576109] : 43
!!!atention to nb coordination!!!
         [2.296390746626211, 1.9865777714566042, 1.9743720422035025, 1.95369057552011, 2.2415346147059023]
         [2.296390746626214, 1.9865777714566046, 1.9743720422035, 1.9536905755201115, 2.241534614705899]

ce_symbol  = TY:3
ce_fraction=  0.0003534732032153818
species:coords:index
O1 : [ 2.38900929 20.08275087  0.71494795] : 65
O1 : [ 0.78076661 21.75936984  3.23652316] : 47
O1 : [-0.93012071 20.08275087  0.71494795] : 65
!!!atention to nb coordination!!!
         [1.9865777714566042, 1.9743720422035025, 1.95369057552011]
         [1.9865777714566046, 1.9743720422035, 1.9536905755201115]


**isite= 2
Li1 : [-0.73792806 14.45321709  6.22274593]

ce_symbol  = T:5
ce_fraction=  0.846178543435597
species:coords:index
O1 : [-0.75929098 16.40526225  7.43207375] : 69
O1 : [-0.65590327 12.28765239  5.64996421] : 40
O1 : [-0.66708491 13.28213016  7.81072628] : 44
O1 : [ 0.94115778 14.95874913  5.28915107] : 66
O1 : [-2.37797222 14.95874913  5.28915107] : 66
!!!atention to nb coordination!!!
         [2.2963907466262143, 2.241534614705896, 1.9743720422034996, 1.9865777714566066, 1.9536905755201126]
         [2.296390746626214, 2.2415346147058974, 1.9743720422034996, 1.9865777714566053, 1.953690575520112]

ce_symbol  = TL:3
ce_fraction=  0.14978869583005214
species:coords:index
O1 : [-0.66708491 13.28213016  7.81072628] : 44
O1 : [ 0.94115778 14.95874913  5.28915107] : 66
O1 : [-2.37797222 14.95874913  5.28915107] : 66
!!!atention to nb coordination!!!
         [1.9743720422034996, 1.9865777714566066, 1.9536905755201126]
         [1.9743720422034996, 1.9865777714566053, 1.953690575520112]

ce_symbol  = S:5
ce_fraction=  0.0036792875311356175
species:coords:index
O1 : [-0.75929098 16.40526225  7.43207375] : 69
O1 : [-0.65590327 12.28765239  5.64996421] : 40
O1 : [-0.66708491 13.28213016  7.81072628] : 44
O1 : [ 0.94115778 14.95874913  5.28915107] : 66
O1 : [-2.37797222 14.95874913  5.28915107] : 66
!!!atention to nb coordination!!!
         [2.2963907466262143, 2.241534614705896, 1.9743720422034996, 1.9865777714566066, 1.9536905755201126]
         [2.296390746626214, 2.2415346147058974, 1.9743720422034996, 1.9865777714566053, 1.953690575520112]

ce_symbol  = TY:3
ce_fraction=  0.00035347320321537366
species:coords:index
O1 : [-0.66708491 13.28213016  7.81072628] : 44
O1 : [ 0.94115778 14.95874913  5.28915107] : 66
O1 : [-2.37797222 14.95874913  5.28915107] : 66
!!!atention to nb coordination!!!
         [1.9743720422034996, 1.9865777714566066, 1.9536905755201126]
         [1.9743720422034996, 1.9865777714566053, 1.953690575520112]


**isite= 3
Li1 : [-0.28649649  2.77271709  7.49986344]

ce_symbol  = T:5
ce_fraction=  0.8461785434355947
species:coords:index
O1 : [1.35354768 3.27824913 8.4334583 ] : 67
O1 : [-0.36852128  0.60715239  8.07264516] : 41
O1 : [-1.96558232  3.27824913  8.4334583 ] : 67
O1 : [-0.26513357  4.72476225  6.29053562] : 68
O1 : [-0.35733964  1.60163016  5.91188308] : 45
!!!atention to nb coordination!!!
         [1.953690575520111, 2.2415346147058988, 1.9865777714566057, 2.2963907466262157, 1.974372042203497]
         [1.953690575520111, 2.2415346147058983, 1.986577771456605, 2.2963907466262152, 1.9743720422034978]

ce_symbol  = TL:3
ce_fraction=  0.1497886958300543
species:coords:index
O1 : [1.35354768 3.27824913 8.4334583 ] : 67
O1 : [-1.96558232  3.27824913  8.4334583 ] : 67
O1 : [-0.35733964  1.60163016  5.91188308] : 45
!!!atention to nb coordination!!!
         [1.953690575520111, 1.9865777714566057, 1.974372042203497]
         [1.953690575520111, 1.986577771456605, 1.9743720422034978]

ce_symbol  = S:5
ce_fraction=  0.0036792875311356626
species:coords:index
O1 : [1.35354768 3.27824913 8.4334583 ] : 67
O1 : [-0.36852128  0.60715239  8.07264516] : 41
O1 : [-1.96558232  3.27824913  8.4334583 ] : 67
O1 : [-0.26513357  4.72476225  6.29053562] : 68
O1 : [-0.35733964  1.60163016  5.91188308] : 45
!!!atention to nb coordination!!!
         [1.953690575520111, 2.2415346147058988, 1.9865777714566057, 2.2963907466262157, 1.974372042203497]
         [1.953690575520111, 2.2415346147058983, 1.986577771456605, 2.2963907466262152, 1.9743720422034978]

ce_symbol  = TY:3
ce_fraction=  0.0003534732032153656
species:coords:index
O1 : [1.35354768 3.27824913 8.4334583 ] : 67
O1 : [-1.96558232  3.27824913  8.4334583 ] : 67
O1 : [-0.35733964  1.60163016  5.91188308] : 45
!!!atention to nb coordination!!!
         [1.953690575520111, 1.9865777714566057, 1.974372042203497]
         [1.953690575520111, 1.986577771456605, 1.9743720422034978]


**isite= 4
Li1 : [-2.31404526 13.02258945  8.77149191]

ce_symbol  = TL:3
ce_fraction=  0.93790339659605
species:coords:index
O1 : [-2.28762808 12.3509607  10.64023685] : 50
O1 : [-0.66708491 13.28213016  7.81072628] : 44
O1 : [-3.98621491 13.28213016  7.81072628] : 44
!!!atention to nb coordination!!!
         [1.9859483150777484, 1.9242947672863118, 1.945914517704012]
         [1.9859483150777475, 1.9242947672863118, 1.9459145177040122]

ce_symbol  = T:5
ce_fraction=  0.061902977805180864
species:coords:index
O1 : [-2.31788591 14.58497313 10.02235349] : 54
O1 : [-2.28762808 12.3509607  10.64023685] : 50
O1 : [-0.66708491 13.28213016  7.81072628] : 44
O1 : [-3.98621491 13.28213016  7.81072628] : 44
O1 : [-3.50377798 11.0100393   7.65657564] : 48
!!!atention to nb coordination!!!
         [2.001427545900353, 2.3344064941744493, 1.9859483150777484, 1.9242947672863118, 1.945914517704012]
         [2.0014275459003517, 1.9859483150777475, 1.9242947672863118, 1.9459145177040122, 2.5901467801263363]

ce_symbol  = TY:3
ce_fraction=  0.00019293996130528577
species:coords:index
O1 : [-2.28762808 12.3509607  10.64023685] : 50
O1 : [-0.66708491 13.28213016  7.81072628] : 44
O1 : [-3.98621491 13.28213016  7.81072628] : 44
!!!atention to nb coordination!!!
         [1.9859483150777484, 1.9242947672863118, 1.945914517704012]
         [1.9859483150777475, 1.9242947672863118, 1.9459145177040122]

ce_symbol  = S:5
ce_fraction=  6.847037398607516e-07
species:coords:index
O1 : [-2.31788591 14.58497313 10.02235349] : 54
O1 : [-2.28762808 12.3509607  10.64023685] : 50
O1 : [-0.66708491 13.28213016  7.81072628] : 44
O1 : [-3.98621491 13.28213016  7.81072628] : 44
O1 : [-3.50377798 11.0100393   7.65657564] : 48
!!!atention to nb coordination!!!
         [2.001427545900353, 2.3344064941744493, 1.9859483150777484, 1.9242947672863118, 1.945914517704012]
         [2.0014275459003517, 1.9859483150777475, 1.9242947672863118, 1.9459145177040122, 2.5901467801263363]

ce_symbol  = T:4
ce_fraction=  9.33724046842795e-10
species:coords:index
O1 : [-2.31788591 14.58497313 10.02235349] : 54
O1 : [-2.28762808 12.3509607  10.64023685] : 50
O1 : [-0.66708491 13.28213016  7.81072628] : 44
O1 : [-3.98621491 13.28213016  7.81072628] : 44
!!!atention to nb coordination!!!
         [2.001427545900353, 1.9859483150777484, 1.9242947672863118, 1.945914517704012]
         [2.0014275459003517, 1.9859483150777475, 1.9242947672863118, 1.9459145177040122]


**isite= 5
Li1 : [1.28962071 1.34208945 4.95111746]

ce_symbol  = TL:3
ce_fraction=  0.9379033965960497
species:coords:index
O1 : [1.26320354 0.6704607  3.08237252] : 51
O1 : [2.96179036 1.60163016 5.91188308] : 45
O1 : [-0.35733964  1.60163016  5.91188308] : 45
!!!atention to nb coordination!!!
         [1.9859483150777486, 1.9459145177040131, 1.9242947672863129]
         [1.9859483150777486, 1.9459145177040122, 1.924294767286312]

ce_symbol  = T:5
ce_fraction=  0.06190297780518125
species:coords:index
O1 : [1.26320354 0.6704607  3.08237252] : 51
O1 : [1.29346136 2.90447313 3.70025587] : 55
O1 : [2.96179036 1.60163016 5.91188308] : 45
O1 : [ 2.47935343 -0.6704607   6.06603373] : 49
O1 : [-0.35733964  1.60163016  5.91188308] : 45
!!!atention to nb coordination!!!
         [2.334406494174449, 1.9859483150777486, 2.0014275459003517, 1.9459145177040131, 1.9242947672863129]
         [1.9859483150777486, 2.0014275459003517, 1.9459145177040122, 2.5901467801263363, 1.924294767286312]

ce_symbol  = TY:3
ce_fraction=  0.00019293996130528366
species:coords:index
O1 : [1.26320354 0.6704607  3.08237252] : 51
O1 : [2.96179036 1.60163016 5.91188308] : 45
O1 : [-0.35733964  1.60163016  5.91188308] : 45
!!!atention to nb coordination!!!
         [1.9859483150777486, 1.9459145177040131, 1.9242947672863129]
         [1.9859483150777486, 1.9459145177040122, 1.924294767286312]

ce_symbol  = S:5
ce_fraction=  6.847037398628148e-07
species:coords:index
O1 : [1.26320354 0.6704607  3.08237252] : 51
O1 : [1.29346136 2.90447313 3.70025587] : 55
O1 : [2.96179036 1.60163016 5.91188308] : 45
O1 : [ 2.47935343 -0.6704607   6.06603373] : 49
O1 : [-0.35733964  1.60163016  5.91188308] : 45
!!!atention to nb coordination!!!
         [2.334406494174449, 1.9859483150777486, 2.0014275459003517, 1.9459145177040131, 1.9242947672863129]
         [1.9859483150777486, 2.0014275459003517, 1.9459145177040122, 2.5901467801263363, 1.924294767286312]

ce_symbol  = T:4
ce_fraction=  9.337240468271585e-10
species:coords:index
O1 : [1.26320354 0.6704607  3.08237252] : 51
O1 : [1.29346136 2.90447313 3.70025587] : 55
O1 : [2.96179036 1.60163016 5.91188308] : 45
O1 : [-0.35733964  1.60163016  5.91188308] : 45
!!!atention to nb coordination!!!
         [1.9859483150777486, 2.0014275459003517, 1.9459145177040131, 1.9242947672863129]
         [1.9859483150777486, 2.0014275459003517, 1.9459145177040122, 1.924294767286312]


**isite= 6
Li1 : [ 2.73747223 10.33841055  0.37691434]

ce_symbol  = TL:3
ce_fraction=  0.9379033965960496
species:coords:index
O1 : [ 1.09051188 10.07886984  1.33767996] : 46
O1 : [ 4.40964188 10.07886984  1.33767996] : 46
O1 : [ 2.71105505 11.0100393  -1.49183061] : 48
!!!atention to nb coordination!!!
         [1.9242947672863113, 1.9459145177040118, 1.985948315077748]
         [1.9242947672863118, 1.945914517704012, 1.9859483150777482]

ce_symbol  = T:5
ce_fraction=  0.06190297780518127
species:coords:index
O1 : [ 1.09051188 10.07886984  1.33767996] : 46
O1 : [ 4.40964188 10.07886984  1.33767996] : 46
O1 : [ 2.71105505 11.0100393  -1.49183061] : 48
O1 : [ 2.74131287  8.77602687 -0.87394725] : 52
O1 : [ 3.92720495 12.3509607   1.49183061] : 50
!!!atention to nb coordination!!!
         [2.334406494174447, 1.9242947672863113, 1.9459145177040118, 1.985948315077748, 2.0014275459003503]
         [1.9242947672863118, 1.945914517704012, 1.9859483150777482, 2.001427545900352, 2.5901467801263363]

ce_symbol  = TY:3
ce_fraction=  0.00019293996130528528
species:coords:index
O1 : [ 1.09051188 10.07886984  1.33767996] : 46
O1 : [ 4.40964188 10.07886984  1.33767996] : 46
O1 : [ 2.71105505 11.0100393  -1.49183061] : 48
!!!atention to nb coordination!!!
         [1.9242947672863113, 1.9459145177040118, 1.985948315077748]
         [1.9242947672863118, 1.945914517704012, 1.9859483150777482]

ce_symbol  = S:5
ce_fraction=  6.847037398612663e-07
species:coords:index
O1 : [ 1.09051188 10.07886984  1.33767996] : 46
O1 : [ 4.40964188 10.07886984  1.33767996] : 46
O1 : [ 2.71105505 11.0100393  -1.49183061] : 48
O1 : [ 2.74131287  8.77602687 -0.87394725] : 52
O1 : [ 3.92720495 12.3509607   1.49183061] : 50
!!!atention to nb coordination!!!
         [2.334406494174447, 1.9242947672863113, 1.9459145177040118, 1.985948315077748, 2.0014275459003503]
         [1.9242947672863118, 1.945914517704012, 1.9859483150777482, 2.001427545900352, 2.5901467801263363]

ce_symbol  = T:4
ce_fraction=  9.337240468391504e-10
species:coords:index
O1 : [ 1.09051188 10.07886984  1.33767996] : 46
O1 : [ 4.40964188 10.07886984  1.33767996] : 46
O1 : [ 2.71105505 11.0100393  -1.49183061] : 48
O1 : [ 2.74131287  8.77602687 -0.87394725] : 52
!!!atention to nb coordination!!!
         [1.9242947672863113, 1.9459145177040118, 1.985948315077748, 2.0014275459003503]
         [1.9242947672863118, 1.945914517704012, 1.9859483150777482, 2.001427545900352]


**isite= 7
Li1 : [-0.86619374 22.01891055  4.19728879]

ce_symbol  = TL:3
ce_fraction=  0.9379033965960499
species:coords:index
O1 : [ 0.78076661 21.75936984  3.23652316] : 47
O1 : [-2.53836339 21.75936984  3.23652316] : 47
O1 : [-0.83977657 22.6905393   6.06603373] : 49
!!!atention to nb coordination!!!
         [1.9242947672863109, 1.9459145177040118, 1.9859483150777502]
         [1.9242947672863115, 1.9459145177040125, 1.9859483150777482]

ce_symbol  = T:5
ce_fraction=  0.06190297780518095
species:coords:index
O1 : [-2.05592646 24.0314607   3.08237252] : 51
O1 : [ 0.78076661 21.75936984  3.23652316] : 47
O1 : [-2.53836339 21.75936984  3.23652316] : 47
O1 : [-0.83977657 22.6905393   6.06603373] : 49
O1 : [-0.87003439 20.45652687  5.44815037] : 53
!!!atention to nb coordination!!!
         [1.9242947672863109, 1.9459145177040118, 1.9859483150777502, 2.334406494174447, 2.0014275459003485]
         [2.5901467801263363, 1.9242947672863115, 1.9459145177040125, 1.9859483150777482, 2.0014275459003508]

ce_symbol  = TY:3
ce_fraction=  0.0001929399613052754
species:coords:index
O1 : [ 0.78076661 21.75936984  3.23652316] : 47
O1 : [-2.53836339 21.75936984  3.23652316] : 47
O1 : [-0.83977657 22.6905393   6.06603373] : 49
!!!atention to nb coordination!!!
         [1.9242947672863109, 1.9459145177040118, 1.9859483150777502]
         [1.9242947672863115, 1.9459145177040125, 1.9859483150777482]

ce_symbol  = S:5
ce_fraction=  6.847037398614381e-07
species:coords:index
O1 : [-2.05592646 24.0314607   3.08237252] : 51
O1 : [ 0.78076661 21.75936984  3.23652316] : 47
O1 : [-2.53836339 21.75936984  3.23652316] : 47
O1 : [-0.83977657 22.6905393   6.06603373] : 49
O1 : [-0.87003439 20.45652687  5.44815037] : 53
!!!atention to nb coordination!!!
         [1.9242947672863109, 1.9459145177040118, 1.9859483150777502, 2.334406494174447, 2.0014275459003485]
         [2.5901467801263363, 1.9242947672863115, 1.9459145177040125, 1.9859483150777482, 2.0014275459003508]

ce_symbol  = T:4
ce_fraction=  9.337240468313256e-10
species:coords:index
O1 : [ 0.78076661 21.75936984  3.23652316] : 47
O1 : [-2.53836339 21.75936984  3.23652316] : 47
O1 : [-0.83977657 22.6905393   6.06603373] : 49
O1 : [-0.87003439 20.45652687  5.44815037] : 53
!!!atention to nb coordination!!!
         [1.9242947672863109, 1.9459145177040118, 1.9859483150777502, 2.0014275459003485]
         [1.9242947672863115, 1.9459145177040125, 1.9859483150777482, 2.0014275459003508]


**isite= 8
Li1 : [ 1.01394446 12.661662    4.66019814]

ce_symbol  = T:5
ce_fraction=  0.9722328047516694
species:coords:index
O1 : [ 0.82280073 13.97151327  3.19809986] : 58
O1 : [ 0.94115778 14.95874913  5.28915107] : 66
O1 : [-0.65590327 12.28765239  5.64996421] : 40
O1 : [ 2.66322673 12.28765239  5.64996421] : 40
O1 : [ 1.07933024 11.07334761  3.49844203] : 42
!!!atention to nb coordination!!!
         [1.9723026327719417, 2.3827481973597364, 1.9768438272826314, 1.9595030136590732, 1.9689324920981857]
         [1.972302632771941, 2.382748197359733, 1.9768438272826319, 1.9595030136590736, 1.9689324920981874]

ce_symbol  = S:5
ce_fraction=  0.01917978288673409
species:coords:index
O1 : [ 0.82280073 13.97151327  3.19809986] : 58
O1 : [ 0.94115778 14.95874913  5.28915107] : 66
O1 : [-0.65590327 12.28765239  5.64996421] : 40
O1 : [ 2.66322673 12.28765239  5.64996421] : 40
O1 : [ 1.07933024 11.07334761  3.49844203] : 42
!!!atention to nb coordination!!!
         [1.9723026327719417, 2.3827481973597364, 1.9768438272826314, 1.9595030136590732, 1.9689324920981857]
         [1.972302632771941, 2.382748197359733, 1.9768438272826319, 1.9595030136590736, 1.9689324920981874]

ce_symbol  = T:4
ce_fraction=  0.008587412361596602
species:coords:index
O1 : [ 0.82280073 13.97151327  3.19809986] : 58
O1 : [-0.65590327 12.28765239  5.64996421] : 40
O1 : [ 2.66322673 12.28765239  5.64996421] : 40
O1 : [ 1.07933024 11.07334761  3.49844203] : 42
!!!atention to nb coordination!!!
         [1.9723026327719417, 1.9768438272826314, 1.9595030136590732, 1.9689324920981857]
         [1.972302632771941, 1.9768438272826319, 1.9595030136590736, 1.9689324920981874]


**isite= 9
Li1 : [-2.03836901  0.981162    9.06241123]

ce_symbol  = T:5
ce_fraction=  0.9722328047516693
species:coords:index
O1 : [-0.36852128  0.60715239  8.07264516] : 41
O1 : [-1.96558232  3.27824913  8.4334583 ] : 67
O1 : [-1.84722528  2.29101327 10.52450951] : 59
O1 : [-3.68765128  0.60715239  8.07264516] : 41
O1 : [-2.10375479 -0.60715239 10.22416734] : 43
!!!atention to nb coordination!!!
         [1.9768438272826314, 2.3827481973597346, 1.9723026327719397, 1.959503013659073, 1.9689324920981837]
         [1.9768438272826323, 2.382748197359734, 1.9723026327719397, 1.9595030136590739, 1.9689324920981863]

ce_symbol  = S:5
ce_fraction=  0.019179782886734054
species:coords:index
O1 : [-0.36852128  0.60715239  8.07264516] : 41
O1 : [-1.96558232  3.27824913  8.4334583 ] : 67
O1 : [-1.84722528  2.29101327 10.52450951] : 59
O1 : [-3.68765128  0.60715239  8.07264516] : 41
O1 : [-2.10375479 -0.60715239 10.22416734] : 43
!!!atention to nb coordination!!!
         [1.9768438272826314, 2.3827481973597346, 1.9723026327719397, 1.959503013659073, 1.9689324920981837]
         [1.9768438272826323, 2.382748197359734, 1.9723026327719397, 1.9595030136590739, 1.9689324920981863]

ce_symbol  = T:4
ce_fraction=  0.00858741236159666
species:coords:index
O1 : [-0.36852128  0.60715239  8.07264516] : 41
O1 : [-1.84722528  2.29101327 10.52450951] : 59
O1 : [-3.68765128  0.60715239  8.07264516] : 41
O1 : [-2.10375479 -0.60715239 10.22416734] : 43
!!!atention to nb coordination!!!
         [1.9768438272826314, 1.9723026327719397, 1.959503013659073, 1.9689324920981837]
         [1.9768438272826323, 1.9723026327719397, 1.9595030136590739, 1.9689324920981863]


**isite= 10
Li1 : [-0.59051749 10.699338    4.4882081 ]

ce_symbol  = T:5
ce_fraction=  0.9722328047516698
species:coords:index
O1 : [-0.65590327 12.28765239  5.64996421] : 40
O1 : [-2.23979976 11.07334761  3.49844203] : 42
O1 : [-0.51773081  8.40225087  3.85925517] : 64
O1 : [-0.39937376  9.38948673  5.95030639] : 56
O1 : [ 1.07933024 11.07334761  3.49844203] : 42
!!!atention to nb coordination!!!
         [1.968932492098189, 1.9595030136590734, 2.3827481973597315, 1.972302632771942, 1.9768438272826319]
         [1.9689324920981874, 1.9595030136590736, 2.3827481973597333, 1.9723026327719413, 1.9768438272826316]

ce_symbol  = S:5
ce_fraction=  0.019179782886733943
species:coords:index
O1 : [-0.65590327 12.28765239  5.64996421] : 40
O1 : [-2.23979976 11.07334761  3.49844203] : 42
O1 : [-0.51773081  8.40225087  3.85925517] : 64
O1 : [-0.39937376  9.38948673  5.95030639] : 56
O1 : [ 1.07933024 11.07334761  3.49844203] : 42
!!!atention to nb coordination!!!
         [1.968932492098189, 1.9595030136590734, 2.3827481973597315, 1.972302632771942, 1.9768438272826319]
         [1.9689324920981874, 1.9595030136590736, 2.3827481973597333, 1.9723026327719413, 1.9768438272826316]

ce_symbol  = T:4
ce_fraction=  0.008587412361596184
species:coords:index
O1 : [-0.65590327 12.28765239  5.64996421] : 40
O1 : [-2.23979976 11.07334761  3.49844203] : 42
O1 : [-0.39937376  9.38948673  5.95030639] : 56
O1 : [ 1.07933024 11.07334761  3.49844203] : 42
!!!atention to nb coordination!!!
         [1.968932492098189, 1.9595030136590734, 1.972302632771942, 1.9768438272826319]
         [1.9689324920981874, 1.9595030136590736, 1.9723026327719413, 1.9768438272826316]


**isite= 11
Li1 : [ 2.46179598 22.379838    0.08599502]

ce_symbol  = T:5
ce_fraction=  0.9722328047516697
species:coords:index
O1 : [ 2.38900929 20.08275087  0.71494795] : 65
O1 : [ 2.27065224 21.06998673 -1.37610327] : 57
O1 : [ 2.52718175 23.96815239 -1.07576109] : 41
O1 : [ 4.11107825 22.75384761  1.07576109] : 43
O1 : [ 0.79194825 22.75384761  1.07576109] : 43
!!!atention to nb coordination!!!
         [2.3827481973597298, 1.9723026327719388, 1.9689324920981863, 1.9595030136590739, 1.9768438272826327]
         [2.3827481973597333, 1.9723026327719408, 1.9689324920981872, 1.9595030136590732, 1.976843827282632]

ce_symbol  = S:5
ce_fraction=  0.019179782886734036
species:coords:index
O1 : [ 2.38900929 20.08275087  0.71494795] : 65
