cif name= ./2103776.cif
./2103776.cif
Full Formula (Li4 V36 O78)
 79  O     0.3894   0    0.7855
 80  O     0.1106   0.5  0.2145
 81  O     0.0625   0    0.1202
 82  O     0.4375   0.5  0.8798
 83  O     0.2298   0.5  0.4499
 84  O     0.2702   0    0.5501
 85  O     0.4251   0    0.4574
 86  O     0.0749   0.5  0.5426
 87  O     0.0865   0    0.7966
 88  O     0.4135   0.5  0.2034
 89  O     0.2577   0.5  0.1254
 90  O     0.2423   0    0.8746
 91  O     0.0485   0.5  0.7002
 92  O     0.4515   0    0.2998
 93  O     0.2182   0    0.0309
 94  O     0.2818   0.5  0.9691
 95  O     0.3861   0.5  0.3553
 96  O     0.1139   0    0.6447
 97  O     0.5      0    0
 98  O     0.32961  0.5  0.6653
 99  O     0.17039  0    0.3347
100  O     0.0258   0.5  0.86056
101  O     0.4742   0    0.13944
102  O     0.20042  0    0.197
103  O     0.29958  0.5  0.803
104  O     0.36374  0.5  0.518
105  O     0.13626  0    0.482
106  O     0.12703  0.5  0.0531
107  O     0.37297  0    0.9469
108  O     0.29444  0    0.3696
109  O     0.20556  0.5  0.6304
110  O     0.45526  0.5  0.71941
111  O     0.04474  0    0.28059
112  O     0.1539   0.5  0.9092
113  O     0.3461   0    0.0908
114  O     0.328    0    0.2331
115  O     0.172    0.5  0.7669
116  O     0.0085   0    0.4234
117  O     0.4915   0.5  0.5766

space_group_IT_number 12

*** lse ***


**isite= 0
Li1 : [14.60490354  0.          5.65658531]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [13.15182965  1.8452      5.57496791] : 60
O1 : [13.93530829  0.          7.49380957] : 44
O1 : [13.15182965 -1.8452      5.57496791] : 60
O1 : [15.70620221 -1.8452      6.15628366] : 69
O1 : [15.70620221  1.8452      6.15628366] : 69
!!!atention to nb coordination!!!
         [2.350074081127646, 1.955441328546701, 2.3500740811276466, 2.206200408564581, 2.2062004085645808]
         [2.3500740811276453, 1.9554413285467014, 2.3500740811276453, 2.206200408564583, 2.206200408564583]


**isite= 1
Li1 : [13.70085483  1.8452     11.00002632]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [14.37045008  1.8452      9.16280205] : 45
O1 : [15.15392872  3.6904     11.08164371] : 59
O1 : [12.59955616  3.6904     10.50032797] : 70
O1 : [15.15392872  0.         11.08164371] : 59
O1 : [12.59955616  0.         10.50032797] : 70
!!!atention to nb coordination!!!
         [1.9554413285467034, 2.3500740811276453, 2.2062004085645825, 2.3500740811276453, 2.2062004085645825]
         [1.955441328546703, 2.3500740811276475, 2.206200408564582, 2.3500740811276475, 2.206200408564582]


**isite= 2
Li1 : [3.68090354 1.8452     5.65658531]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [3.01130829 1.8452     7.49380957] : 83
O1 : [2.22782965 3.6904     5.57496791] : 99
O1 : [2.22782965 0.         5.57496791] : 99
O1 : [4.78220221 0.         6.15628366] : 108
O1 : [4.78220221 3.6904     6.15628366] : 108
!!!atention to nb coordination!!!
         [1.9554413285466994, 2.3500740811276453, 2.3500740811276453, 2.206200408564583, 2.206200408564583]
         [1.9554413285467012, 2.350074081127645, 2.350074081127645, 2.2062004085645834, 2.2062004085645834]


**isite= 3
Li1 : [ 2.77685483  0.         11.00002632]

ce_symbol  = S:5
ce_fraction=  1.0
species:coords:index
O1 : [3.44645008 0.         9.16280205] : 84
O1 : [ 1.67555616 -1.8452     10.50032797] : 109
O1 : [ 1.67555616  1.8452     10.50032797] : 109
O1 : [ 4.22992872  1.8452     11.08164371] : 98
O1 : [ 4.22992872 -1.8452     11.08164371] : 98
!!!atention to nb coordination!!!
         [1.9554413285467036, 2.2062004085645848, 2.2062004085645843, 2.350074081127644, 2.3500740811276444]
         [1.955441328546702, 2.206200408564584, 2.206200408564584, 2.350074081127645, 2.350074081127645]


**isite= 4
V1 : [12.50983286  1.8452      3.9734347 ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.64829678  1.8452      4.67367865] : 72
O1 : [11.75265776  1.8452      2.00212472] : 42
O1 : [12.38237997  3.6904      3.57284319] : 41
O1 : [13.15182965  1.8452      5.57496791] : 60
O1 : [12.38237997  0.          3.57284319] : 41
O1 : [14.42292656  1.8452      3.28135249] : 63
!!!atention to nb coordination!!!
         [1.9888836474186056, 2.111723749882681, 1.8924800755525233, 1.7254183520690898, 1.8924800755525233, 2.034429967583768]
         [1.9888836474186042, 2.1117237498826804, 1.8924800755525228, 1.7254183520690913, 1.8924800755525228, 2.034429967583771]


**isite= 5
V1 : [15.79592551  0.         12.68317692]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [15.9233784   1.8452     13.08376843] : 40
O1 : [13.88283181  0.         13.37525913] : 64
O1 : [15.9233784  -1.8452     13.08376843] : 40
O1 : [16.55310062  0.         14.6544869 ] : 43
O1 : [15.15392872  0.         11.08164371] : 59
O1 : [17.65746159  0.         11.98293297] : 71
!!!atention to nb coordination!!!
         [1.8924800755525217, 2.034429967583769, 1.8924800755525222, 2.1117237498826777, 1.7254183520690936, 1.9888836474186058]
         [1.8924800755525228, 2.0344299675837694, 1.8924800755525228, 2.111723749882681, 1.7254183520690904, 1.9888836474186047]


**isite= 6
V1 : [16.69806835  1.8452     15.00360948]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [18.5682095  1.8452    14.3340137] : 100
O1 : [16.55310062  0.         14.6544869 ] : 43
O1 : [15.9233784   1.8452     13.08376843] : 40
O1 : [17.38175837  1.8452     16.65661162] : 58
O1 : [14.84356436  1.8452     15.77214554] : 68
O1 : [16.55310062  3.6904     14.6544869 ] : 43
!!!atention to nb coordination!!!
         [1.986400375563034, 1.8835246905500929, 2.0702497909871687, 1.7888119271422478, 2.007444325512302, 1.8835246905500929]
         [1.9864003755630297, 1.8835246905500922, 2.070249790987164, 1.7888119271422478, 2.0074443255123016, 1.8835246905500922]


**isite= 7
V1 : [11.60769002  0.          1.65300214]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [13.46219401  0.          0.88446608] : 67
O1 : [10.924  0.     0.   ] : 97
O1 : [11.75265776 -1.8452      2.00212472] : 42
O1 : [9.73754887 0.         2.32259792] : 101
O1 : [11.75265776  1.8452      2.00212472] : 42
O1 : [12.38237997  0.          3.57284319] : 41
!!!atention to nb coordination!!!
         [2.0074443255123007, 1.7888119271422487, 1.8835246905500922, 1.9864003755630322, 1.8835246905500918, 2.070249790987162]
         [2.007444325512304, 1.788811927142248, 1.883524690550092, 1.9864003755630308, 1.883524690550092, 2.0702497909871633]


**isite= 8
V1 : [15.01309405  0.          9.13148762]

ce_symbol  = S:5
ce_fraction=  0.8377619823257351
species:coords:index
O1 : [14.37045008 -1.8452      9.16280205] : 45
O1 : [13.93530829  0.          7.49380957] : 44
O1 : [14.37045008  1.8452      9.16280205] : 45
O1 : [15.15392872  0.         11.08164371] : 59
O1 : [16.55747836  0.          8.62812482] : 65
!!!atention to nb coordination!!!
         [1.9541583638922861, 1.9605130863981666, 1.9541583638922857, 1.9552348131527142, 1.624345093849005]
         [1.9541583638922846, 1.9605130863981635, 1.9541583638922846, 1.955234813152716, 1.6243450938490076]

ce_symbol  = S:1
ce_fraction=  0.11909781933196589
species:coords:index
O1 : [16.55747836  0.          8.62812482] : 65
!!!atention to nb coordination!!!
         [1.624345093849005]
         [1.6243450938490076]

ce_symbol  = T:5
ce_fraction=  0.04314019834229888
species:coords:index
O1 : [14.37045008 -1.8452      9.16280205] : 45
O1 : [13.93530829  0.          7.49380957] : 44
O1 : [14.37045008  1.8452      9.16280205] : 45
O1 : [15.15392872  0.         11.08164371] : 59
O1 : [16.55747836  0.          8.62812482] : 65
!!!atention to nb coordination!!!
         [1.9541583638922861, 1.9605130863981666, 1.9541583638922857, 1.9552348131527142, 1.624345093849005]
         [1.9541583638922846, 1.9605130863981635, 1.9541583638922846, 1.955234813152716, 1.6243450938490076]


**isite= 9
V1 : [13.29266432  1.8452      7.525124  ]

ce_symbol  = S:5
ce_fraction=  0.8377619823257337
species:coords:index
O1 : [13.93530829  3.6904      7.49380957] : 44
O1 : [14.37045008  1.8452      9.16280205] : 45
O1 : [11.74828002  1.8452      8.0284868 ] : 66
O1 : [13.93530829  0.          7.49380957] : 44
O1 : [13.15182965  1.8452      5.57496791] : 60
!!!atention to nb coordination!!!
         [1.9541583638922837, 1.960513086398159, 1.624345093849012, 1.9541583638922837, 1.9552348131527169]
         [1.9541583638922848, 1.9605130863981624, 1.624345093849011, 1.9541583638922848, 1.955234813152716]

ce_symbol  = S:1
ce_fraction=  0.1190978193319673
species:coords:index
O1 : [11.74828002  1.8452      8.0284868 ] : 66
!!!atention to nb coordination!!!
         [1.624345093849012]
         [1.624345093849011]

ce_symbol  = T:5
ce_fraction=  0.0431401983422989
species:coords:index
O1 : [13.93530829  3.6904      7.49380957] : 44
O1 : [14.37045008  1.8452      9.16280205] : 45
O1 : [11.74828002  1.8452      8.0284868 ] : 66
O1 : [13.93530829  0.          7.49380957] : 44
O1 : [13.15182965  1.8452      5.57496791] : 60
!!!atention to nb coordination!!!
         [1.9541583638922837, 1.960513086398159, 1.624345093849012, 1.9541583638922837, 1.9552348131527169]
         [1.9541583638922848, 1.9605130863981624, 1.624345093849011, 1.9541583638922848, 1.955234813152716]


**isite= 10
V1 : [15.90885714  1.8452      2.52747425]

ce_symbol  = S:5
ce_fraction=  0.9508188930828759
species:coords:index
O1 : [15.9941629  3.6904     2.0887391] : 50
O1 : [15.9941629  0.         2.0887391] : 50
O1 : [17.04906308  1.8452      3.88265617] : 75
O1 : [14.42292656  1.8452      3.28135249] : 63
O1 : [15.55322673  1.8452      0.5146893 ] : 54
!!!atention to nb coordination!!!
         [1.8985596238737639, 1.8985596238737639, 1.771041396674971, 1.6662299003140333, 2.043960917198359]
         [1.8985596238737636, 1.8985596238737636, 1.7710413966749738, 1.6662299003140302, 2.043960917198358]

ce_symbol  = T:5
ce_fraction=  0.04918110691712402
species:coords:index
O1 : [15.9941629  3.6904     2.0887391] : 50
O1 : [15.9941629  0.         2.0887391] : 50
O1 : [17.04906308  1.8452      3.88265617] : 75
O1 : [14.42292656  1.8452      3.28135249] : 63
O1 : [15.55322673  1.8452      0.5146893 ] : 54
!!!atention to nb coordination!!!
         [1.8985596238737639, 1.8985596238737639, 1.771041396674971, 1.6662299003140333, 2.043960917198359]
         [1.8985596238737636, 1.8985596238737636, 1.7710413966749738, 1.6662299003140302, 2.043960917198358]


**isite= 11
V1 : [12.39690124  0.         14.12913737]

ce_symbol  = S:5
ce_fraction=  0.9508188930828774
species:coords:index
O1 : [11.2566953   0.         12.77395545] : 76
O1 : [12.75253164  0.         16.14192232] : 55
O1 : [12.31159547 -1.8452     14.56787252] : 51
O1 : [13.88283181  0.         13.37525913] : 64
O1 : [12.31159547  1.8452     14.56787252] : 51
!!!atention to nb coordination!!!
         [1.771041396674977, 2.043960917198354, 1.898559623873763, 1.6662299003140308, 1.8985596238737625]
         [1.7710413966749732, 2.0439609171983575, 1.8985596238737634, 1.6662299003140302, 1.8985596238737634]

ce_symbol  = T:5
ce_fraction=  0.049181106917122575
species:coords:index
O1 : [11.2566953   0.         12.77395545] : 76
O1 : [12.75253164  0.         16.14192232] : 55
O1 : [12.31159547 -1.8452     14.56787252] : 51
O1 : [13.88283181  0.         13.37525913] : 64
O1 : [12.31159547  1.8452     14.56787252] : 51
!!!atention to nb coordination!!!
         [1.771041396674977, 2.043960917198354, 1.898559623873763, 1.6662299003140308, 1.8985596238737625]
         [1.7710413966749732, 2.0439609171983575, 1.8985596238737634, 1.6662299003140302, 1.8985596238737634]


**isite= 12
V1 : [ 9.18347385  0.         13.73404255]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.22570031  0.         15.14419129] : 73
O1 : [ 9.25604392  1.8452     13.26865682] : 48
O1 : [11.2566953   0.         12.77395545] : 76
O1 : [ 9.25604392 -1.8452     13.26865682] : 48
O1 : [ 8.85636561  0.         11.66295946] : 52
O1 : [ 7.6442095  0.        14.3340137] : 61
!!!atention to nb coordination!!!
         [1.7534980668518354, 1.904366910999055, 2.2847350826617876, 1.9043669109990555, 2.0967558178847545, 1.6520593514026414]
         [1.7534980668518392, 1.9043669109990542, 2.2847350826617876, 1.9043669109990542, 2.0967558178847505, 1.652059351402642]


**isite= 13
V1 : [19.12228452  1.8452      2.92256908]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [19.04971445  3.6904      3.3879548 ] : 49
O1 : [18.08005806  1.8452      1.51242034] : 74
O1 : [20.66154887  1.8452      2.32259792] : 62
O1 : [17.04906308  1.8452      3.88265617] : 75
O1 : [19.44939276  1.8452      4.99365216] : 53
O1 : [19.04971445  0.          3.3879548 ] : 49
!!!atention to nb coordination!!!
         [1.904366910999054, 1.7534980668518432, 1.6520593514026374, 2.2847350826617903, 2.096755817884748, 1.904366910999054]
         [1.9043669109990542, 1.7534980668518412, 1.6520593514026405, 2.2847350826617876, 2.0967558178847496, 1.9043669109990542]


**isite= 14
V1 : [18.42438973  0.          7.88257488]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [18.16872588  1.8452      7.61873416] : 46
O1 : [18.16872588 -1.8452      7.61873416] : 46
O1 : [20.14270129  0.          7.05240936] : 116
O1 : [17.77265715  0.          5.91809411] : 56
O1 : [16.55747836  0.          8.62812482] : 65
O1 : [19.08705708  0.          9.60420226] : 78
!!!atention to nb coordination!!!
         [1.8814194044210464, 1.8814194044210468, 1.9083420612143995, 2.069768120598594, 2.0102743072675695, 1.844757121306673]
         [1.8814194044210464, 1.8814194044210464, 1.908342061214399, 2.0697681205985923, 2.010274307267567, 1.8447571213066747]


**isite= 15
V1 : [9.88136864 1.8452     8.77403674]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.13703249  3.6904      9.03787747] : 47
O1 : [9.21870129 1.8452     7.05240936] : 77
O1 : [8.16305708 1.8452     9.60420226] : 117
O1 : [11.74828002  1.8452      8.0284868 ] : 66
O1 : [10.53310122  1.8452     10.73851751] : 57
O1 : [10.13703249  0.          9.03787747] : 47
!!!atention to nb coordination!!!
         [1.8814194044210466, 1.8447571213066738, 1.9083420612143989, 2.0102743072675624, 2.069768120598587, 1.8814194044210466]
         [1.8814194044210468, 1.8447571213066731, 1.9083420612143995, 2.0102743072675637, 2.0697681205985905, 1.8814194044210468]


**isite= 16
V1 : [17.29084793  1.8452      5.75535901]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [17.77265715  0.          5.91809411] : 56
O1 : [18.16872588  1.8452      7.61873416] : 46
O1 : [19.44939276  1.8452      4.99365216] : 53
O1 : [15.70620221  1.8452      6.15628366] : 69
O1 : [17.77265715  3.6904      5.91809411] : 56
O1 : [17.04906308  1.8452      3.88265617] : 75
!!!atention to nb coordination!!!
         [1.9139973550451181, 2.0598147037558974, 2.2889982756911684, 1.6345771971802228, 1.9139973550451181, 1.8882467687902882]
         [1.9139973550451181, 2.0598147037558987, 2.2889982756911715, 1.6345771971802197, 1.9139973550451181, 1.8882467687902869]


**isite= 17
V1 : [11.01491044  0.         10.90125261]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.53310122  1.8452     10.73851751] : 57
O1 : [10.53310122 -1.8452     10.73851751] : 57
O1 : [12.59955616  0.         10.50032797] : 70
O1 : [ 8.85636561  0.         11.66295946] : 52
O1 : [11.2566953   0.         12.77395545] : 76
O1 : [10.13703249  0.          9.03787747] : 47
!!!atention to nb coordination!!!
         [1.9139973550451197, 1.9139973550451204, 1.6345771971802185, 2.288998275691173, 1.8882467687902822, 2.0598147037559005]
         [1.9139973550451197, 1.9139973550451197, 1.634577197180218, 2.2889982756911724, 1.888246768790286, 2.0598147037558987]


**isite= 18
V1 : [15.01914647  0.          0.35378643]

ce_symbol  = S:5
ce_fraction=  0.9671378836384861
species:coords:index
O1 : [14.69194194  0.         -1.51242034] : 73
O1 : [15.9941629  0.         2.0887391] : 50
O1 : [15.55322673  1.8452      0.5146893 ] : 54
O1 : [13.46219401  0.          0.88446608] : 67
O1 : [15.55322673 -1.8452      0.5146893 ] : 54
!!!atention to nb coordination!!!
         [1.8946742456221173, 1.9901552195331031, 1.927665557977457, 1.6449078528201786, 1.9276655579774575]
         [1.8946742456221137, 1.9901552195331034, 1.9276655579774582, 1.6449078528201753, 1.9276655579774582]

ce_symbol  = S:1
ce_fraction=  0.01814664815064419
species:coords:index
O1 : [13.46219401  0.          0.88446608] : 67
!!!atention to nb coordination!!!
         [1.6449078528201786]
         [1.6449078528201753]

ce_symbol  = T:5
ce_fraction=  0.014715468210869616
species:coords:index
O1 : [14.69194194  0.         -1.51242034] : 73
O1 : [15.9941629  0.         2.0887391] : 50
O1 : [15.55322673  1.8452      0.5146893 ] : 54
O1 : [13.46219401  0.          0.88446608] : 67
O1 : [15.55322673 -1.8452      0.5146893 ] : 54
!!!atention to nb coordination!!!
         [1.8946742456221173, 1.9901552195331031, 1.927665557977457, 1.6449078528201786, 1.9276655579774575]
         [1.8946742456221137, 1.9901552195331034, 1.9276655579774582, 1.6449078528201753, 1.9276655579774582]


**isite= 19
V1 : [13.2866119   1.8452     16.30282519]

ce_symbol  = S:5
ce_fraction=  0.9671378836384865
species:coords:index
O1 : [12.75253164  0.         16.14192232] : 55
O1 : [13.61381643  1.8452     18.16903196] : 74
O1 : [12.31159547  1.8452     14.56787252] : 51
O1 : [14.84356436  1.8452     15.77214554] : 68
O1 : [12.75253164  3.6904     16.14192232] : 55
!!!atention to nb coordination!!!
         [1.927665557977459, 1.8946742456221128, 1.990155219533108, 1.6449078528201748, 1.927665557977459]
         [1.9276655579774582, 1.8946742456221137, 1.990155219533104, 1.6449078528201753, 1.9276655579774582]

ce_symbol  = S:1
ce_fraction=  0.01814664815064394
species:coords:index
O1 : [14.84356436  1.8452     15.77214554] : 68
!!!atention to nb coordination!!!
         [1.6449078528201748]
         [1.6449078528201753]

ce_symbol  = T:5
ce_fraction=  0.014715468210869435
species:coords:index
O1 : [12.75253164  0.         16.14192232] : 55
O1 : [13.61381643  1.8452     18.16903196] : 74
O1 : [12.31159547  1.8452     14.56787252] : 51
O1 : [14.84356436  1.8452     15.77214554] : 68
O1 : [12.75253164  3.6904     16.14192232] : 55
!!!atention to nb coordination!!!
         [1.927665557977459, 1.8946742456221128, 1.990155219533108, 1.6449078528201748, 1.927665557977459]
         [1.9276655579774582, 1.8946742456221137, 1.990155219533104, 1.6449078528201753, 1.9276655579774582]


**isite= 20
V1 : [ 8.32291884  1.8452     11.55102703]

ce_symbol  = S:5
ce_fraction=  0.974226440610074
species:coords:index
O1 : [ 8.85636561  3.6904     11.66295946] : 52
O1 : [ 9.25604392  1.8452     13.26865682] : 48
O1 : [ 6.73346159  1.8452     11.98293297] : 110
O1 : [8.16305708 1.8452     9.60420226] : 117
O1 : [ 8.85636561  0.         11.66295946] : 52
!!!atention to nb coordination!!!
         [1.9240211464560775, 1.9547313161024185, 1.6470935235877773, 1.9533771916229685, 1.9240211464560775]
         [1.9240211464560784, 1.9547313161024207, 1.6470935235877782, 1.9533771916229667, 1.9240211464560784]

ce_symbol  = S:1
ce_fraction=  0.013304308354452503
species:coords:index
O1 : [ 6.73346159  1.8452     11.98293297] : 110
!!!atention to nb coordination!!!
         [1.6470935235877773]
         [1.6470935235877782]

ce_symbol  = T:5
ce_fraction=  0.012469251035473377
species:coords:index
O1 : [ 8.85636561  3.6904     11.66295946] : 52
O1 : [ 9.25604392  1.8452     13.26865682] : 48
O1 : [ 6.73346159  1.8452     11.98293297] : 110
O1 : [8.16305708 1.8452     9.60420226] : 117
O1 : [ 8.85636561  0.         11.66295946] : 52
!!!atention to nb coordination!!!
         [1.9240211464560775, 1.9547313161024185, 1.6470935235877773, 1.9533771916229685, 1.9240211464560775]
         [1.9240211464560784, 1.9547313161024207, 1.6470935235877782, 1.9533771916229667, 1.9240211464560784]


**isite= 21
V1 : [19.98283954  0.          5.10558459]

ce_symbol  = S:5
ce_fraction=  0.9742264406100749
species:coords:index
O1 : [19.44939276 -1.8452      4.99365216] : 53
O1 : [21.57229678  0.          4.67367865] : 111
O1 : [19.44939276  1.8452      4.99365216] : 53
O1 : [20.14270129  0.          7.05240936] : 116
O1 : [19.04971445  0.          3.3879548 ] : 49
!!!atention to nb coordination!!!
         [1.924021146456079, 1.6470935235877802, 1.9240211464560788, 1.9533771916229667, 1.9547313161024222]
         [1.9240211464560777, 1.64709352358778, 1.9240211464560777, 1.9533771916229676, 1.9547313161024216]

ce_symbol  = S:1
ce_fraction=  0.0133043083544519
species:coords:index
O1 : [21.57229678  0.          4.67367865] : 111
!!!atention to nb coordination!!!
         [1.6470935235877802]
         [1.64709352358778]

ce_symbol  = T:5
ce_fraction=  0.012469251035473135
species:coords:index
O1 : [19.44939276 -1.8452      4.99365216] : 53
O1 : [21.57229678  0.          4.67367865] : 111
O1 : [19.44939276  1.8452      4.99365216] : 53
O1 : [20.14270129  0.          7.05240936] : 116
O1 : [19.04971445  0.          3.3879548 ] : 49
!!!atention to nb coordination!!!
         [1.924021146456079, 1.6470935235877802, 1.9240211464560788, 1.9533771916229667, 1.9547313161024222]
         [1.9240211464560777, 1.64709352358778, 1.9240211464560777, 1.9533771916229676, 1.9547313161024216]


**isite= 22
V1 : [1.58583286 0.         3.9734347 ]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 1.45837997 -1.8452      3.57284319] : 80
O1 : [0.82865776 0.         2.00212472] : 81
O1 : [3.49892656 0.         3.28135249] : 102
O1 : [1.45837997 1.8452     3.57284319] : 80
O1 : [2.22782965 0.         5.57496791] : 99
O1 : [-0.27570322  0.          4.67367865] : 111
!!!atention to nb coordination!!!
         [1.8924800755525235, 2.111723749882683, 2.0344299675837676, 1.892480075552523, 1.7254183520690891, 1.988883647418606]
         [1.892480075552523, 2.1117237498826826, 2.034429967583768, 1.892480075552523, 1.7254183520690902, 1.9888836474186062]


**isite= 23
V1 : [ 4.87192551  1.8452     12.68317692]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 5.62910062  1.8452     14.6544869 ] : 82
O1 : [ 4.9993784   3.6904     13.08376843] : 79
O1 : [ 2.95883181  1.8452     13.37525913] : 103
O1 : [ 4.9993784   0.         13.08376843] : 79
O1 : [ 6.73346159  1.8452     11.98293297] : 110
O1 : [ 4.22992872  1.8452     11.08164371] : 98
!!!atention to nb coordination!!!
         [2.1117237498826777, 1.8924800755525224, 2.034429967583768, 1.8924800755525224, 1.9888836474186093, 1.7254183520690924]
         [2.1117237498826813, 1.892480075552523, 2.0344299675837685, 1.892480075552523, 1.988883647418608, 1.7254183520690904]


**isite= 24
V1 : [ 5.77406835  0.         15.00360948]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 4.9993784   0.         13.08376843] : 79
O1 : [ 6.45775837  0.         16.65661162] : 97
O1 : [ 7.6442095  0.        14.3340137] : 61
O1 : [ 5.62910062 -1.8452     14.6544869 ] : 82
O1 : [ 3.91956436  0.         15.77214554] : 107
O1 : [ 5.62910062  1.8452     14.6544869 ] : 82
!!!atention to nb coordination!!!
         [2.0702497909871673, 1.7888119271422465, 1.9864003755630315, 1.8835246905500933, 2.0074443255123025, 1.8835246905500929]
         [2.070249790987164, 1.7888119271422471, 1.9864003755630313, 1.8835246905500922, 2.0074443255123033, 1.8835246905500922]


**isite= 25
V1 : [0.68369002 1.8452     1.65300214]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.     1.8452 0.    ] : 58
O1 : [1.45837997 1.8452     3.57284319] : 80
O1 : [2.53819401 1.8452     0.88446608] : 106
O1 : [0.82865776 3.6904     2.00212472] : 81
O1 : [0.82865776 0.         2.00212472] : 81
O1 : [-1.18645113  1.8452      2.32259792] : 62
!!!atention to nb coordination!!!
         [1.7888119271422478, 2.070249790987163, 2.007444325512303, 1.883524690550092, 1.883524690550092, 1.9864003755630337]
         [1.788811927142248, 2.0702497909871638, 2.0074443255123033, 1.883524690550092, 1.883524690550092, 1.9864003755630306]


**isite= 26
V1 : [4.08909405 1.8452     9.13148762]

ce_symbol  = S:5
ce_fraction=  0.8377619823257343
species:coords:index
O1 : [3.44645008 0.         9.16280205] : 84
O1 : [3.01130829 1.8452     7.49380957] : 83
O1 : [ 4.22992872  1.8452     11.08164371] : 98
