cif name= ./1008055.cif
./1008055.cif
Full Formula (Rb8 Eu24 F80)
 89  F-    0.5     0.8346  0.1654
 90  F-    0.8346  0.8346  0.5
 91  F-    0.8346  0       0.6654
 92  F-    0.6107  0.1107  0.6107
 93  F-    0.6107  0.3893  0.8893
 94  F-    0.8893  0.1107  0.8893
 95  F-    0.8893  0.3893  0.6107
 96  F-    0.8893  0.8893  0.8893
 97  F-    0.8893  0.6107  0.6107
 98  F-    0.6107  0.8893  0.6107
 99  F-    0.6107  0.6107  0.8893
100  F-    0.5     0.6654  0.6654
101  F-    0.6654  0.6654  0.5
102  F-    0.6654  0.5     0.6654
103  F-    0.5     0.3346  0.3346
104  F-    0.6654  0.3346  0.5
105  F-    0.6654  0.5     0.3346
106  F-    0.5     0.6654  0.3346
107  F-    0.8346  0.6654  0
108  F-    0.8346  0.5     0.8346
109  F-    0.5     0.3346  0.6654
110  F-    0.8346  0.3346  0
111  F-    0.8346  0.5     0.1654

space_group_IT_number 225

*** lse ***


**isite= 0
Rb+1 : [2.961 8.883 8.883]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
F-1 : [1.3111308 7.2331308 7.2331308] : 32
F-1 : [ 4.6108692  7.2331308 10.5328692] : 34
F-1 : [ 4.6108692 10.5328692  7.2331308] : 35
F-1 : [ 1.3111308 10.5328692 10.5328692] : 33
!!!atention to nb coordination!!!
         [2.8576572802430156, 2.8576572802430174, 2.8576572802430174, 2.8576572802430187]
         [2.8576572802430165, 2.8576572802430165, 2.8576572802430165, 2.8576572802430165]


**isite= 1
Rb+1 : [2.961 2.961 8.883]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
F-1 : [1.3111308 4.6108692 7.2331308] : 38
F-1 : [4.6108692 1.3111308 7.2331308] : 37
F-1 : [ 1.3111308  1.3111308 10.5328692] : 39
F-1 : [ 4.6108692  4.6108692 10.5328692] : 36
!!!atention to nb coordination!!!
         [2.8576572802430165, 2.8576572802430165, 2.857657280243018, 2.857657280243018]
         [2.8576572802430165, 2.8576572802430165, 2.857657280243017, 2.8576572802430165]


**isite= 2
Rb+1 : [2.961 2.961 2.961]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
F-1 : [1.3111308 4.6108692 4.6108692] : 53
F-1 : [4.6108692 4.6108692 1.3111308] : 55
F-1 : [1.3111308 1.3111308 1.3111308] : 52
F-1 : [4.6108692 1.3111308 4.6108692] : 54
!!!atention to nb coordination!!!
         [2.8576572802430165, 2.8576572802430165, 2.857657280243017, 2.8576572802430165]
         [2.8576572802430165, 2.857657280243017, 2.8576572802430174, 2.8576572802430165]


**isite= 3
Rb+1 : [2.961 8.883 2.961]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
F-1 : [1.3111308 7.2331308 4.6108692] : 59
F-1 : [ 4.6108692 10.5328692  4.6108692] : 56
F-1 : [ 1.3111308 10.5328692  1.3111308] : 58
F-1 : [4.6108692 7.2331308 1.3111308] : 57
!!!atention to nb coordination!!!
         [2.8576572802430165, 2.857657280243018, 2.857657280243018, 2.8576572802430165]
         [2.8576572802430165, 2.8576572802430165, 2.857657280243017, 2.857657280243017]


**isite= 4
Rb+1 : [8.883 8.883 2.961]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
F-1 : [10.5328692  7.2331308  4.6108692] : 74
F-1 : [10.5328692 10.5328692  1.3111308] : 75
F-1 : [7.2331308 7.2331308 1.3111308] : 72
F-1 : [ 7.2331308 10.5328692  4.6108692] : 73
!!!atention to nb coordination!!!
         [2.857657280243017, 2.8576572802430187, 2.8576572802430156, 2.857657280243017]
         [2.8576572802430165, 2.857657280243017, 2.857657280243017, 2.8576572802430165]


**isite= 5
Rb+1 : [8.883 2.961 2.961]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
F-1 : [7.2331308 1.3111308 4.6108692] : 79
F-1 : [10.5328692  4.6108692  4.6108692] : 76
F-1 : [7.2331308 4.6108692 1.3111308] : 78
F-1 : [10.5328692  1.3111308  1.3111308] : 77
!!!atention to nb coordination!!!
         [2.857657280243016, 2.857657280243018, 2.8576572802430165, 2.857657280243018]
         [2.8576572802430165, 2.8576572802430165, 2.857657280243017, 2.857657280243017]


**isite= 6
Rb+1 : [8.883 2.961 8.883]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
F-1 : [10.5328692  4.6108692  7.2331308] : 95
F-1 : [10.5328692  1.3111308 10.5328692] : 94
F-1 : [ 7.2331308  4.6108692 10.5328692] : 93
F-1 : [7.2331308 1.3111308 7.2331308] : 92
!!!atention to nb coordination!!!
         [2.8576572802430174, 2.8576572802430187, 2.8576572802430174, 2.8576572802430156]
         [2.8576572802430165, 2.8576572802430165, 2.8576572802430165, 2.8576572802430165]


**isite= 7
Rb+1 : [8.883 8.883 8.883]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
F-1 : [ 7.2331308  7.2331308 10.5328692] : 99
F-1 : [10.5328692 10.5328692 10.5328692] : 96
F-1 : [ 7.2331308 10.5328692  7.2331308] : 98
F-1 : [10.5328692  7.2331308  7.2331308] : 97
!!!atention to nb coordination!!!
         [2.8576572802430165, 2.8576572802430196, 2.8576572802430165, 2.8576572802430165]
         [2.8576572802430165, 2.8576572802430165, 2.8576572802430165, 2.8576572802430165]


**isite= 8
Eu3+1 : [2.8401912 0.        0.       ]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807063
species:coords:index
F-1 : [ 1.3111308  1.3111308 -1.3111308] : 39
F-1 : [1.3111308 1.3111308 1.3111308] : 52
F-1 : [3.9630024 0.        1.9589976] : 51
F-1 : [ 3.9630024  0.        -1.9589976] : 48
F-1 : [ 1.3111308 -1.3111308 -1.3111308] : 33
F-1 : [ 1.3111308 -1.3111308  1.3111308] : 58
F-1 : [3.9630024 1.9589976 0.       ] : 47
F-1 : [ 3.9630024 -1.9589976  0.       ] : 50
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869022, 2.257958499984268, 2.257958499984266, 2.4033629888690204, 2.4033629888690213, 2.257958499984268, 2.257958499984266]
         [2.403362988869022, 2.403362988869022, 2.2579584999842677, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.2579584999842677, 2.2579584999842672]

ce_symbol  = SBT:8
ce_fraction=  0.046621415456199036
species:coords:index
F-1 : [ 1.3111308  1.3111308 -1.3111308] : 39
F-1 : [1.3111308 1.3111308 1.3111308] : 52
F-1 : [3.9630024 0.        1.9589976] : 51
F-1 : [ 3.9630024  0.        -1.9589976] : 48
F-1 : [ 1.3111308 -1.3111308 -1.3111308] : 33
F-1 : [ 1.3111308 -1.3111308  1.3111308] : 58
F-1 : [3.9630024 1.9589976 0.       ] : 47
F-1 : [ 3.9630024 -1.9589976  0.       ] : 50
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869022, 2.257958499984268, 2.257958499984266, 2.4033629888690204, 2.4033629888690213, 2.257958499984268, 2.257958499984266]
         [2.403362988869022, 2.403362988869022, 2.2579584999842677, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.2579584999842677, 2.2579584999842672]

ce_symbol  = BO_3:8
ce_fraction=  0.00013798296309470155
species:coords:index
F-1 : [ 1.3111308  1.3111308 -1.3111308] : 39
F-1 : [1.3111308 1.3111308 1.3111308] : 52
F-1 : [3.9630024 0.        1.9589976] : 51
F-1 : [ 3.9630024  0.        -1.9589976] : 48
F-1 : [ 1.3111308 -1.3111308 -1.3111308] : 33
F-1 : [ 1.3111308 -1.3111308  1.3111308] : 58
F-1 : [3.9630024 1.9589976 0.       ] : 47
F-1 : [ 3.9630024 -1.9589976  0.       ] : 50
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869022, 2.257958499984268, 2.257958499984266, 2.4033629888690204, 2.4033629888690213, 2.257958499984268, 2.257958499984266]
         [2.403362988869022, 2.403362988869022, 2.2579584999842677, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.2579584999842677, 2.2579584999842672]


**isite= 9
Eu3+1 : [0.        0.        2.8401912]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807063
species:coords:index
F-1 : [ 1.3111308 -1.3111308  1.3111308] : 58
F-1 : [1.3111308 1.3111308 1.3111308] : 52
F-1 : [-1.3111308  1.3111308  1.3111308] : 77
F-1 : [-1.3111308 -1.3111308  1.3111308] : 75
F-1 : [ 0.        -1.9589976  3.9630024] : 43
F-1 : [1.9589976 0.        3.9630024] : 45
F-1 : [0.        1.9589976 3.9630024] : 46
F-1 : [-1.9589976  0.         3.9630024] : 88
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869022, 2.4033629888690213, 2.4033629888690204, 2.257958499984266, 2.257958499984268, 2.257958499984268, 2.257958499984266]
         [2.403362988869022, 2.403362988869022, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842677, 2.2579584999842677, 2.2579584999842672]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619908
species:coords:index
F-1 : [ 1.3111308 -1.3111308  1.3111308] : 58
F-1 : [1.3111308 1.3111308 1.3111308] : 52
F-1 : [-1.3111308  1.3111308  1.3111308] : 77
F-1 : [-1.3111308 -1.3111308  1.3111308] : 75
F-1 : [ 0.        -1.9589976  3.9630024] : 43
F-1 : [1.9589976 0.        3.9630024] : 45
F-1 : [0.        1.9589976 3.9630024] : 46
F-1 : [-1.9589976  0.         3.9630024] : 88
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869022, 2.4033629888690213, 2.4033629888690204, 2.257958499984266, 2.257958499984268, 2.257958499984268, 2.257958499984266]
         [2.403362988869022, 2.403362988869022, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842677, 2.2579584999842677, 2.2579584999842672]

ce_symbol  = BO_3:8
ce_fraction=  0.0001379829630947016
species:coords:index
F-1 : [ 1.3111308 -1.3111308  1.3111308] : 58
F-1 : [1.3111308 1.3111308 1.3111308] : 52
F-1 : [-1.3111308  1.3111308  1.3111308] : 77
F-1 : [-1.3111308 -1.3111308  1.3111308] : 75
F-1 : [ 0.        -1.9589976  3.9630024] : 43
F-1 : [1.9589976 0.        3.9630024] : 45
F-1 : [0.        1.9589976 3.9630024] : 46
F-1 : [-1.9589976  0.         3.9630024] : 88
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869022, 2.4033629888690213, 2.4033629888690204, 2.257958499984266, 2.257958499984268, 2.257958499984268, 2.257958499984266]
         [2.403362988869022, 2.403362988869022, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842677, 2.2579584999842677, 2.2579584999842672]


**isite= 10
Eu3+1 : [0.        8.7621912 5.922    ]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807067
species:coords:index
F-1 : [-1.3111308  7.2331308  7.2331308] : 97
F-1 : [-1.3111308  7.2331308  4.6108692] : 74
F-1 : [-1.9589976  9.8850024  5.922    ] : 90
F-1 : [1.3111308 7.2331308 4.6108692] : 59
F-1 : [1.3111308 7.2331308 7.2331308] : 32
F-1 : [0.        9.8850024 3.9630024] : 43
F-1 : [0.        9.8850024 7.8809976] : 49
F-1 : [1.9589976 9.8850024 5.922    ] : 44
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869021, 2.257958499984267, 2.4033629888690218, 2.403362988869022, 2.2579584999842677, 2.2579584999842695, 2.2579584999842686]
         [2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619863
species:coords:index
F-1 : [-1.3111308  7.2331308  7.2331308] : 97
F-1 : [-1.3111308  7.2331308  4.6108692] : 74
F-1 : [-1.9589976  9.8850024  5.922    ] : 90
F-1 : [1.3111308 7.2331308 4.6108692] : 59
F-1 : [1.3111308 7.2331308 7.2331308] : 32
F-1 : [0.        9.8850024 3.9630024] : 43
F-1 : [0.        9.8850024 7.8809976] : 49
F-1 : [1.9589976 9.8850024 5.922    ] : 44
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869021, 2.257958499984267, 2.4033629888690218, 2.403362988869022, 2.2579584999842677, 2.2579584999842695, 2.2579584999842686]
         [2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677]

ce_symbol  = BO_3:8
ce_fraction=  0.0001379829630947014
species:coords:index
F-1 : [-1.3111308  7.2331308  7.2331308] : 97
F-1 : [-1.3111308  7.2331308  4.6108692] : 74
F-1 : [-1.9589976  9.8850024  5.922    ] : 90
F-1 : [1.3111308 7.2331308 4.6108692] : 59
F-1 : [1.3111308 7.2331308 7.2331308] : 32
F-1 : [0.        9.8850024 3.9630024] : 43
F-1 : [0.        9.8850024 7.8809976] : 49
F-1 : [1.9589976 9.8850024 5.922    ] : 44
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869021, 2.257958499984267, 2.4033629888690218, 2.403362988869022, 2.2579584999842677, 2.2579584999842695, 2.2579584999842686]
         [2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677]


**isite= 11
Eu3+1 : [0.        0.        9.0038088]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807066
species:coords:index
F-1 : [-1.9589976  0.         7.8809976] : 91
F-1 : [0.        1.9589976 7.8809976] : 40
F-1 : [-1.3111308 -1.3111308 10.5328692] : 96
F-1 : [ 0.        -1.9589976  7.8809976] : 49
F-1 : [1.9589976 0.        7.8809976] : 42
F-1 : [-1.3111308  1.3111308 10.5328692] : 94
F-1 : [ 1.3111308  1.3111308 10.5328692] : 39
F-1 : [ 1.3111308 -1.3111308 10.5328692] : 33
!!!atention to nb coordination!!!
         [2.257958499984265, 2.257958499984267, 2.4033629888690213, 2.257958499984265, 2.257958499984267, 2.4033629888690227, 2.403362988869023, 2.4033629888690227]
         [2.2579584999842672, 2.2579584999842677, 2.4033629888690218, 2.2579584999842672, 2.2579584999842677, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619881
species:coords:index
F-1 : [-1.9589976  0.         7.8809976] : 91
F-1 : [0.        1.9589976 7.8809976] : 40
F-1 : [-1.3111308 -1.3111308 10.5328692] : 96
F-1 : [ 0.        -1.9589976  7.8809976] : 49
F-1 : [1.9589976 0.        7.8809976] : 42
F-1 : [-1.3111308  1.3111308 10.5328692] : 94
F-1 : [ 1.3111308  1.3111308 10.5328692] : 39
F-1 : [ 1.3111308 -1.3111308 10.5328692] : 33
!!!atention to nb coordination!!!
         [2.257958499984265, 2.257958499984267, 2.4033629888690213, 2.257958499984265, 2.257958499984267, 2.4033629888690227, 2.403362988869023, 2.4033629888690227]
         [2.2579584999842672, 2.2579584999842677, 2.4033629888690218, 2.2579584999842672, 2.2579584999842677, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]

ce_symbol  = BO_3:8
ce_fraction=  0.00013798296309470106
species:coords:index
F-1 : [-1.9589976  0.         7.8809976] : 91
F-1 : [0.        1.9589976 7.8809976] : 40
F-1 : [-1.3111308 -1.3111308 10.5328692] : 96
F-1 : [ 0.        -1.9589976  7.8809976] : 49
F-1 : [1.9589976 0.        7.8809976] : 42
F-1 : [-1.3111308  1.3111308 10.5328692] : 94
F-1 : [ 1.3111308  1.3111308 10.5328692] : 39
F-1 : [ 1.3111308 -1.3111308 10.5328692] : 33
!!!atention to nb coordination!!!
         [2.257958499984265, 2.257958499984267, 2.4033629888690213, 2.257958499984265, 2.257958499984267, 2.4033629888690227, 2.403362988869023, 2.4033629888690227]
         [2.2579584999842672, 2.2579584999842677, 2.4033629888690218, 2.2579584999842672, 2.2579584999842677, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]


**isite= 12
Eu3+1 : [0.        3.0818088 5.922    ]

ce_symbol  = SA:8
ce_fraction=  0.953240601580707
species:coords:index
F-1 : [1.9589976 1.9589976 5.922    ] : 41
F-1 : [0.        1.9589976 7.8809976] : 40
F-1 : [-1.9589976  1.9589976  5.922    ] : 87
F-1 : [0.        1.9589976 3.9630024] : 46
F-1 : [-1.3111308  4.6108692  4.6108692] : 76
F-1 : [1.3111308 4.6108692 7.2331308] : 38
F-1 : [1.3111308 4.6108692 4.6108692] : 53
F-1 : [-1.3111308  4.6108692  7.2331308] : 95
!!!atention to nb coordination!!!
         [2.257958499984268, 2.2579584999842686, 2.257958499984266, 2.257958499984267, 2.4033629888690213, 2.4033629888690227, 2.4033629888690218, 2.4033629888690218]
         [2.257958499984268, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619841
species:coords:index
F-1 : [1.9589976 1.9589976 5.922    ] : 41
F-1 : [0.        1.9589976 7.8809976] : 40
F-1 : [-1.9589976  1.9589976  5.922    ] : 87
F-1 : [0.        1.9589976 3.9630024] : 46
F-1 : [-1.3111308  4.6108692  4.6108692] : 76
F-1 : [1.3111308 4.6108692 7.2331308] : 38
F-1 : [1.3111308 4.6108692 4.6108692] : 53
F-1 : [-1.3111308  4.6108692  7.2331308] : 95
!!!atention to nb coordination!!!
         [2.257958499984268, 2.2579584999842686, 2.257958499984266, 2.257958499984267, 2.4033629888690213, 2.4033629888690227, 2.4033629888690218, 2.4033629888690218]
         [2.257958499984268, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]

ce_symbol  = BO_3:8
ce_fraction=  0.0001379829630947005
species:coords:index
F-1 : [1.9589976 1.9589976 5.922    ] : 41
F-1 : [0.        1.9589976 7.8809976] : 40
F-1 : [-1.9589976  1.9589976  5.922    ] : 87
F-1 : [0.        1.9589976 3.9630024] : 46
F-1 : [-1.3111308  4.6108692  4.6108692] : 76
F-1 : [1.3111308 4.6108692 7.2331308] : 38
F-1 : [1.3111308 4.6108692 4.6108692] : 53
F-1 : [-1.3111308  4.6108692  7.2331308] : 95
!!!atention to nb coordination!!!
         [2.257958499984268, 2.2579584999842686, 2.257958499984266, 2.257958499984267, 2.4033629888690213, 2.4033629888690227, 2.4033629888690218, 2.4033629888690218]
         [2.257958499984268, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]


**isite= 13
Eu3+1 : [3.0818088 0.        5.922    ]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807069
species:coords:index
F-1 : [ 1.9589976 -1.9589976  5.922    ] : 44
F-1 : [1.9589976 0.        3.9630024] : 45
F-1 : [ 4.6108692 -1.3111308  4.6108692] : 56
F-1 : [1.9589976 1.9589976 5.922    ] : 41
F-1 : [1.9589976 0.        7.8809976] : 42
F-1 : [4.6108692 1.3111308 4.6108692] : 54
F-1 : [4.6108692 1.3111308 7.2331308] : 37
F-1 : [ 4.6108692 -1.3111308  7.2331308] : 35
!!!atention to nb coordination!!!
         [2.2579584999842655, 2.257958499984267, 2.403362988869021, 2.2579584999842672, 2.2579584999842686, 2.4033629888690218, 2.4033629888690227, 2.4033629888690213]
         [2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]

ce_symbol  = SBT:8
ce_fraction=  0.046621415456198544
species:coords:index
F-1 : [ 1.9589976 -1.9589976  5.922    ] : 44
F-1 : [1.9589976 0.        3.9630024] : 45
F-1 : [ 4.6108692 -1.3111308  4.6108692] : 56
F-1 : [1.9589976 1.9589976 5.922    ] : 41
F-1 : [1.9589976 0.        7.8809976] : 42
F-1 : [4.6108692 1.3111308 4.6108692] : 54
F-1 : [4.6108692 1.3111308 7.2331308] : 37
F-1 : [ 4.6108692 -1.3111308  7.2331308] : 35
!!!atention to nb coordination!!!
         [2.2579584999842655, 2.257958499984267, 2.403362988869021, 2.2579584999842672, 2.2579584999842686, 2.4033629888690218, 2.4033629888690227, 2.4033629888690213]
         [2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]

ce_symbol  = BO_3:8
ce_fraction=  0.00013798296309470008
species:coords:index
F-1 : [ 1.9589976 -1.9589976  5.922    ] : 44
F-1 : [1.9589976 0.        3.9630024] : 45
F-1 : [ 4.6108692 -1.3111308  4.6108692] : 56
F-1 : [1.9589976 1.9589976 5.922    ] : 41
F-1 : [1.9589976 0.        7.8809976] : 42
F-1 : [4.6108692 1.3111308 4.6108692] : 54
F-1 : [4.6108692 1.3111308 7.2331308] : 37
F-1 : [ 4.6108692 -1.3111308  7.2331308] : 35
!!!atention to nb coordination!!!
         [2.2579584999842655, 2.257958499984267, 2.403362988869021, 2.2579584999842672, 2.2579584999842686, 2.4033629888690218, 2.4033629888690227, 2.4033629888690213]
         [2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]


**isite= 14
Eu3+1 : [2.8401912 5.922     5.922    ]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807063
species:coords:index
F-1 : [3.9630024 7.8809976 5.922    ] : 67
F-1 : [3.9630024 5.922     3.9630024] : 68
F-1 : [1.3111308 7.2331308 4.6108692] : 59
F-1 : [1.3111308 7.2331308 7.2331308] : 32
F-1 : [3.9630024 5.922     7.8809976] : 71
F-1 : [3.9630024 3.9630024 5.922    ] : 70
F-1 : [1.3111308 4.6108692 4.6108692] : 53
F-1 : [1.3111308 4.6108692 7.2331308] : 38
!!!atention to nb coordination!!!
         [2.257958499984269, 2.2579584999842672, 2.403362988869023, 2.4033629888690236, 2.257958499984269, 2.2579584999842672, 2.4033629888690227, 2.403362988869023]
         [2.2579584999842672, 2.2579584999842672, 2.4033629888690227, 2.4033629888690227, 2.2579584999842672, 2.2579584999842672, 2.4033629888690227, 2.4033629888690227]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619894
species:coords:index
F-1 : [3.9630024 7.8809976 5.922    ] : 67
F-1 : [3.9630024 5.922     3.9630024] : 68
F-1 : [1.3111308 7.2331308 4.6108692] : 59
F-1 : [1.3111308 7.2331308 7.2331308] : 32
F-1 : [3.9630024 5.922     7.8809976] : 71
F-1 : [3.9630024 3.9630024 5.922    ] : 70
F-1 : [1.3111308 4.6108692 4.6108692] : 53
F-1 : [1.3111308 4.6108692 7.2331308] : 38
!!!atention to nb coordination!!!
         [2.257958499984269, 2.2579584999842672, 2.403362988869023, 2.4033629888690236, 2.257958499984269, 2.2579584999842672, 2.4033629888690227, 2.403362988869023]
         [2.2579584999842672, 2.2579584999842672, 2.4033629888690227, 2.4033629888690227, 2.2579584999842672, 2.2579584999842672, 2.4033629888690227, 2.4033629888690227]

ce_symbol  = BO_3:8
ce_fraction=  0.0001379829630947012
species:coords:index
F-1 : [3.9630024 7.8809976 5.922    ] : 67
F-1 : [3.9630024 5.922     3.9630024] : 68
F-1 : [1.3111308 7.2331308 4.6108692] : 59
F-1 : [1.3111308 7.2331308 7.2331308] : 32
F-1 : [3.9630024 5.922     7.8809976] : 71
F-1 : [3.9630024 3.9630024 5.922    ] : 70
F-1 : [1.3111308 4.6108692 4.6108692] : 53
F-1 : [1.3111308 4.6108692 7.2331308] : 38
!!!atention to nb coordination!!!
         [2.257958499984269, 2.2579584999842672, 2.403362988869023, 2.4033629888690236, 2.257958499984269, 2.2579584999842672, 2.4033629888690227, 2.403362988869023]
         [2.2579584999842672, 2.2579584999842672, 2.4033629888690227, 2.4033629888690227, 2.2579584999842672, 2.2579584999842672, 2.4033629888690227, 2.4033629888690227]


**isite= 15
