cif name= ./4306125.cif
./4306125.cif
Full Formula (Ga12 Pb20 F76)
 45  F-    0.93    0.3012  0.8487
 46  F-    0.07    0.3012  0.3487
 47  F-    0.93    0.6988  0.3487
 48  F-    0       0       0.0919
 49  F-    0       0       0.5919
 50  F-    0.7506  0.7494  0.9552
 51  F-    0.2494  0.2506  0.9552
 52  F-    0.2494  0.7494  0.4552
 53  F-    0.7506  0.2506  0.4552
 54  F-    0.8867  0.6133  0.9923
 55  F-    0.1133  0.3867  0.9923
 56  F-    0.1133  0.6133  0.4923
 57  F-    0.8867  0.3867  0.4923
 58  F-    0.0756  0.4244  0.6053
 59  F-    0.9244  0.5756  0.6053
 60  F-    0.9244  0.4244  0.1053
 61  F-    0.0756  0.5756  0.1053
 62  F-    0.6158  0.5555  0.3368
 63  F-    0.3842  0.4445  0.3368
 64  F-    0.3842  0.5555  0.8368
 65  F-    0.6158  0.4445  0.8368
 66  F-    0.9445  0.1158  0.8368
 67  F-    0.0555  0.8842  0.8368
 68  F-    0.9445  0.8842  0.3368
 69  F-    0.0555  0.1158  0.3368
 70  F-    0.6069  0.7472  0.1789
 71  F-    0.3931  0.2528  0.1789
 72  F-    0.3931  0.7472  0.6789
 73  F-    0.6069  0.2528  0.6789
 74  F-    0.7528  0.1069  0.6789
 75  F-    0.2472  0.8931  0.6789
 76  F-    0.7528  0.8931  0.1789
 77  F-    0.2472  0.1069  0.1789
 78  F-    0.6988  0.93    0.8487
 79  F-    0.3012  0.07    0.8487
 80  F-    0.3012  0.93    0.3487
 81  F-    0.6988  0.07    0.3487
 82  F-    0.57    0.1988  0.3487
 83  F-    0.43    0.8012  0.3487
 84  F-    0.57    0.8012  0.8487
 85  F-    0.43    0.1988  0.8487
 86  F-    0.5     0.5     0.5919
 87  F-    0.5     0.5     0.0919
 88  F-    0.2506  0.2494  0.4552
 89  F-    0.7494  0.7506  0.4552
 90  F-    0.7494  0.2494  0.9552
 91  F-    0.2506  0.7506  0.9552
 92  F-    0.3867  0.1133  0.4923
 93  F-    0.6133  0.8867  0.4923
 94  F-    0.6133  0.1133  0.9923
 95  F-    0.3867  0.8867  0.9923
 96  F-    0.5756  0.9244  0.1053
 97  F-    0.4244  0.0756  0.1053
 98  F-    0.4244  0.9244  0.6053
 99  F-    0.5756  0.0756  0.6053
100  F-    0.1158  0.0555  0.8368
101  F-    0.8842  0.9445  0.8368
102  F-    0.8842  0.0555  0.3368
103  F-    0.1158  0.9445  0.3368
104  F-    0.4445  0.6158  0.3368
105  F-    0.5555  0.3842  0.3368
106  F-    0.4445  0.3842  0.8368
107  F-    0.5555  0.6158  0.8368

space_group_IT_number 108

*** lse ***


**isite= 0
Ga3+1 : [2.3369636 4.8316364 3.8845785]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [2.85023536 6.164996   2.59244502] : 40
F-1 : [1.08389232 6.08470768 4.50016338] : 58
F-1 : [3.62444416 5.63595332 5.04734994] : 38
F-1 : [3.59290232 3.57569768 3.38422992] : 88
F-1 : [1.53264668 3.54415584 5.04734994] : 32
F-1 : [1.003604   4.31836464 2.59244502] : 46
!!!atention to nb coordination!!!
         [1.926370850242123, 1.8759850772344364, 1.9122158146652475, 1.8452947835775437, 1.912215814665247, 1.926370850242123]
         [1.9263708502421233, 1.8759850772344364, 1.912215814665247, 1.8452947835775437, 1.912215814665247, 1.9263708502421233]


**isite= 1
Ga3+1 : [12.0002364  9.5055636  3.8845785]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [10.71275584  8.70124668  5.04734994] : 39
F-1 : [10.74429768 10.76150232  3.38422992] : 89
F-1 : [12.80455332 10.79304416  5.04734994] : 33
F-1 : [13.25330768  8.25249232  4.50016338] : 59
F-1 : [13.333596   10.01883536  2.59244502] : 47
F-1 : [11.48696464  8.172204    2.59244502] : 41
!!!atention to nb coordination!!!
         [1.912215814665246, 1.845294783577542, 1.912215814665246, 1.8759850772344362, 1.926370850242122, 1.9263708502421215]
         [1.912215814665246, 1.845294783577543, 1.912215814665246, 1.8759850772344362, 1.9263708502421222, 1.9263708502421222]


**isite= 2
Ga3+1 : [12.0002364  4.8316364  0.1672785]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [10.74429768  3.57569768 -0.33307008] : 90
F-1 : [13.333596    4.31836464 -1.12485498] : 45
F-1 : [12.80455332  3.54415584  1.33004994] : 34
F-1 : [11.48696464  6.164996   -1.12485498] : 42
F-1 : [10.71275584  5.63595332  1.33004994] : 37
F-1 : [13.25330768  6.08470768  0.78286338] : 60
!!!atention to nb coordination!!!
         [1.845294783577542, 1.9263708502421222, 1.9122158146652481, 1.926370850242122, 1.9122158146652475, 1.8759850772344366]
         [1.845294783577543, 1.9263708502421222, 1.9122158146652481, 1.9263708502421224, 1.912215814665247, 1.8759850772344366]


**isite= 3
Ga3+1 : [2.3369636 9.5055636 0.1672785]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [ 1.003604   10.01883536 -1.12485498] : 44
F-1 : [ 2.85023536  8.172204   -1.12485498] : 43
F-1 : [1.08389232 8.25249232 0.78286338] : 61
F-1 : [ 3.59290232 10.76150232 -0.33307008] : 91
F-1 : [3.62444416 8.70124668 1.33004994] : 36
F-1 : [ 1.53264668 10.79304416  1.33004994] : 35
!!!atention to nb coordination!!!
         [1.9263708502421228, 1.9263708502421224, 1.8759850772344366, 1.845294783577543, 1.9122158146652484, 1.912215814665247]
         [1.9263708502421226, 1.9263708502421222, 1.8759850772344366, 1.845294783577543, 1.9122158146652481, 1.912215814665247]


**isite= 4
Ga3+1 : [0.         0.         2.44523994]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [ 1.66024776 -0.7957146   2.50397328] : 103
F-1 : [0.7957146  1.66024776 2.50397328] : 69
F-1 : [0.         0.         0.68323974] : 48
F-1 : [-1.66024776  0.7957146   2.50397328] : 102
F-1 : [-0.7957146  -1.66024776  2.50397328] : 68
F-1 : [0.         0.         4.40053974] : 49
!!!atention to nb coordination!!!
         [1.8420189886278946, 1.8420189886278944, 1.7620002000000006, 1.8420189886278948, 1.8420189886278948, 1.9552997999999988]
         [1.8420189886278941, 1.8420189886278941, 1.7620002000000006, 1.8420189886278941, 1.8420189886278941, 1.9552997999999988]


**isite= 5
Ga3+1 : [0.         0.         6.16253994]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [-0.7957146   1.66024776  6.22127328] : 66
F-1 : [-1.66024776 -0.7957146   6.22127328] : 101
F-1 : [0.         0.         8.11783974] : 48
F-1 : [ 0.7957146  -1.66024776  6.22127328] : 67
F-1 : [1.66024776 0.7957146  6.22127328] : 100
F-1 : [0.         0.         4.40053974] : 49
!!!atention to nb coordination!!!
         [1.8420189886278946, 1.8420189886278948, 1.9552997999999988, 1.8420189886278948, 1.8420189886278944, 1.762000200000001]
         [1.8420189886278941, 1.8420189886278941, 1.9552997999999988, 1.8420189886278941, 1.8420189886278941, 1.762000200000001]


**isite= 6
Ga3+1 : [ 9.5055636 12.0002364  0.1672785]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [10.79304416 12.80455332  1.33004994] : 76
F-1 : [ 8.25249232 13.25330768  0.78286338] : 96
F-1 : [10.01883536 13.333596   -1.12485498] : 78
F-1 : [10.76150232 10.74429768 -0.33307008] : 50
F-1 : [ 8.172204   11.48696464 -1.12485498] : 84
F-1 : [ 8.70124668 10.71275584  1.33004994] : 70
!!!atention to nb coordination!!!
         [1.912215814665247, 1.8759850772344366, 1.926370850242122, 1.8452947835775417, 1.9263708502421215, 1.912215814665247]
         [1.912215814665247, 1.8759850772344366, 1.9263708502421217, 1.8452947835775428, 1.9263708502421217, 1.912215814665247]


**isite= 7
Ga3+1 : [4.8316364 2.3369636 0.1672785]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [6.08470768 1.08389232 0.78286338] : 97
F-1 : [ 4.31836464  1.003604   -1.12485498] : 79
F-1 : [ 6.164996    2.85023536 -1.12485498] : 85
F-1 : [3.54415584 1.53264668 1.33004994] : 77
F-1 : [5.63595332 3.62444416 1.33004994] : 71
F-1 : [ 3.57569768  3.59290232 -0.33307008] : 51
!!!atention to nb coordination!!!
         [1.8759850772344344, 1.9263708502421215, 1.9263708502421213, 1.912215814665248, 1.912215814665249, 1.845294783577546]
         [1.8759850772344344, 1.9263708502421215, 1.9263708502421213, 1.9122158146652484, 1.9122158146652484, 1.845294783577546]


**isite= 8
Ga3+1 : [ 4.8316364 12.0002364  3.8845785]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [ 3.57569768 10.74429768  3.38422992] : 52
F-1 : [ 6.164996   11.48696464  2.59244502] : 83
F-1 : [ 4.31836464 13.333596    2.59244502] : 80
F-1 : [ 5.63595332 10.71275584  5.04734994] : 72
F-1 : [ 3.54415584 12.80455332  5.04734994] : 75
F-1 : [ 6.08470768 13.25330768  4.50016338] : 98
!!!atention to nb coordination!!!
         [1.845294783577543, 1.9263708502421195, 1.926370850242122, 1.912215814665247, 1.9122158146652486, 1.8759850772344353]
         [1.8452947835775444, 1.9263708502421204, 1.9263708502421224, 1.9122158146652466, 1.912215814665249, 1.8759850772344353]


**isite= 9
Ga3+1 : [9.5055636 2.3369636 3.8845785]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [8.70124668 3.62444416 5.04734994] : 73
F-1 : [10.79304416  1.53264668  5.04734994] : 74
F-1 : [10.01883536  1.003604    2.59244502] : 81
F-1 : [10.76150232  3.59290232  3.38422992] : 53
F-1 : [8.25249232 1.08389232 4.50016338] : 99
F-1 : [8.172204   2.85023536 2.59244502] : 82
!!!atention to nb coordination!!!
         [1.912215814665249, 1.9122158146652466, 1.9263708502421204, 1.8452947835775444, 1.8759850772344355, 1.926370850242122]
         [1.912215814665249, 1.9122158146652466, 1.9263708502421206, 1.8452947835775444, 1.8759850772344355, 1.9263708502421222]


**isite= 10
Ga3+1 : [7.1686     7.1686     6.16253994]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [7.1686     7.1686     8.11783974] : 87
F-1 : [8.82884776 6.3728854  6.22127328] : 65
F-1 : [6.3728854  5.50835224 6.22127328] : 106
F-1 : [7.9643146  8.82884776 6.22127328] : 107
F-1 : [5.50835224 7.9643146  6.22127328] : 64
F-1 : [7.1686     7.1686     4.40053974] : 86
!!!atention to nb coordination!!!
         [1.9552997999999988, 1.8420189886278961, 1.8420189886278946, 1.8420189886278961, 1.8420189886278946, 1.762000200000001]
         [1.9552997999999988, 1.8420189886278946, 1.8420189886278946, 1.8420189886278946, 1.8420189886278946, 1.762000200000001]


**isite= 11
Ga3+1 : [7.1686     7.1686     2.44523994]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F-1 : [5.50835224 6.3728854  2.50397328] : 63
F-1 : [7.1686     7.1686     0.68323974] : 87
F-1 : [7.9643146  5.50835224 2.50397328] : 105
F-1 : [7.1686     7.1686     4.40053974] : 86
F-1 : [6.3728854  8.82884776 2.50397328] : 104
F-1 : [8.82884776 7.9643146  2.50397328] : 62
!!!atention to nb coordination!!!
         [1.8420189886278946, 1.7620002000000006, 1.8420189886278946, 1.9552997999999997, 1.8420189886278961, 1.8420189886278961]
         [1.8420189886278946, 1.7620002000000006, 1.8420189886278946, 1.9552997999999997, 1.8420189886278946, 1.8420189886278946]


**isite= 12
Pb2+1 : [1.33106565e+01 1.10668847e+01 1.23810961e-15]

ce_symbol  = TT_1:9
ce_fraction=  0.566929975075267
species:coords:index
F-1 : [13.5414854  12.67695224  2.50397328] : 68
F-1 : [10.76150232 10.74429768 -0.33307008] : 50
F-1 : [13.333596   10.01883536  2.59244502] : 47
F-1 : [12.67695224 13.5414854  -1.21332672] : 101
F-1 : [15.340804   10.01883536 -1.12485498] : 44
F-1 : [15.86984668 10.79304416  1.33004994] : 35
F-1 : [12.71279524  8.79300476 -0.05724642] : 54
F-1 : [12.80455332 10.79304416 -2.38725006] : 33
F-1 : [15.1329146  12.67695224 -1.21332672] : 67
!!!atention to nb coordination!!!
         [2.9858803936237415, 2.5909814708340746, 2.7963735051765, 2.827965968091631, 2.5466065766320147, 2.8971496255913176, 2.3518599247141316, 2.4556245413185347, 2.7175547709542607]
         [2.985880393623741, 2.590981470834075, 2.7963735051764997, 2.8279659680916307, 2.5466065766320156, 2.8971496255913176, 2.3518599247141316, 2.4556245413185347, 2.7175547709542602]

ce_symbol  = SMA:9
ce_fraction=  0.3620888741178673
species:coords:index
F-1 : [13.5414854  12.67695224  2.50397328] : 68
F-1 : [10.76150232 10.74429768 -0.33307008] : 50
F-1 : [13.333596   10.01883536  2.59244502] : 47
F-1 : [12.67695224 13.5414854  -1.21332672] : 101
F-1 : [15.340804   10.01883536 -1.12485498] : 44
F-1 : [15.86984668 10.79304416  1.33004994] : 35
F-1 : [12.71279524  8.79300476 -0.05724642] : 54
F-1 : [12.80455332 10.79304416 -2.38725006] : 33
F-1 : [15.1329146  12.67695224 -1.21332672] : 67
!!!atention to nb coordination!!!
         [2.9858803936237415, 2.5909814708340746, 2.7963735051765, 2.827965968091631, 2.5466065766320147, 2.8971496255913176, 2.3518599247141316, 2.4556245413185347, 2.7175547709542607]
         [2.985880393623741, 2.590981470834075, 2.7963735051764997, 2.8279659680916307, 2.5466065766320156, 2.8971496255913176, 2.3518599247141316, 2.4556245413185347, 2.7175547709542602]

ce_symbol  = TT_2:9
ce_fraction=  0.07098115080686573
species:coords:index
F-1 : [13.5414854  12.67695224  2.50397328] : 68
F-1 : [10.76150232 10.74429768 -0.33307008] : 50
F-1 : [13.333596   10.01883536  2.59244502] : 47
F-1 : [12.67695224 13.5414854  -1.21332672] : 101
F-1 : [15.340804   10.01883536 -1.12485498] : 44
F-1 : [15.86984668 10.79304416  1.33004994] : 35
F-1 : [12.71279524  8.79300476 -0.05724642] : 54
F-1 : [12.80455332 10.79304416 -2.38725006] : 33
F-1 : [15.1329146  12.67695224 -1.21332672] : 67
!!!atention to nb coordination!!!
         [2.9858803936237415, 2.5909814708340746, 2.7963735051765, 2.827965968091631, 2.5466065766320147, 2.8971496255913176, 2.3518599247141316, 2.4556245413185347, 2.7175547709542607]
         [2.985880393623741, 2.590981470834075, 2.7963735051764997, 2.8279659680916307, 2.5466065766320156, 2.8971496255913176, 2.3518599247141316, 2.4556245413185347, 2.7175547709542602]


**isite= 13
Pb2+1 : [1.02654352e+00 3.27031532e+00 1.23810961e-15]

ce_symbol  = TT_1:9
ce_fraction=  0.5669299750752674
species:coords:index
F-1 : [ 1.62440476  5.54419524 -0.05724642] : 55
F-1 : [ 3.57569768  3.59290232 -0.33307008] : 51
F-1 : [0.7957146  1.66024776 2.50397328] : 69
F-1 : [1.003604   4.31836464 2.59244502] : 46
F-1 : [-1.003604    4.31836464 -1.12485498] : 45
F-1 : [-1.53264668  3.54415584  1.33004994] : 34
F-1 : [-0.7957146   1.66024776 -1.21332672] : 66
F-1 : [ 1.53264668  3.54415584 -2.38725006] : 32
F-1 : [ 1.66024776  0.7957146  -1.21332672] : 100
!!!atention to nb coordination!!!
         [2.3518599247141325, 2.5909814708340755, 2.985880393623741, 2.7963735051765, 2.546606576632015, 2.8971496255913167, 2.7175547709542602, 2.4556245413185347, 2.827965968091631]
         [2.3518599247141325, 2.5909814708340755, 2.985880393623741, 2.7963735051764997, 2.5466065766320147, 2.897149625591316, 2.7175547709542593, 2.4556245413185347, 2.8279659680916307]

ce_symbol  = SMA:9
ce_fraction=  0.362088874117867
species:coords:index
F-1 : [ 1.62440476  5.54419524 -0.05724642] : 55
F-1 : [ 3.57569768  3.59290232 -0.33307008] : 51
F-1 : [0.7957146  1.66024776 2.50397328] : 69
F-1 : [1.003604   4.31836464 2.59244502] : 46
F-1 : [-1.003604    4.31836464 -1.12485498] : 45
F-1 : [-1.53264668  3.54415584  1.33004994] : 34
F-1 : [-0.7957146   1.66024776 -1.21332672] : 66
F-1 : [ 1.53264668  3.54415584 -2.38725006] : 32
F-1 : [ 1.66024776  0.7957146  -1.21332672] : 100
!!!atention to nb coordination!!!
         [2.3518599247141325, 2.5909814708340755, 2.985880393623741, 2.7963735051765, 2.546606576632015, 2.8971496255913167, 2.7175547709542602, 2.4556245413185347, 2.827965968091631]
         [2.3518599247141325, 2.5909814708340755, 2.985880393623741, 2.7963735051764997, 2.5466065766320147, 2.897149625591316, 2.7175547709542593, 2.4556245413185347, 2.8279659680916307]

ce_symbol  = TT_2:9
ce_fraction=  0.0709811508068655
species:coords:index
F-1 : [ 1.62440476  5.54419524 -0.05724642] : 55
F-1 : [ 3.57569768  3.59290232 -0.33307008] : 51
F-1 : [0.7957146  1.66024776 2.50397328] : 69
F-1 : [1.003604   4.31836464 2.59244502] : 46
F-1 : [-1.003604    4.31836464 -1.12485498] : 45
F-1 : [-1.53264668  3.54415584  1.33004994] : 34
F-1 : [-0.7957146   1.66024776 -1.21332672] : 66
F-1 : [ 1.53264668  3.54415584 -2.38725006] : 32
F-1 : [ 1.66024776  0.7957146  -1.21332672] : 100
!!!atention to nb coordination!!!
         [2.3518599247141325, 2.5909814708340755, 2.985880393623741, 2.7963735051765, 2.546606576632015, 2.8971496255913167, 2.7175547709542602, 2.4556245413185347, 2.827965968091631]
         [2.3518599247141325, 2.5909814708340755, 2.985880393623741, 2.7963735051764997, 2.5466065766320147, 2.897149625591316, 2.7175547709542593, 2.4556245413185347, 2.8279659680916307]


**isite= 14
Pb2+1 : [ 1.02654352 11.06688468  3.7173    ]

ce_symbol  = TT_1:9
ce_fraction=  0.5669299750752678
species:coords:index
F-1 : [-0.7957146  12.67695224  2.50397328] : 68
F-1 : [-1.53264668 10.79304416  5.04734994] : 33
F-1 : [ 1.53264668 10.79304416  1.33004994] : 35
F-1 : [1.62440476 8.79300476 3.66005358] : 56
F-1 : [-1.003604   10.01883536  2.59244502] : 47
F-1 : [ 1.66024776 13.5414854   2.50397328] : 103
F-1 : [ 1.003604   10.01883536  6.30974502] : 44
F-1 : [ 3.57569768 10.74429768  3.38422992] : 52
F-1 : [ 0.7957146  12.67695224  6.22127328] : 67
!!!atention to nb coordination!!!
         [2.7175547709542602, 2.8971496255913163, 2.4556245413185347, 2.351859924714132, 2.5466065766320147, 2.827965968091631, 2.796373505176499, 2.5909814708340755, 2.9858803936237406]
         [2.71755477095426, 2.8971496255913154, 2.4556245413185347, 2.351859924714132, 2.546606576632015, 2.827965968091631, 2.796373505176499, 2.5909814708340755, 2.9858803936237406]

ce_symbol  = SMA:9
ce_fraction=  0.36208887411786705
species:coords:index
F-1 : [-0.7957146  12.67695224  2.50397328] : 68
F-1 : [-1.53264668 10.79304416  5.04734994] : 33
F-1 : [ 1.53264668 10.79304416  1.33004994] : 35
F-1 : [1.62440476 8.79300476 3.66005358] : 56
F-1 : [-1.003604   10.01883536  2.59244502] : 47
F-1 : [ 1.66024776 13.5414854   2.50397328] : 103
F-1 : [ 1.003604   10.01883536  6.30974502] : 44
F-1 : [ 3.57569768 10.74429768  3.38422992] : 52
F-1 : [ 0.7957146  12.67695224  6.22127328] : 67
!!!atention to nb coordination!!!
         [2.7175547709542602, 2.8971496255913163, 2.4556245413185347, 2.351859924714132, 2.5466065766320147, 2.827965968091631, 2.796373505176499, 2.5909814708340755, 2.9858803936237406]
         [2.71755477095426, 2.8971496255913154, 2.4556245413185347, 2.351859924714132, 2.546606576632015, 2.827965968091631, 2.796373505176499, 2.5909814708340755, 2.9858803936237406]

ce_symbol  = TT_2:9
ce_fraction=  0.07098115080686525
species:coords:index
F-1 : [-0.7957146  12.67695224  2.50397328] : 68
F-1 : [-1.53264668 10.79304416  5.04734994] : 33
F-1 : [ 1.53264668 10.79304416  1.33004994] : 35
F-1 : [1.62440476 8.79300476 3.66005358] : 56
F-1 : [-1.003604   10.01883536  2.59244502] : 47
F-1 : [ 1.66024776 13.5414854   2.50397328] : 103
F-1 : [ 1.003604   10.01883536  6.30974502] : 44
F-1 : [ 3.57569768 10.74429768  3.38422992] : 52
F-1 : [ 0.7957146  12.67695224  6.22127328] : 67
!!!atention to nb coordination!!!
         [2.7175547709542602, 2.8971496255913163, 2.4556245413185347, 2.351859924714132, 2.5466065766320147, 2.827965968091631, 2.796373505176499, 2.5909814708340755, 2.9858803936237406]
         [2.71755477095426, 2.8971496255913154, 2.4556245413185347, 2.351859924714132, 2.546606576632015, 2.827965968091631, 2.796373505176499, 2.5909814708340755, 2.9858803936237406]


**isite= 15
Pb2+1 : [13.31065648  3.27031532  3.7173    ]

ce_symbol  = TT_1:9
ce_fraction=  0.566929975075267
species:coords:index
F-1 : [12.67695224  0.7957146   2.50397328] : 102
F-1 : [15.1329146   1.66024776  2.50397328] : 69
F-1 : [13.5414854   1.66024776  6.22127328] : 66
F-1 : [10.76150232  3.59290232  3.38422992] : 53
F-1 : [15.86984668  3.54415584  5.04734994] : 32
F-1 : [15.340804    4.31836464  2.59244502] : 46
F-1 : [12.71279524  5.54419524  3.66005358] : 57
F-1 : [12.80455332  3.54415584  1.33004994] : 34
F-1 : [13.333596    4.31836464  6.30974502] : 45
!!!atention to nb coordination!!!
         [2.827965968091631, 2.7175547709542607, 2.9858803936237406, 2.590981470834075, 2.8971496255913167, 2.546606576632014, 2.351859924714132, 2.4556245413185342, 2.796373505176499]
         [2.8279659680916307, 2.7175547709542607, 2.9858803936237406, 2.590981470834075, 2.8971496255913167, 2.5466065766320156, 2.351859924714132, 2.4556245413185342, 2.796373505176499]

ce_symbol  = SMA:9
ce_fraction=  0.36208887411786794
species:coords:index
F-1 : [12.67695224  0.7957146   2.50397328] : 102
F-1 : [15.1329146   1.66024776  2.50397328] : 69
F-1 : [13.5414854   1.66024776  6.22127328] : 66
F-1 : [10.76150232  3.59290232  3.38422992] : 53
F-1 : [15.86984668  3.54415584  5.04734994] : 32
F-1 : [15.340804    4.31836464  2.59244502] : 46
F-1 : [12.71279524  5.54419524  3.66005358] : 57
F-1 : [12.80455332  3.54415584  1.33004994] : 34
F-1 : [13.333596    4.31836464  6.30974502] : 45
!!!atention to nb coordination!!!
         [2.827965968091631, 2.7175547709542607, 2.9858803936237406, 2.590981470834075, 2.8971496255913167, 2.546606576632014, 2.351859924714132, 2.4556245413185342, 2.796373505176499]
         [2.8279659680916307, 2.7175547709542607, 2.9858803936237406, 2.590981470834075, 2.8971496255913167, 2.5466065766320156, 2.351859924714132, 2.4556245413185342, 2.796373505176499]

ce_symbol  = TT_2:9
ce_fraction=  0.07098115080686514
species:coords:index
F-1 : [12.67695224  0.7957146   2.50397328] : 102
F-1 : [15.1329146   1.66024776  2.50397328] : 69
F-1 : [13.5414854   1.66024776  6.22127328] : 66
F-1 : [10.76150232  3.59290232  3.38422992] : 53
F-1 : [15.86984668  3.54415584  5.04734994] : 32
F-1 : [15.340804    4.31836464  2.59244502] : 46
F-1 : [12.71279524  5.54419524  3.66005358] : 57
F-1 : [12.80455332  3.54415584  1.33004994] : 34
F-1 : [13.333596    4.31836464  6.30974502] : 45
!!!atention to nb coordination!!!
         [2.827965968091631, 2.7175547709542607, 2.9858803936237406, 2.590981470834075, 2.8971496255913167, 2.546606576632014, 2.351859924714132, 2.4556245413185342, 2.796373505176499]
         [2.8279659680916307, 2.7175547709542607, 2.9858803936237406, 2.590981470834075, 2.8971496255913167, 2.5466065766320156, 2.351859924714132, 2.4556245413185342, 2.796373505176499]


**isite= 16
Pb2+1 : [10.43891532  6.14205648  3.7173    ]

ce_symbol  = TT_1:9
ce_fraction=  0.5669299750752675
species:coords:index
F-1 : [8.82884776 7.9643146  2.50397328] : 62
F-1 : [12.71279524  5.54419524  3.66005358] : 57
F-1 : [11.48696464  8.172204    2.59244502] : 41
F-1 : [10.71275584  5.63595332  1.33004994] : 37
F-1 : [10.76150232  3.59290232  3.38422992] : 53
F-1 : [7.9643146  5.50835224 2.50397328] : 105
F-1 : [8.82884776 6.3728854  6.22127328] : 65
F-1 : [10.71275584  8.70124668  5.04734994] : 39
F-1 : [11.48696464  6.164996    6.30974502] : 42
!!!atention to nb coordination!!!
         [2.7175547709542585, 2.351859924714132, 2.5466065766320156, 2.4556245413185347, 2.5909814708340755, 2.827965968091632, 2.9858803936237397, 2.8971496255913163, 2.7963735051764997]
         [2.7175547709542593, 2.351859924714132, 2.546606576632015, 2.4556245413185347, 2.5909814708340755, 2.827965968091632, 2.9858803936237406, 2.8971496255913163, 2.796373505176499]

ce_symbol  = SMA:9
ce_fraction=  0.36208887411786744
species:coords:index
F-1 : [8.82884776 7.9643146  2.50397328] : 62
F-1 : [12.71279524  5.54419524  3.66005358] : 57
F-1 : [11.48696464  8.172204    2.59244502] : 41
F-1 : [10.71275584  5.63595332  1.33004994] : 37
F-1 : [10.76150232  3.59290232  3.38422992] : 53
F-1 : [7.9643146  5.50835224 2.50397328] : 105
F-1 : [8.82884776 6.3728854  6.22127328] : 65
F-1 : [10.71275584  8.70124668  5.04734994] : 39
F-1 : [11.48696464  6.164996    6.30974502] : 42
!!!atention to nb coordination!!!
         [2.7175547709542585, 2.351859924714132, 2.5466065766320156, 2.4556245413185347, 2.5909814708340755, 2.827965968091632, 2.9858803936237397, 2.8971496255913163, 2.7963735051764997]
         [2.7175547709542593, 2.351859924714132, 2.546606576632015, 2.4556245413185347, 2.5909814708340755, 2.827965968091632, 2.9858803936237406, 2.8971496255913163, 2.796373505176499]

ce_symbol  = TT_2:9
ce_fraction=  0.0709811508068651
