cif name= ./1008834.cif
./1008834.cif
Full Formula (K8 Er16 F56)
 55  F-    0.9289   0.2321   0.7656
 56  F-    0.0887   0.3699   0.6828
 57  F-    0.9113   0.6301   0.1828
 58  F-    0.4113   0.8699   0.1828
 59  F-    0.5887   0.1301   0.6828
 60  F-    0.3764   0.1245   0.5089
 61  F-    0.6236   0.8755   0.0089
 62  F-    0.1236   0.6245   0.0089
 63  F-    0.8764   0.3755   0.5089
 64  F-    0.0245   0.0886   0.4925
 65  F-    0.9755   0.9114   0.9925
 66  F-    0.4755   0.5886   0.9925
 67  F-    0.5245   0.4114   0.4925
 68  F-    0.164    0.1963   0.3342
 69  F-    0.836    0.8037   0.8342
 70  F-    0.336    0.6963   0.8342
 71  F-    0.664    0.3037   0.3342
 72  F-    0.4252   0.266    0.2589
 73  F-    0.5748   0.734    0.7589
 74  F-    0.0748   0.766    0.7589
 75  F-    0.9252   0.234    0.2589
 76  F-    0.0851   0.3843   0.3369
 77  F-    0.9149   0.6157   0.8369
 78  F-    0.4149   0.8843   0.8369
 79  F-    0.5851   0.1157   0.3369

space_group_IT_number 33

*** lse ***


**isite= 0
K+1 : [0.9921708  1.26676833 7.80951272]

ce_symbol  = TO_3:9
ce_fraction=  0.8070983235560223
species:coords:index
F-1 : [-0.840402   3.0945893  5.9839296] : 55
F-1 : [-1.599246   1.2746348  7.8363216] : 47
F-1 : [2.873442  3.1172554 7.8910336] : 40
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [-0.884136   3.119922   9.8395624] : 75
F-1 : [-0.28959   -1.1813038  7.75738  ] : 65
F-1 : [2.563758  0.0213328 6.0347336] : 34
F-1 : [ 1.93848    2.6172679 10.4281072] : 68
F-1 : [2.605128  0.0373324 9.7082536] : 36
!!!atention to nb coordination!!!
         [3.1673342567055514, 2.5915674077128212, 2.6401002590929386, 3.1829239560920035, 3.3280335688855085, 2.763817237552799, 2.6778418383799654, 3.094573838392179, 2.778193759331768]
         [3.1673342567055522, 2.5915674077128217, 2.6401002590929386, 3.1829239560920026, 3.3280335688855085, 2.7638172375527974, 2.6778418383799654, 3.0945738383921775, 2.778193759331768]

ce_symbol  = TI:9
ce_fraction=  0.1929016764439777
species:coords:index
F-1 : [-0.840402   3.0945893  5.9839296] : 55
F-1 : [-1.599246   1.2746348  7.8363216] : 47
F-1 : [2.873442  3.1172554 7.8910336] : 40
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [-0.884136   3.119922   9.8395624] : 75
F-1 : [-0.28959   -1.1813038  7.75738  ] : 65
F-1 : [2.563758  0.0213328 6.0347336] : 34
F-1 : [ 1.93848    2.6172679 10.4281072] : 68
F-1 : [2.605128  0.0373324 9.7082536] : 36
!!!atention to nb coordination!!!
         [3.1673342567055514, 2.5915674077128212, 2.6401002590929386, 3.1829239560920035, 3.3280335688855085, 2.763817237552799, 2.6778418383799654, 3.094573838392179, 2.778193759331768]
         [3.1673342567055522, 2.5915674077128217, 2.6401002590929386, 3.1829239560920026, 3.3280335688855085, 2.7638172375527974, 2.6778418383799654, 3.0945738383921775, 2.778193759331768]


**isite= 1
K+1 : [10.8278292  12.06623167  3.90151272]

ce_symbol  = TO_3:9
ce_fraction=  0.8070983235560224
species:coords:index
F-1 : [ 9.88152   10.7157321  6.5201072] : 69
F-1 : [ 9.758592  10.6384007  1.2654104] : 29
F-1 : [12.660402  10.2384107  2.0759296] : 54
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
F-1 : [ 9.214872  13.2956676  5.8002536] : 37
F-1 : [12.704136  10.213078   5.9315624] : 74
F-1 : [ 9.256242  13.3116672  2.1267336] : 35
F-1 : [13.419246  12.0583652  3.9283216] : 46
F-1 : [12.10959   14.5143038  3.84938  ] : 64
!!!atention to nb coordination!!!
         [3.0945738383921753, 3.1829239560920035, 3.1673342567055527, 2.6401002590929386, 2.7781937593317663, 3.328033568885507, 2.677841838379966, 2.5915674077128212, 2.7638172375527974]
         [3.094573838392176, 3.1829239560920035, 3.1673342567055522, 2.640100259092938, 2.7781937593317676, 3.328033568885507, 2.677841838379966, 2.5915674077128212, 2.7638172375527974]

ce_symbol  = TI:9
ce_fraction=  0.19290167644397746
species:coords:index
F-1 : [ 9.88152   10.7157321  6.5201072] : 69
F-1 : [ 9.758592  10.6384007  1.2654104] : 29
F-1 : [12.660402  10.2384107  2.0759296] : 54
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
F-1 : [ 9.214872  13.2956676  5.8002536] : 37
F-1 : [12.704136  10.213078   5.9315624] : 74
F-1 : [ 9.256242  13.3116672  2.1267336] : 35
F-1 : [13.419246  12.0583652  3.9283216] : 46
F-1 : [12.10959   14.5143038  3.84938  ] : 64
!!!atention to nb coordination!!!
         [3.0945738383921753, 3.1829239560920035, 3.1673342567055527, 2.6401002590929386, 2.7781937593317663, 3.328033568885507, 2.677841838379966, 2.5915674077128212, 2.7638172375527974]
         [3.094573838392176, 3.1829239560920035, 3.1673342567055522, 2.640100259092938, 2.7781937593317676, 3.328033568885507, 2.677841838379966, 2.5915674077128212, 2.7638172375527974]


**isite= 2
K+1 : [4.9178292  7.93326833 3.90151272]

ce_symbol  = TO_3:9
ce_fraction=  0.8070983235560225
species:coords:index
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [3.848592  9.3610993 1.2654104] : 30
F-1 : [3.97152   9.2837679 6.5201072] : 70
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [6.794136  9.786422  5.9315624] : 73
F-1 : [6.19959   5.4851962 3.84938  ] : 67
!!!atention to nb coordination!!!
         [2.677841838379966, 2.7781937593317676, 3.182923956092002, 3.0945738383921757, 3.1673342567055527, 2.6401002590929377, 2.591567407712822, 3.328033568885507, 2.7638172375527987]
         [2.677841838379966, 2.778193759331768, 3.1829239560920026, 3.094573838392176, 3.1673342567055522, 2.6401002590929377, 2.591567407712822, 3.328033568885507, 2.763817237552798]

ce_symbol  = TI:9
ce_fraction=  0.19290167644397763
species:coords:index
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [3.848592  9.3610993 1.2654104] : 30
F-1 : [3.97152   9.2837679 6.5201072] : 70
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [6.794136  9.786422  5.9315624] : 73
F-1 : [6.19959   5.4851962 3.84938  ] : 67
!!!atention to nb coordination!!!
         [2.677841838379966, 2.7781937593317676, 3.182923956092002, 3.0945738383921757, 3.1673342567055527, 2.6401002590929377, 2.591567407712822, 3.328033568885507, 2.7638172375527987]
         [2.677841838379966, 2.778193759331768, 3.1829239560920026, 3.094573838392176, 3.1673342567055522, 2.6401002590929377, 2.591567407712822, 3.328033568885507, 2.763817237552798]


**isite= 3
K+1 : [6.9021708  5.39973167 7.80951272]

ce_symbol  = TO_3:9
ce_fraction=  0.8070983235560225
species:coords:index
F-1 : [8.783442  3.5492446 7.8910336] : 43
F-1 : [7.971408  3.9719007 5.1734104] : 31
F-1 : [ 7.84848    4.0492321 10.4281072] : 71
F-1 : [5.025864  3.546578  9.8395624] : 72
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [4.310754  5.3918652 7.8363216] : 44
F-1 : [8.515128  6.6291676 9.7082536] : 39
F-1 : [8.473758  6.6451672 6.0347336] : 33
F-1 : [5.62041   7.8478038 7.75738  ] : 66
!!!atention to nb coordination!!!
         [2.640100259092939, 3.182923956092003, 3.094573838392179, 3.3280335688855085, 3.1673342567055522, 2.591567407712822, 2.7781937593317676, 2.677841838379966, 2.7638172375527983]
         [2.640100259092938, 3.182923956092002, 3.094573838392177, 3.3280335688855085, 3.1673342567055522, 2.591567407712822, 2.778193759331768, 2.677841838379966, 2.7638172375527983]

ce_symbol  = TI:9
ce_fraction=  0.19290167644397754
species:coords:index
F-1 : [8.783442  3.5492446 7.8910336] : 43
F-1 : [7.971408  3.9719007 5.1734104] : 31
F-1 : [ 7.84848    4.0492321 10.4281072] : 71
F-1 : [5.025864  3.546578  9.8395624] : 72
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [4.310754  5.3918652 7.8363216] : 44
F-1 : [8.515128  6.6291676 9.7082536] : 39
F-1 : [8.473758  6.6451672 6.0347336] : 33
F-1 : [5.62041   7.8478038 7.75738  ] : 66
!!!atention to nb coordination!!!
         [2.640100259092939, 3.182923956092003, 3.094573838392179, 3.3280335688855085, 3.1673342567055522, 2.591567407712822, 2.7781937593317676, 2.677841838379966, 2.7638172375527983]
         [2.640100259092938, 3.182923956092002, 3.094573838392177, 3.3280335688855085, 3.1673342567055522, 2.591567407712822, 2.778193759331768, 2.677841838379966, 2.7638172375527983]


**isite= 4
K+1 : [5.1331896 0.9159771 7.657726 ]

ce_symbol  = A:2
ce_fraction=  0.9538262395425402
species:coords:index
F-1 : [7.820112  1.0613068 7.8754016] : 27
F-1 : [ 4.904118  -1.5426281  6.5412104] : 78
!!!atention to nb coordination!!!
         [2.699639859714479, 2.709948415087818]
         [2.699639859714479, 2.7099484150878173]

ce_symbol  = SS:9
ce_fraction=  0.043454812841969566
species:coords:index
F-1 : [7.820112  1.0613068 7.8754016] : 27
F-1 : [ 4.861566  -1.7346233  9.2447648] : 58
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [ 4.904118  -1.5426281  6.5412104] : 78
F-1 : [2.605128  0.0373324 9.7082536] : 36
F-1 : [2.563758  0.0213328 6.0347336] : 34
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [5.025864  3.546578  9.8395624] : 72
F-1 : [2.873442  3.1172554 7.8910336] : 40
!!!atention to nb coordination!!!
         [2.699639859714479, 3.1013148845711496, 3.0640756538328575, 2.709948415087818, 3.371613174816234, 3.168039062426284, 3.1400034343695356, 3.4193551959194175, 3.1633080479103532]
         [2.699639859714479, 3.1013148845711505, 3.0640756538328575, 2.7099484150878173, 3.371613174816234, 3.168039062426284, 3.1400034343695356, 3.419355195919418, 3.1633080479103532]

ce_symbol  = TO_2:9
ce_fraction=  0.0021836131461166917
species:coords:index
F-1 : [7.820112  1.0613068 7.8754016] : 27
F-1 : [ 4.861566  -1.7346233  9.2447648] : 58
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [ 4.904118  -1.5426281  6.5412104] : 78
F-1 : [2.605128  0.0373324 9.7082536] : 36
F-1 : [2.563758  0.0213328 6.0347336] : 34
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [5.025864  3.546578  9.8395624] : 72
F-1 : [2.873442  3.1172554 7.8910336] : 40
!!!atention to nb coordination!!!
         [2.699639859714479, 3.1013148845711496, 3.0640756538328575, 2.709948415087818, 3.371613174816234, 3.168039062426284, 3.1400034343695356, 3.4193551959194175, 3.1633080479103532]
         [2.699639859714479, 3.1013148845711505, 3.0640756538328575, 2.7099484150878173, 3.371613174816234, 3.168039062426284, 3.1400034343695356, 3.419355195919418, 3.1633080479103532]

ce_symbol  = BS_2:10
ce_fraction=  0.0005090416351890181
species:coords:index
F-1 : [7.820112  1.0613068 7.8754016] : 27
F-1 : [ 4.861566  -1.7346233  9.2447648] : 58
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [ 4.904118  -1.5426281  6.5412104] : 78
F-1 : [2.605128  0.0373324 9.7082536] : 36
F-1 : [ 6.915882   1.5426281 10.4492104] : 79
F-1 : [2.563758  0.0213328 6.0347336] : 34
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [5.025864  3.546578  9.8395624] : 72
F-1 : [2.873442  3.1172554 7.8910336] : 40
!!!atention to nb coordination!!!
         [2.699639859714479, 3.1013148845711496, 3.0640756538328575, 2.709948415087818, 3.371613174816234, 3.370915131572154, 3.168039062426284, 3.1400034343695356, 3.4193551959194175, 3.1633080479103532]
         [2.699639859714479, 3.1013148845711505, 3.0640756538328575, 2.7099484150878173, 3.371613174816234, 3.370915131572156, 3.168039062426284, 3.1400034343695356, 3.419355195919418, 3.1633080479103532]

ce_symbol  = MI:10
ce_fraction=  1.7446047131471545e-05
species:coords:index
F-1 : [7.820112  1.0613068 7.8754016] : 27
F-1 : [ 4.861566  -1.7346233  9.2447648] : 58
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [ 4.904118  -1.5426281  6.5412104] : 78
F-1 : [2.605128  0.0373324 9.7082536] : 36
F-1 : [ 6.915882   1.5426281 10.4492104] : 79
F-1 : [2.563758  0.0213328 6.0347336] : 34
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [5.025864  3.546578  9.8395624] : 72
F-1 : [2.873442  3.1172554 7.8910336] : 40
!!!atention to nb coordination!!!
         [2.699639859714479, 3.1013148845711496, 3.0640756538328575, 2.709948415087818, 3.371613174816234, 3.370915131572154, 3.168039062426284, 3.1400034343695356, 3.4193551959194175, 3.1633080479103532]
         [2.699639859714479, 3.1013148845711505, 3.0640756538328575, 2.7099484150878173, 3.371613174816234, 3.370915131572156, 3.168039062426284, 3.1400034343695356, 3.419355195919418, 3.1633080479103532]

ce_symbol  = BS_1:10
ce_fraction=  8.846787053121108e-06
species:coords:index
F-1 : [7.820112  1.0613068 7.8754016] : 27
F-1 : [ 4.861566  -1.7346233  9.2447648] : 58
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [ 4.904118  -1.5426281  6.5412104] : 78
F-1 : [2.605128  0.0373324 9.7082536] : 36
F-1 : [ 6.915882   1.5426281 10.4492104] : 79
F-1 : [2.563758  0.0213328 6.0347336] : 34
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [5.025864  3.546578  9.8395624] : 72
F-1 : [2.873442  3.1172554 7.8910336] : 40
!!!atention to nb coordination!!!
         [2.699639859714479, 3.1013148845711496, 3.0640756538328575, 2.709948415087818, 3.371613174816234, 3.370915131572154, 3.168039062426284, 3.1400034343695356, 3.4193551959194175, 3.1633080479103532]
         [2.699639859714479, 3.1013148845711505, 3.0640756538328575, 2.7099484150878173, 3.371613174816234, 3.370915131572156, 3.168039062426284, 3.1400034343695356, 3.419355195919418, 3.1633080479103532]


**isite= 5
K+1 : [ 6.6868104 12.4170229  3.749726 ]

ce_symbol  = A:2
ce_fraction=  0.9591245832027141
species:coords:index
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [ 6.915882  14.8756281  2.6332104] : 79
!!!atention to nb coordination!!!
         [2.6996398597144795, 2.709948415087814]
         [2.6996398597144795, 2.7099484150878155]

ce_symbol  = SS:9
ce_fraction=  0.03811809385363746
species:coords:index
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [ 9.214872  13.2956676  5.8002536] : 37
F-1 : [6.794136  9.786422  5.9315624] : 73
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
F-1 : [ 6.958434  15.0676233  5.3367648] : 59
F-1 : [ 6.915882  14.8756281  2.6332104] : 79
F-1 : [ 9.256242  13.3116672  2.1267336] : 35
!!!atention to nb coordination!!!
         [3.140003434369537, 3.064075653832856, 2.6996398597144795, 3.3716131748162335, 3.4193551959194197, 3.163308047910353, 3.1013148845711487, 2.709948415087814, 3.1680390624262817]
         [3.140003434369537, 3.064075653832856, 2.6996398597144795, 3.371613174816234, 3.41935519591942, 3.163308047910353, 3.1013148845711487, 2.7099484150878155, 3.1680390624262817]

ce_symbol  = TO_2:9
ce_fraction=  0.0019154419361190158
species:coords:index
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [ 9.214872  13.2956676  5.8002536] : 37
F-1 : [6.794136  9.786422  5.9315624] : 73
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
F-1 : [ 6.958434  15.0676233  5.3367648] : 59
F-1 : [ 6.915882  14.8756281  2.6332104] : 79
F-1 : [ 9.256242  13.3116672  2.1267336] : 35
!!!atention to nb coordination!!!
         [3.140003434369537, 3.064075653832856, 2.6996398597144795, 3.3716131748162335, 3.4193551959194197, 3.163308047910353, 3.1013148845711487, 2.709948415087814, 3.1680390624262817]
         [3.140003434369537, 3.064075653832856, 2.6996398597144795, 3.371613174816234, 3.41935519591942, 3.163308047910353, 3.1013148845711487, 2.7099484150878155, 3.1680390624262817]

ce_symbol  = BS_2:10
ce_fraction=  0.0008274996433632329
species:coords:index
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 4.904118  11.7903719  6.5412104] : 78
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [ 9.214872  13.2956676  5.8002536] : 37
F-1 : [6.794136  9.786422  5.9315624] : 73
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
F-1 : [ 6.958434  15.0676233  5.3367648] : 59
F-1 : [ 6.915882  14.8756281  2.6332104] : 79
F-1 : [ 9.256242  13.3116672  2.1267336] : 35
!!!atention to nb coordination!!!
         [3.140003434369537, 3.370915131572156, 3.064075653832856, 2.6996398597144795, 3.3716131748162335, 3.4193551959194197, 3.163308047910353, 3.1013148845711487, 2.709948415087814, 3.1680390624262817]
         [3.140003434369537, 3.3709151315721555, 3.064075653832856, 2.6996398597144795, 3.371613174816234, 3.41935519591942, 3.163308047910353, 3.1013148845711487, 2.7099484150878155, 3.1680390624262817]

ce_symbol  = BS_1:10
ce_fraction=  1.4381364166115071e-05
species:coords:index
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 4.904118  11.7903719  6.5412104] : 78
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [ 9.214872  13.2956676  5.8002536] : 37
F-1 : [6.794136  9.786422  5.9315624] : 73
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
F-1 : [ 6.958434  15.0676233  5.3367648] : 59
F-1 : [ 6.915882  14.8756281  2.6332104] : 79
F-1 : [ 9.256242  13.3116672  2.1267336] : 35
!!!atention to nb coordination!!!
         [3.140003434369537, 3.370915131572156, 3.064075653832856, 2.6996398597144795, 3.3716131748162335, 3.4193551959194197, 3.163308047910353, 3.1013148845711487, 2.709948415087814, 3.1680390624262817]
         [3.140003434369537, 3.3709151315721555, 3.064075653832856, 2.6996398597144795, 3.371613174816234, 3.41935519591942, 3.163308047910353, 3.1013148845711487, 2.7099484150878155, 3.1680390624262817]


**isite= 6
K+1 : [0.7768104 7.5824771 3.749726 ]

ce_symbol  = A:2
ce_fraction=  0.953826239542541
species:coords:index
F-1 : [-1.910112   7.7278068  3.9674016] : 25
F-1 : [1.005882  5.1238719 2.6332104] : 76
!!!atention to nb coordination!!!
         [2.6996398597144795, 2.709948415087816]
         [2.6996398597144795, 2.7099484150878155]

ce_symbol  = SS:9
ce_fraction=  0.04345481284196892
species:coords:index
F-1 : [-1.048434   8.4011233  1.4287648] : 57
F-1 : [ 0.840402  10.2384107  2.0759296] : 54
F-1 : [-1.910112   7.7278068  3.9674016] : 25
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [ 0.884136  10.213078   5.9315624] : 74
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [1.048434  4.9318767 5.3367648] : 56
!!!atention to nb coordination!!!
         [3.0640756538328566, 3.140003434369537, 2.6996398597144795, 3.1633080479103532, 3.168039062426283, 2.709948415087816, 3.4193551959194197, 3.371613174816234, 3.10131488457115]
         [3.064075653832856, 3.140003434369537, 2.6996398597144795, 3.1633080479103537, 3.168039062426283, 2.7099484150878155, 3.41935519591942, 3.3716131748162343, 3.10131488457115]

ce_symbol  = TO_2:9
ce_fraction=  0.002183613146116611
species:coords:index
F-1 : [-1.048434   8.4011233  1.4287648] : 57
F-1 : [ 0.840402  10.2384107  2.0759296] : 54
F-1 : [-1.910112   7.7278068  3.9674016] : 25
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [ 0.884136  10.213078   5.9315624] : 74
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [1.048434  4.9318767 5.3367648] : 56
!!!atention to nb coordination!!!
         [3.0640756538328566, 3.140003434369537, 2.6996398597144795, 3.1633080479103532, 3.168039062426283, 2.709948415087816, 3.4193551959194197, 3.371613174816234, 3.10131488457115]
         [3.064075653832856, 3.140003434369537, 2.6996398597144795, 3.1633080479103537, 3.168039062426283, 2.7099484150878155, 3.41935519591942, 3.3716131748162343, 3.10131488457115]

ce_symbol  = BS_2:10
ce_fraction=  0.00050904163518901
species:coords:index
F-1 : [-1.048434   8.4011233  1.4287648] : 57
F-1 : [ 0.840402  10.2384107  2.0759296] : 54
F-1 : [-1.910112   7.7278068  3.9674016] : 25
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [ 0.884136  10.213078   5.9315624] : 74
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [-1.005882   8.2091281  6.5412104] : 77
F-1 : [1.048434  4.9318767 5.3367648] : 56
!!!atention to nb coordination!!!
         [3.0640756538328566, 3.140003434369537, 2.6996398597144795, 3.1633080479103532, 3.168039062426283, 2.709948415087816, 3.4193551959194197, 3.371613174816234, 3.3709151315721555, 3.10131488457115]
         [3.064075653832856, 3.140003434369537, 2.6996398597144795, 3.1633080479103537, 3.168039062426283, 2.7099484150878155, 3.41935519591942, 3.3716131748162343, 3.3709151315721555, 3.10131488457115]

ce_symbol  = MI:10
ce_fraction=  1.744604713147144e-05
species:coords:index
F-1 : [-1.048434   8.4011233  1.4287648] : 57
F-1 : [ 0.840402  10.2384107  2.0759296] : 54
F-1 : [-1.910112   7.7278068  3.9674016] : 25
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [ 0.884136  10.213078   5.9315624] : 74
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [-1.005882   8.2091281  6.5412104] : 77
F-1 : [1.048434  4.9318767 5.3367648] : 56
!!!atention to nb coordination!!!
         [3.0640756538328566, 3.140003434369537, 2.6996398597144795, 3.1633080479103532, 3.168039062426283, 2.709948415087816, 3.4193551959194197, 3.371613174816234, 3.3709151315721555, 3.10131488457115]
         [3.064075653832856, 3.140003434369537, 2.6996398597144795, 3.1633080479103537, 3.168039062426283, 2.7099484150878155, 3.41935519591942, 3.3716131748162343, 3.3709151315721555, 3.10131488457115]

ce_symbol  = BS_1:10
ce_fraction=  8.846787053121157e-06
species:coords:index
F-1 : [-1.048434   8.4011233  1.4287648] : 57
F-1 : [ 0.840402  10.2384107  2.0759296] : 54
F-1 : [-1.910112   7.7278068  3.9674016] : 25
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [ 0.884136  10.213078   5.9315624] : 74
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [-1.005882   8.2091281  6.5412104] : 77
F-1 : [1.048434  4.9318767 5.3367648] : 56
!!!atention to nb coordination!!!
         [3.0640756538328566, 3.140003434369537, 2.6996398597144795, 3.1633080479103532, 3.168039062426283, 2.709948415087816, 3.4193551959194197, 3.371613174816234, 3.3709151315721555, 3.10131488457115]
         [3.064075653832856, 3.140003434369537, 2.6996398597144795, 3.1633080479103537, 3.168039062426283, 2.7099484150878155, 3.41935519591942, 3.3716131748162343, 3.3709151315721555, 3.10131488457115]


**isite= 7
K+1 : [11.0431896  5.7505229  7.657726 ]

ce_symbol  = A:2
ce_fraction=  0.959124583202713
species:coords:index
F-1 : [13.730112   5.6051932  7.8754016] : 24
F-1 : [10.814118   8.2091281  6.5412104] : 77

ce_symbol  = SS:9
ce_fraction=  0.038118093853638534
species:coords:index
F-1 : [13.730112   5.6051932  7.8754016] : 24
F-1 : [10.814118   8.2091281  6.5412104] : 77
F-1 : [10.771566   8.4011233  9.2447648] : 57
F-1 : [12.868434   4.9318767  5.3367648] : 56
F-1 : [8.515128  6.6291676 9.7082536] : 39
F-1 : [10.935864   3.119922   9.8395624] : 75
F-1 : [8.473758  6.6451672 6.0347336] : 33
F-1 : [10.979598   3.0945893  5.9839296] : 55
F-1 : [8.783442  3.5492446 7.8910336] : 43
!!!atention to nb coordination!!!
