cif name= ./4331414.cif
./4331414.cif
Full Formula (Au4 Xe8 F68)
 62  F     0.1448   0.3974  0.3422
 63  F     0.3552   0.6026  0.8422
 64  F     0.3552   0.8974  0.8422
 65  F     0.1448   0.1026  0.3422
 66  F     0.8552   0.6026  0.6578
 67  F     0.6448   0.3974  0.1578
 68  F     0.734    0.25    0.2726
 69  F     0.766    0.75    0.7726
 70  F     0.234    0.25    0.2274
 71  F     0.266    0.75    0.7274
 72  F     0.7238   0.25    0.0254
 73  F     0.7762   0.75    0.5254
 74  F     0.2238   0.25    0.4746
 75  F     0.2762   0.75    0.9746
 76  F     0.83     0.25    0.4593
 77  F     0.67     0.75    0.9593
 78  F     0.33     0.25    0.0407
 79  F     0.17     0.75    0.5407

space_group_IT_number 62

*** lse ***


**isite= 0
Au1 : [6.0007691  2.1355     8.21950842]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F1 : [7.56545   2.1355    7.2229518] : 76
F1 : [6.0040505 0.281886  8.2341336] : 40
F1 : [4.931215  2.1355    6.6505254] : 36
F1 : [7.01855   2.1355    9.7689912] : 48
F1 : [6.0040505 3.989114  8.2341336] : 47
F1 : [4.4271555 2.1355    9.2107182] : 20
!!!atention to nb coordination!!!
         [1.855087980579529, 1.85367460048197, 1.8988558897070402, 1.8538540519472797, 1.8536746004819706, 1.8597732630814452]
         [1.8550879805795288, 1.85367460048197, 1.898855889707041, 1.8538540519472777, 1.8536746004819702, 1.859773263081444]


**isite= 1
Au1 : [7.6717309  6.4065     0.35650842]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F1 : [ 8.741285   6.4065    -1.2124746] : 37
F1 : [7.6684495 4.552886  0.3711336] : 46
F1 : [ 6.10705    6.4065    -0.6400482] : 77
F1 : [9.2453445 6.4065    1.3477182] : 21
F1 : [7.6684495 8.260114  0.3711336] : 41
F1 : [6.65395   6.4065    1.9059912] : 49
!!!atention to nb coordination!!!
         [1.8988558897070387, 1.8536746004819697, 1.8550879805795277, 1.8597732630814434, 1.8536746004819706, 1.8538540519472777]
         [1.89885588970704, 1.8536746004819697, 1.8550879805795288, 1.8597732630814434, 1.8536746004819709, 1.8538540519472777]


**isite= 2
Au1 : [ 1.4432691   2.1355     15.36949158]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F1 : [ 1.4465505  0.281886  15.3548664] : 45
F1 : [ 1.4465505  3.989114  15.3548664] : 42
F1 : [ 2.46105    2.1355    13.8200088] : 50
F1 : [ 3.00795    2.1355    16.3660482] : 78
F1 : [ 0.373715   2.1355    16.9384746] : 38
F1 : [-0.1303445  2.1355    14.3782818] : 22
!!!atention to nb coordination!!!
         [1.85367460048197, 1.8536746004819706, 1.8538540519472766, 1.855087980579528, 1.8988558897070391, 1.8597732630814459]
         [1.85367460048197, 1.8536746004819702, 1.8538540519472777, 1.8550879805795297, 1.8988558897070391, 1.859773263081446]


**isite= 3
Au1 : [3.1142309  6.4065     7.50649158]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
F1 : [2.09645   6.4065    5.9570088] : 51
F1 : [3.1109495 8.260114  7.4918664] : 44
F1 : [1.54955   6.4065    8.5030482] : 79
F1 : [3.1109495 4.552886  7.4918664] : 43
F1 : [4.183785  6.4065    9.0754746] : 39
F1 : [4.6878445 6.4065    6.5152818] : 23
!!!atention to nb coordination!!!
         [1.8538540519472768, 1.8536746004819706, 1.8550879805795295, 1.8536746004819697, 1.8988558897070429, 1.8597732630814439]
         [1.8538540519472777, 1.8536746004819709, 1.8550879805795288, 1.8536746004819697, 1.898855889707041, 1.859773263081444]


**isite= 4
Xe1 : [ 6.3923495  2.1355    13.8774087]

ce_symbol  = S:5
ce_fraction=  0.9192745097844751
species:coords:index
F1 : [ 7.213611   3.450968  12.8449968] : 59
F1 : [ 5.259355   2.1355    12.4754358] : 24
F1 : [ 7.213611   0.820032  12.8449968] : 52
F1 : [ 5.2019305  0.8653046 14.405016 ] : 28
F1 : [ 5.2019305  3.4056954 14.405016 ] : 35
!!!atention to nb coordination!!!
         [1.8630085457849797, 1.8025550059192814, 1.8630085457849797, 1.8190280956476321, 1.8190280956476321]
         [1.86300854578498, 1.8025550059192834, 1.86300854578498, 1.8190280956476323, 1.8190280956476323]

ce_symbol  = O:6
ce_fraction=  0.0807254902155248
species:coords:index
F1 : [ 7.213611   3.450968  12.8449968] : 59
F1 : [ 5.259355   2.1355    12.4754358] : 24
F1 : [ 7.213611   0.820032  12.8449968] : 52
F1 : [ 5.2019305  0.8653046 14.405016 ] : 28
F1 : [ 6.597437   2.1355    16.1254404] : 72
F1 : [ 5.2019305  3.4056954 14.405016 ] : 35
!!!atention to nb coordination!!!
         [1.8630085457849797, 1.8025550059192814, 1.8630085457849797, 1.8190280956476321, 2.257367361964183, 1.8190280956476321]
         [1.86300854578498, 1.8025550059192834, 1.86300854578498, 1.8190280956476323, 2.257367361964183, 1.8190280956476323]


**isite= 5
Xe1 : [7.2801505 6.4065    6.0144087]

ce_symbol  = S:5
ce_fraction=  0.9192745097844758
species:coords:index
F1 : [8.413145  6.4065    4.6124358] : 25
F1 : [8.4705695 7.6766954 6.542016 ] : 29
F1 : [6.458889  7.721968  4.9819968] : 53
F1 : [6.458889  5.091032  4.9819968] : 58
F1 : [8.4705695 5.1363046 6.542016 ] : 34
!!!atention to nb coordination!!!
         [1.802555005919282, 1.819028095647633, 1.8630085457849814, 1.86300854578498, 1.819028095647632]
         [1.802555005919282, 1.8190280956476323, 1.8630085457849819, 1.8630085457849812, 1.8190280956476317]

ce_symbol  = O:6
ce_fraction=  0.0807254902155242
species:coords:index
F1 : [8.413145  6.4065    4.6124358] : 25
F1 : [8.4705695 7.6766954 6.542016 ] : 29
F1 : [6.458889  7.721968  4.9819968] : 53
F1 : [7.075063  6.4065    8.2624404] : 73
F1 : [6.458889  5.091032  4.9819968] : 58
F1 : [8.4705695 5.1363046 6.542016 ] : 34
!!!atention to nb coordination!!!
         [1.802555005919282, 1.819028095647633, 1.8630085457849814, 2.2573673619641834, 1.86300854578498, 1.819028095647632]
         [1.802555005919282, 1.8190280956476323, 1.8630085457849819, 2.257367361964182, 1.8630085457849812, 1.8190280956476317]


**isite= 6
Xe1 : [1.8348495 2.1355    9.7115913]

ce_symbol  = S:5
ce_fraction=  0.9192745097844758
species:coords:index
F1 : [ 2.656111   3.450968  10.7440032] : 54
F1 : [0.6444305 3.4056954 9.183984 ] : 30
F1 : [ 0.701855   2.1355    11.1135642] : 26
F1 : [ 2.656111   0.820032  10.7440032] : 57
F1 : [0.6444305 0.8653046 9.183984 ] : 33
!!!atention to nb coordination!!!
         [1.8630085457849803, 1.8190280956476317, 1.8025550059192847, 1.8630085457849803, 1.8190280956476317]
         [1.8630085457849794, 1.8190280956476323, 1.8025550059192834, 1.8630085457849794, 1.8190280956476323]

ce_symbol  = O:6
ce_fraction=  0.08072549021552435
species:coords:index
F1 : [ 2.656111   3.450968  10.7440032] : 54
F1 : [0.6444305 3.4056954 9.183984 ] : 30
F1 : [ 0.701855   2.1355    11.1135642] : 26
F1 : [ 2.656111   0.820032  10.7440032] : 57
F1 : [2.039937  2.1355    7.4635596] : 74
F1 : [0.6444305 0.8653046 9.183984 ] : 33
!!!atention to nb coordination!!!
         [1.8630085457849803, 1.8190280956476317, 1.8025550059192847, 1.8630085457849803, 2.2573673619641808, 1.8190280956476317]
         [1.8630085457849794, 1.8190280956476323, 1.8025550059192834, 1.8630085457849794, 2.2573673619641816, 1.8190280956476323]


**isite= 7
Xe1 : [2.7226505 6.4065    1.8485913]

ce_symbol  = S:5
ce_fraction=  0.9192745097844752
species:coords:index
F1 : [1.901389  5.091032  2.8810032] : 55
F1 : [3.9130695 5.1363046 1.320984 ] : 31
F1 : [3.9130695 7.6766954 1.320984 ] : 32
F1 : [3.855645  6.4065    3.2505642] : 27
F1 : [1.901389  7.721968  2.8810032] : 56
!!!atention to nb coordination!!!
         [1.86300854578498, 1.8190280956476326, 1.819028095647634, 1.8025550059192845, 1.8630085457849814]
         [1.86300854578498, 1.8190280956476326, 1.819028095647633, 1.802555005919284, 1.8630085457849808]

ce_symbol  = O:6
ce_fraction=  0.08072549021552472
species:coords:index
F1 : [1.901389  5.091032  2.8810032] : 55
F1 : [ 2.517563   6.4065    -0.3994404] : 75
F1 : [3.9130695 5.1363046 1.320984 ] : 31
F1 : [3.9130695 7.6766954 1.320984 ] : 32
F1 : [3.855645  6.4065    3.2505642] : 27
F1 : [1.901389  7.721968  2.8810032] : 56
!!!atention to nb coordination!!!
         [1.86300854578498, 2.257367361964179, 1.8190280956476326, 1.819028095647634, 1.8025550059192845, 1.8630085457849814]
         [1.86300854578498, 2.2573673619641808, 1.8190280956476326, 1.819028095647633, 1.802555005919284, 1.8630085457849808]


**isite= 8
Xe1 : [7.2074128  2.1355     2.52701094]

ce_symbol  = S:5
ce_fraction=  0.8911916781391113
species:coords:index
F1 : [5.877352  3.3945908 2.4815628] : 67
F1 : [6.69041   2.1355    4.2869076] : 68
F1 : [8.307411  0.8106358 3.2175396] : 12
F1 : [8.307411  3.4603642 3.2175396] : 19
F1 : [5.877352  0.8764092 2.4815628] : 60
!!!atention to nb coordination!!!
         [1.8320581070945159, 1.8342650160451186, 1.8552873143333568, 1.8552873143333568, 1.8320581070945159]
         [1.8320581070945166, 1.834265016045119, 1.8552873143333557, 1.8552873143333555, 1.8320581070945166]

ce_symbol  = O:6
ce_fraction=  0.10880832186088876
species:coords:index
F1 : [5.877352  3.3945908 2.4815628] : 67
F1 : [6.69041   2.1355    4.2869076] : 68
F1 : [8.307411  0.8106358 3.2175396] : 12
F1 : [8.307411  3.4603642 3.2175396] : 19
F1 : [5.877352  0.8764092 2.4815628] : 60
F1 : [6.597437  2.1355    0.3994404] : 72
!!!atention to nb coordination!!!
         [1.8320581070945159, 1.8342650160451186, 1.8552873143333568, 1.8552873143333568, 1.8320581070945159, 2.213284184026429]
         [1.8320581070945166, 1.834265016045119, 1.8552873143333557, 1.8552873143333555, 1.8320581070945166, 2.213284184026429]


**isite= 9
Xe1 : [ 6.4650872   6.4065     10.39001094]

ce_symbol  = S:5
ce_fraction=  0.891191678139111
species:coords:index
F1 : [ 6.98209    6.4065    12.1499076] : 69
F1 : [ 7.795148   7.6655908 10.3445628] : 61
F1 : [ 7.795148   5.1474092 10.3445628] : 66
F1 : [ 5.365089   5.0816358 11.0805396] : 18
F1 : [ 5.365089   7.7313642 11.0805396] : 13
!!!atention to nb coordination!!!
         [1.8342650160451226, 1.8320581070945174, 1.832058107094517, 1.8552873143333555, 1.855287314333356]
         [1.8342650160451206, 1.832058107094517, 1.8320581070945163, 1.855287314333356, 1.8552873143333566]

ce_symbol  = O:6
ce_fraction=  0.10880832186088908
species:coords:index
F1 : [ 6.98209    6.4065    12.1499076] : 69
F1 : [ 7.795148   7.6655908 10.3445628] : 61
F1 : [ 7.795148   5.1474092 10.3445628] : 66
F1 : [ 5.365089   5.0816358 11.0805396] : 18
F1 : [ 5.365089   7.7313642 11.0805396] : 13
F1 : [7.075063  6.4065    8.2624404] : 73
!!!atention to nb coordination!!!
         [1.8342650160451226, 1.8320581070945174, 1.832058107094517, 1.8552873143333555, 1.855287314333356, 2.2132841840264263]
         [1.8342650160451206, 1.832058107094517, 1.8320581070945163, 1.855287314333356, 1.8552873143333566, 2.2132841840264272]


**isite= 10
Xe1 : [2.6499128  2.1355     5.33598906]

ce_symbol  = S:5
ce_fraction=  0.8911916781391116
species:coords:index
F1 : [1.319852  0.8764092 5.3814372] : 65
F1 : [3.749911  3.4603642 4.6454604] : 14
F1 : [2.13291   2.1355    3.5760924] : 70
F1 : [1.319852  3.3945908 5.3814372] : 62
F1 : [3.749911  0.8106358 4.6454604] : 17
!!!atention to nb coordination!!!
         [1.8320581070945152, 1.8552873143333564, 1.8342650160451184, 1.8320581070945152, 1.8552873143333564]
         [1.8320581070945154, 1.8552873143333564, 1.834265016045119, 1.8320581070945154, 1.8552873143333566]

ce_symbol  = O:6
ce_fraction=  0.10880832186088843
species:coords:index
F1 : [1.319852  0.8764092 5.3814372] : 65
F1 : [2.039937  2.1355    7.4635596] : 74
F1 : [3.749911  3.4603642 4.6454604] : 14
F1 : [2.13291   2.1355    3.5760924] : 70
F1 : [1.319852  3.3945908 5.3814372] : 62
F1 : [3.749911  0.8106358 4.6454604] : 17
!!!atention to nb coordination!!!
         [1.8320581070945152, 2.2132841840264295, 1.8552873143333564, 1.8342650160451184, 1.8320581070945152, 1.8552873143333564]
         [1.8320581070945154, 2.213284184026429, 1.8552873143333564, 1.834265016045119, 1.8320581070945154, 1.8552873143333566]


**isite= 11
Xe1 : [ 1.9075872   6.4065     13.19898906]

ce_symbol  = S:5
ce_fraction=  0.8911916781391113
species:coords:index
F1 : [ 2.42459    6.4065    11.4390924] : 71
F1 : [ 3.237648   5.1474092 13.2444372] : 63
F1 : [ 0.807589   5.0816358 12.5084604] : 15
F1 : [ 3.237648   7.6655908 13.2444372] : 64
F1 : [ 0.807589   7.7313642 12.5084604] : 16
!!!atention to nb coordination!!!
         [1.834265016045117, 1.8320581070945166, 1.8552873143333548, 1.8320581070945172, 1.8552873143333553]
         [1.8342650160451188, 1.832058107094516, 1.8552873143333555, 1.8320581070945168, 1.855287314333356]

ce_symbol  = O:6
ce_fraction=  0.10880832186088861
species:coords:index
F1 : [ 2.42459    6.4065    11.4390924] : 71
F1 : [ 3.237648   5.1474092 13.2444372] : 63
F1 : [ 0.807589   5.0816358 12.5084604] : 15
F1 : [ 3.237648   7.6655908 13.2444372] : 64
F1 : [ 2.517563   6.4065    15.3265596] : 75
F1 : [ 0.807589   7.7313642 12.5084604] : 16
!!!atention to nb coordination!!!
         [1.834265016045117, 1.8320581070945166, 1.8552873143333548, 1.8320581070945172, 2.2132841840264312, 1.8552873143333553]
         [1.8342650160451188, 1.832058107094516, 1.8552873143333555, 1.8320581070945168, 2.213284184026429, 1.855287314333356]


**isite= 12
F1 : [8.307411  0.8106358 3.2175396]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [7.2074128  2.1355     2.52701094] : 8
!!!atention to nb coordination!!!
         [1.855287314333355]
         [1.8552873143333557]


**isite= 13
F1 : [ 5.365089   7.7313642 11.0805396]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 6.4650872   6.4065     10.39001094] : 9
!!!atention to nb coordination!!!
         [1.855287314333357]
         [1.8552873143333566]


**isite= 14
F1 : [3.749911  3.4603642 4.6454604]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [2.6499128  2.1355     5.33598906] : 10
!!!atention to nb coordination!!!
         [1.8552873143333568]
         [1.8552873143333564]


**isite= 15
F1 : [ 0.807589   5.0816358 12.5084604]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 1.9075872   6.4065     13.19898906] : 11
!!!atention to nb coordination!!!
         [1.8552873143333564]
         [1.8552873143333555]


**isite= 16
F1 : [ 0.807589   7.7313642 12.5084604]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 1.9075872   6.4065     13.19898906] : 11
!!!atention to nb coordination!!!
         [1.8552873143333568]
         [1.855287314333356]


**isite= 17
F1 : [3.749911  0.8106358 4.6454604]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [2.6499128  2.1355     5.33598906] : 10
!!!atention to nb coordination!!!
         [1.8552873143333568]
         [1.8552873143333566]


**isite= 18
F1 : [ 5.365089   5.0816358 11.0805396]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 6.4650872   6.4065     10.39001094] : 9
!!!atention to nb coordination!!!
         [1.8552873143333566]
         [1.855287314333356]


**isite= 19
F1 : [8.307411  3.4603642 3.2175396]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [7.2074128  2.1355     2.52701094] : 8
!!!atention to nb coordination!!!
         [1.855287314333355]
         [1.8552873143333555]


**isite= 20
F1 : [4.4271555 2.1355    9.2107182]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [6.0007691  2.1355     8.21950842] : 0


**isite= 21
F1 : [0.1303445 6.4065    1.3477182]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [-1.4432691   6.4065      0.35650842] : 1
!!!atention to nb coordination!!!
         [1.8597732630814428]
         [1.8597732630814436]


**isite= 22
F1 : [ 8.9846555  2.1355    14.3782818]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [10.5582691   2.1355     15.36949158] : 2
!!!atention to nb coordination!!!
         [1.8597732630814474]
         [1.8597732630814465]


**isite= 23
F1 : [4.6878445 6.4065    6.5152818]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [3.1142309  6.4065     7.50649158] : 3
!!!atention to nb coordination!!!
         [1.8597732630814443]
         [1.859773263081444]


**isite= 24
F1 : [ 5.259355   2.1355    12.4754358]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 6.3923495  2.1355    13.8774087] : 4
!!!atention to nb coordination!!!
         [1.8025550059192852]
         [1.8025550059192834]


**isite= 25
F1 : [8.413145  6.4065    4.6124358]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [7.2801505 6.4065    6.0144087] : 5
!!!atention to nb coordination!!!
         [1.8025550059192823]
         [1.802555005919282]


**isite= 26
F1 : [ 0.701855   2.1355    11.1135642]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [1.8348495 2.1355    9.7115913] : 6
!!!atention to nb coordination!!!
         [1.8025550059192823]
         [1.8025550059192834]


**isite= 27
F1 : [3.855645  6.4065    3.2505642]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [2.7226505 6.4065    1.8485913] : 7
!!!atention to nb coordination!!!
         [1.8025550059192839]
         [1.802555005919284]


**isite= 28
F1 : [ 5.2019305  0.8653046 14.405016 ]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 6.3923495  2.1355    13.8774087] : 4


**isite= 29
F1 : [8.4705695 7.6766954 6.542016 ]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [7.2801505 6.4065    6.0144087] : 5
!!!atention to nb coordination!!!
         [1.8190280956476315]
         [1.8190280956476323]


**isite= 30
F1 : [0.6444305 3.4056954 9.183984 ]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [1.8348495 2.1355    9.7115913] : 6
!!!atention to nb coordination!!!
         [1.819028095647633]
         [1.8190280956476323]


**isite= 31
F1 : [3.9130695 5.1363046 1.320984 ]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [2.7226505 6.4065    1.8485913] : 7


**isite= 32
F1 : [3.9130695 7.6766954 1.320984 ]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [2.7226505 6.4065    1.8485913] : 7


**isite= 33
F1 : [0.6444305 0.8653046 9.183984 ]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [1.8348495 2.1355    9.7115913] : 6
!!!atention to nb coordination!!!
         [1.819028095647633]
         [1.8190280956476323]


**isite= 34
F1 : [8.4705695 5.1363046 6.542016 ]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [7.2801505 6.4065    6.0144087] : 5
!!!atention to nb coordination!!!
         [1.8190280956476308]
         [1.8190280956476317]


**isite= 35
F1 : [ 5.2019305  3.4056954 14.405016 ]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 6.3923495  2.1355    13.8774087] : 4


**isite= 36
F1 : [4.931215  2.1355    6.6505254]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [6.0007691  2.1355     8.21950842] : 0
!!!atention to nb coordination!!!
         [1.8988558897070429]
         [1.898855889707041]


**isite= 37
F1 : [ 8.741285   6.4065    14.5135254]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [ 7.6717309   6.4065     16.08250842] : 1
!!!atention to nb coordination!!!
         [1.8988558897070384]
         [1.898855889707039]


**isite= 38
F1 : [0.373715  2.1355    1.2124746]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [ 1.4432691   2.1355     -0.35650842] : 2
!!!atention to nb coordination!!!
         [1.8988558897070384]
         [1.8988558897070402]


**isite= 39
F1 : [4.183785  6.4065    9.0754746]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [3.1142309  6.4065     7.50649158] : 3
!!!atention to nb coordination!!!
         [1.89885588970704]
         [1.898855889707041]


**isite= 40
F1 : [6.0040505 0.281886  8.2341336]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [6.0007691  2.1355     8.21950842] : 0


**isite= 41
F1 : [7.6684495 8.260114  0.3711336]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [7.6717309  6.4065     0.35650842] : 1
!!!atention to nb coordination!!!
         [1.8536746004819706]
         [1.8536746004819709]


**isite= 42
F1 : [ 1.4465505  3.989114  15.3548664]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [ 1.4432691   2.1355     15.36949158] : 2


**isite= 43
F1 : [3.1109495 4.552886  7.4918664]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [3.1142309  6.4065     7.50649158] : 3


**isite= 44
F1 : [3.1109495 8.260114  7.4918664]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [3.1142309  6.4065     7.50649158] : 3
!!!atention to nb coordination!!!
         [1.8536746004819706]
         [1.8536746004819709]


**isite= 45
F1 : [ 1.4465505  0.281886  15.3548664]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [ 1.4432691   2.1355     15.36949158] : 2


**isite= 46
F1 : [7.6684495 4.552886  0.3711336]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [7.6717309  6.4065     0.35650842] : 1


**isite= 47
F1 : [6.0040505 3.989114  8.2341336]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [6.0007691  2.1355     8.21950842] : 0


**isite= 48
F1 : [7.01855   2.1355    9.7689912]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [6.0007691  2.1355     8.21950842] : 0
!!!atention to nb coordination!!!
         [1.8538540519472757]
         [1.8538540519472777]


**isite= 49
F1 : [6.65395   6.4065    1.9059912]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [7.6717309  6.4065     0.35650842] : 1
!!!atention to nb coordination!!!
         [1.8538540519472781]
         [1.8538540519472777]


**isite= 50
F1 : [ 2.46105    2.1355    13.8200088]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [ 1.4432691   2.1355     15.36949158] : 2
!!!atention to nb coordination!!!
         [1.8538540519472793]
         [1.8538540519472777]


**isite= 51
F1 : [2.09645   6.4065    5.9570088]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [3.1142309  6.4065     7.50649158] : 3
!!!atention to nb coordination!!!
         [1.8538540519472788]
         [1.8538540519472777]


**isite= 52
F1 : [ 7.213611   0.820032  12.8449968]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 6.3923495  2.1355    13.8774087] : 4
!!!atention to nb coordination!!!
         [1.8630085457849808]
         [1.86300854578498]


**isite= 53
F1 : [6.458889  7.721968  4.9819968]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [7.2801505 6.4065    6.0144087] : 5
!!!atention to nb coordination!!!
         [1.8630085457849828]
         [1.8630085457849819]


**isite= 54
F1 : [ 2.656111   3.450968  10.7440032]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [1.8348495 2.1355    9.7115913] : 6
!!!atention to nb coordination!!!
         [1.8630085457849783]
         [1.8630085457849794]


**isite= 55
F1 : [1.901389  5.091032  2.8810032]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [2.7226505 6.4065    1.8485913] : 7
!!!atention to nb coordination!!!
         [1.8630085457849799]
         [1.86300854578498]


**isite= 56
F1 : [1.901389  7.721968  2.8810032]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [2.7226505 6.4065    1.8485913] : 7
!!!atention to nb coordination!!!
         [1.8630085457849805]
         [1.8630085457849808]


**isite= 57
F1 : [ 2.656111   0.820032  10.7440032]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [1.8348495 2.1355    9.7115913] : 6
!!!atention to nb coordination!!!
