file	formula	svnrevision
1008022	- F6 Mo -	130149
1008034	- F6 W -	130149
1008055	- Eu3 F10 Rb -	130149
1008065	- F6 Xe2 -	130149
1008068	- Be F4 Na0.5 Rb1.5 -	176435
1008081	- F31 Na7 Zr6 -	176729
1008087	- F6 Xe2 -	199854
1008149	- F5 Ru -	130149
1008150	- F5 Os -	130149
1008151	- Cs F4 Ti -	176729
1008156	- F2 Xe -	130149
1008182	- F10 Lu3 Rb -	200141
1008211	- F6 U -	130149
1008212	- F6 Mo -	130149
1008213	- F6 W -	130149
1008237	- F3 K0.3 Nb -	176435
1008245	- F2 Pd -	130149
1008246	- F2 Pd -	130149
1008268	- Cd Cs4 F12 Ni3 -	176729
1008347	- Cs F13 Yb4 -	130149
1008348	- Cs3.4 F39.4 Yb12 -	130149
1008349	- Cs F10 Yb3 -	130149
1008380	- Ba2 Ca Cr2 Cu F14 -	130149
1008381	- Ba2 Ca Cu F14 Fe2 -	130149
1008452	- F2.47 Gd0.735 K0.265 -	176435
1008492	- Ba2 Ca1.072 Co0.928 F14 Fe2 -	176435
1008493	- Ba2 Ca1.17 Co0.83 F14 Fe2 -	176435
1008527	- F4 Mn Na -	130149
1008528	- F4 Mn Na -	130149
1008534	- F3.2 Fe0.8 Zr0.2 -	176435
1008562	- F3.2 Fe0.8 Zr0.2 -	176435
1008570	- Al2 Ba2 Cu F14 Mn -	130149
1008571	- Al2 Ba2 Co F14 Mn -	130149
1008610	- F2.05 Pb0.975 Th0.025 -	176435
1008611	- F2.1 Pb0.95 Th0.05 -	176435
1008612	- F2.2 Pb0.9 Th0.1 -	176435
1008613	- F2.25 Pb0.875 Th0.125 -	176435
1008614	- F2.3 Pb0.85 Th0.15 -	176435
1008615	- F2.4 Pb0.8 Th0.2 -	176435
1008616	- F2.46 Pb0.77 Th0.23 -	176435
1008650	- Ba7 F34 Fe6 Mn -	130149
1008701	- F8 Li Na Yb2 -	130149
1008751	- F3 La -	130149
1008789	- Co Cs0.5 F3 Rb0.5 -	176435
1008794	- Co F6 Zr -	176729
1008795	- Co F6 Zr -	130149
1008834	- Er2 F7 K -	130149
1008837	- F7 Ho2 K -	200141
1008866	- Al Co F7 Na2 -	130149
1008916	- F7 K Yb2 -	130149
1008938	- F6 Pa Rb -	130149
1010042	- Ag F -	259054
1010049	- F7 K2 Nb -	130149
1010050	- F7 K2 Ta -	130149
1010094	- B F4 Rb -	130149
1010100	- F7 K3 Zr -	130149
1010101	- F6 Ge K2 -	130149
1010134	- F4 Si -	209054
1010158	- Al F4 Tl -	130149
1010159	- Al F5 Tl2 -	130149
1010205	- Ba F6 Si -	176729
1010206	- Ba F6 Ge -	176729
1010285	- Cs2 F6 Si -	130149
1010286	- Cs2 F6 Ge -	130149
1010395	- Eu F2 -	130149
1010414	- Al F3 -	130149
1010415	- F3 Fe -	130149
1010416	- Co F3 -	130149
1010417	- F3 Rh -	130149
1010418	- F3 Pd -	130149
1010451	- F3 Sc -	176729
1010462	- F Tl -	130149
1010465	- Al F3 -	176729
1010580	- F2 Hg -	130149
1010607	- Cs2 F6 Ge -	130149
1010655	- F2 Ra -	130149
1010923	- Al3 F14 Na5 -	130149
1010932	- Al F6 Na3 -	175087
1010934	- Al2 F12 Li3 Na3 -	130149
1010947	- Al2 F12 Li3 Na3 -	130149
1010976	- Ce F3 -	130149
1010978	- F K -	130149
1010983	- F3 La -	130149
1010984	- F3 Pr -	130149
1010985	- F3 Nd -	130149
1010986	- F3 Sm -	130149
1010990	- F Li -	259054
1011068	- Al F6 K2 Na -	130149
1011141	- F Na -	130149
1011282	- F Na -	130149
1011296	- F3 Y -	130149
1011350	- Ce F3 -	130149
1101116	- Al Ca F5 -	176429
2000343	- Al Co F7 Na2 -	176435
2000486	- Er0.05 F4 K Y0.95 -	176435
2000863	- F4 In Li -	176435
2001086	- F6 Mn Na3 -	176435
2001129	- F4 Li Y -	203896
2003882	- Al3 F19 Pb5 -	176759
2004075	- F11 Mn Na Zr2 -	200796
2004076	- F11 Fe Na Zr2 -	200796
2004077	- Co F11 Na Zr2 -	200796
2004078	- F11 Na Ni Zr2 -	200796
2004079	- F11 Na Zn Zr2 -	176435
2005698	- Be3 F12 K2 Mn2 -	130149
2006096	- Ba F6 Tb -	176435
2006461	- Cs F5 Tb -	176432
2006773	- Ba5.24 F26 Mg7 Sr0.76 -	176435
2010891	- F6 K2 Ti -	176760
2012071	- F4 Mg Sr -	176432
2013037	- Al F6 Li Na2 -	176760
2015122	- Be F4 Tl2 -	176760
2016268	- Ba F6 Ir -	176760
2016695	- Al Ba F6 Li -	176760
2017527	- F8 K3 Ta -	176760
2017572	- B2 F8 Sr -	176760
2100002	- Ca F6 Tb -	207413
2100003	- Cd F6 Tb -	207414
2100635	- F3 Fe -	176768
2100638	- F3 Fe -	176768
2100641	- F3 Fe -	176768
2100644	- F3 Fe -	176768
2100647	- F3 Fe -	176768
2100650	- F3 Fe -	176768
2100653	- F3 Fe -	176768
2100656	- F3 Fe -	176768
2100659	- F3 Fe -	176768
2100984	- F2 Ni -	176768
2100985	- F2 Ni -	176768
2100986	- Co F2 -	176768
2100987	- Co F2 -	176768
2101024	- F4 K2 Ni -	176435
2101132	- F6 Li2 Mo -	176768
2101133	- F6 Li2 Mo -	176768
2101135	- Al3 F19 Pb5 -	176432
2101382	- F6 K2 Si -	176435
2102562	- F3 K Mn -	176768
2102652	- Cr F3 -	176435
2102653	- Cr F3 -	176435
2102654	- Cr F3 -	176435
2102655	- Cr F3 -	176435
2102656	- Cr F3 -	176435
2102657	- Cr F3 -	176435
2102658	- Cr F3 -	176435
2102659	- Cr F3 -	176435
2103614	- Co F2 -	176768
2103615	- F2 Zn -	176435
2103956	- Al3 F19 Pb5 -	176432
2104455	- Ba F4 Zn -	176432
2201765	- F4 K Pr -	120072
2202038	- Al Ba Ca F7 -	176432
2206347	- Cd F7 Na Zn2 -	176435
2216659	- F6 Ir Rb2 -	176787
2216660	- Cs2 F6 Ir -	176787
2224053	- F10 K5 Li2 Pr -	176789
2224054	- Eu F10 K5 Li2 -	176789
4000412	- F30 Fe10 K5.25 -	178377
4000413	- F30 Fe10 K5.24 -	178377
4000414	- F15 Fe5 K2.63 -	178377
4303319	- Al F6 K3 -	176467
5000222	- Ca F2 -	130149
5910032	- F3 K Ni -	177123
5910042	- F3 Sm -	177123
5910077	- F3 K Zn -	177123
5910156	- F10 Ho3 Na -	177123
5910166	- F14 Fe3 Na5 -	177123
5910196	- F8 Na3 Ta -	177123
5910209	- F13 Na5 Zr2 -	177123
5910266	- Be F4 Rb2 -	177123
5910268	- F10 Na Tm3 -	177123
5910280	- Be F4 Pb -	177123
5910287	- Er3 F10 Na -	177123
5910306	- B F4 Tl -	177123
5910308	- Be F4 K2 -	177123
5910310	- F10 Na Y3 -	177123
5910312	- Ba Be F4 -	177123
5910313	- Be F12 Li6 Zr -	177123
5910332	- Be F4 Na2 -	177123
5910337	- Be Cs2 F4 -	177123
6000427	- Al F6 K2 Li -	176292
6000428	- Al F6 K2 Li -	176292
6000429	- F6 Ga Li Rb2 -	176292
6000508	- Ba5 F19 Mn3 -	176333
8100295	- F6 Li2 Zr -	176466
8100582	- F34 Pb8 Y6 -	191974
8100806	- F10 K Y3 -	176466
8100893	- F3 Ga -	176728
8101456	- F6 Ga Li3 -	176466
9000215	- Al2 F12 Li3 Na3 -	176465
9001612	- F3 Mg Na -	176465
9001614	- F3 Mg Na -	176465
9002898	- Al Ca2 F9 Pb -	176465
9004097	- Al F6 Na3 -	176465
9004334	- Ca0.475 Ce0.005 Dy0.05 Er0.02 F2.7 Gd0.045 Ho0.015 Na0.3 Nd0.005 Sm0.015 Tb0.005 Y0.36 Yb0.005 -	176465
9006157	- Al F6 Na3 -	176465
9006349	- Cu F3 K -	176465
9006350	- Cu0.95 F3 K Mg0.05 -	176465
9006351	- Cu0.9 F3 K Mg0.1 -	176465
9006352	- Cu0.85 F3 K Mg0.15 -	176465
9006353	- Cu0.8 F3 K Mg0.2 -	176465
9006354	- Cu0.75 F3 K Mg0.25 -	176465
9006355	- Cu0.7 F3 K Mg0.3 -	176465
9006356	- Cu0.65 F3 K Mg0.35 -	176465
9006357	- Cu0.575 F3 K Mg0.425 -	176465
9006358	- Cu0.5 F3 K Mg0.5 -	176465
9006359	- Cu0.4 F3 K Mg0.6 -	176465
9006360	- Cu0.3 F3 K Mg0.7 -	176465
9006361	- Cu0.2 F3 K Mg0.8 -	176465
9006362	- Cu0.1 F3 K Mg0.9 -	176465
9006363	- F3 K Mg -	176465
9006955	- F3 Mg Na -	176465
9006956	- F3 Mg Na -	176465
9006957	- F3 K0.18 Mg Na0.82 -	176465
9006958	- F3 K0.5 Mg Na0.5 -	176465
9006959	- F3 K0.5 Mg Na0.5 -	176465
9006960	- F3 K0.56 Mg Na0.44 -	176465
9006961	- F3 K0.6 Mg Na0.4 -	176465
9006962	- F3 K0.67 Mg Na0.33 -	176465
9006963	- F3 K0.7 Mg Na0.3 -	176465
9006964	- F3 K0.78 Mg Na0.22 -	176465
9006965	- F3 K0.89 Mg Na0.11 -	176465
9006966	- F3 K Mg -	176465
9007060	- Ca F2 -	176725
9007434	- F2 Mg -	188410
9007457	- F Na -	176465
9007458	- F Na -	176465
9007507	- B F4 Na -	176465
9007508	- B F4 K -	176465
9007534	- F2 Mg -	188410
9007535	- F2 Mn -	188410
9007536	- F2 Fe -	188410
9007537	- Co F2 -	188410
9007538	- F2 Ni -	188410
9007539	- F2 Zn -	188410
9007938	- Al Ba Ca F7 -	176465
9007945	- F4 K Pr -	176465
9008114	- F3 La -	176465
9008598	- Ag F -	176725
9008621	- Cs F -	176725
9008652	- F K -	176465
9008667	- F Li -	202022
9008679	- F Na -	176465
9008708	- F Rb -	176465
9008843	- Cu F -	85285
9008977	- F Hg -	176465
9009004	- Ba F2 -	176725
9009005	- Ca F2 -	176725
9009006	- Cd F2 -	176725
9009013	- Eu F2 -	176725
9009017	- F2 Hg -	176465
9009027	- F2 Pb -	176465
9009037	- F2 Ra -	176465
9009043	- F2 Sr -	176465
9009073	- Co F2 -	85285
9009074	- F2 Fe -	176465
9009075	- F2 Mg -	176465
9009076	- F2 Mn -	176465
9009077	- F2 Ni -	176465
9009078	- F2 Pd -	176465
9009079	- F2 Zn -	176465
9009094	- Cu F2 -	85285
9009095	- Cr F2 -	85285
9009197	- F2 Pb -	176465
9009341	- Al F6 K2 Na -	176465
9009595	- Al F7 Mg Na2 -	176465
9009786	- Al3 F14 Na5 -	176465
9009994	- F3 La -	176465
9010636	- F6 K2 Si -	176465
9010665	- B F22 K3 Na4 Si3 -	176465
9010943	- F3 Mg Na -	176465
9010944	- F3 Mg Na -	176465
9011058	- F6 Na2 Si -	176465
9011159	- F3 La -	176465
9011160	- Ce F3 -	120115
9011250	- F7 Ho2 K -	210923
9011257	- Er2 F7 K -	210923
9011290	- F6 K2 Si -	188415
9011291	- F6 K2 Si -	188415
9011292	- F6 K2 Si -	188415
9011385	- Be3 F12 K2 Mn2 -	176465
9012106	- F2 -	202019
9012139	- Al3 F14 Na5 -	176465
9012177	- Al F7 Mg Na2 -	176465
9012179	- Al F7 Mg Na2 -	176465
9012181	- Al F7 Mg Na2 -	176465
9012183	- Al F7 Mg Na2 -	176465
9012185	- Ca6.5 F21.5 Y3 -	176465
9012254	- F7 In Mg Na2 -	176465
9012279	- Al F6 Li Na2 -	176465
9012280	- Al F6 Na3 -	176465
9012281	- Al F6 Na3 -	176465
9012284	- Al F6 Na3 -	176465
9012332	- Al Ca F6 Li -	176465
9012411	- B F4 K -	176465
9012413	- B F4 Rb -	176465
9012414	- B Cs F4 -	176465
9012618	- Al Ca F6 Li -	176465
9012619	- Al Ca F6 Li -	176465
9012665	- Ca9.434 F41.06 Ho0.48 Na1.958 Nd0.954 Y5.298 -	176465
9013155	- Al2 Ba2 Ca F14 Mg -	176465
9013438	- F6 K Na Si -	176465
7200989	- Ag2 F7 K3 -	176432
7200990	- Ag F3 K -	180340
4306125	- F19 Ga3 Pb5 -	176432
4306126	- F19 Ga3 Pb5 -	176432
7004700	- F24 Pb8 Zn4 -	176432
7004701	- F24 Pb8 Zn4 -	176432
2226008	- Cr F7 Pb2 -	176789
9013899	- Cd F7 Na Zn2 -	176465
4308740	- B2 Cd F8 -	179125
2017982	- F3 Gd0.81 Yb0.19 -	176760
7014525	- Ba F6 Th -	176432
7014531	- Ba F6 Th -	176432
7014537	- Ba F6 Th -	176432
4319229	- F7 K2 W -	179272
4319839	- F2 Kr -	179278
4322836	- Cr2 F10 Xe -	179331
4103703	- Ba F4 Mn -	178783
4103704	- Ba Co F4 -	178783
4103705	- Ba F4 Ni -	178783
4000811	- Cs2 Cu3 F12 Zr -	176432
4326941	- Cs F13 Th3 -	179372
4326942	- Cs F13 Th3 -	179372
4326943	- F13 Rb Th3 -	179372
4326944	- F9 Rb Th2 -	179372
4326945	- F31 Rb7 Th6 -	179372
2234445	- Ca5 F22 Zr3 -	176798
1507761	- Al F4 K -	176729
1507762	- F14 Ga3 Na5 -	176729
1507763	- Cr3 F14 Na5 -	176729
1507764	- F14 Fe3 Na5 -	176729
1507767	- Al F4 Na -	176435
1507770	- F2.26 Fe0.26 Pb0.74 -	176729
7020652	- Er F4 K -	176453
7020653	- F4 Ho K -	176453
7020654	- F4 K Tm -	176453
7020655	- F4 K Y -	176453
7020656	- F4 K Y -	176453
7020657	- F4 K Yb -	176453
7020658	- F4 K Yb -	176453
4328355	- F4 La Rb -	179386
1509181	- Ag Cd3 F20 Hf3 -	176435
1509182	- Ag Cd3 F20 Zr3 -	176435
1509197	- Ag Al0.45 F6 Fe0.55 Rb -	176435
1509203	- Ag Al Cs F6 -	176435
4331391	- Ag Au F4 -	176467
1509209	- Ag Au2 F8 -	176432
1509210	- Ag B F4 -	176435
1509211	- Ag B F5 -	176435
1509275	- Ag Cs F3 -	176435
1509276	- Ag Cs F6 Fe -	176435
1509277	- Ag Cs F6 In -	176435
1509278	- Ag Cs F6 Sc -	176435
1509279	- Ag Cs F6 Tl -	176435
1509284	- Ag Cs2 F4 -	176435
1509285	- Ag Cs2 F6 K -	176435
1509316	- Ag F11 Na Zr2 -	176435
1509317	- Ag F11 Pd Zr2 -	176435
1509318	- Ag F12 Ta2 -	176435
1509319	- Ag F2 -	211196
1509320	- Ag F2 -	211196
1509321	- Ag F2 -	211196
1509322	- Ag F3 K -	176432
1509323	- Ag F3 Rb -	176435
4119063	- Ag F3 Zn -	176467
4027806	- Ag F4 K -	176467
1509325	- Ag F4 K -	176435
1509326	- Ag F4 Na -	176435
1509328	- Ag F6 Pd -	176435
1509332	- Ag F6 Sn -	176435
1509333	- Ag F6 Ta -	176435
1509334	- Ag F6 Ti -	176435
4331395	- Ag F7 Ir -	176467
4331396	- Ag F7 Ru -	176432
4331397	- Ag F9 Xe -	176467
1509798	- Ag2 F -	211196
8103404	- Ag2 F -	211196
1509800	- Ag2 F23 K3 Zr4 -	176729
1509801	- Ag2 F5 -	176729
1509959	- Ag7 F31 Zr6 -	176729
1510004	- Ag3 F14 Hf2 -	176729
4331408	- Ag3 F8 -	176432
1510054	- Au0.024 F4 Sn0.976 -	176729
1510115	- Au Cu F5 -	176435
1510135	- Au F11 Th2 -	176435
4331414	- Au F17 Xe2 -	176467
1510138	- Au F4 K -	176435
1510139	- Au F4 Li -	176435
1510140	- Au F4 Li -	176435
1510141	- Au F4 Na -	176435
1510144	- Au F4 Rb -	176435
1510145	- Au F5 -	211196
1510146	- Au F6 K -	176435
1510149	- Au F6 Tl -	176435
1510359	- Au2 Ba F12 -	176435
1510360	- Au2 Ba F8 -	176435
1510369	- Au2 Ca F12 -	176435
1510372	- Au2 Cd F12 -	176435
1510373	- Au2 Cd F8 -	176435
1510401	- Au2 F8 Hg -	176435
1510402	- Au2 F8 Mg -	176435
1510403	- Au2 F8 Ni -	176435
1510404	- Au2 F8 Ni -	176432
1510405	- Au2 F8 Pd -	176432
1510406	- Au2 F8 Zn -	176435
1510407	- Au2 F9 Lu -	176435
1510408	- Au2 F9 Tm -	176435
1510409	- Au2 F9 Yb -	176435
1510495	- Au3 F12 La -	176435
1510498	- Au3 F8 -	176432
1510554	- Au5 Er2 F21 -	176729
1510556	- Au5 F21 Gd2 -	176729
1510558	- Au5 F21 Ho2 -	176729
1510559	- Au5 F21 La2 -	176729
1510560	- Au5 F21 Nd2 -	176729
1510561	- Au5 F21 Pr2 -	176729
1510562	- Au5 F21 Sm2 -	176729
1510563	- Au5 F21 Tb2 -	176729
1510564	- Au5 F21 Y2 -	176432
1510681	- B2 F4 -	211196
4331423	- B2 F8 Mn -	176467
2105406	- B2 Ca F8 -	176435
2018874	- B F13 Sn5 -	176435
1511120	- B F3 -	211196
1511123	- B F4 In -	176435
1511124	- B F4 K -	176435
1511125	- B F4 K -	176435
8103456	- B F4 Tl -	176466
1511126	- B F7 Sn2 -	176435
1511127	- B F9 Sn3 -	176435
1511369	- B10 F12 -	211196
1511646	- B4 Ba2 F16 -	176432
1511692	- B8 F12 -	211196
9014298	- Ca0.498 Eu0.299 F3 Na0.558 Y0.198 -	201816
9014557	- F2 Pb -	201816
9015025	- Al Ca0.66 F5 -	201816
9015419	- Ca0.45 Ce0.275 Dy0.006 F3 Gd0.033 La0.143 Na0.45 Nd0.099 Sm0.011 Y0.044 -	201816
9015424	- Al Ca2 F9 Pb -	201816
9015789	- F2 Pb -	201816
9016386	- F15 Fe5 K3 -	201816
9016413	- F2 Sr -	201816
4331655	- F6 Hf Li2 -	179419
4331657	- F13 Hf2 Na5 -	179419
4336587	- F19 Fe6 K3 -	176432
1513881	- F5 Fe K2 -	176729
1513882	- F5 Fe K2 -	176729
2300449	- Ca F2 -	176809
2239415	- Ce Cs F5 -	176435
1515134	- F6 Fe2 Rb -	176729
1515376	- F24 Na6 Sc6 -	176729
4338513	- F31 K7 U6 -	179488
4338514	- F5 Rb U -	179488
2019609	- F4 Zr -	176760
1517672	- F6 Na1.5 Y1.5 -	176729
1517673	- F6 Na1.5 Y1.5 -	176729
1517674	- F6 Na1.5 Y1.5 -	176729
1517675	- F6 Na1.5 Y1.5 -	176729
1517676	- F4 Na Y -	176435
1517677	- F2.35 Na0.39 Y0.61 -	176729
1517678	- F2.22 Na0.39 Y0.61 -	176729
4122597	- F10 Na Y3 -	176467
7218382	- Ca Cs4 F12 Mg3 -	180514
1518055	- Ba F7 Ga Mn -	176729
1518056	- Ba Cd F7 Ga -	176435
1518068	- F8 Li Na Y2 -	176729
4341415	- F3 Fe Na -	176467
1518171	- Cr F6 K2 Na -	176435
1518172	- F6 Fe Na Rb2 -	176729
1518173	- F6 Fe K Rb2 -	176729
1518174	- Ca F5 Mn -	176729
1518203	- F22 Li Tl Zr5 -	176729
1518221	- Ca Cs5 F15 Ni4 -	176729
4030184	- F6 Li Mn V -	178480
4030185	- F6 Li Mn V -	178480
2300484	- F3 Na Ni -	213072
4030190	- Ca2 F7 Yb -	178480
4030247	- Ba2 Cr2 Cs F11 -	178481
4030265	- Cu F7 Fe Na2 -	178481
4030270	- Ba F12 Fe4 Na2 -	178481
4030277	- F6 Nb Rb2 -	178481
4030278	- Cs2 F6 Nb -	178481
4030341	- F16 Ni Xe2 -	178482
4030350	- Ba2 F9 Fe2 Rb -	178482
4030351	- Ba2 Co2 Cs F9 -	178482
4030352	- Ba2 F9 K Ni2 -	178482
4030353	- Ba2 F9 Ni2 Rb -	178482
4030354	- Ba2 Cs F9 Ni2 -	178482
4030355	- Ba2 Cs F9 Zn2 -	178482
4030419	- Ba0.84 F12 Fe3.16 Na4 -	178483
4030430	- F4 Pt -	178483
4030431	- F5 Pt -	178483
4030437	- Eu F7 Sn -	178483
4030438	- F7 Sn Y -	176467
4030439	- Cs4 F10 Mg3 -	176432
4030440	- Cs4 F10 Ni3 -	176432
4030441	- Cs4 F10 Zn3 -	176432
4030442	- Co3 Cs4 F10 -	176432
4030443	- Cr F6 Xe -	178483
4030444	- Cr4 F44 Xe5 -	178483
4030478	- F8 Li4 Tb -	178483
3000041	- Al3 Cs6 F15 -	176722
3000042	- Al2 Cs3 F9 -	176722
4030487	- Ba F11 Li Zr2 -	178483
4030489	- Ba F7 Na Zr -	178483
4030502	- F3 K Sn -	178484
4030503	- F3 Rb Sn -	178484
4030504	- F3 Sn Tl -	178484
4030525	- F14 Sr4 Zn3 -	178484
4030528	- Cd Cu F4 -	178484
4030619	- F15 Mn Na5 Zr2 -	178485
4342340	- F30 Ga Na3 U6 -	179526
4030623	- Cr F6 Nb -	178485
4030699	- F3 K Mn -	178485
4030735	- F7 Th Tl3 -	178486
4342568	- Al0.27 Er0.067 F10 Y2.67 Yb0.33 -	176467
4030836	- F6 K Rb2 Sc -	178487
4030844	- F12 Th Zr2 -	178487
4030867	- F5 K Zr -	178487
4030869	- F9.7 Tl Zn1.65 Zr1.35 -	178487
4030890	- F5 K Tb -	178487
4030906	- Al3 Ba4 Cu2 F21 -	182187
1519023	- Ba5 F19 In3 -	176729
1519032	- Be F4 Yb -	176729
